category,n_annotated,prop_skip,prop_real_life,prop_not_real_life,prop_not_real_life_given_non_skip
alligator,100,0.61,0.0,0.0,0.0
bird,100,0.49,0.0,0.0,0.0
butterfly,100,0.09,0.0,0.0,0.0
cat,100,0.4,0.0,0.0,0.0
dog,100,0.29,0.0,0.0,0.0
frog,100,0.72,0.0,0.0,0.0
pony,100,0.33,0.0,0.0,0.0
