subject_id,category
00400001,horse
00400001,rooster
00400001,fish
00400001,frog
00400001,alligator
00400001,cat
00400001,dog
00400001,hair
00400001,arm
00400001,hand
00400001,finger
00400001,toe
00400001,tooth
00400001,car
00400001,lamp
00400001,chair
00400001,bench
00400001,drawer
00400001,ladder
00400001,window
00400001,door
00400001,closet
00400001,refrigerator
00400001,oven
00400001,crib
00400001,bed
00400001,couch
00400001,table
00400001,bathtub
00400001,sink
00400001,boat
00400001,slide
00400001,tree
00400001,clock
00400001,ball
00400001,balloon
00400001,orange
00400001,apple
00400001,hat
00400001,slipper
00400001,watch
00400001,nail
00400001,glasses
00400001,necklace
00400001,vacuum
00400001,scissors
00400001,spoon
00400001,knife
00400001,pencil
00400001,pen
00400001,crayon
00400001,plant
00400001,flower
00400001,soap
00400001,bottle
00400001,cup
00400001,can
00400001,belt
00400001,radio
00400001,basket
00400001,bucket
00400001,tape
00400001,bowl
00400001,plate
00400001,banana
00400001,cracker
00400001,glass
00400001,tray
00400001,box
00400001,book
00400001,paper
00400001,toothbrush
00400001,gum
00400001,toy
00400001,doll
00400001,mitten
00400001,glove
00400001,sock
00400001,purse
00400001,pillow
00400001,towel
00400001,napkin
00400001,blanket
00400001,pajamas
00400001,bib
00400001,jacket
00400001,sweater
00400001,shirt
00400001,jeans
00400001,pants
00400001,shorts
00370002,pony
00370002,horse
00370002,rooster
00370002,bird
00370002,fish
00370002,frog
00370002,alligator
00370002,owl
00370002,elephant
00370002,cat
00370002,dog
00370002,face
00370002,hair
00370002,arm
00370002,hand
00370002,finger
00370002,toe
00370002,tooth
00370002,nose
00370002,stroller
00370002,motorcycle
00370002,car
00370002,lamp
00370002,chair
00370002,bench
00370002,drawer
00370002,ladder
00370002,window
00370002,door
00370002,refrigerator
00370002,oven
00370002,crib
00370002,bed
00370002,couch
00370002,table
00370002,bathtub
00370002,sink
00370002,slide
00370002,grass
00370002,tree
00370002,snow
00370002,clock
00370002,ball
00370002,balloon
00370002,pumpkin
00370002,egg
00370002,orange
00370002,apple
00370002,hat
00370002,slipper
00370002,watch
00370002,nail
00370002,glasses
00370002,necklace
00370002,carrot
00370002,vacuum
00370002,broom
00370002,shovel
00370002,scissors
00370002,spoon
00370002,fork
00370002,knife
00370002,pencil
00370002,pen
00370002,crayon
00370002,plant
00370002,flower
00370002,soap
