"measure","term","effect","group","estimate","std_error","statistic","p_value","signif"
"production","Frequency","main effect",NA,0.240061579377858,0.0780907862099743,3.07413449177434,0.00211114236630247,"significant"
"production","MLU-w","main effect",NA,-0.0470898669394025,0.0628916338511219,-0.748746121795378,0.454010239081185,"non-significant"
"production","Final frequency","main effect",NA,0.172179888338063,0.0657362763056767,2.61925223049476,0.00881227627123427,"significant"
"production","Solo frequency","main effect",NA,0.281332830525303,0.069641792237826,4.03971267087088,5.35167225714462e-05,"significant"
"production","Number phonemes","main effect",NA,-0.103854601210358,0.0480746659509756,-2.1602771263406,0.0307512226089642,"significant"
"production","Concreteness","main effect",NA,0.0204019081113282,0.0450337529581065,0.453035929079849,0.650522869993399,"non-significant"
"production","Valence","main effect",NA,-0.0300906941069918,0.0464048836636253,-0.648438089514672,0.516701641347343,"non-significant"
"production","Arousal","main effect",NA,0.00396410818229601,0.0453780319580969,0.0873574285010103,0.93038740709869,"non-significant"
"production","Babiness","main effect",NA,0.183490966411769,0.0445047345852573,4.12295384124261,3.7404467437372e-05,"significant"
"production","Visual frequency","main effect",NA,0.0207828841713457,0.0486405208731899,0.427275115443942,0.669178955580443,"non-significant"
"production","Frequency","interaction with age",NA,0.0280948131305448,0.0299521536377142,0.937989750932943,0.348249677197303,"non-significant"
"production","MLU-w","interaction with age",NA,0.0608656095554222,0.0241428488881634,2.52106161279347,0.0117001363551396,"significant"
"production","Final frequency","interaction with age",NA,0.0983260526503059,0.0252042804723866,3.90116483420466,9.57309363928279e-05,"significant"
"production","Solo frequency","interaction with age",NA,0.00470591732195705,0.0267456054059845,0.175951048799369,0.86033239975885,"non-significant"
"production","Number phonemes","interaction with age",NA,0.0474871465954022,0.0184818798096893,2.56938942815258,0.0101877898186759,"significant"
"production","Concreteness","interaction with age",NA,0.00177346657327859,0.0172610394203829,0.102743903775828,0.918166227829768,"non-significant"
"production","Valence","interaction with age",NA,-0.0165082440075678,0.0177928717203266,-0.927800990590447,0.35351081010595,"non-significant"
"production","Arousal","interaction with age",NA,0.00519470127566892,0.0174279749336265,0.298066831944197,0.765652155859115,"non-significant"
"production","Babiness","interaction with age",NA,-0.0274212366845701,0.0170624724292636,-1.60710804358812,0.108030669126245,"non-significant"
"production","Visual frequency","interaction with age",NA,-0.008279165611086,0.0186797281135218,-0.443216601482165,0.657609071966333,"non-significant"
"comprehension","Frequency","main effect",NA,0.415665956487728,0.110556666003278,3.75975480732573,0.000170079969243428,"significant"
"comprehension","MLU-w","main effect",NA,-0.158454135872864,0.0890798817038786,-1.77878700377714,0.0752746886776282,"non-significant"
"comprehension","Final frequency","main effect",NA,0.154978679715198,0.0930418614612041,1.66568765157197,0.0957756427516997,"non-significant"
"comprehension","Solo frequency","main effect",NA,-0.0893357078868201,0.0986092153384107,-0.905956989721849,0.364958618008861,"non-significant"
"comprehension","Number phonemes","main effect",NA,0.09248464746045,0.0680380755463987,1.35930722198896,0.174049256496732,"non-significant"
"comprehension","Concreteness","main effect",NA,0.00812200652392825,0.0637636672560258,0.127376715823394,0.898642244194939,"non-significant"
"comprehension","Valence","main effect",NA,-0.0240501602084147,0.0657293036493667,-0.36589707897577,0.714441876092315,"non-significant"
"comprehension","Arousal","main effect",NA,-0.07562073256329,0.064300571612988,-1.17605070478122,0.239574614790672,"non-significant"
"comprehension","Babiness","main effect",NA,0.335976320948293,0.0629866191784734,5.33409040412694,9.60246765171742e-08,"significant"
"comprehension","Visual frequency","main effect",NA,0.18672276267431,0.068871417251639,2.71117932700689,0.00670443558814922,"significant"
"comprehension","Frequency","interaction with age",NA,-0.0380470303491269,0.0268055390702882,-1.41937195328778,0.155790604743602,"non-significant"
"comprehension","MLU-w","interaction with age",NA,0.016112098480716,0.0217730243519267,0.740002776843914,0.45929830940194,"non-significant"
"comprehension","Final frequency","interaction with age",NA,0.0599676848186952,0.0224136237559729,2.67550153743946,0.00746175309700004,"significant"
"comprehension","Solo frequency","interaction with age",NA,0.0634781090824719,0.0239709240656574,2.64812941330933,0.00809385346834486,"significant"
"comprehension","Number phonemes","interaction with age",NA,-0.00297751655406631,0.0165085956297297,-0.180361589855906,0.856868706637376,"non-significant"
"comprehension","Concreteness","interaction with age",NA,0.00894556745881933,0.0153722078467812,0.581931206498254,0.560613019505296,"non-significant"
"comprehension","Valence","interaction with age",NA,-0.0485173597463263,0.0159886055148002,-3.0344960166423,0.00240937937177624,"significant"
"comprehension","Arousal","interaction with age",NA,-0.0124932823982042,0.0157801991198099,-0.791706258162521,0.428531972435299,"non-significant"
"comprehension","Babiness","interaction with age",NA,-0.0413436644508148,0.0151053194352755,-2.73702682210513,0.00619972379316644,"significant"
"comprehension","Visual frequency","interaction with age",NA,0.0143815116582547,0.0167271369194006,0.859771264356339,0.389915142339162,"non-significant"
