,alligator,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jar,knife,ladder,lamp,milk,mitten,motorcycle,muffin,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slipper,soup,spoon,table,tape,toe,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.86132234,1.0275128,1.0157876,0.90167767,1.0926887,1.165185,1.059292,1.0033686,1.0328041,0.97992796,0.8985323,0.99444234,0.83952427,1.067201,1.0799439,1.0411856,1.1096972,1.0236171,1.0881133,1.0998628,0.8895202,1.110777,0.8773962,0.93400717,1.1209077,1.0360755,1.123699,1.0863186,1.1009144,1.0168402,1.0753921,1.0930027,1.1183493,0.81294805,0.8644337,1.1050885,1.1057351,0.9098015,1.0469745,1.0846252,0.9185545,0.9380583,1.0588682,0.587098,0.97329473,0.98935574,1.1251606,1.1133898,1.1153059,1.0488855,0.90431184,1.0606475,1.0908185,1.0251046,0.9294071,1.1209258,1.0521264,1.0842608,1.0104109,0.8154662,0.96877676,0.84876084,0.98965204,0.97514653,1.1159488,1.0435591,0.9659809,0.9802641,0.9977045,0.98989064,0.85321677,0.7702595,1.057072,0.8969972,0.89143604,1.0073222,1.1149273,1.0358602,0.8531699,1.1323045,0.9496582,0.9421493,1.0460644,1.0761172,1.0616949,0.967208,1.115037,1.0025088,1.1324948,0.9099309,0.92428774,1.0463113,1.1634793,1.0889503,1.016753
apple,0.86132234,0.0,0.8185121,0.85775757,0.5696504,1.311759,1.3501229,1.3894414,0.9505742,1.2689018,1.200052,0.82427317,1.3436413,0.8264746,1.1416559,0.87680924,0.79043096,1.3751944,1.1429248,1.0264943,1.0110575,0.88720715,0.9430428,0.9338856,0.9437797,1.1074389,0.7771539,1.3134499,1.3781618,1.2202201,0.7598088,1.3729017,0.9468598,1.1592665,0.9362971,0.8709331,1.1060352,1.0277224,0.34235,0.8877511,0.84399796,1.0773954,1.0043935,1.0721424,0.8623286,1.126698,0.89356995,0.9155585,0.917341,1.2197831,1.204628,0.62734747,0.7321038,1.3017833,1.188771,0.8871986,1.3781347,1.0389501,0.95209694,1.1730392,0.9818303,1.0572993,0.99813336,0.92431146,0.28937525,1.0590663,1.2447069,0.95915693,0.7836534,0.78915715,1.2010245,1.1739674,1.037544,0.9890706,0.91733044,0.24398601,0.92806846,1.1544732,0.8615882,0.7027732,1.270404,0.83232486,1.1420565,0.9232492,0.87660676,0.8851235,0.97991544,1.2670397,0.83569336,0.93364614,1.2589343,0.8576702,1.0555587,0.9794788,0.8926601,1.3157086
ball,1.0275128,0.8185121,0.0,0.16388088,1.137864,1.1247423,1.0667472,0.9598491,1.2900357,1.1672761,0.866703,1.0896024,0.95083785,0.94767976,0.9638439,1.154811,1.1268609,1.0426137,1.1064041,1.0952076,0.8842345,1.0141851,1.2376884,0.9445169,0.89538413,1.1689343,0.96529394,1.0499824,1.0283047,1.0828578,1.2055944,1.0974644,1.2017249,0.70095015,0.731315,0.809257,1.2235892,1.1202753,1.0228039,0.8737441,1.1877524,1.1626365,0.9041188,0.94356996,0.8050927,0.7707604,0.92774206,1.088917,0.7100101,0.9279256,1.0389483,1.0071865,1.1642829,0.9452533,1.0304022,1.3414971,1.1147286,1.0665878,0.83656174,0.93683136,0.838672,1.1334358,1.1008226,0.9204521,1.0643258,1.0386924,1.0006058,1.2395284,1.2080038,1.1755106,1.2105849,1.0932019,0.95542586,0.86199814,1.0646847,0.81525195,0.59446335,1.0568374,0.9623616,1.1072102,0.9860229,1.0034097,1.1378121,1.2396767,1.1560588,1.1823875,1.1650264,0.93961984,1.1908684,1.2534268,0.9771645,0.5421097,0.90364414,1.1627903,1.2509005,1.1487924
balloon,1.0157876,0.85775757,0.16388088,0.0,0.99942386,1.1862099,1.0703838,1.0110892,1.1529863,1.1037257,0.9021198,1.0329728,1.031582,0.9847282,1.0106295,1.1216364,1.1205833,1.1136569,1.153224,1.0210093,1.0276073,1.0024028,1.1727147,1.0115132,0.8811282,1.1060904,0.9128827,1.0687146,1.0478039,1.1134579,1.0229876,1.1166697,1.2239872,0.81356114,0.9122823,0.99313414,1.0884342,1.0660105,0.9431672,0.9873678,1.0190283,0.9806078,0.84767485,1.002413,0.93105257,0.7948521,1.0332296,1.0191488,0.7318237,0.944242,0.94918305,0.9455411,1.0772254,1.0062149,1.1265516,1.2274109,1.1177275,0.9706264,0.97100043,1.0111966,1.0076158,1.1931473,1.0824062,0.8186998,0.9895375,1.0866777,0.9750844,1.1480708,1.0621109,0.9940199,1.0455794,1.0801533,0.9785874,0.80210006,1.0144774,0.88979053,0.75562334,1.0950031,0.92639416,1.0334561,0.95740163,1.0709292,1.1294255,1.1191341,0.9956159,1.0544192,1.1626409,1.0235878,1.1202145,1.0129185,0.9825689,0.7838623,0.9796444,1.0934081,1.1037246,1.0603572
banana,0.90167767,0.5696504,1.137864,0.99942386,0.0,1.2940457,1.3661594,1.41708,0.57479143,1.1801387,1.2178435,0.71023166,1.3439038,0.7603167,1.2772961,0.71892124,0.7148349,1.4751055,1.261486,0.9252363,1.2675445,0.7017975,0.78029,0.93878055,0.9635841,0.95039606,0.8563969,1.329887,1.4064422,1.2791009,0.44468784,1.4062774,0.8851724,1.2923267,1.1272004,1.0677483,0.96041083,0.88467836,0.44281244,1.0688,0.7908015,0.7428136,1.040936,1.2357434,0.96468836,1.2936133,0.97053087,0.63454926,0.9926393,1.2211763,1.2519324,0.40129936,0.48333657,1.2879925,1.2665863,0.64276886,1.3596904,1.0715388,1.1835804,1.1536641,1.1624591,1.1145678,0.9927958,0.8889941,0.40885204,1.1176181,1.2138989,0.7627933,0.41728336,0.532321,1.0358046,1.1346843,1.1876855,0.9330854,0.81987584,0.9820332,1.0284629,1.1335536,0.7921475,0.33644766,1.2692597,0.7868451,1.055862,0.7000263,0.6487307,0.72126216,0.97620845,1.4140694,0.65006703,0.71346486,1.2365963,1.1056747,1.2041843,0.73413396,0.6025497,1.2582463
basket,1.0926887,1.311759,1.1247423,1.1862099,1.2940457,0.0,0.8816628,0.80731165,1.0789989,0.8210732,0.88703406,1.19912,0.79465425,1.0721015,0.941372,1.0635862,1.0709275,0.65367264,0.92132646,1.1138834,0.80499417,1.1251534,1.0249277,0.9859096,1.0795183,0.7987741,1.1530577,0.7135763,0.78507423,0.8595431,1.2329223,0.323591,0.9674713,0.97543555,1.0257486,1.0987312,0.9323257,1.0800838,1.3433161,1.1758375,1.243344,1.1396475,0.9881625,0.82325053,1.1220926,0.9043049,0.990719,1.0863551,1.0631235,0.89915586,0.96630126,1.3076068,1.2254821,0.8767515,0.7853259,1.1114539,0.6379058,1.0525663,0.8776757,0.8603761,0.8908603,0.9421019,1.0681648,1.1543212,1.3222497,0.70783794,0.96697223,1.13388,1.2320974,1.2676141,1.040264,0.99039894,0.8793264,1.0800192,1.0730473,1.2000982,0.92792165,0.67617464,1.1428525,1.1881137,0.9231472,1.0832715,0.94738996,1.0534127,1.2831109,1.1290406,1.0104249,0.8126708,1.2484422,1.2018363,0.9308006,1.0957887,1.1044602,1.0018091,1.2627189,0.8726038
bathtub,1.165185,1.3501229,1.0667472,1.0703838,1.3661594,0.8816628,0.0,0.32633078,1.0790653,0.6448178,0.8319912,1.261457,0.6240751,1.2975359,0.8074857,1.1802962,1.2471814,0.73685527,0.9686889,1.1013759,1.1099746,1.2001774,1.2412081,1.2048309,1.0623852,1.0350324,1.1168063,0.56393206,0.45531636,0.9178887,1.2656573,0.6045622,1.2332317,0.92993206,1.1246831,1.2096916,1.032057,1.0041828,1.3281249,1.0825293,1.0977708,0.83732724,1.0175157,0.973503,1.2366009,0.72626036,1.2195318,1.0432774,1.089717,0.6167206,0.8951489,1.4290955,1.3552247,0.7373538,0.99004513,1.2219778,0.5990921,0.83484733,1.1045313,0.92424613,1.1290431,1.1006968,1.1169357,1.1493442,1.3659601,1.1852865,0.69927984,1.0459503,1.2856867,1.2411203,0.8489419,0.9417062,0.8921108,1.0874887,1.2932143,1.2249153,1.1545908,1.048232,1.190668,1.3482468,0.37367058,1.1613594,0.9395327,1.0801182,1.07429,1.1463809,1.1280444,0.66528475,1.1942923,1.0834525,0.8811414,1.2345766,0.8563052,1.2625422,1.0982801,0.65430033
bed,1.059292,1.3894414,0.9598491,1.0110892,1.41708,0.80731165,0.32633078,0.0,1.1501695,0.67158985,0.6989109,1.2768722,0.3901204,1.3132192,0.8206246,1.193915,1.310133,0.6628876,0.9487477,1.1458719,1.0756346,1.2054883,1.321672,1.2296565,1.0717417,0.9986389,1.1994883,0.49528491,0.23432201,0.8394094,1.3928406,0.5188505,1.2616186,0.9269022,1.0815305,1.198436,1.1216301,1.0342978,1.3985362,1.1611421,1.254105,0.8063816,1.0148116,0.9748378,1.2251558,0.6761415,1.149784,1.1139385,1.041443,0.73889756,0.8940505,1.5062943,1.3821273,0.6340586,0.9136229,1.2676502,0.52803344,0.9202564,1.0892042,0.8025284,1.1263267,1.050238,1.11476,1.108722,1.4328957,1.202594,0.65939844,1.1189557,1.3575312,1.3409655,0.8852936,0.90328825,0.8721564,1.1721057,1.2572868,1.2523514,1.0346487,0.998383,1.2286453,1.3231238,0.590071,1.1371431,0.8847699,1.2022884,1.1345564,1.1465068,1.1641425,0.5871111,1.2958574,1.202865,0.7495179,1.1599728,0.8963928,1.2451447,1.1570574,0.73461425
belt,1.0033686,0.9505742,1.2900357,1.1529863,0.57479143,1.0789989,1.0790653,1.1501695,0.0,0.740789,1.396698,0.8346839,1.1979192,0.92728186,1.2029173,0.6353464,0.7063444,1.3575832,1.2483069,0.87596846,1.3325727,0.8039994,0.58332586,1.008483,1.0062658,0.61692274,0.85584366,1.2002103,1.1509602,1.259591,0.4376558,1.1241798,0.85548425,1.3681512,1.3509007,1.2589805,0.5671931,0.8574245,0.6106229,1.1647334,0.8442947,0.767635,1.0829818,1.3047652,1.1757674,1.2759687,1.0497602,0.7400323,1.1189039,1.2633793,1.2690345,0.6827052,0.58170104,1.2613049,1.3193995,0.6446352,1.1200526,0.9042999,1.2833177,1.2210195,1.1902645,1.0746809,0.9693029,0.91455984,0.6823965,0.94851947,1.2300344,0.36705494,0.41257763,0.47568935,0.796901,1.0076424,1.1682739,0.89396095,0.93143076,1.1894605,1.1966231,1.0754429,0.84122425,0.6310542,1.238563,0.8586706,1.0602627,0.3985545,0.70094454,0.7842374,1.0629443,1.3491802,0.6573631,0.6913431,1.1726903,1.2947093,1.2347598,0.71943474,0.46836954,0.95073086
bench,1.0328041,1.2689018,1.1672761,1.1037257,1.1801387,0.8210732,0.6448178,0.67158985,0.740789,0.0,1.0816402,1.0561497,0.9098422,1.2544482,0.936957,1.2318661,1.1512471,0.8073838,1.1165831,0.88545674,1.2267178,0.9996472,0.880425,1.1615498,0.8311224,0.5632159,1.1800957,0.6579768,0.47718787,1.0588164,0.9478119,0.6489531,1.1569933,1.1624397,1.222493,1.3504403,0.658782,0.8525306,1.2194633,1.2307422,0.98617834,0.864279,0.9832822,1.1386057,1.2376755,0.96781844,1.218458,0.8937781,1.0341488,0.99174863,0.88996255,1.2443148,1.2205188,0.8463862,1.1495049,1.0208814,0.5812959,0.98795027,1.2796197,1.0249964,1.2054297,1.1088244,1.0950681,1.0170984,1.281246,0.8687626,0.9189364,0.83643806,1.1920288,1.0697751,0.42472136,0.89893997,1.0335305,0.90007895,1.0531226,1.2487067,1.0447401,1.0329669,0.86550826,1.0616186,0.9245227,1.1687847,0.94238067,0.73644143,0.83543384,0.80392915,1.1712201,0.92409503,0.9814952,0.88669276,0.84791803,1.324948,1.0475829,0.98646516,1.0281569,0.6862367
