,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,cookie,corn,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.1605686,0.89802223,1.1849241,0.94619757,0.9659743,1.0767521,0.8375696,0.83960605,1.1721661,0.94513875,0.90098286,1.1276118,0.8399817,0.96712744,1.0823689,1.2424554,1.1741014,1.0145019,1.0772268,1.0997415,1.1086315,0.84251696,1.1404004,1.0567076,1.2539165,0.855973,1.0575813,1.0642488,0.9780237,1.1223308,0.9130856,1.1119223,0.9104777,1.1139385,0.8893348,1.2913039,0.9393315,0.7018254,0.97614837,0.9225495,0.9898469,1.000126,1.0442326,1.0849901,0.903953,1.1485347,0.9111911,0.88836765,1.0779516,0.7879073,0.74845624,1.2424126,1.1586685,0.86897224,0.9623218,0.92866105,0.9963455,1.2562628,0.79048955,1.0272186,0.8807106,0.951918,0.8639989,1.107237,1.0797768,0.9530726,1.0069718,0.960779,0.9579435,1.1231248,0.9394013,1.1437652,0.99121284,1.073672,1.1417248,1.112614,0.80869484,0.90705496,0.9578674,1.1284976,1.1301264,0.90384334,0.97694325,1.0511656,0.8658998,1.000755,0.9320712,1.1025342,1.0466884,1.071321,0.9425857,0.80621016,0.8715865,1.0833917,0.8424919,1.1143293,0.97355586,1.1490607,0.90872,1.0105455,0.86108756,1.2540953,0.8572037,0.9545211,1.1731813,1.094878,1.1768234,1.2728529,1.052269,0.88018537,0.8362997,1.2255378,1.1772833,1.0706965,0.9787579,0.9848735,0.93634677,1.1188495,1.1487523,1.2870939,0.97340727
apple,1.1605686,0.0,1.4145163,0.33417547,0.80470395,0.47634292,1.20907,1.3845291,1.5289507,0.75259364,1.4888864,1.1476632,0.72312677,1.4665751,1.2031229,1.091406,0.31334698,0.9177416,1.3804275,0.52522844,1.1454139,1.2032741,0.58260816,1.1642196,0.9812516,0.4055667,1.1399539,1.3503656,0.84275824,1.2636724,0.9733501,1.1136817,0.48498625,1.4662075,0.51412046,1.4860768,0.240718,1.3367476,1.3392532,1.318219,1.140519,1.2054455,1.227246,1.1633023,0.7121314,1.248953,1.1236203,0.6131001,0.89121675,0.55292207,0.65075916,1.1860001,0.417467,0.8406526,1.2231113,1.0153399,1.3285825,1.3690503,0.48967373,1.2203535,1.306257,1.3691745,1.2308342,1.4928042,0.63091624,1.1075678,1.2189119,1.180495,1.2414213,0.90733916,0.6419057,1.2126734,0.73491275,1.1694777,0.51813656,1.0734094,0.82957387,1.4492806,1.3491888,1.1926017,0.31490314,0.34995252,0.72926015,0.75698256,0.6892508,1.1606766,1.0035592,1.0597676,0.7572913,1.1591935,0.91545606,1.1899577,1.2621213,1.417866,0.66695106,1.4609823,1.0987272,1.2174388,0.5010705,1.2724117,1.0550029,1.261642,0.3486535,1.1454588,0.8032979,0.6146072,0.65647024,0.50150377,0.28613067,1.0815612,1.4010868,1.4338434,0.66565806,0.928879,0.8364489,1.1280923,1.0060358,1.2328544,0.80996174,0.6303894,0.65699375,1.1667743
arm,0.89802223,1.4145163,0.0,1.4028534,1.2916816,1.3118298,1.1523608,0.6073388,0.5205916,1.2214803,0.6221457,0.8027431,1.318565,0.4871605,0.8226118,1.0380894,1.3487345,1.144859,0.91359514,1.3994578,1.0639087,1.0157676,1.368619,1.1092699,1.1990662,1.2847427,0.77228606,0.9380843,1.2168481,0.77546096,1.1628509,1.0198351,1.3082454,0.63580626,1.3085248,0.7411358,1.4601014,0.88706505,0.86297166,0.8635983,1.0742859,1.0548015,0.8855997,0.8730038,1.2485503,0.6610215,0.75117254,1.353842,1.1506845,1.3275695,1.4231033,0.88980305,1.2505894,0.9691348,0.8157257,1.139615,0.56196904,0.4076844,1.2975639,0.96747816,0.8318722,0.548337,0.99667704,0.51481324,1.280533,1.1169057,0.87370133,1.024241,0.68880165,1.1851643,1.0567205,1.0055442,1.0985092,0.84985006,1.1494207,1.0604339,1.1695155,0.4414705,0.60158515,0.8474996,1.3137977,1.3288829,1.2523187,1.1350478,1.3596492,0.8943457,1.1900952,1.0880041,1.2139333,1.0463091,1.3953555,0.9745008,1.0046672,0.7934698,1.356436,0.38577014,1.0731297,0.57471466,1.321892,0.73824084,1.0513511,0.65340793,1.3867862,0.8777064,1.3096814,1.2803823,1.3065248,1.4062762,1.268228,1.1289324,0.46222556,0.60008377,1.3303363,0.85827494,1.1965505,1.1052155,1.1416752,1.0026444,1.2758312,1.3483697,1.1495144,0.8428431
ball,1.1849241,0.33417547,1.4028534,0.0,0.6925397,0.81660175,1.0692897,1.3379277,1.4698861,0.7277026,1.3998137,1.0742524,0.7478986,1.3955073,1.1512468,1.0326841,0.38165617,0.9791681,1.2849191,0.73016304,1.1059302,1.1241678,0.6912396,1.123574,0.97108114,0.41860926,1.1502427,1.2509952,0.8421437,1.2633603,0.8953731,1.1771731,0.6137729,1.3853803,0.5940287,1.4110606,0.30681807,1.2571428,1.308232,1.2532296,1.132123,1.2232494,1.1724567,1.1542671,0.67767006,1.2419363,1.0722158,0.6083951,0.93179077,0.6840409,0.78488237,1.1601473,0.50265026,0.85963476,1.1922511,0.9709671,1.2962763,1.3544496,0.53027177,1.1651945,1.2779754,1.3700621,1.182544,1.4372102,0.78546935,1.0738317,1.1916292,1.0862269,1.1263695,0.97851205,0.66057813,1.1742005,0.7801489,1.1330175,0.76645005,1.0863854,0.8607066,1.4201391,1.327311,1.1553161,0.46717143,0.5060852,0.9133333,0.67350835,0.762871,1.11937,1.1165434,0.9665741,0.81894845,1.1063075,0.8434454,1.1597365,1.1322559,1.2616347,0.8496315,1.4174113,1.0095154,1.2340277,0.5771865,1.2323122,1.1218886,1.2398275,0.30558884,1.1698924,0.86338866,0.5916437,0.75410724,0.5798093,0.26175457,1.0608014,1.3880715,1.4161373,0.79091406,0.88776374,0.83423233,1.0151904,0.9691591,1.2640648,0.8226733,0.6764002,0.62118924,1.1122894
balloon,0.94619757,0.80470395,1.2916816,0.6925397,0.0,0.8852792,1.0864947,1.2826138,1.3842282,0.73856044,1.3004482,0.86314714,0.82745886,1.206917,1.269815,1.0883776,0.8517153,0.8997587,1.2226799,0.72590184,1.0143744,1.1344383,0.7489686,1.0914373,1.09429,0.868612,0.92693245,1.1329458,0.77321875,1.2615502,0.95580274,1.0852089,0.73571146,1.2930229,0.68036175,1.3553408,0.71608436,1.1457249,1.2537348,1.1881714,0.9896163,0.88177514,1.1878538,1.0757571,0.61823964,1.2838396,0.94611526,0.5322467,0.993137,0.60099274,0.61624366,0.97906363,0.8022542,0.9866003,1.168392,1.0160254,1.220368,1.1603041,0.7217487,1.0478842,1.079513,1.2063491,1.0332121,1.3197534,0.71107316,1.091488,0.82287455,1.1544839,1.031361,0.944061,0.8277269,0.8074121,0.7977958,1.0203565,0.6361153,1.1023865,1.0645932,1.4020624,1.1798521,1.0266981,0.76146936,0.73039913,0.771829,0.7383295,0.8475357,1.107832,0.92991126,1.034854,0.91592926,1.249131,0.88953674,1.2584169,0.8661028,1.2092434,0.7010821,1.3714945,0.9207199,1.1298268,0.9394166,1.0284263,0.83934766,1.1746945,0.8015659,0.915553,0.7183492,0.66375965,0.5690268,0.6841136,0.9664206,1.0188891,1.3740169,1.3464594,0.8316456,0.8530209,0.9700027,0.7308752,1.2353607,1.1406924,1.0090002,0.8405592,0.7508756,1.0070186
banana,0.9659743,0.47634292,1.3118298,0.81660175,0.8852792,0.0,1.1326782,1.3650122,1.4883704,0.845119,1.4786723,1.161042,0.5705231,1.436875,1.252447,1.0824151,0.7571972,0.86458904,1.2739725,0.3998388,1.2723337,1.090742,0.5671486,1.1670486,0.9129547,0.8599282,1.2742031,1.2625517,0.88846374,1.3267655,0.92226946,0.873282,0.6616304,1.4656075,0.76607585,1.3084855,0.7498926,1.2612947,1.1293905,0.9788562,1.2473487,1.2404602,1.1731689,1.0617875,0.90737164,1.2432907,0.99360234,0.6836302,0.71797085,0.7167392,0.52148473,1.1816633,0.8015644,0.69348514,1.2168006,0.880635,1.31873,1.1810818,0.60297287,0.978728,1.369359,1.3724177,1.0421984,1.4058211,0.8226628,1.0568953,1.2409723,1.1420604,1.0063945,0.81668913,0.91368926,1.0539831,0.8860753,1.1024879,0.64147663,1.1053201,0.786129,1.4366297,1.3382183,1.2419957,0.75500655,0.6766764,0.4771648,1.0206611,0.5616417,1.1211171,0.7914112,0.9230682,0.68613255,1.097565,0.8571669,1.0950075,1.020795,1.3131309,0.4428048,1.4690332,0.876079,1.1600612,0.5522797,1.2442003,1.2154815,1.2514663,0.7200928,1.1031128,0.80231065,0.6516325,0.6728308,0.80134004,0.818027,0.88847584,1.3876866,1.404665,0.7505432,0.95197725,0.81699765,1.0518818,0.8843102,0.984955,0.783688,0.6895644,0.84977037,1.3517493
basket,1.0767521,1.20907,1.1523608,1.0692897,1.0864947,1.1326782,0.0,1.042833,0.83822745,0.8608946,0.79738855,1.01934,0.9983429,0.8916088,1.0304971,0.8585725,1.1161302,0.8195616,0.7076824,1.0497702,0.85647434,0.80381024,1.1562591,0.50723493,1.0188065,1.1226076,0.96933335,0.59005594,1.018424,0.98988456,0.7847307,0.94420296,0.93280375,0.8131988,1.1760422,0.7705003,1.022064,0.8161765,0.9171291,1.0038059,0.8990681,0.8457449,0.8507408,1.1664808,1.190234,1.15805,1.2629929,1.0703609,0.94443244,1.1099162,1.0230968,0.9025561,1.256536,1.2251744,0.979633,0.908816,1.132541,1.1765506,1.1453519,1.090392,0.77153784,1.04589,0.63912404,0.99671,1.0703136,0.6137556,1.0214694,0.91298956,1.0219197,1.073732,1.3764353,0.7725545,1.2612646,1.2046458,1.2834423,0.8561828,0.99107045,1.067661,0.943888,0.90843487,1.1915491,1.2123971,1.1677078,0.9152143,0.9148432,0.99161404,0.8463373,0.9749968,1.2489588,0.6918757,0.70028776,0.80432546,1.0011743,0.7938776,1.1201503,1.065583,0.8231199,0.9931308,1.0915903,0.86798686,0.9148149,1.2596798,1.1273252,1.1064496,0.91310996,1.230929,1.1916273,0.9914524,1.146834,0.8874239,1.0843318,0.91030383,0.9814262,1.255691,0.9488979,0.76133084,0.9459102,0.8183056,1.0151863,1.2358967,1.216421,1.0004666
bathtub,0.8375696,1.3845291,0.6073388,1.3379277,1.2826138,1.3650122,1.042833,0.0,0.52972233,1.3245089,0.6109487,0.9600678,1.3184487,0.6716449,0.6408895,0.9664955,1.322366,0.97537357,0.8000716,1.4547104,0.8568803,0.8372151,1.367854,0.94460887,1.0220138,1.3152685,0.8954388,0.9518272,1.0972146,0.64892006,1.1811466,0.9826822,1.2644216,0.6967137,1.3601043,0.6020655,1.3872772,0.67268956,0.89648366,0.9160897,0.9283093,0.81417155,0.9416526,0.96463984,1.1129966,0.71827596,1.0552566,1.4076787,1.0952837,1.4055674,1.3377059,0.7515251,1.356294,1.2221806,0.6962124,0.87326515,0.76027435,0.82333815,1.4816647,0.9511497,0.7975426,0.7374641,0.85310686,0.69166386,1.3212057,1.1055964,0.72684234,0.8225297,0.89471334,1.1441615,1.1899766,1.1225386,1.293071,1.0659317,1.3078508,0.9578397,1.0802076,0.56811756,0.82648766,0.87345856,1.3437171,1.4104877,1.2175277,1.2386848,1.3417658,0.87074196,1.0022353,1.187365,1.3057208,0.98850995,1.2443897,0.93975973,1.0456356,0.9417849,1.3665907,0.66151273,1.215584,0.887227,1.2845916,0.7560368,0.8590142,0.6473824,1.4035981,0.7935891,1.0676471,1.4211152,1.376996,1.4126643,1.3028443,1.0345703,0.67669,0.53379405,1.1186327,1.2280554,1.0430409,1.2023256,0.7347632,0.80254054,1.2271953,1.27509,1.3223847,0.8328861
bed,0.83960605,1.5289507,0.5205916,1.4698861,1.3842282,1.4883704,0.83822745,0.52972233,0.0,1.2613913,0.14432776,0.92643267,1.344948,0.28680003,0.6519825,0.92331505,1.5448714,1.0905148,0.56091624,1.4605633,0.8469591,0.9596498,1.4664756,0.8747851,1.0992049,1.3859092,0.68877184,0.4629115,1.2670437,0.5191299,1.2216761,0.9766912,1.3875105,0.22672594,1.4795489,0.24991155,1.5552871,0.60065395,0.6773579,0.9549921,0.9144957,0.92285264,0.86890876,1.0175936,1.3389163,0.70232433,1.1288042,1.5316024,1.2181025,1.4505935,1.4895623,0.8166862,1.46117,1.2568591,0.60923815,1.1724325,0.68656147,0.835083,1.5526264,1.016279,0.5258547,0.51730555,0.9989198,0.45172822,1.3308613,0.7303288,0.8220002,0.99351627,0.952614,1.1951263,1.3440952,0.99348617,1.3570449,1.0308661,1.396042,0.90247995,1.2271645,0.36134994,0.61568195,0.7726114,1.4188297,1.4879701,1.358285,1.1627879,1.3264527,0.807508,1.0196586,1.0749913,1.3793311,0.98171264,1.2294605,0.7865702,1.0730437,0.6996208,1.5176215,0.4346369,1.1640983,0.7303202,1.3922315,0.5610897,0.92283285,0.5558008,1.5543225,0.8645104,1.2982777,1.549849,1.4385602,1.4612046,1.3835425,1.0864687,0.4530561,0.31703174,1.3897485,1.3453634,1.2826618,1.1053177,1.0744339,0.80331665,1.3142426,1.4108541,1.4353077,0.7024666
belt,1.1721661,0.75259364,1.2214803,0.7277026,0.73856044,0.845119,0.8608946,1.3245089,1.2613913,0.0,1.2558663,1.0543447,0.6467697,1.1107461,1.1206771,0.9173103,0.8387592,0.98718494,1.2009265,0.9807889,1.0895352,0.953472,0.7352332,0.7375198,0.9662679,0.7187458,0.9202463,0.9225408,0.88181233,1.2555435,0.85807425,1.0980124,0.83011067,1.2316078,0.737579,1.2733868,0.6772081,1.1915712,1.2016673,1.2531792,1.1378328,1.0787387,1.1154251,1.0773249,0.96234465,1.286325,1.0837522,0.5348949,1.0060073,0.676522,0.72995573,1.1517984,0.82609224,0.73387283,1.2426825,1.0709158,1.2844732,1.276853,0.7381042,1.2345867,1.0261166,1.0728492,1.1103826,1.171905,0.69507957,0.90195674,1.0961282,1.0746902,1.075979,1.0916903,1.0398756,0.7646574,0.89111257,1.2532048,0.9116513,0.81116045,0.87732273,1.2712193,1.0336756,0.97126853,0.7665064,0.77201295,1.0551791,0.7125811,1.0233005,1.1728053,1.0963192,0.9913698,1.0479085,1.0964748,0.87066567,1.1644033,1.1893796,1.0988648,0.7270522,1.2421786,0.6866899,1.0173028,0.7398962,1.0564638,0.94980675,1.1538302,0.7031139,1.0151889,0.9021426,0.7268432,0.8109267,0.5884001,0.81039894,1.0136929,1.2306945,1.4124248,0.8619113,1.0103489,0.98756516,0.6554061,1.0936381,1.1685026,0.9209528,0.86525977,0.8849148,1.0553533
