backbone,tag,mean,std,n
DINOv3,dinov3_valid129_bin1_max256_top8,0.10108088162194707,0.07825436555441258,96
CLIP,clip_valid129_bin1_max256_top8,0.007062444508090657,0.0079809910270776,96
