cdi_category,displacement_mean,displacement_std,n_words,displacement_median,direction_alignment,displacement_cv,magnitude_consistency
clothing,1.1497,0.9784,19,0.7706,0.5551,0.851,0.5402
toys,1.0431,1.1102,11,0.4012,0.5236,1.0643,0.4844
vehicles,0.9296,1.0637,13,0.5701,0.669,1.1443,0.4664
body_parts,0.7551,1.173,14,0.2382,0.2647,1.5534,0.3916
household,0.7374,0.9506,39,0.2962,0.1107,1.2891,0.4369
animals,0.7246,0.4792,28,0.5497,0.6599,0.6613,0.6019
food_drink,0.6804,0.7817,42,0.4627,0.4158,1.1489,0.4654
unknown,0.6276,0.7775,7,0.4648,0.3536,1.2388,0.4467
outside,0.5439,0.6433,16,0.3263,0.4348,1.1828,0.4581
furniture_rooms,0.5156,0.5586,16,0.2564,0.2972,1.0834,0.48
