,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
slide,0.7172359,0.9546137,1.2765015,0.8627687,0.6608058,1.2600286,1.2692206,0.8957187,1.0076673,0.75437,0.25238752,1.0198478,0.50724554,0.74463344,1.0504231,0.39357895,0.76652026,0.674013,1.247159,1.4536365,0.5824605,1.3830416,1.1188757,1.4393363,0.5661168,1.3676888,0.9601664,0.6220649,1.2768693,1.0448221,0.8989648,1.2533562,0.5674417,1.2430265,1.4408712,0.36689377,1.3879778,0.8498441,0.9786457,0.77483416,0.97545785,0.75921535,0.5958972,1.3473715,1.106576,0.64576995,1.2551807,0.79691285,1.142922,1.2624435,1.4498692,1.3212864,1.3144255,1.1390513,0.4185363,1.0423099,0.87222767,1.4855134,0.752559,0.86131144,0.8786141,1.2082027,0.9032862,1.1901987,1.0612507,0.6478053,1.3418288,0.64889246,0.99142444,0.74273217,1.2528043,0.9794068,1.0636874,1.0872253,0.63391685,1.3582335,1.1747289,1.3373358,1.2484564,1.3233572,1.1152267,1.3546269,1.0404437,1.0155643,0.6466431,0.788259,0.7078346,1.4348882,1.4074985,1.3175616,1.1246063,1.1213094,1.1634899,0.71988773,1.3368616,1.2490778,1.1930001,1.1753674,1.1792188,0.9139656,1.2902524,0.59329593,1.3719134,0.9065387,1.0887825,0.6785994,1.3853388,0.8531684,1.0793693,1.0320178,0.0,1.482549,1.2530994,1.0732583,1.230478,1.0422779,1.1953132,0.8028743,1.4520568,0.82352924,0.6357189,0.36051887,1.1087567,1.4105853,1.3060397,1.106742,1.384572,0.7082973,0.5985464,1.0715224,1.3525283,0.7150513
slipper,1.4260261,0.8842232,0.73143977,1.3716221,1.313761,0.72637147,0.7097878,1.2346675,1.0690975,1.216516,1.5097623,0.8049815,1.3369638,1.2273655,1.0994242,1.419678,1.2912563,1.2151258,0.8482052,0.5332947,1.3286766,0.85715723,0.9708686,0.37696397,1.4086388,0.5579798,1.0404164,1.2790658,0.8591955,1.1648269,1.1616491,1.0082935,1.2533019,1.0546904,0.3997482,1.5102537,0.5903969,1.4544458,1.2059758,1.1380829,1.1148076,1.1926019,1.3273011,0.5150816,1.0467871,1.2607751,0.7611337,1.2610557,0.7808491,0.86974853,0.55271775,0.5101367,0.76634955,1.0548368,1.3277893,1.0968323,1.2498376,0.3138318,1.0868704,1.1857829,1.2015227,1.0441692,1.05312,0.7278644,1.1069833,1.2768948,0.6102907,1.2309268,1.0519292,1.2451766,0.938425,1.2290753,0.93983257,1.0227643,1.4494375,0.419356,1.1723857,0.52093863,0.84617406,0.465757,0.7401005,0.525393,0.9564823,1.1183503,1.3367139,1.001605,1.3128079,0.7393697,0.47432023,0.5978104,0.83850014,1.1735684,0.79372287,1.157199,0.8773488,0.8518128,1.0028801,0.99240166,0.8254999,1.059434,0.70368147,1.4289609,0.7588037,1.1021317,0.923632,1.3256164,0.6232905,1.0063609,1.0466508,1.0340531,1.482549,0.0,0.63657427,0.71459556,0.6105626,1.1062337,0.9462869,1.3472819,0.60038036,1.0603292,1.3126553,1.4987526,0.88967353,0.38904607,0.51136947,0.9720354,0.672533,1.1836408,1.4381311,1.0532087,0.24044538,1.2900254
soap,1.3417077,1.2477112,0.73066354,1.2670133,1.2984425,0.7630256,0.8910867,1.1014559,1.1212797,1.1101053,1.2790835,1.0642728,1.230145,1.3710136,1.0944008,1.3517759,1.2768189,1.1939166,0.8610256,0.62139326,1.3621771,0.8199505,1.2306482,0.8754615,1.0876284,0.74655974,0.9706264,1.2494057,0.75413316,1.1290468,1.0335174,0.897692,1.2413206,0.9613426,0.35783815,1.3139923,0.8614561,1.22849,1.2407227,1.3632631,0.9694814,1.2196132,1.3416674,0.46463072,0.8825232,1.1835046,0.5985184,1.1332799,0.9849431,0.7601476,0.46985185,0.6965843,0.7306762,1.0917373,1.2237985,1.071309,1.2416507,0.5647651,1.2978431,1.1430297,1.1499388,1.0157207,1.276123,0.9854405,1.1519997,1.2349322,0.6238649,1.3732723,1.1616995,1.2426859,0.8012662,1.1445854,0.99610794,1.1282852,1.4731028,0.5552003,1.0465134,0.23311901,0.8642396,1.0427366,0.9751067,0.7552675,0.9475713,0.9829055,1.3335981,1.3149251,1.2441344,0.4760716,0.31728828,0.6347927,1.0216049,0.9815933,0.99781805,1.3570241,0.7538415,0.98202515,0.9058265,0.9901009,1.0075856,1.3241436,0.68281627,1.2245092,0.74261177,1.2712165,0.90077275,1.311594,0.6095582,1.248906,0.95947516,0.97591466,1.2530994,0.63657427,0.0,1.1124736,0.40637028,1.1162729,0.8964314,1.1261345,0.6520085,1.1857736,1.3523712,1.3822063,0.8008927,0.6420765,0.4920531,1.1112896,0.58036184,1.2219977,1.3548391,1.0243386,0.52331185,1.0537062
sock,1.2280858,0.27311122,1.0733899,1.1604582,0.85519004,0.94231385,0.9078054,1.0981828,0.91978455,0.9745514,1.1068633,0.95338887,1.0572126,0.90405995,1.0221032,1.0069379,0.9151219,1.0112774,0.9694932,0.89677274,0.9676734,1.013945,0.7079921,0.6267289,1.2102448,0.8883689,0.9649527,0.94001067,1.1385834,0.79594076,0.93468875,1.1887836,0.9601966,1.1991308,1.010441,1.1127254,0.6622036,1.1468749,1.0846193,0.6781671,0.99496263,1.1059558,0.9125719,1.1064746,1.011647,1.0442218,1.0747334,1.2600104,0.79433215,1.1890429,1.0708537,1.0487134,1.1202258,1.1696396,1.0891795,1.0168607,1.146321,0.9641638,0.52096,1.0324038,1.2200706,1.178231,0.89159745,1.0282924,1.1396333,1.0380331,0.97983456,0.79398185,1.1478158,0.8585097,0.986653,0.9451552,1.1389441,0.9202646,0.8601226,1.1186273,1.075998,1.1246915,0.8657099,0.8379713,1.0724665,0.9567497,0.86876684,1.2091419,0.9149489,0.7660131,1.1120101,1.1062508,1.1098635,0.97486454,1.0359963,0.96368086,1.0626761,0.6279327,1.0991136,1.0767211,1.1280606,1.0594848,0.98009485,0.7769016,0.95516956,1.209657,1.1988881,0.92898047,1.0153573,0.99777883,1.0696092,0.85522026,0.9670023,0.8768568,1.0732583,0.71459556,1.1124736,0.0,0.97080797,1.0735309,1.0620327,1.1735988,1.1025068,0.91916585,0.96684486,1.1117249,0.95533746,0.8757416,1.075826,0.97855806,0.8857302,0.9840521,1.1515889,0.9564025,0.916496,1.0697936
soup,1.3224306,1.110808,0.74408495,1.2121156,1.3272576,0.8085377,0.805305,1.1698369,1.0094085,1.267054,1.24319,1.0724287,1.2561159,1.3421295,0.9883602,1.3286355,1.2650938,1.107795,0.76751196,0.5795129,1.2711235,0.85336596,1.0670558,0.7872188,1.1515601,0.9018601,0.9395282,1.2512319,0.78093517,0.9544136,1.0630165,0.9499301,1.2388811,1.0347431,0.3705901,1.3135843,0.7565232,1.243279,1.1558906,1.1923585,0.97979856,1.2674725,1.2881308,0.46943015,1.0375681,1.2678816,0.7102013,1.1714915,1.1352644,0.90393764,0.4671347,0.6565491,0.81439275,1.047125,1.1398008,0.97381973,1.2973887,0.55250025,1.3095711,1.2178,1.1447589,1.0831544,1.3515668,0.9441193,1.1993665,1.1952816,0.62351525,1.3871531,1.1796293,1.1654286,0.77120066,1.0858046,1.1112022,1.013963,1.4419026,0.7197317,1.0168053,0.36202836,0.96610045,0.9744935,1.0686796,0.8318795,0.98715544,1.1031855,1.295982,1.2856369,1.2431304,0.44315505,0.47560006,0.6390079,0.9836578,1.1053345,0.934322,1.2994471,0.83559084,0.87097836,0.9123543,0.95887667,0.98584944,1.2329025,0.7440941,1.1788272,0.8974979,1.2798421,0.8585685,1.2824497,0.67574817,1.364855,1.0306767,1.143792,1.230478,0.6105626,0.40637028,0.97080797,0.0,1.2014008,0.8923223,1.1585368,0.6277658,1.125065,1.277662,1.3575213,0.78344405,0.75317454,0.43998277,1.071781,0.72890496,1.1360373,1.263767,1.0328029,0.5643974,1.0284984
spoon,1.0293576,1.0863267,1.0421714,0.8039684,1.0557314,0.9884944,0.9703873,0.7602919,0.7880363,1.0049223,1.1350315,1.0515574,1.099226,1.1184336,0.98969245,1.1197369,1.0273644,0.92273724,0.79403794,0.86173946,0.99235255,0.74827564,0.90564126,1.0782787,1.2229242,0.9855555,1.3250794,1.1324997,0.84385324,1.0540196,1.1185492,0.74854815,1.1359011,0.7840642,1.1302097,1.0736153,0.85264343,0.6776052,1.1148196,1.1102029,1.0575106,0.96067095,1.1433192,1.1551874,0.8012588,1.1893017,1.0562702,1.1739528,0.78718734,1.0576574,1.1346989,1.227289,0.6902183,0.96311915,0.9991027,1.0792114,0.9355278,1.1847246,0.9553382,0.8784676,1.1735393,0.7945627,0.8756975,1.109879,1.0858847,1.1845078,1.0331465,1.1015937,0.78756785,1.0321999,0.77841175,0.7937847,0.8763857,0.96364826,0.9153142,1.1380858,0.6612754,1.1375831,0.9767378,1.1320498,1.1241047,1.1837318,0.94762117,1.0708833,1.1861008,1.1836343,0.9599446,0.96338284,1.0831418,0.93700194,0.98921746,0.7533641,1.0184857,1.1330726,0.97736055,0.9599258,0.67645466,1.0312665,0.9589478,0.8856396,0.832625,1.1147349,0.9351165,1.1274225,0.89198893,1.1855521,1.062686,1.1031837,0.99086964,0.93983656,1.0422779,1.1062337,1.1162729,1.0735309,1.2014008,0.0,0.8526582,0.79840577,1.0636264,0.82152426,1.1555184,1.0468899,0.8496679,1.0623958,1.1635804,0.8616786,0.9927664,0.8796724,0.78658766,0.77389944,1.0969801,1.2396665
sprinkler,1.1153576,1.1368886,0.80119085,1.1475801,1.2483051,0.6970025,0.7782798,1.1471001,0.8470744,1.2644825,1.2364631,1.0157133,1.3501513,1.2640657,0.8160665,1.274172,1.294622,1.116512,0.6003889,0.8385771,1.2862726,0.9511012,0.9819691,0.9375774,1.1421038,1.014172,1.1634464,1.2614113,0.5071033,0.8470127,1.1418654,0.8348262,1.272582,1.0788571,0.8366352,1.2868054,0.79385716,0.91661894,1.039094,1.1034894,0.9409506,1.2304212,1.1511073,0.9384863,0.71942204,1.183084,0.7433048,1.1379273,0.9979138,1.0424988,0.7532186,1.0804242,0.78470725,0.7608026,1.1076008,0.873063,1.0991304,0.8552209,1.1246758,1.1608534,1.1164083,0.79934156,1.2278421,1.0060265,1.0351506,1.1925137,0.7840532,1.3467596,1.1533649,1.2118819,0.44594336,0.99230933,1.195972,0.88433564,1.1990042,0.99455756,0.96110016,0.8332351,0.91531265,1.0884463,1.2389961,0.99644005,0.95548,1.173679,1.2195712,1.3335686,1.2696725,0.8967513,0.67815983,0.77283025,1.0507234,1.1419462,0.9919808,1.2534604,0.9381003,0.8534755,0.97188276,0.8682231,0.96257496,1.0166624,0.5455922,1.1463593,0.73970115,1.1918476,0.70852315,1.1833141,0.7875776,1.3028936,0.94380456,1.0809633,1.1953132,0.9462869,0.8964314,1.0620327,0.8923223,0.8526582,0.0,1.1144289,0.80296546,0.9174024,1.1355982,1.3238999,0.6668376,0.9353147,1.0417376,1.1112351,0.71691287,0.81401664,1.1014364,0.7722058,0.9930972,1.1041005
stick,0.78711784,1.0891229,1.17416,0.88303715,0.8351422,1.3091388,1.3151355,0.5441951,1.0960095,0.8275348,0.8699951,1.1110551,0.7871089,0.9088664,1.0737503,0.9008832,0.8737775,0.9698642,1.1594373,1.2377505,0.8735244,0.9683637,1.0544055,1.25538,1.0016111,1.2332896,1.0550053,0.8167602,1.1254764,1.0186845,1.0042776,0.95664966,0.7979472,0.9925861,1.3122479,0.7657784,1.2579755,0.9412906,0.90600884,1.0313138,0.9385025,0.947549,0.8782058,1.1629314,1.1424912,0.86239433,1.1703115,0.88532484,1.1199862,1.0237945,1.2067627,1.2335925,1.0847927,1.0658276,0.8774681,1.0162171,1.0159476,1.339184,0.9119263,1.0958205,0.9115331,1.0050746,1.0067884,1.1451683,0.88540757,1.0054857,1.1997398,0.8536174,0.8230668,0.7807906,1.0358186,0.7514341,0.8914094,0.97274595,0.7907659,1.2525557,0.9060169,1.231203,1.0496877,1.1971741,1.1249179,1.3582337,1.0302589,0.9183412,0.9339687,0.9523655,0.7843728,1.111737,1.2989602,1.2465258,1.0306249,0.6764674,1.061715,0.9290829,1.0407289,0.9949017,0.94326866,1.083772,1.0366108,1.0601597,1.1437478,0.7733302,1.0447468,0.91928476,1.1093596,0.93084824,1.2175053,1.0073936,1.0052061,0.9718366,0.8028743,1.3472819,1.1261345,1.1735988,1.1585368,0.79840577,1.1144289,0.0,1.1874249,1.0033426,0.89474374,0.7252523,1.2096353,1.3091809,1.1997355,0.8991742,1.1844089,1.1053731,0.76962245,0.8837272,1.3200812,0.95058006
strawberry,1.2001445,1.2161394,0.2967909,1.2235122,1.4143293,0.53964084,0.6542456,1.1019998,1.0630823,1.4083472,1.4591658,0.99614614,1.5033686,1.3822408,0.9151203,1.479829,1.3884559,1.1316514,0.6684347,0.62318474,1.3350341,0.7882189,1.0226141,0.76988053,1.3325762,0.68862975,1.1966919,1.4408971,0.62983227,1.0298462,1.2812631,0.77491915,1.4507015,0.94681084,0.43590719,1.5193295,0.71385217,1.1334822,1.1360538,1.2084572,1.1401181,1.3375802,1.3349774,0.58691007,0.7693791,1.2816834,0.65782344,1.2316823,0.9329667,0.78059864,0.5138282,0.71285355,0.75952005,0.73093796,1.2374414,1.060851,1.0764924,0.5973436,1.32183,1.1127844,1.1856434,0.96482337,1.2635822,0.8758203,1.0707104,1.2853227,0.7184705,1.4319775,1.2299852,1.3809316,0.77563274,1.0901757,0.78796315,1.035923,1.3832419,0.60757303,0.9405053,0.5070992,1.0062734,0.88683397,1.0295432,0.63856566,1.0183883,1.1263644,1.3629327,1.36023,1.2519687,0.5937035,0.48224425,0.59568954,0.868127,1.0241497,0.88106036,1.4218991,0.74211967,0.6908328,0.8861054,0.81824374,0.6282916,1.1641248,0.67100084,1.2461286,0.7311431,1.2965506,0.7744956,1.3483245,0.6331731,1.2930092,0.86516607,1.2043624,1.4520568,0.60038036,0.6520085,1.1025068,0.6277658,1.0636264,0.80296546,1.1874249,0.0,1.1375458,1.3376031,1.5307288,0.6847583,0.58386624,0.654058,1.0177796,0.76855385,0.98196995,1.2654333,1.0969031,0.62130517,1.2794251
stroller,0.8513197,0.8062215,1.043968,1.0704905,1.0500082,1.000055,1.0723933,1.0120462,0.93410563,1.1161405,0.7948806,0.9497501,0.92426586,1.0451277,0.84711355,0.83448905,1.0008851,0.8796748,0.9834642,1.046046,0.80416,1.0794082,1.0039458,0.9811172,0.83924544,1.1767981,1.2021474,0.86924016,1.0498588,0.8794031,1.1481225,1.0712086,0.85266507,0.9156205,1.159364,0.75881773,1.032174,0.9120945,0.8101922,0.7085149,1.0749141,0.9792451,1.0200752,1.2431084,1.0915039,1.0451365,1.1996511,1.0125195,1.0764146,0.9996804,1.2677623,1.106586,1.1580391,0.8234168,0.8312386,1.1266829,1.0251364,1.274252,0.82542056,0.986149,1.0718528,1.0250243,1.148626,1.1194528,0.90417004,0.98681,1.0616593,0.9598897,1.0850884,0.8922549,1.1104574,1.0015935,0.94162345,0.87474495,0.91811764,1.217394,0.97621745,1.2573763,0.9763733,1.1997793,1.1628376,1.1975116,0.98459333,1.039514,1.0029256,0.9454127,0.9778212,1.1569314,1.1568265,1.1598606,0.86448425,1.1195515,0.7923005,0.832336,1.1507708,1.0642488,1.1292584,0.82297844,1.0054046,0.81289566,1.0236182,0.9279823,1.0532781,1.089314,0.8661964,1.0651399,1.1371747,0.9991567,0.94922817,1.2046263,0.82352924,1.0603292,1.1857736,0.91916585,1.125065,0.82152426,0.9174024,1.0033426,1.1375458,0.0,0.960865,0.8074946,0.90633273,1.2560146,1.2848582,1.0658407,1.0237329,0.6192198,0.9074938,0.9062986,1.1625243,0.99978644
sweater,0.88261247,0.862905,1.259558,0.97544634,0.48798943,1.2528818,1.3521305,1.1081188,1.181314,0.73805606,0.5325142,1.1290061,0.60064983,0.41497165,1.0585027,0.61893857,0.6929238,1.100803,1.251997,1.4296687,0.87043667,1.3260257,1.0576538,1.1472722,0.68796235,1.3017788,0.8683888,0.55374426,1.2590611,0.9057968,1.0309259,1.2393677,0.60500365,1.235536,1.4988334,0.5515479,1.335963,1.0099946,0.95878595,0.9045583,1.0064075,0.8104737,0.13814992,1.2825809,1.1664487,0.6763394,1.3103725,0.614031,1.1453552,1.327001,1.3913186,1.1927013,1.3452673,1.219695,0.8908999,1.1152377,1.0094948,1.3703847,0.8548715,1.1914471,0.6090089,1.2190787,0.84822917,0.9820043,1.0357461,0.39507818,1.2661846,0.5076968,1.0663792,0.6769168,1.2853686,1.0657967,1.1542797,1.0614579,0.73853374,1.2857873,1.1491139,1.3390832,1.2172037,0.8720144,0.9856597,1.2373654,1.1160476,1.0667063,0.25592315,0.54624856,0.9152374,1.4251409,1.4691063,1.4736328,1.1204789,1.137158,1.1633452,0.7696529,1.3048627,1.1910058,1.3211272,1.1751344,1.1836778,1.0648983,1.3512757,0.5996798,1.2420404,0.6175556,1.2683772,0.2698425,1.2755766,0.687264,1.0113486,1.0220494,0.6357189,1.3126553,1.3523712,0.96684486,1.277662,1.1555184,1.1355982,0.89474374,1.3376031,0.960865,0.0,0.5657406,1.274351,1.2680805,1.2855735,1.1660278,1.3780785,1.1271415,0.90681326,1.0708112,1.3211572,0.7696234
table,0.636768,0.9242573,1.4704359,0.8125645,0.565433,1.4449996,1.4312313,1.0152735,0.99056995,0.58926105,0.25161237,1.0163283,0.28036755,0.6176862,1.1420828,0.3024007,0.5303982,0.65416425,1.2867877,1.4788699,0.42651534,1.3813589,1.0016521,1.3129604,0.5379833,1.4139221,0.9193826,0.34182298,1.3925089,0.937582,0.91012084,1.3348166,0.26473355,1.1744273,1.6188381,0.22816336,1.4514856,0.93337923,0.8608329,0.7942241,0.9053406,0.5907876,0.6200036,1.373098,1.2951189,0.6214099,1.4242113,0.77868617,1.2262974,1.251327,1.5449104,1.2966743,1.3672016,1.2453942,0.6145783,1.1088382,0.8293638,1.5812234,0.7361091,0.87518835,0.82547367,1.205972,0.8499862,1.2104143,0.9389869,0.60033643,1.2890555,0.5169008,0.85598445,0.49994886,1.3458996,1.0248128,1.1401167,0.96907365,0.58870417,1.4113282,1.1555588,1.487567,1.03934,1.2450463,1.1113459,1.4577155,0.8978973,0.9345573,0.56940275,0.59993887,0.54753256,1.4996667,1.582634,1.5231938,1.1787851,1.1582818,1.1365777,0.5200208,1.3254286,1.1988108,1.2070466,1.1900762,1.2968152,0.8491844,1.3835796,0.42511708,1.363065,0.7744018,1.2716367,0.5784158,1.4197867,0.7646241,1.0721326,0.92618066,0.36051887,1.4987526,1.3822063,1.1117249,1.3575213,1.0468899,1.3238999,0.7252523,1.5307288,0.8074946,0.5657406,0.0,1.3748617,1.5443456,1.3852639,1.1154898,1.332098,0.9300275,0.6588905,1.0250556,1.495779,0.5996722
tape,1.2530386,1.029066,0.4287991,1.0708013,1.4283588,0.30409324,0.44497508,0.90538716,0.7403531,1.3228974,1.2445341,1.0559237,1.4398241,1.3978338,0.8111103,1.2272234,1.293978,0.92860466,0.63167554,0.4719231,1.1877353,0.80804974,0.9586359,0.941911,1.2626066,0.9323481,1.258618,1.4242444,0.58293205,0.97908425,1.1517099,0.7210043,1.4204028,0.9774603,0.6230674,1.3682871,0.641443,0.62400794,1.1669737,1.1016732,1.1807879,1.2305648,1.2784417,0.9502513,0.3543896,1.3498318,0.71651447,1.2339184,1.0181977,1.0159854,0.85031056,1.0701314,0.91057396,0.8094528,0.9206325,0.9978725,0.9052628,0.898427,1.1637399,0.8144523,1.2816391,0.92270476,1.324934,0.9573878,1.2658327,1.3388221,0.83242345,1.4132557,1.3219924,1.3278422,0.6676725,0.97471845,0.84450305,1.0298572,1.2089763,0.9894186,0.8004238,0.7774426,1.1168472,1.1404139,1.2028198,0.81608,1.0140946,1.232506,1.3728447,1.4383161,1.2062112,0.752582,0.70914197,0.5956392,0.9007065,1.0286181,0.9912221,1.2537086,0.87922174,1.0013961,0.6816848,0.8787832,0.77721477,0.99237543,0.60263795,1.2962908,1.0502055,1.3318698,0.7139135,1.3848906,0.8743866,1.4418228,1.058472,1.0751036,1.1087567,0.88967353,0.8008927,0.95533746,0.78344405,0.8496679,0.6668376,1.2096353,0.6847583,0.90633273,1.274351,1.3748617,0.0,0.83602273,0.9351882,0.9528929,0.9077674,0.5269056,0.8407643,1.121011,0.84965336,1.260568
toe,1.4398215,0.9592634,0.63919795,1.2553034,1.1725852,0.56162065,0.64763296,1.1364763,1.2130134,1.2612072,1.4429123,1.1026695,1.459373,1.2172034,1.0972382,1.4428906,1.2869473,1.3344436,0.90218306,0.7405471,1.4828017,0.8300089,1.0602387,0.78007734,1.3773906,0.36974192,1.0947921,1.3980329,0.9663823,1.2364099,1.1877509,0.89067996,1.3586034,0.9985383,0.48724836,1.5364225,0.6236875,1.2800572,1.1890591,1.1283327,1.2048075,1.3192226,1.2763374,0.5291675,0.7486898,1.2203058,0.67511123,0.99328953,0.44535697,0.90504354,0.60142475,0.70281184,0.8782901,1.0662,1.2575135,1.1055346,1.1963073,0.36543095,1.1046252,1.0843234,0.96700966,1.033808,0.7843554,0.53016365,1.13748,1.2839475,0.80129504,1.2287594,1.1290296,1.3573884,0.95274425,1.185824,0.8870784,1.2044065,1.2688768,0.3917731,1.0935942,0.34621,1.0614297,0.55428183,0.44720483,0.30227458,1.1696941,1.1083155,1.2966739,1.1380875,1.3799756,0.7285865,0.5626309,0.66392034,0.928458,0.98262304,0.98135036,1.2815473,0.89893556,0.9558753,1.0350807,1.0072353,0.6701734,1.3087262,0.8196076,1.3820548,0.71808517,1.1311407,0.9840219,1.3041008,0.7693148,1.0409403,1.0076021,1.0953578,1.4105853,0.38904607,0.6420765,0.8757416,0.75317454,1.0623958,0.9353147,1.3091809,0.58386624,1.2560146,1.2680805,1.5443456,0.83602273,0.0,0.45664203,0.8890318,0.8193444,1.1589812,1.386821,1.1696744,0.30903447,1.2832841
tooth,1.3269776,1.1725318,0.7851188,1.2184908,1.2849295,0.8540484,0.81864226,1.1223285,1.1299273,1.1867658,1.3001221,0.9748588,1.2743676,1.2392346,1.1288803,1.321743,1.2286412,1.1915905,0.9825965,0.68354106,1.326178,0.9101861,1.1757494,0.8261881,1.23314,0.6474685,0.9390299,1.2536467,0.89324784,1.2072244,1.0741425,0.95829815,1.2595454,0.9972722,0.40560877,1.3686419,0.8344618,1.2889469,1.2222916,1.2885373,0.99958676,1.2438129,1.2918525,0.39210236,0.9909245,1.2359729,0.64285874,1.0849358,0.8532414,0.88942605,0.4722848,0.54970425,0.7851691,1.1169466,1.2125924,1.0860695,1.1758003,0.41932058,1.2745075,1.065962,1.0772995,1.0513391,1.0690072,0.83915603,1.1349195,1.2195225,0.6979413,1.2666593,1.0668073,1.2054482,0.93389106,1.1945432,0.94381213,1.110956,1.4101343,0.4123522,1.1232315,0.31710005,0.95226026,0.72322756,0.6576463,0.6255531,1.0466759,1.0620126,1.2738432,1.1426599,1.2355106,0.5863023,0.5493907,0.6971339,1.0018947,1.0349447,0.9402703,1.3216916,0.8802913,0.9089174,0.9720901,1.0342772,0.9918729,1.2713264,0.87190026,1.2563058,0.7893987,1.2267123,0.9985656,1.2482203,0.6076318,1.1593034,1.1006715,1.0647384,1.3060397,0.51136947,0.4920531,1.075826,0.43998277,1.1635804,1.0417376,1.1997355,0.654058,1.2848582,1.2855735,1.3852639,0.9351882,0.45664203,0.0,0.93436044,0.7644745,1.2236806,1.3246217,1.092249,0.34506452,1.1029348
toothbrush,1.0069462,1.0355452,0.9790396,0.7500279,1.0699292,1.025138,0.8125652,0.73799634,1.00169,0.9135753,1.1992325,1.0921578,1.1384981,0.9822035,1.0912155,1.0736396,0.93612486,1.0097747,1.0454059,0.9777142,1.0091963,1.0270919,0.88909334,1.0028011,1.111908,0.899804,0.94591683,1.1467016,1.1455629,1.1203415,0.8814706,1.0922705,1.1502959,0.9060523,0.8182886,1.1645303,0.9971634,0.93452686,1.139306,1.0004069,0.99253577,0.96435434,1.1252598,0.9223682,0.9793151,1.1614002,1.1494656,1.1414254,0.8405056,0.8431445,1.1023108,0.9730394,0.88057894,0.9711699,0.9677953,0.9971198,0.7276367,0.9701714,0.8573097,0.6764841,1.1606233,0.8762444,0.6575412,1.0484145,1.1114941,1.1692764,1.1379882,0.96307,0.6338826,1.1454468,1.0334008,1.1105798,0.80488455,1.0029985,0.8754853,0.9492364,1.0586882,1.0984346,0.9249241,0.839112,0.8359946,0.861961,1.1567938,1.0352457,1.0994911,1.0535334,0.8935571,1.0492672,1.0245966,0.6192145,0.9675228,0.6075557,1.1797324,1.0242953,0.99966025,1.0284489,0.7762601,1.1144062,0.9921291,1.1119934,1.076452,1.1609768,1.0933094,0.90005255,0.9077236,1.1254411,1.1113468,0.9709042,1.0132488,0.8354243,1.106742,0.9720354,1.1112896,0.97855806,1.071781,0.8616786,1.1112351,0.8991742,1.0177796,1.0658407,1.1660278,1.1154898,0.9528929,0.8890318,0.93436044,0.0,1.0528151,0.89911455,0.8593588,0.9586311,0.9227805,1.1345453
towel,1.3308822,1.1543713,0.95047575,1.2520462,1.3594894,0.829122,0.7865449,1.209854,0.792881,1.0148611,1.3720373,0.9020049,1.1616812,1.4098152,0.9982066,1.3382264,1.1464745,1.160763,0.63518417,0.5259826,1.3351091,0.88364214,0.92960215,0.63137877,1.1754807,0.78061324,1.1115624,1.0323637,0.6924938,0.81830955,0.86967385,1.0282713,1.1482316,1.1183462,0.61015654,1.2055535,0.71608937,1.2604728,1.0993866,1.1631615,0.80482924,1.2517897,1.3991127,0.72179914,0.89347005,1.223068,0.7098853,1.2825997,1.0741721,0.7655501,0.55289626,0.71123564,0.65290153,1.0269573,1.343285,0.895623,1.2774465,0.6137337,0.9443035,1.1910096,1.257571,0.806493,1.3431609,1.007387,1.0057025,1.370568,0.6032283,1.4190857,1.1382847,1.1755022,0.581115,1.0820659,1.1915534,0.73071563,1.3393931,0.7115442,1.1224219,0.6647276,0.28261197,1.0453192,1.1168443,0.93052137,0.6927835,1.1439462,1.4044182,1.2612388,1.251781,0.7000612,0.47433066,0.7712563,1.015824,1.0195805,0.9489603,0.9999701,0.82739884,0.9065299,0.9075639,0.89436734,1.1661568,1.05709,0.50494105,1.3042824,0.65085673,1.3092103,0.87608933,1.3882881,0.49661958,1.2668211,0.94971025,0.69663125,1.384572,0.672533,0.58036184,0.8857302,0.72890496,0.9927664,0.71691287,1.1844089,0.76855385,1.0237329,1.3780785,1.332098,0.9077674,0.8193444,0.7644745,1.0528151,0.0,1.1563141,1.3999119,0.73914695,0.8308437,0.97429156
