,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.4334441,0.6580772,1.3620478,1.2809913,0.80002713,0.7049631,1.0909936,0.83014035,1.169461,1.3081257,0.0,1.3042543,1.4088402,1.4012004,1.2391276,0.99989843,0.5620923,0.7280622,1.2103508,0.8010553,0.46447873,0.8226959,1.2680541,0.59020764,0.71184886,1.0376751,1.1210976,1.2108498,0.5647565,1.0007563,1.2658143,1.1683104,1.0180961,1.355885,0.82956976,0.49170053,1.2634841,0.5120605,1.228989,0.96483207,1.2785683,0.91331756,0.8295921,1.1939218,1.2234819,1.3034999,0.6657641,0.8189643,1.1928732,1.1519302,1.2460662,1.0032775,0.56400317,0.5281856,1.2966344,0.8007926,1.0823152,1.0569403,0.7632063,0.62024856,1.148812,1.0583394,1.2627227,1.361591,0.69620484,1.2575082,1.287086,1.0832018,1.3938725,0.7005409,1.3004441,0.47228533,1.1281719,1.0103519,1.3753033,1.0434284,0.6098095,1.1968333,0.5833508,0.7851466,0.8059506,1.2380574,0.7185546,0.8461709,1.1641157,1.3312426,1.1491116,1.3397701,0.57426995,0.7179948,0.9179392,0.92922974,0.64376485,1.2690411,0.61528367,0.84118164,1.1686665,0.821676,1.006264,0.6983728,0.6996105,0.83417,1.2392702,0.69261104,0.8332914,1.2709155,1.1096874,1.271455,0.7031751,1.2242689,1.2565144,0.75927246,0.65763134,0.5652325,0.6385569,1.0673715,1.3032907,1.4024162,0.5785305,0.9384446,0.75316095,1.2401234,0.81032467,1.0893875,1.2251508,1.0006274,0.99935764,0.5507981,1.1842602
bench,0.62122095,1.4394417,0.86509717,0.75633585,1.4248617,1.4609216,1.2893472,0.93177354,0.5904359,0.32368004,1.3042543,0.0,0.7864114,0.45434803,0.78678495,0.9869412,1.4798038,1.2016456,0.7016299,1.4908631,1.1251913,1.151911,0.82282686,1.169735,1.1446003,1.291233,0.86245906,0.13247901,1.2865103,0.6692852,0.6919962,0.7945548,1.2925234,0.2684821,1.4110037,1.5140475,0.2903946,1.3759613,0.84238464,1.0760735,0.66056705,1.1301712,0.72895676,0.54087424,0.7325555,0.78053546,1.4329908,1.4441907,0.8673913,1.193556,0.8821131,1.3450751,1.4813594,1.4601005,1.0151865,1.2682173,1.2649461,1.0829923,1.4480253,1.2444234,0.8389261,1.3114638,0.93449014,0.9736322,1.4518561,0.75695264,0.61556,1.0332085,0.6075202,0.97943157,0.3331114,1.0904619,1.2254164,0.99682176,0.8269292,0.9487017,1.1937408,1.1417999,1.4396412,1.1729612,1.2562072,1.1222271,1.4815092,0.8408857,1.0260836,0.69338304,0.6897365,0.64946353,1.4083583,1.3849304,1.3819875,1.2278913,0.84798115,0.9131788,1.3043761,1.1817958,1.0504119,1.1707866,0.83962834,1.1676767,1.4401907,0.80178785,0.8474501,1.3969028,1.2569144,0.71847284,0.85375786,0.67113507,1.2020802,0.60378945,0.6611322,1.4553776,1.3200598,1.2340858,1.5362664,0.8615298,0.61430347,0.32665825,1.4089012,1.4466124,1.4047866,0.8643483,1.0653867,1.0803313,0.7825399,0.88867384,0.54485846,1.4848456,0.50582707
bib,0.5551258,1.4264249,0.67206055,0.48100507,1.3457059,1.4714344,1.1048607,1.1452979,0.5938611,0.50346446,1.4088402,0.7864114,0.0,0.48312426,0.6371153,0.9325144,1.5534619,1.282907,0.6884801,1.5832013,1.4543867,1.159936,0.70345074,1.540996,1.2384245,1.2684249,0.6367725,0.81749344,1.4055135,0.87034667,0.44695616,0.9213021,1.2521483,0.63162285,1.4599919,1.579123,0.6431503,1.5689597,0.9973391,0.93492866,0.724904,1.1265692,1.1034662,0.7290782,0.5069732,0.72442424,1.47339,1.415978,0.75069344,1.0788503,0.64116037,1.224014,1.5049499,1.609095,0.91958,1.1282883,1.1373206,1.0429927,1.4460192,1.2453667,0.89246905,1.1054567,0.7525556,0.5696339,1.3539102,0.76243126,0.35653275,0.8664565,0.41608542,1.1999985,0.648526,1.410219,1.0816474,0.9911787,0.6143297,0.96653295,1.3441112,1.0767474,1.4727644,1.358369,1.1595054,1.0167395,1.449995,1.0477962,0.66219234,0.28557348,0.7213129,0.53273225,1.4088447,1.3048363,1.3793027,1.2597619,1.2861662,0.9014666,1.490442,1.1130732,1.0034637,1.2167569,1.0072571,1.4589721,1.4524117,1.0022362,0.6409313,1.4788171,1.2539163,0.31786,0.7521025,0.6370696,1.3708816,0.540417,0.5698085,1.5139309,1.26686,1.3675892,1.4966967,1.0556476,0.41935676,0.47132683,1.4525073,1.3439246,1.4248776,0.62021756,1.3144712,0.9370906,0.7067158,0.9050037,1.069046,1.5963794,0.7363287
blanket,0.469445,1.43627,0.8099575,0.64310044,1.3523612,1.4730787,1.1636828,1.20203,0.4828753,0.1839267,1.4012004,0.45434803,0.48312426,0.0,0.6712202,0.9430614,1.6070138,1.2835997,0.76637614,1.5335888,1.4144964,1.2512474,0.81965435,1.4653862,1.2480679,1.2183926,0.71732724,0.5164726,1.3370395,0.8377753,0.638904,0.78151995,1.2661822,0.3824339,1.415159,1.5388832,0.40034872,1.5239038,0.899703,1.110824,0.7026924,1.140222,1.1186316,0.6756423,0.57185245,0.63841516,1.5146706,1.4497824,0.7555359,1.1924354,0.82398224,1.2878014,1.4714223,1.5447929,0.9514609,1.3132555,1.1230794,1.1916121,1.473745,1.1942692,0.805407,1.2011664,0.8758814,0.8328319,1.3763386,0.69579595,0.44147855,1.0110689,0.39185584,1.1419861,0.54451364,1.445121,1.1640959,1.0880387,0.60651946,0.99537414,1.2836652,1.0790496,1.5052558,1.1279398,1.104183,1.0674826,1.4591262,1.0568492,0.6503316,0.4855339,0.4491303,0.5776488,1.4538462,1.3843312,1.2901282,1.2985449,1.0140224,0.7896466,1.4843352,1.1313623,1.1240163,1.2104638,0.8964974,1.3232658,1.3809508,1.0712684,0.6728176,1.5057404,1.2785699,0.50550175,0.7602198,0.4912272,1.2656841,0.46679747,0.4854036,1.3631604,1.3910413,1.4424479,1.5456059,1.039265,0.5101,0.24447954,1.4576637,1.3493944,1.4049184,0.7918687,0.9632063,1.0091395,0.7943944,0.9150623,0.81501883,1.5469061,0.65767395
boat,0.79188466,1.2539947,0.6778692,0.8328991,1.104304,1.2163478,1.1947036,1.0892433,0.5828164,0.61086196,1.2391276,0.78678495,0.6371153,0.6712202,0.0,0.5933444,1.3853647,1.1555935,0.45881498,1.4651673,1.2405806,0.9881375,0.831436,1.4291658,1.0395352,1.1832169,0.8691902,0.82261956,1.3684413,0.85662204,0.87614304,0.91824573,1.2498305,0.8244527,1.4144465,1.3388288,0.6678545,1.3579708,0.9475245,0.7320862,0.8785316,1.0436102,1.1385463,0.90686584,0.78453827,0.9707917,1.4068656,1.2447515,0.90503335,1.1415327,0.9470935,1.3409524,1.2636526,1.403857,0.9923403,1.2584156,0.99351585,0.8306358,1.4616226,1.1424358,0.8012171,0.70772415,1.0468656,0.86430216,1.3106546,0.8953812,0.7804928,0.6519257,0.8031,1.1168213,0.67324555,1.2482059,0.936008,0.8935315,0.9096354,0.969034,1.21206,1.1594994,1.3286316,1.2346746,1.2616395,1.2222226,1.3126107,1.0313922,0.8898092,0.72661024,0.96514124,0.5196597,1.3329203,1.3308018,1.3334639,1.2100011,1.1721994,0.99959767,1.3653498,1.0606911,1.094601,1.0012807,0.92542475,1.3207893,1.2355628,1.0082903,0.6088181,1.3901312,1.0091963,0.8138587,0.96446985,0.88697934,1.0660484,0.6718625,0.47163397,1.4325641,1.254281,1.2019383,1.3499718,1.1121944,0.85735905,0.5402579,1.2961738,1.3879434,1.3825898,0.58553135,1.2566245,0.519405,0.40472782,0.86856294,1.1391351,1.4666855,0.8791703
book,0.9991501,1.0986712,0.5939868,1.1188557,1.0035505,1.0717466,1.0937579,0.86336434,0.93818486,0.95592725,0.99989843,0.9869412,0.9325144,0.9430614,0.5933444,0.0,1.144986,0.993676,0.4055875,1.2018678,1.1337587,0.9006878,1.0195578,1.0977496,1.0302777,0.98208433,1.2099472,1.0804193,1.0871248,1.0003556,1.2719069,0.93776137,1.1371086,1.1082584,1.1872199,1.0229863,0.95633143,1.0705279,0.9951981,0.7152428,1.0361639,0.8995147,1.1400652,0.88792205,1.0998597,1.0174037,1.2306945,1.0822524,1.0546921,1.1436045,1.0879797,1.1169002,1.072711,1.2044173,1.0373785,1.0741338,0.7566262,0.65056896,1.2503803,1.158423,0.89847255,0.47632867,1.1383969,0.9644804,1.1360878,1.1528513,1.1616404,0.65455496,1.0224887,0.9023762,0.92292756,1.1181748,0.9184738,0.9812579,0.9952439,0.98057264,1.0560308,1.1516111,1.1965322,1.1024063,1.1729552,1.0639133,1.1217946,0.81854045,1.033123,1.0905004,1.0029962,0.47891706,0.9535712,0.97610676,1.0694386,1.0519278,1.1342138,0.8134967,1.1428741,0.89420164,1.216453,0.98940504,0.7524134,1.0064528,1.0907162,1.0364974,0.80928844,1.2971292,0.70502734,1.0880806,0.96582156,1.1259048,0.98743385,0.9203465,0.84420305,1.1193874,1.0783563,1.1245065,1.2224706,0.9581553,1.1175063,0.8311153,1.0828729,1.1706527,1.0895505,0.6825236,1.1496606,0.37454355,0.50064206,1.0302111,1.1435459,1.1746598,1.2086785
bottle,1.5669298,0.26411313,1.2872014,1.4389236,0.65235656,0.51214844,0.8073909,0.842435,1.4424782,1.6463416,0.5620923,1.4798038,1.5534619,1.6070138,1.3853647,1.144986,0.0,0.73334014,1.3146571,0.3676666,0.5586114,0.5617397,1.2189604,0.41406548,0.6683774,0.85569006,1.332825,1.3724723,0.56260693,1.2383292,1.3857098,1.2235277,0.8567862,1.5387207,0.5608562,0.286191,1.4934304,0.25706255,1.1805685,1.0817604,1.4037592,0.9633568,0.9236607,1.4135593,1.3898375,1.3366551,0.495749,0.6620575,1.2721002,1.0674157,1.3593285,0.88892347,0.33979982,0.31960237,1.2477932,0.8441812,0.99873465,0.9169805,0.5280092,0.6474859,1.1859488,0.9295073,1.2534461,1.454027,0.5387163,1.3381135,1.5316349,1.0799453,1.5755633,0.92281044,1.4326874,0.63289326,0.97097707,0.76744914,1.433101,1.0011009,0.7714009,1.0852386,0.31432104,0.6918313,0.8446821,1.1063948,0.33253837,0.9081189,1.1749796,1.5166376,1.448468,1.5332273,0.58751273,0.67147714,0.53509545,0.7884023,0.91231763,1.2642086,0.3894694,0.7725465,1.0262923,0.8376905,1.1871417,0.50516284,0.39421868,0.91198826,1.3675721,0.46097404,0.89130634,1.4816396,1.3197125,1.4262006,0.68626237,1.5266612,1.4865379,0.57958764,0.69929844,0.5223278,0.37394834,0.94185555,1.4866092,1.6838571,0.4007671,0.6937391,0.5023072,1.2956557,0.73425496,1.117729,1.3567728,1.1607093,1.0668669,0.26506495,1.3524954
bowl,1.3192261,0.8992501,0.9884989,1.2065171,0.7639458,0.7490072,0.83157796,0.6140293,1.0551641,1.2940792,0.7280622,1.2016456,1.282907,1.2835997,1.1555935,0.993676,0.73334014,0.0,1.0561749,0.69852185,0.850692,0.61708,1.2359666,0.770465,0.6995673,1.0102354,1.2965395,1.1378717,0.8790617,1.1678175,1.2820781,1.1640588,0.817464,1.3222504,0.8172995,0.9374932,1.1887219,0.49872446,1.0862467,0.756907,1.1398238,0.71033406,1.0086226,1.1463485,1.2742976,1.1857655,0.8624563,0.74150085,1.2007984,1.1175131,1.277568,1.069391,0.90880144,0.71819425,1.10063,0.694056,1.017504,0.79902744,1.0191174,0.698852,1.1705797,1.0360734,1.2926829,1.1948911,0.8759539,1.3049018,1.3619704,1.0669411,1.3194923,0.88505363,1.2331382,0.6763282,1.0339619,0.79403937,1.1536924,1.0071425,1.0029325,1.0456027,0.99203193,0.46623492,0.9546291,1.1923474,0.79994315,0.9366221,1.1913675,1.3319043,1.2436203,1.2835965,0.7794298,0.77905685,0.9865511,0.69726187,0.78164047,0.92942685,0.7701925,0.6304883,1.0324132,0.47620857,0.6888495,0.7405144,0.8581581,0.87541157,1.2748133,0.8344258,0.6628504,1.2905064,0.99220884,1.1555105,0.8153064,1.0455844,1.278852,0.9124357,0.47349167,0.9102134,0.8572835,0.84445214,1.2343695,1.1886172,0.6625498,1.0140609,1.0653242,1.2153459,0.654065,0.9957303,1.0602164,1.1197813,1.0788921,0.8252094,1.2749277
box,0.8807253,1.308596,0.56498027,0.9351313,1.1471778,1.2814717,1.1649168,0.72932816,0.8053514,0.7240327,1.2103508,0.7016299,0.6884801,0.76637614,0.45881498,0.4055875,1.3146571,1.0561749,0.0,1.4089274,1.2343078,0.8363647,0.908413,1.1578606,1.1436223,1.1299694,1.053977,0.80437475,1.2927756,0.92990017,0.94429094,1.0114295,1.207393,0.81271183,1.3302349,1.3547142,0.6440228,1.2420325,1.0240138,0.7602936,0.8649108,0.9570143,1.020619,0.7361839,0.9157784,0.9530622,1.3761672,1.279212,0.9952929,1.2547674,0.9969805,1.3194317,1.3651205,1.4022241,1.0305835,1.1914438,0.9612004,0.7912284,1.4650847,1.1889377,0.8656596,0.6698141,1.0963193,0.90978956,1.358069,1.0146501,0.88380694,0.6372296,0.8229319,1.0409063,0.61441946,1.2010974,1.0227587,0.8568501,0.92561555,0.8898667,1.1653472,1.2031207,1.3866985,1.2324209,1.3142288,1.1025612,1.3048507,0.8153685,0.9528606,0.8474572,0.9910951,0.40990448,1.2681227,1.208492,1.3319584,1.1429029,1.1864628,0.87948567,1.3189633,1.0489848,1.0970365,1.0328687,0.69368136,1.1588695,1.2556639,0.93546,0.65266585,1.442847,0.9464403,0.8812906,0.8940393,0.94362545,1.0979228,0.80219746,0.6498692,1.435211,1.2212594,1.2374313,1.4013252,0.9674542,0.8772262,0.5791541,1.287025,1.4249312,1.3389869,0.5774698,1.2304437,0.41226143,0.120955944,0.95085704,0.9742788,1.4314626,0.96615505
bread,1.4384942,0.42336893,1.3443577,1.309942,0.72804904,0.6059608,0.53413177,0.9611768,1.4444268,1.5879829,0.8010553,1.4908631,1.5832013,1.5335888,1.4651673,1.2018678,0.3676666,0.69852185,1.4089274,0.0,0.7472837,0.99288553,1.2814177,0.53652114,0.865945,0.6915576,1.27921,1.4555126,0.72318697,1.3410465,1.3835168,1.1373944,0.5063329,1.473372,0.1896314,0.35402966,1.5782256,0.49482042,1.0535046,1.2417401,1.2798784,0.95049876,1.1546375,1.3862417,1.3979162,1.1752766,0.37899965,0.53770226,1.2388475,0.81272185,1.271807,0.63910806,0.40027297,0.33469808,1.0559852,0.79772365,0.9588617,1.1033211,0.4245633,0.7911117,1.2247462,0.9954325,1.1858791,1.258942,0.6009279,1.2981191,1.5399599,1.2234814,1.4371082,0.9220419,1.5268989,0.8461845,0.86634237,1.168322,1.2624195,1.2155049,0.80066276,0.7521496,0.40690875,0.5611619,0.7650696,0.814795,0.31997776,1.1201296,1.2256315,1.5060817,1.3065164,1.532614,0.56214166,0.6201149,0.5298066,0.5414725,0.8738928,0.9030373,0.63941544,0.6502364,0.8176118,0.85759026,1.0992278,0.60190845,0.4267202,1.1883991,1.349169,0.46075928,0.83819515,1.4790635,1.2828118,1.3171741,0.7238569,1.4702756,1.5199989,0.3876977,0.67517936,0.75142455,0.30860263,1.048502,1.4805909,1.5947139,0.47405624,0.5012949,0.43298256,1.438658,0.60061896,1.2148234,1.3664963,1.2259581,1.2379256,0.30587137,1.4139285
broom,1.344783,0.8073166,1.3818073,1.2165765,0.98537886,0.82741123,1.1227407,0.7877605,1.2630894,1.3401233,0.46447873,1.1251913,1.4543867,1.4144964,1.2405806,1.1337587,0.5586114,0.850692,1.2343078,0.7472837,0.0,0.85645634,1.2094649,0.3196323,0.883973,0.87066996,1.0330762,1.0435134,0.46190846,1.0288002,1.1371691,1.1152248,1.0454388,1.2838956,0.83103716,0.5936212,1.1762487,0.5241071,1.1891358,1.1507345,1.3120558,0.98546815,0.5829047,1.1721587,1.2509906,1.1994636,0.532538,0.7965343,1.1080084,1.0798235,1.3383429,0.8976924,0.7792289,0.52730113,1.3039018,0.76424843,1.1481056,1.0202327,0.7012538,0.68107384,1.1586871,1.147531,1.2227908,1.3620129,0.70915836,1.240327,1.3185408,1.1297605,1.37286,0.6211252,1.1546438,0.45226812,1.1359185,1.0203983,1.3392997,1.121193,0.6060318,1.2339615,0.7052071,0.64198637,0.66842836,1.1451192,0.775354,0.8842613,1.1899271,1.3715656,1.198003,1.4246391,0.581203,0.705793,0.8299189,0.7246038,0.46285242,1.3054883,0.47904038,1.0624028,0.9947046,0.91393965,1.0876718,0.59192353,0.8632017,0.79188025,1.3261201,0.57334304,0.88855493,1.4181807,1.1007795,1.2221011,0.7817926,1.3473252,1.3534698,0.74321306,0.7261523,0.30228013,0.7559619,0.8870715,1.4125093,1.4096448,0.746329,0.88109094,0.8140388,1.3260947,0.58414936,1.3052989,1.326618,1.101378,0.64768374,0.6237296,1.0534353
bucket,1.2871329,0.92693204,0.88492084,1.1646506,0.73578364,0.8104363,1.0493242,0.5276694,1.1049771,1.3040249,0.8226959,1.151911,1.159936,1.2512474,0.9881375,0.9006878,0.5617397,0.61708,0.8363647,0.99288553,0.85645634,0.0,0.9783587,0.7906934,0.80751294,1.0974963,1.3416985,1.0475854,0.89308345,1.0800304,1.2093797,1.1860753,0.9687774,1.2929559,1.0070068,0.95472157,1.1324607,0.48584527,1.0710826,0.7449987,1.1614778,0.855206,0.8406761,1.2141685,1.1417459,1.2538614,1.0067891,0.87343407,1.1564256,1.2262378,1.3051419,1.1986597,0.9478813,0.8740415,1.2192533,0.8662838,0.95859534,0.6998893,1.1390059,0.72416013,1.005444,0.8327161,1.2543999,1.2357264,0.8724666,1.2073339,1.313299,0.8380011,1.3777374,0.95958793,1.1273594,0.68000305,1.0876215,0.22089255,1.1972747,0.8406904,1.1004751,1.172241,1.0048726,0.7388983,1.1032597,1.2419798,0.92177325,0.7298669,1.1508274,1.2407178,1.4295704,1.1777332,0.9032134,0.9117379,0.98785836,0.8913716,0.8999717,1.206622,0.788051,1.0330706,1.1291885,0.7261296,0.8167311,0.7897426,0.9256604,0.7403789,1.1718473,0.8785038,0.8122376,1.2547989,1.03811,1.132234,0.8767707,1.1773915,1.1610827,1.0602437,0.75172365,0.8333869,0.9630418,0.89206785,1.2225697,1.2340513,0.77262354,1.1003817,1.1223332,1.031908,0.82993627,0.76504743,0.93378866,1.1196463,0.9708123,0.96166253,1.1704786
butterfly,0.37979794,1.1866386,0.7710679,0.8844339,1.067237,1.156322,1.0194252,1.0529567,0.8584871,0.86830604,1.2680541,0.82282686,0.70345074,0.81965435,0.831436,1.0195578,1.2189604,1.2359666,0.908413,1.2814177,1.2094649,0.9783587,0.0,1.2354355,1.0704005,1.0389091,0.8502367,0.9143388,1.1115087,0.9545967,0.8791919,0.8422193,1.039118,0.85267293,1.1969117,1.2386333,0.8633002,1.2759756,0.87842745,1.0075967,0.703079,0.9639582,1.0337262,0.85752755,0.9351023,0.7701864,1.1992986,1.2579336,0.93572897,1.0367714,0.97855616,1.2253978,1.1648566,1.1990155,1.0077115,1.1246957,0.75058293,1.0246978,1.2620212,1.1624564,0.94119245,0.945455,0.9897922,0.9511205,1.115469,0.78730404,0.9403258,0.94624346,0.9023613,1.103843,0.76923275,1.1027819,1.1094273,0.92475516,0.7431332,1.064145,1.2059067,1.0964522,1.2280271,1.1925099,1.1356131,1.1376022,1.2442513,0.9902048,0.88182205,0.8846044,1.0345895,0.87467086,1.2363775,1.2378404,0.98339915,1.2094948,1.1785107,1.0128008,1.0959998,1.1304328,0.9228971,1.0676554,1.035805,1.1686732,1.1442653,1.0106828,0.8598292,1.0956503,1.0591817,0.92598504,0.92452645,0.89768,1.1365731,0.88573474,0.8302225,1.2455845,1.1509354,1.1404696,1.2257228,0.98056144,0.92431873,0.8134055,1.2729504,1.162163,1.2029488,0.93812203,1.1945717,0.9682156,0.87638235,0.9801191,1.045732,1.2974772,0.9679899
can,1.3720517,0.7085725,1.283783,1.3742814,0.93763983,0.77384853,0.94104785,0.6988709,1.515027,1.5107464,0.59020764,1.169735,1.540996,1.4653862,1.4291658,1.0977496,0.41406548,0.770465,1.1578606,0.53652114,0.3196323,0.7906934,1.2354355,0.0,0.91389173,0.80613977,1.1967878,1.1556851,0.49169862,1.2588494,1.2747056,1.1108428,0.9588314,1.3259904,0.6778425,0.50492835,1.3162249,0.3919673,1.1097999,1.2364422,1.3444009,1.0230958,0.6621128,1.198437,1.3732247,1.135766,0.41236567,0.7155585,1.2607446,1.0292697,1.3660398,0.7274107,0.7423297,0.4909712,1.1944976,0.79987377,1.1130611,0.9511943,0.5027892,0.7013392,1.1552147,1.0597154,1.1852417,1.3600874,0.62730515,1.3751423,1.4724058,1.1983395,1.3785554,0.77264553,1.2766415,0.6344638,1.0232636,1.0273104,1.3143811,1.1311443,0.4720102,1.165959,0.6052122,0.5594302,0.66728014,0.9254571,0.6191785,0.8669019,1.2441981,1.4913793,1.2239268,1.5031211,0.57404363,0.6426871,0.6737137,0.6245816,0.5401718,1.2195207,0.5157653,1.0893767,0.8804274,0.95793015,1.0201983,0.36428648,0.70698124,0.8287593,1.4333518,0.6921386,1.0007677,1.5012387,1.0279032,1.1817522,0.6891774,1.5233549,1.5806473,0.49589676,0.81684136,0.43740892,0.6188016,0.6903301,1.4938359,1.5143852,0.61269534,0.65320385,0.567172,1.429744,0.5109872,1.2602792,1.3358332,1.2860229,0.70183206,0.42837608,1.182688
car,1.3071437,0.7443928,1.2028477,1.2817353,0.785898,0.8212259,1.0865263,0.890735,1.1236212,1.2392207,0.71184886,1.1446003,1.2384245,1.2480679,1.0395352,1.0302777,0.6683774,0.6995673,1.1436223,0.865945,0.883973,0.80751294,1.0704005,0.91389173,0.0,1.2504913,1.151066,1.0289862,0.83913845,0.9522443,1.1686538,1.0641929,1.0627751,1.2139825,1.0455889,0.89191276,1.0778697,0.6932461,0.98068005,0.84368575,1.0494205,0.8156673,0.9040946,1.1475008,1.0448296,1.1480457,0.9703961,0.9464212,1.0575345,1.1130211,1.1016835,1.2754166,0.83599275,0.69226754,1.1792665,0.98016363,0.98070097,0.95091623,0.9532585,0.7681424,1.0438834,1.1172702,1.0824071,1.3425694,0.78107584,1.0167676,1.2018933,0.95417583,1.3559637,1.0372609,1.0562333,0.69777143,1.0465732,0.9130693,1.3130538,0.7777161,1.0797304,1.2033813,0.8616104,0.7873842,1.0090343,1.285342,0.8801645,0.89548296,0.9856101,1.1396027,1.3406144,1.2485147,0.9973336,1.0111582,0.9680872,1.0764359,0.9392401,1.2292881,0.5679868,0.9595737,1.0425682,0.59055644,0.9341566,0.7551558,0.78541934,0.7588411,1.0599697,0.71250224,0.88428783,1.1468518,1.1691864,1.1647087,0.9872937,1.2119178,1.1585896,1.0272385,0.8227732,0.89842397,0.88858235,1.0092641,1.1497225,1.2773695,0.68143547,1.1383705,1.106064,1.1355814,0.8768271,1.0185834,1.1692091,0.83340514,1.0547426,0.7564777,1.0640887
carrot,1.0380392,0.8901764,1.101897,1.1388186,0.86169934,0.74542516,0.8114567,1.0912807,1.2439018,1.3046478,1.0376751,1.291233,1.2684249,1.2183926,1.1832169,0.98208433,0.85569006,1.0102354,1.1299694,0.6915576,0.87066996,1.0974963,1.0389091,0.80613977,1.2504913,0.0,1.0308155,1.3484231,0.81461746,1.223511,1.2340018,0.8719948,0.740285,1.2777908,0.71059686,0.6386412,1.3261435,0.97255784,1.0822712,1.1374725,1.2790129,1.0644287,1.1852547,1.1058397,1.3434436,0.97663903,0.7518132,0.7667271,1.0629852,0.69869184,1.1819658,0.5379155,0.75951564,0.89904237,0.8932211,0.84205663,0.7953516,0.89727914,0.7366241,0.96158195,1.239815,0.61618364,1.0716505,0.9311476,0.91169643,1.1940277,1.332391,1.0910352,1.1324801,0.83322996,1.3740392,1.0833278,0.8012798,1.1321023,0.9339314,1.33656,0.749992,0.8140454,0.8994236,0.8937566,0.69458014,0.67204124,0.6899066,1.0684159,1.071289,1.3706594,0.9532919,1.1995547,0.67353165,0.7044275,0.58059764,0.7849368,1.0331812,0.8446822,0.9400969,0.918873,0.92734194,1.0868067,1.1135683,0.82561463,0.78747845,1.2474279,1.1879796,0.9437828,0.7613565,1.338438,1.036277,1.1533791,0.88934964,1.2235166,1.2071348,0.55629075,0.8106186,0.9393877,0.758388,0.9345225,1.3491466,1.2916417,0.98665464,0.5593721,0.62554294,1.1252843,0.8697999,1.0361367,1.1068052,1.1772327,1.1084098,0.7890093,1.2772441
cat,0.61350465,1.236342,1.0508689,0.7702852,1.3089622,1.3051598,1.1921483,1.2400455,0.6940825,0.6359313,1.1210976,0.86245906,0.6367725,0.71732724,0.8691902,1.2099472,1.332825,1.2965395,1.053977,1.27921,1.0330762,1.3416985,0.8502367,1.1967878,1.151066,1.0308155,0.0,0.9446566,1.1458995,0.8426903,0.6365248,0.8648489,1.2027357,0.7199221,1.2732465,1.2097574,0.754913,1.3906872,0.99211234,1.1665897,0.8007084,1.160984,1.0508319,0.847142,0.8710482,0.8040664,1.1806895,1.3601307,0.8872889,1.0033127,0.90768456,1.1643865,1.2035494,1.218008,1.0294956,1.143161,1.0694966,1.2104952,1.1289841,1.1400868,0.82362103,1.21968,0.9338976,0.89422756,1.1843961,0.55687267,0.614033,0.9414026,0.66056097,1.0621172,0.8776809,1.1991936,0.88160574,1.1485913,0.75565326,1.0738801,0.9327825,1.0651692,1.1577111,1.2529011,0.84894496,1.1144707,1.2481301,1.1568128,0.5049052,0.80019367,0.6437007,0.8051034,1.2135329,1.2277304,1.2108442,1.2234573,1.0456226,1.0741583,1.1939068,1.1165713,0.8042646,1.1656142,1.2017853,1.1737164,1.2480932,1.0393873,0.63082516,1.1198453,1.2647561,0.7579328,0.8320215,1.0044373,1.1581326,0.72417325,0.6080173,1.1921622,1.1719,1.0619357,1.2440875,1.2409229,0.8260324,0.75338006,1.2253019,1.1714563,1.2237649,0.87363183,1.1744692,1.2158234,1.0475905,0.84238005,0.96704274,1.2309738,0.69241834
