,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,sandwich,scissors,shirt,shoe,shorts,shower,sink,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
bench,0.73711646,1.3227601,0.7159791,1.1777488,1.2966313,1.1139522,1.0056273,0.52689976,0.30893064,1.0033207,0.0,0.78643274,0.53966784,0.75895876,1.3103546,1.0307469,0.6895819,1.2788881,1.0608823,1.2549723,1.2744212,0.8378455,0.78187793,0.6907456,1.3232098,0.7862934,0.7557647,0.59367585,1.2542403,1.2334406,0.437643,1.2658541,1.2601922,1.2905958,1.0565531,0.76919067,0.9528871,0.92107064,1.24137,1.1054977,1.1675678,1.0030615,1.2003444,1.0214573,1.3237557,1.2005091,1.1043949,0.8340907,1.1077051,1.3773268,1.1282318,1.0311714,1.0906657,1.1323268,0.9985035,1.2408893,0.8866671,1.0953763,0.9107626,0.5233254,0.96796864,0.6958394,1.1741107,0.85507315,0.801015,1.1255962,0.87214404,1.1079986,1.0172782,1.3212813,1.232369,1.3466438,1.1077131,1.2673949,0.90322816,1.1305293,0.598261,0.66804826,0.7400752,1.2363251,1.1366086,0.7899511,1.2836739,1.2681844,1.1025593,1.0774653,1.0100784,1.2678264,0.6792692,1.119704,0.8767622,0.8361203,0.7929393,1.1271453,0.80714047,0.8544531,1.3719666,1.3070246,0.8751185,1.045603,1.262219,1.1602545,0.96430856,0.8295969,0.3711964,1.1007651,1.3194661,1.1451896,1.3723291,1.309649,0.92691326,0.84482986,1.2310331,1.4205726,0.72447383,0.8023774
bib,0.70046467,1.3581032,0.5230483,1.0268096,1.4104234,0.8896034,1.1423551,0.7926308,0.57061344,1.3908513,0.78643274,0.0,0.45127678,0.86285055,1.4254994,1.17118,0.6891626,1.0228213,1.2711405,1.267753,1.5021517,0.98397714,0.84868985,1.1489754,1.287422,1.0272872,0.7588566,0.71221066,1.01432,1.4316431,0.7096314,1.4228451,1.3529017,1.0999768,0.8163022,1.117019,0.90080273,0.94043285,0.82713115,1.2208123,0.9554489,0.8112838,0.8988619,1.3813798,1.3187144,1.3319346,1.0926487,0.8524413,1.4054132,1.225564,0.8225426,0.985699,0.87343466,1.1174502,0.638299,1.0896975,1.0067822,1.1116077,0.8333844,0.6095909,1.1371969,0.9322829,1.40789,0.72068834,0.8035686,1.0247785,0.48750675,1.1232319,0.8246349,1.3229716,1.275162,1.1243938,1.0547249,1.338309,0.9842612,0.97294015,0.4206499,0.7072653,0.6372429,1.345582,0.9967115,0.8812369,1.0071688,1.2286345,1.2024686,1.1820757,0.88952154,1.2096189,0.9568226,0.80502796,0.8009019,0.66304386,0.53212863,0.9762181,0.8869219,1.0045204,1.3779311,1.2169112,0.8440474,1.2836723,1.2548591,1.0977442,0.9874523,0.7403339,0.65147316,1.2516854,1.1677269,1.324973,1.320544,1.2059788,0.8603826,0.9659267,1.4968746,1.3389156,0.99317694,0.8049945
blanket,0.58712214,1.5368098,0.3387317,1.0590495,1.4777017,1.0175153,1.1302245,0.63396955,0.18421787,1.3292907,0.53966784,0.45127678,0.0,0.7440277,1.568483,1.2050073,0.61403406,1.179193,1.2937387,1.3340442,1.5722172,0.76442367,0.6957303,1.0084331,1.4415277,1.0202425,0.79195344,0.38563305,1.1263555,1.5497552,0.37169838,1.555887,1.4605229,1.1551601,0.9551966,1.0508832,0.8531487,0.9000331,1.083091,1.2970747,1.1650182,0.9224612,1.0095989,1.3494914,1.3829591,1.4146402,1.1165098,0.68480504,1.4679474,1.4860235,0.882102,1.0613769,0.98969847,1.1654285,0.7632936,1.295156,0.8413993,1.0828476,0.4245727,0.2174809,1.1106455,0.80727667,1.5181296,0.6383596,0.6485312,1.1694747,0.507092,1.1008786,0.8726449,1.5253892,1.3633394,1.4321668,1.230005,1.5319574,0.8832454,1.151265,0.18440211,0.4302826,0.57030755,1.4315526,1.2087412,0.5504991,1.1382741,1.2542657,1.304611,1.0797701,0.5774103,1.2806573,0.7881491,0.9955609,0.85632473,0.535782,0.40255642,0.8664273,0.82207096,1.059771,1.4990717,1.3678193,0.5862389,1.3923438,1.4222865,1.1754231,0.93343127,0.65323853,0.38036144,1.3721049,1.3585796,1.4730858,1.5586826,1.3628652,0.88159996,0.965219,1.4661947,1.5547951,0.8463046,0.5899162
book,0.7886908,1.1257089,0.8456129,0.98239374,1.0642357,0.96043104,1.0285257,0.968355,0.65018255,1.0655748,0.75895876,0.86285055,0.7440277,0.0,1.063553,0.91713905,0.15247726,1.2413441,0.9704597,1.2204123,1.2903464,1.032102,1.0886356,1.0878426,1.0736718,1.0962185,0.87167716,0.9521829,1.2517737,1.0288987,0.65882,1.1104475,1.0965624,1.2753336,0.70904946,1.1068208,1.0542756,1.0693889,1.1194279,1.1160026,1.1308056,0.9530697,1.1254282,1.0998666,1.0914052,1.1728007,0.71847594,0.9227284,1.1452596,1.2466033,1.0940187,0.8036704,1.1138115,1.0903296,0.9479628,1.0910969,0.9672261,1.1015012,1.0813631,0.83594805,1.0595315,1.0783002,1.1697528,1.0317897,0.8027067,0.90803254,0.9509364,0.9225808,0.7491094,1.2097445,1.2865567,1.1570837,1.2483839,1.1643586,0.95110977,1.0088046,0.8198049,0.93077767,0.24591613,1.1711552,0.8666039,1.0134704,1.21473,0.95725566,1.0293417,1.0735186,0.95292157,1.2047259,1.0642169,1.1240306,0.6910447,0.9530152,0.7549169,0.962475,0.9131231,1.0722715,1.2371057,1.2180171,1.0399556,1.0788885,1.247924,1.0465175,0.84655064,0.94120806,0.652408,1.0546877,1.2680608,1.1277244,1.2636108,1.301096,0.5889102,0.7765784,1.2244673,1.3040242,1.1084769,1.1047539
bottle,1.3232722,0.28987515,1.4945037,0.9858118,0.48604435,1.1251607,0.7599464,1.3474313,1.5024394,0.58986825,1.3103546,1.4254994,1.568483,1.063553,0.0,0.80585885,1.2694631,1.098243,0.5159441,0.88559365,0.42980927,1.2321414,1.2188073,0.85564816,0.6042612,0.9803568,1.1205387,1.4697888,1.0609661,0.38561708,1.4723737,0.15887928,0.65452665,0.924817,1.0551386,0.97899705,1.2917831,1.1197408,1.189406,0.99296063,1.1427597,1.2739925,1.2121402,0.77518296,0.53199196,0.6047863,1.0620531,1.1903325,0.4679491,0.7857225,1.0803217,0.7830543,1.2340895,1.2302668,1.3880397,0.74505174,1.124418,0.94068176,1.340463,1.5198172,0.96896905,1.1840416,0.50868,1.1868296,1.2610271,0.70151985,1.4515035,1.043551,1.2776564,0.41368425,0.73554754,0.832916,1.0687642,0.48163468,1.1211251,0.94163257,1.5035694,1.4475684,1.316654,0.63762814,0.87587297,1.2092679,1.0117674,0.74627054,0.81432104,0.8977419,1.2233989,0.94001156,1.2302014,1.1390698,1.2310166,1.4090753,1.4193718,0.8720463,1.075206,0.96159893,0.6376662,0.47848952,1.3693055,0.76827765,0.8150042,0.7641631,1.1055639,1.2806952,1.3886714,0.60795915,0.920832,0.39929235,0.5226655,0.7823338,1.0661665,1.0221537,0.54849756,0.4929886,1.1157359,1.3191438
bowl,1.0866688,0.85527235,1.312772,0.90904593,0.80941063,0.53404695,0.6319747,1.1839027,1.1966718,0.84084773,1.0307469,1.17118,1.2050073,0.91713905,0.80585885,0.0,0.9820347,0.6834401,0.5749084,0.8583498,0.8158078,1.2434993,1.2255275,0.9725915,0.88922256,1.1222191,1.1523701,1.2948115,0.69878817,0.78362024,1.1774149,0.6984236,0.9570152,0.8665425,0.9399219,1.2254915,1.1461374,1.1890411,1.1660883,1.038389,1.1339023,1.2572764,1.0239954,0.87065923,0.72887605,0.9226816,0.8301973,1.1475785,0.97675323,0.9466701,1.0717851,0.90816027,1.3394196,1.0108727,1.2876965,0.89863926,1.307936,0.97578514,1.151372,1.1669799,0.7686163,1.2736541,0.93735725,1.0567427,0.9938449,0.9736294,1.2805653,0.88931066,0.78366077,0.98718613,0.8885803,1.004917,1.2422683,0.9233713,1.1319747,0.9064655,1.2483368,1.2386147,1.1556036,0.8519608,0.86979425,0.9861129,0.6079564,0.851226,0.16011381,0.8908137,0.8667751,0.9468378,1.3676796,0.9649443,0.9380959,1.3563067,1.1080209,1.1179643,1.1880449,0.998448,0.7652872,0.78495747,1.2387595,0.95608616,0.71117556,0.88993365,0.9121659,1.2507458,0.978194,0.5006741,1.0669822,0.9433606,0.8510529,0.93126595,0.6717501,0.30975223,0.91345406,0.9168215,1.2586262,1.3713021
box,0.7601805,1.3589414,0.6358889,0.9807783,1.2707348,0.8655871,1.0079223,0.8272232,0.5146587,1.3709645,0.6895819,0.6891626,0.61403406,0.15247726,1.2694631,0.9820347,0.0,1.3091197,1.0095245,1.3862076,1.5092955,1.042461,1.0304388,1.0447617,1.2615123,1.0455396,0.7819444,0.7694192,1.2996556,1.2979447,0.4878825,1.2785611,1.2582533,1.2439265,0.638918,1.0438428,1.0237257,1.0065213,1.0877272,1.256114,1.147964,0.84257567,1.1114464,1.3764081,1.2688597,1.3585625,0.7956134,0.8147569,1.3616884,1.3978579,1.0471377,0.76159346,1.0379311,1.1542658,0.801843,1.0630503,0.9357333,1.0490296,1.0081518,0.75146437,1.1424875,0.92176163,1.2694907,0.97287107,0.7763423,0.89439946,0.755341,0.9506103,0.69859827,1.4373677,1.4747709,1.2819382,1.3038796,1.3524253,0.89036113,1.0444682,0.6650792,0.8449639,0.21525234,1.4388689,0.8111458,1.0213265,1.2799582,1.0891931,1.1668314,1.0619396,0.8674078,1.3391751,0.8959275,1.030318,0.49959314,0.7881111,0.6508852,1.0093818,0.7497744,0.9723648,1.4418037,1.1824241,0.94431233,1.2502499,1.3829653,0.96768534,0.7707807,0.76185817,0.5419809,1.1490693,1.320286,1.3852992,1.3128593,1.440972,0.45151675,0.78692627,1.3502519,1.5017698,1.0025148,0.9693185
bread,1.1169586,0.8556874,1.2118951,0.93227154,0.9437661,0.7149367,1.0673368,1.2865249,1.3372455,0.7971808,1.2788881,1.0228213,1.179193,1.2413441,1.098243,0.6834401,1.3091197,0.0,1.0035883,0.6494645,0.79118925,1.1246777,1.042287,1.2810595,1.0261126,1.2803061,1.3161788,1.1961823,0.084380865,0.8040563,1.3766313,1.0661236,1.0636375,0.758828,1.1122035,1.3504605,0.93972063,1.0659913,0.64464104,0.7470621,0.74496144,1.1519104,0.5184196,0.8842555,0.7900101,0.89703715,0.9843048,1.1895617,1.0260625,0.67589355,0.9733961,1.0801653,1.0144181,0.66351205,0.87569827,0.9282932,1.2666023,1.1139199,0.98829204,1.1054293,0.8214038,1.368703,1.2657232,0.93106186,1.117693,1.1643542,1.043672,1.0673685,0.76654583,0.80158865,0.7750765,0.7266692,0.83071864,0.85298264,1.0660845,0.9584731,1.2242284,1.1247591,1.2654709,0.66501224,0.86989623,1.0063887,0.122932196,0.8880631,0.57937527,1.077374,0.93719214,0.76891327,1.3922559,0.5949407,1.2062957,1.232209,1.1543734,1.0223815,1.3530253,1.2822707,0.6184295,1.1069585,0.9728475,0.94115585,0.5429262,1.1708009,1.2330906,1.2848628,1.1580477,0.88162875,0.6558228,0.8823737,0.9269788,0.6951942,1.0683804,0.8271379,1.1000851,0.7074717,1.2995389,1.2676167
bucket,1.1143552,0.92709094,1.3867509,0.8746637,0.74534154,0.95605767,0.4769264,1.1276922,1.3176508,0.78252906,1.0608823,1.2711405,1.2937387,0.9704597,0.5159441,0.5749084,1.0095245,1.0035883,0.0,1.0137168,0.7096226,1.3564053,1.2145818,0.886506,0.79360044,0.95685005,1.1110175,1.390854,1.0178753,0.8052948,1.2785919,0.31450975,0.817771,0.8873368,0.9040829,0.95105755,1.1192191,1.1185093,1.1977874,1.0447481,1.2079366,1.3201208,1.1267858,0.89188486,0.8721738,0.9561541,0.8387901,1.1375687,0.8384192,1.1046895,0.84320796,0.68576854,1.2949617,1.195596,1.2373222,0.76703435,1.2904801,0.8401015,1.1501133,1.2107977,0.77749896,1.2236631,0.72090733,1.1364131,1.0357518,0.5701224,1.1565521,0.89259326,1.0251135,1.0659559,0.83416986,0.9719844,1.2273493,0.9114124,0.9567632,0.9605012,1.3290386,1.2363167,1.1901921,0.86947995,0.8484359,1.0276723,0.984198,0.79246116,0.7885242,0.92567515,0.9300884,1.0200777,1.2002575,1.1403953,0.9437766,1.4220827,1.0608479,1.2312708,0.9920808,0.81257737,0.84693867,0.42713892,1.1856077,0.9576729,0.8176917,0.66596764,0.92088485,1.2822865,1.0806836,0.52478546,1.0932689,1.0013604,0.64010864,0.9466792,0.65078735,0.83549595,0.77081096,0.9652019,1.1490422,1.3913728
butterfly,1.179404,0.69496274,1.4143047,0.8881121,0.6729927,1.0662209,1.0516616,1.3832781,1.411121,0.6870791,1.2549723,1.267753,1.3340442,1.2204123,0.88559365,0.8583498,1.3862076,0.6494645,1.0137168,0.0,0.56268704,1.0929294,1.170562,1.1522077,0.54585266,1.1638885,1.3102973,1.2962801,0.7342862,0.6721352,1.3788449,0.8476839,0.61894906,0.84431696,1.127571,1.2263923,0.946503,1.0677534,0.90719354,0.7173648,0.92059886,1.1627945,0.7862166,0.6940273,0.50461924,0.84874725,0.9005959,1.1676974,0.7560513,0.59992015,1.0713247,1.2183689,1.0686207,0.6962913,1.218777,0.86616135,1.1974905,1.1192349,1.0345631,1.2512888,0.98566246,1.3013282,0.8858627,1.0494612,1.2403268,1.12266,1.287993,0.9063057,1.0329635,0.6179059,0.65132827,0.5170652,0.77863014,0.7560309,1.1675591,0.7532754,1.378552,1.1942301,1.2474852,0.61934996,1.2133831,1.0978794,0.71945226,0.7154583,0.7695176,1.0551243,1.0167515,0.6576196,1.349843,1.1426196,1.2404921,1.2624903,1.2770053,1.0410888,1.2959139,1.2995923,0.51144737,0.89289147,1.0541698,0.6683613,0.73208624,1.1251084,1.1195955,1.3265169,1.4175428,0.80943406,0.6488084,0.69160736,0.77391195,0.5669018,1.16639,1.0660012,0.71373355,0.58894044,1.2877152,1.2753001
can,1.2723238,0.5057349,1.5414387,1.0879029,0.61190516,1.3352144,0.82034373,1.359349,1.5624073,0.43447316,1.2744212,1.5021517,1.5722172,1.2903464,0.42980927,0.8158078,1.5092955,0.79118925,0.7096226,0.56268704,0.0,1.1210332,1.086211,0.7524086,0.6759602,0.84519655,1.2649404,1.4083304,0.86100954,0.41610813,1.5002084,0.42306256,0.57772136,0.80636287,1.2741549,0.8701669,0.9729536,1.1396697,1.0185535,0.77970624,0.9566009,1.3229052,0.9149777,0.6362926,0.5969838,0.5316952,1.164021,1.2462866,0.37044203,0.5510258,1.1703175,1.1286712,1.1791497,0.96971947,1.3625457,0.8494648,1.2606384,0.948648,1.2022316,1.4091578,0.8225841,1.2865782,0.5765523,1.2009479,1.3578098,0.970224,1.5363523,1.1068723,1.3436186,0.45909488,0.35062528,0.52677387,0.7092868,0.40012777,1.0216578,0.8941772,1.5246878,1.343971,1.5196767,0.39401013,1.0270336,1.0001808,0.8265321,0.7890556,0.78101754,0.9948119,1.179527,0.6867657,1.2086743,1.1826338,1.4873661,1.4518743,1.47769,0.9353449,1.3222317,1.1142042,0.51402724,0.7691853,1.2060851,0.47217435,0.6014741,1.109404,1.2467095,1.4589722,1.5077195,0.7552387,0.6152812,0.39513147,0.4935459,0.44076043,1.3458985,1.1531019,0.35878187,0.3432684,1.0531878,1.2985542
car,0.9478477,1.0869858,0.70870006,1.0713058,1.1958275,1.0969312,1.2517883,0.8364241,0.7404821,0.9504011,0.8378455,0.98397714,0.76442367,1.032102,1.2321414,1.2434993,1.042461,1.1246777,1.3564053,1.0929294,1.1210332,0.0,0.5493633,1.0064135,1.2045902,0.8202601,0.85295033,0.7505871,1.0992752,1.1179358,0.59582955,1.3091646,1.1694769,1.1966069,1.2216291,0.96738476,0.67201316,0.9026285,1.0658507,0.93176633,1.042923,0.79356384,1.1565688,0.91207105,1.1670322,0.93300104,1.0334877,0.7720343,1.1012973,1.0284714,0.8228321,1.1964375,0.83489376,0.7308775,0.99754745,1.2432921,0.5880305,1.212757,0.80673516,0.7872938,1.0602858,0.8100386,1.272377,0.82976985,0.8113466,1.2633052,0.8241279,0.93616134,1.101477,1.0342371,1.1426821,1.2242823,1.0467485,1.1977348,0.9199451,1.0179166,0.8543686,0.81825966,0.92676383,1.0249517,1.1902431,1.0236087,1.1553317,1.1965868,1.1905214,1.23373,0.96043384,0.82961243,0.66922724,1.1331637,1.1478931,0.558141,0.9054202,0.7747371,1.042934,1.200379,1.1376039,1.3720801,0.88479036,1.1370434,1.236392,1.3295575,0.9486141,0.91232413,0.92097574,1.2908077,1.2490599,1.0165194,1.2729282,1.2281734,1.2294277,1.2475039,1.1794313,1.1100755,0.8913026,0.75610787
cat,0.75605077,1.1276952,0.7326492,1.2390013,1.3263459,1.260464,1.1694247,0.7394827,0.7066988,0.9190624,0.78187793,0.84868985,0.6957303,1.0886356,1.2188073,1.2255275,1.0304388,1.042287,1.2145818,1.170562,1.086211,0.5493633,0.0,0.9381999,1.2382485,0.6408437,0.7232508,0.7194884,0.9994484,1.2019374,0.74660873,1.2699156,1.1448625,0.9026513,1.2038201,0.7988698,0.7597947,0.99900603,0.9773751,0.95925206,1.0454974,0.9653429,1.0147457,1.022963,1.208144,1.1507645,1.1708027,0.76218176,1.004325,1.0881999,0.8909279,1.1564684,0.90340865,1.1297313,0.88974285,1.1628327,0.8456852,1.2352319,0.76283145,0.7632832,0.95416385,0.8028041,1.1034281,0.662095,1.0153704,1.1396967,0.7845373,1.1634325,1.1814657,1.0988879,1.0906332,1.1731458,0.9620397,1.1564498,0.9104766,1.0143813,0.7403231,0.89491737,1.002666,0.92516834,1.1303068,0.8257493,1.0665886,1.2260178,1.2487366,1.0141191,1.0277947,1.0273863,0.54627156,1.1036743,1.216156,0.8278812,0.96800864,1.0579307,0.9997658,1.076079,1.2285217,1.2528739,0.9578817,1.0872403,1.1855568,1.2742082,1.1229684,0.9557128,0.8425388,1.2789453,1.1899589,1.0052825,1.3031061,1.1531959,1.2940534,1.1800739,1.0805887,1.1569406,0.69156,0.7808374
chair,0.92373025,1.1061451,0.979372,1.2746003,1.0890903,1.2379947,0.58910173,0.86321306,0.84429824,0.9467615,0.6907456,1.1489754,1.0084331,1.0878426,0.85564816,0.9725915,1.0447617,1.2810595,0.886506,1.1522077,0.7524086,1.0064135,0.9381999,0.0,0.9150486,0.57055837,0.8733841,0.8651685,1.2517633,1.0727959,0.76970387,0.7781992,0.897387,0.9866823,1.081958,0.4621346,1.0480675,1.0808085,1.3399934,1.1721294,1.2713974,1.1731515,1.288163,1.082538,1.0416465,0.86542463,1.2206054,0.9316236,0.8553904,1.1329756,1.0944663,1.0323125,1.192362,1.2989008,1.2974683,1.0328056,0.9921964,0.72331417,1.0141867,1.0608503,0.88250655,0.7873963,0.5718143,1.1285156,1.1221344,0.9150169,1.2015375,1.0599798,1.31769,1.0930938,0.78370655,1.0679382,1.122054,0.97089183,0.9080925,1.0117017,0.96851915,1.0660975,1.1499207,1.0524932,1.1242944,0.76192653,1.1928437,1.0613092,0.99385077,0.850599,1.0249224,1.0392286,0.6990658,1.1231703,1.1716881,1.0160573,1.1272045,1.0956402,0.97202057,0.87364244,1.1873692,0.9116256,1.1717627,0.9601882,1.0861977,0.98512775,1.0517662,0.94508064,0.89178383,1.0518104,1.2174873,1.0163608,0.890058,1.0476387,1.1826231,0.9745974,0.6720815,1.0783558,0.51874554,0.82483107
clock,1.2007536,0.72248185,1.4790194,0.9160014,0.64346004,1.095062,0.7880605,1.3410615,1.4766409,0.81260395,1.3232098,1.287422,1.4415277,1.0736718,0.6042612,0.88922256,1.2615123,1.0261126,0.79360044,0.54585266,0.6759602,1.2045902,1.2382485,0.9150486,0.0,0.9869913,1.127713,1.5023013,1.0077516,0.7034313,1.3891414,0.56698084,0.4359709,0.8686602,0.9325887,0.98356205,1.1391584,1.2223464,1.13562,0.95052075,1.0816622,1.1798626,1.1764668,0.69284177,0.5559509,0.81763524,0.7102672,1.1501944,0.6769459,0.71350694,0.898456,0.99319553,1.1983852,0.9600482,1.3805985,0.8107365,1.190855,0.9647098,1.2169926,1.4156332,0.92547625,1.2256794,0.4386798,1.097613,1.1796257,0.8506271,1.2676316,0.75372046,1.1221341,0.75016177,0.74573374,0.49871886,0.9984926,0.7932631,1.1816765,0.6598896,1.4397027,1.3686873,1.2133771,0.7103386,1.0802698,1.1781204,0.91198105,0.6396679,0.8055894,0.9386085,1.1527542,0.81952214,1.270493,1.1501664,1.1113958,1.3310196,1.2313888,1.1184481,1.2213727,1.0871013,0.6676306,0.7002415,1.3380404,0.7668451,0.85406286,0.8353125,0.93425107,1.3215163,1.3795834,0.76824373,1.0232164,0.78618634,0.65649533,0.8046198,1.0610831,1.0577629,0.5560452,0.7172466,1.1775495,1.316609
closet,0.9744701,1.124987,0.98545724,1.2663046,1.165638,1.2891939,0.7657212,0.685923,0.8700827,0.93407536,0.7862934,1.0272872,1.0202425,1.0962185,0.9803568,1.1222191,1.0455396,1.2803061,0.95685005,1.1638885,0.84519655,0.8202601,0.6408437,0.57055837,0.9869913,0.0,0.70529604,0.92284715,1.2751268,1.1236585,0.7835822,0.90767103,0.95703083,1.1562343,1.2463057,0.37805378,0.87634015,1.1238675,1.2957513,1.0422064,1.1442221,1.0844336,1.3152273,1.0513505,1.2487817,1.0010734,1.2009021,0.8684169,0.8556402,1.1295978,1.0676594,1.0658665,1.0863129,1.2468586,1.1869256,1.0851992,0.9336121,0.92793316,1.0774257,1.0635456,0.88799435,0.6875992,0.71125346,0.8672503,1.0659881,0.9349266,1.0328062,1.109399,1.3035262,1.0965902,0.9298909,1.0704098,0.9416681,1.0232252,0.838937,1.0430853,0.9697978,1.0731413,1.0878961,1.0474164,1.1659889,1.0159328,1.2458892,1.185838,1.1281158,1.0238589,1.1921072,1.0069875,0.5262358,1.1934232,1.1453701,0.9717682,1.0853724,1.115867,0.8708781,0.7995743,1.1894389,0.9771551,1.106015,0.8915785,1.1078143,1.0501679,1.0656035,0.9713347,0.9652304,1.1381853,1.1940523,0.95978403,1.0127438,1.1291869,1.2192397,1.1037719,0.75648457,1.084648,0.63563514,0.8457541
comb,0.8044306,1.1676928,0.75215703,1.0763735,1.1789875,1.1054834,0.8782246,0.8197688,0.7382634,1.148696,0.7557647,0.7588566,0.79195344,0.87167716,1.1205387,1.1523701,0.7819444,1.3161788,1.1110175,1.3102973,1.2649404,0.85295033,0.7232508,0.8733841,1.127713,0.70529604,0.0,0.8732164,1.2911236,1.149182,0.6909198,1.1243563,1.1208358,1.2499766,1.1550754,0.8689621,1.0247275,1.0305364,1.01797,1.0854197,1.0624064,0.9440266,1.1752946,1.110705,1.2087574,1.099922,1.104022,0.6853359,1.1200002,1.2058973,0.9617555,0.93508554,1.0224462,1.2043717,0.92522347,1.1663688,0.8254571,1.0661184,1.028123,0.96075773,0.9227699,0.81325525,0.9510543,0.83560944,0.82854867,0.9582729,0.7863486,1.1686468,1.104886,1.191833,1.2291284,1.186146,1.069505,1.2156549,0.88018036,1.1230896,0.7345748,1.0396402,0.7529667,1.1634966,1.033108,1.0465989,1.2882998,1.1919078,1.183165,1.1581264,1.1663337,1.1344417,0.73075026,1.0865364,0.9182494,0.8722662,0.84003127,1.1397955,0.90579176,0.9004539,1.2942338,1.1158051,0.996097,1.1029087,1.204033,1.0699888,1.0747509,0.87798256,0.79274416,1.0918678,1.244802,1.1549932,1.1422644,1.2910199,1.0081005,1.0103151,1.0416436,1.2546699,0.8272907,0.8035792
couch,0.7305757,1.425589,0.4003594,1.2123684,1.4358916,1.0617272,1.1805259,0.5281589,0.28655,1.3833869,0.59367585,0.71221066,0.38563305,0.9521829,1.4697888,1.2948115,0.7694192,1.1961823,1.390854,1.2962801,1.4083304,0.7505871,0.7194884,0.8651685,1.5023013,0.92284715,0.8732164,0.0,1.1561903,1.5513912,0.38680887,1.5156132,1.3641814,1.0547725,1.0747229,0.8089682,0.8658631,0.85724527,1.115761,1.2030503,1.1756197,0.779206,1.0343913,1.3710701,1.4336381,1.2963144,1.3155881,0.848599,1.3449174,1.4297543,1.1555729,1.1193757,0.86116266,1.0220695,0.71221226,1.2637733,0.78771716,1.0258623,0.6832601,0.53636086,1.2017195,0.5652278,1.3401268,0.92205864,0.82652223,1.1649375,0.69120073,1.2081817,1.0095576,1.372041,1.3091667,1.420013,1.0842919,1.4060197,0.82055753,1.2357569,0.49588943,0.57823515,0.6902388,1.4904678,1.2097427,0.6573786,1.2239758,1.4067205,1.325566,0.91418636,0.7778528,1.2371036,0.5408081,0.9206103,0.9061598,0.5380864,0.63776493,0.9443852,0.6774094,0.85853815,1.5195396,1.2738438,0.71810174,1.2823573,1.3719068,1.1061078,0.96599096,0.51207614,0.4549508,1.3982089,1.1863037,1.3335823,1.424357,1.3379219,1.1299145,1.0210428,1.3285801,1.4359981,0.5851777,0.51995206
cracker,1.0987656,0.8484978,1.1853797,0.9493395,0.9532438,0.679732,1.050777,1.245729,1.2862319,0.8319585,1.2542403,1.01432,1.1263555,1.2517737,1.0609661,0.69878817,1.2996556,0.084380865,1.0178753,0.7342862,0.86100954,1.0992752,0.9994484,1.2517633,1.0077516,1.2751268,1.2911236,1.1561903,0.0,0.8474287,1.3459439,1.0551864,1.0380628,0.74487704,1.1011765,1.3364859,0.9706977,1.0803812,0.76105535,0.82892,0.83402765,1.1740329,0.6052729,0.89530444,0.7878629,0.9036351,0.99130654,1.1760416,0.99406445,0.7669879,0.9190855,1.0549529,1.063779,0.7503688,0.8704511,0.9597602,1.2237897,1.1041945,0.94498545,1.074128,0.82345057,1.2943037,1.2407495,0.8996974,1.0960702,1.1781839,0.97276175,1.0628154,0.76526356,0.83158094,0.82609105,0.82056946,0.89973694,0.8818455,1.0594778,0.96496576,1.2059205,1.1314975,1.2588795,0.73009896,0.8338155,1.0066382,0.11213195,0.9094291,0.5982471,1.01343,0.875037,0.83114827,1.3696201,0.5757148,1.1746595,1.2186147,1.1168461,1.0344543,1.3409364,1.2262123,0.66242313,1.1094375,0.9500103,0.9553705,0.58280313,1.1488383,1.2081722,1.2678709,1.0683367,0.9106349,0.73903716,0.88890696,0.95600045,0.7930124,1.0705882,0.80106115,1.1184051,0.75226945,1.2724628,1.2790236
