,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
egg,1.226837,0.53862315,1.3170185,0.48268545,0.5467401,1.1879828,1.0309505,1.3580562,1.3871754,0.85890186,1.3908184,1.295846,1.0460372,1.3088845,1.0717176,0.68969214,0.85173845,1.350025,0.7103547,0.9988886,0.91036016,0.81405663,1.1530085,0.892525,1.2714365,1.2454047,0.48693085,1.2752883,1.0593221,0.6492361,1.3791528,1.0272194,0.75382006,1.3640854,0.77599454,1.2522886,0.9098153,1.0943207,1.1756883,1.2731792,0.8531587,0.0,0.8487217,1.1045166,0.86592007,0.69966424,0.71865577,0.8043069,0.879604,1.2466756,0.71550065,1.1968064,0.9821036,0.6745684,1.1209135,1.1884358,0.8206363,1.1438079,1.1311947,1.1336046,1.2801816,0.8242847,1.1630516,0.6594961,1.3280733,1.050051,1.2215451,1.25321,1.2083197,0.9931394,0.54269123,0.68931466,0.8328036,1.0813915,0.79640454,0.8305734,0.81314814,1.0271719,1.3430097,1.2718716,1.0980772,0.9597943,0.95497376,0.91577667,1.1410946,1.2177773,0.7975007,0.9331465,1.0429947,0.96332276,0.7292614,0.7832753,1.2479053,0.6431495,1.0684574,1.0450689,1.2928712,1.0648227,1.2302692,0.69923604,1.2539833,0.94262147,0.71827066,1.1589003,1.0420619,0.96966773,0.9468077,0.6397711,0.8715931,1.2650385,1.214141,1.4024322,0.43240738,0.739955,0.7104225,1.2175728,0.87797594,0.69151455,1.2781858,1.0434062,1.2150939,1.1478196,0.89350706,1.2501103
eye,1.3360932,0.67375684,1.172093,1.0368813,1.059005,1.2574143,1.1619221,1.4017198,1.3655391,0.8737205,1.3401587,1.3140519,1.1339431,1.2818092,1.3283458,0.8875348,1.0852174,1.4249858,0.52391326,0.71610713,1.1780928,0.89405376,1.1272774,0.7921561,1.118846,1.2747753,1.1350921,1.3101013,1.0906994,0.9419156,1.2743429,1.0230901,0.7021788,1.3440961,1.0641702,1.2065918,1.0972306,1.2593501,1.134281,1.222795,0.9677791,0.8487217,0.0,1.006879,0.34504265,0.84587747,0.7673999,0.8836308,1.1125913,1.3134307,0.4761201,1.1930783,1.0458113,0.97564006,0.9481112,0.82086694,1.0347676,1.1962574,1.1621128,1.2312843,1.063451,0.9837087,1.2398403,1.1775911,1.1757005,0.79952747,1.0709628,1.2511352,1.2943153,0.45950437,0.67757326,0.48804724,0.96706164,0.8678641,0.18137497,0.97531366,1.0298086,1.1448773,1.2473586,1.0414716,1.3150657,0.9548366,0.90534514,0.52310956,1.2429215,1.2922797,0.93298244,0.988089,1.017848,1.210498,1.066299,0.39359385,1.2535822,0.9141121,0.84505767,1.2106293,1.2205814,1.1723497,0.90504366,0.52429426,1.3366568,1.301357,0.3273555,1.2490315,0.9844514,1.0343239,0.7809447,1.0433136,0.3688882,1.2084843,1.1932174,1.4319065,0.70343083,0.27882552,0.41764534,1.28666,1.0108476,1.0860687,1.3994751,1.2414342,1.1071776,1.0803659,0.33743083,1.2992308
face,0.7887449,1.1949365,0.84069794,1.0966393,1.2293694,0.9899017,1.2638558,1.0151819,0.77158284,1.2789886,0.8540486,0.83293843,0.84516513,0.84505904,1.1054713,1.2695068,1.3071893,0.97873414,1.1305997,1.2514857,1.2803992,1.2479209,0.73580027,1.1342573,0.9141103,0.99332756,1.1467679,0.8642332,1.0735594,1.1237543,0.7593317,1.0550805,1.2706934,0.8568028,1.2850213,0.7858825,1.1140503,0.79855895,1.0133394,0.8441194,1.1560817,1.1045166,1.006879,0.0,0.98428434,1.2610043,1.1895429,1.3365028,1.0211797,0.81120783,1.095634,1.0340315,1.0473515,1.2410387,0.16104889,0.93252563,0.98847604,0.8873689,0.78869754,0.91415465,0.9559408,1.2166448,1.0967846,1.212041,0.87624747,1.1251074,0.9352583,0.9214337,0.7717912,0.8492529,1.0839727,1.0320599,1.3173331,1.1742998,1.0558474,1.0968584,1.2330477,0.953782,0.67511034,0.9023657,0.9543245,1.2516308,1.2257056,1.278021,1.1614023,1.0572805,1.1864425,1.2096517,0.91061604,1.211587,1.2183428,1.1264434,0.90839183,1.2095747,1.0782977,1.1464472,0.62904495,1.0493299,0.98741835,1.1541578,1.0753591,0.9819848,1.1635482,0.8531533,1.1965089,0.87547374,1.1064538,1.1845361,0.9594865,0.900205,0.7620983,0.898439,1.1592427,1.026907,1.1047626,1.0661302,1.3326781,1.1445816,0.95093256,0.8519637,0.8163603,1.1782858,1.0939145,0.9186256
finger,1.2822537,0.75574803,0.9694464,1.0297159,1.076584,1.1625228,1.1991932,1.3185225,1.3265926,0.9658808,1.2986387,1.276464,1.1875137,1.2523711,1.2059371,0.95625174,1.0722845,1.343762,0.49551505,0.82913953,1.16082,0.99738544,1.3010876,0.73296416,1.2209061,1.1787026,1.143671,1.2795134,1.0860958,0.94868165,1.2469451,0.936216,0.8224941,1.2896287,1.0876943,1.1760525,0.9398136,1.2457849,1.0388489,1.2359728,0.93566585,0.86592007,0.34504265,0.98428434,0.0,0.86743784,0.92347383,0.9712521,1.0538688,1.4229192,0.557086,0.9863032,1.0891142,0.9457572,0.8794845,0.4155603,0.90226686,1.2157614,1.1207635,1.2668037,0.95568633,1.032167,1.2804816,1.1708696,1.0858488,0.7705392,1.0868039,1.0486102,1.3624178,0.49632394,0.76686996,0.6374277,0.92525345,0.75178623,0.4348083,1.0240296,1.0498378,1.2427505,1.1777635,0.9014151,1.2263523,0.99502134,0.76263374,0.59490895,1.1282794,1.2294674,1.0023246,1.0757217,1.0108601,1.1442313,1.123203,0.52017975,1.2087204,0.9394809,0.8448782,1.1606884,1.1844624,1.0869493,0.8838933,0.5218853,1.2109417,1.356343,0.41568935,1.3414097,0.84590435,1.0752783,0.7809174,1.1063607,0.35438108,1.1637373,1.1485682,1.4180028,0.8091194,0.12540948,0.5459482,1.1596625,0.9992877,1.0678239,1.2902722,1.2419877,1.200878,1.0718329,0.5117385,1.3714967
fish,0.8961311,0.6767738,1.3089588,0.9503832,0.9336718,1.2256036,0.920886,1.2590944,1.4003761,0.6593192,1.3974882,1.3047099,0.97639394,1.3252276,1.0213759,0.8036879,0.8297311,1.369611,0.7568104,0.85718465,1.0464909,0.7549739,1.0017474,0.66579735,1.1159316,1.2753978,0.757755,1.3161601,0.9904623,0.7176098,1.4507393,0.93824244,0.58587736,1.3553793,0.8780569,1.1615062,0.96551,1.1442351,1.1200738,1.2785686,0.8805156,0.69966424,0.84587747,1.2610043,0.86743784,0.0,0.6287918,0.5121197,0.69265896,1.2124617,0.6803602,1.066411,0.9358955,0.7217353,1.2268718,1.0800506,1.0270386,1.2393062,1.2521179,1.3571342,1.3762729,0.64285827,1.1246587,0.7703154,1.2205985,0.90936077,1.2245003,1.275341,1.2617743,1.0017488,0.69762945,0.7124979,0.52254236,1.0669924,0.8250462,0.793567,0.80494344,1.072856,1.407808,1.324341,1.0827806,0.8272828,0.8170928,0.69929856,0.90048957,1.0122962,0.80133945,0.7060801,1.0363508,0.9694568,0.6701635,0.7920046,1.2754682,0.602244,0.9526958,1.0496945,1.426408,0.97387326,1.2411928,0.7450557,1.1155593,1.185011,0.60217094,1.1294422,1.1274958,0.84292567,0.95242256,0.60786617,0.7837783,1.1322373,1.37708,1.3935921,0.68984973,0.70727783,0.72720706,1.2366074,0.5107003,0.92252314,1.3342555,1.1442482,1.1245806,1.1241462,0.79495,1.185418
flower,1.2861328,0.43604934,1.3857138,0.99950296,0.89400357,1.3083887,0.8382627,1.4422278,1.4731405,0.52292985,1.4661319,1.4600581,1.2431034,1.3862419,1.189648,0.33529198,0.6651389,1.4659617,0.76908964,0.6533313,0.77891886,0.5435165,1.1168839,1.0451434,1.1569691,1.2134581,0.69348204,1.2757217,1.0215657,0.6975535,1.4394176,1.1334811,0.33165348,1.4446982,0.51393145,1.2927861,1.0289297,1.08903,1.3457117,1.2719634,0.88938004,0.71865577,0.7673999,1.1895429,0.92347383,0.6287918,0.0,0.46760333,1.0179347,1.2979112,0.31589687,1.418907,0.97321683,1.0637336,1.152535,1.3296353,1.1307139,1.1966257,1.2153845,1.3975482,1.4550223,0.5339808,1.1319238,0.66472775,1.3020257,1.0017736,1.3155384,1.461684,1.3238125,1.0477412,0.5423722,0.29974353,0.58739924,1.1829488,0.6617134,0.7967332,0.62838054,0.9889496,1.4415485,1.4460754,1.3897088,0.7465748,0.9012696,0.77248347,1.209979,1.2874292,0.5114292,0.5875961,1.1669683,0.8773571,0.6711128,0.40074563,1.2442358,0.32207304,1.2161871,1.1426625,1.394815,1.1809276,1.231541,0.65162116,1.3575268,1.1843041,0.48148096,1.1497298,1.2286268,1.0636301,1.0765897,0.5031558,0.8311366,1.3712672,1.3196256,1.4932262,0.6523526,0.6840058,0.70237976,1.2922378,0.6385385,0.8665003,1.3423594,1.0259508,1.1434746,0.95195985,0.62309206,1.1412244
fork,1.3321952,0.7320862,1.3110842,1.1245601,1.0134941,1.3510739,0.6215826,1.1088061,1.443721,0.388426,1.372045,1.5344901,1.2127602,1.4364523,0.9249157,0.56293017,0.5490376,1.2999932,0.83425933,0.5749068,0.8082571,0.43656325,1.0770698,0.9394269,1.0855584,1.020369,0.78010714,1.1737148,0.8776466,0.8278767,1.4136869,0.9435694,0.40215528,1.4015025,0.5630487,1.3988644,1.1959063,1.0003328,1.1076474,1.362101,0.86873335,0.8043069,0.8836308,1.3365028,0.9712521,0.5121197,0.46760333,0.0,0.98020995,1.2751741,0.46716338,1.3758142,0.88058794,0.9283581,1.3176346,1.2145085,1.2540455,1.2377691,1.2883284,1.3927557,1.3217641,0.2483356,0.88315856,0.5799378,1.2985263,1.0375859,1.3591264,1.5192685,1.4001236,1.1168007,0.7603909,0.6006714,0.39318097,1.0696752,0.8000599,0.8413606,0.57660484,1.0752515,1.5254428,1.3406489,1.1738547,0.49311763,0.6584569,0.7985964,1.0457071,1.2479447,0.57235223,0.37572002,1.3857645,0.96521676,0.5540731,0.7097074,1.1910765,0.58823466,1.1666087,1.0190414,1.4507698,1.097573,1.0829102,0.7724499,1.0139524,1.1529331,0.51762396,1.0759205,1.1570605,1.0490849,0.9207447,0.5253688,0.92948633,1.3214841,1.4200712,1.3780924,0.7038419,0.81140214,0.78171307,1.181885,0.39049268,1.0466588,1.2373302,1.112421,1.104957,0.8610597,0.674938,1.0559057
frog,0.46902096,0.9139177,1.3340647,0.7760863,0.85200316,0.80563223,1.006402,1.2807546,1.1964978,1.014927,1.2740494,0.93778783,0.63096964,1.0540237,0.75759935,1.0973276,1.0432262,0.9851394,0.893477,1.1405138,1.1121162,1.0237553,0.9957606,0.74842584,1.2136962,1.3026203,0.7647915,1.1729062,1.1098888,0.8178036,1.3094077,0.87239355,0.97723764,1.1944506,1.1052692,1.0273865,0.670459,1.1842151,1.1142931,1.1612858,1.0646155,0.879604,1.1125913,1.0211797,1.0538688,0.69265896,1.0179347,0.98020995,0.0,0.988818,1.031083,0.87726074,1.0852621,0.7242856,1.0596927,1.0695548,0.9139817,1.1402375,1.0964457,1.1252644,1.2086943,0.9527013,1.3474379,0.9566677,1.1161038,1.0532696,0.9487398,0.9911409,1.0201566,1.0163391,0.8696122,1.1413919,0.9781289,1.0132668,1.1498233,0.8883778,0.98888844,0.7292979,1.2007508,1.2335968,0.8326186,0.9996564,0.9621043,0.8511924,0.99402285,0.91116256,0.89863455,1.0713892,0.6617656,0.92296106,0.8220438,1.1194084,1.1924577,0.84979606,0.98365664,0.7364724,1.223142,0.7379779,1.1554048,0.947806,1.2156156,1.0206538,0.9136339,1.1408612,1.139306,0.812116,1.0172441,0.8776959,0.9014273,1.0200686,1.1420094,1.1992081,0.66159594,1.0357767,0.760787,0.96830887,0.98432875,0.485676,0.9337183,0.7632516,1.0442759,1.2131972,1.025182,1.250339
glass,0.6744745,1.3283405,0.94760925,1.0346857,1.1459429,0.84250724,1.1204014,0.87112284,0.6554077,1.3705944,0.7609043,0.6037358,0.6854232,0.7028776,0.88372386,1.2767167,1.2223864,0.6678555,1.3398445,1.2939193,1.0912744,1.3314545,0.32695436,1.147641,0.8171929,1.0521464,1.0429504,0.7399268,1.0246879,1.1823068,0.7569639,1.0679709,1.3129233,0.6873289,1.2239572,0.85741127,0.9864714,0.9734795,0.94608724,0.75888175,1.1445642,1.2466756,1.3134307,0.81120783,1.4229192,1.2124617,1.2979112,1.2751741,0.988818,0.0,1.4197319,0.94335586,0.95846987,0.96672976,0.9480974,1.1339294,1.18329,0.90920806,0.7947935,0.5836745,1.003558,1.2236593,1.0038521,1.2294478,0.90655863,1.1797811,0.86542755,0.84772676,0.58251935,1.2807279,1.2529395,1.2750155,1.324206,1.0535592,1.3599169,1.1255814,1.2329655,0.72527397,0.6787555,1.0090592,0.67433494,1.1337897,1.2209923,1.3167117,1.0596275,0.5804708,1.2037294,1.1767195,0.7494625,1.0941911,1.239774,1.3280103,0.8552233,1.2595567,0.94846106,0.89068615,0.7576754,1.0229023,1.0000323,1.1902287,0.98213375,0.54067916,1.4893486,0.5586325,1.2637116,0.94175124,1.1132703,1.1446272,1.3598504,0.7524194,0.8967003,0.66431785,1.2256527,1.4931446,1.2899814,0.74077004,1.3303493,1.006818,0.72299325,0.6398166,0.74521255,1.1923361,1.3615987,0.75212896
glasses,1.4136324,0.52227104,1.3878176,1.038011,0.9718718,1.3806524,0.8417834,1.4337358,1.5568852,0.4379846,1.5498866,1.5207512,1.1973608,1.4376123,1.2507751,0.50548106,0.7444862,1.5648466,0.5919441,0.52907395,0.92515117,0.48379695,1.1810279,0.94617736,1.140726,1.2371849,0.8628891,1.3492956,1.0771717,0.83887786,1.5036229,1.1737509,0.3828069,1.516128,0.6916049,1.3463496,1.1015102,1.1488603,1.2624042,1.3521338,0.9028933,0.71550065,0.4761201,1.095634,0.557086,0.6803602,0.31589687,0.46716338,1.031083,1.4197319,0.0,1.3906054,0.9829862,1.066921,0.9942609,1.0677278,1.0328977,1.2494421,1.231817,1.4528528,1.3085142,0.55684674,1.2259573,0.75030494,1.3845446,0.9368667,1.2748413,1.4943664,1.4438303,0.795483,0.6059196,0.3429501,0.59170055,0.92128855,0.42104757,0.82984984,0.7157333,1.1224594,1.4822533,1.3071867,1.4758182,0.7031624,0.77236307,0.6721947,1.2369089,1.4226854,0.59759194,0.6820485,1.211638,0.97418797,0.7375588,0.28654337,1.2466265,0.5230394,1.1589645,1.0911696,1.4088799,1.1275399,0.9991428,0.59851015,1.3459117,1.2943598,0.21348763,1.2680945,1.1191727,1.149135,0.87508106,0.664883,0.5374411,1.3487923,1.3649206,1.6135012,0.5867951,0.39188516,0.5550611,1.3361589,0.65529865,0.98622084,1.492336,1.1201665,1.1545619,0.91785187,0.32454216,1.2246234
glove,0.8037015,1.2893945,0.7035414,0.8878723,0.9445314,0.6246655,1.2477438,0.91897523,0.90888745,1.3070664,0.92945296,0.63223374,0.7679446,0.7840547,0.9780562,1.3468883,1.2601385,0.8699838,1.0800861,1.3449888,1.1776489,1.3938892,1.0699177,0.95713216,1.0284495,1.1373601,1.2442553,1.0874,0.8520318,1.1182797,0.924381,0.80747557,1.3731182,0.8560842,1.3391185,0.85364544,0.5428747,1.2113606,0.89858073,0.8067793,0.9296487,1.1968064,1.1930783,1.0340315,0.9863032,1.066411,1.418907,1.3758142,0.87726074,0.94335586,1.3906054,0.0,1.0721039,0.80347824,1.034898,0.6321449,0.5196718,0.95254636,0.95235544,0.7575313,0.7504916,1.357939,1.0241243,1.274606,0.72587746,0.73661804,0.6931282,0.20091885,0.9535358,0.95971054,1.2646135,1.4092586,1.2376745,0.86614466,1.2747912,1.2533727,1.3332387,0.964697,0.7201608,0.8041258,0.85728276,1.1024549,0.9982714,1.0744913,0.74104476,0.8212248,1.3098469,1.3895427,0.8125419,1.0144924,1.2433032,1.3381323,1.0905572,1.192881,0.75458705,0.6916552,0.8815422,0.6899738,0.84608924,1.1167204,0.888096,0.9021186,1.2842523,1.0395126,0.511451,0.8564797,0.95550066,1.203111,1.1611143,0.84566545,0.90444636,0.7961805,1.2394137,1.1380446,1.1894486,0.54357827,1.1169147,0.8541448,0.82536167,1.1109569,0.9667339,1.1938038,1.3224349,1.1059151
grass,1.0486835,1.0685241,0.8689394,1.1480428,1.105294,1.054592,1.0901308,0.81799793,0.8671067,0.9438662,0.8676486,0.9779944,1.1094912,0.9297847,1.1073176,1.1816056,1.0283471,1.101621,1.0241424,0.9590976,1.1507771,0.9591304,0.9096638,1.0515654,0.51263165,0.99254036,1.0685675,0.82378197,0.9652409,1.0787579,0.9026542,1.0785494,1.062622,1.0200672,1.1056824,0.89797264,1.1887022,0.91896546,0.8998318,0.9588874,0.8358025,0.9821036,1.0458113,1.0473515,1.0891142,0.9358955,0.97321683,0.88058794,1.0852621,0.95846987,0.9829862,1.0721039,0.0,1.1764777,1.094911,0.9985524,1.1621709,1.0382097,1.0642424,1.1602552,0.977868,0.9201675,0.96863467,1.0252013,0.9978747,0.9159181,1.0782179,0.9865393,0.981415,1.0942594,1.1287783,1.0240766,0.8954239,1.1611176,1.0037379,0.9657668,1.1059213,0.7104554,1.0424464,1.011887,1.0348847,0.96311617,1.0884159,1.1078602,0.9499993,0.92881614,1.1135776,0.8544613,1.1490036,1.2064606,1.0781704,1.0449054,1.0911944,0.9764974,1.0535096,1.0672002,0.9868127,1.0989133,0.9129368,1.1460634,0.88293666,0.84813046,1.065906,0.72195625,1.1091632,0.9839285,0.96881455,1.0284045,1.1431693,1.283684,1.0281142,0.9614435,1.0774469,1.0470164,1.0907805,1.0534524,0.90531427,1.2790343,1.0785815,0.9257568,1.0018916,1.11259,1.0731465,0.78681624
gum,0.9494804,0.6984427,1.2931123,0.5043678,0.5114153,0.82197046,0.8946336,1.2528907,1.434663,0.967424,1.3914676,1.1456909,0.9752321,1.295254,0.511855,0.91360027,0.975829,0.8391614,0.8504486,1.2394416,0.9715124,0.99427515,1.1085746,0.555161,1.4804606,1.3680536,0.72457707,1.3684074,0.7414908,0.82555854,1.4236166,0.702355,0.76686585,1.2811778,1.0055764,1.2905056,0.67907333,1.2556639,0.9739727,1.2102714,0.8961607,0.6745684,0.97564006,1.2410387,0.9457572,0.7217353,1.0637336,0.9283581,0.7242856,0.96672976,1.066921,0.80347824,1.1764777,0.0,1.2384772,0.90316236,0.79086775,1.1978277,1.240807,0.84062254,1.3027645,1.0097817,1.1566751,1.0231744,1.1684438,0.85454965,0.90602756,1.0347298,1.2143052,0.95537496,0.83596414,1.0403335,1.0962297,0.8883821,0.9532251,0.72470295,0.93056905,0.923555,1.3149133,1.3213093,0.59694755,0.7609114,0.6004478,0.7098118,1.1159191,1.0190113,0.99896693,1.0454649,0.8633418,0.8895223,0.77704203,0.9524303,1.296991,1.0008248,0.7872681,0.6174425,1.4064584,0.8908875,1.1344575,0.803197,1.1175333,0.8937508,0.9396007,1.2250271,0.9672033,0.9866537,0.9523177,0.9416361,0.93321455,1.0508447,1.2971767,1.2546604,0.59319735,0.95640445,0.7630174,0.6868871,1.0696163,0.42645562,0.8524916,1.0557308,1.1697195,1.2762039,0.9892201,1.3732076
hair,0.8693229,1.2010783,0.8518028,1.0908926,1.2299318,1.0599953,1.2519201,1.0351955,0.80072933,1.27227,0.87575155,0.8791154,0.8931537,0.8563977,1.1106277,1.2652875,1.3341761,1.0064638,1.0926594,1.1820786,1.2820759,1.2503769,0.8698084,1.127804,0.9073217,0.9244812,1.1682131,0.9037767,1.0108918,1.1252067,0.77811456,1.0141852,1.2866359,0.87079364,1.2708564,0.78264284,1.0799396,0.7707023,1.0244923,0.86000884,1.1242901,1.1209135,0.9481112,0.16104889,0.8794845,1.2268718,1.152535,1.3176346,1.0596927,0.9480974,0.9942609,1.034898,1.094911,1.2384772,0.0,0.8733894,0.91219926,0.8831923,0.8080892,0.95965725,0.9238221,1.261313,1.0679413,1.2064757,0.8612002,1.021496,0.9975528,0.9386095,0.8559542,0.8212743,1.0768893,1.0610949,1.2800566,1.0876819,1.0082494,1.1449884,1.2368535,1.0855974,0.6805691,0.84364206,0.99192727,1.2633538,1.2123675,1.2435278,1.1014445,1.0534402,1.1654665,1.2766949,0.94540054,1.1870304,1.2510878,1.1109794,0.8363539,1.1012523,1.022267,1.1675565,0.62271786,1.0236826,0.9761195,1.1339886,1.0822301,1.0698367,1.1259371,0.9158635,1.1130683,0.9327227,1.09948,1.1181768,0.90501046,0.8668782,0.74249804,0.91355515,1.2087779,0.94567907,1.0799284,1.1166687,1.3173347,1.1846986,1.0164056,0.9700231,0.87100965,1.0665919,1.0760093,0.9236149
hand,1.0131332,1.192042,0.49217248,1.187494,1.203999,0.8711123,1.2732337,0.85344887,1.0630363,1.1855367,1.042615,0.9675218,1.1242418,1.0768448,0.96331847,1.3699224,1.1998401,0.9525002,0.7905148,1.087743,1.2746245,1.2650964,1.1916882,0.799173,0.9296483,1.0292302,1.321871,1.121801,1.0057727,1.1609297,0.9675276,0.83533156,1.2520564,1.0118899,1.342235,0.8974543,0.93754613,1.1801498,0.7874639,0.96258,0.80711937,1.1884358,0.82086694,0.93252563,0.4155603,1.0800506,1.3296353,1.2145085,1.0695548,1.1339294,1.0677278,0.6321449,0.9985524,0.90316236,0.8733894,0.0,0.9844415,1.1229333,0.97948694,0.97869444,0.65768015,1.2712053,1.0226704,1.3550277,0.8974178,0.5257002,0.7928122,0.68643874,1.1563374,0.6426116,1.1753621,1.1470233,1.1695676,0.7345774,0.8912251,1.1541569,1.2892058,1.0597792,0.8787778,0.6459469,0.8776909,1.0549527,0.79800093,0.86200595,1.0228922,1.0483873,1.2966833,1.2023294,0.965171,1.1900167,1.3456337,1.0090286,1.0651344,1.2820983,0.8865981,0.9566834,0.9138235,0.8660847,0.5246537,0.9624286,0.7832157,1.1486493,0.97228825,1.1751859,0.6838672,0.97409856,0.7959273,1.318634,0.8060851,0.9711511,0.96805084,0.9700014,1.2379633,0.62912947,0.93423426,0.72168636,1.1856611,1.234809,0.86386275,1.1304431,1.0893956,1.1459076,0.98404646,1.1737003
hat,0.98412496,0.8696563,1.1137477,0.59551746,0.651811,0.83626753,1.1061838,1.1176679,1.0540091,1.1011317,1.1027317,0.77475923,0.95682883,0.8633473,1.0809612,1.0435997,1.0088403,1.0471419,0.86549115,1.238703,0.97696817,1.1541169,1.2288649,0.9316606,1.2325772,1.2314994,1.0339227,1.2215132,0.96643895,0.8601684,1.1274168,0.9699499,1.1457461,1.0434096,1.0699406,1.0369775,0.55214643,1.2273974,1.0519352,0.9756744,0.97911036,0.8206363,1.0347676,0.98847604,0.90226686,1.0270386,1.1307139,1.2540455,0.9139817,1.18329,1.0328977,0.5196718,1.1621709,0.79086775,0.91219926,0.9844415,0.0,1.0571043,0.97593325,0.842288,1.0139837,1.2709872,1.2454406,1.0910821,0.91723454,0.9014971,0.8253161,0.5269134,1.1238959,0.89537066,0.9169234,1.0674274,1.1320169,0.85424304,1.0043277,1.0365546,1.2271773,1.0713496,0.9358663,1.0165181,1.0496218,1.168751,1.1203682,0.95361835,0.796872,0.9514967,1.1705539,1.2349906,0.78519857,0.8438085,0.9930803,1.0761566,1.1676333,0.96655136,0.7548226,0.91943175,1.025737,0.8211825,1.0784454,0.9673854,1.0942557,0.96419334,0.9878578,1.135911,0.6745955,1.015014,0.9091982,1.0331646,0.9228788,1.0220423,0.9103708,1.0866088,0.88278705,0.9211886,1.0491111,0.9334084,1.0415928,0.6625989,1.094584,1.1516842,1.1457999,1.2026851,1.1048254,1.2422819
hose,1.0277085,1.1870275,0.8633789,1.0883417,1.0945101,0.89840436,1.1298407,0.8880103,0.7817961,1.1950462,0.7652583,0.9318869,0.9098103,0.90375423,1.0349507,1.0821837,1.1765432,0.84508264,1.3323425,1.1737995,0.9805716,1.2135938,0.9857145,1.1768206,0.97059894,0.91956204,1.041456,0.7984311,0.86023843,1.1634896,0.7429427,1.0765119,1.175687,0.79192126,1.044728,0.90919375,1.0828304,0.80267656,0.97484446,0.82942975,1.118649,1.1438079,1.1962574,0.8873689,1.2157614,1.2393062,1.1966257,1.2377691,1.1402375,0.90920806,1.2494421,0.95254636,1.0382097,1.1978277,0.8831923,1.1229333,1.0571043,0.0,0.9714965,0.76984185,0.9819015,1.1270971,0.83081836,0.90416646,0.89038205,1.0728385,0.98668087,0.8918254,0.78426385,1.0387943,1.189733,1.166963,1.2660512,0.97311115,1.1571668,1.0570552,1.1029336,0.99593633,0.8655554,1.0083704,0.9490138,1.0817003,1.0653368,1.2748779,1.1350302,1.0164262,1.0555327,1.1290829,1.0252007,0.9267439,1.0765287,1.2153246,0.84805465,1.1155399,1.1341039,0.88383234,0.84953153,0.9747698,1.0439022,1.1684704,0.95559376,0.904202,1.3201083,0.94916886,1.048855,0.9875333,1.0958103,1.0138104,1.2343239,0.9539404,0.8956666,0.80361664,1.257899,1.2695937,1.1766875,0.8374562,1.2846079,1.0997608,0.9035595,0.97042173,0.9367778,0.72058827,1.1876374,0.8867872
jacket,0.95799035,1.2217797,0.8097105,1.1434402,1.2207371,0.87834144,1.1910567,0.90471876,0.76756084,1.1883878,0.8508898,0.72960997,0.92523384,0.8234313,1.0691962,1.2258463,1.2683123,0.918983,1.2216825,1.1286035,1.170795,1.1742909,0.7689834,1.199955,0.8749138,0.95622575,1.117579,0.8583834,1.1684532,1.1750109,0.79347825,1.1521426,1.2748712,0.8577384,1.1904771,0.9215151,1.0587951,0.9538885,1.084206,0.63744664,1.1854612,1.1311947,1.1621128,0.78869754,1.1207635,1.2521179,1.2153845,1.2883284,1.0964457,0.7947935,1.231817,0.95235544,1.0642424,1.240807,0.8080892,0.97948694,0.97593325,0.9714965,0.0,0.9295709,0.6099446,1.2155143,1.0957127,1.2014146,0.84959525,1.1433377,0.8773752,0.9199567,0.8625742,1.073837,1.1843594,1.1581115,1.2477161,1.013002,1.206406,1.1142094,1.1706624,1.0141219,0.469128,0.531101,0.9711385,1.1922001,1.2917374,1.1772438,1.1007813,1.0282739,1.0934354,1.1885103,1.0251542,1.0407583,1.1656823,1.2087303,0.9471794,1.1862824,0.986301,1.1371697,0.39421773,0.9998792,0.8699881,1.1651226,1.0405722,0.8332002,1.2696964,0.72465813,0.90637547,1.0396104,1.0786158,1.1450644,1.1337532,0.84700316,0.24537098,0.86998916,1.2634885,1.1783822,1.2179593,1.0015831,1.2448252,1.2123888,0.93701655,0.8188479,0.93419945,1.1731999,1.1962618,0.90906936
