,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.7007717,1.4597747,0.620496,1.4282539,1.3251233,1.105951,0.99315804,0.26483828,0.20027077,1.1616786,0.0,0.7814608,0.742002,0.53047264,0.44672698,0.951282,1.4277551,1.0379984,0.8244964,1.2820458,1.2431474,1.2398853,0.9975749,0.9910217,0.6974746,0.38374645,1.2543161,0.9033458,1.0140214,1.2066696,0.87084943,1.2879673,0.93298435,0.51198643,1.2253693,1.3687183,0.5725115,1.3786869,1.0289658,0.8785349,1.0294255,0.98079973,0.7448537,1.1016996,0.5285706,1.2769526,1.4335725,1.0398194,1.3789308,0.8135544,1.2445056,0.884421,1.2136818,1.2518399,1.0277886,1.3464866,0.96287435,0.8226502,1.2878454,1.0290531,1.2667483,0.9822345,1.2859648,0.7350029,1.184835,0.45166045,0.96088016,0.69999033,1.1293248,1.0710325,1.0610886,0.8477051,0.95495677,1.2665235,1.2997632,1.4379792,1.1676846,1.4325235,1.3292998,1.2865977,1.1109608,1.0441202,0.642631,0.52974397,0.87187284,1.0869987,1.1202437,0.99960566,0.98163515,0.9306279,1.3814526,0.9846904,1.0236471,1.2265601,0.90132153,1.1814537,1.4076887,0.91634595,1.3862801,1.1169381,0.9097712,0.5325996,1.0499799,0.69589204,0.6769251,0.7508116,0.811476,0.44016135,0.44587332,1.3618922,1.2392867,0.8273064,1.0572022,1.1022476,1.1682694,1.4156983,0.7716065,0.6527828,0.3650425,1.3510648,1.4524803,1.3158708,1.1554892,1.0259037,1.2071532,0.7327484,0.9026711,1.29596,1.3337594,0.6666063
bib,0.5638856,1.2147052,0.68610066,1.1937808,1.1107606,1.0543311,1.0066398,0.72798693,0.5785568,1.3536624,0.7814608,0.0,0.69223136,0.25107402,0.6398612,0.42069602,1.4461117,0.9972106,0.63711715,1.3272705,1.1532402,1.4657826,1.0818408,1.1134439,0.9642698,0.9277071,1.3453928,1.1078957,1.1513699,1.2705834,1.0449253,1.1942314,0.85140985,0.8046781,1.1784588,1.3948152,0.50361794,1.486087,1.0028225,0.77042025,0.8600129,0.64848185,1.1869147,1.3920527,0.57922643,1.226822,1.256419,0.8597394,1.258013,0.6665833,1.3451332,0.8231821,1.3020089,0.8656925,0.9042808,1.3219147,0.7965975,0.9597415,0.9152582,0.8934624,1.3917799,0.7988781,1.1179298,0.66272116,0.8697994,0.5999595,1.235144,0.9184571,1.3794966,0.95224214,1.0372622,0.6052439,0.9850933,1.2243869,1.1718256,1.3796391,1.4502155,1.3712928,1.177071,1.0607778,1.1236906,0.87226933,0.3977083,0.7013846,0.44481587,1.0409877,1.1219215,1.1306242,1.0575113,0.9543809,1.4161853,1.0045273,1.0736078,1.090469,0.9912646,1.3030195,1.3713291,1.1391518,1.4356058,1.1562703,1.0320398,0.9040894,1.0512774,0.639188,0.45885015,0.69701767,0.88600767,0.8424164,0.7536174,1.3377757,1.2943547,0.7586162,1.0523125,1.2812132,1.1082908,1.2690848,0.4355662,0.6637041,0.43232644,1.2559606,1.3915093,1.4130833,1.2041283,1.235373,0.6669749,0.70281804,0.7951225,1.4469142,1.452301,0.8836718
bird,0.48943007,1.2217804,0.9446774,1.1164784,1.1910896,1.0943534,0.94211406,0.805742,0.7184489,1.2778343,0.742002,0.69223136,0.0,0.5066775,0.90696716,0.992762,1.2531364,1.2096462,0.87750626,1.2656422,1.2317475,1.2618499,0.60258836,0.95716095,0.63991994,0.8921862,1.1861384,0.745855,0.8191927,1.2984593,0.7339693,1.2059648,0.90708077,0.7130355,1.134934,1.364312,0.6274545,1.3318257,0.95960253,1.1134303,0.84264237,0.79162014,0.92722344,1.2174878,0.5993296,1.0829659,1.1945524,0.8882329,1.2911085,0.4070797,1.130623,0.726549,1.3698881,0.88942385,0.7533896,1.2389343,0.9621707,0.9088586,1.0732182,0.9324222,1.2735003,1.0733987,1.2749635,0.76808816,1.0289898,0.73287344,1.2738535,0.9237119,1.145808,0.9882083,1.1811278,0.6994486,0.963971,1.2394711,1.0508876,1.2358624,1.2669238,1.3533459,1.2199696,1.2254364,1.0505378,0.62639534,0.6137473,0.86546725,0.8371122,1.2013962,1.2489907,1.1259612,0.97375834,0.8973235,1.182463,1.2593414,0.85739243,1.1715505,0.87343943,1.2244396,1.1866016,0.9438734,1.183128,1.1691206,1.0538834,0.8018361,1.1517982,0.7806765,0.46084052,0.8390305,0.9582417,0.94015104,0.9326841,1.3045886,1.250139,0.87793314,1.123579,1.337896,1.2251137,1.1017013,0.63147163,0.85475576,0.7102949,1.2167122,1.3290385,1.2543373,1.1902639,1.1023858,0.9741018,1.0487705,0.9367861,1.2216761,1.2987648,0.8201846
blanket,0.42341346,1.3614475,0.5754719,1.2781541,1.2712753,1.0819201,0.98501253,0.62762916,0.37115002,1.3386266,0.53047264,0.25107402,0.5066775,0.0,0.57979196,0.66206205,1.5399942,1.091826,0.7036371,1.3603592,1.2507377,1.4816308,1.0261188,1.0899134,0.8165113,0.7196448,1.3716176,1.06889,1.1151356,1.381244,0.90273356,1.2338557,0.880564,0.5559597,1.2219069,1.479976,0.4432242,1.5760396,1.0499042,0.8836796,0.9028792,0.6837311,1.0515851,1.3714039,0.36643463,1.2609975,1.3516738,0.87984467,1.3067417,0.53188336,1.391355,0.8245373,1.4427323,0.9781163,0.87244266,1.3653874,0.7093454,0.8982047,1.0957199,0.92081016,1.4267378,0.8609094,1.219083,0.4806983,0.9920613,0.30347383,1.2758535,0.75199956,1.4506555,0.99338156,1.1656425,0.50522035,0.8782228,1.2770611,1.2899964,1.4692895,1.4134257,1.4485576,1.191989,1.2566133,1.1415328,0.8155919,0.19570208,0.4651057,0.6639973,1.1067642,1.2160095,1.1163485,0.85662,0.96021533,1.4648443,1.1195655,1.00019,1.2250595,0.8311307,1.3571117,1.4337635,1.1019976,1.4624554,1.1503282,0.9743251,0.69711584,1.1283362,0.59487385,0.30480146,0.45325798,0.8995631,0.8181058,0.6702795,1.347249,1.4201795,0.6413056,1.0650696,1.3568655,1.199054,1.3798231,0.40995133,0.6219879,0.4112327,1.4073645,1.4624164,1.4587979,1.3012738,1.1457675,0.80463445,0.7806982,0.8582079,1.4415869,1.4534652,0.7532772
boat,0.80716217,1.2383034,0.5821152,1.2045132,1.0275321,1.1121587,1.095827,0.3496766,0.34350914,1.2446227,0.44672698,0.6398612,0.90696716,0.57979196,0.0,0.80428386,1.3999865,0.9148802,0.756678,1.2321755,1.011111,1.4043878,1.0551493,1.0337181,0.9547678,0.76511705,1.4350626,1.028955,1.1288103,1.2378432,1.0781511,1.3004394,0.74060714,0.85144114,1.1511378,1.2735643,0.68303275,1.368757,1.0182092,0.7198392,1.0330318,0.849246,1.0684059,1.3247652,0.68871975,1.250959,1.3577509,0.9810927,1.270892,0.8186773,1.273225,0.9500825,1.0980555,1.1364847,0.98147345,1.3622208,0.93853444,0.7504512,0.98510903,1.0413376,1.3988622,0.74362063,1.1787436,0.8307431,1.1154015,0.6291852,0.9894687,0.94222355,1.2352543,0.94303614,1.0363419,0.83044744,1.0088491,1.1428001,1.1527618,1.3668851,1.3493634,1.3969789,1.2883658,1.2276132,1.1826234,1.2072021,0.5966942,0.55374205,0.7382065,0.921372,0.9675182,0.9732013,1.1957638,0.88322186,1.4224519,0.87702847,1.0836043,1.0485585,1.0223442,1.2005222,1.4464109,1.1187552,1.4350158,1.0269618,0.90479445,0.8709541,0.9975033,0.6865866,0.8029281,0.78560805,0.7793232,0.48940802,0.27394456,1.4113173,1.2278682,0.9402224,1.0223097,1.0416405,0.9945817,1.2401075,0.8238241,0.62514985,0.34179974,1.1878694,1.4256475,1.3466685,1.1430644,1.1520914,0.8951924,0.5727284,0.76271987,1.4759597,1.4589553,0.83337456
book,0.76378906,1.0817189,0.99631643,1.0716468,0.9368552,0.83545494,0.8443622,0.98636925,0.8904243,1.0419794,0.951282,0.42069602,0.992762,0.66206205,0.80428386,0.0,1.1543441,0.94075316,0.39670885,1.1310948,0.8780606,1.2090971,1.1262012,1.0810472,1.249865,1.0942744,1.0669924,1.1727115,1.1363698,1.0261159,0.9686559,0.99550533,0.9509258,1.141306,1.0725299,0.95136756,0.69210464,1.1564052,1.1200562,0.77676845,1.0896162,0.98380613,1.2102545,1.0241424,0.96143764,1.2711244,1.2540324,1.0420202,1.2260356,0.89157975,1.1742848,1.0462115,1.0382514,0.75739384,0.8824453,1.232395,0.98529714,1.0156684,0.605176,1.0506732,1.2015327,0.9660983,1.0218916,0.97035265,0.62771744,0.9169649,1.0165775,1.0486132,1.1615704,0.9689668,0.8199914,0.9389992,1.0015856,1.1535861,1.2458327,1.2300066,1.2359924,1.2598901,1.1954502,0.91024935,0.9180932,0.96795744,0.7962971,0.9235846,0.27870142,0.83611006,0.91404164,1.0148805,1.0459743,0.96738935,1.0905831,0.8945033,1.204977,1.14856,1.0138289,1.0114542,1.2378564,1.0060132,1.2873597,1.1066458,1.1307701,1.0921563,0.8857415,0.9921958,0.7236598,0.9699195,0.9654943,1.0127133,0.8862224,1.1532748,1.0938498,0.91351736,1.0473068,1.1218721,1.0908446,1.1623319,0.7583306,0.97392243,0.6260388,1.0546353,1.3016403,1.2130687,0.9969204,1.1021467,0.5273597,0.5679505,0.81397057,1.1644123,1.2479799,1.0921636
bottle,1.3785025,0.65420794,1.4623859,0.6668278,0.81209314,0.92713666,0.95982623,1.453599,1.4427879,0.44370174,1.4277551,1.4461117,1.2531364,1.5399942,1.3999865,1.1543441,0.0,1.0970341,1.2795488,0.74505746,0.5367803,0.32273388,1.0151335,1.1743469,1.1436689,1.2498411,0.5746609,0.9919349,0.83083415,0.67322725,1.2071095,0.85678446,1.172192,1.2988958,1.0168856,0.31962836,1.3995504,0.14607179,1.1906718,1.2643868,1.224041,1.3852344,1.0222224,0.74885476,1.3916664,1.0030013,0.76975363,1.1954799,0.79333425,1.2776017,0.29156208,1.2831938,0.7633536,1.0339204,1.1135777,0.46691704,1.3142269,1.1267303,1.0121986,1.137119,0.59115756,1.3812734,0.6849216,1.4109335,0.907114,1.4897894,0.90255314,1.3329692,0.6043631,1.0443416,0.87225974,1.4392821,1.0602671,0.8717865,0.9954164,0.2673707,0.5217161,0.41435432,0.8983097,0.86152905,0.847777,1.0351756,1.5187793,1.4001734,1.3493556,1.0923222,1.0276252,1.1976349,0.87338823,1.1708857,0.31981122,1.0651125,0.9620727,0.9339938,1.0603268,0.42453086,0.64168096,0.9271712,0.40573895,0.96409774,1.3212712,1.2387365,1.0444095,1.4196448,1.4234556,1.4638515,1.2451978,1.3684607,1.2604616,0.509277,0.5792171,1.2413576,1.2161505,0.89804435,0.99298525,0.82822967,1.3839949,1.416713,1.5659254,0.5698932,0.5360582,0.2574246,0.83092546,0.76705617,1.0452236,1.362361,1.1350232,0.3765105,0.33540857,1.2677065
bowl,1.1976293,1.0224231,1.1355033,1.1052378,0.93666846,0.87961817,0.8228658,0.8291987,1.0386044,1.0718533,1.0379984,0.9972106,1.2096462,1.091826,0.9148802,0.94075316,1.0970341,0.0,0.96014506,0.75745815,0.8026795,1.0938993,1.2648969,1.0289271,1.2854295,1.1588604,1.0641221,1.1981509,1.2661858,0.9720948,1.2491691,0.78674257,1.0990674,1.2052935,0.6585719,1.1586584,1.0620393,0.9886355,0.9161663,0.31285715,0.9918021,1.0626118,1.2185895,1.065533,1.1539115,1.0307066,1.0227274,1.1443034,1.2437856,1.0960252,1.126481,1.0359001,0.7209356,1.0175078,1.066972,1.1929382,1.0687068,1.065899,0.99736947,1.1750259,1.1882843,1.0676152,1.0656338,1.1962508,0.93431497,1.1152978,0.7074004,1.2269133,1.0447073,1.0938126,0.8202038,1.1424868,1.0940412,1.1551591,0.9878642,1.197524,1.1246841,1.1234025,1.1750121,0.9238952,1.0705568,1.2088276,1.1156833,1.0416758,0.9233306,0.95007575,0.8409387,0.9997364,1.1618698,0.725247,1.2087489,0.052640557,1.0685532,0.96049714,0.9802994,1.0242349,0.9713792,1.12099,1.1201327,0.67891884,0.4577762,1.1324605,1.121389,1.1256906,1.1513952,1.1526214,0.51730907,0.72211576,0.9881289,1.1519499,0.86833775,1.1109824,0.22614908,0.34800267,0.85404027,1.127702,0.9816004,1.0801144,0.90915173,0.7503811,1.2269028,1.1045997,1.1439587,1.092715,1.0156436,0.5308595,1.0349951,1.1721718,1.1210077,1.2127671
box,0.76860535,1.2237597,0.9372381,1.1743395,1.0255795,0.9801687,0.59711766,0.9496971,0.84338444,1.2634703,0.8244964,0.63711715,0.87750626,0.7036371,0.756678,0.39670885,1.2795488,0.96014506,0.0,1.3383191,0.8706065,1.2881913,1.0571481,0.96858823,1.156034,0.79083705,1.251816,0.9252457,1.1005056,1.1118286,0.834415,1.2132671,0.8016561,0.8597934,1.2017698,1.118264,0.45441556,1.2409288,0.9457326,0.84124583,0.97359073,0.784418,0.92969406,0.853884,0.9293749,1.2149469,1.3404813,1.0337149,1.2854097,0.90162724,1.2995124,0.9477504,1.1478986,1.0485668,0.71661067,1.371495,0.94802237,1.0804163,0.62913597,1.0938755,1.2880945,0.920844,1.108755,0.94939667,0.7610363,0.93992126,1.0273546,0.87941104,1.1759287,0.94577545,0.76433057,0.81442034,0.95336354,1.1731325,1.2105129,1.4056735,1.28605,1.3749712,1.2633629,1.131661,0.8461578,1.0482173,0.7898054,1.0048168,0.46919793,0.7379558,0.7759918,1.0007017,1.1042118,0.98618376,1.2372146,0.9912017,1.0876225,1.1293656,0.88081056,1.1182901,1.3306749,0.78391826,1.3869712,1.2139275,0.9998841,1.0669203,0.8411566,0.97080266,0.640961,0.93547374,1.005117,0.9279426,1.0011356,1.3358455,1.0492917,0.946592,0.9792562,1.138352,0.972212,1.218858,0.75314045,0.9481399,0.54319674,1.108207,1.4087824,1.3675506,0.8789245,1.0859437,0.556314,0.3597082,0.88367087,1.1272484,1.3525918,0.91846913
bread,1.1776344,0.7963385,1.3088999,0.8420801,0.90361106,0.60908926,1.0683581,1.2429521,1.2573566,0.66500103,1.2820458,1.3272705,1.2656422,1.3603592,1.2321755,1.1310948,0.74505746,0.75745815,1.3383191,0.0,0.7976378,0.6086095,1.1252726,1.0488402,1.0709684,1.330231,0.79949456,1.214824,0.9660159,0.78470325,1.1788471,0.45986736,1.0935488,1.3728341,0.18064225,0.64228606,1.4504813,0.71628845,1.1204199,1.0705439,1.1485169,1.4009761,1.207331,0.8971186,1.3305838,0.9230876,0.68666506,1.232404,0.87447226,1.0642921,0.7839012,1.2039341,0.73917305,0.85763085,1.2480347,0.7739309,1.1948262,1.0227383,0.9656836,1.1946982,0.726846,1.2054114,1.0272311,1.3582703,1.024184,1.2702388,0.7752446,1.303757,0.89598215,0.8687875,1.0206043,1.3124573,1.0847106,0.9273977,0.71491635,0.7261828,0.771596,0.6569911,0.9251231,0.78480935,1.020021,1.0362537,1.3771455,1.1446189,1.226886,1.0434343,0.9598552,0.84226984,0.96987563,0.62775624,0.8305978,0.73436797,0.9874596,0.7483202,1.1452111,0.8848482,0.7254282,1.247089,0.78702366,0.24956709,0.96802515,1.2846428,1.0505238,1.3326381,1.4189094,1.316097,1.0248867,1.2345593,1.1248355,0.75732195,0.9411291,1.1811972,0.7933259,0.6945252,1.0369419,0.8066234,1.3070991,1.3229898,1.3921746,0.7793845,0.7527959,0.59127146,1.0537583,1.0180886,1.1040729,1.1532583,1.1219963,0.9420401,0.75302887,1.2726197
bucket,1.1836541,0.77033454,1.3723264,0.7282907,0.54526573,0.85149723,0.6409753,1.3378099,1.1644423,0.6165979,1.2431474,1.1532402,1.2317475,1.2507377,1.011111,0.8780606,0.5367803,0.8026795,0.8706065,0.7976378,0.0,0.6667998,1.2568775,1.1896899,1.3186569,1.1840197,0.8228646,1.1495094,0.9423813,0.6879238,1.2405431,0.9342507,0.96792907,1.3647044,0.9973063,0.48159873,1.2006379,0.36688852,1.1981518,0.9996083,1.1913195,1.1992784,1.1594615,0.811619,1.3821838,1.1121079,1.0061114,1.3274539,1.0218041,1.1545686,0.8261825,1.2585096,0.77315414,0.8728781,0.8961369,0.91043425,1.1126742,1.0763527,0.6288823,1.3194418,0.89333713,1.3150786,0.6086184,1.3755376,0.8455517,1.3178997,0.8983573,1.324044,0.8249982,0.8693757,0.656876,1.1572114,1.0257951,1.1026808,1.1171734,0.76525664,0.68762904,0.81230927,1.1115055,0.727204,0.8757004,1.1399798,1.325175,1.1692178,1.124876,0.8579715,0.79496026,1.1862452,0.929019,1.1764834,0.6977923,0.8401017,1.0379575,0.8167261,0.9792441,0.6766212,0.894431,1.1099226,0.7450187,0.78700554,1.168099,1.3083723,0.82649255,1.4552782,1.1374475,1.3840954,1.1039639,1.332037,1.1003189,0.71659493,0.62513834,1.116076,1.0753411,0.77761227,0.8847784,0.86921334,1.0586555,1.4122298,1.3043486,0.452173,0.94947463,0.7566714,0.8088232,0.7581648,0.56568295,0.92918545,1.1242087,0.664094,0.69809353,1.340984
can,1.332364,0.82223034,1.3742247,0.8490265,0.99679893,0.97102964,0.9763679,1.3623166,1.2815821,0.28768134,1.2398853,1.4657826,1.2618499,1.4816308,1.4043878,1.2090971,0.32273388,1.0938993,1.2881913,0.6086095,0.6667998,0.0,0.95300615,1.1116153,0.9301163,1.041003,0.5164627,1.0233063,0.6338813,0.668743,1.1642543,0.6891408,1.2713677,1.0934436,0.9601493,0.42077982,1.3668182,0.25322974,1.2414924,1.2849672,1.2403398,1.4780204,0.8521322,0.56807476,1.3351715,1.0354246,0.7642219,1.2291806,0.76193464,1.3205863,0.55864614,1.2675475,0.7236258,1.1019945,1.2495806,0.44100386,1.2541984,1.1166601,1.1800978,1.1570102,0.39009452,1.391395,0.7834301,1.2992771,1.0942535,1.2958047,0.7613597,1.2495596,0.60487413,1.0288445,1.03846,1.4489758,0.9763394,0.92843163,1.0345553,0.4648928,0.37073493,0.39596713,0.86554873,0.9059119,0.9175505,1.0303838,1.4759895,1.2733918,1.4063468,1.1205744,1.0124371,1.0841677,0.615709,1.2528604,0.4865799,1.0313358,0.9166641,0.94275707,1.0541621,0.5539948,0.69691193,1.0052227,0.5422652,0.8485169,1.2498367,1.1546882,1.0103185,1.3614781,1.3994445,1.4137611,1.234781,1.3156619,1.2088456,0.4495564,0.80518806,1.2541206,1.1965212,0.85443854,1.1237473,0.9684684,1.3269545,1.3730782,1.5208914,0.6957704,0.49078077,0.3021773,0.8643999,0.762473,1.2330682,1.3682289,1.198806,0.43134975,0.39770186,1.1473155
car,0.8470889,1.0332656,1.0518548,1.0708067,1.2097807,1.0283359,1.0983671,1.0394273,1.0140226,0.8846221,0.9975749,1.0818408,0.60258836,1.0261188,1.0551493,1.1262012,1.0151335,1.2648969,1.0571481,1.1252726,1.2568775,0.95300615,0.0,0.6185764,0.62388325,0.9591667,1.1239871,0.80598295,0.63642657,1.1968704,0.577968,0.95934975,0.98265624,0.8688659,1.1286672,1.0410193,0.96608317,1.0887979,0.9162042,1.190638,0.99129176,0.8955995,0.9093062,1.0492315,0.9646255,0.9482497,0.98936445,0.77078485,0.97334194,0.76008207,0.9817623,0.9326421,1.1930791,0.90521336,0.9030394,0.8587883,0.95001525,0.95783365,0.94651055,0.88215363,0.9700251,0.99642926,1.1820648,0.91404754,1.1623745,0.9090686,1.0893137,0.93541205,1.0817981,1.0450536,1.3301498,0.951699,0.81655437,0.8532436,0.945475,0.93786025,1.0944843,0.9641476,0.8656909,1.1799535,1.0240241,0.6571961,1.0042217,0.90266836,1.0311131,1.0687748,1.0900736,0.89744914,0.82214373,1.014661,0.94356805,1.2639925,0.8901633,1.1344545,1.1567928,1.0338266,1.1408364,0.9391723,1.0580461,1.1480806,1.0791978,0.9920538,1.1636916,0.98749554,0.8211952,0.97515833,1.2153664,1.1121113,0.96978927,0.9644802,1.2916,1.1091899,1.1937306,1.2389575,1.2466516,0.9408462,0.9890424,1.0578177,1.031512,1.1593537,0.9224722,0.92893565,1.1716627,1.1400719,1.1517994,1.1711044,0.9803694,1.0298673,1.0388259,0.9361135
carrot,0.99323,0.98324096,0.75142723,1.1427199,1.0704333,0.8032528,1.1176643,0.94394535,1.0744077,1.120715,0.9910217,1.1134439,0.95716095,1.0899134,1.0337181,1.0810472,1.1743469,1.0289271,0.96858823,1.0488402,1.1896899,1.1116153,0.6185764,0.0,0.9237679,1.0151231,1.1919292,1.0011362,1.0882556,1.1840231,0.64930725,0.9311704,0.94508106,0.9788086,0.96913975,1.0192001,1.1006408,1.2084213,0.99053425,1.1016451,1.065892,0.9011314,1.0759419,0.96686494,1.0879042,0.94595164,0.94508064,0.9143329,0.68131757,0.8424759,1.1443076,1.0604864,0.9727891,1.0239918,0.899271,1.0142412,0.72041035,1.0456322,0.8372684,1.017368,1.0122542,0.5845317,1.3424321,1.0003744,1.1439172,0.91909474,0.7664909,0.81943536,1.2903538,1.060386,1.1359286,0.7864145,0.9010763,0.83827925,0.84131217,1.0261229,1.0956504,1.0121406,0.85130656,1.0005503,1.0538731,0.8858863,1.0185819,0.9580936,0.96116513,0.71151483,0.77404857,0.45565265,0.9552955,0.9263558,1.1984708,1.0885152,0.9742115,0.90662795,1.2026927,1.271216,1.1035509,1.1451321,1.2416023,1.0638173,0.8991732,1.0278682,0.9685573,1.0259418,0.95507497,0.89905727,0.919237,0.91600335,1.0835066,0.97077054,1.2286799,0.9240795,0.9442158,0.916778,1.1418192,0.87028605,1.0507133,1.0282038,0.95166713,1.1857104,0.81526136,1.0161287,0.89870363,1.0310215,1.1317111,0.9496351,1.1450541,1.185739,1.0661762,1.0857008
cat,0.80272317,1.2661074,0.86963934,1.2423699,1.3661942,1.1634218,1.1832418,0.7959254,0.72766644,1.0000281,0.6974746,0.9642698,0.63991994,0.8165113,0.9547678,1.249865,1.1436689,1.2854295,1.156034,1.0709684,1.3186569,0.9301163,0.62388325,0.9237679,0.0,0.71078324,1.0897666,0.83155817,0.66827756,1.1147993,0.8431692,1.1570537,1.0146061,0.5587225,1.1115494,1.2661785,0.8755952,1.2045171,0.7790524,1.1948577,0.66833663,0.9451627,0.73289347,1.1337739,0.7082701,0.7936897,1.1418102,0.9906501,1.0912861,0.9217204,1.0416577,0.7454204,1.2363806,1.1019621,1.0908738,0.9980755,0.89119893,0.860198,1.3619728,0.95652133,1.0235016,1.0214312,1.1763557,0.7571258,1.2237048,0.7327214,1.1268816,1.0015473,1.0443478,1.084143,1.2861066,0.921229,0.85242903,1.1242504,1.0318044,1.1452003,1.0513836,1.0261216,1.0423836,1.2512538,1.1681858,0.8078089,0.87822384,0.8180236,1.1717224,1.1850613,1.229316,1.0863618,0.8451636,1.0166479,1.0980673,1.2683012,0.5767083,1.1104469,0.9786677,1.1489238,0.9922878,0.9357866,1.0166607,1.0549395,0.94603026,0.83380276,1.1836883,0.8804659,0.8397449,0.9544861,1.0769607,0.93690217,0.79496753,1.0732138,1.294214,0.9063741,1.097846,1.2202405,1.276484,1.1551068,0.9344115,0.91531754,0.8457953,1.3039668,1.0646063,1.0411857,1.2185253,1.1478735,1.3463826,1.2412381,0.933531,1.0790992,1.0427586,0.8085292
chair,0.8743893,1.415277,0.712605,1.4168754,1.3112898,1.2284424,0.7938901,0.6561718,0.46923763,1.0594549,0.38374645,0.9277071,0.8921862,0.7196448,0.76511705,1.0942744,1.2498411,1.1588604,0.79083705,1.330231,1.1840197,1.041003,0.9591667,1.0151231,0.71078324,0.0,1.1449304,0.6863748,0.85126376,1.1061279,0.78992736,1.2598357,1.0513325,0.27056777,1.3302976,1.3147771,0.42050576,1.202054,0.9090086,1.0669255,0.956845,0.8162882,0.4463979,0.8736133,0.69069654,1.1809326,1.3312502,0.9866331,1.2638788,1.0522473,1.2332604,0.91071826,1.2117789,1.3756946,0.9768145,1.2664633,0.9226441,0.89958185,1.355743,0.97532153,1.1341385,1.0227834,1.1338983,0.6710381,1.174211,0.68646896,1.0726258,0.5312276,0.9707349,1.1713045,0.9391906,0.8865228,0.92054665,1.2031398,1.2946615,1.3939524,0.9708647,1.31457,1.2212869,1.2965686,0.9991486,1.0992382,0.8084941,0.7741923,1.0217748,1.1214203,1.1531242,1.0262938,0.7577417,1.1026268,1.1348253,1.1679561,1.020861,1.191766,0.83791274,1.0981939,1.3460835,0.636735,1.2282904,1.1904852,0.99295557,0.7292966,1.1398346,0.72007334,0.8503585,0.81455266,1.0738312,0.739904,0.7941599,1.2519331,1.1322378,0.9468161,1.0796932,1.1473475,1.1513287,1.3480061,0.85898197,0.6881056,0.64461595,1.3143394,1.3132734,1.2783939,1.143321,0.87104964,1.3128272,0.94463307,1.014878,0.94468546,1.1943885,0.43218917
clock,1.2203249,0.9532226,1.3761859,0.94669044,0.9840274,0.94840664,0.84224784,1.3718315,1.3818845,0.5757618,1.2543161,1.3453928,1.1861384,1.3716176,1.4350626,1.0669924,0.5746609,1.0641221,1.251816,0.79949456,0.8228646,0.5164627,1.1239871,1.1919292,1.0897666,1.1449304,0.0,0.99114466,0.82726216,0.7135448,1.1429338,0.81763536,1.2601216,1.2528769,0.9420185,0.6276546,1.2844551,0.5167608,1.0750896,1.1958413,1.1217424,1.3976523,0.87160766,0.67677236,1.3219831,0.90772325,0.93961596,1.2326927,0.90966994,1.2365954,0.7213708,1.1576666,0.61237127,0.84605,1.1262907,0.7876216,1.2641408,1.1052729,1.1459423,1.1760076,0.55225325,1.3146739,0.76325476,1.2345254,0.8525232,1.3113737,0.82774127,1.2817256,0.44413465,1.1496449,0.84927225,1.3954014,1.0872636,1.0073185,0.97977716,0.7556123,0.50126934,0.690995,1.0232897,0.8279772,0.8697188,0.93567157,1.4173614,1.3132339,1.2213225,1.0019361,0.95778286,1.1301656,0.7831099,1.1998395,0.41972125,0.99832016,1.0093713,0.9915498,0.8135895,0.6584121,0.59058523,0.90240663,0.51396155,0.9509736,1.1708246,1.1330687,0.85398805,1.3524358,1.3131994,1.3174152,1.0683627,1.2871263,1.224759,0.69016415,0.7030142,1.179459,1.0579269,0.792211,0.95891666,0.9004829,1.2690918,1.3662071,1.487602,0.81296635,0.79667157,0.6781565,0.78178453,0.71818423,1.1526078,1.3083096,1.0669308,0.37785435,0.5415678,1.1848695
