,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bed,0.6210299,1.2070043,1.4501861,0.7915635,0.60455704,1.3277633,1.455915,0.87326294,1.2541484,0.43054563,0.0,1.3726878,0.2265324,0.39214408,1.0468552,0.24987882,0.4111278,0.8852052,1.4597872,0.98127073,1.173501,1.4232446,0.9058443,1.2622368,1.3525339,1.3947389,0.567757,1.5058057,0.636412,0.37013435,1.384707,0.6114167,0.58904123,1.0804691,0.8044816,1.2204024,0.89613366,0.27240336,0.96190774,1.5998076,0.24777007,1.4897203,0.73493356,1.2936794,0.9409443,1.2579553,0.6431993,1.2730298,1.5140761,0.55344355,1.4306223,0.84271455,1.4243236,1.4204156,1.2662942,1.3591936,1.5015769,1.1327691,1.1034701,1.4946082,1.1795421,0.9046898,1.2625477,0.9198253,1.2531232,0.90408653,1.477783,0.5791861,0.36961997,1.0738567,0.5118111,1.0792317,0.70197386,1.3353269,1.3712503,0.99202853,0.97683,0.6982272,1.2205663,1.2307475,1.4359002,1.0795609,1.4816921,1.2270824,1.4205226,0.7699076,0.74037105,0.36014974,0.49875093,0.40312338,1.576952,1.4169691,1.3494148,1.1104629,0.6024896,1.3174775,0.8038032,0.74892974,1.3388757,0.9436387,1.5221622,1.149446,0.7825006,1.4012976,0.7151874,1.2901809,0.46126223,0.8421966,0.867844,0.71261704,0.408974,1.5692971,0.42757,1.3315995,1.1965129,1.1084353,1.128272,1.4815305,1.4735789,0.81526685,0.4550023,0.2696259,1.4512794,1.550202,1.4564432,1.0217073,0.9626814,1.2348063,0.8987192,0.87492895,1.1658326,1.5234358,0.6118883
belt,1.4583637,0.88569117,0.72028124,1.3873044,1.443001,0.91557527,0.6498979,1.3828137,0.80789816,1.2621406,1.3726878,0.0,1.24353,1.4581068,0.8811401,1.3010346,1.289717,1.020048,0.6255985,1.1466367,0.839321,0.9645718,1.0095953,0.77134806,0.6216106,0.23304701,1.1116385,0.65258324,1.2016357,1.2485857,0.7186931,1.3283795,1.2231163,0.6955291,1.3489578,1.1829703,1.172418,1.2597958,1.3103015,0.29395747,1.3511233,0.7419109,1.3300416,1.057393,0.9513283,0.85396093,1.388362,0.8726967,0.64484316,1.1923035,0.59484124,1.1841028,0.72966623,0.6735218,0.9323189,0.50289285,0.76150477,1.0494772,1.2654084,0.36002278,1.0425547,1.08053,1.1324551,1.1304314,0.85650647,1.4222777,0.4795184,1.439828,1.3176676,1.2679853,1.221378,1.1526848,1.2274678,0.71822035,0.41904455,1.2724206,1.1891849,1.4991882,1.1667101,1.0095662,0.46030748,0.90265405,0.5156554,1.0208092,0.7689447,0.9717169,1.3255459,1.4455376,1.1863791,1.4141587,0.35198462,0.7892442,0.75095993,0.5898802,1.3510002,0.815706,1.247882,1.3644994,0.8351466,1.0458759,0.24335313,0.86641634,1.1428976,0.79166424,1.2560906,0.84323686,1.3997885,1.2841865,1.3710626,1.1118214,1.2363535,0.28373575,1.1193979,0.36311996,0.94156617,1.1671411,1.1585108,0.5811055,0.48579115,1.194581,1.3109983,1.5031879,0.61988527,0.59226155,0.55248916,1.3431855,0.7662213,0.90925014,0.9342119,1.1860175,0.5825671,0.49750334,1.1461651
bench,0.76095545,1.1777116,1.3205807,0.8390861,0.7051098,1.3517423,1.4369451,1.0567558,1.1121764,0.5576712,0.2265324,1.24353,0.0,0.6001896,0.9862281,0.4102493,0.47543144,0.96244305,1.3215059,1.0438253,1.0324826,1.3023353,0.86735773,1.2675984,1.2725793,1.271049,0.48725444,1.4435626,0.8057175,0.29814285,1.2080296,0.66260946,0.6184839,1.1112726,0.89747965,1.1673754,1.0119561,0.36252296,0.99276626,1.4827211,0.28520632,1.3498133,0.8691376,1.1766001,0.8510455,1.1903722,0.7141858,1.2329239,1.4746566,0.7132895,1.3306085,0.9004898,1.3228135,1.3771017,1.2588819,1.2462225,1.4020568,1.2185788,1.143677,1.3728595,1.1248329,0.9243598,1.3209685,0.91134137,1.2517624,1.0097814,1.3690727,0.70706606,0.44301236,1.0826722,0.6051321,1.1114017,0.6470299,1.251064,1.2114114,1.0328294,0.9105468,0.83170974,1.2201641,1.1619788,1.3727586,1.0867529,1.3386209,1.1998705,1.2981613,0.74172235,0.8369297,0.4797238,0.6066965,0.65455663,1.4050214,1.3195994,1.3225291,0.953548,0.68726504,1.2652436,0.9257654,0.8777141,1.2164053,0.9117684,1.3211027,1.1902802,0.72806567,1.3518041,0.8277919,1.233372,0.5508747,0.9326043,1.0132207,0.739793,0.44950157,1.3709415,0.654486,1.3179419,1.1560711,1.0887169,1.1590345,1.363259,1.3793639,0.84392726,0.509092,0.44830537,1.4264485,1.4404802,1.4035673,1.0848858,0.95514196,1.3128699,0.81891215,0.9673922,1.01322,1.4170673,0.6095308
bib,0.60527635,1.1483817,1.4927154,0.70791405,0.54375565,1.2542958,1.4465094,0.66693646,1.4085027,0.75771475,0.39214408,1.4581068,0.6001896,0.0,1.0473769,0.3057031,0.6860533,0.8971835,1.5773115,0.98346084,1.1999713,1.3694206,0.94417775,1.3057154,1.2892096,1.5521717,0.8979479,1.3050693,0.8457752,0.69173646,1.3214481,0.73716193,0.64703166,1.3181552,0.6754592,1.1754131,0.73013663,0.5374844,0.7516296,1.59427,0.6308015,1.540982,0.8690572,1.2271906,1.1893537,1.3140144,0.531973,0.99007,1.4599946,0.6694099,1.2894324,0.79154074,1.1540805,1.2871326,1.3661419,1.1634665,1.2953669,0.9429285,1.0651493,1.4772241,0.885642,0.79834586,1.0678144,0.81622267,1.2162895,0.5550978,1.3118213,0.7435993,0.4278326,0.97217345,0.4490595,0.9380246,0.9629244,1.5499154,1.3905172,0.98062754,1.0067315,0.41193134,0.9382827,1.0290574,1.4865435,1.0319202,1.2796018,0.97792673,1.4639862,0.9191326,0.6513393,0.22283953,0.47506005,0.3753329,1.5352076,1.2922164,1.2263801,1.1209118,0.5204511,1.4344964,0.78873646,0.89328074,1.4214511,0.6767762,1.5484018,1.0543282,1.045982,1.4863646,0.47110713,1.1575361,0.37683105,0.55781806,0.77561116,0.9935165,0.7040522,1.5425063,0.7358277,1.4172742,1.0224743,1.0704577,0.97440183,1.550134,1.4381132,0.8886646,0.52188236,0.53667355,1.4758313,1.3485242,1.3870876,0.83345604,0.9673119,1.156788,1.1113596,0.98234326,1.4008808,1.4003376,0.8785088
bird,0.96989846,0.9668315,1.1968883,1.0527712,1.0040319,1.0611879,1.1827872,1.014396,1.0239966,1.1314616,1.0468552,0.8811401,0.9862281,1.0473769,0.0,0.9354923,1.1121559,1.0447192,1.1576099,1.1837577,0.9420022,1.1185492,0.8097867,1.0586985,0.93774575,1.0065752,1.0206039,1.0299337,0.981999,0.99235237,0.9326164,0.81570697,1.0851797,0.98941797,0.8579664,0.87120295,1.1219642,0.8678374,1.0245115,1.1006093,1.0309932,1.0777429,1.0142372,1.0005872,0.88769984,0.9269357,0.9685717,1.1161705,1.1380696,1.2058553,0.9387649,0.94208014,0.7971483,0.9138838,1.0130489,0.9533229,1.0066882,1.0722218,1.1486453,1.0431093,0.7174602,1.1089548,0.9947791,0.89216936,1.0870507,0.8583642,1.0098664,1.0418285,1.0432308,1.0801762,0.93132746,1.0655681,0.82825714,0.95588845,0.98854864,1.1172034,1.0566386,0.80194247,1.148675,0.96397054,1.0737038,0.9251835,1.0863167,1.0127541,1.1973796,0.7682813,1.0155848,0.96184105,0.92064893,0.9172496,1.0592486,1.0625341,1.0120599,0.7747891,1.0760608,1.0111903,1.1403883,1.0599327,1.166047,0.95454466,0.8948854,0.90863127,0.7961509,1.0392911,1.1485254,1.0793874,1.0087823,0.8323762,1.152286,1.0318696,1.1334038,0.9676586,0.93310237,1.0952742,0.8278791,1.0951817,1.1377109,0.84691584,1.0632724,0.754392,0.9950208,0.94804364,1.1038837,0.8595398,1.1218122,1.0972383,0.86498195,1.0764226,1.1328948,0.9928998,1.0153015,1.0800166,0.9397427
blanket,0.58587,1.0623895,1.420973,0.8517858,0.7211232,1.2162971,1.4425565,0.7657712,1.2472651,0.8102124,0.24987882,1.3010346,0.4102493,0.3057031,0.9354923,0.0,0.7399059,0.8541827,1.548744,1.040702,1.0557956,1.334827,0.8471744,1.1986259,1.2132845,1.4220481,0.79654473,1.4351556,0.6700607,0.5063721,1.2617381,0.728593,0.76654243,1.2736208,0.8844383,1.1386981,0.8880083,0.30433726,0.7244431,1.5615351,0.52547526,1.5345719,0.7257372,1.1201978,1.0513953,1.2387905,0.64347154,1.1715704,1.5457748,0.6206463,1.3492608,0.9577444,1.3294055,1.1311895,1.248395,1.2182086,1.4077122,0.9053704,1.1584609,1.4894186,0.9040596,0.80969965,1.1497226,0.956655,1.2556343,0.9057793,1.2989452,0.6442929,0.5857342,1.114741,0.44897395,1.1203141,0.7388074,1.4793959,1.2794353,1.0571716,1.0202749,0.51670974,1.195632,1.0899,1.5071468,0.90571785,1.253319,1.1839797,1.3842498,0.78455156,0.5402903,0.35068834,0.54624295,0.37663376,1.5385693,1.4260846,1.2084185,0.7456511,0.46266115,1.3417828,0.91063654,0.7790667,1.3151965,0.69320124,1.4312553,1.1197472,0.9285069,1.4228883,0.5907689,1.1096426,0.6498334,0.6297197,0.9593782,0.93901557,0.7442356,1.4252965,0.54223675,1.3622656,1.0028474,1.0964392,1.179363,1.4243871,1.437367,0.80920535,0.65745854,0.44485164,1.4225912,1.4632366,1.4237359,1.0986745,0.66360366,1.0442128,0.881556,0.9463506,1.1986194,1.4770832,0.76308477
boat,0.8387174,1.1539863,1.2587163,0.81773883,0.69354343,1.1954992,1.1968259,1.0171255,1.2008797,0.29025823,0.4111278,1.289717,0.47543144,0.6860533,1.1121559,0.7399059,0.0,0.99127924,1.2993107,0.93081945,1.2670906,1.2167492,1.1338769,1.1902399,1.2481111,1.2602919,0.31361878,1.3469256,0.8922299,0.65631807,1.2163513,0.78632605,0.7561419,0.9030911,0.8100708,1.0272661,1.1173959,0.6778117,0.9771923,1.3442746,0.48758638,1.2772945,0.9775506,1.3934352,0.969,1.1583687,0.82536876,1.2366934,1.2719793,0.8823083,1.2228223,0.884062,1.1986349,1.2814633,1.2489953,1.2548424,1.2847812,1.1953645,1.0461372,1.2965792,1.3001931,0.8633175,1.1899288,0.94396615,1.173089,0.94229573,1.3287132,0.8574238,0.5333236,1.0342057,0.72867423,0.98833805,0.95681745,1.114698,1.256546,1.0045006,0.98909336,0.9281068,1.0907601,1.0774996,1.1614759,1.1230814,1.3167427,1.1642365,1.2555368,0.9455649,0.9301846,0.65143937,0.6152658,0.7349553,1.2915394,1.2350851,1.2859895,1.2045615,0.72516805,1.2764213,0.7429062,0.98291373,1.2046294,1.053697,1.390799,1.1750351,0.94870335,1.2639099,0.8478715,1.2231392,0.6211496,1.0032458,0.91022754,0.4808637,0.06345636,1.3074639,0.73035127,1.2135662,1.1560328,1.054142,1.0390459,1.2722652,1.2693163,0.85856926,0.6450848,0.54933137,1.2960582,1.2843649,1.2177913,0.9771624,1.1524136,1.2557743,0.8037782,0.9662095,1.1266301,1.2450452,0.8837869
book,1.0049273,0.9812701,1.1927979,0.9241182,1.0257437,0.908485,0.92448235,1.0845193,0.8230753,1.0002995,0.8852052,1.020048,0.96244305,0.8971835,1.0447192,0.8541827,0.99127924,0.0,0.9651747,0.89317906,0.5938025,1.1859285,1.1216965,0.80263346,1.0815058,1.0220672,0.9810467,1.094541,1.1304629,1.0051743,0.98510534,1.1801814,1.0856684,1.0006118,0.8756259,0.91628593,0.8908831,1.0127963,1.0330931,1.0261734,0.9588631,0.9413296,1.0546774,0.9529817,1.1569802,0.7678124,0.9695761,1.0077189,1.1617441,0.96404856,1.137857,1.0691518,1.0913857,1.0986834,0.95266336,1.0948294,1.0510062,0.8683493,1.0043185,1.110658,1.1151332,0.84231687,0.81480515,1.0496831,0.96486026,0.9691565,1.061357,1.0763419,0.93768334,1.0119896,0.9892834,1.001952,0.9406092,1.0483564,1.032274,1.0485307,0.8803452,1.0823768,1.1039748,1.0969324,1.0482463,1.0905793,1.0743194,1.1588669,1.1614515,0.84244454,1.1143405,0.9791545,1.0478429,0.60875434,1.0095073,1.0421019,1.1490238,1.0842125,0.9614253,0.9604392,0.88403785,1.0370922,1.1568726,0.87053436,1.0687364,1.1448674,1.0889452,0.99304694,0.9921601,0.95473593,1.06651,0.81529737,1.0024945,1.023891,0.94538003,1.0630839,0.8974327,1.0231918,1.0390458,1.082896,1.0418749,1.0867785,1.0612277,1.0601549,1.0387222,0.90574276,0.9051914,1.1570438,1.1195737,0.99835193,0.9904508,0.7599727,0.77235943,0.9465055,1.0226514,1.1661804,1.1344779
bottle,1.4365432,0.8970544,0.4389739,1.0375985,1.3863162,0.7648409,0.4517553,1.3091891,0.5156049,1.2197397,1.4597872,0.6255985,1.3215059,1.5773115,1.1576099,1.548744,1.2993107,0.9651747,0.0,0.9620565,0.8093334,0.651493,1.1521504,0.5878315,0.95464975,0.4488058,1.1757954,0.7797164,1.2961607,1.3952403,0.7151211,1.3525822,1.245728,0.7027787,1.216732,1.0239342,1.1813354,1.5057082,1.3282564,0.42464525,1.3539276,0.29412174,1.2660438,0.60836935,0.95704806,0.80994034,1.3490728,1.0781431,0.6338963,1.1609685,0.87407684,1.2028477,0.9894528,0.8875543,0.6384609,0.98754424,0.89315885,1.0929918,0.80093986,0.56171584,1.231071,1.1516708,0.8649098,1.2406865,0.77637994,1.3973411,0.7495779,1.3566765,1.3599153,0.7755964,1.498725,1.1294266,1.208401,0.53980666,0.744287,0.9734586,0.83630145,1.5798215,1.1389153,1.1006246,0.44644332,0.99263734,0.8240432,1.1544489,0.47805488,1.1992671,1.2615986,1.5289226,1.518748,1.4018352,0.56681305,0.7846529,0.90719134,1.1031598,1.3681464,0.54472816,1.1591974,1.2481778,0.5123497,1.2260908,0.52182525,1.0902749,1.0283599,0.57029366,1.2745637,0.94331074,1.436969,1.2222184,1.064254,1.080522,1.2617784,0.5454705,1.1921268,0.42489922,1.0602362,1.1257772,1.0506583,0.6515769,0.6543654,1.24854,1.3707492,1.4481127,0.42790365,0.8369148,0.55607176,1.1165861,1.1243734,0.7841171,0.94298387,1.0822595,0.66809976,0.6149166,1.184133
bowl,1.1562058,1.0205338,1.0745398,0.55779946,0.88446075,0.99013245,0.9702371,0.8133422,0.8967524,0.7001221,0.98127073,1.1466367,1.0438253,0.98346084,1.1837577,1.040702,0.93081945,0.89317906,0.9620565,0.0,1.022059,0.9105592,1.1143503,0.7543417,1.1394033,1.065935,1.0607795,1.007649,1.243257,1.0772251,1.1005003,1.2303052,1.1518724,1.1223902,0.85133487,0.7884065,0.7986947,1.226516,0.9619352,1.0965613,0.97380126,0.6814771,1.1019989,1.0733265,1.2436633,0.9099224,1.1886573,1.1280311,1.0176325,0.9747681,1.1914866,1.1741909,1.2777815,1.135571,1.1235242,1.1994954,0.9395385,0.99473965,0.764734,1.2332282,1.0834007,1.1033753,0.6775341,1.2043445,1.0232642,1.0424752,1.1993936,1.1943415,1.0577562,0.6090938,1.1372029,0.662631,1.2187424,1.0056806,1.11682,0.5499497,0.7092152,1.049213,1.0439067,1.0554963,1.1675134,0.78423095,1.1891458,1.2534052,1.01011,1.0826141,1.1728157,1.1336935,1.0404363,0.9245962,1.0816448,0.92967725,0.88604903,1.2302258,1.1053597,1.1141338,0.095691085,1.0804535,1.0505493,1.0241735,1.1739593,1.0709823,1.2185006,1.0711541,1.0496491,1.0756222,1.0909313,1.0342296,0.34025198,0.61158824,0.87560433,1.1217611,1.1457843,1.119852,1.154767,0.29911828,0.4237703,1.181078,1.081604,1.0834031,1.0865521,0.80241615,0.8466691,1.2791519,1.169523,0.6391212,1.0165806,0.8272239,0.764029,1.1226424,1.0668823,1.2262446,1.2220721
box,1.1256703,0.8984064,0.9354619,1.0637416,1.2424841,0.96728253,0.9428133,1.2002159,0.6816865,1.2922227,1.173501,0.839321,1.0324826,1.1999713,0.9420022,1.0557956,1.2670906,0.5938025,0.8093334,1.022059,0.0,0.9864785,0.90337324,0.8154975,0.87848973,0.83936256,1.0966816,1.007578,1.1347003,0.9902957,0.7809887,1.1203089,1.1747643,1.0477496,1.0313239,0.93875897,1.0558203,1.0258284,1.0396583,0.93010825,1.0833387,0.775354,1.0704186,0.7484572,0.9013408,0.670989,1.0788885,0.94363236,1.0250705,1.1296475,0.95658934,1.1664262,0.95529807,1.0161602,0.88329995,0.87941843,1.028582,0.9855395,1.0456872,0.8958435,1.0259885,1.0301449,0.9758412,1.0877519,0.9301592,1.2488167,0.8474271,1.1210419,1.1961985,1.0017036,1.1275347,1.251294,0.7240921,0.9452719,0.8051098,1.1661265,0.76923037,1.2086592,1.1082686,1.0494487,0.952457,1.1107457,0.9473151,1.089619,0.9314389,0.60088044,1.1359935,1.1530198,1.2627878,0.9949966,0.96897364,1.1515993,1.0051877,0.8028541,1.0856888,0.82303065,1.1537831,1.072129,0.91658777,0.8807454,0.69597524,1.0850167,0.82720906,0.9216732,1.1976197,0.91104114,1.2481996,0.9393275,1.2509145,1.1700529,1.2312434,0.82563907,1.0461531,0.95481086,0.9874839,0.9872945,1.2392261,0.88337,0.89215624,1.0200441,1.2228382,1.076451,0.89169127,0.9783498,0.9672704,1.3171393,1.02949,0.8486625,0.8067409,1.003094,0.7370057,1.0016553,1.0270332
bread,1.1668892,0.9627012,0.21300542,1.0499034,1.1885251,0.857864,0.7865473,1.0057541,0.68690926,1.2220008,1.4232446,0.9645718,1.3023353,1.3694206,1.1185492,1.334827,1.2167492,1.1859285,0.651493,0.9105592,0.9864785,0.0,1.1153293,0.91625655,0.97907394,0.8667369,1.2320936,0.8700882,1.0547708,1.3144553,0.83791286,1.2802279,1.2271202,1.0538985,1.2485294,0.643442,1.1372058,1.3977251,0.7861476,0.77567726,1.3057387,0.69150245,1.0131807,0.6815041,1.0629438,0.8783746,1.2479142,1.0856562,0.5644645,1.0744045,0.9807135,1.2373282,0.8981744,0.8149524,0.7984561,1.0758071,0.88257504,1.0880835,1.0385183,0.87423474,0.89882886,1.0421739,0.9835506,1.1893752,0.8903039,1.1019528,0.9081743,1.1684079,1.3808956,0.87738407,1.3495002,1.0021906,1.2330525,0.7762178,1.0186244,0.84630406,0.9452411,1.1952248,1.0378315,0.8055467,0.8419336,0.8227732,0.8470508,1.0581542,0.17514443,1.261219,0.9905305,1.3635237,1.3839681,1.3479115,0.8253483,0.8013369,0.8166079,0.94019127,1.058357,0.8247307,0.9773769,1.0540336,0.19335252,1.0963101,0.802245,1.0305152,1.1533678,0.71250075,1.132441,0.94125015,1.3360503,1.2345876,0.9438207,1.0380496,1.2512648,0.69664955,1.2592201,0.86068344,0.9453882,0.8107344,0.9055654,0.84376764,0.9518994,1.2086931,1.3146832,1.3560594,0.74096584,0.8266691,0.7377281,1.001565,1.0168763,0.98180616,0.6737903,1.0979931,1.0455887,0.7608137,1.2227135
broom,0.98876184,1.1541829,1.0884951,1.0983932,1.0104017,1.2369716,1.2166449,1.0226847,1.024713,0.9798754,0.9058443,1.0095953,0.86735773,0.94417775,0.8097867,0.8471744,1.1338769,1.1216965,1.1521504,1.1143503,0.90337324,1.1153293,0.0,1.1686301,1.1079724,0.9832541,1.0273631,1.1061963,0.8794124,0.6546551,1.0028378,0.62869745,0.96108735,1.0790886,0.97087127,1.0861925,0.9280262,0.7474568,0.99938476,1.1867957,0.78648597,1.1753768,0.98760927,0.9441705,0.51682025,0.91632956,0.79484934,1.0051423,1.0980252,0.97458243,1.2511076,1.0412898,1.0529631,1.1659296,1.013529,1.0648643,1.0874455,1.1723998,1.0699729,1.1277438,0.9297994,1.1669629,1.1941328,0.96203697,1.3085632,0.9185126,1.1285708,0.89699334,1.1093323,1.1175933,0.934347,0.9847984,0.6921099,0.91466767,0.89085203,0.88748896,0.9591527,0.849291,1.093933,0.8997801,1.1945193,0.9579903,1.0385177,0.98047364,1.0927862,0.8263804,0.9746009,0.9479929,0.9123434,1.00825,1.1211854,1.0207042,1.0856928,0.7179137,1.0802906,1.0098,1.0700176,0.96709454,1.0444081,0.96022046,0.98849404,1.213079,0.5826304,1.1576191,1.0417671,1.1436236,0.9332093,1.0676292,1.0991772,0.952911,1.1279473,1.1415398,1.0207274,1.0855316,1.0313456,0.908568,1.0117214,1.0438765,1.1376473,0.82941926,0.99482274,0.75567544,1.2944608,1.1727029,1.1927941,1.0188164,0.82900834,1.2497138,1.0114634,0.9150791,0.8079357,1.211451,0.51089466
bucket,1.3329933,0.6495617,0.729504,1.0160974,1.1871641,0.5030724,0.44044274,1.0715547,0.62860405,1.0634924,1.2622368,0.77134806,1.2675984,1.3057154,1.0586985,1.1986259,1.1902399,0.80263346,0.5878315,0.7543417,0.8154975,0.91625655,1.1686301,0.0,1.0399752,0.65052056,1.1385474,0.733417,1.3047948,1.269939,0.91048294,1.3351774,1.25195,0.9374172,1.049746,0.981161,1.0336576,1.3540943,1.2160726,0.6650353,1.271867,0.42138922,1.214568,0.8305193,1.0935516,0.88710564,1.279197,1.075362,0.85573816,1.2068014,0.9703947,1.286258,1.0672284,0.74612856,0.82271993,1.0303308,1.0368959,0.86304975,0.7091167,0.8614025,1.0573361,1.033197,0.56159306,1.2847888,0.88634646,1.3129725,0.65416354,1.3061874,1.2914628,0.9322538,1.2866076,1.1193174,1.2171206,0.764791,0.8314898,0.9654994,0.9341037,1.2806034,1.0862007,1.1528268,0.7701274,0.87076205,0.98693615,1.2303371,0.72883856,1.0833769,1.2442656,1.3684198,1.2958921,1.0361344,0.75457054,0.93585783,0.8070366,1.0033777,1.2644492,0.8276602,0.9949855,1.193517,0.76753163,0.98966724,0.76729214,1.0336528,1.2023612,0.7661381,1.1346953,0.99008363,1.3972253,0.98986745,0.94736916,0.9753291,1.1448374,0.7260461,1.1070085,0.7867792,1.0005257,1.064872,1.0753641,0.82593423,0.70564795,1.149095,1.305931,1.2622167,0.17417723,0.9462246,0.83478045,1.1553967,0.93126976,0.27304935,0.89663893,1.1535023,0.8151081,0.88310945,1.2662449
butterfly,1.0865622,1.0292385,1.0232848,1.135031,1.3317175,1.0283952,0.9716975,0.8868666,0.96189755,1.3232787,1.3525339,0.6216106,1.2725793,1.2892096,0.93774575,1.2132845,1.2481111,1.0815058,0.95464975,1.1394033,0.87848973,0.97907394,1.1079724,1.0399752,0.0,0.79409075,1.1485548,0.77932906,1.1260471,1.2499871,0.55155843,1.2287756,1.2851927,0.88340867,1.128336,1.039636,1.0000659,1.2332315,0.8055893,0.5090483,1.2605984,1.0326543,1.1602503,1.0862111,1.0443094,0.88595366,1.2611228,0.9687401,0.8780036,1.2906213,0.79183435,1.1018189,0.8940065,0.6573255,0.99195576,0.6954387,0.36345255,0.4617182,1.1100212,0.76611775,1.0284313,0.9263544,0.97251123,1.0990909,0.8318646,1.2265977,0.8179228,1.3092397,1.2686403,1.1100612,1.2269576,0.948872,1.0812114,0.894286,0.7864677,1.0250448,1.1688627,1.2516773,1.0590743,1.0276817,0.89710766,1.0059673,0.3742447,1.0221198,0.9922413,0.9765462,1.1171485,1.3036174,1.2128767,1.1892719,0.6233102,0.85427487,0.63351965,0.85989,1.0526155,0.9235494,1.1401341,1.1740738,1.0773284,1.0985119,0.6661582,0.7510638,1.1620475,0.8131082,1.0854756,0.23103529,1.3320049,1.0891052,1.0820882,1.2294953,1.2479696,0.6770416,1.079963,0.7675719,1.0244005,0.9361471,0.96419555,0.6331994,0.7842239,0.97468984,1.2939614,1.3254386,0.9107728,0.84122,0.82748365,1.1017946,0.9583905,0.89802665,0.9832387,1.1149176,0.80827546,0.7211615,1.2286916
can,1.5190208,0.8807475,0.5923447,1.382265,1.3346415,0.9035617,0.49977577,1.4731641,0.69173527,1.1333851,1.3947389,0.23304701,1.271049,1.5521717,1.0065752,1.4220481,1.2602919,1.0220672,0.4488058,1.065935,0.83936256,0.8667369,0.9832541,0.65052056,0.79409075,0.0,1.1936613,0.7835459,1.2235047,1.2165899,0.6855899,1.3011267,1.1735188,0.61325127,1.3594654,1.1384261,1.2543678,1.3268085,1.4010574,0.29925066,1.2995878,0.5438129,1.3191392,0.94140136,0.7508565,0.7246468,1.3681588,0.93064934,0.5499324,1.1922398,0.7874712,1.2233194,0.83879983,0.8925566,0.79805565,0.66555715,0.81845176,1.1864583,1.1390955,0.32003427,1.1251222,1.2016345,1.1626929,1.2167269,0.9330475,1.4492431,0.5556593,1.3977311,1.379207,1.1876284,1.3902589,1.1136801,1.2661097,0.50792676,0.2991606,1.2346197,1.1355456,1.5826646,1.1509278,0.93207085,0.41015136,0.8706764,0.544457,1.0658629,0.6199976,1.1025711,1.3183435,1.4935098,1.338227,1.4744177,0.3557744,0.67409617,0.9891216,0.6513247,1.3971632,0.722079,1.2154977,1.3052491,0.67002463,1.1433609,0.36126208,1.1328319,1.0648886,0.71168196,1.2886025,0.9417739,1.4274707,1.3770318,1.3321881,0.9930367,1.2206113,0.36729062,1.2015254,0.23178554,0.953126,1.152116,1.0970242,0.6408303,0.60680544,1.2729974,1.3803611,1.4874636,0.5298882,0.6684824,0.4943592,1.2494686,0.8332597,0.9136274,0.94179994,1.1215079,0.44377363,0.54770035,1.041185
car,0.9192165,1.112312,1.1580272,0.98102283,0.89168686,1.0841236,1.2077081,1.0517421,1.143261,0.48656207,0.567757,1.1116385,0.48725444,0.8979479,1.0206039,0.79654473,0.31361878,0.9810467,1.1757954,1.0607795,1.0966816,1.2320936,1.0273631,1.1385474,1.1485548,1.1936613,0.0,1.1916504,0.814595,0.66081154,1.2012923,0.86770487,0.86898226,0.9208587,0.8864448,1.156942,1.0765156,0.7474557,1.0799911,1.2426302,0.61388636,1.2378176,0.96927816,1.2587328,0.9708402,1.1536045,0.89850646,1.2239,1.2576593,0.9085068,1.1197602,0.89729315,1.2345909,1.0860006,1.1437713,1.2245804,1.2256043,1.136749,0.9900345,1.2216774,1.2176621,0.88981664,1.1539608,0.98201984,1.11844,1.1032627,1.2249635,0.8092333,0.7129675,1.1122987,0.82092655,1.0447909,0.7910937,1.0709286,1.1198156,1.037113,0.90874135,1.0323821,1.1349784,1.2259467,1.120849,1.124983,1.2510967,1.2187058,1.1644236,0.8732133,0.98013616,0.83434534,0.7050334,0.8474983,1.2054081,1.2426739,1.182266,1.0759854,0.7928629,1.1837354,0.9152311,0.9555169,1.1121608,1.0118831,1.1990731,1.1099018,0.8361417,1.2192476,0.9286065,1.2027612,0.8010901,0.9564903,1.0837051,0.57701117,0.23658586,1.2075806,0.6323137,1.1427531,1.2109832,1.1263106,1.1030033,1.0378517,1.1311854,0.8037291,0.8164295,0.6613821,1.212554,1.2916884,1.1561922,1.0838146,1.1063834,1.1410619,0.7947118,0.9359019,1.0438995,1.1932217,0.86023897
