,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.905663,1.2226772,0.55421484,1.0674196,1.4789829,0.87021065,1.0499618,0.43357444,0.2956115,1.3119749,0.0,0.5907422,1.019711,0.38591945,1.337326,1.5302019,1.3284328,0.7206157,1.2388077,1.3495458,1.3348355,1.3839295,1.1811693,0.99449456,0.78787124,1.053708,1.5634907,0.80984855,0.84905875,0.86192596,0.22067761,0.91035986,1.5354226,0.35363305,1.5094819,0.6721058,0.8905641,0.8313287,1.0341042,1.2253264,0.6232066,0.9373304,1.3974488,1.5390456,1.5074966,1.1157576,0.8261015,1.4371743,0.70737296,1.4137816,0.813064,1.0697075,0.8551124,1.4109071,0.8325175,0.76072073,0.8590977,1.4283422,1.5107641,0.88975304,0.93787926,0.8240679,1.4310565,1.5030289,1.19936,1.4266853,1.0466603,1.4485509,0.5548794,1.1272157,0.6102869,0.8716967,0.8094692,1.575102,1.5049107,0.6248841,1.0299062,1.3388624,1.3745433,1.0194709,0.84608597,1.1858826,0.8622814,0.59136933,1.2569233,0.7307576,0.9474801,0.5826545,0.80512124,0.7624786,0.99052936,0.7797713,1.0873135,1.4308279,0.8621462,1.4334977,0.92152447,1.5185794,0.41712582,0.65638644,0.49968147,1.2928013,1.3478978,0.9726945,0.8116174,1.373046,1.4780285,1.1404912,0.9048903,1.3660703,1.4232608,0.7637939
bib,0.9468982,1.0929948,0.67310345,0.9112436,1.2705467,1.0113353,1.041228,0.7297982,0.49100763,1.3189689,0.5907422,0.0,1.1050023,0.39166397,1.3400772,1.4231788,1.4241028,0.8357369,1.0092388,1.4295435,1.2349212,1.2992104,1.2222809,0.9368191,0.94122314,1.2649021,1.3821523,1.0327818,0.7556504,0.92695177,0.54120624,0.8649509,1.5118749,0.48379517,1.4846663,0.781843,0.8348377,1.0873655,1.1983446,1.0560119,0.83199316,0.82418644,1.387414,1.5239438,1.4377441,1.0642492,0.8058309,1.3574101,0.6061014,1.2726678,0.80485934,0.88321257,0.6345785,1.2390113,0.8274429,0.5697899,0.8372339,1.4844505,1.4383624,0.88438404,0.7766689,0.98880047,1.4242809,1.4110584,1.172331,1.2997055,0.88054854,1.415077,0.76088816,1.1600407,0.58182496,0.89813066,0.70547074,1.5587895,1.4425638,0.7862202,0.89942247,1.2626288,1.4688623,0.92854637,0.72102284,1.2292736,0.91559124,0.90820336,1.298441,0.6480081,0.87770426,0.593421,0.8115541,0.75606406,0.8368677,0.97270834,1.1427004,1.3572685,0.8441501,1.3992956,0.8050486,1.3509383,0.51644063,0.60572016,0.63796246,1.2119173,1.1929581,1.0563749,0.9480964,1.3520691,1.3237877,1.2016588,0.8968361,1.4641671,1.3688545,1.0609347
bird,0.5682844,1.0247642,1.186065,0.8782714,1.0899608,0.9289271,0.9049558,0.9740964,0.98577136,1.145279,1.019711,1.1050023,0.0,0.9904156,1.0498517,1.0712447,1.0656352,1.0346158,0.9562685,1.057034,1.0163169,1.2123206,0.8440057,1.0374596,0.9724848,1.0795271,0.8448806,1.0957758,1.1098158,0.91818446,1.0851785,0.9919163,1.140366,0.92978483,1.1783142,0.8813689,1.0178846,0.9893711,1.0074493,1.0426636,1.0487417,1.1560783,0.687175,1.0594313,1.1106313,0.52848256,0.96551096,1.14695,1.1161559,1.1077899,1.0242125,1.0785558,1.2137853,1.0050547,0.66878366,1.038328,1.126413,1.0051075,0.78108793,0.97650874,0.905601,0.89995205,0.97664917,1.198261,0.94206357,1.1805856,1.1432899,1.0295627,0.9769341,1.0423919,1.1673543,1.1428828,1.1171802,1.0886724,1.1536856,0.9923514,1.0355904,0.9544275,1.081314,1.0048972,1.0217991,0.8380337,1.0496216,1.0487392,0.76408625,0.91852283,0.78399915,1.0736108,0.98502564,1.0316541,0.8636836,0.82832813,1.2880621,1.0774921,0.73102057,0.98247087,1.1538777,0.92828673,0.9604776,1.2147639,1.0391116,1.1224792,1.1660783,0.9795048,0.8418007,0.9712797,0.93986815,1.1196532,0.9888224,1.0855623,1.1956246,1.0038537
blanket,0.8477898,1.2348386,0.6849982,0.94922686,1.4019411,1.0842191,0.84366226,0.5227942,0.1567424,1.3782952,0.38591945,0.39166397,0.9904156,0.0,1.3907148,1.5068364,1.3907309,0.75951564,1.1330671,1.374434,1.2778229,1.4623054,1.0922939,1.1063604,0.7202894,1.1670665,1.448288,0.8789962,0.6692186,0.8461716,0.34466833,0.8808507,1.5917163,0.25598645,1.5448277,0.68311435,0.8364915,0.8945178,1.1753476,1.1946913,0.71949077,1.1143763,1.415883,1.5313321,1.5540038,1.0590651,0.6889881,1.5040381,0.75922906,1.3219728,0.8927369,0.9929623,0.85999036,1.4259233,0.8005942,0.4559843,0.8028327,1.4693024,1.4965711,0.8898405,0.8336369,0.78866917,1.4071901,1.4861501,1.1594708,1.4733431,1.1157312,1.4323839,0.68026614,1.1304543,0.45981693,0.9396339,0.8780331,1.5870564,1.5441557,0.8595533,0.65298915,1.3703678,1.4552064,0.9397446,0.77694005,1.2209257,1.0142256,0.75730586,1.3364507,0.54113,0.8424781,0.6050378,0.9278004,0.76579696,0.97488534,0.83824116,1.2091593,1.5213563,0.8217835,1.3844507,1.0595562,1.5348843,0.5178689,0.59667104,0.40393925,1.3212014,1.3633565,1.0386652,0.808176,1.3010807,1.3564732,1.1440287,0.8366034,1.5283709,1.464536,0.8265989
book,1.114572,1.0391308,1.3449652,1.1117163,0.7857385,1.0641167,0.8450475,1.0782545,1.3426528,0.67761946,1.337326,1.3400772,1.0498517,1.3907148,0.0,0.5754097,0.36129105,0.9727482,1.0570261,0.71971077,0.7587887,0.8206799,0.66639805,1.0130283,1.3067915,0.66448593,0.6606577,1.2751987,1.2707855,1.0060658,1.4140462,1.2092294,0.48373216,1.3028902,0.56969726,1.3640373,1.3642286,1.1202625,0.75716984,0.93513113,1.261797,1.1283334,0.7499292,0.680935,0.61724097,1.1045307,1.3701708,0.70568174,1.26874,0.7038125,1.2237208,1.0504268,1.2780548,0.85843396,1.3215551,1.3436621,0.8858064,0.31247258,0.6800838,1.154476,1.2787082,1.1727856,0.7912275,0.74990344,0.3524338,0.7993226,1.1052969,0.6028261,1.2490541,1.0300043,1.1580572,1.0265305,0.6107188,0.43999696,0.6921587,1.1537068,0.8295825,0.71222997,0.25463843,1.1388484,1.0696275,0.7076005,1.1818522,1.2786688,0.9289721,1.125353,1.0271298,1.359356,1.1459403,1.0733129,1.0995517,1.1635164,0.76229393,0.64019555,1.140253,0.7711925,0.9909872,0.63571095,1.4527125,1.4484025,1.2940769,0.8481629,0.84460855,0.880844,1.1528865,0.33645356,0.70290875,0.4083792,1.181359,0.6484184,0.7010933,1.2221341
bottle,1.2744,0.99935776,1.3773057,1.1217626,0.64041513,1.227403,0.87166,1.4101279,1.5230268,0.73441696,1.5302019,1.4231788,1.0712447,1.5068364,0.5754097,0.0,0.5118327,1.2912009,0.950018,0.6278371,0.39776695,0.5959432,0.93702435,1.1737881,1.2763685,0.65084594,0.46817088,1.1069955,1.2174653,1.2242886,1.4853845,1.2518923,0.43427473,1.4450808,0.19437522,1.3773682,1.2124326,0.9751253,0.9931792,0.8641544,1.2861283,1.229891,0.77149034,0.43178248,0.38182473,1.1975775,1.1901685,0.612244,1.2806296,0.87353194,1.1728675,1.0430524,1.4031243,0.7317219,1.2926311,1.2781683,1.106227,0.3607931,0.37408125,1.3248091,1.3043101,1.2634346,0.5948807,0.52400786,0.71257037,0.6241241,1.1002134,0.5639883,1.2570653,1.0674145,1.3609624,1.1361018,1.0978036,0.3331517,0.41765833,1.4577065,0.9953801,0.34000933,0.41478086,1.1246018,1.1229049,0.74016726,1.0725622,1.1430428,0.6967274,1.2128961,1.1809369,1.3292108,1.2430521,1.1621153,1.0811697,1.1486619,1.0080166,0.5933244,1.2007346,0.74059945,1.055804,0.39098942,1.4622848,1.3731793,1.3820204,0.80305016,0.75938755,1.0956099,1.334862,0.48229086,0.6494055,0.7861241,1.1308444,0.39207327,0.5779494,1.1529502
bowl,1.296234,1.1175221,1.2795639,1.1783714,0.68719935,1.1996598,0.80216825,1.050692,1.3094103,0.7529758,1.3284328,1.4241028,1.0656352,1.3907309,0.36129105,0.5118327,0.0,1.1294975,1.0115787,0.6505024,0.66138643,0.820982,0.75398993,1.2056845,1.0287691,0.3304304,0.72098726,0.9482626,1.1186901,1.1274341,1.2748604,1.3142358,0.61959076,1.3130857,0.5224644,1.2195026,1.2898723,0.7562158,0.73192334,0.9487383,1.1625824,1.2488769,0.9761712,0.5847963,0.53058237,1.319985,1.1410935,0.6503023,1.3601596,1.0362402,1.22998,0.9915912,1.3349373,0.89308447,1.2826014,1.2732543,1.1439487,0.29064673,0.5180308,1.210185,1.3242204,1.1533513,0.7120547,0.67803246,0.37026763,0.8067308,1.1685874,0.6999177,1.2298297,1.2014045,1.3245242,1.0842097,0.7715904,0.44534206,0.6193275,1.3246758,0.78395224,0.7406349,0.3708774,1.1662186,0.9647511,0.70514894,1.158301,0.94388914,0.8930674,1.198031,1.117091,1.290322,1.1706617,1.2770932,0.9999115,1.080073,0.5984507,0.70895827,1.2644662,0.6853661,1.101157,0.47519422,1.4505894,1.271904,1.1805923,0.9726698,0.8465383,1.2077757,1.2343599,0.34069788,0.919526,0.61449873,1.1516318,0.4979719,0.79763675,0.94384235
box,0.7924169,1.0142082,1.0143117,0.9425472,1.3265759,0.8777988,0.5457605,0.6981306,0.7074108,1.2555641,0.7206157,0.8357369,1.0346158,0.75951564,0.9727482,1.2912009,1.1294975,0.0,1.0798243,1.3890862,0.9860845,1.1269675,1.0347092,0.9949035,1.1090231,1.1174273,1.2162702,0.9706861,0.8700823,0.7254052,0.826832,0.87452495,1.3905284,0.6439827,1.3286116,0.8024218,0.7806876,0.94673663,0.80727375,1.1383839,0.8603643,1.0282391,1.3096464,1.4643514,1.4140917,0.85667795,1.0036054,1.4479668,0.9811955,0.7918888,0.99735034,0.9543181,0.88642615,1.2813948,1.008267,0.93471205,0.6981429,1.3300943,1.31888,0.8299746,0.8903978,0.784915,1.329025,1.413475,1.1665629,1.2268918,1.113908,1.2388296,0.5450618,0.9421975,0.6943911,0.80220187,0.68578887,1.4235058,1.4097786,0.7030644,0.8697155,1.2119259,1.3346694,0.9358813,0.6161802,0.97225183,1.1232306,0.77510536,1.2498906,0.9740657,0.79369485,0.9969224,0.9883851,0.805049,0.9681469,1.0304202,1.0245093,1.3918211,0.9443134,1.22427,1.0404259,1.3444201,0.8243447,0.8753128,0.7594451,1.1977637,1.3057096,0.6459089,0.7554437,1.2478434,0.8482192,0.7700126,0.96758384,1.3530277,1.4172026,1.0492253
bread,1.0837686,0.8143875,1.0218698,1.0352066,0.89332294,0.92541325,1.0107924,1.2411693,1.2306701,1.1360455,1.2388077,1.0092388,0.9562685,1.1330671,1.0570261,0.950018,1.0115787,1.0798243,0.0,1.0660815,0.9023469,1.0613186,1.1127769,0.89201987,1.1150553,1.1224564,0.88010514,1.0039539,1.0192351,1.1251825,1.2136303,0.91031706,1.0111183,1.1524106,0.99169886,0.84106857,0.87186456,1.2014947,1.0793186,0.78646576,1.0635018,0.9289546,0.96699584,0.9567947,1.026106,0.9323247,1.0289444,0.98951066,1.040275,0.9800177,0.98498887,0.2702719,0.88442844,0.9566131,0.8916435,1.1219783,1.1629806,1.0089638,0.92810774,0.8375319,0.90110755,1.0461321,0.7183096,0.9154403,1.0230643,1.0706706,0.92338103,0.9740948,1.0718827,1.0136671,1.1843076,1.1882534,1.0887642,0.98974353,0.99810827,1.0199088,0.9752975,1.0856369,1.067564,1.0261822,0.9580102,0.97556275,1.1566595,1.1121123,0.94982666,1.1195805,0.95061255,1.0833548,1.1663713,1.1172918,0.74480027,1.2248167,1.0778593,1.0081323,1.1458875,0.9384821,1.0438195,0.8471042,1.1181407,1.0081165,1.0619721,1.0505401,0.8989841,1.146493,1.1277976,0.9553883,0.85546905,1.0323344,1.0343261,1.1132807,1.0654025,1.1858625
broom,1.2550004,1.0340765,1.2586048,1.2265608,0.5652434,1.1696209,1.2002022,1.0547645,1.3208627,0.53225255,1.3495458,1.4295435,1.057034,1.374434,0.71971077,0.6278371,0.6505024,1.3890862,1.0660815,0.0,0.93057716,0.6923312,0.9518387,1.063909,0.9336189,0.7448501,0.6093185,1.0698614,1.2346662,1.1447247,1.2537978,1.1684054,0.28662854,1.3843787,0.54913545,1.3765998,1.3720775,0.91396004,0.94480455,0.943819,1.0498931,1.2454553,0.62892693,0.4083779,0.34995103,1.1847342,1.1912552,0.55619705,1.4134829,0.9088295,1.0965253,1.1692518,1.3602631,0.8803739,1.2092191,1.1906406,1.2081898,0.49793386,0.56678325,1.2596071,1.3935977,1.2167559,0.5603012,0.38080156,0.78351367,0.71151644,1.1362532,0.6735729,1.3946052,1.0164224,1.3733108,1.219623,1.1353505,0.3775677,0.3420999,1.3286265,1.1447163,0.76575446,0.39170742,1.2444601,1.3727962,1.1014504,1.0628116,1.26471,0.86616206,1.0802116,1.107708,1.2182981,1.1737388,1.2407373,1.1223421,0.9547914,0.747815,0.45390975,1.0833247,0.62265563,1.1049258,0.65082383,1.3697051,1.3558242,1.3078747,0.8055749,0.7669013,1.2524209,1.2293421,0.7185262,0.8784717,0.8206563,1.0976442,0.39435178,0.34369266,1.0286103
bucket,1.0495832,0.8717247,1.2259041,0.9566862,0.8049202,1.2014251,0.6500565,1.2605412,1.2637312,0.9715537,1.3348355,1.2349212,1.0163169,1.2778229,0.7587887,0.39776695,0.66138643,0.9860845,0.9023469,0.93057716,0.0,0.728006,1.0138015,1.1354198,1.2685754,0.75139993,0.68442756,1.0001787,1.13837,1.0376794,1.355772,1.1576052,0.7659354,1.2483673,0.5179831,1.2754568,1.0468104,0.939127,0.9835639,0.8595383,1.2463422,1.2875512,1.0112512,0.8183883,0.7879728,1.0313379,1.0511049,0.94564104,1.1995707,0.8383509,1.1333042,0.9141857,1.2991333,0.8471819,1.1821327,1.2374712,1.0700078,0.6586096,0.6355482,1.0387279,1.1408906,1.1537766,0.8693119,0.80323833,0.86433476,0.8813194,1.1766398,0.87184113,1.0662051,1.1219251,1.227046,1.1644634,0.96569175,0.7308256,0.8113252,1.2470126,0.8775746,0.5676866,0.81070256,0.9415879,0.9379562,0.78320116,1.2416896,0.99780494,0.9504737,1.1170801,0.942382,1.2531483,1.2431424,1.061919,0.9592778,1.0953852,1.06923,0.8921416,1.0890465,0.76378506,1.1854903,0.6460607,1.2813656,1.2517424,1.0908692,0.9738669,0.9685815,1.0102471,1.2394916,0.7165344,0.6046218,0.8283974,1.0554246,0.6862082,0.9122213,1.0793825
can,1.1059958,0.7088934,1.2546253,1.2590469,0.7230869,0.8317424,1.0571461,1.3203591,1.4538841,0.50104487,1.3839295,1.2992104,1.2123206,1.4623054,0.8206799,0.5959432,0.820982,1.1269675,1.0613186,0.6923312,0.728006,0.0,1.0447559,1.1231431,1.244328,0.9828746,0.86158055,1.1849234,1.2849917,1.2163994,1.3707743,1.1399515,0.4402212,1.3855169,0.51495695,1.2113779,0.9924632,1.1931372,0.9851655,1.004484,1.2320459,0.8681918,0.7934741,0.51039135,0.49575806,0.9812984,1.2865169,0.5438568,1.0529057,0.6814052,1.1870587,1.1255194,1.1891569,0.7283728,1.3587465,1.2832929,0.910905,0.839784,0.85534275,1.120632,1.1814642,1.156306,0.7033597,0.62649786,0.93506145,0.49702424,0.8167443,0.50995463,1.249929,0.85662353,1.1384609,0.8949759,1.204753,0.5923813,0.47708,1.1304812,0.9831006,0.694608,0.750396,1.1871021,1.185414,0.9362555,0.95777637,1.2984259,0.8811505,1.3470575,1.0669534,1.266494,0.99086684,1.0797691,1.1958563,1.2865684,0.78654945,0.51659274,1.2115631,0.5603888,0.7782963,0.70000756,1.2763042,1.2394135,1.3732417,0.6235021,0.7520579,0.9424903,1.1822412,0.7594706,0.5983747,1.0676337,1.2720908,0.44040036,0.4590447,1.2453542
car,0.87596166,1.1550006,1.2886454,0.9498937,0.9521838,0.9875742,0.88311166,0.95770204,1.0970368,0.84033585,1.1811693,1.2222809,0.8440057,1.0922939,0.66639805,0.93702435,0.75398993,1.0347092,1.1127769,0.9518387,1.0138015,1.0447559,0.0,0.96005034,0.71063375,0.9756107,0.9467935,1.2805678,1.0609024,0.7533903,1.1697783,1.1174378,0.8846017,1.0588076,0.92115164,1.0363954,1.0408798,1.058204,1.0835532,1.1151717,1.0696101,1.0711434,0.84896183,0.8930645,0.9226631,0.94601643,1.0584561,0.86936283,1.0477527,0.8554552,1.1920853,1.1971195,1.1615868,0.8818484,1.1435448,0.9308955,0.9435936,0.76020527,0.9591843,1.1002367,0.9854546,0.8215613,0.92772716,1.0065684,0.70034075,1.0071241,1.1149184,0.84446895,1.1352961,1.0690231,1.0429863,0.86508524,0.92578816,0.8258125,1.000294,1.1113589,0.90240633,0.97736204,0.73890525,1.0477258,1.1017845,0.9192661,0.8417536,1.1246412,0.8850507,0.95952874,1.0736282,1.1808635,0.97224045,1.0146651,1.1099778,0.91718006,0.93622494,0.94857836,1.0060998,0.91506517,1.055282,0.9345727,1.0990053,1.2355632,1.2221909,0.9612275,0.9516619,0.96158254,0.73970234,0.7723373,0.9809175,0.7919121,1.083437,0.9847915,0.9306544,0.98618287
carrot,0.97365814,0.8673457,0.99882525,0.9580741,0.95394367,0.8154854,1.1184405,1.1253688,1.1340598,1.1463096,0.99449456,0.9368191,1.0374596,1.1063604,1.0130283,1.1737881,1.2056845,0.9949035,0.89201987,1.063909,1.1354198,1.1231431,0.96005034,0.0,1.1092262,1.2423629,0.96280897,1.1455195,1.0703002,0.7662816,1.0989431,0.8935952,0.95012885,1.1133732,1.1433172,0.986758,0.91793495,1.2720408,0.9166615,0.6857755,1.12368,0.7528562,0.73631537,1.1141537,1.1087843,0.8954748,1.0412053,1.0851941,0.81068254,0.7771828,1.0420594,0.88312733,0.69281286,0.8953562,0.96968216,1.0795325,1.0902808,1.1852566,1.1051044,0.7969581,0.89777017,1.0045366,0.9957792,0.9969117,0.97876275,1.0279596,0.8699371,0.99171114,1.1433723,0.8696717,1.0936158,1.0404142,0.90887415,1.0931224,1.0842212,0.7319066,1.022635,1.1887089,1.1574417,1.0431582,0.97155833,1.0769235,0.811751,1.2557132,0.81093264,1.0012335,1.1367673,1.0827265,0.77314496,1.0756807,0.968446,1.2164648,1.0029556,0.8547701,1.0358963,1.1908015,0.7040785,1.0715055,0.96045846,1.0767949,1.2070832,0.85636085,0.64361715,0.7924711,0.9496884,1.0446012,0.9443954,1.1120634,1.1633732,1.2448926,1.1384534,1.250139
cat,1.0073972,1.3106086,0.87706494,1.0760145,1.0549239,1.0702499,1.1021262,0.6998633,0.70958793,1.014725,0.78787124,0.94122314,0.9724848,0.7202894,1.3067915,1.2763685,1.0287691,1.1090231,1.1150553,0.9336189,1.2685754,1.244328,0.71063375,1.1092262,0.0,0.9175592,1.2667533,0.8889177,0.8496987,0.9196648,0.65354466,1.0142099,1.2108998,0.88710856,1.2222414,0.7320955,1.0117685,0.61279577,1.1409273,1.2624347,0.7638867,1.0051079,1.167747,1.0645885,1.0573153,1.1766486,0.8023023,1.0006747,0.909044,1.2873509,1.0325754,1.1117884,0.9158186,1.1895769,0.9681029,0.61631,1.0625302,1.1219814,1.0804716,1.0924915,0.92702323,0.8880664,0.99949,1.1294552,1.0365452,1.1307187,1.0916903,1.2213403,1.0231595,1.1918565,0.9034109,0.82810473,0.98659366,1.15983,1.0789136,1.1056309,0.948371,1.2322145,1.1502818,1.0693169,1.0803579,1.2383808,0.8315021,0.77866304,1.1095502,0.84314287,1.0909799,0.83690023,0.82423705,1.1365496,0.9611512,0.6456292,0.77924913,1.1498895,0.98115426,1.0048947,1.1176631,1.1165192,0.93168324,0.79402804,0.8447958,1.1249005,1.0770257,1.2560416,0.63716525,1.1542797,1.4532909,1.1397377,0.9618245,1.0526457,1.1087468,0.5683998
chair,1.2608778,1.2692614,1.054858,1.2748265,0.8433466,1.2645186,0.81932473,0.9284246,0.9931671,0.85107505,1.053708,1.2649021,1.0795271,1.1670665,0.66448593,0.65084594,0.3304304,1.1174273,1.1224564,0.7448501,0.75139993,0.9828746,0.9756107,1.2423629,0.9175592,0.0,0.8346802,0.71206695,1.0378041,0.9983019,0.96793604,1.1849662,0.8484738,1.0590203,0.677969,1.1870812,1.2714878,0.44624949,0.8040869,1.1287379,1.0030919,1.2410557,1.1253508,0.7161207,0.70869654,1.3692384,1.0450988,0.8099745,1.3465194,1.1834785,1.0803094,1.050439,1.3298616,1.1872753,1.188679,1.1601382,1.1299137,0.48332238,0.6196128,1.2542127,1.3635067,1.1332798,0.86856306,0.88981545,0.6271214,0.9398536,1.2298176,0.9287056,1.0517598,1.241607,1.2374401,1.0803874,0.8328751,0.696555,0.77112114,1.304605,0.86386293,0.74267477,0.59042937,1.2381555,1.0118642,0.8203493,1.1286514,0.6651685,0.94128585,1.083446,1.1118447,1.0770367,1.143556,1.2531137,1.0467759,0.81815577,0.7451741,0.9250721,1.113243,0.9032048,1.0918784,0.73466194,1.2565506,1.132406,0.99155873,1.0754347,0.9689751,1.2168287,1.1890846,0.58485836,1.1106834,0.7572552,0.9964028,0.5647291,0.96505237,0.6527301
clock,1.1430625,0.7925534,1.4298084,0.8923702,0.61662954,1.1962566,0.96449244,1.3746777,1.4813312,0.8112718,1.5634907,1.3821523,0.8448806,1.448288,0.6606577,0.46817088,0.72098726,1.2162702,0.88010514,0.6093185,0.68442756,0.86158055,0.9467935,0.96280897,1.2667533,0.8346802,0.0,1.0814419,1.2568059,1.1091552,1.5427277,1.1489476,0.55723804,1.3878856,0.5695818,1.337213,1.2696338,1.0275905,0.8905684,0.6809242,1.323108,1.2442313,0.587384,0.5597103,0.61084336,0.905589,1.1766126,0.7833605,1.4338523,0.7197439,1.0854653,1.0184647,1.3373306,0.7319837,1.0476837,1.2595801,1.2067729,0.5724131,0.40028322,1.1350548,1.2726152,1.1933782,0.65312976,0.49772036,0.83652407,0.74723613,1.1311915,0.7239439,1.2664136,0.8704015,1.4288293,1.253535,1.1308382,0.5497194,0.59805024,1.3286765,0.98149204,0.64314306,0.62585413,1.0440934,1.1526701,0.7325358,1.1752288,1.2782097,0.6252794,1.1721942,1.0310115,1.3128383,1.2934812,1.2116424,1.0280831,1.1208022,1.1084467,0.64736897,1.015333,0.73134553,1.1566417,0.593275,1.4125524,1.3992987,1.3778118,0.76337075,0.785799,1.0672045,1.294713,0.67260265,0.4642259,0.8089416,1.0722418,0.66154456,0.6659995,1.201964
closet,1.100915,1.1538407,0.745232,1.014671,0.99175537,1.2595427,0.92850775,0.9626045,0.82027715,1.1703858,0.80984855,1.0327818,1.0957758,0.8789962,1.2751987,1.1069955,0.9482626,0.9706861,1.0039539,1.0698614,1.0001787,1.1849234,1.2805678,1.1455195,0.8889177,0.71206695,1.0814419,0.0,0.77258,0.9896671,0.72276944,0.96922326,1.2953078,0.94351494,1.1205853,0.93875915,0.8756561,0.44025314,0.91407764,1.0080898,0.8102349,1.2270916,1.3808157,1.1729654,1.2256905,1.212726,0.74211377,1.2258945,1.1389536,1.2078235,0.84098923,0.81372356,1.1037154,1.1751276,0.9258931,1.1027827,1.1430854,1.0947375,1.0107039,0.941862,1.019363,0.86618596,1.1787641,1.0610805,1.1789305,1.2739571,1.1739876,1.2492255,0.76517206,1.0856632,0.9768489,1.1007044,1.1015717,1.1955181,1.1980366,1.0596992,0.9897452,1.1176138,1.179087,1.0288079,0.8228655,1.0701917,1.2507877,0.50724787,1.1237442,1.0331713,0.9869161,0.7999897,1.1223041,1.1002877,0.9724539,0.95565265,1.0119057,1.2866322,1.113641,1.0160217,1.2233309,1.180505,0.8695481,0.63465804,0.71417415,1.2638168,1.1501242,1.1262957,1.0488113,1.1587026,1.2177141,1.1211219,0.80470276,0.9890046,1.21245,0.4781294
coat,1.025186,1.171595,0.79301584,0.9631414,1.2033012,1.1907609,0.9137833,0.81559294,0.67252594,1.2371414,0.84905875,0.7556504,1.1098158,0.6692186,1.2707855,1.2174653,1.1186901,0.8700823,1.0192351,1.2346662,1.13837,1.2849917,1.0609024,1.0703002,0.8496987,1.0378041,1.2568059,0.77258,0.0,0.8962964,0.703004,0.8061753,1.3832139,0.7569485,1.2325481,0.9679078,0.9158487,0.8859374,1.2363609,1.1152023,0.82792175,1.0919821,1.2870376,1.2513759,1.3086683,1.1110233,0.7587429,1.259125,0.9460692,1.154633,0.95602655,0.9602079,0.88842154,1.2012199,0.96178824,0.5224336,1.0124161,1.2219651,1.2298414,1.0023129,0.82216,0.9024192,1.2117904,1.2135913,1.1862838,1.249186,1.0523595,1.1979206,0.82705617,1.0857708,0.8016646,0.89237,0.92790747,1.28748,1.2903686,1.0342894,1.0189658,1.1824148,1.2553096,0.91916823,0.8023238,1.1452134,1.0475007,0.7141489,1.2134488,0.78766793,1.0066805,0.59966373,1.1322707,1.0029436,1.0646065,1.0008181,1.0838428,1.4200275,0.9606613,1.1515564,1.1237761,1.2666572,0.87711066,0.3999753,0.68922377,1.3104074,1.2656775,1.0818149,0.86718017,1.2733349,1.2088379,1.0499958,0.84175736,1.3085116,1.2748516,0.82381475
comb,0.70716035,1.1264979,0.9092415,0.9844881,1.1069514,0.9683788,0.7045983,0.87100923,0.830901,1.1880339,0.86192596,0.92695177,0.91818446,0.8461716,1.0060658,1.2242886,1.1274341,0.7254052,1.1251825,1.1447247,1.0376794,1.2163994,0.7533903,0.7662816,0.9196648,0.9983019,1.1091552,0.9896671,0.8962964,0.0,0.96581686,0.72233826,1.1608152,0.8783767,1.1876554,0.9827727,0.8794198,0.94596404,1.1815387,1.1511495,0.8816466,1.045064,1.0967405,1.1731911,1.2844546,0.926211,0.8770079,1.2165095,0.96300244,0.7481497,0.98038673,1.0569701,0.99789727,1.0707575,0.9581623,0.94337595,1.0552384,1.1476786,1.1811249,0.8657456,0.8934529,0.8103615,1.1956522,1.1911194,1.1303413,1.2874782,1.1708548,1.1371924,0.92885715,1.0398567,0.9567845,1.0788971,0.8099196,1.2121512,1.2889893,0.8064171,0.9980779,1.1777033,1.1598611,1.0650386,0.9683997,1.2560735,0.96694696,0.91763175,1.1276278,0.9323131,0.86978006,0.9922044,0.8950416,0.96801406,0.99274915,0.88388395,1.0491706,1.2144738,0.9694593,1.1655033,1.0132426,1.3074329,0.8794455,1.0415338,0.8940902,1.2075423,1.0868887,0.7997372,0.6297883,1.1778326,1.0086834,0.9289468,0.91531426,1.1976618,1.2314718,0.8785959
