"class_name","n_frame_video_subject_age_detections","n_unique_videos","total_frame_video_subject_age_combinations","proportion","n_subjects","n_ages","mean_confidence","AoA"
"bathroom",61270,3510,3163674,0.0193667236257592,31,31,0.374277678314346,24
"balloon",59929,3647,3163674,0.0189428493580565,31,31,0.455923148947421,19
"frog",59777,3892,3163674,0.0188948039526196,31,31,0.412387034822256,23
NA,57396,4023,3163674,0.018142197963507,31,31,NA,NA
"toe",52912,4108,3163674,0.0167248585031201,31,31,0.339841808668544,22
"shirt",52016,3891,3163674,0.0164416434815977,31,31,0.343211181791949,23
"knife",50095,3270,3163674,0.0158344380615702,31,31,0.418488478954187,26
"cat",47255,3798,3163674,0.014936747591566,31,31,0.574614860720559,18
"purse",46580,3694,3163674,0.0147233880608432,31,31,0.381023016629669,26
"kitchen",45810,2897,3163674,0.0144800001517223,31,31,0.327638583216328,25
"bathtub",45681,3297,3163674,0.0144392247747397,31,31,0.516318064886495,23
"tissue",45305,3382,3163674,0.0143203756139223,31,31,0.458495722348968,26
"doll",44561,3553,3163674,0.0140852059978367,31,31,0.440731506592087,23
"drawer",42872,3177,3163674,0.0135513330387391,31,31,0.347588225234419,28
"stove",41855,2148,3163674,0.0132298713457834,30,31,0.412580306535659,28
"apple",41358,3345,3163674,0.0130727755135327,31,31,0.402133502784951,19
"tape",40624,3195,3163674,0.0128407667793837,31,31,0.450734632135437,27
"car",39737,3484,3163674,0.0125603965516042,31,31,0.470219984971689,18
"paper",39529,3504,3163674,0.0124946502073222,31,31,0.364743503643907,24
"gum",38347,3806,3163674,0.0121210339624121,31,31,0.41978129996636,29
"jello",36632,3287,3163674,0.0115789427102793,31,31,0.403639719150743,29
"scissors",35500,3421,3163674,0.0112211308750522,31,31,0.42427436639493,26
"hair",35343,3667,3163674,0.0111715050286471,31,31,0.326601386061455,21
"camera",34214,3620,3163674,0.010814641458001,31,31,0.427514409224879,27
"ladder",34207,2857,3163674,0.0108124288406454,30,31,0.485326151122285,28
"bread",33831,2105,3163674,0.0106935796798279,30,31,0.414836294172505,23
"pen",33676,3549,3163674,0.0106445860098101,31,31,0.418870125923506,25
"mouse",33510,3610,3163674,0.010592115369662,31,31,0.454890033512086,24
"glove",33241,3954,3163674,0.0105070876455665,31,31,0.419371726824404,27
"walker",32311,2979,3163674,0.0102131256254595,31,31,0.395784585748816,34
"sled",30042,2665,3163674,0.00949592151403716,30,31,0.448860098884229,31
"banana",29654,2763,3163674,0.00937327929489574,31,30,0.484995106813921,17
"cake",29198,3094,3163674,0.00922914307858522,31,31,0.451091188223508,23
"fork",29044,2377,3163674,0.00918046549676104,30,31,0.482708765462058,23
"dryer",28052,3090,3163674,0.00886690600864691,31,31,0.362953594771139,28
"shoe",27876,2759,3163674,0.00881127448656214,31,31,0.330054789205051,17
"telephone",26756,3540,3163674,0.00845725570965909,31,31,0.380955781151891,22
"stroller",26688,1843,3163674,0.00843576171248997,30,30,0.557625037084832,25
"boots",25827,3045,3163674,0.00816360977774575,30,31,0.415207507981182,23
"sky",25364,2153,3163674,0.00801726094407957,31,31,0.357158810328418,25
"pencil",25243,3266,3163674,0.0079790142726463,31,31,0.436762931840114,26
"necklace",24283,2982,3163674,0.00767556960672939,30,31,0.440709297530371,27
"tights",24145,3423,3163674,0.00763194943600384,31,31,0.356503066480845,32
"light",23605,2289,3163674,0.00746126181142558,30,30,0.327685367553908,22
"blocks",21882,2671,3163674,0.00691664185374346,31,31,0.366644100409469,23
"grass",21051,773,3163674,0.00665397256480914,24,25,0.401542885245832,24
"stairs",20845,2340,3163674,0.00658885839691447,29,30,0.427574530949868,25
"jeans",20676,2801,3163674,0.00653543949218535,31,31,0.360771399130393,28
"bib",20522,3458,3163674,0.00648676191036118,31,31,0.391368984146769,25
"fish",20096,3172,3163674,0.00635210833986055,31,31,0.389881656962082,24
"fish",20096,3172,3163674,0.00635210833986055,31,31,0.389881656962082,20
"pajamas",20038,3018,3163674,0.00633377522462807,31,31,0.380933285648767,24
"sidewalk",19989,2294,3163674,0.00631828690313857,29,31,0.383106271245185,28
"orange",19963,2193,3163674,0.00631006861010332,31,30,0.401444863240996,23
"orange",19963,2193,3163674,0.00631006861010332,31,30,0.401444863240996,25
"shovel",19958,2050,3163674,0.006308488169135,31,31,0.391900567880048,27
"cheerios",19672,2614,3163674,0.00621808694574725,31,31,0.396192886434526,25
"snowman",19002,3140,3163674,0.00600630785599275,30,31,0.392964301574571,28
"toothbrush",18920,2984,3163674,0.00598038862411235,30,31,0.449510767100951,23
"alligator",18786,3165,3163674,0.00593803280616144,31,31,0.409538925026616,26
"sweater",17359,2301,3163674,0.00548697495380371,30,31,0.318307769074831,26
"mitten",17256,3260,3163674,0.00545441786985638,31,31,0.371127272296013,28
"beads",16683,2694,3163674,0.00527329933488722,31,31,0.421588984004675,31
"flag",16454,2683,3163674,0.00520091513853829,31,31,0.429406123564483,27
"pumpkin",15939,1355,3163674,0.00503812971880162,31,29,0.4874778638754,26
"slide",15630,1673,3163674,0.00494045846695962,30,31,0.480995615600768,24
"slide",15630,1673,3163674,0.00494045846695962,30,31,0.480995615600768,26
"egg",15473,1817,3163674,0.00489083262055446,30,31,0.420138717418083,23
"pants",15257,2620,3163674,0.00482255757072315,30,30,0.319509213043193,23
"nail",14497,3140,3163674,0.00458233054353894,31,31,0.369098586227495,29
"trash",14409,2713,3163674,0.00455451478249655,31,31,0.408893034646402,26
"trash",14409,2713,3163674,0.00455451478249655,31,31,0.408893034646402,25
"tree",14177,832,3163674,0.00448118232156663,26,27,0.359697370688439,21
"coke",12951,2388,3163674,0.00409365819613525,31,31,0.406169992157362,30
"pancake",12890,1989,3163674,0.00407437681632178,31,30,0.442234907761055,25
"sneaker",12444,1386,3163674,0.00393340148194789,29,31,0.340200150108486,30
"radio",12306,1978,3163674,0.00388978131122233,31,31,0.407110366968146,28
"belt",11786,2482,3163674,0.00372541545051734,31,31,0.429194515133209,27
"finger",11758,3162,3163674,0.00371656498109477,31,31,0.31670049278874,23
"bicycle",11150,1071,3163674,0.00352438335934739,28,31,0.566712914141704,23
"sock",10773,1750,3163674,0.00340521811033627,30,31,0.36054857486494,21
"jar",10279,1215,3163674,0.00324907054266653,28,29,0.390448273925479,30
"money",9200,2670,3163674,0.00290801138170368,31,31,0.360373993709783,25
"shorts",8907,1659,3163674,0.00281539754096029,31,30,0.392582374943303,26
"moon",8898,2177,3163674,0.00281255274721732,31,31,0.355004285957519,22
"bubbles",8638,1943,3163674,0.00273036981686482,30,31,0.419017637718222,19
"jelly",8550,1415,3163674,0.00270255405582244,30,30,0.393674766610526,28
"chalk",8447,1678,3163674,0.0026699969718751,30,29,0.365814726393986,27
"glue",8168,2140,3163674,0.002581808365843,30,31,0.371774796332027,29
"jacket",8141,1961,3163674,0.00257327398461409,31,30,0.336093929570077,24
"squirrel",8003,1977,3163674,0.00252965381388854,31,31,0.455713563072598,26
"train",7777,2353,3163674,0.0024582178821206,30,31,0.419974765016073,22
"pudding",7768,1194,3163674,0.00245537308837763,30,28,0.374319197696962,30
"food",7627,1182,3163674,0.00241080465307108,30,30,0.329741615401862,24
"soap",6686,933,3163674,0.00211336566283378,28,31,0.388057274805564,24
"popcorn",6631,1945,3163674,0.00209598081218229,31,31,0.397661672284723,25
"pizza",6582,944,3163674,0.00208049249069278,31,29,0.473173978933455,22
"pool",6523,815,3163674,0.00206184328726664,29,29,0.474312631701671,25
"popsicle",6468,1863,3163674,0.00204445843661515,30,30,0.392180634206865,26
"soup",5950,523,3163674,0.00188072475229749,26,28,0.416835660332773,26
"arm",5931,2271,3163674,0.00187471907661788,31,31,0.305229508780981,23
"glass",5826,1774,3163674,0.00184152981628322,31,28,0.388581688951253,27
"carrot",5791,1278,3163674,0.001830466729505,30,29,0.375458233961319,24
"melon",5747,1067,3163674,0.00181655884898381,29,30,0.480163266438142,29
"boat",5683,932,3163674,0.00179632920458935,29,28,0.434453968213972,22
"dress",5507,1108,3163674,0.00174069768250458,29,30,0.368950898788814,26
"rooster",5474,1543,3163674,0.00173026677211369,31,30,0.378274434981732,28
"head",5354,2122,3163674,0.00169233618887407,30,31,0.311412654654464,22
"milk",5341,610,3163674,0.00168822704235645,28,28,0.435412261675716,19
"motorcycle",5282,1083,3163674,0.00166957783893031,29,30,0.464670814909125,26
"street",5256,942,3163674,0.00166135954589506,28,28,0.338979612258371,26
"lip",5182,1687,3163674,0.00163796901956396,31,31,0.378473013168661,26
"cracker",5084,1394,3163674,0.00160699237658495,31,31,0.416733468819827,21
"animal",4753,1746,3163674,0.00150236718448235,31,31,0.414382320965706,25
"bedroom",4651,1342,3163674,0.00147012618872867,29,29,0.33653107056332,26
"face",4588,1660,3163674,0.00145021263252788,31,31,0.312616245172188,24
"broom",4286,909,3163674,0.00135475399804152,26,29,0.436185965711619,25
"star",4280,901,3163674,0.00135285746887954,27,31,0.408550178892523,23
"yogurt",4166,1167,3163674,0.0013168234148019,29,30,0.405529455052808,24
"horse",4122,929,3163674,0.00130291553428071,29,30,0.493027801824357,22
"bunny",4102,1112,3163674,0.00129659377040744,29,31,0.40307504694783,22
"hammer",4039,951,3163674,0.00127668021420665,29,30,0.387933326578361,27
"closet",4010,1175,3163674,0.00126751365659041,29,30,0.334798122321696,27
"brush",3890,1074,3163674,0.00122958307335079,31,31,0.351510585390745,23
"lollipop",3882,1136,3163674,0.00122705436780149,30,30,0.407953440401855,28
"butter",3873,450,3163674,0.00122420957405852,25,25,0.432415388241673,26
"pickle",3582,719,3163674,0.00113222790970245,29,29,0.387617049313233,27
"grapes",3512,484,3163674,0.00111010173614601,28,29,0.370667740327449,23
"tiger",3420,1114,3163674,0.00108102162232898,29,29,0.390326596593567,24
"coffee",3410,737,3163674,0.00107786074039234,27,30,0.369015922316716,26
"airplane",3352,909,3163674,0.00105952762515986,30,29,0.442155182667064,21
"cookie",3335,508,3163674,0.00105415412586758,27,27,0.39025843552024,19
"water",3299,1064,3163674,0.0010427749508957,29,29,0.379604517802364,20
"water",3299,1064,3163674,0.0010427749508957,29,29,0.379604517802364,21
"pretzel",3298,1099,3163674,0.00104245886270204,30,30,0.393323351801092,27
"penis",3115,1264,3163674,0.000984614723261625,31,30,0.339775694565008,27
"strawberry",3100,582,3163674,0.000979873400356674,28,30,0.388172335651613,24
"sprinkler",2884,943,3163674,0.00091159835052537,29,30,0.357297934448682,29
"yard",2837,309,3163674,0.000896742205423188,18,21,0.412455325026436,28
"yard",2837,309,3163674,0.000896742205423188,18,21,0.412455325026436,28
"comb",2825,1299,3163674,0.000892949147099227,30,30,0.436598709745133,26
"bat",2800,890,3163674,0.000885046942257641,28,30,0.4129169383,27
"foot",2724,952,3163674,0.000861024239539219,29,30,0.303033939985316,22
"muffin",2686,821,3163674,0.000849012888180008,30,30,0.400538813432614,27
"tooth",2600,1305,3163674,0.000821829303524952,31,31,0.384894911780769,23
"bird",2568,938,3163674,0.000811714481327722,29,31,0.39720761614486,18
"bus",2526,1271,3163674,0.000798438777193858,29,31,0.408597487699921,22
"hose",2395,769,3163674,0.000757031223823946,28,30,0.386997926505219,28
"snow",2359,677,3163674,0.000745652048852063,25,29,0.360685733361594,25
"pony",2217,535,3163674,0.000700767525351854,25,30,0.487248385732972,28
"rock",2217,290,3163674,0.000700767525351854,26,25,0.348374775074425,23
"truck",2196,363,3163674,0.000694129673284921,26,28,0.403065812349727,20
"peas",2164,597,3163674,0.000684014851087691,27,30,0.335445422841959,26
"roof",2139,425,3163674,0.000676112646246105,24,27,0.325382627012623,29
"dish",2096,370,3163674,0.000662520853918577,28,28,0.357742209274809,28
"butterfly",2085,533,3163674,0.000659043883788279,28,29,0.407468009582734,24
"bug",1826,1021,3163674,0.000577177041629447,29,30,0.357715759994524,23
"scarf",1803,702,3163674,0.000569907013175188,30,29,0.38940919312812,31
"wolf",1654,765,3163674,0.000522809872319335,28,29,0.375529611354293,29
"owl",1635,877,3163674,0.00051680419663973,30,30,0.404020628452599,24
"drink",1596,671,3163674,0.000504476757086855,28,29,0.352856841572682,23
"drink",1596,671,3163674,0.000504476757086855,28,29,0.352856841572682,23
"puzzle",1587,458,3163674,0.000501631963343884,29,27,0.365819815236295,25
"kitty",1561,892,3163674,0.000493413670308635,29,30,0.449567003811659,19
"sauce",1433,207,3163674,0.000452954381519714,23,24,0.357088753258897,28
"turkey",1382,795,3163674,0.000436833883642879,28,31,0.4160347329233,28
"nose",1346,732,3163674,0.000425454708670995,30,31,0.343857137139673,18
"ankle",1337,659,3163674,0.000422609914928024,28,28,0.308126741690352,30
"tractor",1325,403,3163674,0.000418816856604062,28,27,0.419263840558491,26
"shower",1309,570,3163674,0.000413759445505447,28,29,0.361717354224599,25
"garden",1257,191,3163674,0.000397322859434948,17,19,0.336905640755768,29
"cereal",1214,103,3163674,0.00038373106710742,19,21,0.450093138237232,23
"hamburger",1145,457,3163674,0.000361920981744642,30,28,0.427042139292576,26
"raisin",1093,204,3163674,0.000345484395674143,26,25,0.367113300832571,26
"potato",1080,122,3163674,0.000341375249156519,19,22,0.330061362722222,26
"meat",1004,325,3163674,0.000317352546438097,26,29,0.331530731195219,27
"swing",996,153,3163674,0.000314823840888789,20,21,0.390667339086345,23
"swing",996,153,3163674,0.000314823840888789,20,21,0.390667339086345,25
"cow",988,423,3163674,0.000312295135339482,23,28,0.495799027004049,21
"elephant",931,490,3163674,0.000294278108300666,27,27,0.498734436970999,23
"vanilla",902,555,3163674,0.000285111550684426,27,27,0.355485858037694,31
"story",861,405,3163674,0.000272151934744225,25,28,0.314496988060395,25
"bee",840,424,3163674,0.000265514082677292,27,27,0.385673906214286,22
"tummy",828,450,3163674,0.000261721024353331,28,29,0.333232170736715,22
"chicken",810,369,3163674,0.000256031436867389,28,31,0.453161595111111,23
"chicken",810,369,3163674,0.000256031436867389,28,31,0.453161595111111,23
"nut",798,188,3163674,0.000252238378543428,24,24,0.309960499323308,28
"corn",757,231,3163674,0.000239278762603226,27,23,0.439631233976222,25
"ear",742,467,3163674,0.000234537439698275,29,29,0.326129612938005,19
"sheep",614,248,3163674,0.000194078150909354,23,30,0.474539851856678,24
"sun",592,203,3163674,0.000187124210648758,24,25,0.355962007989865,23
"hen",581,405,3163674,0.00018364724051846,27,28,0.389661353080895,31
"pig",576,207,3163674,0.000182066799550143,24,25,0.402686753420139,22
"coat",557,341,3163674,0.000176061123870538,28,25,0.321769635924596,24
"chips",522,129,3163674,0.000164998037092317,22,22,0.351621356283525,25
"button",517,191,3163674,0.000163417596124,22,23,0.336577861005803,24
"soda",491,160,3163674,0.000155199303088751,20,25,0.403858622342159,28
"cheese",483,105,3163674,0.000152670597539443,21,22,0.389095935320911,19
"juice",480,132,3163674,0.000151722332958453,22,24,0.348530258645833,20
"mouth",440,314,3163674,0.000139078805211915,26,27,0.350701687454545,21
"garage",436,92,3163674,0.000137814452437261,11,17,0.328750925504587,27
"mop",387,118,3163674,0.000122326130947753,15,15,0.423063343126615,30
"leg",382,253,3163674,0.000120745689979435,29,28,0.291492459502618,24
"ice",350,124,3163674,0.000110630867782205,22,25,0.358959228685714,24
"deer",320,117,3163674,0.000101148221972302,21,26,0.4194653558125,27
"penguin",320,135,3163674,0.000101148221972302,21,24,0.4035101701875,27
"penny",320,216,3163674,0.000101148221972302,26,25,0.32597483528125,28
"cheek",316,189,3163674,9.9883869197648e-05,25,25,0.324440721962025,24
"tricycle",296,110,3163674,9.35621053243792e-05,19,20,0.382867001148649,30
"tongue",292,221,3163674,9.22977525497254e-05,28,27,0.377401921780822,24
"eye",282,181,3163674,8.9136870613091e-05,26,25,0.302377405780142,18
"bear",273,207,3163674,8.629207687012e-05,23,24,0.49498709992674,20
"giraffe",271,73,3163674,8.56599004827931e-05,18,17,0.521301627380074,25
"firetruck",251,149,3163674,7.93381366095242e-05,22,23,0.415238299960159,25
"applesauce",249,145,3163674,7.87059602221974e-05,22,20,0.364448566385542,26
"zebra",247,72,3163674,7.80737838348705e-05,22,20,0.582316879635628,26
"stick",232,130,3163674,7.33324609299188e-05,24,24,0.33353992137931,25
"sandwich",212,131,3163674,6.701069705665e-05,23,26,0.388525265943396,25
"snowsuit",205,151,3163674,6.47980797010059e-05,22,25,0.352384708682927,33
"butt",191,143,3163674,6.03728449897177e-05,23,22,0.307317549685864,23
"wind",188,96,3163674,5.94245804087273e-05,20,21,0.308062678351064,27
"beans",184,44,3163674,5.81602276340735e-05,16,21,0.335397366684783,26
"candy",171,91,3163674,5.40510811164488e-05,21,21,0.315649159239766,24
"pasta",157,12,3163674,4.96258464051606e-05,9,8,0.389097293694268,25
"pasta",157,12,3163674,4.96258464051606e-05,9,8,0.389097293694268,25
"helicopter",152,69,3163674,4.80454054368434e-05,18,17,0.413313883026316,26
"duck",144,66,3163674,4.55166998875358e-05,19,20,0.403457497222222,18
"zipper",126,55,3163674,3.98271124015938e-05,15,17,0.329393134603175,26
"pastry",125,77,3163674,3.95110242079304e-05,20,20,0.35932856904,27
"game",118,40,3163674,3.72984068522863e-05,14,17,0.378400371440678,27
"chocolate",109,59,3163674,3.44536131093153e-05,19,21,0.330981453761468,25
"key",105,54,3163674,3.31892603346615e-05,16,21,0.317919393047619,22
"medicine",97,85,3163674,3.0660554785354e-05,20,19,0.304557721649485,26
"rain",76,63,3163674,2.40227027184217e-05,19,17,0.325202214473684,23
"vitamin",63,35,3163674,1.99135562007969e-05,15,17,0.312853174603175,28
"goose",55,20,3163674,1.73848506514894e-05,12,11,0.355987801454545,28
"stone",47,17,3163674,1.48561451021818e-05,9,10,0.317071651914894,30
"cloud",39,20,3163674,1.23274395528743e-05,8,9,0.312073806153846,26
"toast",37,13,3163674,1.16952631655474e-05,9,9,0.413491202702703,25
"vagina",33,27,3163674,1.04309103908936e-05,15,17,0.297405834848485,31
"owie",31,24,3163674,9.79873400356674e-06,13,15,0.287024938064516,20
"turtle",21,17,3163674,6.63785206693231e-06,11,10,0.371610989047619,23
"ant",10,10,3163674,3.16088193663443e-06,8,6,0.316376844,26
"moose",10,7,3163674,3.16088193663443e-06,6,6,0.336190537,29
"lamb",9,8,3163674,2.84479374297099e-06,2,8,0.496092952222222,28
"shoulder",6,6,3163674,1.89652916198066e-06,5,4,0.28416919,28
"tuna",6,6,3163674,1.89652916198066e-06,4,5,0.277287491666667,31
"puppy",5,4,3163674,1.58044096831722e-06,4,4,0.445546688,22
"knee",3,3,3163674,9.4826458099033e-07,3,3,0.307161946666667,24
"porch",2,2,3163674,6.32176387326886e-07,2,2,0.30177719,31
