"class_name","n_frame_video_subject_age_detections","n_unique_videos","total_frame_video_subject_age_combinations","proportion","n_subjects","n_ages","mean_confidence","AoA"
"person",2140109,4648,3163674,0.676463188052878,31,31,0.68901498390875,32
"chair",948627,4611,3163674,0.299849794890371,31,31,0.536970476729452,22
"lamp",838213,4588,3163674,0.264949233075216,31,31,0.586158733878489,29
"picture",795945,4512,3163674,0.251588817305449,31,31,0.587400949135845,25
"toy",794799,4533,3163674,0.251226580235511,31,31,0.454731464456196,22
"table",682031,4530,3163674,0.215581946812472,31,31,0.449898886749385,24
"book",626185,4508,3163674,0.197929685549143,31,31,0.476039107280756,16
"cup",561771,4563,3163674,0.177569180642506,31,31,0.50002017984499,21
"bottle",550804,4546,3163674,0.174102641422599,31,31,0.459160232893606,20
"tv",508264,4484,3163674,0.160656249664156,31,31,0.597354817512631,23
"pillow",450049,4422,3163674,0.142255175470039,31,31,0.492126809751871,23
"crayon",444815,4571,3163674,0.140600769864404,31,31,0.480867034523431,24
"bowl",408194,4462,3163674,0.129025304124256,31,31,0.531762855220263,23
"couch",378140,4253,3163674,0.119525589551894,31,31,0.567259352502354,25
"couch",378140,4253,3163674,0.119525589551894,31,31,0.567259352502354,30
"bed",361761,4363,3163674,0.114348381027881,31,31,0.522946596216646,21
"box",304590,4414,3163674,0.0962773029079482,31,31,0.39646482859214,23
"plate",282759,4293,3163674,0.0893767815520815,31,31,0.556482259102416,25
"glasses",237046,4300,3163674,0.0749274419551446,31,31,0.66974880653004,25
"bucket",222445,4414,3163674,0.0703122382394646,31,31,0.434818048033806,27
"refrigerator",220317,3992,3163674,0.0696396025633488,31,31,0.586133029461276,26
"teddybear",211919,4124,3163674,0.0669850939129632,31,31,0.477971433679377,24
"can",196177,4428,3163674,0.0620092335683133,31,31,0.506000008445587,28
"can",196177,4428,3163674,0.0620092335683133,31,31,0.506000008445587,28
"door",194804,4225,3163674,0.0615752444784134,31,31,0.39954025323787,21
"napkin",189582,4306,3163674,0.0599246319311029,31,31,0.458825402093817,26
"towel",187519,4369,3163674,0.0592725419875752,31,31,0.477694333077235,24
"basket",171298,4240,3163674,0.0541452753981605,31,31,0.493525136856531,26
"hat",165509,4503,3163674,0.0523154408450428,31,31,0.471266295670568,19
"plant",164616,3515,3163674,0.0520331740881014,31,31,0.424419204974061,27
"window",153266,4066,3163674,0.0484455730900213,31,31,0.338494755579124,25
"slipper",149059,4369,3163674,0.0471157900592792,31,31,0.414283345067457,27
"crib",145556,4193,3163674,0.0460085331168761,31,31,0.434052123884278,26
"flower",131511,3898,3163674,0.0415690744368731,31,31,0.513940270896655,22
"sink",129903,3884,3163674,0.0410608046214623,31,31,0.50369078947761,26
"blanket",124837,4108,3163674,0.0394595018323633,31,31,0.401239808694458,22
"present",109228,3987,3163674,0.0345256812174706,31,31,0.439513095743491,26
"oven",105530,3017,3163674,0.0333567870773032,31,31,0.519862335306832,27
"hand",104948,4453,3163674,0.033172823748591,31,31,0.341307787521153,22
"watch",100340,3660,3163674,0.0317162893521899,31,31,0.51692075129709,26
"watch",100340,3660,3163674,0.0317162893521899,31,31,0.51692075129709,26
"bench",98747,4108,3163674,0.031212760859684,31,31,0.42021049773502,31
"room",98702,3893,3163674,0.0311985368909692,31,31,0.322183287550404,25
"vacuum",85312,4031,3163674,0.0269661159778157,31,31,0.450934152147764,25
"clock",81902,3179,3163674,0.0258882552374233,31,31,0.577440477812752,25
"basement",81403,3915,3163674,0.0257305272287853,31,31,0.30940042653858,32
"spoon",76062,2756,3163674,0.0240423001864288,31,30,0.472855789013042,21
"potty",74331,3854,3163674,0.0234951515231974,31,31,0.47861258027243,22
"dog",73033,3833,3163674,0.0230848690478222,31,31,0.638636532751359,14
"underpants",71323,4123,3163674,0.0225443582366578,31,31,0.434644375818039,28
"sandbox",66754,3620,3163674,0.0211001512798095,31,31,0.388295129403931,28
"ball",64785,3591,3163674,0.0204777736264862,31,31,0.440748859424249,11
"diaper",63847,4103,3163674,0.0201812829008299,31,31,0.397834480741773,20
"tray",62088,3497,3163674,0.0196252837681759,31,31,0.404029518724069,32
