annotator,initial_object_name,total_frames,correct_labels,incorrect_labels,mean_iou,mean_iou_correct,mean_iou_incorrect,precision,n,prevalence_bin
Dora,tape,3,2,1,0.9999117151732838,0.9999151507433668,0.9999048440331179,0.6666666666666666,58451,High (60-80%)
Dora,tricycle,3,2,1,0.9998733199688933,0.9999049037131205,0.9998101524804389,0.6666666666666666,457,Very Low (0-20%)
Dora,vitamin,11,7,4,0.9997794253401803,0.9997275705759595,0.9998701711775666,0.6363636363636364,90,Very Low (0-20%)
Dora,beans,8,5,3,0.9999358899489051,0.9999450842556076,0.9999205661044012,0.625,315,Very Low (0-20%)
Dora,bat,5,3,2,0.9999546812209968,0.9999466640061916,0.9999667070432048,0.6,3847,Low (20-40%)
Dora,hand,5,3,2,0.9999515315588084,0.999948036473789,0.9999567741863374,0.6,138537,Very High (80-100%)
Dora,jeans,5,3,2,0.9999556000384702,0.9999500703728157,0.999963894536952,0.6,28805,High (60-80%)
Dora,wind,5,3,2,0.9999324621607378,0.9999411540242805,0.9999194243654238,0.6,302,Very Low (0-20%)
Dora,present,7,4,3,0.9999226500024446,0.9999456730161522,0.9998919526508344,0.5714285714285714,123054,Very High (80-100%)
Dora,bench,6,3,3,0.9999498385852263,0.9999559094752986,0.999943767695154,0.5,209857,Very High (80-100%)
Dora,butt,6,3,3,0.999916385958786,0.9999078005157116,0.9999249714018604,0.5,281,Very Low (0-20%)
Dora,carrot,4,2,2,0.9998295207238093,0.9998554470135441,0.9998035944340744,0.5,11516,Medium (40-60%)
Dora,chicken,4,2,2,0.9999319808119398,0.9999018198322183,0.9999621417916613,0.5,1106,Very Low (0-20%)
Dora,clock,4,2,2,0.9995415501289786,0.9995010723673825,0.9995820278905747,0.5,116977,Very High (80-100%)
Dora,glass,4,2,2,0.9999545745546816,0.9999685210166915,0.9999406280926716,0.5,10540,Medium (40-60%)
Dora,meat,6,3,3,0.9999216899825248,0.9999152095878193,0.9999281703772305,0.5,2077,Low (20-40%)
Dora,mouse,4,2,2,0.9995827576447558,0.9993349008263397,0.9998306144631719,0.5,48819,High (60-80%)
Dora,muffin,4,2,2,0.9998568381991834,0.9998395673942806,0.9998741090040861,0.5,4463,Low (20-40%)
Dora,pencil,6,3,3,0.9997013890816693,0.9997835316609274,0.9996192465024112,0.5,49544,High (60-80%)
Dora,rock,4,2,2,0.9998108166466126,0.9996329060770464,0.9999887272161789,0.5,3563,Low (20-40%)
Dora,scarf,4,2,2,0.9999212231229611,0.999890559994793,0.9999518862511292,0.5,2685,Low (20-40%)
Dora,telephone,6,3,3,0.9997533675058738,0.9997416507149952,0.9997650842967525,0.5,32088,High (60-80%)
