class_name,subject_id,age_mo,num_detected,num_frames
airplane,rec6yLz5EWMrxNI3A,13,11,8622
airplane,rec6yLz5EWMrxNI3A,14,0,2669
airplane,rec6yLz5EWMrxNI3A,15,0,5730
airplane,recDFI56wO7AglqfO,10,2,1250
airplane,recDFI56wO7AglqfO,11,110,4334
airplane,recDFI56wO7AglqfO,12,42,16635
airplane,recDFI56wO7AglqfO,13,22,18503
airplane,recDFI56wO7AglqfO,14,18,14613
airplane,recDFI56wO7AglqfO,15,8,7209
airplane,recDFI56wO7AglqfO,16,8,16298
airplane,recDFI56wO7AglqfO,17,2,9762
airplane,recDFI56wO7AglqfO,18,8,12037
airplane,recDFI56wO7AglqfO,19,2,1392
airplane,recDFI56wO7AglqfO,20,0,2212
airplane,recDFI56wO7AglqfO,21,17,2628
airplane,recDFI56wO7AglqfO,27,1,1234
airplane,recDFI56wO7AglqfO,28,3,7300
airplane,recDFI56wO7AglqfO,29,1,1738
airplane,recdhcbJDSJ92LKe5,19,7,935
airplane,recdhcbJDSJ92LKe5,20,23,14447
airplane,recdhcbJDSJ92LKe5,21,48,16714
airplane,recdhcbJDSJ92LKe5,22,67,6918
airplane,recdhcbJDSJ92LKe5,23,169,18708
airplane,recdhcbJDSJ92LKe5,24,168,7436
airplane,recdhcbJDSJ92LKe5,25,152,25481
airplane,recdhcbJDSJ92LKe5,26,83,24637
airplane,recdhcbJDSJ92LKe5,27,2,12756
airplane,recdhcbJDSJ92LKe5,28,0,9683
airplane,recdhcbJDSJ92LKe5,29,50,9888
airplane,recdhcbJDSJ92LKe5,30,21,17193
airplane,recdhcbJDSJ92LKe5,31,19,10619
airplane,recdhcbJDSJ92LKe5,32,6,8237
airplane,recdhcbJDSJ92LKe5,33,1,5104
airplane,recdhcbJDSJ92LKe5,34,24,7125
airplane,recdhcbJDSJ92LKe5,36,0,3005
airplane,rece091flvzvsSOdv,12,1,6152
airplane,rece091flvzvsSOdv,13,26,27150
airplane,rece091flvzvsSOdv,14,2,19935
airplane,rece091flvzvsSOdv,15,1,30458
airplane,rece091flvzvsSOdv,16,3,23345
airplane,rece091flvzvsSOdv,17,2,23981
airplane,rece091flvzvsSOdv,18,11,30095
airplane,receE4UFFljPAjtWo,6,8,9324
airplane,receE4UFFljPAjtWo,7,0,6738
airplane,receE4UFFljPAjtWo,8,0,8354
airplane,receE4UFFljPAjtWo,9,0,5413
airplane,receE4UFFljPAjtWo,10,0,8133
airplane,receE4UFFljPAjtWo,11,1,6538
airplane,receE4UFFljPAjtWo,12,1,8618
airplane,receE4UFFljPAjtWo,13,1,8349
airplane,receE4UFFljPAjtWo,14,1,7726
airplane,receE4UFFljPAjtWo,15,1,10460
airplane,receE4UFFljPAjtWo,16,0,2655
airplane,recf7gu6r4Il07n57,8,1,18940
airplane,recf7gu6r4Il07n57,9,46,17339
airplane,recf7gu6r4Il07n57,10,12,14727
airplane,recf7gu6r4Il07n57,11,6,15110
airplane,recf7gu6r4Il07n57,12,3,16144
airplane,recf7gu6r4Il07n57,13,4,12424
airplane,recf7gu6r4Il07n57,14,12,13827
airplane,recf7gu6r4Il07n57,15,2,22847
airplane,recf7gu6r4Il07n57,16,18,25646
airplane,recf7gu6r4Il07n57,17,119,21908
airplane,recf7gu6r4Il07n57,18,0,6247
airplane,recg4IGs01o69MFBP,5,0,3219
airplane,recg4IGs01o69MFBP,6,1,5020
airplane,recg4IGs01o69MFBP,7,1,2858
airplane,recg4IGs01o69MFBP,8,0,2453
airplane,recg4IGs01o69MFBP,9,0,2597
airplane,recg4IGs01o69MFBP,11,0,3863
airplane,recg4IGs01o69MFBP,12,0,2187
airplane,recgZD3W5ubcE1wl5,7,1,1312
airplane,recgZD3W5ubcE1wl5,8,3,10597
airplane,recgZD3W5ubcE1wl5,9,3,10951
airplane,recgZD3W5ubcE1wl5,10,3,5554
airplane,recgZD3W5ubcE1wl5,11,8,14286
airplane,recgZD3W5ubcE1wl5,12,13,11226
airplane,recgZD3W5ubcE1wl5,13,2,2739
airplane,recgZD3W5ubcE1wl5,14,5,12112
airplane,recgZD3W5ubcE1wl5,15,15,11276
airplane,recgZD3W5ubcE1wl5,16,8,8640
airplane,recgZD3W5ubcE1wl5,17,60,11904
airplane,recHjbu7hwQJ2h1Y1,11,1,9032
airplane,recHjbu7hwQJ2h1Y1,12,0,395
airplane,recio16TBlNU9moae,9,0,14750
airplane,recio16TBlNU9moae,10,12,39189
airplane,recio16TBlNU9moae,11,19,24186
airplane,recio16TBlNU9moae,12,10,20775
airplane,recio16TBlNU9moae,13,25,19727
airplane,recio16TBlNU9moae,14,6,8773
airplane,recio16TBlNU9moae,15,0,6043
airplane,recio16TBlNU9moae,16,8,7681
airplane,recio16TBlNU9moae,17,1,6234
airplane,recio16TBlNU9moae,18,0,2115
airplane,recItwU7oMthIksS7,9,34,8708
airplane,recItwU7oMthIksS7,10,13,10760
airplane,recItwU7oMthIksS7,12,5,5703
airplane,recItwU7oMthIksS7,13,72,2734
airplane,recj2cnjtsocsyGcX,9,1,5530
airplane,recj2cnjtsocsyGcX,10,13,20464
airplane,recj2cnjtsocsyGcX,11,11,14010
airplane,recj2cnjtsocsyGcX,12,4,16293
airplane,recj2cnjtsocsyGcX,13,4,13603
airplane,recj2cnjtsocsyGcX,14,1,7861
airplane,recj2cnjtsocsyGcX,16,30,13792
airplane,recj2cnjtsocsyGcX,17,0,5306
airplane,recj2cnjtsocsyGcX,18,0,6290
airplane,recj2cnjtsocsyGcX,19,3,2607
airplane,recj2cnjtsocsyGcX,20,0,4588
airplane,recLQGWprQ9Qe7hMz,9,0,1930
airplane,recMCYtAB5VzF3QoQ,12,2,5955
airplane,recMCYtAB5VzF3QoQ,13,12,10932
airplane,recMCYtAB5VzF3QoQ,14,23,6553
airplane,recMCYtAB5VzF3QoQ,15,15,5847
airplane,recMCYtAB5VzF3QoQ,16,0,4689
airplane,recMCYtAB5VzF3QoQ,17,13,5895
airplane,recmkAr21eC0ksoAY,9,3,1622
airplane,recmkAr21eC0ksoAY,10,0,758
airplane,recnLZnzjhonSsTrE,15,71,9018
airplane,reco0GJrIFzjb98x9,12,4,4619
airplane,reco0GJrIFzjb98x9,13,28,22194
airplane,reco0GJrIFzjb98x9,14,23,22735
airplane,reco0GJrIFzjb98x9,15,15,23968
airplane,reco0GJrIFzjb98x9,16,15,20463
airplane,reco0GJrIFzjb98x9,17,2,14745
airplane,reco0GJrIFzjb98x9,18,13,19291
airplane,reco0GJrIFzjb98x9,19,17,19916
airplane,reco0GJrIFzjb98x9,20,2,15401
airplane,reco0GJrIFzjb98x9,21,18,23442
airplane,reco0GJrIFzjb98x9,22,4,18565
airplane,reco0GJrIFzjb98x9,23,8,16382
airplane,reco0GJrIFzjb98x9,24,10,5151
airplane,recOGrxo9eZvO35sn,13,0,6287
airplane,recOGrxo9eZvO35sn,14,8,19103
airplane,recOGrxo9eZvO35sn,15,1,5239
airplane,recOGrxo9eZvO35sn,16,0,5572
airplane,recOGrxo9eZvO35sn,17,2,9981
airplane,recOGrxo9eZvO35sn,18,3,10305
airplane,recOGrxo9eZvO35sn,19,1,12747
airplane,recOGrxo9eZvO35sn,20,2,7590
airplane,recOGrxo9eZvO35sn,21,2,9612
airplane,recOGrxo9eZvO35sn,22,0,5693
airplane,recOGrxo9eZvO35sn,23,1,4478
airplane,recOGrxo9eZvO35sn,24,0,2982
airplane,recOGrxo9eZvO35sn,25,33,2947
airplane,recOGrxo9eZvO35sn,26,0,1972
airplane,recOGrxo9eZvO35sn,27,0,84
airplane,recqxic2mwZdfhEAf,11,0,1245
airplane,recqxic2mwZdfhEAf,12,10,22778
airplane,recqxic2mwZdfhEAf,13,5,6267
airplane,recqxic2mwZdfhEAf,14,3,17183
airplane,recqxic2mwZdfhEAf,15,9,21273
airplane,recqxic2mwZdfhEAf,16,8,20368
airplane,recqxic2mwZdfhEAf,17,0,1566
airplane,recqxic2mwZdfhEAf,18,1,4980
airplane,recqxic2mwZdfhEAf,19,0,406
airplane,recqxic2mwZdfhEAf,20,7,3294
airplane,recqxic2mwZdfhEAf,21,8,6498
airplane,recqxic2mwZdfhEAf,22,7,3892
airplane,recqxic2mwZdfhEAf,23,14,12646
airplane,recqxic2mwZdfhEAf,24,0,2263
airplane,recqxic2mwZdfhEAf,25,8,8950
airplane,recqxic2mwZdfhEAf,26,0,331
airplane,recqxic2mwZdfhEAf,27,2,7775
airplane,recqxic2mwZdfhEAf,28,0,1978
airplane,recr3BwWnOvq4pzzn,7,51,21580
airplane,recr3BwWnOvq4pzzn,8,3,15909
airplane,recr3BwWnOvq4pzzn,9,0,11591
airplane,recr3BwWnOvq4pzzn,10,2,8866
airplane,recr3BwWnOvq4pzzn,11,0,10437
airplane,recr3BwWnOvq4pzzn,12,1,13469
airplane,recr3BwWnOvq4pzzn,13,3,9104
airplane,recr3BwWnOvq4pzzn,14,5,16295
airplane,recr3BwWnOvq4pzzn,15,2,10526
airplane,recr3BwWnOvq4pzzn,16,5,9852
airplane,recr3BwWnOvq4pzzn,17,10,12198
airplane,recr3BwWnOvq4pzzn,18,8,17396
airplane,recr3BwWnOvq4pzzn,19,41,13413
airplane,recr3BwWnOvq4pzzn,20,5,12833
airplane,recUFk9OvT2aezPX4,9,5,3373
airplane,recujVRyuwEKB4NQl,17,17,21420
airplane,recujVRyuwEKB4NQl,18,15,16353
airplane,recujVRyuwEKB4NQl,19,2,11568
airplane,recujVRyuwEKB4NQl,20,4,9574
airplane,recujVRyuwEKB4NQl,21,3,4905
airplane,recujVRyuwEKB4NQl,24,31,4730
airplane,recujVRyuwEKB4NQl,25,29,6852
airplane,recujVRyuwEKB4NQl,26,1,4993
airplane,recVizCjdU71xWg7E,15,0,4
airplane,recVizCjdU71xWg7E,16,2,11463
airplane,recVizCjdU71xWg7E,17,14,16580
airplane,recVizCjdU71xWg7E,18,14,17841
airplane,recVizCjdU71xWg7E,19,3,3194
airplane,recVizCjdU71xWg7E,20,0,297
airplane,recxPupsY5Np2yVAd,8,0,6059
airplane,recxPupsY5Np2yVAd,9,5,25864
airplane,recxPupsY5Np2yVAd,10,1,11895
airplane,recxPupsY5Np2yVAd,11,26,21003
airplane,recxPupsY5Np2yVAd,12,14,20392
airplane,recxPupsY5Np2yVAd,13,10,29544
airplane,recxPupsY5Np2yVAd,14,3,24767
airplane,recxPupsY5Np2yVAd,15,17,18305
airplane,recxPupsY5Np2yVAd,16,31,28031
airplane,recxPupsY5Np2yVAd,17,4,21560
airplane,recxPupsY5Np2yVAd,18,8,24632
airplane,recxPupsY5Np2yVAd,19,10,15943
airplane,recxPupsY5Np2yVAd,20,4,11940
airplane,recyCHTCOGMZQJSAR,9,2,9963
airplane,recyCHTCOGMZQJSAR,10,9,12189
airplane,recyCHTCOGMZQJSAR,11,0,4139
airplane,recyCHTCOGMZQJSAR,12,0,10710
airplane,recyCHTCOGMZQJSAR,13,0,11099
airplane,recYKlpWFr3fFEdKW,9,2,5445
airplane,recYKlpWFr3fFEdKW,10,2,16375
airplane,recYKlpWFr3fFEdKW,11,4,16705
airplane,recYKlpWFr3fFEdKW,12,3,15652
airplane,recYKlpWFr3fFEdKW,13,0,14595
airplane,recYKlpWFr3fFEdKW,14,2,11918
airplane,recYKlpWFr3fFEdKW,15,1,7821
airplane,recYKlpWFr3fFEdKW,16,5,12165
airplane,recYKlpWFr3fFEdKW,17,2,4039
airplane,recYKlpWFr3fFEdKW,18,8,10713
airplane,recYKlpWFr3fFEdKW,19,0,3671
airplane,recYKlpWFr3fFEdKW,20,0,3276
airplane,recYKlpWFr3fFEdKW,21,0,372
airplane,recYKlpWFr3fFEdKW,22,0,1059
alligator,rec0EcJ7oBNRT5bhx,12,23,7516
alligator,rec0EcJ7oBNRT5bhx,13,52,16858
alligator,rec0EcJ7oBNRT5bhx,14,35,11807
alligator,rec0EcJ7oBNRT5bhx,15,38,13958
alligator,rec0EcJ7oBNRT5bhx,16,32,9976
alligator,rec0EcJ7oBNRT5bhx,17,53,18513
alligator,rec0EcJ7oBNRT5bhx,19,33,3489
alligator,rec0EcJ7oBNRT5bhx,20,7,1701
alligator,rec0EcJ7oBNRT5bhx,21,10,1922
alligator,rec0nymAmYonX6B6v,8,14,2954
alligator,rec0nymAmYonX6B6v,9,108,16998
alligator,rec0nymAmYonX6B6v,10,58,16391
alligator,rec0nymAmYonX6B6v,11,83,19176
alligator,rec0nymAmYonX6B6v,12,65,22729
alligator,rec0nymAmYonX6B6v,13,128,27063
alligator,rec0nymAmYonX6B6v,14,88,21144
alligator,rec0nymAmYonX6B6v,15,76,25456
alligator,rec0nymAmYonX6B6v,16,170,35796
alligator,rec0nymAmYonX6B6v,17,105,32657
alligator,rec0nymAmYonX6B6v,18,124,18232
alligator,rec0nymAmYonX6B6v,19,112,15844
alligator,rec22KGfMFYFJ1VIN,13,8,6103
alligator,rec22KGfMFYFJ1VIN,15,0,1024
alligator,rec22KGfMFYFJ1VIN,16,6,6136
alligator,rec22KGfMFYFJ1VIN,17,33,18024
alligator,rec22KGfMFYFJ1VIN,18,0,2111
alligator,rec5si0kLzA1zzyzb,10,34,2845
alligator,rec5V0nj9xtXTgxpJ,10,226,25049
alligator,rec5V0nj9xtXTgxpJ,11,243,30160
alligator,rec5V0nj9xtXTgxpJ,12,386,34853
alligator,rec5V0nj9xtXTgxpJ,13,160,38868
alligator,rec5V0nj9xtXTgxpJ,14,191,37839
alligator,rec5V0nj9xtXTgxpJ,15,92,14241
alligator,rec5V0nj9xtXTgxpJ,16,64,14525
alligator,rec5V0nj9xtXTgxpJ,17,93,16171
alligator,rec5V0nj9xtXTgxpJ,18,48,9760
alligator,rec5V0nj9xtXTgxpJ,19,34,7500
alligator,rec5V0nj9xtXTgxpJ,20,30,11485
alligator,rec5V0nj9xtXTgxpJ,21,2,5410
alligator,rec5V0nj9xtXTgxpJ,22,29,11846
alligator,rec5V0nj9xtXTgxpJ,23,74,11268
alligator,rec5V0nj9xtXTgxpJ,24,125,17691
alligator,rec5V0nj9xtXTgxpJ,25,74,8109
alligator,rec5V0nj9xtXTgxpJ,26,98,15163
alligator,rec5V0nj9xtXTgxpJ,27,55,9997
alligator,rec5V0nj9xtXTgxpJ,28,34,8925
alligator,rec6yLz5EWMrxNI3A,13,35,8622
alligator,rec6yLz5EWMrxNI3A,14,7,2669
alligator,rec6yLz5EWMrxNI3A,15,15,5730
alligator,recDFI56wO7AglqfO,10,0,1250
alligator,recDFI56wO7AglqfO,11,16,4334
alligator,recDFI56wO7AglqfO,12,103,16635
alligator,recDFI56wO7AglqfO,13,214,18503
alligator,recDFI56wO7AglqfO,14,87,14613
alligator,recDFI56wO7AglqfO,15,135,7209
alligator,recDFI56wO7AglqfO,16,352,16298
alligator,recDFI56wO7AglqfO,17,219,9762
