,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cracker,0.96957725,1.1068413,1.0508363,0.980125,1.0585306,1.1213478,0.84537655,0.86733264,1.0321438,1.1056018,1.0544363,1.0908746,0.95217353,1.1310462,1.0113249,1.1824243,0.93415123,1.1473274,0.9781985,0.9542255,0.5849164,0.97282714,1.1298432,1.1803881,1.0884804,1.0086341,1.0308961,1.1480674,1.058995,1.0232354,1.0422646,0.9987223,1.1198937,0.0,1.0694252,1.0602378,1.1180687,0.91990966,1.139513,1.0249438,1.0663954,1.0497161,1.0011669,1.0629992,1.0118575,0.9958361,1.117934,1.0524267,1.0739636,0.99754727,1.0716456,0.9247874,0.9867988,1.0792363,0.85611284,0.89924085,1.0079598,1.1366012,1.043612,1.0328157,1.0925066,1.0478002,0.87223536,1.0134908,1.1659876,1.1440024,1.1078544,1.0438042,1.1542872,1.0274959,1.1268356,1.0488749,1.060812,1.0760642,1.0275278,0.9515427,0.7862404,0.9225515,1.1674736,1.157562,0.9539221,1.0996215,1.0467411,0.88480526,0.9314047,0.90271634,1.0675433,1.1014944,0.853748,1.022908,1.0198636,1.0674846,0.94066167,0.5369926,1.0311534,0.87073004,1.1585586,0.7706772,0.9754997,1.0357466,0.87445396,1.0316352,0.9484344,0.9484379,0.9681635,1.1015182,1.1287723,0.94069844,1.0854903,1.091768,1.0891243,0.94651544,1.0472689,1.1363711,0.8161547,1.0354545,0.9935716,0.65959626,1.0849644,1.1308857,0.97035,0.8160666,1.0261763,1.1249144,1.0418935,1.0151035,0.98032844,1.1098707,0.986768,0.8830287,0.9860045,0.9718107,0.84722114,1.0045613,1.0866078,1.1194763,1.1245353,1.0863774
crayon,1.412245,0.9207943,0.49608535,1.4263179,0.72667986,0.6735232,0.6200552,1.069518,1.3913743,1.5696291,0.4055525,1.3430511,1.3200846,0.4785056,1.553549,1.166757,0.6701206,0.22440124,0.63801116,1.1455894,0.7092553,0.6462851,0.8375034,0.6504444,0.8597231,0.7707659,1.2271177,1.1456304,0.3157419,1.4849241,1.1191999,1.3391874,1.4879104,1.0694252,0.0,1.5258942,0.33507133,0.9382118,1.4540226,1.3688216,1.3556329,1.0538977,1.3988895,1.0378296,0.95617837,0.40822536,1.2195086,1.3048892,0.45004725,1.1330016,0.31534767,0.8415561,1.2002047,0.15939426,0.92401946,1.0528034,1.4121393,0.54659474,0.70011586,1.3167077,0.35186005,1.3272552,0.5649373,1.2672822,0.3649503,1.3788612,1.3789804,1.2848954,1.3998164,0.9217977,1.4141374,1.1379173,1.2109764,0.31075197,1.2236791,1.3478483,1.1933151,1.3613892,1.3224926,0.21141571,0.31136125,0.38583893,0.6071021,0.7064282,1.074187,1.2353748,1.5514534,1.4574667,1.1442854,0.08908081,0.091561794,1.0234735,0.87412465,0.9013083,1.1291491,0.5367377,0.85286516,1.1284715,1.3299098,0.74431056,1.0654659,1.3180056,1.1425045,1.3028362,1.1946644,1.3327646,1.469686,1.1693009,1.1099342,1.0936675,1.273001,1.2726657,1.2275763,0.20900214,1.0306222,0.28859353,0.68125075,1.079793,0.3519702,1.2742488,0.928925,0.8957093,1.3302987,1.3179269,1.3043137,1.5942446,0.57737875,0.4397843,0.5232765,1.1249299,0.25984514,0.6438155,1.1322815,1.2432115,0.89560246,1.2489201,0.21516728,1.2810009
crib,0.630667,1.3072779,1.5379562,0.7546419,1.3172091,1.3605341,1.3579152,0.669291,0.49227518,0.41768742,1.5103705,0.3138156,0.6993957,1.4680704,0.48118305,0.86695635,0.992182,1.5224913,1.3647254,0.5805068,1.3640959,1.112078,1.1023167,0.9967295,1.2833716,1.0765238,0.85410637,0.40961325,1.5294399,0.44329286,0.9751307,0.5327227,0.38327134,1.0602378,1.5258942,0.0,1.477,1.1414194,0.699418,0.6891701,0.51484835,0.68874425,0.60979843,1.2128994,1.1108853,1.5345901,0.9887531,0.8255515,1.4104708,0.75372565,1.4983506,1.1308193,0.95004904,1.4832709,1.1790643,1.0328754,0.7934985,1.3537288,1.341162,0.87164056,1.4846466,0.82239866,1.3509609,0.912056,1.5419185,0.6210894,0.8204378,0.7001244,0.71246105,1.1579744,0.6188626,0.81839335,0.31399596,1.399699,0.9428653,0.90024865,1.0197252,0.76529866,0.7556813,1.5185659,1.3914683,1.4457068,1.3975105,1.3008435,0.77191067,0.9545857,0.54684126,0.52025604,0.67758787,1.450506,1.4397583,1.2197688,0.90868497,1.2375909,0.9989398,1.4308887,1.2637553,1.0543935,0.5714455,1.1447579,1.227074,0.5166535,1.0019965,0.74839485,0.8446904,0.72049874,0.6418395,0.9438478,1.0046663,0.9026278,0.58890575,0.75716347,0.67501235,1.585295,1.0767381,1.5064749,1.2228128,1.2185916,1.47168,0.8222067,1.0523034,1.192623,0.38001835,0.7500168,0.68883747,0.24794662,1.4528232,1.503725,1.265162,0.7860302,1.376765,1.1245462,0.7095678,0.9026805,1.2746782,0.42672747,1.5353484,0.57955366
cup,1.5821865,0.82047117,0.52666366,1.5603925,0.6757094,0.6248281,0.8352183,0.7730863,1.4670612,1.6182823,0.46594536,1.3321642,1.3982446,0.35176307,1.6510191,1.0901278,0.6948914,0.10585022,0.24979186,0.9211569,0.69637245,0.80577683,0.3609568,0.3907485,0.69969845,1.0628831,1.3127708,1.050622,0.33700728,1.4425675,1.1483401,1.4387393,1.5340108,1.1180687,0.33507133,1.477,0.0,0.7862391,1.5207729,1.335991,1.2565094,1.0181279,1.3563323,0.826364,1.2083268,0.41632378,1.3628207,1.3497152,0.7544036,1.150387,0.55681187,0.88605773,1.3290884,0.43580496,1.0799407,1.0704064,1.280552,0.7404311,0.73805237,1.3798964,0.411322,1.4286479,0.7552104,1.3700086,0.34336483,1.2373552,1.481555,1.4382056,1.4560306,0.44984823,1.5834521,1.1243539,1.1918178,0.2566085,1.3705747,1.3270707,1.1212412,1.4844337,1.2386713,0.38558805,0.2988425,0.49246776,0.6936489,0.6656339,0.7335543,1.3279079,1.6031812,1.538306,1.0708288,0.4282645,0.46293473,0.8350922,1.0157119,0.83540183,0.947195,0.37410158,0.6843027,1.0548824,1.1620632,0.48360085,0.87301767,1.1178619,1.2019453,1.373085,1.2433245,1.3894943,1.5567853,1.162736,1.0853841,1.1570364,1.2740042,1.07735,1.2396425,0.3543042,1.1057558,0.31682217,0.74204814,0.83950293,0.39901292,1.2759511,1.0434157,0.9714059,1.2317882,1.446817,1.4338067,1.5025767,0.4200034,0.6690333,0.73859495,1.3360214,0.3110745,0.67746377,0.8809294,1.255692,0.7225553,1.2308011,0.31439817,1.2035902
dish,1.2424128,0.97833633,0.96734947,1.2634543,1.1061949,1.027287,0.9244718,0.84609354,1.0227597,1.2116817,0.9105971,1.1103953,1.1667657,0.91204274,1.2292222,0.94108236,0.97230345,0.8559821,0.5956967,1.0371082,0.7565743,0.87321734,0.6867314,0.8886055,0.90073025,1.1501663,1.2042643,1.0380218,0.9312889,1.159093,1.1097513,1.1669675,1.2374308,0.91990966,0.9382118,1.1414194,0.7862391,0.0,1.1786712,1.0703819,1.0876186,0.90334046,1.1719613,0.9403953,1.1045218,0.81298923,1.1843922,1.1813256,1.0361828,1.183098,0.9145966,1.0609055,1.0439159,0.824547,1.0254292,1.0762172,1.1440213,1.0030038,1.0140226,1.1332685,0.98462033,1.1741344,0.9029817,1.1603212,0.9632881,1.0351686,1.1585354,1.0978545,1.2811153,0.8050597,1.2713718,0.94448256,1.0468268,0.826612,1.1134106,0.8509884,1.0416167,1.1896454,1.0806535,1.009362,0.9022736,0.87395906,1.0529215,0.9335832,0.824702,1.1412834,1.2025174,1.2295077,1.096104,0.90364313,0.90519,0.922995,1.1047187,0.8138908,0.90273,0.6208191,0.90934634,0.99562895,1.0365368,0.86296296,0.9605124,0.9510655,0.9946819,1.1150283,1.16824,1.0616181,1.2766225,0.97622675,1.107775,0.9124019,1.0990558,0.64206475,1.0313983,0.8475687,1.0570188,0.8677481,1.0518446,0.6769035,0.6429317,1.045604,0.9854617,0.89805484,1.0638139,1.2023636,1.1074778,1.102397,0.8446247,0.9704131,1.003403,1.1274159,0.9264319,0.9971313,0.8363693,1.1735297,0.9184606,1.1111288,0.8752179,1.1485814
dog,0.6226121,1.0655181,1.3747299,0.537632,1.2658153,1.2628396,1.2178771,1.2972865,0.58571357,0.3929975,1.2960508,0.863699,0.7037429,1.3311806,0.47585744,1.1566484,1.3827057,1.4332626,1.535219,1.169746,1.33184,1.353029,1.4956563,1.3636694,1.2210352,0.89575285,0.42062724,0.9970101,1.3574107,0.616566,0.75407183,0.68366426,0.524819,1.139513,1.4540226,0.699418,1.5207729,1.1786712,0.0,0.59891605,0.75267017,1.1707907,0.6284239,1.1430575,0.8137433,1.3143164,0.52787614,0.6582904,1.1219336,0.99978215,1.34258,1.1916639,0.6406328,1.4163091,1.0879445,0.9835249,0.8803673,1.0674018,1.1700857,0.6153612,1.4037654,0.40693426,1.238664,0.7323983,1.2595724,0.81286466,0.5115497,0.84247035,0.61018866,1.34265,0.42375195,1.0010022,0.9537438,1.4771919,0.5874283,0.8084259,1.1849664,0.74109024,0.88050234,1.2491105,1.4217246,1.1598846,1.11166,1.343389,1.1742609,0.6381971,0.42686617,0.5120665,1.0641552,1.4671705,1.477615,1.1662806,1.0555046,1.2732404,1.1758808,1.5459869,0.97829145,1.3229845,1.0335974,1.3778949,1.1590707,0.86739206,0.85117924,0.81797534,0.8857265,0.8644253,0.44155878,1.018992,0.9620477,1.1260074,0.6103424,1.0132906,1.0115025,1.3146671,0.8352231,1.4144169,1.1878563,1.2780836,1.5008245,0.9208145,1.2533677,1.1618928,0.9436812,0.57360214,0.824206,0.6270846,1.4773643,1.0810388,1.0526497,0.94828683,1.4063897,1.3719306,1.2493336,0.9206201,1.1898973,0.8999082,1.3623188,0.81233925
doll,0.7865455,0.8989592,1.2537308,0.74197704,1.1254804,1.1917485,1.0936424,0.93996125,0.9429378,0.6612062,1.198848,0.8404296,0.5990629,1.2293909,0.6865281,1.05981,1.0184511,1.2670956,1.3257256,0.8822619,1.1001904,1.133399,1.1730822,1.0321712,1.061576,0.8671369,0.99118996,0.7732546,1.3366857,0.8102956,0.8559564,0.9304435,0.6608442,1.0249438,1.3688216,0.6891701,1.335991,1.0703819,0.59891605,0.0,0.83837986,0.9794391,0.64480746,1.0723397,0.96510315,1.2166175,1.0470338,0.81871986,1.1291279,1.0911398,1.2845184,1.0148094,0.6071663,1.332269,0.9079921,1.2446674,1.0332514,1.1297622,0.9133687,0.9846886,1.1410105,0.70711297,1.1101483,0.73579603,1.1809891,1.0755988,0.97798586,0.96080136,0.95772636,1.0738229,0.7086848,1.0421958,0.75429046,1.3496855,0.873351,0.87039435,0.9563894,0.6116585,1.0904492,1.2757286,1.2199292,1.1797447,1.1219096,1.0996675,1.0105592,1.0744643,0.47472394,0.6824093,0.939607,1.3523176,1.3412417,1.102853,0.8353922,1.0620207,1.1087147,1.3175323,1.0639861,1.0913872,0.7551595,1.1491113,1.0737064,0.8973918,1.0925947,0.8043602,0.64922833,0.9692003,0.7258662,0.9095029,0.7613422,1.010151,1.0282911,1.131906,0.9814113,1.240267,1.2470362,1.2936301,0.8866615,1.1323026,1.2888894,1.0251734,1.0766808,0.9848896,0.61949146,0.89096344,0.8972141,0.74227464,1.2584252,1.0556389,1.004522,0.7460357,1.2011763,0.9694235,1.0223749,1.1626757,1.0840164,0.8155632,1.2602364,0.9547437
door,0.8275641,1.2222939,1.4182043,0.8682402,1.2906575,1.2503842,1.2952003,1.0110769,0.3222369,0.5717218,1.2991047,0.6353437,0.9084149,1.2368547,0.6566045,1.0131327,1.1874294,1.2606575,1.272583,0.7969471,1.2725303,1.107072,1.172646,0.90789014,1.1840098,1.0001634,0.66867965,0.7020989,1.2582307,0.2942493,0.9642426,0.6448623,0.58910286,1.0663954,1.3556329,0.51484835,1.2565094,1.0876186,0.75267017,0.83837986,0.0,0.60628676,0.58065367,1.1584861,1.0514189,1.3626791,0.9918499,0.8535074,1.285329,0.9239675,1.3510833,1.1986319,0.96565115,1.3000474,1.2270583,0.89975715,0.89728796,1.1845293,1.2768971,0.8153957,1.38263,0.85507095,1.2809443,0.958313,1.3296615,0.866887,0.98445046,0.8426163,0.8027159,1.1272837,0.70427406,0.8952967,0.75987625,1.1648657,0.8745301,1.0497483,1.0864177,0.9614158,0.9809889,1.305697,1.1305118,1.1958344,1.1617048,1.2920079,0.6731715,0.8494771,0.6688939,0.58438534,0.807736,1.3056574,1.3108015,1.1878761,0.89638007,1.19929,1.0173548,1.2986641,1.1818283,1.1843315,0.93903476,1.0666428,1.1429682,0.29271388,0.925266,0.9673492,0.9069206,0.9339398,0.750389,1.1513654,1.0371437,1.0376889,0.36848193,0.7625612,0.94643277,1.3695159,0.9507599,1.328996,1.1547711,1.1539258,1.3495913,1.0128014,1.1148596,1.215101,0.81796813,0.8125504,0.8546951,0.5875352,1.3103833,1.2829583,1.2172517,0.9861261,1.1528546,1.2811749,0.9631628,0.92101395,1.1797462,0.5927548,1.333899,0.4745084
drawer,1.1089785,1.1143478,1.1227785,1.1011279,1.0126609,0.9400219,1.1120971,0.852012,0.65915966,0.91358155,0.9455012,0.61012983,1.0279287,1.1864691,0.94121456,0.9327835,0.7480073,1.0386847,0.9283199,0.44079423,1.0720482,0.8267424,0.90181774,0.7219202,1.1127632,0.9917996,1.0960829,0.6218531,1.0725238,0.7929821,1.148881,0.920906,0.80578095,1.0497161,1.0538977,0.68874425,1.0181279,0.90334046,1.1707907,0.9794391,0.60628676,0.0,0.9709245,1.0667434,1.0275706,1.1392493,1.1523942,1.0782173,1.0323167,1.0129105,1.0787723,1.116316,1.0176176,1.0957891,1.0850974,1.1449882,1.0569568,1.0834401,1.030452,1.0458596,1.0203061,1.1323137,1.1289365,0.9769296,1.1438874,1.0451589,1.234022,0.96322936,1.0900542,0.9302677,0.97163135,0.73894525,0.8138757,0.9168043,1.1653644,1.0957358,0.94024247,0.9763984,1.0759039,1.1685817,0.9827995,1.0658367,1.0169076,1.0460098,0.5412812,1.1612251,1.023894,0.9002993,0.67493355,0.92906284,0.9152927,1.0341014,0.77576566,1.0881087,1.0500925,0.99178755,1.1401973,1.0990407,0.7415359,0.6597282,1.0060471,0.5379474,1.0535055,1.0499607,1.0786886,0.9614009,1.1102501,0.9891349,0.9847778,1.0120802,0.8964495,0.69041777,1.0651104,1.1346359,1.184058,1.0889108,0.98562163,1.0875298,1.0716727,1.122766,1.0491658,1.0419446,0.83564526,1.1167313,1.1401756,0.76451534,0.970408,1.09482,1.0570893,0.95504695,1.0107275,0.9750716,0.60656285,1.1328647,1.1327533,0.63476276,0.9815486,0.90928316
dress,0.7831385,1.080752,1.4071605,0.7291696,1.2696837,1.2702429,1.2764788,0.9484983,0.7045451,0.601935,1.3271666,0.8366647,0.7038589,1.2365166,0.5229106,1.0926911,1.262647,1.2808312,1.4068229,0.93563217,1.236862,1.1507559,1.2456183,1.0062325,1.2053365,0.90640587,0.7152474,0.8260327,1.3365033,0.56437695,0.78844815,0.7114116,0.68112665,1.0011669,1.3988895,0.60979843,1.3563323,1.1719613,0.6284239,0.64480746,0.58065367,0.9709245,0.0,1.1659251,0.92124367,1.3494362,0.9031488,0.77110195,1.2814503,0.8915769,1.401782,1.0866209,0.8383573,1.3272729,1.1491467,1.060697,0.9051282,1.1503155,1.2079873,0.9624649,1.36007,0.7539192,1.2091309,0.89895755,1.2866243,0.9858713,0.8796832,0.8678341,0.72322196,1.140808,0.5536462,0.940483,0.8076932,1.3429316,0.61355966,0.9443949,1.1405663,0.84502757,1.0280133,1.2884722,1.1567241,1.1575211,1.1333429,1.2884123,0.92435926,0.80228376,0.3627637,0.3886422,0.9476754,1.3794415,1.4061079,1.2194549,0.97030723,1.1642399,1.0742202,1.4212644,1.1951438,1.2014216,0.8300711,1.2584734,1.0624614,0.66737103,1.0123193,0.8259098,0.43334055,0.9433688,0.56490934,1.0336939,0.8097069,1.0774056,0.70941865,1.0230259,0.98661953,1.3249764,1.0167183,1.3262209,1.1419501,1.1776131,1.370099,1.0064133,1.1224953,1.1426566,0.72585833,0.7112172,0.82743573,0.70129204,1.4092437,1.2050959,1.1318703,0.9959436,1.1160076,1.3050699,1.1355416,0.90828997,1.2250081,0.74040306,1.3403708,0.6932782
duck,1.2080785,0.7922646,0.8710477,1.2358519,0.7893286,0.8591885,1.0986621,0.9412934,1.275985,1.1910086,0.8770537,1.1237746,1.2428689,0.7405593,1.1848984,0.8129235,0.8991022,0.86677325,0.78793526,0.9160907,0.89044166,0.93595415,0.7664523,0.9840914,0.74428713,1.2162158,1.2139522,1.123454,0.86331713,1.1859063,1.0933359,1.2432296,1.2211716,1.0629992,1.0378296,1.2128994,0.826364,0.9403953,1.1430575,1.0723397,1.1584861,1.0667434,1.1659251,0.0,1.3010421,0.9762145,1.1634036,1.186207,1.273044,1.013594,0.7443735,0.97353095,1.1854808,0.99670535,0.90945315,1.0757184,0.9798889,1.2062383,0.96059126,1.122488,0.8173583,1.2110641,1.0469702,1.2339281,0.8647255,1.0279267,1.0956516,1.0801258,1.1272763,0.646413,1.3348317,1.0072981,1.1266401,0.89314437,1.2185639,1.1276693,1.0329727,1.1929123,0.96847016,1.0405153,1.0070949,1.1069176,1.0332932,0.9793662,0.9120293,1.1518513,1.2759557,1.3178765,1.0925647,1.02629,1.0573261,0.31609958,1.1965306,0.8661729,0.8226557,0.75334275,0.672856,0.8655427,1.0249624,0.6961864,0.6909307,1.1359241,1.0577135,1.0774616,1.0945002,1.0672789,1.2713901,0.9791737,1.1083786,1.0366795,1.2266092,1.114082,0.9503742,0.97721916,1.1210288,0.92558044,1.0242383,0.8539294,0.7982799,1.0321395,0.9128743,1.0628874,1.0934008,1.2029184,1.1358831,1.1415358,0.76510966,1.1692425,1.2587603,1.2341952,1.022965,0.79873824,0.8709381,1.0294695,0.6844825,1.135697,0.9568749,1.0916798
ear,0.9061471,1.0212204,1.0155228,0.87844074,1.0157964,1.0155495,0.7687377,1.2564404,0.9691154,0.9948619,0.955072,1.1937689,0.7861966,1.1706823,0.91772926,1.1752973,1.1921453,1.0870456,1.2941071,1.1875763,1.0932446,1.0962918,1.2997932,1.1458199,1.2232199,0.82210195,0.79802907,1.147306,1.0223458,0.9433436,0.8157042,0.99817526,0.95682085,1.0118575,0.95617837,1.1108853,1.2083268,1.1045218,0.8137433,0.96510315,1.0514189,1.0275706,0.92124367,1.3010421,0.0,0.94106483,0.80416656,0.7794193,0.45094138,1.1787102,1.0136086,1.074365,0.7764568,0.9703422,0.99888474,1.1067171,1.0659356,0.50069845,0.8123088,0.9700658,0.9889995,0.61160874,0.84506327,0.58744967,0.84220016,1.1662006,0.8658335,1.0317754,0.8599693,1.3098991,0.7490246,1.1101769,1.1400957,1.0956432,0.73604107,0.8717655,1.0589325,0.682508,1.1455251,0.8199899,1.0605028,0.70362234,0.638983,0.9604778,1.2816513,0.91931313,0.8968465,0.81675106,1.1115139,1.0242678,0.9803071,1.2647066,0.93199944,1.1933393,1.260838,1.2352538,1.19322,1.1798288,1.0128497,1.2557199,1.1610404,1.1285322,1.017812,0.9933673,0.9289121,1.0309478,0.7834701,0.9924105,0.9415429,1.1599444,0.968878,1.064701,1.1558931,0.8496666,0.9644407,1.0084012,1.048009,1.1746852,1.1613655,1.068547,1.1263725,0.86464274,1.0626357,0.8021564,1.060008,1.1227603,1.0950302,0.51494956,0.6651331,0.8113522,1.0082614,1.1526473,1.3578608,1.1253836,1.2285386,1.1185038,0.82514805,1.2044073
egg,1.415332,0.854056,0.38780636,1.3490207,0.5595461,0.524718,0.56361073,1.0838097,1.4560205,1.4880859,0.517413,1.4325037,1.2147892,0.5295316,1.5048003,1.2582152,0.8975475,0.3708045,0.5529085,1.2479093,0.5896246,0.9418831,0.79636693,0.8404082,0.86337227,0.8177144,1.2409141,1.2777061,0.30819166,1.4478815,1.0322747,1.423388,1.434597,0.9958361,0.40822536,1.5345901,0.41632378,0.81298923,1.3143164,1.2166175,1.3626791,1.1392493,1.3494362,0.9762145,0.94106483,0.0,1.1588863,1.2212808,0.56348836,1.2631874,0.576503,0.91727954,1.155148,0.48037934,1.0012239,1.0966593,1.3592337,0.67789096,0.7926032,1.2859354,0.45305473,1.225026,0.51689935,1.2139152,0.39880812,1.2852745,1.3099433,1.4529456,1.3635173,0.9055388,1.3789583,1.2731134,1.3004346,0.5183617,1.1714563,1.1260408,0.92351186,1.2559129,1.290147,0.30620837,0.5004598,0.48833895,0.60534793,0.35327822,1.0710956,1.2497021,1.4218205,1.4225265,1.2456495,0.5502125,0.5631927,1.0233759,0.99890465,0.7880818,1.1747613,0.4756198,0.73163116,0.9096461,1.2910995,0.8394904,1.0154653,1.2963665,1.1769592,1.2731378,1.2154673,1.3781058,1.3801405,1.2391771,1.130275,1.2222521,1.329365,1.2439307,1.3030589,0.4012642,1.0985302,0.25011486,0.8336375,0.8889453,0.539913,1.2690004,1.1162097,0.7773568,1.3523602,1.2930987,1.3016101,1.5162519,0.45079017,0.47618437,0.57247233,1.2629817,0.47580135,0.73471534,1.0950041,1.2415752,0.87155896,1.4418284,0.40661937,1.3281224
elephant,0.7794105,0.93714964,1.1526663,0.54933774,1.1959645,1.0957606,1.1259288,1.3628347,0.8365443,0.6416266,1.0843279,1.0361944,0.8298215,1.2948167,0.7142323,0.9913864,1.3482537,1.3285997,1.3727143,1.3037062,1.2264297,1.163688,1.3787594,1.3617713,1.1609523,0.8707876,0.7091282,1.1904922,1.1919513,0.88383996,0.8543544,0.94466555,0.80159897,1.117934,1.2195086,0.9887531,1.3628207,1.1843922,0.52787614,1.0470338,0.9918499,1.1523942,0.9031488,1.1634036,0.80416656,1.1588863,0.0,0.7352601,0.9325778,0.8707626,1.1541548,1.1574914,0.9017744,1.2324935,1.1196884,0.915143,0.8868571,0.9845213,1.1486368,0.76390666,1.2684112,0.58856535,1.1201235,0.83601606,1.2013527,0.89332163,0.49897188,0.92994153,0.6280735,1.2691967,0.58851707,1.0360489,1.0953847,1.2801383,0.7875595,0.80823195,1.0460042,0.9628662,0.85266316,1.0738392,1.2769506,1.0993468,1.0306269,1.2397661,1.1946067,0.7485157,0.6517534,0.7337207,1.1408085,1.2296283,1.2400022,1.1186782,1.1196386,1.1916625,1.0337565,1.3625348,1.1694822,1.1650671,1.2008841,1.2893432,1.0561707,1.0375983,0.9176178,0.92537963,0.95075804,0.8583473,0.5859935,1.1237695,0.9229,0.99254304,0.8642254,1.0909961,0.9370218,1.1939057,0.88343537,1.2611781,1.0396546,1.1394153,1.2879143,0.81336784,1.092764,1.1219386,1.2398624,0.6629924,0.7971535,0.905723,1.3109522,0.95738244,1.061956,0.9629594,1.2878749,1.4076641,1.2632267,0.7144366,1.1503012,1.1372331,1.2606571,0.850332
face,0.6742999,1.1703186,1.2218161,0.7174014,1.0773941,1.1245853,1.0793493,1.2073555,0.8321611,0.6243485,1.3626863,0.9848788,0.8489145,1.2931651,0.7376198,1.0607615,1.1736052,1.330787,1.3142936,1.0458014,1.2046566,1.2079747,1.3321791,1.3133196,1.126641,1.0862794,0.88181126,1.1012442,1.1947541,0.63866985,0.7161994,0.8140442,0.6179153,1.0524267,1.3048892,0.8255515,1.3497152,1.1813256,0.6582904,0.81871986,0.8535074,1.0782173,0.77110195,1.186207,0.7794193,1.2212808,0.7352601,0.0,1.129649,0.93038416,1.2310386,1.034784,0.93320966,1.2795258,1.0122063,1.1395419,0.8206042,0.7902387,1.2802262,0.88178456,1.2576087,0.45848143,1.112994,0.7837912,1.244383,0.85140795,0.75435925,0.91509587,0.67785156,1.2785952,0.6600231,0.9709422,1.0511405,1.2969784,0.86938083,0.85540134,0.98985887,0.7775669,0.8927555,1.1541038,1.3673394,1.2658156,1.0565804,1.1460158,1.1544313,0.98825455,0.59649783,0.65531826,1.0321771,1.3229163,1.3031533,1.1931882,1.0480341,1.1236684,1.0876164,1.2917607,1.1131712,1.1594286,0.96741045,1.2503167,1.1542461,0.9053982,1.1334779,0.88897866,0.9419018,0.8355951,0.4243369,1.0098199,1.0460538,1.0656687,0.9021148,0.9741625,0.9688024,1.3164728,1.0997496,1.2562423,1.3025078,1.0527993,1.3505816,0.889229,1.1677387,1.0265267,0.9284481,0.80452305,0.80874145,0.7567575,1.2484475,1.1531398,1.0298607,0.89085543,1.3559151,1.202631,1.1111106,0.86533165,1.1249919,0.91851145,1.2759285,0.8269733
finger,1.1986488,0.791147,0.6964876,1.0107573,0.8250705,0.7860708,0.6239714,1.2055771,1.2657799,1.3096247,0.5763868,1.3623911,1.0209658,0.8605542,1.2689481,1.2682168,0.94727784,0.6179998,0.9897132,1.226763,0.88770604,0.93953747,1.0771669,0.85688156,1.1165961,0.5718786,1.0076526,1.1826198,0.6645564,1.306662,0.9567658,1.2475246,1.2232997,1.0739636,0.45004725,1.4104708,0.7544036,1.0361828,1.1219336,1.1291279,1.285329,1.0323167,1.2814503,1.273044,0.45094138,0.56348836,0.9325778,1.129649,0.0,1.2244117,0.70006776,1.0297946,0.7681099,0.59004307,1.0726062,1.0261009,1.2889504,0.41375715,0.52541935,1.0787716,0.6019896,1.0083679,0.6362233,0.6127415,0.5135327,1.3289372,1.1169327,1.3012292,1.1484284,1.172409,1.0206162,1.241356,1.2073864,0.75923985,0.8992767,0.9623971,1.0951962,0.921898,1.3498759,0.4180498,0.6580044,0.42784488,0.522645,0.77230215,1.2121584,1.0261636,1.2159693,1.1700073,1.1182734,0.57092905,0.52170753,1.2155318,0.830191,1.0708346,1.294158,0.954399,1.0633472,1.1807078,1.2028234,1.0173297,1.1637692,1.292171,1.0703297,1.2291789,1.0877421,1.3139396,1.1139,1.0701016,0.92883307,1.239042,1.1768665,1.2433555,1.3327947,0.41471887,0.98788387,0.5779338,0.694553,1.1890377,0.8050892,1.2945213,1.0745357,0.7670313,1.2706871,1.00589,1.2806054,1.4571826,0.8497614,0.13408482,0.44938326,0.8708382,0.6023776,0.9640055,1.2881761,1.2788222,1.1165497,1.3165382,0.45970434,1.3330979
