,alligator,apple,arm,ball,balloon,basket,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,couch,crayon,crib,cup,dog,doll,drawer,egg,face,finger,fish,flower,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plate,pumpkin,purse,radio,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch
glove,0.7586554,1.1733854,0.9851264,1.0546533,1.0638446,1.0684899,1.0025886,0.8870492,1.0565759,0.5359269,0.9208512,0.92750436,1.1206106,1.1634825,1.1313713,1.1021456,1.0167439,1.1763235,1.0851104,1.0548507,0.90752864,1.0662076,1.0002662,1.2487042,1.0177934,1.2501551,1.1876469,1.2409952,0.77956104,0.6621939,1.1374326,1.0397892,1.1669068,0.9258576,0.81492156,0.9770028,0.9783806,1.0447872,0.9617958,0.0,1.0075084,1.10509,0.9280035,0.8652162,0.9836548,0.94941473,1.1609908,0.9784461,0.8693683,1.0140203,1.0860873,1.187665,1.0778987,0.5059117,0.85728824,1.0553225,1.0895364,0.7782339,1.0324957,1.2029614,0.7361888,0.7358691,1.1036744,0.86086845,1.002785,0.83666056,1.0865122,1.200138,1.2289586,1.049937,1.0739697,1.0285623,0.95563626,0.8152979,0.8536743,0.9768476,1.1450889,0.87369883,0.8407068,1.0982617,0.69690007,1.189153,0.8782667,0.9252488,1.2201142,1.2275509,0.8075006,0.8938433,0.9301749,0.8202108,1.187901,1.2377056,0.9371433,0.9815831
grass,0.7893871,1.1310223,0.93169886,1.2090386,1.2327566,1.2123,0.88960814,0.9696199,1.032737,0.93358964,0.8278848,1.2251391,1.1296872,1.3261657,1.1778332,1.0956769,0.5183484,1.2636184,1.1654161,1.2440027,1.0422401,0.54482085,1.0877303,0.9631106,0.8033037,1.2306135,1.0182817,1.2390902,0.766577,1.256722,1.2124904,1.1668894,0.9566008,1.0472857,0.9835527,1.2150565,0.9536779,0.9888275,1.2180451,1.0075084,0.0,1.3497349,0.7164678,1.0011278,1.2629812,0.8572223,0.9149319,0.77851146,0.7661263,1.0162123,1.1560388,1.1915121,0.7864873,0.97762376,0.9905016,0.55770046,1.2428032,1.0240932,1.1084614,1.1032342,0.98209316,0.77042,0.94401085,1.177366,1.074969,1.1748486,0.62443644,1.0332229,1.1676681,1.24387,1.1789553,1.1777076,0.86034524,0.95148104,0.90613663,1.0642263,0.9591237,1.0815511,1.2116907,0.8839803,1.1627495,0.9677931,0.96543044,0.62303656,0.8769126,1.15331,1.1194272,1.1934606,1.1110547,1.0046642,1.2921162,1.1430547,1.0614876,1.3170538
gum,1.4056766,0.5435945,1.338412,0.5409471,0.7119397,0.73415923,1.5139658,0.8761178,1.2783747,1.4524405,1.5164974,0.8783951,1.0326835,0.33787578,0.47105986,0.99015015,1.1506364,0.41631144,0.9069656,0.6262892,0.8364326,1.1253438,1.1664106,1.2162045,1.5733973,0.35834157,1.3223064,0.5584311,1.2627037,0.89086366,0.8701973,0.67890877,1.1974981,0.76679313,0.96485287,0.63857144,0.76846147,0.917256,0.64788383,1.10509,1.3497349,0.0,1.3864007,1.1085429,0.7413558,1.3348763,0.85144806,1.4078076,1.4697667,0.8417231,1.0121732,0.6277187,1.189137,1.3080462,0.9683701,1.1914382,0.46880066,1.2599382,0.82232195,0.7901269,1.4414439,1.3511747,1.2515465,0.6438028,0.9850198,1.121381,1.1262245,1.1126279,0.59979033,0.7735766,0.8732546,0.48760784,1.3417101,1.2935288,1.4021009,0.7167328,1.2338829,1.1403174,0.59874773,1.2438309,0.9412837,0.9000448,0.95775867,1.477543,1.2166334,0.5656909,0.7008078,0.80440104,0.5418951,1.3141636,0.5272331,0.6727382,1.1635821,0.39577365
hair,0.8880617,1.3363138,0.82223856,1.2879467,1.2336926,1.1412106,0.82902646,0.9975495,0.93955225,0.7675449,0.8049836,1.2449569,1.0172982,1.3637489,1.3437188,1.1792358,0.6704939,1.4250658,1.175482,1.2001892,0.85830253,0.79729486,0.9640605,0.8913016,0.74707127,1.3917224,0.9977541,1.3662318,0.6425102,1.0615426,1.1640301,1.2836765,0.97977054,1.1071765,0.95994455,1.188415,0.91458803,0.956772,1.0988218,0.9280035,0.7164678,1.3864007,0.0,0.8019785,1.1513844,0.6645075,1.0360202,0.8601149,0.6250943,1.2349248,1.1696376,1.2713693,0.87237155,0.9022577,0.84805465,0.6371479,1.3298312,1.0144247,0.8946322,1.1653248,0.7717522,0.8574429,0.788631,1.1964045,0.98557264,1.1943039,0.8497094,1.0385083,1.2708633,1.0241082,1.1388695,1.065094,0.77488625,0.97696286,0.8602929,1.164205,0.94957817,0.99629974,1.321271,0.8677584,1.0939143,0.90153366,1.0690091,0.8120247,0.90497696,1.2873545,1.1968155,1.0995197,1.0505822,0.95880467,1.288547,1.3214388,0.9305396,1.2860451
hand,0.7718495,1.3134046,0.8664428,1.2902824,1.1588506,1.2776066,0.9276722,1.2517124,1.0195616,0.7729484,0.9551678,1.3568864,0.77238834,1.3069882,1.3108759,1.102331,1.0593793,1.3279512,1.2733725,1.2210033,0.7907742,1.085022,1.2101309,0.88432586,0.90719545,1.3131771,1.1402608,1.273406,0.9214895,0.8484342,1.1534636,1.2380205,0.9287647,0.95765567,0.99106205,1.2622052,0.6930856,0.72160363,1.1419919,0.8652162,1.0011278,1.1085429,0.8019785,0.0,1.3365395,0.7416816,0.9220924,0.8689139,0.8607962,1.078426,1.1992905,1.3480965,1.1072751,0.70404744,0.63406736,1.0801833,1.197947,0.93960035,1.1833746,1.3953539,0.60126764,0.83665615,0.58579797,0.7545004,0.3301239,1.2047137,1.1978707,0.9119352,1.3110266,1.0198935,1.1126226,0.8300388,1.0171543,0.86577016,0.99583036,0.9069095,0.737424,1.0680288,1.3850873,1.0594763,0.81284887,0.8802594,1.1530265,0.8166278,0.73608536,1.1797019,0.83343875,1.2568781,0.65221834,0.89510226,1.0875556,1.3420218,0.9693657,1.0865629
hat,1.2760575,0.6879805,1.2634037,0.5135798,0.6798311,0.6264527,1.2910476,0.7907316,1.1281469,1.2396559,1.303934,0.71244216,1.0003505,0.5254365,0.64952177,0.9012134,1.1558634,0.675144,0.6068548,0.78804374,1.1834426,1.1012888,0.73644733,1.0861479,1.3589449,0.68137866,1.1862386,0.54770714,1.1596512,0.89229816,0.9042337,0.65862703,1.1294616,0.9639123,1.2043127,0.6190177,1.2790442,1.1316013,0.57080567,0.9836548,1.2629812,0.7413558,1.1513844,1.3365395,0.0,1.156271,1.179126,1.2588708,1.1656684,1.1440637,0.9508092,0.52549165,1.0950146,1.292371,1.2508013,1.127538,0.6933154,1.0283755,0.7746296,0.69462144,1.3445494,1.303216,1.2791028,0.9259039,1.3580005,0.9682405,1.0103817,0.97379076,0.66523135,0.81241333,0.76055074,1.0156286,1.1583391,1.2173451,1.0561317,1.0177517,1.2602913,1.233859,0.5675506,1.1697288,1.1333584,1.1367948,1.0516903,1.292853,1.3815445,0.8266409,0.83386827,0.7041812,1.1999533,1.1321167,0.77374786,0.7307103,0.96884376,0.71753466
horse,0.69105124,1.2402363,0.8751855,1.2689016,1.2687624,1.2456274,0.87915385,0.9851034,1.063679,0.81489795,0.80829525,1.2056608,0.95388377,1.3426987,1.2355335,1.266813,0.86193573,1.3156074,1.1728156,1.205464,0.79965806,0.84278756,0.96344554,0.9062774,0.70976406,1.3585846,1.0411994,1.2837355,0.7935475,1.0803331,1.0254773,1.3468385,0.859817,0.9797399,1.0286106,1.1514719,1.0268283,1.0794705,0.9668457,0.94941473,0.8572223,1.3348763,0.6645075,0.7416816,1.156271,0.0,1.1186117,0.68081236,0.6403122,1.0523126,1.1468091,1.2142153,0.9013507,0.8495545,0.8882498,0.8326164,1.1866233,1.0058292,1.0356139,1.1958572,0.81170857,0.82714933,0.8697223,0.98471564,1.007495,1.2359992,0.9106866,1.0174888,1.308424,1.158907,1.0404315,1.0512459,0.690238,1.0564222,0.87793064,1.2524996,0.94638896,1.1185896,1.3119278,0.9344243,1.1304747,0.94433624,1.0486287,0.6578117,1.0046824,1.2970697,1.1209577,1.200227,1.021134,0.9604569,1.3923942,1.1991318,0.9715925,1.1563511
hose,1.0797995,1.0436583,1.0236324,0.9883837,1.0008491,1.0585206,1.0368636,1.2254802,0.93034154,1.0999857,0.996491,1.1500624,0.9089104,1.0423392,1.1593449,0.8777928,0.9237138,1.0582203,1.1947514,1.0916724,1.0406679,1.1581426,1.2468821,0.91526514,1.0557057,1.0394783,0.9623654,1.1544356,0.9885323,1.101644,1.1294148,1.1177144,1.0107081,1.1373333,0.8464188,1.1083379,0.47507155,0.7619145,1.138954,1.1609908,0.9149319,0.85144806,1.0360202,0.9220924,1.179126,1.1186117,0.0,1.0909146,1.1158999,0.9441306,1.0327548,1.1019452,0.9555884,1.1190714,0.80297464,0.9763111,1.1061656,1.0706402,1.1445675,1.172548,1.030676,0.8873142,0.8769499,1.0695962,0.86145437,1.0289557,1.040135,0.9846432,1.037084,0.89547133,1.1340743,0.73443824,1.2116427,0.8632138,1.0667883,0.92271674,0.93748623,0.8845809,1.153753,0.9739053,0.99456424,0.83057606,0.9743262,1.0868216,0.7747197,0.42151046,1.2123682,1.1331902,0.865049,1.0426276,0.78851974,1.0325667,1.1031632,1.0405463
jacket,0.39451826,1.157426,0.71392083,1.2701671,1.2188294,1.3604157,0.60293055,1.2204314,0.9860163,0.9006769,0.64996856,1.333533,0.94603336,1.4086196,1.3184439,1.2089736,0.9606893,1.3506331,1.3028882,1.4366717,1.0236378,0.8940018,1.1159129,0.9138112,0.58785987,1.4197232,0.8935176,1.3022642,0.88742864,1.1543005,1.3542995,1.2923148,0.60845375,1.1565806,1.0889294,1.1911758,0.9868783,1.0640155,1.2019005,0.9784461,0.77851146,1.4078076,0.8601149,0.8689139,1.2588708,0.68081236,1.0909146,0.0,0.6370955,0.9580976,1.0978198,1.3695717,1.0751041,0.72526324,0.99682045,0.9843045,1.1838324,1.052609,1.2549819,1.2833998,0.6694739,0.62456363,0.9335485,1.1541892,0.996613,1.1742551,0.98705745,1.055764,1.2912803,1.2443365,1.2972908,1.1455789,0.3582704,0.93114597,0.70590055,1.3320147,0.8817889,1.0103735,1.4046384,0.6641344,1.1985831,0.9383233,1.0239235,0.33105326,0.71042764,1.3284485,1.1906959,1.1703002,1.1026963,0.9045748,1.3470135,1.2353437,1.0999978,1.3139553
jeans,0.7206191,1.2587353,0.7731688,1.3649132,1.2539451,1.256285,0.62511766,0.95687664,1.0082239,0.6948576,0.6074226,1.1757532,1.1188397,1.4033349,1.3900867,1.2363181,0.86412036,1.5094213,1.1295555,1.2669829,1.0148584,0.575831,0.8806282,0.9148991,0.56779754,1.4694197,0.9627404,1.4512246,0.60292697,1.1190695,1.2672534,1.312151,1.0124633,1.0667446,1.091276,1.1679358,1.0768149,1.0641501,1.2272689,0.8693683,0.7661263,1.4697667,0.6250943,0.8607962,1.1656684,0.6403122,1.1158999,0.6370955,0.0,1.1922449,1.1237375,1.3319421,0.8437247,0.7752275,0.96999395,0.8069402,1.3090769,0.96150416,1.1269454,1.1653715,0.65705013,0.67899853,0.9245279,1.1833342,1.0302281,1.1476288,0.8192502,1.0733188,1.3812027,1.1650455,1.1931088,1.0310374,0.6032825,0.91403264,0.81410646,1.1982427,0.9288077,0.9300848,1.1754944,0.69581974,1.0779264,0.91681904,1.1086261,0.5519555,0.82043016,1.3811588,1.1626787,1.0512013,1.1185697,0.8942574,1.3925333,1.3289127,1.095502,1.3274786
knife,0.98259836,0.6749328,1.0299999,1.0218041,1.0002879,1.1076269,1.1550665,0.8125799,1.0733842,1.0376564,1.0648209,1.1625191,1.0296576,0.99533874,0.7753625,1.1044787,1.0954677,0.6960819,1.0740415,1.0228966,0.85448223,1.0294143,1.1688614,1.1307704,1.1137869,0.80756783,1.0288125,0.9295681,1.1194634,0.93299896,0.9690761,0.9054426,0.9607338,0.80274713,0.79039323,0.9783094,1.0816803,1.1121241,0.9817035,1.0140203,1.0162123,0.8417231,1.2349248,1.078426,1.1440637,1.0523126,0.9441306,0.9580976,1.1922449,0.0,1.0074093,1.0110515,0.96393466,0.8928586,1.0028472,1.1310234,0.8512988,1.2082736,0.8824357,0.9893922,1.0853553,0.9179957,1.1138455,0.8506458,1.0002459,1.0772606,1.0410154,1.0622227,0.92322123,1.1723442,1.0931708,0.92700714,0.9548706,1.2546169,1.0651255,1.0486854,0.95644665,1.1034801,1.0151854,1.1191534,0.94302964,1.060667,0.87369037,0.9506034,1.0987362,0.9537121,0.9108199,1.1839292,0.68410724,1.206745,1.1292248,0.72023094,1.1404746,0.97786796
ladder,1.0916728,0.9833484,0.85107005,1.0826443,1.0870503,0.7840142,1.011829,0.90842986,0.35283905,0.91060776,0.9838493,0.7022935,1.0116981,1.0740848,0.9960204,0.8471071,1.0991602,0.7934712,0.7650198,1.0269738,1.089029,1.192507,0.6377891,1.1089525,0.9472204,1.0144459,0.48965406,1.0030112,1.147269,0.83510405,0.688187,1.0617691,1.0198995,0.99376863,1.0353434,0.8488065,1.2344878,1.177771,1.043258,1.0860873,1.1560388,1.0121732,1.1696376,1.1992905,0.9508092,1.1468091,1.0327548,1.0978198,1.1237375,1.0074093,0.0,1.0186555,0.99239206,1.0398794,1.1733106,1.1030455,1.1475214,1.165016,0.96335053,0.8438132,1.0975009,0.96213317,1.1259586,0.872566,1.0775872,0.8618888,1.131015,1.0311654,0.99486464,0.83231235,0.8656944,0.9772708,1.0477511,1.1764966,1.0560884,1.1037943,1.199896,0.84645176,0.96551853,1.0420873,1.0077919,1.1731908,0.9597925,1.1713421,1.1197275,0.8705573,1.0972013,0.97753835,1.1125449,1.1964946,1.0848416,0.82755464,0.79585,1.0733467
lamp,1.4149902,0.55290806,1.4409335,0.52196395,0.70159173,0.7007494,1.4949467,0.74071366,1.2981844,1.3294013,1.5290401,0.6459808,1.1060932,0.44083273,0.45762914,0.9020982,1.1437082,0.5088155,0.5733908,0.53906065,1.221499,0.9382951,0.8288838,0.97778887,1.5145234,0.4193095,1.264507,0.42205352,1.236216,1.1002722,0.7369935,0.56223214,1.1950573,0.8595836,1.2250222,0.69722295,1.3157779,0.9427038,0.5931431,1.187665,1.1915121,0.6277187,1.2713693,1.3480965,0.52549165,1.2142153,1.1019452,1.3695717,1.3319421,1.0110515,1.0186555,0.0,1.152692,1.4756012,1.272022,1.1002451,0.65879655,1.0762233,0.64057237,0.5370568,1.4376068,1.4795003,1.2305784,1.0337683,1.353076,0.97043425,0.83085364,0.8747568,0.59735185,0.87465453,0.57666177,1.0004456,1.2737108,1.288391,1.2216452,0.8028692,1.2289606,1.3424137,0.5263538,1.1261196,1.148118,1.0475262,1.0948524,1.4453335,1.34168,0.73842484,0.7578137,0.7413541,1.1231847,1.2382032,0.7281153,0.66396916,0.9714719,0.71534973
melon,1.0489893,1.0097462,0.9624347,1.1677824,1.186653,1.0472236,0.9489335,0.8453121,0.89122826,0.88185704,0.7021905,0.97996044,1.1112524,1.1275384,1.071611,1.1496689,0.70968896,1.1090491,0.97215253,1.028792,0.86626554,0.7424704,0.96261144,1.0181379,0.83123386,1.0406361,0.8544536,1.1425378,0.90043694,1.2144955,0.97414833,1.1424235,1.1347187,0.97631544,0.81608784,1.1075795,1.0198414,1.1412932,1.1771451,1.0778987,0.7864873,1.189137,0.87237155,1.1072751,1.0950146,0.9013507,0.9555884,1.0751041,0.8437247,0.96393466,0.99239206,1.152692,0.0,1.0338018,1.057491,0.634926,1.2533021,0.91837126,0.98868465,0.9853231,1.0135055,0.9369907,1.0404621,1.0643371,1.1427155,0.910545,0.73882014,1.0558096,1.1384523,1.2233802,1.0880615,1.0660186,1.0373586,0.89932096,1.0127774,1.038798,0.9225838,0.9581385,1.0100793,1.1918955,1.0037355,0.9317511,1.1095603,0.893948,1.1027197,0.99558866,1.1868061,1.1686751,1.093348,0.89619005,1.2051218,0.98867893,1.0585523,1.243847
mitten,0.6460659,1.2456276,0.78040993,1.3057445,1.1200042,1.3549207,0.68981904,1.1374238,0.8665553,0.43574452,0.62347966,1.2031955,0.9682947,1.4248445,1.3710828,1.1012568,1.1375574,1.3568182,1.2832177,1.2764904,0.85302377,1.0017195,1.1034776,1.0158292,0.69641614,1.4911962,0.8961358,1.3995897,0.8246153,0.8024063,1.1675386,1.165678,0.885671,1.0516769,0.8566764,1.2420273,0.9392193,0.9950843,1.3010889,0.5059117,0.97762376,1.3080462,0.9022577,0.70404744,1.292371,0.8495545,1.1190714,0.72526324,0.7752275,0.8928586,1.0398794,1.4756012,1.0338018,0.0,0.92066646,1.1669142,1.2070847,0.8898858,1.1863394,1.3675392,0.45949447,0.5618806,0.861176,0.9317941,0.75385135,0.9095284,1.1228751,1.0839027,1.395037,1.1056525,1.2376167,1.0543152,0.7302222,0.851822,0.724691,1.1969805,0.84020895,0.82260936,1.3251431,1.013005,0.73927414,1.0173649,0.97343946,0.6019453,0.89417434,1.3183812,1.0277929,1.1206646,0.9337317,0.8029001,1.329027,1.3816161,1.009782,1.2252879
motorcycle,0.903985,1.2247603,1.0310081,1.1827092,1.1147721,1.15356,0.95626664,1.1917859,1.0106257,0.9891991,0.9511087,1.2330842,0.9059541,1.1792614,1.2073766,1.0684359,0.91095626,1.1331602,1.25531,1.071419,0.873953,1.1007124,1.1915562,1.0965409,0.9739876,1.1620345,1.1189378,1.2583736,0.9496465,0.9210232,1.0377331,1.2437303,1.1065154,1.137255,0.78732044,1.1443491,0.5762987,0.85974437,1.162564,0.85728824,0.9905016,0.9683701,0.84805465,0.63406736,1.2508013,0.8882498,0.80297464,0.99682045,0.96999395,1.0028472,1.1733106,1.272022,1.057491,0.92066646,0.0,0.9462704,1.1763023,0.8468349,1.2119098,1.3485512,0.83042705,0.85508335,0.85592806,1.0105293,0.76864004,1.1179132,1.0977788,1.0978642,1.2487297,0.8688276,0.9945502,0.76831466,1.1132137,0.77772266,0.963421,0.8427565,0.9719263,0.96752614,1.1734055,0.94995004,0.966512,0.83085066,0.9529729,0.99769044,0.84240437,0.97071016,1.04613,1.1043754,0.70893943,0.89428514,0.87413,1.1705076,0.93781906,1.0272701
muffin,1.0539318,1.151751,1.0393081,1.1419079,1.2958663,1.0432065,0.9665778,0.9182496,1.0265181,0.9219028,0.88854563,1.1057386,1.1688045,1.1254952,1.1168008,1.1369907,0.05020821,1.1859388,1.1588323,1.1779552,0.8729309,0.5732473,1.0574749,0.99332184,0.8325327,1.1108704,1.0468942,1.1802053,0.7751868,1.2321632,1.1508706,1.1622815,1.098195,1.0234828,0.91665536,1.1466854,0.9827626,1.081869,1.0550921,1.0553225,0.55770046,1.1914382,0.6371479,1.0801833,1.127538,0.8326164,0.9763111,0.9843045,0.8069402,1.1310234,1.1030455,1.1002451,0.634926,1.1669142,0.9462704,0.0,1.1715199,1.1024481,1.0005559,0.99373925,1.0344912,0.9959369,0.9661092,1.118227,1.1870133,1.1698532,0.52603316,1.1291051,1.1067033,1.1180646,1.1177857,1.0582358,0.94789505,1.0635726,1.0521603,1.1012416,1.0295043,1.0608786,1.1558053,0.9936248,1.2003521,0.9574709,0.9726035,0.93642133,1.0104213,1.0544314,1.2238446,1.1134236,1.0735704,1.0673813,1.1823457,1.0927553,1.0536072,1.1333332
nail,1.2475419,0.5159154,1.2673175,0.49961293,0.6561018,0.8915437,1.3888727,0.7917211,1.3390551,1.2949253,1.3884664,0.9356891,1.1984345,0.462797,0.37203288,1.078777,1.164736,0.69075155,1.0345675,0.8016959,0.7931268,0.9895422,1.208589,1.1937367,1.4398118,0.40199196,1.3927305,0.486928,1.2439938,0.9598858,0.9775563,0.57350457,0.99755085,0.54585516,1.027513,0.80294156,1.1470858,1.1191082,0.438002,1.0895364,1.2428032,0.46880066,1.3298312,1.197947,0.6933154,1.1866233,1.1061656,1.1838324,1.3090769,0.8512988,1.1475214,0.65879655,1.2533021,1.2070847,1.1763023,1.1715199,0.0,1.3301239,0.637714,0.6944726,1.311639,1.2412299,1.3864579,0.6842929,1.0993512,1.1662259,1.0138351,1.2082396,0.50346136,1.1410607,1.0675381,0.9971314,1.1172959,1.350524,1.2174406,0.8662797,1.2289507,1.2136706,0.63617146,1.1770108,0.9321202,1.0824047,0.883321,1.2019885,1.2892206,0.9206741,0.45851505,0.9422898,0.81134236,1.3020203,0.8220367,0.67687273,1.3139393,0.3533758
napkin,0.86241204,1.2356664,0.9897556,1.1085485,1.0174032,1.1083223,0.8226466,1.2261555,1.0275221,0.9057353,0.8159846,0.82586795,0.8306572,1.1759273,1.2679927,0.9239385,1.1426101,1.1741142,0.9002341,0.84012926,1.2687904,1.1069734,0.95516,0.9813441,0.9226541,1.2369347,0.97179294,1.1448131,0.9415666,1.1257168,0.91758347,1.1504955,1.1252608,1.3282791,0.89389306,1.2305382,0.93894804,0.9456946,1.2430831,0.7782339,1.0240932,1.2599382,1.0144247,0.93960035,1.0283755,1.0058292,1.0706402,1.052609,0.96150416,1.2082736,1.165016,1.0762233,0.91837126,0.8898858,0.8468349,1.1024481,1.3301239,0.0,1.234688,1.2273556,0.9096567,1.105443,0.8258618,1.31976,1.025298,0.5595578,1.0692612,0.8609732,1.1875833,0.99086845,0.8101635,1.1286447,1.0724466,0.326576,0.69458914,0.96882385,0.8137112,0.73757946,0.81234086,1.02266,0.9665818,1.0521631,1.1434485,1.048849,1.031258,1.0913712,1.1842443,0.8142903,1.1962472,0.16146946,0.9661143,1.1910293,0.88381875,1.2556388
necklace,1.3226709,0.6411428,1.2384725,0.9079448,1.0311836,0.8875145,1.4349229,0.43604338,1.1617558,1.0401715,1.3289323,0.9429981,1.2009606,0.7788919,0.56573343,1.1374016,1.0580282,0.78171575,0.7555682,0.9110145,0.90093195,0.9026232,0.97778314,1.1268352,1.3753966,0.5589076,1.2159401,0.6710788,1.1242112,0.9924025,0.8495456,0.83188707,1.0972799,0.43947124,1.0585064,0.9305892,1.357924,1.1344786,0.54197013,1.0324957,1.1084614,0.82232195,0.8946322,1.1833746,0.7746296,1.0356139,1.1445675,1.2549819,1.1269454,0.8824357,0.96335053,0.64057237,0.98868465,1.1863394,1.2119098,1.0005559,0.637714,1.234688,0.0,0.49600106,1.2345891,1.2139293,1.2429104,0.69165957,1.1617836,1.1916378,0.9180478,1.1245095,0.70703113,1.1217161,0.9718438,0.96884006,1.0954258,1.3412449,1.0891342,0.9481958,1.2081915,1.2963562,0.6918736,1.2460206,0.9611616,1.0633824,0.9348983,1.1769397,1.3673888,1.0005116,0.5552304,0.92128533,0.87885594,1.2946146,1.1645789,0.83235157,1.2129796,0.73235524
oven,1.3474659,0.68777186,1.1774765,0.8202123,0.954246,0.7364608,1.3423811,0.68710905,1.1230322,1.181105,1.2972755,0.77525127,1.204628,0.5598877,0.5185673,1.0489999,1.0171378,0.6499088,0.5610483,0.7866056,1.1296395,0.95678365,0.8117949,1.1482837,1.3110619,0.44276243,1.0754267,0.50371855,1.2543852,1.0650332,0.8876608,0.6528419,1.1245914,0.67881465,1.1730976,0.8366193,1.3623853,1.137374,0.7427094,1.2029614,1.1032342,0.7901269,1.1653248,1.3953539,0.69462144,1.1958572,1.172548,1.2833998,1.1653715,0.9893922,0.8438132,0.5370568,0.9853231,1.3675392,1.3485512,0.99373925,0.6944726,1.2273556,0.49600106,0.0,1.3884995,1.2948695,1.3105572,0.90253884,1.2207582,1.0268604,0.9197715,1.0810858,0.5646344,1.0617852,0.954501,1.0711315,1.1462024,1.2966131,1.1813973,0.84268403,1.2969052,1.2498672,0.59205806,1.1451771,1.011621,1.0666376,0.92525023,1.2427038,1.3433721,0.86543643,0.73641855,0.79895204,1.1063919,1.3054839,0.9673049,0.63577175,1.0697396,0.7512717
pajamas,0.5914186,1.3702478,0.80680656,1.3305562,1.2509468,1.386858,0.4869718,1.2818344,0.9199828,0.3365488,0.4966755,1.2165891,0.8566248,1.4605631,1.5019503,1.0891382,1.0134026,1.4972839,1.3450778,1.3602259,0.92761135,1.054944,1.1030667,0.8948405,0.54211915,1.4777217,0.76341146,1.4164715,0.8419646,0.875233,1.298563,1.2657193,0.9389893,1.2193437,1.0428505,1.2301818,0.888253,0.91560215,1.3511746,0.7361888,0.98209316,1.4414439,0.7717522,0.60126764,1.3445494,0.81170857,1.030676,0.6694739,0.65705013,1.0853553,1.0975009,1.4376068,1.0135055,0.45949447,0.83042705,1.0344912,1.311639,0.9096567,1.2345891,1.3884995,0.0,0.5304966,0.7142783,1.1710066,0.79195285,0.9051514,1.0905071,1.0495286,1.4068211,1.1356592,1.2414882,1.14044,0.7904223,0.74773145,0.6632962,1.1676375,0.8250114,0.8214153,1.4732633,0.8610995,0.8059985,0.92963445,1.1599815,0.598787,0.61825013,1.3215053,1.1066688,1.1655653,1.0281663,0.80395913,1.235851,1.3843365,1.0558779,1.2983847
pants,0.51564616,1.260664,0.74516,1.2942855,1.2621788,1.2929468,0.6082674,1.1269982,0.809872,0.59249187,0.609805,1.203897,0.96615326,1.4472203,1.337675,1.1342171,0.9465602,1.3645444,1.3770378,1.4139209,0.9642777,0.9740664,1.1117629,1.0673945,0.60805917,1.4306376,0.78198063,1.4381487,0.84807754,0.82084626,1.2806613,1.2967069,0.90432435,1.0953729,0.8926909,1.1785209,0.9055253,1.1058358,1.2559646,0.7358691,0.77042,1.3511747,0.8574429,0.83665615,1.303216,0.82714933,0.8873142,0.62456363,0.67899853,0.9179957,0.96213317,1.4795003,0.9369907,0.5618806,0.85508335,0.9959369,1.2412299,1.105443,1.2139293,1.2948695,0.5304966,0.0,0.9659216,1.013285,0.8705117,1.0197282,1.0551717,1.1949979,1.3139567,1.1912204,1.336081,1.0746311,0.7428062,0.9128888,0.79854643,1.1744413,0.9424589,0.81545305,1.3438234,0.87118685,0.8938033,0.9730114,0.92031634,0.59599197,0.7243221,1.231517,1.0943056,1.2049458,1.0379822,1.054151,1.3137287,1.1958486,1.0992085,1.2721887
paper,0.97666866,1.3712137,0.8267132,1.3062358,1.1210406,1.1457978,0.7894075,1.3438554,0.91177434,0.859617,0.8324263,1.3207285,0.59098196,1.2944238,1.4006101,0.92647237,0.9567745,1.2790892,1.1771297,1.2368867,0.9707384,1.0648452,1.0244514,0.681677,0.77041256,1.3605921,0.86484545,1.2786349,0.94745386,1.0940357,1.127527,1.1311219,0.93629396,1.2329636,1.0552204,1.2175648,0.80541086,0.7296202,1.2975492,1.1036744,0.94401085,1.2515465,0.788631,0.58579797,1.2791028,0.8697223,0.8769499,0.9335485,0.9245279,1.1138455,1.1259586,1.2305784,1.0404621,0.861176,0.85592806,0.9661092,1.3864579,0.8258618,1.2429104,1.3105572,0.7142783,0.9659216,0.0,1.1595591,0.66598237,1.076635,1.1138521,0.58440155,1.2791761,0.96426404,1.0556322,0.9707782,1.0426456,0.7616839,0.96039724,0.9976103,0.5501646,0.9991193,1.372983,0.9826398,0.89256626,0.86118984,1.1107821,0.88677526,0.6951569,1.0772904,1.2155755,1.1870241,1.0327836,0.81948483,1.012657,1.359303,0.8640783,1.2987
