,alligator,apple,arm,ball,balloon,basket,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,couch,crayon,crib,cup,dog,doll,drawer,egg,face,finger,fish,flower,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plate,pumpkin,purse,radio,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch
doll,0.9715059,1.1228794,1.0638486,0.99726784,0.9844475,0.8175547,1.0762364,0.8911958,0.9198816,0.8104973,1.0975075,0.86157846,0.96909976,0.9294341,0.99306417,0.90450656,1.1942419,0.9139257,1.0394086,1.0318623,1.0042173,1.2442569,0.88614076,1.2380071,1.0954794,0.9736276,1.0812912,1.0289468,1.0610008,0.0,0.9869632,0.9457869,1.045796,0.8795448,1.077394,0.66716444,1.0365381,1.0632157,0.8943268,0.6621939,1.256722,0.89086366,1.0615426,0.8484342,0.89229816,1.0803331,1.101644,1.1543005,1.1190695,0.93299896,0.83510405,1.1002722,1.2144955,0.8024063,0.9210232,1.2321632,0.9598858,1.1257168,0.9924025,1.0650332,0.875233,0.82084626,1.0940357,0.60441655,0.84983885,0.9379081,1.3048793,1.14523,1.0087332,0.8538523,1.0213758,0.8515848,1.0879169,1.1433209,1.0233873,0.9829618,1.2160639,0.900045,0.9206634,1.162015,0.80525506,1.2549169,0.81490016,1.0940945,1.1371005,1.036032,0.8053923,0.92223483,0.87609935,1.1249609,0.9330987,1.008006,0.8784698,0.7893475
drawer,1.2546655,0.91507715,1.1692557,0.96523136,0.98799235,0.7477412,1.2353767,0.87234354,0.8146434,1.1155152,1.179689,0.7166826,1.0437081,0.9189738,0.78438926,0.8186052,1.1639452,0.6731502,0.6226605,0.6158843,0.9877931,1.1434938,0.6678462,1.0794109,1.156035,0.7981681,0.91081417,0.82910186,1.2217469,0.9869632,0.0,0.97315204,1.1556972,0.92020744,1.0258187,0.9719724,1.1697345,1.1212753,0.8701738,1.1374326,1.2124904,0.8701973,1.1640301,1.1534636,0.9042337,1.0254773,1.1294148,1.3542995,1.2672534,0.9690761,0.688187,0.7369935,0.97414833,1.1675386,1.0377331,1.1508706,0.9775563,0.91758347,0.8495456,0.8876608,1.298563,1.2806613,1.127527,0.7999893,1.1151379,0.90823674,1.0743953,0.8656015,0.7818786,0.8324131,0.298154,0.96577275,1.1551384,1.1517549,1.2195514,0.968835,1.1896956,1.0818086,0.73956746,1.2031338,1.0680293,1.1755499,1.0352719,1.2730074,1.2897449,0.8098733,0.954792,0.9717205,1.000923,1.0410348,0.93956846,0.77748203,0.7440295,0.91325605
egg,1.320123,0.66286445,1.2564425,0.57903326,0.46641338,0.75211716,1.3966696,0.8746469,1.2226415,1.1866211,1.3871273,0.757797,1.1312985,0.50945,0.60670173,0.87328756,1.1332555,0.67156804,0.84430003,0.73417145,1.026007,1.0916127,1.0819134,1.0978436,1.4378054,0.5803308,1.2570033,0.57241917,1.2573545,0.9457869,0.97315204,0.0,1.1584233,0.8487259,1.0938219,0.774864,1.2381117,0.9057687,0.80969113,1.0397892,1.1668894,0.67890877,1.2836765,1.2380205,0.65862703,1.3468385,1.1177144,1.2923148,1.312151,0.9054426,1.0617691,0.56223214,1.1424235,1.165678,1.2437303,1.1622815,0.57350457,1.1504955,0.83188707,0.6528419,1.2657193,1.2967069,1.1311219,0.8888559,1.0840034,0.9248668,1.0371925,0.9661282,0.5648668,1.0244997,0.95231473,1.1348401,1.2008891,1.2187252,1.1518834,0.77349794,1.1135023,1.2003787,0.641588,1.2347016,0.8977228,1.0812285,1.0299842,1.2798235,1.2883694,0.836594,0.6245035,0.8411571,1.0533412,1.1660713,0.7675982,0.80769765,1.1302627,0.80578977
face,0.76219326,1.0565945,0.78729534,1.0300248,1.1250689,1.1502182,0.85846454,1.125273,0.9839377,0.9940666,0.9247003,1.2671512,0.9174433,1.2475405,1.1435437,1.0554655,1.0706682,1.1379417,1.1707962,1.2865276,1.0730457,1.0164185,1.1376293,0.89541864,0.8745679,1.1730471,0.9461701,1.1095409,0.93752664,1.045796,1.1556972,1.1584233,0.0,1.1002109,1.0359515,1.0990033,0.9019729,1.0533817,0.93229306,1.1669068,0.9566008,1.1974981,0.97977054,0.9287647,1.1294616,0.859817,1.0107081,0.60845375,1.0124633,0.9607338,1.0198995,1.1950573,1.1347187,0.885671,1.1065154,1.098195,0.99755085,1.1252608,1.0972799,1.1245914,0.9389893,0.90432435,0.93629396,1.0761516,0.86858237,1.1295519,1.0566642,0.98432016,1.0340698,1.1044521,1.1875303,1.1497298,0.79453856,1.0157081,0.9008379,1.2457823,0.91593736,1.0168283,1.3024111,0.90675557,1.1209977,1.0906732,0.90872025,0.79171985,0.843925,1.1930944,1.1347481,1.190162,1.1019586,1.0067267,1.1233687,1.047974,1.0547644,1.0335951
finger,1.2099704,0.71576303,1.205722,0.9831858,1.0635995,0.9649654,1.4133867,0.41041976,1.1919427,0.9880153,1.3070996,0.9967136,1.2382762,0.85715175,0.63500935,1.1762081,1.0427496,0.8581793,0.9613925,0.9834026,0.715963,0.8599359,1.0615011,1.155629,1.3221947,0.6483269,1.2820048,0.8461038,1.1425234,0.8795448,0.92020744,0.8487259,1.1002109,0.0,1.0110391,0.9728548,1.264005,1.1715341,0.53206617,0.9258576,1.0472857,0.76679313,1.1071765,0.95765567,0.9639123,0.9797399,1.1373333,1.1565806,1.0667446,0.80274713,0.99376863,0.8595836,0.97631544,1.0516769,1.137255,1.0234828,0.54585516,1.3282791,0.43947124,0.67881465,1.2193437,1.0953729,1.2329636,0.39394462,0.97423714,1.2318041,0.95758903,1.1119435,0.7816539,1.2217098,1.1366947,0.84900606,1.0467329,1.3742886,1.2080573,0.9077462,1.2106498,1.32313,0.7690607,1.288794,0.81204796,1.1454914,0.8081386,1.0343583,1.3352289,1.0392423,0.35520792,1.0573145,0.6527303,1.3065112,1.2116547,0.9157604,1.2126169,0.6863726
fish,0.932503,0.9368044,1.0201186,0.9588678,0.95528203,1.142986,1.1320999,0.99666816,0.927996,0.9117353,1.0322099,0.95880234,1.1030953,1.1590669,1.019266,1.1675744,0.9274373,0.9991059,1.2361975,0.9707062,0.80757755,1.0837156,1.2649148,1.0348507,1.0446734,1.0302728,1.040312,1.1643813,0.9358275,1.077394,1.0258187,1.0938219,1.0359515,1.0110391,0.0,1.1885586,0.7218376,1.0049218,1.1836789,0.81492156,0.9835527,0.96485287,0.95994455,0.99106205,1.2043127,1.0286106,0.8464188,1.0889294,1.091276,0.79039323,1.0353434,1.2250222,0.81608784,0.8566764,0.78732044,0.91665536,1.027513,0.89389306,1.0585064,1.1730976,1.0428505,0.8926909,1.0552204,1.0379982,0.9607765,0.8842701,0.9743539,1.068268,1.0214486,1.1079036,1.1229872,0.97402745,1.0159124,0.8508709,1.0621532,0.7788726,1.0385231,0.6655109,1.0103239,1.0772314,0.970649,0.920645,0.8461691,1.0880404,1.0587168,1.0308849,1.0964497,1.194032,0.75520086,0.89395183,0.9889295,0.9133639,1.0477544,1.0446002
flower,1.2212812,0.8297349,1.1349413,0.63948774,0.8336879,0.6406308,1.2401892,0.9281828,1.0533692,1.196036,1.259313,0.7373189,0.99758947,0.5944648,0.67464703,0.9825057,1.136083,0.5973619,0.8547559,0.8862688,1.107764,1.1030672,0.7947302,1.1902344,1.2881414,0.69670784,1.098542,0.743667,1.1082817,0.66716444,0.9719724,0.774864,1.0990033,0.9728548,1.1885586,0.0,1.0960953,1.1918136,0.7525475,0.9770028,1.2150565,0.63857144,1.188415,1.2622052,0.6190177,1.1514719,1.1083379,1.1911758,1.1679358,0.9783094,0.8488065,0.69722295,1.1075795,1.2420273,1.1443491,1.1466854,0.80294156,1.2305382,0.9305892,0.8366193,1.2301818,1.1785209,1.2175648,0.8166333,1.200462,1.002506,1.0718188,1.1122239,0.8195636,0.77674955,0.8628468,0.90634304,1.0916935,1.2910702,1.1536298,0.9794199,1.3093491,1.0896529,0.70737755,1.0217713,1.050962,1.1639273,0.9800204,1.2175124,1.1778474,0.82765037,0.87729174,0.8044508,1.0249814,1.2563835,0.74742806,0.78051436,0.94343644,0.7197435
frog,0.8778078,1.2061068,0.99178916,0.99691015,1.0930539,1.1487218,0.8955101,1.3788795,1.0356234,1.1075932,0.92909044,1.3240352,0.84993124,1.0672272,1.3083498,1.0353975,0.91796887,1.1560941,1.3494439,1.122836,0.86034876,1.1097276,1.2815099,0.9577673,0.949603,1.1475116,1.0687225,1.2989358,0.8738855,1.0365381,1.1697345,1.2381117,0.9019729,1.264005,0.7218376,1.0960953,0.0,0.7404852,1.2007298,0.9783806,0.9536779,0.76846147,0.91458803,0.6930856,1.2790442,1.0268283,0.47507155,0.9868783,1.0768149,1.0816803,1.2344878,1.3157779,1.0198414,0.9392193,0.5762987,0.9827626,1.1470858,0.93894804,1.357924,1.3623853,0.888253,0.9055253,0.80541086,1.0952399,0.6997197,1.1162837,1.1409044,1.0613331,1.1487731,0.824932,1.1177692,0.6436646,1.1473048,0.7004161,1.0852365,0.8510629,0.9129761,0.74870014,1.2541444,0.938255,0.9673908,0.6967397,0.9833748,1.0644478,0.66761637,0.8295101,1.2694325,1.1469231,0.6839961,0.8719594,0.61739874,1.1987803,0.98948836,0.84540075
glass,1.0843097,1.0415332,1.1334682,0.9706801,0.77959144,1.1416097,1.0747739,1.2404417,1.1414125,1.0151644,1.1283095,1.1822395,0.82755256,1.0164195,1.2054176,0.8881799,1.0652411,1.1965472,1.0830725,1.004806,0.9008212,1.1305616,1.2168335,0.85553986,1.1101952,1.0440383,1.1188352,1.0785671,0.97462523,1.0632157,1.1212753,0.9057687,1.0533817,1.1715341,1.0049218,1.1918136,0.7404852,0.0,1.085438,1.0447872,0.9888275,0.917256,0.956772,0.72160363,1.1316013,1.0794705,0.7619145,1.0640155,1.0641501,1.1121241,1.177771,0.9427038,1.1412932,0.9950843,0.85974437,1.081869,1.1191082,0.9456946,1.1344786,1.137374,0.91560215,1.1058358,0.7296202,1.104512,0.7135116,1.023139,1.1159121,0.8469247,1.1566308,0.89531714,0.9640759,0.79367393,1.1327738,0.8560955,0.99739754,0.63174593,0.81565714,1.0576074,1.1483606,1.0096083,0.96270174,0.60909027,1.1757065,1.0674064,0.9191854,0.96433115,1.0642899,1.0488814,0.74779546,0.9703383,0.80780447,1.2306004,0.9594065,1.1226356
glasses,1.2353227,0.72474134,1.2646265,0.6735326,0.96856344,0.73992133,1.415828,0.56328094,1.2290711,1.1557745,1.3902402,0.9034771,1.0640991,0.6932869,0.55625224,1.0864625,1.0584072,0.770645,0.93234164,0.87063265,0.8447139,1.0277553,0.96851194,1.1540258,1.4097893,0.6034898,1.283533,0.6770234,1.1416721,0.8943268,0.8701738,0.80969113,0.93229306,0.53206617,1.1836789,0.7525475,1.2007298,1.085438,0.0,0.9617958,1.2180451,0.64788383,1.0988218,1.1419919,0.57080567,0.9668457,1.138954,1.2019005,1.2272689,0.9817035,1.043258,0.5931431,1.1771451,1.3010889,1.162564,1.0550921,0.438002,1.2430831,0.54197013,0.7427094,1.3511746,1.2559646,1.2975492,0.6535859,1.170778,1.2022467,0.9599708,1.1204283,0.6369667,1.0299348,0.89699835,0.87629044,1.1209452,1.3610806,1.2187269,1.0156145,1.2257118,1.3102397,0.66910106,1.2536112,1.0272738,1.114924,0.92840636,1.2339239,1.4089262,0.97448874,0.58882546,0.9583933,0.88639367,1.2722905,1.026877,0.77739227,1.0652819,0.52111167
