,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.3384604,1.2552428,0.67789876,1.2837921,1.1980472,0.67168355,1.2838199,0.80851054,0.84450865,0.6539203,1.5082844,0.68293226,0.69466555,0.7810724,0.6736392,0.963521,1.1708057,1.4814285,1.4687843,1.0278347,1.0886458,0.69728625,1.3852706,1.0518378,1.3500907,1.1534711,1.2695599,0.9632972,1.0497067,1.4676178,0.9597827,0.81111574,0.9836352,0.910655,1.2203698,1.3695762,0.6952206,0.737478,1.4525514,0.74803776,1.5318469,0.82370317,0.67593634,0.8877243,0.92702615,1.1200608,0.86294293,1.421651,0.76944685,0.79012907,1.3736551,0.51369846,0.4893461,0.91289115,1.436688,0.7420665,0.7276378,1.2339436,1.0886694,0.84200245,1.1547772,0.86906266,0.7954943,0.83933806,1.4836786,0.73976654,0.64058936,0.79137,1.1973672,0.749529,1.3480606,0.95441914,1.3836892,0.84384054,1.2635605,0.62566745,0.9770839,0.44342995,0.77070415,1.2141051,1.2567499,1.5085567,1.2643836,1.4406819,1.1663783,1.369044,0.8954342,0.8217686,0.7424271,0.76675117,0.8396899,0.9616807,1.4737809,1.4534235,1.1758127,0.80517995,1.0284574,1.1058708,1.0346602,0.4459418,1.2737374,0.7818533,1.3221629,0.9054686,1.4146475,1.1730537,1.0400535,0.9317557,0.22706199,0.92904806,0.9612537,0.79115796,0.9108971,0.8484498,1.0766882,1.1005263,1.1453079,0.55598223,1.4946048,0.961315,1.3738704,1.1446922,1.0798712,1.398564,0.8324264,0.9729273,1.4287941,0.8525638,0.7463566,0.78482985,0.6954942,1.4796547,1.366693,1.4715136,0.67505777,1.2376269,1.1943991,0.8844025,0.85440093,0.670896,0.86999404,1.5198407,0.7365396,0.9145714
ankle,1.3384604,0.0,0.7508999,1.1240687,0.97603786,0.93414,1.1198845,0.9237765,1.3206652,1.1900443,1.3984578,0.41974604,1.2081063,1.1654103,1.2276329,1.2862852,1.244416,1.0354282,0.8070844,0.9494638,1.2354406,1.1728264,1.2587914,0.96126646,0.7759578,0.7621066,0.78703254,0.55169415,0.9954742,0.8855005,0.914664,1.0964042,1.0607544,1.223882,1.1543468,1.1252546,0.75836813,1.3051652,1.0771859,0.6150399,1.2870531,0.7764297,1.3003821,1.0047921,0.86414236,1.1497393,0.92875206,1.1566312,0.73642886,1.0458467,1.1613833,0.28238887,1.003651,0.94713426,0.41191423,0.5305594,1.1325113,1.4175097,0.5501463,0.36094266,1.09044,0.80567575,1.0752432,1.2759103,0.72816825,0.5698085,1.1089759,1.3949445,1.1314765,1.1611328,0.94083464,0.8273079,0.945101,0.8801285,0.98696184,0.8862696,1.2346972,1.2023051,0.89909947,1.222831,0.6083012,0.9849175,0.6795001,0.7165377,0.35816765,0.5897723,0.77815515,1.2886653,1.1767442,1.0422046,0.94332564,1.3157486,1.2091365,0.59400135,0.6230876,0.9795342,1.1222816,0.7461727,0.8795411,1.1943761,1.1651655,1.1369514,1.0499034,0.651605,1.0273921,0.889021,0.95593596,1.1106822,1.1981043,1.3202827,0.76861864,1.1389614,1.133373,0.8991293,0.988611,0.8372853,1.0313329,1.2390106,1.1659704,0.43846405,1.2413296,0.6312038,0.41902524,1.1832496,0.7688525,1.1753135,0.92827755,0.69684434,1.125426,1.1834437,1.3005271,1.504744,0.9479693,0.2844447,0.44788522,1.1212063,0.7422101,1.0392646,1.3669938,1.2331861,1.2653211,1.0839946,0.48044223,1.2433555,1.1851734
apple,1.2552428,0.7508999,0.0,1.4276211,0.2543779,0.36964995,0.9662712,1.0114218,1.452877,1.173107,1.5152745,0.76922834,1.5266033,1.3746086,1.047511,1.4855497,1.1192561,0.79771066,0.59299076,0.65050566,1.0924861,0.91236544,1.3150558,0.75485516,0.6381515,0.78786546,0.9048187,0.49386907,1.2235451,1.1679181,0.5306265,1.1265196,1.3789012,1.0582759,1.2456065,0.7572873,0.78756213,1.49667,1.2831979,0.58517003,1.4708636,0.55495304,1.1919695,1.2069819,0.9096628,1.3290601,1.0366067,1.3228316,0.20043576,1.2625341,1.1493634,0.65478015,0.9889826,0.81260425,1.0590976,0.69886833,0.70785576,1.2685959,0.8432946,0.92586833,1.2474279,0.5914371,1.2094961,1.0077474,1.1085479,0.5618207,1.3379455,1.4134758,1.3360939,0.84078574,1.4164052,0.808674,1.2248294,0.6972408,1.1969528,0.8417135,0.8854307,1.149736,1.2036618,1.2305843,0.7563859,0.6903173,0.46545827,0.83466864,0.6930362,0.7747605,0.3416232,1.3959447,1.3091768,1.4039679,1.4201628,1.1924076,1.1381559,0.6913043,0.71834636,0.6715486,0.81181026,1.0568042,1.0571654,0.9569053,0.9648341,0.7106956,1.1975793,0.3988521,1.032403,0.8534245,0.40047312,1.263172,1.2875235,1.1281174,1.1078813,1.0631438,1.351762,1.2203101,1.3956145,0.8065785,1.1111752,1.1767792,1.2582599,0.5703447,1.2605566,0.60951793,0.98009807,0.9735046,0.55618924,1.0020431,1.1211784,0.33531034,1.1961515,1.3491614,1.36473,1.4195379,0.49543148,0.60373867,0.64881945,1.1624168,0.9090344,0.5486555,1.1944157,1.0226526,1.325681,1.2297199,0.616441,1.3219627,1.1741633
arm,0.67789876,1.1240687,1.4276211,0.0,1.403472,1.2506133,0.8118954,1.3835219,0.6888659,0.7899903,0.48643565,1.413927,0.6677189,0.40924776,1.0772032,0.57770437,1.0809975,1.3593723,1.55442,1.5170721,1.160487,1.1945292,0.9170852,1.4702908,1.3832722,1.4858587,1.3061159,1.2059852,0.8501497,1.1802903,1.5117514,1.2407453,0.5787256,0.9965322,0.8126669,1.2713878,1.4252441,0.5288023,0.6270888,1.5119555,0.8066138,1.5865036,0.78396654,0.76793486,1.1210465,0.8332754,1.1857865,0.70964825,1.4129908,0.51610553,0.71869636,1.0688767,0.9186853,1.195619,0.6974694,1.3926593,1.3162678,0.67828727,1.1755884,0.9644088,0.7545787,1.2556322,0.66476274,0.93356377,0.4145664,1.5358824,0.51669896,0.64206576,0.6663252,1.235467,0.33583987,1.3878472,1.0564293,1.527457,0.4447028,1.3048617,0.8247725,0.8272377,0.50747883,1.0105922,1.1096026,1.3304855,1.4411857,1.3956162,1.3749793,1.133793,1.4322157,0.8675643,0.67136866,0.252223,0.43269408,0.85888255,1.0081662,1.4576042,1.3888774,1.4442439,1.0677489,0.8408475,1.1880985,1.0644268,1.0801136,1.385822,0.79962605,1.3446307,1.1960058,1.4146137,1.4189069,1.0641712,0.758549,0.77406466,0.8613857,1.0815917,0.33715296,0.96920097,0.41490114,1.2969589,1.012962,1.066573,0.9093959,1.5567737,0.92618597,1.2525802,1.0122197,0.9045625,1.5078619,0.96451724,1.0944252,1.4368182,1.113336,0.37719715,0.63499135,0.5981851,1.6320299,1.1072356,1.3230443,0.65550447,1.3825154,1.4936488,0.90001744,0.92157644,0.73773754,1.1015598,1.4771974,0.67290175,0.7792978
ball,1.2837921,0.97603786,0.2543779,1.403472,0.0,0.17769706,1.0969048,0.969098,1.3472953,1.1820369,1.3614658,0.8825396,1.4588134,1.3548591,0.9529841,1.3635406,0.966145,0.76023424,0.5126424,0.55443406,0.9767425,0.89318246,1.1892715,0.6501005,0.79013956,0.83119285,0.97071385,0.77995795,1.2207025,1.2378772,0.3720492,1.1629831,1.4100041,0.95525056,1.2075895,0.7230339,0.80597967,1.3970959,1.1840793,0.6660463,1.3787649,0.54046106,1.029517,1.1985955,0.93475664,1.3515599,1.0609176,1.2806702,0.2068181,1.2752653,1.1649684,0.8954924,1.0742824,0.967754,1.2164316,0.85635644,0.81596184,1.1078751,1.0141197,1.0457395,1.2195786,0.5188755,1.2438923,1.0066619,1.2482054,0.5900706,1.362379,1.2636402,1.2990744,0.6705138,1.4172287,0.8233776,1.2850089,0.6618586,1.2135983,0.91060877,0.81576025,1.0477513,1.2026503,1.1773298,0.9890059,0.7243047,0.4965105,0.87318355,0.89763016,0.92020166,0.36862785,1.3610678,1.228076,1.3924539,1.4396206,1.1033603,1.0986621,0.76577747,0.7786603,0.6654246,0.85857177,1.081521,0.9928816,0.9475636,1.0969203,0.6299948,1.2070801,0.44518304,1.0619154,0.85743475,0.53103465,1.2740443,1.2301936,1.1381292,1.2069114,1.038341,1.3462329,1.0638448,1.3969908,0.81767267,1.1400161,1.0344659,1.2422005,0.6281047,1.162131,0.71321106,0.9535922,0.8129846,0.6023117,0.7688399,1.121626,0.5145714,1.2169306,1.3414667,1.1918758,1.3003552,0.43181503,0.81610996,0.8047821,1.0897988,0.9072288,0.38024986,1.1304542,1.101993,1.3447733,1.2167312,0.7082832,1.3766493,1.113337
balloon,1.1980472,0.93414,0.36964995,1.2506133,0.17769706,0.0,1.0765953,1.0691042,1.1020184,1.1928673,1.2482154,0.9317839,1.2956212,1.2256885,1.0238136,1.2969537,0.98451746,0.9054946,0.74469364,0.65084535,1.0018319,1.0147022,1.1420761,0.7322812,0.8851721,0.9126439,0.9815593,0.75639105,1.145003,1.2042797,0.5194229,1.2014843,1.2975087,0.9018569,1.1879399,0.8415747,0.9202767,1.251123,1.1791456,0.83376867,1.2901822,0.71019423,0.9916561,1.1538348,0.9974635,1.2029581,1.0181464,1.2290334,0.31969333,1.1920819,1.0978717,0.8563143,1.0025402,1.0285938,1.0600548,0.89155257,0.96877515,0.9504443,0.99358237,1.0104846,1.2014214,0.6067295,1.1297178,1.0047789,1.121524,0.7278067,1.2556086,1.2063298,1.2398344,0.8232188,1.270107,0.9157102,1.2474544,0.7974328,1.1090746,1.053904,0.75529736,0.9307196,1.0675528,1.1606084,0.94904673,0.8260209,0.67381364,0.89123905,0.90447366,0.83999896,0.56305045,1.2608125,1.2376828,1.2842557,1.2586809,1.0472618,1.129899,0.8919083,0.9008062,0.83071935,0.90031266,1.0906359,0.9941888,1.0390786,1.1545495,0.6795037,1.1462847,0.55902565,1.067377,0.9678942,0.7315053,1.1500767,1.1986957,1.12641,1.1534258,1.1374352,1.216078,1.1631801,1.213588,0.8917349,1.0021563,0.90262717,1.1478171,0.8224319,1.1902876,0.7773514,0.9864482,0.75151896,0.68300647,0.76232517,1.0804826,0.5975807,1.1915762,1.2411091,1.0982386,1.1998132,0.7198851,0.80723715,0.81705654,1.0110476,0.9519336,0.6398078,1.0724286,1.1249369,1.187396,1.2061422,0.8529715,1.2049928,1.1262524
banana,0.67168355,1.1198845,0.9662712,0.8118954,1.0969048,1.0765953,0.0,1.3041276,0.8626987,0.99573123,0.83935094,1.3372327,0.8025269,0.8032216,0.998038,0.92214215,0.86164016,1.1643403,1.3206124,1.249356,1.034348,1.04182,0.86793375,1.2797127,1.1016123,1.2324927,1.1766472,0.8743603,1.0337453,1.2587881,1.2524829,1.0127567,1.0292481,1.141477,0.81139493,1.1784688,1.2114794,0.8937307,0.68727106,1.1673336,1.0294933,1.3605561,0.7535852,0.91452587,1.0664687,1.048642,1.0249641,1.0650568,1.0472252,0.91573757,0.94797754,1.0721165,0.7127836,0.8940011,0.9718012,1.2267566,0.82145435,0.8522022,1.1255647,1.052516,0.9069489,0.90254307,1.0185813,0.853727,0.7908265,1.2730464,0.93874896,0.691795,1.0166452,1.096261,0.8783356,1.1278694,1.1140813,1.3419075,0.8936231,1.2158605,0.53354037,1.032856,0.688259,1.0606382,1.0181998,1.1463997,1.2291416,1.2266814,1.189316,1.0539361,1.0399219,1.0330324,0.86921096,0.8649621,0.9149044,0.94139075,0.97991353,1.2596948,1.2004668,1.1464918,0.60845745,1.0635419,1.1743529,1.000077,0.9008504,1.1152363,0.77389383,1.0211937,0.9198609,1.276834,1.0422401,1.171051,0.9326009,0.7882807,0.9854609,0.6174599,0.9456295,0.9389472,0.98877656,0.8425047,0.9549897,1.1133767,0.941658,1.2723294,1.0184231,1.1019467,1.1770751,1.0114702,1.2033662,0.76407015,1.0034469,1.1665757,1.0898161,0.8854645,0.84844005,0.8269298,1.0994319,1.1103812,1.1521955,0.5117506,1.2544911,0.9675111,0.95029473,0.9854298,0.9768619,1.0681528,1.2673523,1.0594596,0.91038465
basket,1.2838199,0.9237765,1.0114218,1.3835219,0.969098,1.0691042,1.3041276,0.0,1.1356838,1.254737,1.174311,0.7383375,0.97259957,1.2417432,1.0516099,1.0710952,0.9647406,0.69287306,0.6787059,0.72962224,0.62320364,0.952309,0.7641952,0.5603576,0.90172803,0.42873883,0.7994908,1.0988595,1.1942511,0.51256895,0.8664509,0.70608795,1.048598,0.94972146,0.9914136,0.88655674,0.7525772,1.1315588,1.1767488,0.8068555,0.640007,0.69856596,1.1090358,1.1963884,0.8327206,1.0446336,0.7819269,0.93305284,1.0065719,1.3436642,1.2330403,1.049392,1.3032764,0.9129554,1.2042407,0.74107206,0.95289654,1.2486207,1.0127007,0.96661913,1.2594855,0.92189515,1.2380651,1.1774391,1.310543,0.73123235,1.3434892,1.2330436,1.0863189,0.8044416,1.3551729,0.73918724,0.5971348,0.7269974,1.2993419,0.7516193,1.2572703,1.1192973,1.2728214,0.7566681,1.1488655,0.89442426,0.9861634,0.60856193,0.9270905,1.1234443,0.9694032,0.9076651,1.2822764,1.3236305,1.2405176,1.0381365,1.0076911,0.8042547,0.82335764,0.8514571,1.0218302,0.90864927,0.65023315,1.0372534,0.882071,0.8571911,1.1860876,0.9818257,0.6142752,0.5378523,0.95615107,0.7446763,1.2694402,1.2544982,1.0596223,0.99054956,1.2948352,0.8719182,1.2065035,0.8641055,1.1371219,0.87709296,0.96504164,0.7553693,1.1056545,1.0471314,0.90551496,1.2003989,0.75931704,1.2335206,0.98660815,0.8914568,0.53837216,1.2766086,1.1555007,1.1480833,0.6912394,1.0792797,1.0200481,1.2767792,0.57861656,0.78247786,1.0106624,1.0823039,1.0916675,0.65869606,0.86436516,1.116762,1.0499642
bathtub,0.80851054,1.3206652,1.452877,0.6888659,1.3472953,1.1020184,0.8626987,1.1356838,0.0,0.81663734,0.51377815,1.2950072,0.39807236,0.8285238,1.0351297,0.6609688,0.7066413,1.2353462,1.4568955,1.0507482,0.8480958,1.2080555,0.78833455,1.1367395,1.312401,1.240075,1.1134756,1.295432,0.7664777,1.0064704,1.2632672,0.9659499,0.87843674,0.7994911,0.88389784,1.1934592,1.1205852,0.5210852,0.8803167,1.4133873,0.6906476,1.3678217,0.83747965,0.9826645,1.3756887,0.61790574,0.7379577,0.9374125,1.3712673,0.74745035,0.908722,1.3622344,0.9443482,1.223065,1.0276303,1.3073027,1.2710304,0.6592222,1.3030031,1.317956,0.686118,1.3391137,0.91212475,0.96584433,1.045312,1.4647812,0.75097454,0.6427704,0.89918286,1.1643504,0.7223066,1.2366111,0.9513824,1.2870983,0.8420334,1.2937298,0.8639685,0.7456162,0.913021,0.9195836,1.2261649,1.230561,1.4025313,1.2259883,1.371089,1.1289998,1.3888773,0.5271983,0.74815106,0.8477045,0.7096428,0.7945857,1.0385807,1.3537471,1.3376787,1.3343418,1.0053049,1.1175838,0.98668605,1.1501429,1.1008458,1.0711021,0.88355535,1.3411788,1.1233678,1.0966204,1.3882356,0.6155846,0.73769456,0.9196502,1.1576784,1.0769744,0.76596767,1.0375324,0.7286943,1.2054745,0.5993697,0.3970344,0.8744223,1.4925612,0.7194181,1.249878,1.241528,0.8042378,1.3053561,0.8556067,0.9183648,1.3892882,0.9587525,0.85265255,0.7067768,0.5848154,1.3501046,1.3967032,1.2683477,0.87256026,1.1767061,1.390518,0.8341528,0.8999484,0.6184559,0.9848998,1.4450247,0.5969756,0.9528973
bear,0.84450865,1.1900443,1.173107,0.7899903,1.1820369,1.1928673,0.99573123,1.254737,0.81663734,0.0,0.830005,1.197967,0.963189,0.83679724,0.8464001,0.8327333,0.93071574,1.2156035,1.283072,1.2607086,1.1964177,1.0834541,1.025639,1.311081,1.1039622,1.2640467,1.1592095,1.2555093,0.4345219,1.2067978,1.1814986,1.1635803,0.87333363,0.9587487,0.941031,1.045365,1.0621495,0.9203737,0.83055353,1.2503912,1.0227528,1.2872688,0.97921914,0.66419566,1.1875737,0.89537585,1.2396729,0.9225899,1.2388214,0.8060744,0.97160125,1.2037482,0.9032013,1.1130993,1.0191498,1.2436113,1.0313334,0.90449697,1.1511915,1.1938356,0.5416564,1.3138449,0.80653596,0.931759,0.968977,1.2640086,0.5730917,0.7995135,0.8964957,1.1639086,0.7533634,1.2283663,1.1434159,1.1956134,0.89240164,1.0084001,0.87238413,0.79382145,0.9921035,0.96996295,1.1247447,1.0670404,1.1756991,1.3428416,1.1921215,1.0200704,1.2413887,1.0458868,0.46823132,0.771932,0.8123534,0.9722727,1.0283233,1.2323321,1.2565092,0.9794833,1.0701745,0.96525985,1.2238233,1.0369806,1.029995,1.1909376,0.946992,1.2286975,1.2226439,1.181433,1.0385357,1.1362119,0.53138685,0.8414773,1.0755928,1.1543287,0.7845585,1.0028589,0.8319999,1.2800527,0.89958644,0.9946291,1.0527612,1.2787063,0.51895094,1.1800234,1.2266123,0.87017334,1.2563534,1.0361543,1.07511,1.2055535,1.091224,0.79024935,0.85933644,0.8665831,1.2633321,1.2045021,1.1606343,1.047821,1.3056648,1.3217494,1.0017691,0.68678164,0.88300395,1.1967177,1.2189274,0.8183215,0.89081985
