,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
belt,1.5831186,0.36397135,0.63083696,1.4275422,0.99658275,0.5014842,1.1725644,1.0942913,1.3442388,1.4941297,0.0,1.2758391,1.5640905,1.4756366,0.38698614,1.2381189,0.98171467,1.1411464,1.2757981,0.88791156,1.1399335,1.0541722,1.0133955,0.65681523,0.7044311,1.0299284,1.108686,1.0656087,0.39762253,1.3101193,1.0283513,0.7359165,1.429642,0.9937778,0.1861623,1.4802604,0.9604088,1.3702877,1.3572841,1.1100044,0.8659941,1.2716581,0.8061806,0.45415807,0.63752484,1.2093338,0.71414155,1.1957204,0.43176728,0.62501293,0.6164573,1.0717652,1.2827721,0.7492398,1.2155635,1.0250907,0.78327155,1.2953602,1.3367699,0.46243322,1.1786208,1.1002215,0.826276,1.2671237,0.39816463,1.1699977,0.3430918,0.8691639,1.3653059,1.0621663,1.4437358,1.2040569,0.9560161,1.1421149,0.4035622,0.6792343,0.535519,0.9124095,0.72144514,0.8286609,1.1339183,1.5024773,1.357418,1.447532,0.24880165,0.35901988,1.0324371,0.87115544,0.86903185,0.921442,1.0988259,1.4292147,1.3122748,1.0559304,0.9490608,1.2064347,1.2072886,1.262929,1.3291339,1.2948505,1.3337824,1.155711,1.1960487,1.374564,1.2576809,0.89554036,1.1934018,0.18484437,1.1552676,0.41263837,0.8124914,1.227032,0.64694417,0.2884953,0.9631126,0.41462684,1.1297656,1.4457726,1.4150229,0.70284075,0.6339334,0.95594954,0.9507507,0.4130385,1.0108298,1.2516489,1.0050857,1.2286754,0.8850501,0.5488707,1.1846673
bench,0.71079564,1.20185,1.3794355,0.89497006,1.2220492,1.3331672,1.0509205,1.0401535,0.41055346,0.42531794,1.2758391,0.0,0.8649228,0.5629422,1.1478301,0.72091603,1.2270133,1.1431417,0.73317385,1.135137,0.7548208,1.1178105,0.94563746,0.87422836,1.0985247,1.0072759,0.68806076,0.5763633,1.3198787,0.49460423,0.97781634,1.2695687,0.34712595,1.1299723,1.3365242,0.5251639,1.1854249,0.77855206,1.0997127,0.70729876,0.7324892,1.0136902,1.0978377,1.3903532,1.3141289,0.9910597,1.3700004,1.0824674,1.2689275,1.2388895,1.2121253,1.1262958,1.0631406,1.2682055,1.1965941,0.7279569,1.2359805,0.9687546,1.1015561,1.2629721,0.89945936,0.8393347,1.2286117,0.70043504,1.0722867,0.5377147,1.1995026,1.1323568,0.9131408,1.1752622,1.0111412,0.98097736,1.196299,1.0749958,1.3358827,1.0432518,1.4261789,1.2405524,1.1770275,0.7497292,1.0470351,0.8443736,0.64728594,0.69566023,1.2317827,1.2709408,1.0441159,0.76922095,1.1418854,1.0491754,1.062293,0.7723409,1.2724266,0.9323926,1.1632125,0.42513937,0.6967764,1.1732897,0.7899555,0.9547125,0.7825323,0.81592876,0.9341665,0.86401874,0.646379,0.60921794,0.80174124,1.2672696,0.7714987,1.1725605,0.9480519,1.1865762,1.2835157,1.2209524,1.0442519,1.3557456,0.97562146,0.73835117,0.8322501,1.348551,1.3789084,1.204915,1.3043816,1.0309844,1.1918892,0.621202,1.0012566,0.9765352,0.96409583,1.3559153,0.74361205
bib,0.3778987,1.4829342,1.4250422,0.45269322,0.9479871,1.4269209,0.8103641,0.8661336,0.72052234,0.3732869,1.5640905,0.8649228,0.0,0.32671607,1.3852206,0.60895824,1.0752118,1.0346824,0.7813803,1.233001,0.9655027,1.0398375,1.1196731,1.3837328,1.3230202,1.042551,0.7771337,1.180014,1.3724802,0.82394016,0.8833684,1.2864218,0.5317632,1.1615767,1.5976934,0.33665127,1.2157675,0.69321454,0.53167105,1.0900984,1.2065855,0.58114195,1.2004399,1.4359388,1.3277482,0.90198106,1.3614867,0.7313654,1.3230394,1.4406086,1.4386332,0.8184977,0.78904104,1.3131602,0.80646956,0.89942014,1.1096652,0.6853893,0.7781141,1.3974913,0.7461561,0.813665,1.2326708,0.63539845,1.5085027,1.0878912,1.5468775,1.2021953,0.69355714,0.9378165,0.44757926,0.96979403,1.0935618,0.9730026,1.3709149,1.2838824,1.431458,1.0384393,1.2421205,1.3183907,0.83741784,0.31471467,0.5664502,0.33211416,1.5571644,1.5470803,1.1120003,0.9272164,1.2669156,1.1781468,1.0444777,0.62631774,0.790227,1.0630162,1.0550658,1.0136917,0.8310484,0.89487106,0.7122302,0.60172695,0.51886606,0.8815998,0.7497302,0.8138728,0.86642516,1.116538,0.84958684,1.5847716,0.8805525,1.4423702,1.2748408,0.9445561,1.4366099,1.4278005,1.1241201,1.5063417,1.0331975,0.5082102,0.56818795,1.3440565,1.4117258,1.1870185,0.9216958,1.3843551,0.9009642,0.70818293,1.0679096,0.8648611,1.2706435,1.380373,0.84892267
blanket,0.4546492,1.4279227,1.4761965,0.73724556,0.96964407,1.4614867,0.96513236,0.8097467,0.58671635,0.13905323,1.4756366,0.5629422,0.32671607,0.0,1.287046,0.6739925,1.1666393,1.1452442,0.78761566,1.2507929,0.8718363,1.0348208,1.0616006,1.1817155,1.2252517,1.1431422,0.6727388,0.97267205,1.3589921,0.5907764,0.90613866,1.3482447,0.34335303,1.1839525,1.5582223,0.35340905,1.2584467,0.57047105,0.64419234,0.89358234,1.0941428,0.71567225,1.2226238,1.5152278,1.332097,0.90659225,1.4109722,0.8116061,1.2789305,1.3978183,1.4298389,0.89158016,0.9067926,1.3405851,0.8705964,0.82132053,1.1778582,0.8014703,0.9959386,1.340248,0.8192269,0.8382872,1.1979108,0.6102387,1.3995427,0.79405165,1.4786263,1.2525074,0.80064607,1.1491348,0.5373583,0.92986995,1.1714575,0.98655975,1.3782703,1.2703347,1.5234988,1.1661267,1.3208276,1.1382778,0.78692365,0.46252805,0.5273817,0.366351,1.5013435,1.5232992,1.1460953,0.5618954,1.2585008,1.1258373,1.1261114,0.63467085,1.0744886,0.9411188,1.1164154,0.82897687,0.8194965,1.0422146,0.5508676,0.81837475,0.694541,0.7732099,0.7992235,0.9340937,0.7205296,1.0135431,0.8515711,1.4961267,0.84902626,1.3099365,1.1596664,1.0822997,1.4730656,1.4027274,1.079657,1.5112772,0.91548073,0.5698867,0.70783,1.4579715,1.4200001,1.2837102,1.156775,1.2429028,0.94467854,0.7043685,0.970592,0.8821354,1.1188918,1.3927848,0.7799097
boat,1.3626523,0.587525,0.81192875,1.3106054,0.9874806,0.6663611,1.1791184,1.1187644,1.2088467,1.2678552,0.38698614,1.1478301,1.3852206,1.287046,0.0,1.1905069,0.9905946,1.1641669,1.3114108,0.97430617,1.1530178,1.0857931,1.0295618,0.8274249,0.60113484,1.1759855,1.0263938,1.0509411,0.49416947,1.2439489,1.0576549,0.86067307,1.2518779,1.0509877,0.41003984,1.3156052,0.9907014,1.2152424,1.2789946,1.0925039,1.006194,1.1684033,0.99179316,0.6334524,0.6395306,1.076159,0.8467414,1.1342924,0.6024891,0.8294329,0.6863116,1.0402235,1.2757392,0.86825025,1.2216393,0.9795566,0.9234376,1.1938105,1.3563387,0.58686274,1.112321,1.0971711,0.88239014,1.0878303,0.50160456,1.1175553,0.47295678,0.81297785,1.2573762,1.0766522,1.3714101,1.1261315,1.039661,1.232262,0.487728,0.73605716,0.7784521,1.0147917,0.8314029,0.8454492,1.0361036,1.3744607,1.1860318,1.2856158,0.3739928,0.49786013,1.0462267,0.7309629,0.9215831,0.8843303,1.0881476,1.3194516,1.2550346,1.091098,0.9837612,1.1067846,1.1556642,1.2186499,1.2258667,1.2743757,1.2784482,1.1788003,1.1544057,1.248982,1.2060397,0.8561053,1.1676415,0.38969707,1.0109,0.5134522,0.9263247,1.1906657,0.72033906,0.3476019,1.0124965,0.6527777,1.1321433,1.309566,1.2779417,0.78191173,0.76416135,1.0883896,1.0321476,0.5436202,1.0191514,1.1780821,1.0152981,1.1747749,0.95076317,0.69763255,1.0913892
book,0.6211044,1.3239173,1.2996511,0.90070236,0.9532897,1.2102903,0.8860005,0.65667784,0.8318972,0.7163622,1.2381189,0.72091603,0.60895824,0.6739925,1.1905069,0.0,0.9825651,0.93681693,0.36787856,1.1251335,0.93088067,0.836326,1.0422287,1.035401,1.124249,0.9765729,1.0963671,0.9020024,1.2164186,0.93136644,0.8143654,1.2117126,0.7448699,1.1079831,1.2679212,0.64571583,1.034946,0.90476406,0.81605345,1.0836983,0.88171893,0.9424366,1.07065,1.3116963,1.3054838,1.022557,1.2765663,0.9263005,1.0515997,1.3217785,1.135803,0.67950964,0.9590622,1.2904541,0.99856305,0.96143186,0.6649276,0.980382,0.8779161,1.3284016,1.0385478,1.093371,0.93917274,1.0456854,1.1503538,0.9032572,1.2025285,1.0629122,0.9462565,0.9295758,0.8573073,0.9458066,1.1310275,0.97624356,1.3421707,1.056874,1.3668498,1.2030632,1.2644445,0.969949,0.953161,0.82527417,0.887334,0.2514248,1.2081139,1.1861933,0.9823539,0.88348675,1.0466331,0.9755779,0.9770581,0.8790043,1.0237421,0.8716918,0.7918037,0.9556076,0.9209531,1.0540267,0.8807265,0.68230593,0.99002624,0.96265376,1.0328768,0.8326371,0.94378614,0.99338096,0.9876288,1.3330442,1.1563761,1.080842,1.1584215,1.0858049,1.184251,1.306701,1.0481254,1.2704861,0.9895019,0.96473235,0.7467346,1.1644127,1.3486509,1.1614108,0.95773315,1.1571679,0.8143412,0.46091187,1.012225,0.8809708,1.0729052,1.2950374,0.9516173
bottle,0.97270685,1.0175147,0.92532086,1.1288335,0.67291796,0.7544416,0.9837164,0.7065502,1.0621485,1.16303,0.98171467,1.2270133,1.0752118,1.1666393,0.9905946,0.9825651,0.0,0.63387066,0.795007,1.1210076,1.0504932,0.40481806,1.2323107,0.8331095,0.9777729,1.0973959,1.2800266,0.9684325,0.8295501,1.1661024,1.0577993,1.0740299,1.1104994,1.1162672,0.9840084,1.06624,0.2855115,1.0541207,0.9206989,1.1162149,1.1259676,0.9464371,1.0838946,0.9760185,0.91403025,1.0758591,1.0760531,1.0761905,0.9144371,1.0572027,0.97066927,0.9136865,0.7404332,1.1757973,0.9945293,1.2363011,0.70949244,1.1560422,1.0926969,0.8971109,1.1476213,1.2816278,0.64879876,1.2022164,1.109438,1.086747,0.9702363,1.0179073,1.0971607,0.8858556,1.0780461,0.90502375,1.0770462,1.1471815,0.98538524,0.88601315,1.0734254,1.0940049,1.0109957,0.94682246,1.0044743,1.1646041,1.2456584,1.0401064,1.0268352,1.1069087,1.1101493,1.0859793,1.0696892,0.7560603,0.9510241,1.1221654,0.78430426,0.84858906,0.78522426,1.1186906,1.1802495,0.89597094,1.0732863,0.8565356,1.2205744,1.061728,1.1523626,0.90396047,1.1023456,0.89357674,0.7427734,0.9916697,1.2234367,0.9631521,1.0682981,0.8931993,0.92943215,0.96423066,1.0423337,0.9077067,0.9712074,1.1944876,0.8242535,0.6655196,1.1107383,1.1738373,0.867477,0.9209368,0.6466202,0.8882686,1.0727905,0.89763,0.9176305,0.9416008,1.1352739
bowl,0.98101753,1.1175408,0.63926756,1.0417377,0.78419054,0.9201901,0.98862743,0.73700076,0.99916375,1.0861826,1.1411464,1.1431417,1.0346824,1.1452442,1.1641669,0.93681693,0.63387066,0.0,0.77133465,0.9450129,1.0245062,0.5252531,1.2021712,1.0646157,1.0897665,1.0837799,1.2571142,1.0100676,1.035896,1.1326853,1.0833279,0.9797775,1.0568607,0.9828014,1.1895,0.99222934,0.42763,1.0659326,0.8932207,1.1209995,1.0226457,1.0677001,1.128374,0.8980089,1.0168022,1.098097,1.1222334,1.0289748,1.1035742,1.0939465,0.8922456,1.0090759,0.70123255,1.2126056,1.0154246,1.2045648,0.95337355,1.1669788,1.012269,1.1406295,1.1578369,1.2696233,0.6857678,1.229143,1.1278875,1.1351018,1.1222906,0.9138385,0.9421151,0.8467835,1.0545589,0.9522914,0.99834055,0.9995047,1.1166122,0.9762315,1.091406,1.0743074,1.0020813,1.0435258,0.9311434,1.0644556,1.1919074,1.0103225,1.1893964,1.2032123,1.048609,1.1736269,0.8724069,0.9252891,0.6137623,1.1356606,0.76235986,0.9359435,0.8079941,1.152059,1.0769808,0.61318946,1.1244999,0.91852826,1.2047021,1.153303,1.1572902,0.854131,1.0518116,0.85038275,0.9141981,1.1389319,1.0806463,1.1699181,1.1577401,0.6628299,0.86703897,1.186498,0.98445255,0.8215133,1.081609,1.1838155,0.63007766,0.6752459,1.152047,1.0429,1.0680438,1.1350958,0.8357675,0.7803861,1.0206343,0.9063804,1.0457433,1.0522603,1.1154453
box,0.6825739,1.2476029,1.1955276,1.0123943,0.89794964,1.2060477,0.9867117,0.53476113,0.79013664,0.79738927,1.2757981,0.73317385,0.7813803,0.78761566,1.3114108,0.36787856,0.795007,0.77133465,0.0,1.0839839,0.82322156,0.55222017,1.121316,0.8178217,1.1267366,1.0815511,1.202429,0.74798024,1.2000645,0.85337144,0.93581116,1.1880614,0.75320375,1.0704851,1.3434327,0.66491747,0.7817059,0.86124444,0.7983906,0.96025085,0.91266084,0.97119486,1.1148305,1.3166809,1.2705908,1.0181919,1.3438623,1.0296981,0.9737385,1.2577093,1.066652,0.7563975,0.9128483,1.3003349,0.9712633,1.0864664,0.85004735,1.0229185,1.0152855,1.2688978,1.0555421,1.187897,0.7780812,1.1951994,1.1968226,0.8314254,1.200979,1.068828,1.0179108,0.998271,0.9021267,0.84090054,1.1776981,0.9386357,1.3885376,0.91892946,1.3449214,1.1253796,1.1896137,0.8585459,0.9292649,1.0080397,1.0719895,0.5713719,1.301819,1.3065937,1.0613668,0.9407632,1.0411983,0.8647719,0.97313327,0.89303625,0.94362867,0.6112325,0.68727016,0.86832535,1.0082203,0.9992867,1.0230266,0.68295157,1.097499,0.94143105,1.1002378,0.813004,0.92758197,0.97302383,0.92827696,1.3595262,1.2211497,1.149672,1.0398096,1.039908,1.092488,1.3348787,1.0561081,1.2099386,0.8489321,1.0852778,0.79100645,1.0950679,1.3843395,1.2305477,1.0173993,1.1124821,0.69611543,0.52621555,0.99625796,0.8060082,0.9188261,1.2763193,0.9379559
bread,1.2023778,0.912031,0.78529215,1.2027996,1.1294342,1.0079722,0.8035428,1.188773,1.3286737,1.290683,0.88791156,1.135137,1.233001,1.2507929,0.97430617,1.1251335,1.1210076,0.9450129,1.0839839,0.0,1.0923668,1.1695595,0.89798576,1.1711763,1.0233803,0.9347107,1.2304028,1.1528298,0.98569953,1.2587686,1.1378282,0.19255197,1.2960553,0.116396785,0.90931845,1.3532603,0.96404827,1.1564163,1.208887,1.2183672,0.98132694,1.1947991,1.0173739,0.82334274,0.9914829,1.1303113,0.9310219,0.937828,0.8950329,0.93524015,0.8002156,0.9095731,1.1445796,0.95592415,1.0567933,1.1520492,1.0467386,1.1944255,1.1096346,1.038871,1.2051318,1.1467837,1.1922876,1.2716384,0.7973031,1.1941688,1.0063459,0.29994786,0.7323349,1.0416753,1.0717572,1.1911863,0.9475299,0.62365323,0.9674893,0.55631244,0.8881296,1.007986,0.95926523,1.0280898,0.88118285,1.2030334,1.1629913,1.21485,0.93116295,0.87533855,0.8552877,1.0834562,0.12249476,1.1255776,0.3816616,1.1270638,0.82701766,0.9506823,0.96068895,1.2801752,1.0930157,0.91542304,1.1381752,1.1978526,1.2459291,0.9425874,1.1164861,0.61389863,1.2215753,1.1707537,1.259814,0.92990077,1.0818124,0.8824732,0.8104873,0.89924324,0.79648095,1.0327315,0.8575746,0.84839046,1.1897757,1.240035,0.9128387,0.77872694,0.9419913,0.7464949,1.1435091,0.9203829,1.1279126,1.2699699,1.1402507,1.190139,1.1045902,0.9884371,1.3057327
broom,0.91190434,1.1128502,1.1615596,1.0081979,1.0197448,1.1256709,0.9903501,0.78405714,0.87808615,0.83919275,1.1399335,0.7548208,0.9655027,0.8718363,1.1530178,0.93088067,1.0504932,1.0245062,0.82322156,1.0923668,0.0,0.87235373,1.1556325,0.95112157,0.9986332,1.123181,1.0320699,0.70866334,1.1379817,0.753903,1.0871198,1.0980972,0.75072634,1.1052866,1.1416947,0.7305279,1.0328554,0.85223496,0.70397234,0.78420126,1.0811363,0.912614,1.1116829,1.2629883,1.1472094,1.0370485,1.2838793,1.122512,0.9980901,1.1596328,1.0545747,0.92094,1.0987978,1.1782677,0.93034315,1.035709,1.125525,0.9694968,1.1603978,1.1232216,0.92379344,0.96193284,0.933692,1.0561994,1.0613413,0.5878496,1.0469029,1.0487376,1.0089746,1.1302168,0.89082986,0.8116083,1.159641,1.0568509,1.228209,1.0560621,1.175488,1.0594125,1.1892085,0.9309083,1.043921,1.0106119,1.08546,0.9392567,1.1430309,1.1435013,1.04994,1.030682,1.0380708,0.90740675,1.1396027,0.94046724,1.0584066,0.98626405,0.96450233,0.8135245,0.820975,1.1286751,1.0193995,0.75526226,1.0051615,1.0153729,1.0997818,0.90576255,0.8046421,1.1086516,0.851409,1.2173805,1.0623605,1.1351348,1.0209799,1.153943,1.0572767,1.1962712,0.9011928,1.1892838,0.75596285,0.981253,0.9148256,1.1357924,1.2310677,1.1962347,0.9205064,1.0386177,0.73693323,0.8263144,0.90310997,0.82154423,0.74712676,1.1596615,0.8673557
bucket,0.9296217,1.1306908,0.9820484,1.1900285,0.5867675,0.8552029,1.1108773,0.24748826,0.9166392,1.0235854,1.0541722,1.1178105,1.0398375,1.0348208,1.0857931,0.836326,0.40481806,0.5252531,0.55222017,1.1695595,0.87235373,0.0,1.3837337,0.73544747,0.847059,1.3287277,1.2637553,0.83484536,0.8918257,1.0468615,1.0034465,1.1227102,0.9731907,1.1783626,1.1415409,0.84145385,0.36049765,0.89190316,0.7985282,1.018972,1.020618,0.99228275,1.1572319,1.1923763,0.8609724,1.0794928,1.2965484,1.1263702,0.890603,1.2130876,0.90221936,0.9116061,0.7628393,1.309804,0.9637687,1.1893231,0.8052793,1.2515622,1.2710292,0.97912043,1.1880028,1.3001766,0.32423943,1.3200867,1.1770582,0.965238,0.9098682,1.0362637,1.1337262,0.98848915,1.0983238,0.7921097,1.1634592,1.1533957,1.2137685,0.9359109,1.1712451,1.1143774,1.2601428,0.8116178,0.8084017,1.2114755,1.3384471,0.93611884,1.17355,1.2401409,1.2764313,0.94490623,1.0610013,0.6275681,1.0278412,1.1457331,0.98017114,0.6183639,0.5531455,1.0392181,1.139616,1.0022274,1.0912383,0.75742406,1.3184901,1.036359,1.249137,0.9634346,1.0347384,0.9490889,0.81945795,1.1276228,1.1585547,1.0858887,1.0785418,1.0594846,0.8785335,1.1546522,0.982191,1.0268985,0.76605296,1.3076115,0.8876807,0.64225864,1.2684574,1.3253512,0.99440545,0.9407485,0.42518938,0.6920879,0.9746656,0.80336106,0.75559455,0.9605359,1.0909232
butterfly,0.93918,0.95536554,0.9227929,1.1132225,1.2956834,1.1885233,0.9754772,1.3300488,1.1765178,1.1404552,1.0133955,0.94563746,1.1196731,1.0616006,1.0295618,1.0422287,1.2323107,1.2021712,1.121316,0.89798576,1.1556325,1.3837337,0.0,1.1982024,1.1991524,0.7207791,0.9842782,1.1146926,1.1960083,1.0305934,1.0596851,0.9063879,1.1326476,0.8543055,0.92531246,1.1753888,1.2573979,1.0846549,1.1718688,1.0865185,0.9530906,1.1123617,0.7309799,0.8628863,1.0710206,0.8716265,0.73679996,0.7749549,1.0399162,0.84277445,1.0197849,0.9665834,1.0937744,0.47498238,1.1090257,1.0167725,0.9658565,0.83011174,0.7557905,1.058475,0.9685513,0.8791559,1.3101195,0.9170679,0.9260574,1.0205032,1.1549182,1.0359246,0.95591635,1.0086472,1.0241526,1.1563478,0.77408856,0.71247804,0.8533014,1.0965801,0.7873956,0.7658075,0.9689162,1.0867549,1.119616,1.0061526,0.82050014,1.0582137,0.9374704,0.8447411,0.7165128,1.1726468,1.0121188,1.1522436,0.98448575,0.97384596,1.0239238,1.1373086,1.2641671,1.0599,1.0070003,0.9420564,0.89364624,1.233144,0.9487766,0.8249136,0.85495484,1.0136387,1.037283,1.0762784,1.2624139,0.9213623,1.1277148,0.95293754,0.7927311,0.85220563,1.027122,0.90204835,1.1905872,0.96259236,1.1192144,0.9598206,1.1057967,1.1871123,0.71437645,0.5776666,0.98773175,1.1760759,1.3507212,1.1215321,1.1792748,1.1433324,1.1976671,1.0169224,1.1383646
can,1.2841976,0.64090997,0.99986225,1.229872,1.0389055,0.7138522,1.2825913,0.91181105,0.9066839,1.17128,0.65681523,0.87422836,1.3837328,1.1817155,0.8274249,1.035401,0.8331095,1.0646157,0.8178217,1.1711763,0.95112157,0.73544747,1.1982024,0.0,0.77443343,1.1030314,1.1065086,0.5888442,0.66882825,0.84017587,0.88324153,1.141318,1.0895107,1.2269892,0.7182312,1.1572676,0.74201536,1.16479,1.2059321,0.72672737,0.7122938,1.133553,0.85831404,0.9803232,0.8785969,1.1373637,1.0426245,1.4219141,0.82450247,0.78564715,0.8806293,1.2863811,1.0853167,1.071516,1.0992175,1.1067693,0.9286646,1.1916027,1.3329613,0.5975329,1.1218582,0.99886435,0.6850147,1.044261,0.8256202,0.7295768,0.51924324,1.0690709,1.3653889,1.0888216,1.3024819,1.0055664,1.1516881,1.3000915,0.9539325,0.7002469,0.9187771,1.1433691,0.85855484,0.31822467,1.115776,1.2844933,1.1378825,1.195567,0.76622623,0.8850929,1.1605412,0.7452289,1.1005495,0.79581857,1.1812274,1.1677645,1.3234181,0.7416717,0.8192742,0.58167946,1.2526016,1.2473669,1.2357855,1.2298313,1.1259733,1.0090349,0.9454813,1.306501,1.027647,0.6513949,1.0046456,0.63956857,1.150001,0.724562,0.84405774,1.2524285,0.89567965,0.77154917,1.0369945,0.8575267,0.8167927,1.1979347,1.3023498,0.7921152,1.0006542,1.2500157,1.1724552,0.40476084,0.9950481,1.006882,0.92072266,1.0715598,0.5894202,0.75629216,0.9537322
car,1.3278943,0.8691368,0.89145553,1.2708728,0.86578524,0.755432,1.2468693,0.8960557,1.0814701,1.1630235,0.7044311,1.0985247,1.3230202,1.2252517,0.60113484,1.124249,0.9777729,1.0897665,1.1267366,1.0233803,0.9986332,0.847059,1.1991524,0.77443343,0.0,1.2866039,1.1289457,0.95555097,0.67104423,1.1019753,0.96427304,0.9012916,1.149082,1.1013154,0.7070688,1.2160469,0.90648264,1.1323965,1.1155432,0.9951491,0.919956,1.1074538,1.1060853,0.9272579,0.62659067,1.0477364,1.0003852,1.2767868,0.73239636,0.983293,0.7140796,1.0645066,1.1335695,1.0162795,1.0546675,1.0476624,0.87910914,1.1720204,1.3639271,0.6907133,1.0456415,1.1038328,0.73006743,1.1170007,0.8255291,1.0379027,0.63900673,0.91064453,1.2748238,1.1189787,1.298275,0.666091,1.1082661,1.2471527,0.8478247,0.88247824,0.8785041,1.0406758,1.0739022,0.78669894,0.9523064,1.3341892,1.1521646,1.2778778,0.7637323,0.8100207,1.1508772,0.73035955,0.91517043,0.8143445,1.0523369,1.2399629,1.2180424,0.86746556,0.80463415,1.0146215,1.1603665,1.2310153,1.3264697,1.1592793,1.2441431,1.0427223,1.1545792,1.2505648,1.1199924,0.9348828,1.0511978,0.71991175,1.0232062,0.70967174,0.9828778,1.2346435,0.7310663,0.7985108,1.0019675,0.8349986,0.6526674,1.287878,1.2732375,0.71692944,0.932132,1.2153838,1.1080033,0.7439073,0.80337614,1.1042795,0.804251,0.86579955,0.77537584,0.724558,0.903975
carrot,1.077665,0.84578615,0.98295283,0.6964692,1.3579206,1.0669553,0.7441845,1.3902361,1.1362027,1.1931571,1.0299284,1.0072759,1.042551,1.1431422,1.1759855,0.9765729,1.0973959,1.0837799,1.0815511,0.9347107,1.123181,1.3287277,0.7207791,1.1030314,1.2866039,0.0,1.0879449,1.0523576,1.1947114,1.128311,0.9911128,0.97432077,1.1840086,0.96107,0.8098479,1.2444166,1.1212817,1.2142338,1.1490705,1.1693574,0.83914626,1.0625353,0.78372014,0.7207905,1.2740395,1.1417289,0.5885736,0.9935318,1.1681283,0.7408785,0.9762224,1.067314,1.116483,0.8038927,0.90666693,1.0096757,0.98414105,1.0741667,0.53775537,1.1232752,1.1057553,0.85662746,1.2527086,0.9305916,0.8365605,1.1369103,1.1081088,1.0944498,0.985801,0.45831114,1.0142949,1.2590059,0.87046,0.80368847,0.93745285,0.93033123,0.7868576,1.0313735,0.56256974,1.1656976,1.2018762,0.8018891,0.8322363,1.0453831,0.87757856,0.75341994,0.73684156,1.1251385,1.0375651,1.1702889,0.9286362,0.9248381,0.8760779,1.1625024,1.2816155,1.0616734,1.0740368,0.8901174,1.0257279,1.069824,0.81186104,0.93892026,0.749792,0.946039,1.1659315,1.0379906,1.013217,0.923575,1.0765913,1.0065557,0.8184099,0.8343299,0.9730139,0.99247324,0.893947,0.87043524,1.1941658,0.87587327,1.0797062,1.17661,0.75247926,0.6433519,0.8210573,1.0355179,1.3742373,1.1714153,1.1378064,1.2093853,1.1737759,0.92616403,1.1744678
cat,0.7676532,1.0833788,1.2756875,0.8657979,1.1000564,1.1570911,1.0312656,1.1396345,0.5457125,0.60118896,1.108686,0.68806076,0.7771337,0.6727388,1.0263938,1.0963671,1.2800266,1.2571142,1.202429,1.2304028,1.0320699,1.2637553,0.9842782,1.1065086,1.1289457,1.0879449,0.0,1.0273728,1.160427,0.69287825,0.9160612,1.2514653,0.7506477,1.1521204,1.2050809,0.6893402,1.3416533,0.59758234,1.1027657,0.8265575,1.1455138,0.9852144,1.0946527,1.2806902,0.9539057,0.9710489,1.2590089,0.8311876,1.0744121,1.1536658,1.2283216,0.9869585,0.86124897,1.1193863,1.0826725,0.31214976,1.2462,0.8386225,1.1086357,1.0266193,0.64282554,0.42966855,1.285383,0.5898842,1.1200919,0.87858534,1.1101549,1.2167997,0.9285165,1.0700145,0.99849343,1.0515385,1.1308494,0.9897873,1.0950105,1.243134,1.1692626,1.1377206,1.1374452,1.0906417,0.8942943,0.87079704,0.71646357,0.898687,1.1279445,1.2095869,1.0855224,0.9217065,1.2707944,1.0838946,1.2476002,0.96881205,1.253664,1.1305792,1.2523772,0.688421,0.825538,1.1759871,0.7647216,0.93794847,0.5792756,0.9484116,0.994281,1.0927162,0.8689129,0.817297,0.88242877,1.0751054,0.3857677,1.1105919,1.1690167,1.203915,1.2704455,0.9485782,1.1044652,1.2447885,1.0608543,0.6344033,0.9420851,1.2837974,1.2360473,1.2125878,1.2931783,1.0980793,1.2044903,0.93567353,0.87270737,1.0387384,1.1485873,1.2356718,0.74534976
