,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
cracker,0.82158536,1.0633736,1.1312451,0.8726007,1.148915,1.1019858,0.6205512,1.0168887,1.0065924,0.99886286,0.9377223,1.3614938,0.9349475,0.81310344,1.1459056,0.9256965,0.87755805,1.1871327,0.8955709,0.9917345,0.28945982,0.9687072,1.2257335,1.2767329,1.1059049,1.1443698,1.0477961,1.1933402,1.2583555,1.078026,1.0272563,1.0335398,0.5560206,1.137108,0.0,1.3109123,0.99602467,1.2587674,0.98712385,0.7936693,1.1695544,1.2331742,0.9710889,1.1459888,1.1967379,1.2017866,1.1698751,0.920758,1.0603428,1.0994968,1.0616277,1.0864971,1.1635967,0.9709005,0.88161,1.1244668,0.93585604,1.058696,0.885629,0.92606026,0.38161647,0.79278606,1.210823,1.0694216,1.1184497,0.94430816,1.0446632,1.0267828,1.1735519,1.2958281,1.2844287,1.0913792,0.62804854,0.9348474,0.8525075,0.96398044,0.9648333,0.72705984,1.2386692,0.77469265,1.2372131,1.1509247,1.0036747,1.2526056,0.8799715,0.8590797,1.0397437,0.6703698,1.3003949,1.2740285,0.9233998,1.006931,1.2527981,0.2396717,1.1473601,0.9110121,1.0143967,1.0907725,1.1675885,1.2432609,1.0931172,1.2152343,0.9279277,1.2197564,0.19935775,0.7773019,0.9174194,1.0927461,0.97232544,0.91102165,0.98192644,1.0234663,1.1930676,1.0828526,0.9300466,1.2587253,0.9598796,1.1244221,1.106866,0.71758044,0.9864341,1.1039046,0.97165394,0.9329901,0.8060723,1.1566752,1.1622156,1.0966463,1.0638833,1.15381,1.0129943,0.96359605,1.3300271,1.2910991,1.1380373
crayon,1.5209097,0.61111623,0.633628,1.2980274,0.5783396,0.74638087,1.1667325,0.6558902,1.3962255,1.2596085,1.537806,0.21484941,1.5262314,1.5575342,0.58984655,1.4476061,1.2854784,0.5003021,0.9118081,1.3644531,0.9831348,1.1537312,0.6052431,0.6326401,1.3392196,0.41042495,1.4034374,0.946261,0.45167124,1.2906375,1.1227131,1.0603443,1.0563724,1.276936,1.3109123,0.0,1.5695264,0.48985887,1.3552394,1.3701288,1.1249691,0.81045103,1.417011,0.5556001,0.6681364,1.0012027,0.70990324,1.1576163,0.58260596,0.9789957,0.9905335,0.5075618,0.48828405,0.92788166,1.3772668,0.61790746,1.1237277,1.2342782,0.83364266,1.3801229,1.3329049,1.2709208,0.399109,1.1071366,0.9019526,1.4254413,1.1301341,1.4460405,0.30420876,0.6880014,0.41526544,1.2042745,1.3582182,1.1057643,1.3523705,1.3756677,1.2603354,1.1001513,0.20086694,0.9030395,0.35784292,0.6814315,1.0697154,0.7970445,1.0938176,1.5371757,1.397407,1.4117106,0.051166415,0.09913856,1.2100097,0.94860524,0.39887178,1.420445,0.7039685,0.7439366,1.3004274,0.7481077,0.9931335,0.5046581,0.7762311,1.1650696,1.3889827,0.5268871,1.3629224,1.2812526,1.2401733,0.69052845,1.4905579,1.3720847,1.3153524,1.0070045,1.2119098,1.0614334,1.3732774,0.16222954,1.3342838,0.44485676,0.81993186,1.2948278,0.88137007,1.0867141,1.378514,1.5295026,1.4239922,0.549717,0.40263116,0.35044813,0.69047916,0.48230332,0.8985459,1.2988439,0.6742188,0.1495558,1.0549216
crib,0.5335547,1.200813,1.4601116,0.8707195,1.4735184,1.4043331,1.1846823,1.0559306,0.4601742,0.70464295,0.3069964,1.4200224,0.19896603,0.57951987,1.3143746,0.52276766,0.77331203,1.423851,1.1743627,0.49453592,1.2477884,0.91623074,1.3226304,1.072755,0.59020585,1.4680034,0.6412841,0.857387,1.383547,0.44305384,1.0917085,0.901265,1.0638442,0.49803352,0.99602467,1.5695264,0.0,1.3762699,0.8011799,0.9339095,0.639613,0.8735482,0.6348736,1.4390739,1.3579288,1.0169412,1.2479397,0.9829664,1.4685681,1.1374635,1.1426538,1.3472211,1.3424841,1.308553,0.7829997,1.3601906,1.0280983,0.6418673,1.3596745,0.73692167,1.0113604,0.96234447,1.4969044,0.8652598,0.92626655,0.6191223,1.03546,0.53315383,1.2959411,0.91136646,1.3165244,0.79272985,0.94711643,1.0617566,0.8865429,0.670121,1.0605667,1.1980481,1.6061087,1.0572903,1.4881438,1.3275245,1.1093515,0.9666721,1.056588,0.53430057,0.60613036,0.68776184,1.4931109,1.4192543,0.9558574,1.1354693,1.2304689,0.8353307,1.3012366,1.3211817,0.8869498,1.4428434,0.8847162,1.2567786,1.4299059,0.54505163,0.63819283,1.402417,0.8866898,0.9559794,0.9113381,1.267845,0.5619138,0.706537,0.73489296,0.96308875,0.56927323,0.72892135,0.508571,1.6160123,0.5693675,1.4714234,1.2271084,0.9507878,1.203851,0.7487933,0.4951576,0.5681387,0.6495434,1.504776,1.572624,1.4575436,1.2077159,1.3135824,1.3066431,0.6120888,1.0167298,1.5939286,0.7982252
cup,1.5459988,0.84068984,0.74979633,1.1799269,0.66900426,0.669459,1.1811912,0.49131882,1.245813,1.4134586,1.4901075,0.49950945,1.4007589,1.4604571,0.802322,1.4063582,1.2351098,0.1931166,0.656659,0.9683603,1.0147007,1.098649,0.16456795,0.45722985,1.1333477,0.8257292,1.4399731,0.73477423,0.5193493,1.1034217,0.49747735,1.1449901,1.0157979,1.0396123,1.2587674,0.48985887,1.3762699,0.0,1.2253532,1.2324967,1.008896,0.7477523,1.3520416,0.99943393,0.87886286,1.1112418,1.0392209,1.2558718,0.9717674,1.1737599,0.61434317,0.9086452,0.7567509,1.0241264,1.1556383,1.0193828,1.0732255,1.3253698,0.84829295,1.3904282,1.3031778,1.3511776,0.60833013,1.3049397,1.037586,1.4009901,0.42018688,1.4001364,0.66197586,0.58649004,0.38778037,1.1756865,1.179626,0.8781048,1.2737494,1.298011,0.9482995,0.88289756,0.60915947,0.82407373,0.73093414,1.0662389,1.0066563,0.5912721,1.1741023,1.4377053,1.3484865,1.3274271,0.502541,0.59129,1.1361971,1.1600474,0.68466145,1.3980044,0.5601447,0.7153386,1.1639117,0.87118584,0.85460246,0.47891003,0.8166026,0.8054709,1.4871057,0.6929167,1.3153212,1.0307269,1.275185,0.91955775,1.4433327,1.2905127,1.360274,1.0760757,1.1372759,0.9076267,1.2853683,0.53462976,1.3803288,0.4256035,0.69662404,1.084096,0.8178717,1.1818995,1.2141305,1.4505234,1.2086786,0.51002455,0.7860489,0.70211196,0.9064217,0.5632249,0.7891141,1.3295095,0.63730764,0.49136376,0.9273882
dog,0.59102297,1.1279418,1.1883647,0.93994385,1.1379031,1.084653,1.0129454,1.1822997,0.96997374,0.7807573,0.8036487,1.2950722,0.7728233,0.8626238,1.0748584,0.8623192,0.98032165,1.171851,1.0789132,0.972287,1.0037572,0.67701626,1.2459564,1.1664457,0.87792146,1.3148457,0.34532595,1.0074692,1.1934879,0.97593826,1.0002308,1.0967245,0.98956984,0.86298645,0.98712385,1.3552394,0.8011799,1.2253532,0.0,0.7536273,1.0144979,1.1670725,0.893475,1.24341,1.2198099,0.92266554,1.1155187,0.95774245,1.2608769,0.8288374,0.9165259,1.2092032,1.2397356,0.9870175,0.8537794,1.1461896,1.0655144,0.88169116,1.099933,0.7738911,0.92445886,1.0027044,1.2717947,0.95416915,1.0709815,0.9101578,0.95815873,0.8845248,1.2804953,1.1441447,1.2244267,0.9435763,0.9174015,1.0445434,0.9989344,0.9297857,0.99279433,0.6991449,1.2807515,1.1580278,1.3057361,1.1586326,1.0480906,1.1033883,0.97434944,0.8151041,0.8479012,0.9957023,1.3212506,1.336333,0.7589916,1.1449274,1.1456174,1.0092278,1.0077169,1.2193398,0.32606786,1.1205899,1.1125393,1.1597161,1.086451,0.9728689,0.6752418,1.0309433,0.9633888,0.9039754,0.9061885,1.2027074,0.8582083,0.9384249,0.8792118,1.1195486,1.0347188,1.0811924,0.8432477,1.2979164,0.9330605,1.1892099,1.1514595,0.93923944,1.0885113,0.96622723,0.8525857,0.81438166,0.86273223,1.1812491,1.275204,1.319675,1.1814272,1.2133781,1.0013916,1.0057743,1.1025116,1.2700115,0.9693983
doll,0.793263,1.1700907,1.045747,0.9487676,1.0614797,0.97813416,0.78245205,1.1474015,1.0812442,1.0782868,0.7905692,1.3624139,1.0335214,0.5546514,1.1934837,0.72627735,0.69470614,1.1632056,1.0610893,0.80777085,0.9314435,0.93190205,1.1487973,1.321627,1.021002,1.294788,0.9472174,1.0531944,1.1938785,1.1410946,0.9260074,0.99912065,0.92103875,0.9844742,0.7936693,1.3701288,0.9339095,1.2324967,0.7536273,0.0,1.2015579,1.2390733,0.73477304,1.1872171,1.0610061,1.1160306,1.1892031,0.9476508,1.1423912,0.92301977,0.84833884,1.2017027,1.1684923,0.8284637,0.9662389,1.1610551,0.825791,1.1050835,0.89954364,0.8692417,0.82434624,0.8664806,1.1586561,1.0490367,1.2539046,0.935943,0.96236384,1.0292617,1.2796941,1.2347872,1.2969189,1.0968528,0.90012133,0.91658366,0.6872057,0.83374023,0.79813355,0.69100237,1.271554,1.0443078,1.2775223,1.1684518,0.87157106,1.2330158,0.8407269,0.5916233,0.96935284,0.8466876,1.3698435,1.3607718,0.7637814,1.1448891,1.2460269,0.80925953,1.0448405,1.0809872,0.7443371,0.8975595,0.9398339,1.1763562,1.1080073,1.1750453,0.85690904,1.1287112,0.8240417,0.9019668,0.8914944,1.0034223,0.9004351,0.7453064,1.0140264,1.0333331,1.1844903,1.2283182,0.8093975,1.2553691,1.0629047,1.1657152,0.9865546,0.9124519,1.0149539,1.1196443,0.58535206,0.8787192,0.88030803,1.1078933,1.2099037,1.2393855,1.0471992,1.1973355,0.56998646,0.8708606,1.2043903,1.3302357,1.1148927
door,1.0308897,1.1234069,1.1667845,0.99153054,1.2396946,1.21519,1.2851455,0.9864796,0.5603946,0.9418348,0.81146574,1.045791,0.6625286,1.0840678,1.1235169,1.0425994,1.0927296,1.0546358,1.1627871,0.81286395,1.2900605,1.0074838,0.99891615,0.64763045,0.8199254,1.0924011,0.91835076,0.7557893,0.96676105,0.3104086,1.0527111,1.0910358,1.1587241,0.64410347,1.1695544,1.1249691,0.639613,1.008896,1.0144979,1.2015579,0.0,0.629861,0.8408729,1.1210833,1.1585846,1.0120744,1.0878706,0.98780805,1.1884339,1.1936767,1.0190017,1.0641503,1.1551974,1.2111087,0.9597803,1.1044427,1.2798936,0.84082806,1.3694222,0.9354625,1.2016995,1.0287385,1.2936628,1.0974827,0.8226458,1.0350043,0.98220843,0.8110602,0.9512408,0.5964969,0.7966349,0.7939115,1.124011,1.008897,1.2129588,0.8531326,1.0671561,1.1588554,1.199337,0.9496281,1.0564913,1.0364033,0.9986425,0.7931915,1.0662513,1.0047097,0.81444377,1.0639175,1.0630519,1.0160102,1.0795311,1.0555791,1.0715184,1.1780386,1.0441284,1.2799144,1.0681285,1.1902431,1.0782048,0.99696255,1.184793,0.29857844,1.064613,1.1005253,1.178705,1.099672,1.1054443,1.1843596,0.8931843,1.1892595,0.85301113,1.0353695,0.33169955,0.7012675,0.9208898,1.244187,0.7785861,1.0909834,1.2344816,1.133847,1.1467059,0.53781277,1.030931,0.9041708,0.9500203,1.2312827,1.1848439,1.1813079,1.1300261,0.86612654,1.3163966,0.98618186,0.7333191,1.1727649,0.477112
drawer,1.2706348,0.81231785,1.0644398,1.1393168,1.165012,1.065294,1.247199,0.7420597,0.9145175,1.1612079,1.1050727,0.73200256,0.91640216,1.3320014,0.9116001,1.2347806,1.0531994,0.8855721,1.0711787,0.7862465,1.2307419,1.1575936,0.7362682,0.4594087,1.0175692,0.85989964,1.1901493,0.88003343,0.8447504,0.7971209,0.98637223,1.0995408,1.1421766,0.6405347,1.2331742,0.81045103,0.8735482,0.7477523,1.1670725,1.2390733,0.629861,0.0,1.2227027,0.8199858,0.78816545,1.0464542,0.98697436,1.1033307,0.9306072,1.0651727,1.0045778,0.87819546,0.917901,0.99264324,1.0448672,0.90233445,1.071462,1.0741456,1.0266789,1.1952175,1.2112497,1.1084379,0.9347375,1.2193545,0.91809964,1.271653,0.9278948,1.122526,0.6380956,0.46107495,0.67767394,0.94266367,1.2187552,1.0654644,1.1444393,1.1635752,1.0657431,1.1249934,1.0255407,0.93581384,0.72721636,0.892563,0.98703897,0.52024007,1.0253041,1.2798961,1.041638,1.0804255,0.7762405,0.69777596,1.0384902,0.84093773,0.7337984,1.3140905,0.93702775,1.0556407,1.1547635,0.93359953,0.98059535,0.7255602,0.95795083,0.55282533,1.1756704,0.767347,1.3479753,1.1531918,1.1848323,0.99502593,1.2084906,1.1794653,1.0138347,1.0854408,0.9016007,0.69312215,1.1716654,0.87349963,1.0979186,0.93106043,1.0294086,1.1227827,0.98854303,0.90511984,1.0973831,1.1670743,1.2928215,0.9536797,0.8744416,0.83521104,1.176975,0.77470994,1.1062152,0.97302854,0.6833609,0.83221877,0.80752015
dress,0.5019017,1.2577137,1.3135651,0.7207652,1.3094946,1.3383193,1.1006147,1.2163713,0.78581655,0.7370623,0.5364829,1.3947668,0.6879546,0.3409016,1.3295473,0.5590616,0.77966684,1.3234345,1.2599272,0.870311,1.235778,1.0098093,1.3094518,1.2534783,0.92949116,1.2592672,0.7382285,1.047207,1.3404813,0.8751253,1.0481664,1.0194037,1.0728412,0.86878276,0.9710889,1.417011,0.6348736,1.3520416,0.893475,0.73477304,0.8408729,1.2227027,0.0,1.1248069,1.235888,0.99678093,1.1030359,0.87943,1.1930578,1.1413481,1.0512663,1.1140367,1.3783728,1.238542,0.9807536,1.1702797,0.847596,0.8537969,1.2990829,0.5532837,1.0281227,0.83792216,1.3017687,0.8645804,1.0191854,0.61073375,1.0136565,0.47425932,1.2963057,1.217954,1.4441866,0.65613455,0.9089329,1.0273207,0.7463988,0.77429366,1.0437622,1.1803203,1.3618884,1.006801,1.2178853,1.0951481,1.0740526,1.2543573,0.998756,0.26268578,0.49634707,0.7086753,1.4027979,1.3604958,1.0283766,1.0607234,1.3586215,0.80162317,1.2188988,1.3374255,0.9255711,1.1607106,0.9469944,1.4181724,1.3282602,0.9479463,0.8058471,1.3299868,0.9589693,1.0825906,0.74830234,1.2281891,0.38400567,0.73336476,0.6367028,1.0937269,0.753544,1.1133581,0.7348131,1.4017857,0.6605185,1.359628,1.0334487,1.0389218,1.2184772,0.9049293,0.7253664,0.46695018,0.76959074,1.4286749,1.2570058,1.2667989,1.178899,1.0878911,1.1895967,0.76080704,1.2314783,1.4132097,0.96635544
ear,1.2291976,0.69103086,0.77059346,0.9387051,0.9696826,1.0257379,1.0706973,1.0728743,1.3543452,1.08959,1.3445423,0.7150329,1.4016442,1.2474722,0.8732102,1.3233516,1.1897886,1.0006344,1.1801119,1.3759713,0.9859667,1.2557762,0.9971646,0.90368664,1.344993,0.3477136,1.2072204,1.2071531,0.9505097,1.3205268,1.208744,1.1530163,1.1219332,1.2035315,1.1459888,0.5556001,1.4390739,0.99943393,1.24341,1.1872171,1.1210833,0.8199858,1.1248069,0.0,0.44687748,0.9208439,0.64614487,1.0092776,0.23878229,0.97126323,1.2186966,0.35250044,0.8631206,1.0144556,1.1389776,0.43005383,0.83381456,1.1993703,0.975222,1.0733497,1.0729014,0.7506939,0.6748295,0.95776075,0.9726508,1.1977559,1.205256,1.1044016,0.6803951,0.998571,0.9311774,0.94480336,1.1738834,1.1184704,0.97296196,1.2643247,1.0201805,1.1612511,0.5246815,0.97514397,0.27545542,0.35150242,0.98688245,1.0862528,0.9526005,1.2032115,1.0328296,1.1524491,0.61974937,0.57237256,1.1190797,0.58668184,0.78403354,1.2146059,1.1159958,1.0725211,1.2076002,0.62798667,1.184518,1.0189954,0.7281381,1.2819233,1.1786774,0.7619335,1.2002314,1.2689936,1.057212,0.964646,1.134929,1.2332087,0.89303434,1.1301119,1.2013825,1.2807503,1.3786619,0.4996301,1.170577,0.8808174,0.9135342,1.2292755,1.0084759,1.1386282,1.3225518,1.1770812,1.3425715,0.93172026,0.22064698,0.5228376,1.0532622,0.7738609,1.15137,1.2017707,1.0733018,0.4932016,1.0371445
egg,1.2448355,0.71261007,0.6278904,1.0234994,0.84223384,0.8500038,0.995876,1.0189315,1.2994874,1.1645241,1.297042,0.6572273,1.3383831,1.2136871,0.8509867,1.2651254,1.1703784,0.9973242,1.0240773,1.2720124,1.0613939,1.2343732,0.8800931,0.88170743,1.2598723,0.5609845,1.2415442,1.166722,0.8567384,1.2826191,0.98123986,1.1742929,1.122452,1.1265374,1.1967379,0.6681364,1.3579288,0.87886286,1.2198099,1.0610061,1.1585846,0.78816545,1.235888,0.44687748,0.0,0.96488726,0.87333804,1.0208507,0.4450252,0.8400254,1.2232236,0.5298199,0.8307766,0.8899431,1.1504779,0.7393349,0.7867751,1.1893104,0.8790208,1.2448729,1.0703934,0.931674,0.64293617,1.0880415,0.992757,1.1820345,1.090611,1.0791652,0.7139058,0.9610252,0.8759616,1.0713181,1.1860468,1.1495173,0.8846806,1.2838007,0.8582345,1.0913445,0.62331647,0.91188484,0.47872204,0.6558474,0.83662224,1.0452641,1.0148808,1.2056209,1.0004493,1.1626217,0.7047554,0.64582115,1.0608861,0.5642959,0.71488625,1.2395138,1.1468229,0.90927076,1.1475365,0.5856521,1.0637317,0.9416161,0.809538,1.2449969,1.1700753,0.7527783,1.2317742,1.1686914,1.1827791,0.9829753,1.169379,1.1144251,0.9117628,1.1445751,1.2117666,1.1497386,1.3224182,0.59759295,1.1932006,0.886132,0.8553528,1.1558472,0.897125,1.089491,1.231021,1.173379,1.2865009,0.76745266,0.46384525,0.6354865,1.1709045,0.86183614,0.9994348,1.1727585,1.0809671,0.66604185,1.1802201
elephant,0.9762478,0.9832487,1.0274829,0.97672087,1.0234894,1.0922192,1.0398604,1.140542,0.9536131,0.65646315,1.0403563,0.9577467,0.97665775,0.9880509,1.0268723,0.97346395,1.0324457,1.1432906,1.1046305,1.0660604,1.175754,1.1369847,1.1313953,1.0937662,0.9013215,0.987649,0.7909014,1.0141271,1.0006403,0.98546314,1.0895046,1.0606046,1.0227691,1.0537374,1.2017866,1.0012027,1.0169412,1.1112418,0.92266554,1.1160306,1.0120744,1.0464542,0.99678093,0.9208439,0.96488726,0.0,0.97003967,0.99642134,1.024095,0.8856164,1.177298,1.0391341,1.0536597,1.0009882,1.1000108,1.0126635,1.0506868,0.70756954,1.1147609,1.0145513,1.0715806,0.9960528,0.95297503,0.8726785,0.8835234,0.9028473,1.1693288,0.98101616,1.0672208,0.96696246,1.0608178,1.0306914,0.9752664,1.0173928,1.0271553,0.9146452,1.0855734,1.240869,0.9785233,1.1871351,0.9986023,0.9514365,1.0167276,0.87730753,0.80551517,0.99084,1.0296143,1.0702446,1.0294583,1.0269332,1.0801734,1.0787059,1.0509106,1.1000547,1.1589751,1.1144013,0.87046957,1.0473969,0.98594916,1.0659013,1.0164835,1.006933,0.81490314,1.0594698,1.1196342,0.9879752,1.1334459,1.1061603,0.87650657,0.95546985,0.9801426,1.0875485,0.83856535,1.0655302,1.0157914,0.9923421,0.7989267,1.0945693,1.0428375,0.9721472,1.0341474,1.1612238,1.0467561,0.9621457,1.001327,0.93514675,1.0232995,0.96943176,1.0800674,1.0575585,1.0327232,1.1812857,1.0078546,0.9077498,1.0021324
eye,1.1943091,0.939063,0.90511113,1.0881387,0.8379234,0.9359809,1.0745822,1.0307215,1.1577297,0.9979992,1.2288468,0.881745,1.235285,1.190499,0.8942385,1.1624945,1.1829371,0.9981359,1.1329665,1.2428718,1.0573742,1.0759016,1.0498434,1.1087077,1.1999251,0.5262297,1.090288,1.0854948,0.9329597,1.1637,1.1693038,0.9606454,1.0451343,1.269083,1.1698751,0.70990324,1.2479397,1.0392209,1.1155187,1.1892031,1.0878706,0.98697436,1.1030359,0.64614487,0.87333804,0.97003967,0.0,0.96749765,0.57488173,0.94769925,1.0875311,0.73255205,0.88193715,1.0181191,1.1200569,0.45127547,1.0333443,1.0495046,0.9580712,1.0033326,1.1388466,0.9452125,0.78735363,0.8906971,1.0251768,1.1222885,1.182018,1.1273904,0.86466664,1.0064147,0.9465971,1.1285788,1.1275357,1.0934025,1.116034,1.0656544,1.10289,1.1282629,0.60370094,1.1333853,0.7037306,0.41138768,1.1285273,0.98834914,1.0416327,1.1896276,1.1393453,1.1800247,0.769987,0.7798486,1.0077541,0.9476546,0.93209076,1.1513714,0.9589305,1.0130368,1.148982,0.89655197,1.1283463,1.0245245,0.61298376,1.1815675,1.0615819,0.9328962,1.140302,1.2019961,0.9737488,0.94153196,1.1291021,1.0696669,1.083731,1.0341412,1.1810831,1.133722,1.2013835,0.6643456,1.1402678,0.9406644,0.90564066,1.2109456,1.0682919,1.0460091,1.1699517,1.1540414,1.1932975,0.8529199,0.5840276,0.73042786,0.92631507,0.9632633,1.0688977,1.1780127,1.0441998,0.605828,1.0738469
face,0.88842475,0.89549905,0.9173223,0.95697856,0.95438737,1.1138237,0.96144074,1.232897,1.043121,0.86208993,0.9087063,1.1327468,1.001019,0.9302267,1.1000673,0.93826187,0.9851077,1.2499384,1.1319065,1.0132766,1.056625,1.0500623,1.2947648,1.1758167,0.9730536,0.9650871,0.78227097,1.2000253,1.0142576,1.0242527,1.1299915,1.0459818,1.1501383,1.0891759,0.920758,1.1576163,0.9829664,1.2558718,0.95774245,0.9476508,0.98780805,1.1033307,0.87943,1.0092776,1.0208507,0.99642134,0.96749765,0.0,1.0105696,0.790249,1.1755589,0.9960662,1.2335439,0.80202925,0.9518875,0.72260404,1.1563628,0.86540174,1.2084477,0.6524104,0.74819344,0.88731766,1.0774583,0.7783617,1.0064617,0.7674974,1.2023453,0.8871494,1.2122545,1.2186525,1.2335249,0.91694754,0.9486894,1.0156106,0.9803002,0.9045038,1.1452118,1.0917479,0.98380595,1.2022457,1.045765,0.8243885,1.0220908,1.1957489,0.7474903,0.9095186,0.89235306,0.9442231,1.1436509,1.127466,1.0197353,0.878492,1.159986,0.8486029,1.1978865,1.10219,0.9872581,0.93273294,1.0632163,1.0928977,1.0361053,1.1247807,0.9229125,1.1097113,0.98781073,1.0411212,0.8679633,1.2192063,0.83374846,0.9984574,0.6543741,1.0611428,1.000891,1.1501746,1.0983728,1.1280351,0.9603805,1.1207658,1.2408752,1.0090629,1.1683043,0.8060444,1.0661149,0.76050234,0.93902403,1.1614949,0.97888106,1.1896057,1.1983194,1.2511272,1.0904704,1.0314895,1.1988494,1.1441731,1.0936093
finger,1.2638724,0.7009638,0.69720846,0.7904417,0.9177174,0.9228624,0.89101905,1.0800823,1.3429408,1.2050415,1.322035,0.7955828,1.3914413,1.1956916,0.8763504,1.3479338,1.2040126,0.98706406,1.1735098,1.362982,0.8355136,1.2599455,0.9681591,0.99387383,1.4206038,0.29366595,1.315214,1.1814088,1.0392406,1.3243132,1.1318101,1.1387191,1.1020418,1.2300003,1.0603428,0.58260596,1.4685681,0.9717674,1.2608769,1.1423912,1.1884339,0.9306072,1.1930578,0.23878229,0.4450252,1.024095,0.57488173,1.0105696,0.0,1.0100541,1.169353,0.3588915,0.8628632,1.0403075,1.0932527,0.5232439,0.7364707,1.3147582,0.81951666,1.103667,0.9958418,0.53411865,0.71821415,0.99145776,1.0499918,1.1699144,1.1638229,1.0740653,0.6721469,1.0234983,0.9955425,1.0657556,1.1099689,1.158704,0.88719124,1.3191664,0.91975325,1.0609727,0.5261414,1.0149785,0.42287165,0.38276064,0.9525885,1.0728737,1.1586694,1.1809864,1.0281425,1.1854812,0.6496064,0.6231665,1.0824436,0.5364846,0.84140205,1.1262603,1.1402855,1.0904075,1.2739475,0.59151447,1.2262299,1.0437967,0.63261855,1.3053813,1.1881268,0.8522131,1.0448261,1.256896,1.0889342,0.9549193,1.1494275,1.1858132,0.91178447,1.1154685,1.3510196,1.2311897,1.3178235,0.5635311,1.2892498,0.92904174,0.8499174,1.2118845,1.012535,1.1379772,1.2984512,1.1542642,1.3017812,0.93132126,0.16126668,0.49423426,0.9934939,0.8948357,1.0742322,1.2073023,1.088158,0.5400964,1.1229786
fish,0.8142742,1.0038646,0.80226326,1.103519,0.75149655,0.92209446,0.75262177,1.2538329,1.1881925,0.8387386,1.1022971,0.8013278,1.057059,1.0876415,0.7588057,0.9595611,1.0404035,1.2423272,1.1870903,1.1877909,1.0610551,0.8522136,1.2189698,1.0967872,0.95675945,0.9897054,0.72206324,1.1893609,0.87003946,1.2199311,1.203708,1.1686692,1.0312867,1.0440606,1.0994968,0.9789957,1.1374635,1.1737599,0.8288374,0.92301977,1.1936767,1.0651727,1.1413481,0.97126323,0.8400254,0.8856164,0.94769925,0.790249,1.0100541,0.0,1.1347445,0.92408466,1.1256312,0.3496729,1.0108635,0.9163885,0.8243488,0.8365054,0.82559913,1.1144507,0.8710929,1.0489459,0.7912371,1.1316428,0.9290728,1.0571228,1.2284433,1.0403823,1.1434852,1.1453959,1.0903752,1.0593586,1.0926237,1.2148954,0.708211,1.0239056,1.0141232,1.0671799,0.8824629,1.1609828,0.9404047,0.86438644,0.83985674,1.048446,0.70563614,1.1120948,1.0910318,1.0994421,1.0191637,1.031319,0.9262904,0.811359,0.8418508,1.1071144,1.0802813,1.0775518,0.81231153,0.8452867,1.0175887,1.040018,0.98849815,1.2418526,0.7967442,0.74224234,1.1436727,1.0618881,0.76451117,1.0457914,1.0905099,0.8948192,0.99162996,1.1667788,1.1405258,1.1272355,1.0939947,0.8603271,1.0224898,1.089287,0.91584647,1.049678,1.0973891,1.0666178,1.1250799,1.0780604,1.1869509,0.9614614,0.9461402,0.91011107,1.1785152,1.1205615,0.74995923,1.1352775,1.1604539,1.0223964,1.1154661
