,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1981584,1.2996445,0.627777,0.80832374,1.1634706,1.4025112,1.087307,1.0631051,0.97913814,0.8556486,1.362989,1.0055093,0.70825565,0.43523794,0.8481861,1.0459691,0.85526323,1.4293408,1.432899,0.7137038,1.2686443,0.9926634,1.237339,1.5368481,1.1904349,1.053688,0.71401703,1.1116496,1.0690132,0.9096272,0.91717935,1.1337018,1.042814,1.0492684,0.9939739,0.91715586,1.4166607,0.93896896,1.4151127,0.47403765,0.65217566,1.0516931,1.3384823,0.8168609,1.065795,1.2278533,0.65119237,1.0306727,0.8991419,1.3347274,1.2628708,0.6151969,0.96182454,1.2811629,1.2801268,0.33896995,0.7966876,1.4376638,0.8928744,1.1152831,0.9578147,0.8981593,0.8885828,0.9203039,1.2821891,0.52570134,1.0839789,0.954831,1.27495,0.92474115,1.2988333,0.8781653,1.3997358,0.8406141,1.117085,1.0036426,0.5893796,0.89701027,0.81061804,1.425374,1.4282976,1.3390048,1.254722,1.1151708,1.1762235,0.7278838,0.7742195,1.0044962,0.5170019,1.3813398,1.3315706,0.8005402,1.2255654,1.2468718,0.6715647,1.0218914,1.3118327,0.5687583,1.0432417,0.73539144,0.95621014,1.2608128,1.3000727,1.0615153,1.1298289,0.8506271,0.91988707,0.8330312,0.79358864,1.1015902,1.0490499,1.3290464,0.849536,1.4433522,1.2850899,1.1715434,1.0421611,1.4155396,1.2843413,1.1668423,0.93909675,0.61068153,0.8992862,0.6175916,1.198722,1.414789,1.3524623,1.2294929,1.4426389,0.71213,1.3043814,0.96503425,1.1830628,1.1159229,1.5361084,0.98454267
ankle,1.1981584,0.0,1.0553589,1.036487,0.7036062,1.0500487,1.0336434,1.1943891,1.13542,1.0142375,0.90934616,1.2068948,0.94784176,0.74279475,1.1269839,0.85852975,0.8379964,1.2682319,1.2453027,1.2280236,1.1450257,0.9067008,1.0659723,1.1304,1.1709814,1.1707029,1.0334415,1.2470843,1.0383155,1.2176905,1.0927967,0.95191675,1.0290287,1.0057192,1.0058432,0.8771949,0.9613368,1.0759996,0.9813074,1.2555352,1.1389884,0.9147161,1.0592546,1.0317854,0.75439966,0.8976182,0.8584275,1.1456087,0.98893154,0.874344,0.49480426,1.0317932,1.146075,1.2035874,0.60962963,0.9086063,1.2547777,0.97967434,0.90896237,0.8215952,1.1842954,0.92975056,0.8211956,1.146786,0.4981441,0.8909565,1.1603323,0.8529197,0.91709745,1.1029769,0.6924791,1.2618523,1.0781194,1.1675522,0.90558887,0.9497445,1.0054157,0.61106,1.087173,0.8935849,1.0437851,1.0501401,0.68286866,0.95203483,0.86398387,1.0903361,1.1208248,0.8384649,0.6535961,1.2150316,1.0659893,1.0585123,1.028508,1.1116458,0.8894787,0.9355308,1.1995544,1.3687586,1.1152561,0.6145907,0.9948189,0.92415583,1.1870615,1.0071656,1.1380574,1.0484273,1.0638002,0.9358829,0.7995552,0.9250399,0.6109106,1.012839,1.2929852,1.1319805,1.0111128,1.151739,0.8229068,0.7922598,1.1104922,1.0580388,0.9624597,1.0123435,0.96990275,1.008047,1.0943289,1.2098572,0.5443544,0.97449255,1.0577365,1.1104068,1.1600982,1.289568,1.0803914,1.2006456,1.0878319,0.9280183,0.9698384
apple,1.2996445,1.0553589,0.0,1.2517024,1.4823791,0.27271378,0.32316434,0.3019489,1.1741915,1.45366,1.4885674,0.5597999,1.5618806,1.4640137,1.1496466,1.4390419,1.0722845,1.1112357,0.38064194,0.41513348,1.4361937,0.35053194,1.3306895,0.78634334,0.5991233,0.86840737,0.41319722,1.1860483,1.3632673,0.94188654,1.5023713,1.2553685,0.7226272,1.0471146,0.68042046,1.4711318,1.0643511,0.4225105,1.5561011,0.45258832,1.3273349,1.2265462,1.3944638,1.060488,1.2841902,0.9970537,0.4157219,1.2801223,1.0826017,1.1602652,0.72888947,0.9344541,1.1177126,0.9062983,0.87908244,0.8562481,1.0291253,1.1808169,0.49476606,0.989269,1.0084517,0.8283322,1.2267213,0.8571114,1.2842435,0.7063148,1.2420722,0.9861055,1.2621014,0.9003762,1.3974566,0.7416718,1.4460979,0.4898796,1.3465191,0.20740277,1.1796072,1.2352955,1.2147696,1.0286057,0.23817956,0.87497675,0.799744,0.49854082,0.2026763,1.319085,0.8826689,1.4207611,1.4015342,1.3803532,0.61085,0.67924315,0.96686745,0.5249444,0.9680207,1.2774656,0.9671311,0.483967,1.1881797,0.88672876,0.7414992,1.3904097,0.7792158,0.35546815,1.3414922,0.74415827,1.1782954,1.2202734,1.3940178,1.4444172,1.1692691,1.00542,0.6702113,1.2115299,0.42565274,0.61775255,0.9181776,1.1460019,0.5617831,0.8640263,0.45713508,1.2836999,1.2275312,1.3634249,1.4809567,0.45599973,0.5484424,0.5014343,0.89100695,0.8476553,1.0529845,0.7455019,1.1531801,0.88204575,1.3734705,0.40813428,1.3364642
applesauce,0.627777,1.036487,1.2517024,0.0,0.797457,1.0560447,1.2977417,1.1869447,1.0508171,0.8782255,0.8557393,1.3659387,0.93581843,0.5426961,0.8129064,0.87837386,1.0916731,0.75465685,1.4091082,1.3358083,0.516008,1.1686492,1.0130432,1.20774,1.4868541,1.1912596,1.2056547,1.1134979,1.0073608,0.88354206,0.8976427,0.8845054,1.0476799,1.2025965,0.9457917,0.9788763,0.62088394,1.4091944,0.8180029,1.3923191,0.8478058,0.7349287,1.0179178,1.1716813,0.81195307,1.1680908,1.0703822,0.8219029,1.0021017,0.89367986,1.2219205,1.1708945,0.9113575,1.074003,1.2168052,1.2030668,0.59688467,0.7945168,1.397775,1.0945728,1.1856556,0.72434765,0.95092297,0.8209288,0.77303815,1.2666023,0.88884455,1.0948455,1.0080777,1.2245529,0.8314779,1.2744582,0.79319215,1.3439064,0.82918155,1.125603,0.92075825,0.77395785,0.80516124,0.8640023,1.3580278,1.453527,1.2568287,1.28858,1.1173502,1.1039407,0.93052614,0.6757242,1.0018778,0.4939493,1.3692114,1.2797823,1.0935252,1.268414,1.336907,0.7362088,1.0781958,1.1347634,0.9033337,0.842483,0.72961104,0.9213325,1.1465229,1.165978,0.9986544,1.273145,0.79892534,0.78735405,0.73920035,0.7573374,1.1142405,1.0442694,1.3315082,0.9546603,1.4042379,1.283083,1.0399221,1.0488002,1.3272715,1.3031868,1.1695489,0.90605557,0.70447296,0.9286476,0.48896015,1.1933466,1.3237525,1.2649336,1.1670773,1.4705709,0.63337123,1.0855497,0.9636672,1.1871186,1.1638844,1.457489,0.9571175
arm,0.80832374,0.7036062,1.4823791,0.797457,0.0,1.3584654,1.4335914,1.3583697,1.0764812,0.572077,0.54476076,1.355247,0.5656154,0.4352653,0.9407892,0.64346707,0.96623063,1.0969937,1.4484893,1.4832366,0.73165864,1.3209258,0.76792043,1.2667971,1.3887913,1.2910519,1.3498151,0.9694299,0.86595976,1.0444647,0.6690153,0.8396667,1.2824299,0.9874547,1.3012878,0.56690687,0.985745,1.4627566,0.6295168,1.4395974,0.8299841,0.94905764,0.7638872,1.0960236,0.40090066,1.0297161,1.2913307,0.8958663,1.0785707,0.7607285,1.0230156,1.158988,1.0108366,1.1767975,0.9799035,1.1619084,1.0366158,0.7963545,1.2827294,0.8540278,1.056953,1.0112606,0.7276465,1.2248542,0.42965752,1.2867236,0.974959,0.9632542,0.8961144,1.225317,0.47225893,1.1109078,0.73446536,1.4075695,0.6250692,1.3191212,0.9947922,0.5742667,0.96077746,0.9573971,1.3870287,1.2799593,1.1414531,1.289741,1.3079605,0.87440544,1.1945858,0.5679291,0.53197443,0.7583946,1.3483913,1.2551732,1.1517011,1.3736446,1.0350657,0.7142548,1.1412799,1.4402074,1.0307468,0.9392941,1.0414426,0.76366055,1.2363937,1.4127381,0.76337755,1.2005763,0.91690284,0.9208152,0.50851494,0.6059606,0.6446076,0.99676806,1.2844702,0.8821521,1.3901776,1.3086116,1.0188857,0.97561616,1.4212484,1.181331,1.4420922,1.0622156,0.7662338,0.7523675,0.5366549,1.515355,1.1406353,1.2514532,1.0655439,1.3228188,1.1149175,1.3850912,1.0132109,1.2552319,0.8859502,1.2588465,0.7180647
ball,1.1634706,1.0500487,0.27271378,1.0560447,1.3584654,0.0,0.35503328,0.67784333,1.1387824,1.3631713,1.3830197,0.8866036,1.4550638,1.3062105,1.0202136,1.3296645,0.9576487,1.0611581,0.6845863,0.70536613,1.2534136,0.6552128,1.1874019,0.7498182,0.87532866,0.90124047,0.5900658,1.233655,1.3360094,0.9415777,1.4086354,1.1418499,0.7522156,1.0916916,0.65452087,1.403209,0.9976049,0.62546194,1.4966613,0.6938781,1.1783447,1.1658602,1.3739724,1.0461236,1.1971437,1.0729799,0.26754558,1.154147,1.0160096,1.1068527,0.814973,1.030189,1.0009614,0.8996234,1.0036623,0.9925135,0.8594189,1.0605501,0.83781105,0.81979215,1.1261544,0.7024318,1.181437,0.7732754,1.1189084,0.7533046,1.1249981,0.99832046,1.1610277,0.9844046,1.3328694,1.008403,1.3241376,0.6924471,1.2888597,0.3760004,1.1670511,1.0380323,1.1365434,0.944726,0.502981,1.1029677,0.8323314,0.71812457,0.28155804,1.4098079,0.8437085,1.3086199,1.3627288,1.2030659,0.8367654,0.9162621,0.99077076,0.754645,1.1037371,1.2433344,0.94696647,0.7481591,1.1144633,0.7394396,0.55586654,1.2571034,0.7577441,0.58725697,1.3960708,0.8447537,1.1132745,1.0942526,1.2930019,1.3001633,1.2140182,0.93983585,0.9497657,1.1385539,0.7854146,0.6646154,0.88095874,1.1699512,0.7427807,0.8806111,0.5970531,1.1889462,1.1441047,1.3116372,1.2941571,0.51883775,0.7163092,0.7941083,0.8422762,1.078517,0.83871436,0.7882494,1.1087451,0.95675147,1.3020577,0.73911536,1.3464928
balloon,1.4025112,1.0336434,0.32316434,1.2977417,1.4335914,0.35503328,0.0,0.6978454,1.1393934,1.333855,1.4373724,0.59672034,1.4556599,1.4037863,1.2334405,1.3697469,0.91300714,1.0904033,0.3804103,0.43315864,1.3957744,0.58878505,1.2604519,0.67880166,0.5576203,0.8349909,0.6139811,1.1970732,1.2455926,1.0093887,1.4479022,1.1174493,0.78650266,0.99826103,0.83935714,1.3953347,1.1603211,0.47024316,1.4600343,0.3990708,1.3124561,1.2187707,1.3323115,0.9833244,1.3270265,0.97309214,0.5344049,1.2003338,1.085183,1.1835828,0.7481413,0.85784984,1.091382,0.88022274,0.86146265,0.8247343,1.1446567,1.0988584,0.588182,0.8184774,1.0078269,0.8888659,1.1983358,0.98483187,1.2081872,0.632352,1.2271786,1.064906,1.1302218,0.81797343,1.3573837,0.8139961,1.3502792,0.6204729,1.3561997,0.5709634,1.1010619,1.1941987,1.1629837,1.0123043,0.3673703,0.81255716,0.7515633,0.67966527,0.5025719,1.2446992,1.0200647,1.3662152,1.334064,1.3505204,0.6412997,0.7419623,0.9314824,0.5971542,0.9265948,1.3150163,0.91238326,0.54867226,1.1812356,0.9304591,1.0132134,1.286289,0.77196515,0.52469885,1.2887231,0.6802754,1.2337829,1.1578853,1.3402404,1.4300532,1.1868138,1.0308995,0.6348586,1.170792,0.5077853,0.58190256,0.7746602,1.1152046,0.5753345,0.8154936,0.4758042,1.1407871,1.2646697,1.3173971,1.4239051,0.5162361,0.5874776,0.6470428,0.73733675,0.7710326,1.0009474,0.64345735,1.0690205,0.79015774,1.2705445,0.5179937,1.2521876
banana,1.087307,1.1943891,0.3019489,1.1869447,1.3583697,0.67784333,0.6978454,0.0,1.1150908,1.319963,1.3340485,0.5623627,1.3675864,1.424846,1.0827537,1.3148912,1.122343,1.0398583,0.50147414,0.5057519,1.3184977,0.40374988,1.2228261,0.8856305,0.6668124,0.94116735,0.52174383,1.1322358,1.2621658,0.8635021,1.3374271,1.247626,0.89263844,1.0433466,0.7858333,1.3372347,0.9166126,0.48553056,1.395594,0.5763361,1.2657757,1.189862,1.2248826,0.99827945,1.2408457,1.0031067,0.783392,1.1717483,1.0764426,1.1531229,0.90961546,0.9339682,0.97392225,0.93545234,0.95996886,0.8788144,0.91612154,1.11166,0.5978403,1.040797,1.0215422,0.9227777,1.2214332,0.9421404,1.3144019,0.9052188,1.1875311,1.0339308,1.2459242,0.91090965,1.3317835,0.6024505,1.2970688,0.56496686,1.2003977,0.46176165,1.1390665,1.2216065,1.2037395,1.1025634,0.46448153,0.83091533,0.9030001,0.6274868,0.5193115,1.1802852,0.9259406,1.3772289,1.3453804,1.2757778,0.6051364,0.63018996,0.90438944,0.55527735,0.91706365,1.1840307,0.9905487,0.5037156,1.1444886,1.1307216,0.8917261,1.3170025,0.8609751,0.58384126,1.208425,0.79854447,1.1266828,1.0466598,1.3771349,1.2537657,1.2130204,0.94453114,0.6353864,1.1956137,0.5120081,0.744905,1.0193195,1.1266041,0.63849473,0.8604512,0.606784,1.2522393,1.159051,1.2177447,1.3528318,0.6094524,0.76075655,0.5157237,0.8419632,0.81634665,1.056404,0.79055536,1.1199492,0.9188551,1.1799529,0.5021658,1.2860559
basket,1.0631051,1.13542,1.1741915,1.0508171,1.0764812,1.1387824,1.1393934,1.1150908,0.0,1.002889,0.8914335,1.0671804,0.8180993,0.9959442,0.95027,0.7987896,0.8122964,0.76452124,0.95851856,0.8931125,0.5239358,1.2153957,1.0483785,0.30737007,0.8827438,0.8148062,1.2104338,1.0425264,0.63476515,0.91541916,0.88610905,0.98413146,1.1458759,1.0896145,1.0665109,0.82866144,1.0523142,1.0449181,0.63969076,0.88492393,1.1006434,0.7557169,0.99033743,0.81652594,1.177987,1.2816186,1.1270888,1.0928824,1.0272512,1.2605395,1.2993765,0.97251666,1.1437333,0.85280514,1.1401926,1.0239367,1.0311056,0.94091237,1.263035,1.0191363,0.91735584,1.0973564,1.3148025,0.9662898,1.2193016,0.9966417,1.1133561,1.2380927,0.8790659,0.7136333,1.2111691,1.0325298,0.7862379,1.070467,1.1893494,1.2158263,0.8124317,1.1646204,0.9260985,1.042838,1.2013955,0.85449064,1.2049026,1.3408335,1.1727026,0.8559595,0.9560446,1.022281,1.1847262,0.98421425,1.0367422,1.0214536,1.020942,1.0859302,0.8162216,0.9903111,0.7336397,1.0120577,1.1264263,1.2741371,0.9381374,0.67043644,0.7553166,1.2523891,0.97169673,0.9987798,0.72499967,0.90234804,1.1380923,0.89418304,1.268538,0.80258065,1.0219009,0.74891835,1.1317656,0.799467,1.0711269,1.0308058,0.89933884,0.8772047,1.104054,0.73243654,1.0945129,1.0349472,0.97497016,0.9421966,1.2957084,1.2053665,0.9833318,0.84807086,0.60418445,0.77242196,0.950664,0.8964843,0.8144545,1.0882099,1.0025308
bathtub,0.97913814,1.0142375,1.45366,0.8782255,0.572077,1.3631713,1.333855,1.319963,1.002889,0.0,0.56340146,1.2094461,0.2893983,0.77079505,1.0342163,0.7499025,0.797567,1.1087738,1.3235165,1.197158,0.77771795,1.3595583,0.7896488,1.1883067,1.1931543,1.1693017,1.26547,0.79508686,0.7214255,0.98442096,0.5013843,0.89373666,1.1013246,0.9463099,1.1862369,0.578102,1.065824,1.3832424,0.58358335,1.302172,0.86576533,1.122343,0.47899407,0.8062018,0.7005452,1.0573782,1.215287,0.9076632,0.98265547,0.89407754,1.234993,1.0823336,0.9903105,1.2238374,1.2247274,1.3240635,1.1756462,0.8130685,1.3041829,1.1224543,0.72034645,1.1783321,0.86339915,1.201324,0.92507005,1.3667775,0.98240286,0.9453976,1.0371835,1.2055366,0.66520417,0.8662191,0.7017637,1.2041652,0.7022984,1.3348774,0.99016774,0.93217283,0.961453,0.93361455,1.3725622,1.0875796,1.2339786,1.3009611,1.3243734,0.62350315,1.3200195,0.7046436,0.6425518,0.82898414,1.3103051,1.1714258,1.1187087,1.2000605,1.0049279,0.9832709,1.154016,1.0934428,1.0202471,1.0734816,1.2023093,0.986006,1.2466004,1.2971561,0.49785054,1.3013111,0.9462296,0.98492914,0.67990696,0.7507566,0.7528628,0.9421665,0.9418685,0.703849,1.2924274,1.2918859,1.1335125,0.88362265,1.29255,0.94021964,1.3485204,1.0260265,0.89644444,0.8096489,0.49315238,1.3633859,1.3366048,1.1830103,0.9701199,1.0815351,1.1722702,1.0954511,0.9242424,1.2078654,0.7266222,1.3480483,0.61161894
