,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
alligator,0.0,1.3707182,0.76315916,1.29403,1.0586433,0.6534805,1.0793837,0.7392284,0.7906626,0.7286017,1.3935494,0.7752148,0.64353746,0.8437484,0.7222948,0.71550554,0.86500204,1.3947581,1.3659582,0.71365774,1.3386848,1.0316023,1.1943768,0.8894354,1.3863133,0.9405694,1.0519034,0.8082115,0.932768,1.4455545,0.6931452,1.3162901,0.840957,1.1259029,0.7335377,0.84050107,0.7227173,1.4776487,0.6040807,1.4386739,1.1597533,0.70514023,0.95914626,1.0112355,1.2812568,0.8366645,1.3293074,0.88916516,0.8555957,1.2937295,1.2260753,0.9384716,1.2831812,1.4125353,0.40615928,0.86692333,1.2760313,0.8745524,1.0174524,1.0439407,0.9800652,0.7950412,1.0158334,1.3918214,0.8579144,0.7625187,1.2400209,0.8565881,1.4155397,0.81102216,1.4713528,0.8751969,1.2752893,1.0680298,0.59950405,0.89528245,0.98517287,1.4427525,1.4886639,1.4655044,1.487079,1.047956,0.93039465,0.8069843,0.9493662,0.70686257,1.4289134,1.4515986,1.2030714,0.99808276,1.2322971,1.0292916,1.0110431,1.1627606,1.0148176,1.3402643,1.0260538,1.1370968,1.0877734,0.9174851,0.5914252,0.75111467,0.70081574,0.80844617,0.8199973,1.0177207,1.3663975,0.806124,1.3474212,0.30384773,1.5865694,0.8971603,1.3599141,0.53968674,0.7780605,1.4523847,1.103494,1.2243159,1.1941758,0.8474919,0.74492145,0.5197135,1.4010804,1.4025807,1.3453155,0.69495666,1.3796327,0.64311314,0.68268025,0.842576,0.8645736,0.8613481,1.5796332,0.7114703
apple,1.3707182,0.0,1.3611287,0.4509158,0.6935749,0.739403,1.3042135,1.4966087,1.1493884,1.4948204,0.75791216,1.5518179,1.4344234,1.3379107,1.4689293,1.3783598,1.0819178,0.26287687,0.43360633,1.4629508,0.5885468,1.2006404,0.973775,1.1880901,0.95337397,1.0792118,0.870312,1.3529123,1.4050057,0.34096813,1.4723413,0.47305512,1.3312061,0.78265923,1.1727781,1.462254,1.2101845,0.27987504,1.6156056,0.32827032,0.618427,1.3119538,0.97097033,1.3250521,1.0156105,1.398662,0.482539,1.205457,1.177306,0.8227541,0.54266137,0.9081075,0.8129022,0.70033795,1.0659237,1.1824489,0.78524065,1.2127597,1.1847357,0.7747774,1.141995,1.1183803,1.1595813,0.6254434,1.3312695,1.3537936,0.48944324,1.398805,0.7636038,1.4497621,0.44292808,1.2039119,0.31575787,0.91898084,1.4368262,1.2025074,0.9320566,0.22036803,0.6623044,0.56359446,0.16678631,1.3103849,1.1511204,1.4461377,1.3150228,1.3655092,0.42914307,0.4926101,0.9105576,0.9140676,1.0325673,0.9474875,0.74160445,0.6446365,0.90273744,0.33199525,1.1828289,1.0679989,0.4713692,1.4148358,1.2044526,1.5162066,1.4003761,1.3420054,1.4365447,1.2664094,0.68920785,1.3719416,0.69349504,1.3094558,0.27871203,1.1288313,0.21045935,1.2866781,1.1744097,0.66690457,0.75005555,1.0520204,0.32014513,1.2885424,1.3749248,1.5073581,0.37819815,0.5810694,0.421417,1.4451087,0.856446,1.0900826,1.0851173,1.1514702,1.2090847,1.4169905,0.41621983,1.3537965
arm,0.76315916,1.3611287,0.0,1.2965267,1.2368112,1.0593141,1.1429106,0.6726868,0.98747015,0.75859326,1.2857127,0.69773114,0.58556294,0.8373687,0.79019964,0.79276186,1.0902863,1.3993939,1.4274292,0.8390913,1.1533545,0.9734066,1.1918391,0.8739912,1.239497,1.0647157,0.9789302,0.8864976,0.9800958,1.3533708,0.74219453,1.2129316,0.76315415,1.2015519,0.9455753,0.84382915,0.8546074,1.3584461,0.74919045,1.4344443,1.2710557,0.9241577,1.1151485,0.9004052,1.055858,0.420102,1.2537966,0.8482307,0.8001438,0.7916595,1.262265,1.1742481,0.8790703,1.2985761,1.0069919,1.0377039,1.0608053,0.6712514,0.9504668,1.1207931,0.7724881,0.8885415,0.45389932,1.2327645,0.9386489,0.8701397,1.3216133,0.7652334,1.205206,0.8271128,1.3380569,0.8021596,1.3281413,1.163478,0.6044504,1.0581948,1.1599343,1.2995175,1.3042712,1.0973947,1.4125433,0.948133,0.9931526,0.6920432,0.85168356,0.7222876,1.3132973,1.2878982,1.2304637,1.1290122,1.1233823,1.0599221,1.2530799,1.2823598,1.0455061,1.3220313,1.0300876,1.1203966,1.239578,0.8182212,0.937824,0.7217737,0.7291529,0.52795017,0.796344,0.64911443,1.4074659,0.76179004,1.3232101,0.7218442,1.389286,0.9316008,1.3807378,0.65061194,0.8994262,1.3593985,1.1074849,1.0998297,1.2754629,1.0636353,0.519112,0.6809674,1.4266045,0.9637121,1.2757239,0.689875,1.2771096,1.1432813,1.0132047,1.0391451,1.0355152,0.80250573,1.1691366,0.7903286
ball,1.29403,0.4509158,1.2965267,0.0,0.48923254,0.826284,1.1280648,1.4746208,1.2127827,1.423407,0.9765044,1.5221694,1.2643789,1.241321,1.3444612,1.3305206,0.99474704,0.663886,0.63794994,1.3190167,0.6713754,1.2004135,0.8401078,0.90764874,0.98748076,1.0665638,1.0229193,1.3229754,1.3220824,0.65319735,1.4574251,0.88240993,1.29725,0.46642643,1.0372452,1.3882402,1.0731134,0.65414035,1.5211526,0.66342854,0.7107258,1.167563,0.71172863,1.3063661,0.9170716,1.3756325,0.12537241,1.2226578,0.9945575,0.76168895,0.62202775,0.92383444,0.8292442,0.8238889,0.8680027,1.1668283,0.8437456,0.93639314,1.2313396,0.5511172,1.0939121,0.9522348,0.98379505,0.62367094,1.1796498,1.3672293,0.71321875,1.3973987,0.88794285,1.4195037,0.5784961,1.0710857,0.6021375,0.8243177,1.1483291,1.0738511,0.74572575,0.4827572,0.8449832,0.72097737,0.4485975,1.3452289,1.1807423,1.3441343,1.3199954,1.2315711,0.81975096,0.8003386,0.96161735,0.7312274,0.88578236,0.92134756,0.7860897,0.67141277,0.5808678,0.46265614,1.0717427,0.97216004,0.52770704,1.4603962,1.1096202,1.3953135,1.2673556,1.2919023,1.2562172,1.2268708,0.811788,1.4318497,1.0073541,1.2624612,0.6464515,1.1735454,0.7739382,1.1072097,1.0678834,0.8804891,0.75782865,1.0945561,0.6251215,1.1508919,1.3729603,1.4065231,0.51767427,0.6393525,0.92561686,1.3431461,0.99502087,0.79669064,0.9709548,1.258039,1.0924695,1.3088999,0.6541946,1.3696319
balloon,1.0586433,0.6935749,1.2368112,0.48923254,0.0,0.8469292,1.01522,1.1369072,1.0992829,1.2912061,0.907038,1.1795396,1.2611437,1.1802412,1.2464826,1.1506507,0.9735293,0.76645887,0.5519163,1.1851127,1.0127985,1.1128702,0.701181,1.0071508,0.90584695,1.1241916,0.9902488,1.295375,1.1334438,0.88066196,1.2630334,0.84659463,1.2446544,0.745274,0.895107,1.2250457,1.165121,0.77330863,1.3014838,0.7129564,0.75483704,1.241198,0.960286,1.1502773,0.87205803,1.3089994,0.64876527,1.083344,1.1417003,0.99998605,0.6101794,1.0512062,1.0561739,0.9538535,0.8825182,1.1002437,1.0508859,1.0766361,1.0799565,0.5939298,1.1871498,1.2357388,1.0633254,0.95631564,1.0730904,1.2303538,0.81498325,1.1931812,1.0524875,1.1625426,0.8506911,1.0177412,0.8133811,0.9314629,1.09239,1.0654974,0.9568874,0.7335319,0.86677563,0.9088354,0.6504209,1.2428885,1.1833904,1.2178501,1.1577277,1.1640528,0.9697248,0.85673296,0.8215877,0.7360698,1.0532953,1.0903851,0.9079978,0.7015725,0.8251323,0.7640774,1.0322261,1.1500622,0.6484533,1.209979,1.1250646,1.1436596,1.1102234,1.2231864,1.2530007,1.1755033,0.74241686,1.268001,0.7461455,0.9182629,0.8536406,1.0776578,0.8678159,0.8604285,0.983872,0.88153964,0.9053493,0.990682,0.7500566,1.1320322,1.2257986,1.207948,0.65373605,0.9808133,0.90200204,1.1101471,0.9328946,0.7588656,0.8852384,1.0222642,1.0564729,1.2247443,0.95543474,1.1760798
banana,0.6534805,0.739403,1.0593141,0.826284,0.8469292,0.0,1.2353011,1.1991861,0.9406949,1.269669,1.128702,1.1847547,1.0209326,0.98483044,1.2039341,1.0820509,1.0008842,0.9581401,0.95646375,1.1539699,0.791752,1.08592,1.0677658,1.030912,1.2088544,1.1125733,0.78407496,1.0945789,1.2733642,1.0611259,1.1418614,1.1012887,0.966146,0.9038967,0.8323326,1.2527183,0.6872112,0.89136654,1.2254744,1.0204208,0.94237185,1.0346369,0.7836273,1.2522132,1.2625949,1.1422944,0.85479057,1.1129864,1.0308901,0.9670101,0.7256429,0.9762721,0.9349233,1.0890274,0.4497273,1.111943,0.9704432,0.892257,1.1866666,0.7127799,1.0583096,0.7886296,0.95785826,1.0234785,1.1599948,0.9735361,1.0202632,1.129622,1.0670004,1.1423712,1.064842,1.0623155,0.6057782,0.967107,0.906525,1.2168568,0.9077535,0.9436953,1.113733,0.9347646,0.7377898,1.1713219,1.1308767,1.1441343,1.1280432,1.1616313,1.027743,0.96146494,1.0573348,0.5767526,1.1709445,0.87523395,0.8226294,0.8540362,0.78298926,0.5933791,1.1672951,1.1441988,0.7712367,1.2030042,0.8244659,1.1679425,0.9923577,1.1657144,1.062243,1.1667224,0.95073,1.2188648,1.0777102,0.77345467,0.96649504,1.1761651,0.7813073,0.78235865,0.96263295,1.060816,0.86648864,1.1148555,0.7567558,1.2291585,1.1802359,1.0640332,0.9692605,0.9427104,0.9689894,0.8568585,1.1728992,0.75041956,0.79806864,1.1696025,1.171471,1.2189238,1.0633167,1.2055126
basket,1.0793837,1.3042135,1.1429106,1.1280648,1.01522,1.2353011,0.0,0.983065,0.99435836,0.7599453,0.87402344,0.81844187,0.90959644,1.0680149,0.69429314,0.9858773,0.7974222,1.1064109,0.9251952,0.71070814,1.2396394,1.1526982,0.41836488,0.9322257,0.6615032,1.009505,1.1642858,1.0556152,0.71951556,1.149802,0.8995297,1.0797639,0.9177849,1.1202492,0.8619467,0.72495425,1.0353787,1.1762316,0.63106376,1.0288656,1.0472538,1.0299196,0.9516657,0.95112026,0.8808786,1.0845921,1.1705925,0.99545807,1.186086,1.2509437,1.2627454,0.8551208,1.2197737,1.0162396,1.1298658,0.75944734,1.2072089,0.9538859,0.90568435,0.96062124,1.249016,1.0897398,1.1556187,1.1516236,0.80156744,0.8714663,0.9264511,1.0115558,1.0643822,0.7982843,1.1518706,0.9255967,1.308015,0.88356876,0.8897306,0.8789592,1.1393601,1.27194,0.87352014,1.1850322,1.2407873,0.9057274,0.9597958,0.98225933,1.0068902,0.84225625,1.1151267,1.1618488,1.0044492,0.94420195,0.66873425,1.051039,0.8933491,1.0214883,1.0209194,1.3156132,0.5706136,0.81047595,1.2564069,0.9444748,1.1331135,0.73353785,1.055778,1.0381628,0.9084371,1.0447799,0.9000567,1.0961413,1.0182343,0.9621891,1.1554439,0.90074146,1.220748,0.9366031,1.2286102,1.0262563,1.1342852,0.8886428,1.2886461,0.8589946,0.9682074,0.8979253,0.9997344,1.2930689,1.1810842,0.9803593,0.7561861,0.7359902,0.88011616,0.9298929,0.9195111,0.94279486,1.100966,1.0226988
bathtub,0.7392284,1.4966087,0.6726868,1.4746208,1.1369072,1.1991861,0.983065,0.0,0.70425135,0.47265434,1.0821908,0.27462947,0.7932821,0.83830106,0.6596263,0.59546757,1.0992237,1.3564882,1.2353991,0.66714656,1.351074,0.8236122,1.2087921,1.143722,1.1108979,0.90948313,1.1867394,0.6546484,0.68626124,1.3204446,0.45659542,1.2009536,0.7931911,1.2728047,1.0251604,0.54576224,1.057995,1.4448191,0.4313556,1.3748007,1.0874748,0.87435603,1.4631956,0.4747861,0.8307309,0.74478674,1.4649181,0.69457483,0.94492114,1.2888057,1.3991195,1.2582899,1.2786655,1.2343968,1.165808,0.8602709,1.303245,1.2173587,0.60547984,1.3925533,0.99124455,1.0919073,1.0725491,1.4844527,0.80608445,0.79693866,1.2507608,0.76957273,1.1684825,0.6327597,1.253249,1.0302656,1.4192352,1.1916621,0.90982735,1.059088,1.3237002,1.4418002,1.2335949,1.4181473,1.4910908,0.64532423,0.8209669,0.7281614,0.80048096,0.7309222,1.207571,1.2943088,1.0197127,1.1775451,1.1024599,1.1637403,1.311457,1.143185,1.2527125,1.4850836,1.0969127,1.0919634,1.3696389,0.43587863,0.96306527,0.8531157,0.64685166,0.7266893,0.87360716,0.8782819,1.2996478,0.29589343,0.9428673,0.5210166,1.4420292,0.5813293,1.3163497,0.85991555,0.8734325,1.2092847,1.0819931,1.0468729,1.4113157,1.0872142,0.68394285,0.4638493,1.3921175,1.4187162,1.1919366,0.7112605,1.1522245,1.1721376,1.0089946,0.7752228,1.0449754,0.701217,1.4496009,0.5939484
bear,0.7906626,1.1493884,0.98747015,1.2127827,1.0992829,0.9406949,0.99435836,0.70425135,0.0,0.8844609,0.9916031,0.7624997,0.9093553,0.9222301,0.8939204,0.83057564,1.0633279,1.204969,1.2205496,0.91908056,1.0544257,1.0371128,1.2241595,0.9951004,1.3184283,0.98262143,1.0046624,0.5587535,1.1360304,1.1659914,0.8896466,1.102832,0.7873088,1.0882432,0.8595234,0.98580706,0.8653223,1.1971676,0.86707705,1.257042,1.035839,0.8070533,1.2533252,1.0185219,1.210631,0.9330472,1.1943079,0.5178189,0.9582848,1.1796427,1.1304119,1.1324184,1.1253448,1.216917,0.8589262,0.859174,1.1160346,1.1232845,0.46460497,1.0973315,0.9617509,0.88182235,1.1252089,1.2633075,0.98598266,0.7638083,1.1928141,0.8476151,1.2948887,0.98634255,1.2017534,1.0644953,1.0837495,1.1557753,0.8933911,1.1235043,1.0111606,1.1809528,1.2510478,1.1821929,1.1564257,1.05494,0.7106716,0.8630755,0.8722647,0.9597026,1.079204,1.1430439,1.0170479,0.9991162,1.2175512,1.1792858,1.1697668,1.205324,1.0258267,1.1026251,1.2012875,1.108632,1.0113935,0.97235787,0.88264745,0.9379399,0.88448423,0.93124217,0.9866239,0.9744427,1.3062812,0.84181094,1.0167092,0.69087327,1.1987305,0.50068897,1.1131749,0.85013723,1.0617557,1.1853638,1.0631468,1.1659735,1.1304629,1.2047547,0.8798559,0.7291148,1.224328,1.2448006,1.0592289,0.8482466,1.1937644,1.0831887,1.0079186,0.98056537,1.1035129,1.0725629,1.229117,0.9699458
bed,0.7286017,1.4948204,0.75859326,1.423407,1.2912061,1.269669,0.7599453,0.47265434,0.8844609,0.0,1.1407977,0.4556318,0.45840442,1.0114282,0.09360087,0.6475394,0.9788588,1.4007652,1.3887514,0.61978626,1.3419926,1.0321205,1.128964,1.0160476,1.1680119,0.8416599,1.2006661,0.69210285,0.5737876,1.4027933,0.4501822,1.2753528,0.9052446,1.3173738,1.0068178,0.18033803,0.9992255,1.5343018,0.22432101,1.4291394,1.170192,0.67335975,1.137415,0.7135658,1.0879108,0.7177129,1.4002386,0.7790308,0.90234995,1.2830931,1.5511484,0.9666691,1.2497445,1.3960032,1.1153051,0.77231103,1.2503239,0.98634756,0.8619774,1.3655101,0.9864326,0.9538822,1.056872,1.3665359,0.80314493,0.6497006,1.3248838,0.76965415,1.3820462,0.5865446,1.4100235,0.9510151,1.4347814,1.0858864,0.6401843,0.9511548,1.2738688,1.4288092,1.3026555,1.4671754,1.5209076,0.8602881,0.8738581,0.5995803,0.79952574,0.6656407,1.378525,1.490844,1.1885588,1.190488,0.67036915,1.109098,1.2312031,1.2838864,1.1662669,1.4688156,0.92814696,0.94685423,1.4219217,0.6954744,0.93461597,0.5774254,0.79274553,0.66097766,0.7189833,0.7571744,1.3321359,0.47978497,1.2647499,0.6915045,1.4978718,0.73558784,1.3826194,0.8564498,0.9597642,1.4308454,1.2778777,1.1928477,1.3707557,0.898713,0.5997481,0.4329052,1.4045166,1.3609395,1.2643315,0.87318456,1.0957782,0.9717818,0.9195764,0.886765,0.96596277,0.7260251,1.4430723,0.6268009
