,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
corn,0.8421908,0.95147896,0.8311747,1.1410457,0.83269644,0.9971332,0.6139096,1.0036044,1.1171166,1.0652869,1.1726607,0.7875562,1.0396831,1.1266012,1.09614,1.0915918,1.1125143,1.0413901,1.1663148,1.1127038,1.0202172,1.1292295,1.0081317,0.9674303,0.80270547,1.0127877,0.6206299,1.0096359,1.1083744,1.013206,1.1795641,1.0889397,1.2274498,1.0523353,0.0,1.0576603,0.8428221,0.8079963,1.1520605,1.1136837,1.1940942,0.9567696,0.9326574,0.90007865,1.1087023,0.81532216,0.7411509,1.103617,0.8116491,1.1071941,0.7833587,0.9587216,0.72561145,0.99650854,0.86283964,1.2305028,0.75832826,1.1128539,1.1922791,0.87358,0.95288986,1.025648,0.8248395,1.1640322,0.9998814,1.0184395,0.7560743,1.0639186,1.0710676,0.9230052,1.1696441,0.8974846,1.0113646,0.8203342,1.0553515,0.72179013,1.1771849,0.8065159,1.1159618,1.026803,1.0624009,0.8210434,1.1098539,0.90527326,1.0948913,0.8384503,0.9771473,0.8756803,0.98192465,0.983753,1.1851777,0.9712485,1.0159917,0.89588606,0.93214667,1.2056866,0.8946796,1.1303229,0.9910751,1.1532664,1.1667236,0.81897825,1.0456638,1.21464,1.0895767,1.0191369,0.9491699,0.96510684,1.2014349,1.0497144,1.0420135,0.9832387,0.99533135,0.81105494,1.1152356,1.0998642,1.1078767,1.0317957,0.8801055,0.8644204,0.9888158,1.164214,1.0422387,1.1232505,0.76250863,0.7757726,1.1301028,0.94181556,1.1803825,0.9399186,0.8225992,0.7916291,0.97990507,1.0111046,0.8820425,1.0716996,1.1345487,1.2072432,0.91727215,1.1107011
couch,0.9892407,1.2114825,1.4860824,0.6676313,1.3386045,1.2802769,1.2895017,0.8639103,0.5662629,0.882594,0.38563073,1.2906189,0.26750207,0.85031354,1.1087929,0.46536046,0.79291594,0.9830719,1.2097132,1.1811821,0.7205367,1.1764245,0.86671543,1.2969015,1.1217036,0.92492497,1.3204124,0.8237697,0.63318634,1.3078885,0.5122751,0.7095129,1.0152081,1.202821,1.0576603,0.0,1.2301131,1.4241846,0.45490026,1.1351918,0.75709015,1.0554512,0.66987234,0.7804104,0.6916071,1.1255946,1.3114728,0.92335105,1.3420739,0.90318483,1.2666166,0.9237737,1.3281584,1.2409041,1.1957688,1.2652147,1.2680169,0.8866007,1.0048815,1.3011471,0.88378894,0.82837117,1.4035207,0.7959337,1.2135346,1.0198295,1.3336895,0.9116299,0.95222867,0.6005437,0.9809071,0.5941087,1.2741215,0.8359146,1.1726958,1.053539,0.89803004,1.3164655,0.98963344,0.8546188,1.0988473,1.2313575,1.1517872,1.4452105,1.0534192,1.3922884,1.3937635,1.4146801,0.46244544,1.0012505,0.70514977,0.6578307,0.8837884,1.411992,1.3339018,0.7601114,0.68191254,1.0622237,1.2056224,1.1795182,0.8460356,1.1581312,0.7961534,1.0738344,1.3473315,0.42659956,0.82193613,1.2532377,0.94336003,0.7792402,1.2967234,0.6795935,0.7369777,0.86478364,1.0458643,0.6753926,0.7524638,0.7929734,1.4328623,1.2965047,1.0057734,1.0284168,1.2335188,1.1566517,0.83612216,1.3145189,0.8255656,0.74518734,0.6989306,1.4197049,1.3379148,1.3391838,1.3039091,1.0149555,1.2663506,0.8754923,0.94474834,1.0706077,1.4179261,0.57560647
cracker,0.73527,1.1092746,1.0501362,1.088969,1.0389591,1.2382822,0.7556227,0.94241935,1.1768386,0.8752667,1.2328343,1.0845304,1.1208042,0.9746764,0.9188542,1.0742462,1.0981658,1.0081159,1.1497151,1.2254372,1.0926498,0.7032492,1.226061,1.0384039,1.0474234,1.0163673,0.77980024,0.864131,1.0475435,1.0858968,1.2738255,0.96305203,1.07769,0.91031164,0.8428221,1.2301131,0.0,0.95978284,1.2127743,1.1271287,0.9376454,0.9100038,1.0202171,1.132043,1.0421664,0.9798901,1.1112856,0.9805139,1.0105357,1.142213,1.015066,0.9452554,0.7414588,1.0320524,0.822827,0.9204195,0.870816,0.92778707,1.0218027,0.9761303,1.0735414,0.9973531,0.87131643,1.0787126,0.66530305,0.94040346,1.035927,0.91430175,1.0842286,1.2010928,1.1627213,1.0479848,0.91181886,1.1122897,1.0901754,0.77658105,0.7775928,0.8132572,1.0934731,0.92953026,0.9935776,1.001376,0.7732091,1.0081682,0.86114705,0.9157332,1.060681,0.8335946,1.2193084,0.79372865,1.020581,1.0709404,0.9380603,0.928769,0.92480606,1.0009335,0.99944663,0.7267999,0.9603883,0.904721,0.9948397,0.8619141,1.1135434,1.160661,1.0967299,1.215004,0.9796642,0.8835873,0.79517424,1.0075829,0.89475477,1.1409692,1.1212637,1.0714238,1.0899134,1.146232,1.1626598,1.2084827,0.9731223,0.96544063,0.99801284,0.90421516,0.82141066,1.1004765,0.9934522,1.085291,1.0416197,1.1697924,1.1370124,0.9797034,1.0121671,0.89122576,1.0130723,0.8503073,1.0347338,1.0540613,0.8650397,1.1529558,0.9620826,1.0550488
crayon,1.2945414,0.4019996,0.32172394,1.4376895,0.70976126,0.69220686,0.82219005,1.2092224,1.43997,1.1989647,1.5096123,0.3166749,1.415966,1.5290534,1.0450702,1.471581,1.3667186,1.1626836,0.5458472,0.6460879,1.3324546,1.0793765,1.0227368,0.6815337,0.45269823,0.72894555,0.5737936,1.2636361,1.0786469,0.29167676,1.3830773,1.4726343,1.1556689,0.8308986,0.8079963,1.4241846,0.95978284,0.0,1.5107551,0.64027804,1.4407742,1.2625309,1.0494854,0.9190491,1.4960811,1.025153,0.6697505,1.1730108,0.58493054,1.2510356,0.6814249,1.1379808,0.5855561,0.60259044,0.8154936,0.6383187,0.9240663,1.2541441,1.4388458,0.6037668,1.2460396,1.166584,0.6391116,1.4051161,1.0251987,1.2913092,0.3311594,1.3049586,1.3665743,1.4173352,1.0368155,1.3480265,0.35745597,0.88136536,0.48164338,0.8769727,1.4873654,0.7940204,1.011427,1.486835,0.8273118,0.80764025,1.1038129,0.215877,0.7190595,0.42867583,0.40520054,0.5148984,1.2268356,1.1844702,1.5070419,1.4798474,1.2997,0.08354169,0.22279048,1.3691868,0.81192935,1.337013,0.63402843,0.92802924,1.3187559,0.94361544,1.3145903,0.73734677,0.260166,1.2920521,1.2240362,1.025518,1.3041949,1.4430249,1.0101199,1.4245719,1.342333,1.0833443,1.0263925,1.3518367,1.0503242,1.3987365,0.11443579,0.41364574,1.1038309,1.320075,0.737806,0.997402,1.1756961,0.5415041,1.4246045,1.3658123,1.4455196,0.57889813,0.5113965,0.45299393,0.19186032,0.6850356,0.8020183,1.0514003,1.1025543,0.69713396,0.2736627,1.2827384
crib,0.8749224,1.3307829,1.5891095,0.6787782,1.3786141,1.352801,1.3748755,0.60044026,0.4320115,0.8316705,0.3231213,1.416969,0.41860914,0.6905458,1.1025432,0.5381301,0.4999982,0.76238096,1.2877291,1.1365664,0.47335887,1.217479,0.8446386,1.2911764,1.2108417,0.92213774,1.4437876,0.7966958,0.7664822,1.3697915,0.37301862,0.65534174,0.7541435,1.2707399,1.1520605,0.45490026,1.2127743,1.5107551,0.0,1.1852821,0.83312654,0.995286,0.72984564,0.848638,0.6210831,1.2772828,1.3912501,0.8533912,1.4119558,0.9203776,1.4033272,0.7944491,1.4376924,1.3155744,1.3190553,1.2617327,1.2094663,0.8387865,0.8243803,1.3930047,1.0046624,0.7680384,1.3679326,0.70204496,1.192827,1.0045704,1.4887744,0.91283077,0.8133572,0.5677123,1.0852363,0.70961845,1.3690671,0.755416,1.2650772,1.2300537,0.85613894,1.3803382,0.97762865,0.8452367,1.2043687,1.2669524,1.1293964,1.5608096,1.2379283,1.4902551,1.5029318,1.5010421,0.46546847,0.81059366,0.57208854,0.6933302,0.6911713,1.4861777,1.4056194,0.68482625,1.1189255,0.97187537,1.2369056,1.1454316,0.8846418,1.3648703,0.67781204,1.119101,1.430078,0.4249556,0.9143503,1.1823235,1.0443053,0.77572834,1.0623596,0.7208439,0.6405566,1.0753379,0.866876,0.5922422,0.790373,0.38797933,1.5795931,1.3944061,1.0415435,0.9263652,1.2966189,1.0666814,0.85950226,1.4445543,0.69019794,0.7278955,0.5869325,1.3946803,1.5215693,1.4628382,1.3365881,1.2726824,1.1330211,0.8873038,0.80461943,1.054952,1.4950055,0.53288263
cup,1.4500825,0.7837821,0.75102526,1.2500522,0.8617748,0.7353745,1.0967684,1.0137376,1.032264,1.3124554,1.3705983,0.89473045,1.1625303,1.3641559,0.99863404,1.4082514,1.2066356,1.1622488,0.17666554,0.45098686,1.0402858,0.90541065,0.30587518,0.95074433,0.3837983,0.8501615,1.0710733,1.3353965,0.71559584,0.5734247,1.171783,1.0390567,1.0184317,0.88675386,1.1136837,1.1351918,1.1271287,0.64027804,1.1852821,0.0,1.3227088,1.2753434,0.8808493,0.99043006,1.3238745,1.1920861,0.8470051,1.1111665,1.0514878,1.2328246,1.0929586,1.1933814,1.0619038,0.8427404,1.0116513,0.5886806,1.1742289,1.2809029,0.9597268,1.0079162,1.2816163,1.2236433,0.92096794,1.2748865,1.0103412,1.2568849,0.8825923,1.2963847,0.99543804,1.3729959,0.42853326,1.3141528,0.6530676,0.89406323,0.47897625,1.0637392,1.1998379,0.9201949,0.52020127,1.4183576,0.7787005,1.1664356,1.0379313,0.7669067,0.6759758,0.87262446,0.73694587,0.673397,0.8794849,1.3653109,1.357259,1.3180358,1.2671068,0.64156234,0.7418894,1.2035627,0.89260846,1.1525172,0.67845225,0.7984383,1.2167606,1.0387713,1.1676937,0.58826226,0.5656831,0.82955897,1.2997321,1.1082665,1.0193118,1.2956873,1.0587249,1.2981803,1.2167424,1.1411021,1.0898553,1.1475035,0.7255923,1.1989114,0.69643486,0.388416,1.0785785,1.0376676,0.6072754,0.87581444,1.2318424,0.85618687,1.0833572,1.36117,0.94566983,0.61917764,0.97881854,1.0006837,0.58317363,0.7240304,0.9563089,0.7844894,1.0691351,0.5459994,0.75632286,1.0143385
dog,0.6849497,1.2812207,1.3148024,0.8426099,1.0776585,1.1541244,1.0431694,0.920733,1.0229874,0.68301284,0.7390498,1.3434393,0.90747255,0.77203345,0.73047113,0.7535758,0.8690295,0.9273239,1.2845197,1.2716393,0.93560356,1.0092523,1.170158,1.0979478,1.408607,1.1941599,1.252434,0.5536641,1.0587738,1.3477204,0.93464625,0.89414704,1.0711995,1.1131017,1.1940942,0.75709015,0.9376454,1.4407742,0.83312654,1.3227088,0.0,0.54334426,1.1791396,1.2521162,0.7391438,1.0632226,1.1715773,0.9618614,1.2185309,0.91537243,1.2589166,0.9685713,1.2040989,1.0500177,1.1608438,1.24268,0.85834634,0.5974578,0.92724264,1.2169187,0.7921356,0.8914737,1.2369576,0.75868636,0.9002203,0.9704372,1.302047,0.42214876,1.0017707,0.851271,1.147454,0.94506633,1.3817143,1.2388644,1.3117132,1.209562,0.7159047,1.0642942,1.1119268,0.7730452,0.88896465,1.1618674,0.8452162,1.3643043,1.254184,1.3803267,1.2494818,1.225467,1.0820186,0.76803887,0.7449923,0.7980357,0.9385725,1.4274403,1.4196452,0.46268374,1.1439207,0.77679443,1.1351455,1.1785619,0.22974062,0.955953,0.8796143,1.1898196,1.2485787,1.0286733,0.94472563,0.74499726,0.85142595,0.7513273,1.0488805,0.89723045,0.8897677,1.0899056,0.9852613,0.9091856,1.2157158,0.8579818,1.3736862,1.3150752,0.9986371,0.9765252,1.2018625,1.1093147,1.0258423,1.3097012,0.64883024,0.8959085,0.86782783,1.265454,1.2699519,1.2587208,1.3058661,1.2227386,0.906387,1.1120795,0.9014645,1.2114166,1.3281585,0.981475
doll,0.5737531,1.1900235,1.0725671,1.0522021,0.8184244,0.9650338,0.79140836,0.87719184,1.2313372,1.0354656,0.9407382,1.2513055,1.2478074,0.7357784,0.8805128,0.9355801,1.0028872,0.66837245,1.2027249,1.2555573,0.83260834,0.9656213,1.1598012,0.7992657,1.2785118,1.292758,1.0592961,1.0401504,1.1450865,1.2452674,1.1216463,1.0231873,1.095841,0.97394943,0.9567696,1.0554512,0.9100038,1.2625309,0.995286,1.2753434,0.54334426,0.0,1.2944853,1.2699522,0.87012196,0.85919344,1.0138515,1.1799787,1.0572958,1.0068254,1.0786546,1.0267469,1.0499831,0.78637147,1.041948,1.1220675,0.4285075,0.86978614,1.1531588,1.0641098,0.62804955,1.2531058,0.90734243,0.8507823,0.85488766,0.86802024,1.1109966,0.64404655,1.1309792,0.9115516,1.1060888,1.1155152,1.3406467,1.1425221,1.2465124,1.0825685,0.7720344,0.83319664,1.0557986,0.6998736,0.90135586,1.038292,0.7540646,1.2153462,1.1681712,1.1957005,1.1253027,1.0432224,1.3666717,0.84339905,0.8368696,0.97116756,0.8809405,1.2764254,1.2777877,0.7983397,1.1130191,0.9251053,0.97509176,1.178745,0.6501442,0.6562283,0.7675929,1.1156728,1.1907718,1.2774941,1.0932512,0.44018662,0.9318578,0.8084859,0.89508533,1.0376931,0.8537325,1.0712405,1.07092,1.1018882,1.3010956,0.8989368,1.2157738,1.1022276,0.8239476,1.0858567,1.0962362,1.2465165,0.9967139,1.1096842,0.6132932,0.98529845,1.0610902,1.0085386,1.0628877,1.1677876,1.1785439,1.1351335,0.43696558,1.0527055,1.102973,1.2147009,1.2346961,1.1682614
door,1.208356,0.9800411,1.205983,0.9035083,1.2602963,1.1735533,1.2525376,0.9093366,0.601586,1.0776833,0.8946563,1.0296743,0.6815161,1.1378933,1.1986603,1.0399785,0.882679,1.1480967,0.9462043,1.1564891,0.93693316,1.1512933,0.8805163,1.0655761,0.72540545,0.738549,1.0817096,0.89830965,0.7319727,0.86927104,0.52978146,0.8332342,0.9779365,1.1472335,0.9326574,0.66987234,1.0202171,1.0494854,0.72984564,0.8808493,1.1791396,1.2944853,0.0,0.5442244,0.99079907,1.0726247,1.2407861,1.0346898,1.0960267,1.0611173,1.0882792,1.0396507,1.1437926,1.1966896,1.067202,1.0628849,1.2437255,1.0181854,0.9937645,1.0428807,1.3566742,0.9122109,1.2836484,0.94282055,1.183983,1.0376918,1.1378899,1.1005232,0.9331241,0.97946966,0.9592986,0.90447783,0.88756025,0.5293749,0.79358196,0.83865494,1.1076221,1.234002,0.87642705,1.2284371,1.0764494,1.1379285,1.1829691,1.1254284,0.9165673,0.93570733,1.0857022,1.1655378,0.4297657,1.140241,1.0593848,0.89544594,1.0584303,0.98517454,0.95830184,1.0846244,0.87544465,1.1468624,0.9068028,1.0751451,1.1558268,1.1583362,1.0764047,0.94848496,1.0538473,0.34486675,1.0687591,1.2052566,1.1326643,1.1046686,1.1221185,0.92024267,1.1934834,0.91367126,1.0323815,0.49215996,0.63041866,1.1125599,1.1119294,1.0045916,1.1536317,1.0948207,0.9736108,0.94139045,0.883086,1.0843949,1.0677321,1.0285937,1.0037796,1.130713,1.1017553,1.089231,1.0160662,0.9156236,1.3193376,0.94149,0.8702518,0.7629036,1.0870891,0.41699433
drawer,1.1633261,0.9686139,1.134432,1.0623176,1.1968875,1.1320262,1.1646991,0.9040088,0.71616155,1.2297807,1.0572373,0.83013016,0.6055551,1.2560635,1.2556726,1.0195842,0.90700334,0.96805733,1.0013849,0.97838384,0.7551904,1.0827712,0.8945645,0.9081965,0.67321265,0.7298246,1.0535563,1.099947,0.95815605,0.84876347,0.8693324,0.75771046,0.9276176,0.88935,0.90007865,0.7804104,1.132043,0.9190491,0.848638,0.99043006,1.2521162,1.2699522,0.5442244,0.0,1.1691258,1.0258298,1.0780573,1.0979782,0.90691805,1.1347039,0.9758103,1.0052507,0.94985735,1.212611,0.9477709,1.0452713,1.0961564,1.2039047,1.027673,1.0349872,1.1804793,1.0432208,1.0040426,1.1888552,1.1481749,1.0683887,1.0634233,1.1956469,0.9012465,1.0594636,0.97130805,0.9769676,0.71172094,0.52227247,0.784326,0.91663533,1.0529104,1.2032441,1.0259417,1.2132276,1.1303339,1.0078853,1.0325699,1.0947583,0.9097633,0.9150494,0.9778913,1.139802,0.543453,1.2556692,1.1846397,1.0855643,0.928417,0.84854835,0.8438612,1.0415001,0.80714774,1.1335452,1.0970716,0.951705,1.2226446,1.1216469,1.042274,0.74613464,1.0886276,0.6551652,0.9315163,1.1472123,1.0863812,1.1466781,1.0153133,1.1586447,0.9896407,0.9677909,1.0480003,0.80184317,0.5758332,1.0876884,1.0113175,0.9800945,1.0969738,1.0474162,0.87345356,0.7523263,0.8802921,0.8973967,1.0850008,1.1150004,1.0956752,0.9660688,1.0295486,1.0286481,1.0661267,0.8722745,1.1787784,0.6201824,1.1653532,0.7736883,1.0166659,0.9216361
dress,0.75404465,1.267028,1.4353867,0.5300505,1.3422054,1.2718382,1.1856288,0.89415777,0.8327575,0.8763714,0.4655677,1.4204755,0.7946424,0.19843864,1.0680557,0.5741654,0.8196975,0.8747579,1.3444915,1.3073747,0.8470658,1.1340772,1.1515203,1.3176984,1.4406333,1.2404339,1.2036444,0.8686502,1.0712348,1.4179826,0.72074527,0.8143197,0.967659,1.2404349,1.1087023,0.6916071,1.0421664,1.4960811,0.6210831,1.3238745,0.7391438,0.87012196,0.99079907,1.1691258,0.0,1.0977113,1.3050499,1.0013026,1.2861032,0.78688943,1.1663356,0.90531415,1.3390492,1.2698805,1.0392549,1.3399782,1.2043904,0.59772825,0.9084814,1.2749836,0.8841327,0.9404139,1.3192203,0.47956848,1.0263078,0.8156334,1.3814847,0.74982095,0.9573492,0.5787683,1.1022888,0.613279,1.4418836,1.1118648,1.4509706,1.0978518,0.75941753,1.3408575,1.0883198,0.64394045,1.1996902,1.1143016,1.1244702,1.4021552,1.235644,1.2962143,1.438709,1.3735007,0.8807633,0.9098668,0.06558418,0.4716937,0.74048483,1.5193126,1.4250543,0.8026024,1.1584182,0.8331393,1.2303107,1.1861528,0.7691934,1.1092962,0.7788723,1.3320404,1.4184682,0.8968956,0.91945004,1.1785836,0.98865616,0.36655778,1.10801,0.38601232,0.83497465,0.7681298,0.97310716,0.7056644,1.1746423,0.60300255,1.4731369,1.3943546,0.85238886,0.8770611,1.3888164,1.0811197,0.8028335,1.3038539,0.73799753,0.569041,0.7090413,1.4402546,1.2597747,1.2487214,1.3386748,1.2089504,1.1743026,1.1465956,0.98671013,1.2551901,1.3563781,0.8588316
ear,0.98123956,0.8171178,0.8427141,0.94433266,0.9372809,0.9962469,0.78853166,1.1711067,1.2536277,1.206158,1.2016901,0.8170788,1.1698662,0.9521916,1.1256028,1.1638511,1.3117739,1.1106557,1.2433863,1.2099917,1.1861746,1.0491443,1.2016547,0.9833495,1.0812318,1.1990374,0.5929949,1.0976607,1.1918008,1.1289064,1.1966196,1.0331182,1.1476657,1.1249435,0.81532216,1.1255946,0.9798901,1.025153,1.2772828,1.1920861,1.0632226,0.85919344,1.0726247,1.0258298,1.0977113,0.0,0.88192254,1.1854973,0.6871753,0.5735897,0.38402408,0.9895209,0.8400912,1.0591016,0.66530514,1.228318,0.914946,1.1266456,1.0374727,0.49881452,0.78067046,1.2097245,0.89875877,0.83849865,1.0433612,0.5328074,0.665906,1.0779365,1.0109884,1.0593523,1.1839279,0.9813737,1.0644953,1.0906842,1.1685057,0.6591289,1.014458,0.94649315,1.1775576,0.77371925,1.10266,0.4231907,1.0882195,0.7247894,1.1412556,0.6187644,0.9415312,0.96387017,1.1878479,1.0840275,1.1339265,0.96247876,1.0485545,1.0427148,0.9003693,1.1344966,0.97189164,1.0441467,1.1851432,1.1966692,1.0982287,0.7624837,1.1552644,1.2225423,1.0487287,1.1883223,1.0105132,0.8950155,1.0594682,0.87159467,1.0563209,0.92068124,1.1469021,0.7794761,1.1623492,1.1103063,1.1794715,1.2627985,0.84968495,1.1666403,0.82959634,1.1530956,1.1526928,1.1076514,0.76103115,0.8565153,1.0661216,0.8143155,1.2164849,1.1492214,0.42054105,0.627805,1.0706351,1.0999033,1.0684685,1.2157952,1.2452972,1.1380837,0.79869044,1.1469548
egg,1.1897177,0.8768326,0.44545674,1.2725859,0.28775984,0.37355876,0.7486793,1.3119965,1.2716804,1.1806598,1.3076953,0.7016139,1.3247954,1.2327079,0.8456738,1.2900128,1.2398326,1.1250939,0.7759838,0.8092815,1.2617742,0.9728674,0.94092655,0.8368885,0.8486763,1.1037815,0.6708584,1.2119772,1.2156483,0.7700552,1.3304014,1.2648296,1.2022643,0.9149275,0.7411509,1.3114728,1.1112856,0.6697505,1.3912501,0.8470051,1.1715773,1.0138515,1.2407861,1.0780573,1.3050499,0.88192254,0.0,1.1720183,0.70019853,1.0730203,0.7065282,1.1421226,0.76429653,0.81250036,0.9342215,0.8959565,0.88407516,1.1893593,1.1193684,0.81320846,0.93399334,1.1887748,0.5487642,1.2348061,0.96966493,1.0785656,0.62571865,1.1401747,1.1430691,1.275074,0.9743734,1.3135701,0.8803471,1.1647302,0.6828632,0.98740345,1.2699817,0.60265636,0.98667365,1.1527098,0.97969747,0.87595034,1.0365022,0.54767185,0.8784008,0.7811581,0.59581137,0.53519845,1.3438791,1.1072241,1.3019235,1.354655,1.1848065,0.74129367,0.7546932,1.1393385,0.84420127,1.1464539,0.910902,0.9950129,1.1461518,0.65232664,1.2620561,0.8666191,0.7437466,1.3430355,1.1540744,0.974432,1.0326405,1.1482698,1.068475,1.2152432,1.1805885,1.0907255,1.1341041,1.2674049,1.1205409,1.1832085,0.6478543,0.6062777,1.0098894,1.1458892,0.94248307,1.0198429,1.1174059,0.63505113,1.217329,1.1472902,1.2225001,0.6031555,0.64713407,0.6825578,0.775036,0.84349346,0.74082065,1.2040975,1.1628568,0.9868198,0.68088275,1.3056216
elephant,0.94402754,1.1772429,1.1871929,0.90935504,1.1343077,1.1146604,1.1446218,1.0603908,0.88225764,0.6039743,0.7848427,1.0815694,0.8338262,0.975583,0.86556244,0.7684386,0.8459671,1.1071838,1.1085502,1.0624412,1.1153349,0.9726337,1.0415499,1.1139725,1.2362056,0.9335498,1.2187189,0.74571556,0.8917126,1.1081606,0.77532554,1.0807863,0.99606425,1.0769501,1.103617,0.92335105,0.9805139,1.1730108,0.8533912,1.1111665,0.9618614,1.1799787,1.0346898,1.0979782,1.0013026,1.1854973,1.1720183,0.0,1.1240615,0.9831245,1.1892117,1.0129963,1.144444,1.1474308,1.1935092,1.0075909,1.1055403,1.0187123,0.83812976,1.1880748,0.9891437,0.56575584,1.2873989,1.0548471,1.162159,1.1468898,1.1813372,0.97680897,0.8658,0.87803817,1.0562786,0.7452506,1.1170566,1.110084,1.0408996,1.1265687,0.993403,1.1082685,1.0117533,0.96740603,0.9650618,1.1941552,1.0173703,1.1756557,1.0062063,1.1578956,1.0927217,1.1983517,0.91595477,0.60083115,0.9759963,0.9507047,1.0495368,1.1397634,1.1303979,0.9266102,1.0752928,0.9718623,1.015728,1.0149431,0.95477486,1.158683,0.91929525,1.0610095,1.141026,0.9765541,0.7989059,1.1673493,0.9228349,0.9900878,0.9258981,0.836168,0.8763889,1.0616916,0.90328354,0.97000134,1.0332589,0.8231268,1.1631386,1.2206202,1.0365527,0.9421067,1.062427,0.9322338,1.022886,1.253763,1.0804529,0.8406807,0.80322397,1.1566377,1.2232403,1.1312609,1.2199949,0.9976038,1.1783229,1.144325,0.6711658,0.99280125,1.1259439,0.8350383
eye,1.1502019,0.78559196,0.57639587,1.2275246,0.6784841,0.81715846,0.7544322,1.1983248,1.3555549,1.0983251,1.3331579,0.5525051,1.3652393,1.285993,1.067793,1.3438506,1.2949529,1.2310855,0.96415716,0.9823293,1.2930938,1.0940915,1.1803153,0.7075885,0.8737946,1.0409966,0.6785359,1.1510417,1.2660564,0.6570921,1.2546457,1.2313013,1.1821576,0.9041196,0.8116491,1.3420739,1.0105357,0.58493054,1.4119558,1.0514878,1.2185309,1.0572958,1.0960267,0.90691805,1.2861032,0.6871753,0.70019853,1.1240615,0.0,0.8884693,0.57121503,1.1086088,0.7495605,0.8969403,0.9061747,1.0014544,0.8285441,1.112315,1.0420805,0.366395,1.1064639,1.1083852,0.84372747,1.1629707,1.0503519,1.0237118,0.46670973,1.1617395,1.0285676,1.2390063,1.2222288,1.2344291,0.8173498,1.0822098,0.786484,0.8584063,1.2843385,0.8738613,1.1962445,1.2472166,0.9511565,0.50011814,1.0521479,0.4169094,1.104365,0.5469862,0.54557043,0.70934355,1.2508266,1.0120349,1.3355647,1.2681053,1.2449037,0.57844615,0.66069067,1.2048016,1.0807413,1.1613309,0.95363426,1.021349,1.1896726,0.8693069,1.2346847,1.0002543,0.68212783,1.3424394,1.0748117,0.9543366,1.2512386,1.2465267,0.9268328,1.1769435,1.2042656,1.0173033,1.1088533,1.2158182,1.2449641,1.3688822,0.49754268,0.84807414,1.0206467,1.1840322,1.0149825,0.85600185,0.93290806,0.76230013,1.3085226,1.0761619,1.324658,0.6612944,0.50511783,0.5196789,0.8092487,1.0606838,0.89305156,1.3197103,1.177825,0.9309788,0.4528802,1.2455318
face,0.9116531,1.0105649,1.1386173,0.72916204,1.0835598,1.0789757,1.1081583,1.203714,0.9579932,0.9901456,0.7885338,1.0548118,0.95225316,0.7416128,1.128393,0.9454729,1.0060642,1.0494078,1.2712567,1.2174969,1.0294114,1.0950056,1.2060988,1.1716034,1.377629,1.1114151,0.97510374,0.92734283,1.2003478,1.253763,0.8583149,0.87783325,1.0159067,1.2033598,1.1071941,0.90318483,1.142213,1.2510356,0.9203776,1.2328246,0.91537243,1.0068254,1.0611173,1.1347039,0.78688943,0.5735897,1.0730203,0.9831245,0.8884693,0.0,0.7394128,0.868188,1.1288278,1.2061775,1.0280955,1.35352,1.0823605,1.0131055,0.84084654,0.6394821,0.9027109,0.9941894,1.1616714,0.38671124,1.106103,0.7085022,0.90039754,0.91596097,0.93440616,0.7713508,1.1743073,0.87067914,1.2326376,1.2752674,1.2830367,0.98384124,0.9183924,1.1944879,1.0405867,0.77547246,1.2340225,0.6085979,1.1691453,0.95791495,1.3192239,0.9906452,1.1879697,1.2458,1.0182976,1.0049602,0.7935051,0.8516532,0.8934534,1.269094,1.0892166,0.9238888,1.1698207,0.90366817,1.2341638,1.1435145,0.9318613,1.0727676,1.0250053,1.2640245,1.1971459,1.0074701,0.98537445,1.0585555,1.0266726,0.79188323,1.1249658,0.6379111,0.98360354,0.9391244,1.0145354,0.8846862,1.1299214,0.99032444,1.1341622,1.2921106,0.9869604,0.9923196,1.3546803,1.1003835,0.82146585,1.1547847,1.0180867,0.6389449,0.8952176,1.3141567,0.82294786,0.8639011,1.1838863,1.2997744,1.214409,1.2943144,0.99173975,1.1634693,1.0629821,0.91116315
