,alligator,ankle,apple,arm,ball,balloon,banana,basket,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,sink,slide,slipper,sock,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
butterfly,1.1673757,0.98052454,0.90287244,1.2759485,0.859787,0.6750915,0.8830258,0.86982286,1.1784267,0.8941356,1.2214458,1.0917994,1.2002984,1.2271734,0.8491984,0.906436,0.919652,0.94441485,1.1892432,1.0284625,0.96606356,0.0,1.0088966,0.8642609,1.1958517,1.0620667,0.97155744,0.9886322,1.0397242,1.2875445,0.99236095,1.1801735,0.8818295,0.8593576,1.0546715,0.8882644,1.0064112,1.1378399,1.1250995,0.9172502,1.1111,1.1105125,0.989378,0.8278421,0.83273154,1.1007329,0.88362896,0.63490087,0.9355645,0.99794966,1.1628482,0.95235103,1.180546,1.1576277,0.95517886,1.115792,1.1768873,1.0515033,1.2534165,1.1166216,1.0205138,0.7927598,1.2214411,0.9798449,1.255918,1.0061986,0.7504073,1.1160724,0.38962406,1.2865114,1.2764835,1.0004121,0.8994214,0.7973457,1.1621281,0.9387182,0.7594849,0.96478784,0.98173946,0.87225294,0.9224359,1.0792322,1.1877464,0.72129536,1.1639557,1.0592624,1.3116482,1.000669,1.144193,0.8308626,1.1282307,0.9852682,1.0891209,1.2484654,1.1714308,0.76403975,0.97273225,0.9588144,1.1306686,0.69165313,1.0465002,1.0650733,1.0670582,0.8667725,1.1300793
can,1.3443993,0.83544785,1.1350234,1.2411802,1.119474,0.91452205,0.93374777,0.8297653,1.4759377,0.59621,0.8596891,1.5014073,1.2421283,1.4031065,1.3011057,0.87685966,0.81303006,0.9465086,1.0490533,0.53011316,0.6558765,1.0088966,0.0,0.8946395,1.0562264,0.8904006,0.3451265,0.79966116,0.84418195,0.9872059,1.1894965,1.3669312,1.0290793,0.84185433,1.0220997,0.7415283,1.2450585,1.3314941,0.6580186,0.6177027,1.2441713,0.71651196,1.0107007,0.7515067,0.9554074,0.9555133,1.0174671,1.1258533,1.2715288,0.81071806,1.0196162,1.2310833,1.1584406,1.2689044,0.6300086,0.8599485,1.2079918,0.8708215,1.1310503,0.8385924,0.5542958,0.54049695,1.099631,0.78069025,1.0343342,0.772117,0.9353428,0.6898536,1.0983622,1.3165188,1.1637716,1.4338744,0.86675024,0.91826636,0.98608613,0.83926016,0.77922416,0.8017785,0.87589043,0.9044608,0.6867706,0.76320136,1.3072214,1.0534687,1.2852317,1.1003485,1.0979905,0.7882627,1.3430153,0.83675194,1.0499078,0.8057097,1.0307393,1.2845488,1.2647467,1.0196024,0.9780022,1.2483573,0.7295729,1.238583,1.3547192,0.823035,0.51030815,0.81073546,1.009256
car,1.2542853,1.0171355,0.92393553,1.3761642,0.86319065,0.8526097,0.7244974,0.7831079,1.3664197,0.774867,1.1293201,1.3092313,1.1622257,1.3993132,0.8086751,0.7146323,0.6411906,0.7194617,1.2468774,0.9141721,0.7520269,0.8642609,0.8946395,0.0,1.0089121,1.1095582,0.9309543,0.9375146,1.0691348,1.2721229,0.9578051,1.3037053,0.8505485,0.6219565,0.76833206,0.66203904,1.0104488,1.2127738,1.0658872,0.66859376,1.2505876,1.1196979,1.1394771,0.7440358,0.7590597,1.0475469,0.9103351,0.75916153,0.92495006,0.99423313,1.1716082,0.9441694,1.1464764,1.2391098,0.9734015,1.0883801,1.243622,0.85408413,1.3492773,0.9872288,0.90887475,0.7834984,1.2481297,0.87422985,1.2118,1.1886244,0.93295175,1.0051981,0.9370136,1.4381828,1.3467305,1.203937,0.92991465,0.83493924,1.1768805,0.7251192,0.8464009,0.9705237,0.69825387,0.952699,0.64547914,1.0736228,1.0800649,0.70020765,1.2756569,1.1443956,1.4399168,0.9854965,1.2208687,0.77427274,1.1665269,0.814064,1.0019691,1.3055521,1.2100505,0.73303366,0.9780071,1.0519845,1.1313481,0.51316065,1.0158354,0.7715437,1.036612,0.70956236,1.0602115
carrot,0.9630867,1.215373,0.9922183,0.95570594,1.095134,1.2543619,0.86331975,1.1306121,1.0694757,1.0226517,0.907755,0.98157054,0.9113691,1.0027591,1.0306644,1.1285111,1.0534348,0.91594607,1.049257,1.046319,1.0786785,1.1958517,1.0562264,1.0089121,0.0,0.8083446,1.1700883,1.0605325,1.1085054,0.92500716,0.8861129,1.0864316,1.094414,1.0111984,0.98955905,1.0668532,0.988326,1.0477916,0.94495964,1.0497957,1.0196253,1.0310605,1.0804528,0.93671817,1.0328103,1.0958414,0.9116195,0.9726854,0.7179576,0.9791144,1.0450295,1.0272944,0.95562804,0.9481996,1.0995612,0.8961721,1.0517195,0.89856803,0.98283684,0.9519325,1.0540148,1.2022586,0.94167197,1.0738837,0.9592964,1.1546098,1.16154,1.0651411,1.163797,0.98332214,0.9603933,0.81005836,0.96943545,1.0034117,1.0229517,1.0370399,1.2238452,1.1449782,0.78768885,1.0506525,1.1098136,1.1160381,0.74990624,1.0165687,0.82651424,1.073808,0.9275943,1.0302354,0.97668946,1.1840303,1.0450548,0.89653987,1.0918602,0.9794728,0.984616,1.0354903,1.1718358,0.9093715,1.1072896,1.1181654,0.9781739,0.8718501,1.092755,1.0469463,1.0130925
cat,1.0579829,1.1465887,1.1480312,0.7663106,1.1989335,1.1139402,1.0468582,1.1123434,0.9466387,0.839456,0.8832528,0.9830719,0.963198,0.8982131,1.1937026,1.1135329,1.1678652,1.180194,0.72511804,0.8821772,1.1302073,1.0620667,0.8904006,1.1095582,0.8083446,0.0,0.88491106,0.9478467,0.9768298,0.84570783,0.9543675,1.0694884,1.1194367,1.1515518,1.0921717,1.006943,0.8300546,1.1948446,0.6630936,1.11131,0.97314316,0.9697138,1.0778269,1.0198655,1.0322334,1.1364566,1.0444582,1.0624454,0.8724389,1.0077015,1.1026466,1.2471683,1.0484028,1.052687,1.0558782,0.82827336,1.0688473,0.71813166,0.75120604,0.84687716,1.0723035,0.93315244,1.1385101,1.1070298,1.0395093,1.009986,1.014703,0.92028743,1.0099508,0.937086,0.8273367,0.9814894,1.0426078,1.041953,1.1654917,1.0149332,1.0901074,0.79444534,1.1019344,1.0734047,1.1502258,0.98791736,0.9284279,1.1817504,0.7089445,1.0565901,0.9627289,0.93404675,0.9495853,1.2295951,1.1489553,1.17166,1.1616879,0.8672233,1.020438,1.1876335,1.2169981,1.2122399,1.1891166,1.2658949,1.0408179,0.6862004,0.91726947,1.0851351,0.8529178
chair,1.1875973,1.0202599,1.1101967,1.1869221,1.1371788,0.8527931,1.0517758,0.7972834,1.2822922,0.7222537,0.86662567,1.3192579,1.2529612,1.2277985,1.0958474,0.907585,0.8906737,0.8654466,1.0677462,0.6568112,0.7484099,0.97155744,0.3451265,0.9309543,1.1700883,0.88491106,0.0,0.9921,0.80023474,0.99633694,1.2053795,1.2095151,0.98996377,0.9576025,0.88320684,0.7804967,1.1386728,1.2091087,0.6114472,0.5814673,1.2227813,0.8649611,1.1228082,0.92812794,0.98580647,1.0520351,0.93763334,1.1244044,1.3492234,1.0799133,0.9002904,1.1834558,1.1943104,1.2943698,0.88185,0.82382935,1.181702,0.8134234,1.1278601,0.8456547,0.4304664,0.5368413,1.0744984,1.0231602,0.9428217,0.8449589,0.92259264,0.70373684,1.0831499,1.2698355,1.1598408,1.3187048,1.0614401,1.0229234,0.88207996,0.8649491,0.7433045,0.75306684,1.0639435,0.74091357,0.84501576,0.58463615,1.2618904,1.12378,1.2908957,0.9818084,1.1441478,0.6840417,1.1633809,0.903319,1.007337,1.0425068,0.8685423,1.1902997,0.9922522,1.0676827,1.1490067,1.2647358,0.6356075,1.1152284,1.192619,0.85717326,0.54605097,0.999044,0.9300909
clock,1.3350517,0.71368074,1.0285164,1.1065694,0.898759,1.0272286,0.9603307,0.9782927,1.2844477,0.6395695,1.2270485,1.2845647,1.2099152,1.3414384,1.2149254,0.8034863,0.767758,1.1530008,1.1722212,1.0466878,0.94049084,0.9886322,0.79966116,0.9375146,1.0605325,0.9478467,0.9921,0.0,1.1627104,1.1382827,1.0800983,1.2112542,0.810024,0.6413059,1.2069448,0.8059808,1.0869334,1.2327688,1.1241932,1.0105888,1.1724465,0.7795038,0.7391064,0.9949615,0.9049547,0.82188725,0.94571143,1.0143284,1.1328658,0.40870762,1.0871165,1.0546726,0.9495771,1.0023121,0.52729255,1.1801943,1.1774288,1.1192447,1.1729857,0.81712437,0.9488277,0.87474805,1.1512437,0.5138495,1.3277142,0.6975883,0.7891494,0.9256509,1.0278053,1.2713857,1.2002633,1.2416346,0.55967045,0.7742636,1.1604255,0.7209608,0.9272585,1.0906528,0.94278413,1.1406598,0.90272176,1.0869133,1.1986094,0.7651604,1.1407512,1.1237922,1.1316563,1.1000681,1.1956376,0.7077254,1.0562308,0.8501798,1.0746092,1.2199986,1.354407,0.8579125,0.708536,0.99518675,1.2268001,0.97430736,1.171125,1.1602924,1.1690239,0.47794676,1.2348503
closet,0.84160477,1.1676916,1.1592605,0.87690574,1.2549503,1.0831,1.1516842,0.8952926,0.9429367,1.2934444,0.9260781,1.061881,1.1451228,0.9525897,1.0720148,1.1157228,1.2662416,0.8943409,0.8930073,0.81544983,0.86739755,1.0397242,0.84418195,1.0691348,1.1085054,0.9768298,0.80023474,1.1627104,0.0,0.845109,1.0742267,0.884493,1.1732826,1.3279028,0.67416227,1.1849991,0.9501451,0.845965,0.40388787,0.91952974,0.9950637,0.95195985,1.1433613,1.1879307,0.9984729,1.1153293,1.1231608,1.1343188,1.0822879,1.158821,1.0010068,1.0810814,0.9755967,0.9531594,1.2643175,0.70358175,0.9555041,0.86848766,1.0281506,0.9689106,0.7115903,1.1054592,0.98098594,1.3394991,0.8773596,1.0438929,1.1395572,0.8581494,1.1050762,0.9285608,0.934207,0.9850379,1.2475996,1.2027502,1.0454324,1.1976593,0.76092625,1.108012,1.114382,0.81836987,1.1643963,0.73337,1.00322,1.1650795,0.96755433,1.0678521,0.98615706,0.8336238,0.97940147,1.325001,1.0861403,1.2214972,0.8103156,0.9228397,0.69529176,1.1779277,1.2233279,0.92989206,0.835793,1.158164,0.9424277,0.7190367,0.5641039,1.3031224,0.75937825
coat,0.6660638,1.1933475,1.3009808,0.7378091,1.3991935,1.333794,1.2200658,1.2800177,0.78092945,1.2527016,0.699878,0.8284897,0.69378114,0.7288395,1.1859572,1.307246,1.4055872,1.1503042,0.70748013,0.8458319,1.2681308,1.2875445,0.9872059,1.2721229,0.92500716,0.84570783,0.99633694,1.1382827,0.845109,0.0,1.0133646,0.7304797,1.3229386,1.4406261,0.9666926,1.297843,1.000656,1.0009073,0.65072733,1.1992869,0.7724776,0.89612097,1.0649503,1.3297696,1.2906997,1.1814996,1.2708979,1.3187857,1.0603973,1.1551051,0.93196213,1.1988736,0.769253,0.86791897,1.2432833,0.8452249,0.7049041,0.8646636,0.57506824,0.9347961,0.92259234,1.3300272,0.86804223,1.2750533,0.81588036,0.99270904,1.2180883,0.8626261,1.2209939,0.43560302,0.38733983,0.9178994,1.2964451,1.3138411,1.0527908,1.2764997,1.2053148,1.1435527,1.1818643,0.9661064,1.1744516,0.8264624,0.8239901,1.3877112,0.5351247,0.9238556,0.48935843,0.89513916,0.88056767,1.4192698,1.116893,1.2187078,0.8342242,0.48532772,0.77686965,1.4235746,1.310424,1.0953004,0.87017405,1.4929628,0.9882101,0.86622816,0.7732525,1.2898865,0.64630497
comb,0.9219724,1.2244172,1.0838475,0.85361326,1.1798611,1.1106248,1.007415,1.0620348,0.99657387,1.0763747,1.0290161,0.81281996,0.90254104,0.93387884,0.73075545,1.1978986,1.2075379,0.90098447,1.1270697,1.0105997,1.1781067,0.99236095,1.1894965,0.9578051,0.8861129,0.9543675,1.2053795,1.0800983,1.0742267,1.0133646,0.0,0.998341,1.153727,1.1614106,0.8101779,1.1761202,0.9298601,0.94204456,1.0861074,1.1066302,1.0338875,1.0748644,1.1051204,1.105527,1.0588427,1.1070344,0.92537355,0.891458,0.9766486,1.1148727,0.9424773,0.9948757,0.95881724,0.85266423,1.1504416,0.94376004,1.0014466,0.87383276,0.99303687,0.9801684,1.1099654,1.1911194,0.97936636,1.246192,0.9182008,1.1790868,1.0841622,0.96052563,1.0130904,0.9411789,0.9826257,0.79028344,1.0939207,1.1245476,0.9341136,1.1597813,1.1013635,1.1169341,0.95244324,0.8501668,1.0896099,0.9916421,0.87863165,1.0758647,0.8630009,0.9547593,1.0799205,1.0865139,0.9025662,1.192457,1.0545855,1.1352274,0.8671413,0.96744305,0.840871,1.0759709,1.2363303,0.84710705,1.0168276,0.95769024,0.86259854,0.91936624,1.0022384,1.1206697,1.0964593
couch,0.5969704,1.193122,1.1513942,0.6301129,1.2687767,1.3025374,1.3928788,1.3171978,0.15499902,1.3837312,0.8961519,0.53637123,0.744773,0.4710405,0.9274913,1.3291273,1.447079,1.0642157,0.7209512,1.1731598,1.379898,1.1801735,1.3669312,1.3037053,1.0864316,1.0694884,1.2095151,1.2112542,0.884493,0.7304797,0.998341,0.0,1.3098402,1.4619846,0.8755307,1.3120421,0.91036224,0.5845748,0.90737784,1.2837579,0.72213197,1.1121819,1.1044948,1.3472841,1.276045,1.1259044,1.3034055,1.279683,1.0182338,1.055804,1.0548954,1.1628131,0.5007489,0.84025,1.1664798,0.99905694,0.5051135,1.0345678,0.60585505,1.0382905,1.1463196,1.3195353,0.959834,1.3159492,0.83435684,1.1732317,1.2940884,1.0328754,1.0871958,0.37595522,0.5679362,0.6883805,1.2985952,1.2325233,0.86828494,1.3132325,1.262849,1.0855196,1.3486383,1.116346,1.2473291,0.7853213,0.6515664,1.3902007,0.5102027,0.86037004,0.57134545,0.9966904,0.70301765,1.455146,1.0857605,1.4052346,0.90860856,0.4031489,0.50714254,1.3898679,1.2240055,1.00995,1.0120873,1.2836076,0.7653831,1.0603433,1.072308,1.3253028,0.8120042
cracker,1.2611213,0.81637996,0.8350024,1.2550229,0.635744,0.7194778,0.67427224,0.82495356,1.3000145,0.66876197,1.2572895,1.239662,1.1615177,1.2406719,1.092864,0.53574777,0.5543097,1.1445558,1.2149506,1.1836814,0.7738458,0.8818295,1.0290793,0.8505485,1.094414,1.1194367,0.98996377,0.810024,1.1732826,1.3229386,1.153727,1.3098402,0.0,0.45878565,1.3220477,0.70056707,1.0268414,1.1378841,1.3008645,0.9530342,1.2064658,1.0173379,0.8659005,0.6801553,0.76842237,0.88026494,0.6788765,0.85098016,1.1748608,0.8342794,1.0902672,0.3537575,1.2593927,1.0808426,0.8137215,1.2241213,1.2363683,1.150708,1.3240507,1.1249415,1.0982524,0.76791215,1.2154287,0.6499715,1.0969473,0.7473009,0.7049937,1.1300914,0.99290264,1.4145678,1.3404065,1.2707338,0.599054,0.6505214,0.9090146,0.5151433,0.77875644,0.9096863,0.77253324,1.1212192,0.8824887,1.2583153,1.2778636,0.6694718,1.3893973,1.1767833,1.3195666,1.1151261,1.2547405,0.57455957,1.0167506,0.62563574,1.23349,1.3473918,1.4214497,0.65727603,0.7454817,0.8586379,1.0989181,0.7320374,1.268366,1.2237034,1.2917204,0.5464469,1.2583376
crayon,1.4817363,0.7752746,0.88376087,1.4587116,0.61103815,0.7693536,0.59157026,0.8136027,1.4845092,0.38050485,1.2042607,1.4688789,1.252977,1.490216,1.0307871,0.36195123,0.29196805,1.0653083,1.3323356,1.0848207,0.6965146,0.8593576,0.84185433,0.6219565,1.0111984,1.1515518,0.9576025,0.6413059,1.3279028,1.4406261,1.1614106,1.4619846,0.45878565,0.0,1.3968054,0.31721604,1.2044635,1.3938811,1.3116091,0.785767,1.3088386,0.9998747,0.80739737,0.4448408,0.65647,0.8511104,0.71298033,0.6970665,1.0880053,0.6941285,1.210342,0.797506,1.330399,1.2890038,0.62669003,1.2880944,1.3186595,1.3301673,1.4198794,1.0161707,0.96996737,0.459418,1.332975,0.3100195,1.368088,0.80322397,0.72589755,1.0878669,1.0213562,1.6291436,1.4859962,1.3626702,0.32028478,0.23560548,1.0336605,0.26373076,0.75015354,0.8234737,0.6270053,1.1874852,0.67401075,1.3222249,1.3281584,0.43800384,1.5418563,1.3266246,1.4438372,1.0139698,1.3299726,0.44142687,1.0499644,0.40766537,1.3215208,1.5227382,1.5750175,0.54380107,0.69573826,1.0300058,1.2575221,0.6713242,1.2665799,1.2758582,1.2904989,0.240664,1.3096888
crib,0.7642918,1.281708,1.1876574,0.82355833,1.3323002,1.1318185,1.1839963,0.8704158,0.8766676,1.3541164,0.9906334,0.7816067,1.062598,0.8834036,0.7074278,1.2797925,1.3168508,0.47855186,1.0243347,0.8775631,0.88724005,1.0546715,1.0220997,0.76833206,0.98955905,1.0921717,0.88320684,1.2069448,0.67416227,0.9666926,0.8101779,0.8755307,1.3220477,1.3968054,0.0,1.258846,0.86821455,0.8607546,0.77061695,0.7549832,1.0189306,1.0092309,1.2359042,1.256802,1.21629,1.2426323,1.1411915,1.1038785,1.0327739,1.281081,1.0288594,1.079993,0.95011723,0.93306535,1.3738497,0.7765064,0.9870082,0.49912608,1.0477805,0.9746662,0.804436,1.2718894,0.99167943,1.461081,0.8371228,1.280797,1.3447437,0.81630605,1.0510631,0.9492505,0.9097029,0.74430746,1.3795681,1.3598347,1.0748652,1.3262029,1.12767,1.0882112,1.1694632,0.68445116,1.1078672,0.7205936,0.8925062,1.2494931,0.9051477,0.86047405,1.041397,0.89778304,0.6957353,1.353422,1.1245546,1.2434988,0.6430439,0.8701366,0.5111453,1.2071053,1.3184476,0.83960676,0.9006465,0.8567833,0.63736165,0.60103226,0.7182089,1.4060123,0.76111066
cup,1.399256,1.016685,0.93479824,1.3450551,0.76556826,0.70241314,0.83822715,0.81224823,1.2919395,0.50742376,1.1217846,1.3715799,1.2200797,1.334535,1.0858786,0.371073,0.3739242,1.0534095,1.2777374,1.0434606,0.7339388,0.8882644,0.7415283,0.66203904,1.0668532,1.006943,0.7804967,0.8059808,1.1849991,1.297843,1.1761202,1.3120421,0.70056707,0.31721604,1.258846,0.0,1.1306722,1.3659818,1.0640656,0.8361393,1.1548975,1.0981941,1.0790324,0.66919756,0.6948396,0.8652752,0.8193916,0.9836747,1.1440376,0.8537841,1.2799393,1.0234661,1.1960227,1.3542643,0.77061343,1.1312709,1.1587734,1.0719963,1.273749,1.0495187,0.9702296,0.37048256,1.3298256,0.5006839,1.3054965,1.0265592,0.76860225,1.1799424,1.015351,1.4282764,1.3798258,1.2345328,0.6268232,0.46707344,1.2149198,0.19038963,0.73665607,0.7679679,0.9117683,1.1194478,0.6659259,1.050897,1.1748606,0.80139697,1.3558086,1.2555366,1.2824249,0.97076786,1.2383025,0.71317357,1.1823955,0.79656494,1.2030016,1.3079437,1.339731,0.65863633,0.91130537,1.2742923,1.1636798,0.82106745,1.1979268,1.072985,1.0617142,0.38243473,1.1361837
dog,0.8526094,0.98029363,0.91551363,0.85971034,0.9958503,1.0624216,1.1330515,1.0821836,0.86477983,1.2111641,1.0707754,0.84970427,1.0662491,0.84702855,1.0584319,0.9744767,1.165175,1.1143914,0.7934195,1.1392502,1.1609503,1.0064112,1.2450585,1.0104488,0.988326,0.8300546,1.1386728,1.0869334,0.9501451,1.000656,0.9298601,0.91036224,1.0268414,1.2044635,0.86821455,1.1306722,0.0,0.6582655,1.0789838,1.1367401,0.961759,0.90743923,1.0742754,1.1942959,1.0211188,1.0576186,0.902048,0.90981996,0.923602,0.9792938,1.0168822,1.0894345,0.7811619,0.9843867,1.0476737,1.0344807,1.0601289,0.8350087,1.0749575,1.0729854,1.0860066,1.1798757,0.90260845,1.1169904,0.92021626,1.1926075,0.9474037,1.1655316,0.8223108,0.9746279,0.9122659,0.92540896,1.2287993,1.1629323,1.0965077,1.0901343,1.0599227,1.0529696,1.1004317,1.0549242,1.2000291,1.046184,0.8308355,1.0889032,0.824996,0.94834435,1.0898733,1.1225941,0.9224958,1.1375053,1.0595504,1.1273683,1.0221887,0.8610555,0.96405226,1.1905377,1.0004686,1.0137544,1.0102359,0.87056565,0.9162233,0.8879577,1.1545751,1.1129824,1.1192901
doll,0.63412666,0.8518826,0.9004953,0.65227926,0.9411629,1.104211,1.3065879,1.1614885,0.5931423,1.4343982,1.108165,0.70088387,1.0774308,0.65048635,0.9654962,1.243572,1.2650955,1.0450147,0.87543905,1.1137,1.2267911,1.1378399,1.3314941,1.2127738,1.0477916,1.1948446,1.2091087,1.2327688,0.845965,1.0009073,0.94204456,0.5845748,1.1378841,1.3938811,0.8607546,1.3659818,0.6582655,0.0,1.127835,1.2341533,0.80687153,1.0770036,1.002699,1.2972836,1.1296476,0.7757716,1.1520506,1.124884,1.0155714,1.0991507,0.79346657,0.94789344,0.73451084,0.6311921,1.0561774,1.0160363,0.8263855,1.0575066,0.92492825,1.2171656,1.2102599,1.3266613,0.5900878,1.2753297,0.7194469,1.1140946,1.1581731,1.1379195,0.9783885,0.75058496,0.8613762,0.89509416,1.2314916,1.3543108,0.74006677,1.3143106,1.1644726,1.1852468,1.2119517,1.0260378,1.3344843,0.9305273,0.82959676,1.1995331,0.8794483,0.8042101,0.77368045,1.1266422,0.86547744,1.1536934,0.70522165,1.240202,0.80016696,0.8449694,0.7924516,1.1539054,0.8111477,0.8080081,0.8058989,0.9657214,0.9161042,1.0513291,0.98924005,1.3431308,1.0717984
door,0.84066606,1.2910628,1.1934793,0.9007813,1.3720901,1.18122,1.1928408,1.0816749,0.9384214,1.082115,0.57309514,1.0913837,1.0159751,0.9612493,1.1516551,1.1938051,1.3041239,0.9282864,0.8040517,0.8123995,0.9964361,1.1250995,0.6580186,1.0658872,0.94495964,0.6630936,0.6114472,1.1241932,0.40388787,0.65072733,1.0861074,0.90737784,1.3008645,1.3116091,0.77061695,1.0640656,1.0789838,1.127835,0.0,0.8267177,0.9730979,1.0130258,1.2534345,1.107476,1.1664003,1.2308187,1.1900122,1.2394271,1.1264846,1.1415623,1.05621,1.2882924,0.93942213,1.0872333,1.1763098,0.6893003,0.9734804,0.74680346,0.7631339,0.6922936,0.66930604,0.9262447,1.0606606,1.247203,0.9753331,1.0739646,1.124556,0.76979846,1.2065151,0.87740254,0.8428459,1.0056766,1.2332778,1.1614053,1.1531463,1.1489892,0.9050815,0.9319648,1.1452762,0.9342271,1.0294279,0.55948484,0.9015952,1.3825028,0.8856526,1.0730133,0.77980983,0.6270149,0.94144434,1.391528,1.2008969,1.2589043,0.8668227,0.8560353,0.72282314,1.3454016,1.3945982,1.168829,0.965267,1.411128,1.0247732,0.653523,0.53179634,1.2332332,0.5203459
drawer,1.1343316,0.9319961,1.0537553,1.273324,1.043834,0.85830307,0.9540803,0.7973047,1.3260729,0.78468037,1.0630013,1.3523045,1.2854333,1.3118201,0.8265119,0.96261096,0.85449284,0.5819605,1.1432362,0.8252734,0.7371954,0.9172502,0.6177027,0.66859376,1.0497957,1.11131,0.5814673,1.0105888,0.91952974,1.1992869,1.1066302,1.2837579,0.9530342,0.785767,0.7549832,0.8361393,1.1367401,1.2341533,0.8267177,0.0,1.2621815,0.99798423,1.0550095,0.8511435,0.96103543,1.046275,0.8481175,0.9100865,1.1518886,1.0485725,0.96334845,0.9918874,1.2333276,1.3259935,0.92390823,0.98351276,1.2337489,0.91618514,1.2697675,0.8114313,0.6297806,0.64863694,1.147169,0.95417154,1.0348313,1.0134481,0.9125066,0.7078787,1.0129693,1.390857,1.2482007,1.2753232,1.0003669,0.8541039,0.93713945,0.88001573,0.8465575,0.8423999,1.0202652,0.7877908,0.6873279,0.70509934,1.207302,0.9376014,1.3635952,0.95308554,1.298803,0.6663218,1.168635,0.7353229,1.0013785,0.86987424,1.0028931,1.307073,1.1055791,0.9314607,1.013439,1.1396856,0.874228,0.9073076,1.032758,0.833706,0.7810395,0.92540944,1.0347291
dress,0.7489749,1.0779076,1.1400964,0.88174564,1.1740541,1.1418028,1.1889617,1.1280098,0.5637896,1.3024967,0.98186857,0.771163,0.85221523,0.5630988,1.0555413,1.2679344,1.2738978,1.125643,0.83118385,1.1075441,1.21773,1.1111,1.2441713,1.2505876,1.0196253,0.97314316,1.2227813,1.1724465,0.9950637,0.7724776,1.0338875,0.72213197,1.2064658,1.3088386,1.0189306,1.1548975,0.961759,0.80687153,0.9730979,1.2621815,0.0,1.0974137,1.1138657,1.2324507,1.1272358,0.99978495,1.1640261,1.1793741,0.9264111,1.170574,1.0976385,1.1356244,0.9146928,0.96768993,1.2379063,0.9546546,0.52513003,1.0235302,0.6046548,1.1116892,1.1831394,1.2073181,1.0012424,1.1890142,0.9822636,1.0656998,1.0257941,1.1229395,1.0646933,0.51081806,0.80041945,0.8709321,1.2377793,1.208253,1.1382135,1.1899301,1.0578935,1.1630784,1.2094553,1.1698961,1.151973,1.0108978,0.6382778,1.2196884,0.666935,1.0372305,0.7019834,1.0964813,0.8133004,1.2595304,1.0267065,1.2844057,0.9694896,0.64328754,0.7776841,1.1423666,1.0517544,1.1162126,1.1412263,1.1654266,0.9580055,1.0034158,1.0269508,1.2526059,0.8179077
ear,1.2055607,0.83315396,1.0558037,1.0109149,1.0083829,1.0188432,0.99276537,0.9900752,1.1967764,0.95110714,1.048774,1.113349,1.073293,1.1306452,1.1536254,1.0021675,0.99588084,1.0446354,0.9953182,0.81706655,0.93599325,1.1105125,0.71651196,1.1196979,1.0310605,0.9697138,0.8649611,0.7795038,0.95195985,0.89612097,1.0748644,1.1121819,1.0173379,0.9998747,1.0092309,1.0981941,0.90743923,1.0770036,1.0130258,0.99798423,1.0974137,0.0,0.88569915,0.9429151,1.0525359,0.92294306,0.8941006,1.1114842,1.1437119,0.8100586,0.96046776,1.0155834,0.9826111,1.0005561,0.74912995,1.1119133,1.1021397,1.0104262,1.1200991,1.0093564,0.8884891,1.0686042,0.9178019,0.87454706,0.9849948,0.71129215,1.0259544,0.88871443,1.1116313,1.0365845,0.9694522,1.1443467,0.90652305,1.0450152,0.9568903,1.0505583,1.0246025,1.0810603,0.91492194,0.8967395,1.0488279,0.9830783,1.1525248,0.9974107,1.0163542,1.0936587,0.9796637,1.1226041,1.2085195,0.9377117,0.97082525,0.879567,1.0641448,1.0439383,1.1818286,1.10292,0.86288357,1.0074492,0.8303087,1.0906633,1.1659067,1.0024742,0.8840743,0.9809215,1.1293948
