,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
cookie,0.93997556,1.0388277,0.8849834,1.0705329,0.9713964,0.8251612,0.83583236,1.0700647,1.2365545,1.2269208,1.1636368,1.2853081,1.0254325,0.90072316,1.1190443,1.1590362,1.1655345,0.99571705,0.75490594,1.129079,0.4512365,1.156505,1.0471748,1.0086766,1.0469046,1.0330619,0.9108807,1.1128435,1.3867269,0.64024246,0.97578585,1.1950301,1.1163456,1.0502186,1.0499066,0.0,1.2526886,0.17709696,1.0928158,1.2326084,0.9829572,0.86370236,0.9355681,1.0416913,1.2725878,1.2166804,1.2153819,1.0786085,0.8311702,1.1185727,1.0947585,1.1080091,1.1112809,1.0898635,0.9629378,1.0652006,0.9425042,0.9365817,1.0068213,1.12111,1.0763061,1.0253956,1.1770501,0.6633102,1.1104996,1.0840956,1.1488203,1.3290536,0.82387125,1.2789688,1.0626968,1.2428714,0.9924691,0.5717162,0.8708013,0.7756914,1.15941,1.0666721,1.1974845,1.0279434,0.20857579,1.0173105,0.923028,1.1469012,1.0020243,0.748814,1.1975895,0.72758543,1.247676,1.266907,1.0899267,0.2802378,1.0620383,1.0684603,0.8848301,1.2111232,0.5187262,1.1110636,0.54611695,0.95002604,0.7460742,1.076977,1.1491863,1.1284555,1.0202068,1.0852332,0.6393304,1.070238,1.1919525,1.0831681,1.2021924,1.1153406,1.1519759,0.8248587,1.1845449,1.0466849,1.2278993,1.15292,1.0847275,0.8437654,1.137002,0.91416323,0.9232584,1.0213462,0.8920502,1.2917092,1.1473763,0.99639374,0.80245125,1.1195512,1.0744237,1.0972162,1.1318077,1.0176182,0.9411619,1.2941569,1.1009554,1.104489
couch,1.0200609,1.1958988,1.3438079,0.47372502,1.2566005,1.3238899,1.4529561,1.180152,0.56081975,0.13632137,1.3804709,0.31418037,0.39600247,0.78105783,0.44932473,1.0573044,0.833425,1.4362895,1.2085576,0.7166825,1.4209148,0.97763705,1.0804553,1.3571029,1.1609203,1.1902516,1.4310008,0.6997314,0.8410913,0.99340093,1.2572896,0.5563465,0.7866317,0.6437686,0.9643001,1.2526886,0.0,1.0557092,1.4995041,0.59656906,1.3998373,1.0756733,0.70843667,1.0665635,0.72989154,1.2194,0.44845802,1.1880953,1.5044159,0.8967817,1.2177513,0.62886786,1.1878242,1.2403921,1.393839,1.2865915,1.4870858,1.1482984,0.9227028,1.2065779,1.2862527,1.3463324,0.5717942,1.3728411,0.8578569,1.3170096,0.8804094,0.42750454,1.1757241,0.45598888,1.4516869,0.60533893,1.4755433,0.9603928,0.97050977,0.84195423,0.72715575,1.0997845,0.7423629,1.1113325,1.3186204,1.3199838,1.2548635,1.3441292,1.3586171,1.5055104,0.8479901,0.80602825,0.30298078,0.51444745,0.6231222,1.3136349,1.4541304,1.4762415,1.3899109,0.801736,1.1772801,1.095144,1.2645772,1.236615,1.388432,1.2994298,0.9801283,1.0091342,1.0629928,0.9492745,0.9723499,0.8470185,0.7764213,1.2421107,0.32557297,1.0741918,0.7667809,1.4023805,0.81776655,0.96554404,0.51290417,1.4253895,0.9783647,1.3524086,0.89071333,0.85752773,1.5207042,0.8665147,1.4365774,0.58519113,0.3253932,0.4791543,1.2776344,1.273815,1.223447,1.2762914,1.0569028,1.1130526,0.74325585,0.9962907,1.4006803,0.6524619
cracker,0.9425687,1.1399734,1.1093546,0.85527486,1.1604776,1.0145997,1.026683,1.1446998,1.031762,1.012302,1.3660185,1.0373335,0.8103429,0.8607825,0.92528176,1.100569,1.0966771,1.2554573,0.7945358,0.9916964,0.48919308,1.1011769,0.99517095,1.173695,1.1000088,1.1720809,1.089183,1.0496597,1.3682734,0.5024245,1.1293943,1.0403862,1.0529649,0.87424624,0.9565416,0.17709696,1.0557092,0.0,1.3478183,1.0535275,1.1665319,0.85988176,0.85882205,1.105731,1.1467013,1.2754266,1.0146326,1.226677,1.1229447,1.0411009,1.1875689,1.028046,1.2218856,1.1626424,1.1896424,1.1822195,1.112741,1.0182098,0.9222044,1.3056285,1.2157277,1.1116995,1.0617478,0.8046516,1.016728,1.3323596,1.0053854,1.1632177,0.82878506,1.0794289,1.2518725,1.1156558,1.2478249,0.45185012,0.7492788,0.71186864,1.0209742,1.0590305,1.0462145,1.0709655,0.2565503,1.2632262,0.945837,1.3517711,1.1777012,1.0057948,1.1006073,0.706586,1.0375175,1.0816251,0.8855241,0.33256882,1.2984946,1.3071429,1.033078,1.1397986,0.37432504,1.1432697,0.4832765,0.9693826,0.9727221,1.2597948,1.1095788,1.0770496,1.1153897,1.0466703,0.4215933,0.92084485,1.0941228,1.2014468,1.0404087,1.0612375,1.0657709,0.89617854,1.143324,0.95041573,1.0955642,1.3479778,1.0897593,1.0921742,1.00777,0.76422393,1.1069747,0.9048579,1.1397067,1.115936,1.0011895,0.7550758,0.9172731,1.2852626,1.1359406,1.1175542,1.0724096,1.116674,0.73203874,1.2495397,1.3573904,1.0211778
crayon,0.984121,0.9718389,0.61458313,1.4871423,0.71054834,0.8096129,0.43496227,0.91037184,1.4556825,1.533276,0.28162563,1.4850887,1.5514544,1.2662663,1.4315791,0.88083434,1.0341969,0.2829399,1.0814583,1.3010411,0.8396553,1.0796177,1.2306107,0.6186642,0.99751025,0.6964917,0.403229,1.3077087,0.95898706,1.4130093,0.6871958,1.4352565,1.2242261,1.4292305,1.1131432,1.0928158,1.4995041,1.3478183,0.0,1.3840702,0.6535121,1.1845508,1.3362473,0.946727,1.2885551,0.68559784,1.4646924,0.64140654,0.37016046,1.0963855,0.7793922,1.2748337,0.6614734,0.6064368,0.43941247,0.72765636,0.4629451,0.85966957,1.3069202,0.5189817,0.6382854,0.57505417,1.2688615,0.7366044,1.2017194,0.36031044,1.1775185,1.3426964,1.1955979,1.3940029,0.24037904,1.2330576,0.36759925,1.4081011,1.3121094,1.3223256,1.3114221,0.8162738,1.3461938,0.880373,1.0609376,0.30171955,0.91375494,0.4404478,0.56107193,0.46399546,1.1928482,1.3587289,1.5059674,1.3656268,1.3770579,1.095836,0.1295743,0.093405366,0.52123684,0.97488004,1.1369991,0.96567875,1.0608742,0.81395423,0.7234131,0.63746214,1.1108239,1.0645831,0.7736974,1.0674187,1.2974157,1.3771552,1.1175643,0.74372256,1.4917263,1.1034812,1.2801739,0.79484975,1.1648418,1.2120674,1.3679681,0.39208603,1.0051135,0.5260507,1.1910446,1.4043949,0.46325135,1.2796156,0.544233,1.3724747,1.4631133,1.4976225,0.97120994,0.58592397,0.6662003,0.4700665,0.9481062,0.84562314,1.4270786,0.95627594,0.21528268,1.316531
crib,1.0151507,1.1952951,1.3400738,0.7133057,1.1801822,1.26485,1.3305433,0.65985656,0.47112215,0.55530196,1.2803643,0.6145056,0.5715011,0.9098279,0.6994019,1.0864731,0.586786,1.3222191,1.0081669,0.3860333,1.3621931,0.626787,0.75377023,1.2721758,0.7359053,1.0564944,1.4253712,0.89473283,0.7074927,0.9482819,1.2116961,0.4986751,0.99303657,0.64510536,0.9576752,1.2326084,0.59656906,1.0535275,1.3840702,0.0,1.1857278,0.99149686,0.905811,0.9246213,0.61856437,0.9088609,0.72653055,1.2730709,1.5001678,1.0152428,1.2776654,0.996539,1.3318694,1.2668278,1.2687013,1.342886,1.2672188,1.1470665,0.95419276,1.3362304,1.2986429,1.3380067,0.9552353,1.3491229,0.9414938,1.3728184,0.678766,0.7821362,0.9961282,0.8391705,1.2415698,0.5065875,1.327208,0.98442996,0.99865687,0.77681464,0.7870553,0.9781182,0.61010474,1.1768546,1.2490461,1.4605107,1.1431284,1.2637124,1.3815049,1.4624343,0.65191823,0.9460114,0.6250925,0.8411617,0.60526365,1.2611034,1.4006095,1.3857944,1.4366405,0.9583696,1.1604891,0.94899595,1.0740073,1.1037043,1.4285505,1.2890904,0.74313134,0.66799015,1.3314905,0.7869967,0.9608639,0.9019755,0.77732295,1.0473442,0.82984746,1.0040455,0.8549876,1.0399109,0.7455273,0.8777534,0.41373086,1.4059453,0.9539681,1.3364613,0.9243917,0.90432966,1.270532,0.84259105,1.4014589,0.43569916,0.8097545,0.5600841,1.1405673,1.3940195,1.2681519,1.1716143,1.0467038,0.86409146,0.57323384,0.6770229,1.4463034,0.76372707
cup,1.1319424,0.88731563,0.7975533,1.4216591,0.78227204,0.7482978,0.67131096,0.646374,1.2778189,1.4143885,0.6195176,1.3987556,1.4875813,1.1341466,1.3379412,1.0251695,1.0727823,0.39137417,0.55656004,1.0392529,0.8352639,0.9443871,0.582354,0.740643,0.5191343,0.6910939,0.87052226,1.288829,0.8884455,1.1637903,0.7038822,1.2805719,1.2239491,1.0236678,1.1597128,0.9829572,1.3998373,1.1665319,0.6535121,1.1857278,0.0,0.7627044,1.1884235,0.99213,1.1640402,0.7987097,1.3457304,0.9954311,0.71771944,1.2412149,0.9564149,1.262104,1.0716605,0.8660796,0.5863758,0.9931769,0.62771887,0.9255049,0.9461074,0.88049865,0.77617204,0.9322912,1.2989614,0.7814003,1.2856692,0.69206583,1.1940813,1.333174,0.4984529,1.4166389,0.67028105,1.1451974,0.46849144,1.1731873,1.1729572,1.0215873,1.312192,0.9563029,1.128976,1.0822736,0.81518036,0.7808443,0.71476704,0.9093197,0.7701539,0.66377455,1.0258586,1.3037968,1.4614598,1.3902026,1.2964568,0.85094506,0.6508192,0.64388025,0.9584867,1.0013474,1.0945146,0.70073354,0.7766384,1.0371455,0.86577636,0.98586285,0.90416056,1.0097909,1.0999491,0.89461815,1.21343,1.0818201,1.2013152,0.8188968,1.4471046,0.9743811,1.2281911,0.67445797,1.2273865,0.9145042,1.2480044,0.70388615,1.1175766,0.6589176,1.1677942,1.0586057,0.5334257,1.08178,0.8365765,1.2074544,1.3793416,1.2221326,0.5183547,0.9692398,0.99007434,0.9100481,0.971267,0.8431137,1.0840913,0.86142594,0.7136575,1.193552
dish,1.0444903,1.131126,0.999364,1.1492575,1.0129185,0.8245274,1.087401,0.92354614,1.0002706,1.04336,1.2500283,1.0818421,1.0528842,0.9446869,1.0063262,0.87102544,0.9506397,1.1039118,0.5689217,0.8686174,0.9988352,0.97396314,0.6167795,1.1240469,0.81294465,1.0839231,1.178243,1.2298981,1.2284389,0.8580746,0.877732,1.0535182,1.0661323,0.85820484,1.0712758,0.86370236,1.0756733,0.85988176,1.1845508,0.99149686,0.7627044,0.0,1.1199143,1.1859249,1.1435388,1.0470741,1.0830863,1.1325362,1.149069,1.1862075,1.0560683,1.0656372,1.2650502,1.1018741,1.118171,1.2167133,0.90897125,1.0548706,0.6851849,1.2213887,1.265907,1.0860116,1.1209389,1.061528,1.1330041,1.2215366,0.95945364,1.1860981,0.75704145,1.1703293,1.0554618,1.0444654,1.0378345,0.8381042,0.8170884,0.72598857,1.191606,0.8834959,0.97092533,1.0369118,0.87582517,1.1994765,0.89764535,1.2307842,1.030702,1.0836716,1.0693486,1.0612503,1.1427836,1.183314,0.90344673,0.9036803,1.1806941,1.1711795,1.1727728,1.0555685,0.9685279,1.078709,0.550692,1.0504737,1.0920993,1.2136719,0.92586964,0.97223467,1.2009932,0.99370396,0.95053923,0.762833,1.1034172,1.009253,1.1473346,0.861693,1.0798354,0.9610719,1.0220631,0.72098637,1.0551255,1.1515834,1.053083,1.1245623,1.0712066,0.73581153,0.90310735,0.9342389,1.1018795,1.0151355,1.0403914,0.79134285,0.16669786,1.2660058,1.1368082,1.104853,1.0449144,1.0039097,0.6105814,1.0810084,1.249156,1.0579057
dog,0.70827144,1.0508653,1.0985236,0.80830914,0.9690943,1.083097,1.1801482,1.0362859,0.99136686,0.7568287,1.2121927,0.8445829,0.5610609,0.44147903,0.789491,1.1670134,1.0262146,1.2335894,1.140279,0.9718393,0.91152835,1.1051327,1.1300033,1.1002495,1.1861001,1.0264703,1.2970942,0.3626855,1.0350132,0.87354696,1.1090273,0.94868374,0.96041685,0.81649923,1.0269954,0.9355681,0.70843667,0.85882205,1.3362473,0.905811,1.1884235,1.1199143,0.0,0.5754657,1.0446373,1.2490245,0.9232829,1.2145998,1.2449515,0.9398453,0.95880926,0.85873634,1.157937,1.1414334,1.1648723,1.1600726,1.2324681,0.7177179,1.0120608,1.1458738,0.93813545,1.2068903,0.886006,0.8896223,0.956397,1.1303246,1.066281,0.8431717,1.1077417,0.83777016,1.3117268,0.98293453,1.2400421,0.71739864,1.0245626,0.97479606,0.8256073,1.1551781,0.8200945,1.1506512,0.9007422,1.2048354,1.0502747,1.2917036,1.0658256,1.2371892,1.0486803,0.6468992,0.8049357,0.9385756,0.95285356,0.94405985,1.325289,1.3174618,1.1960279,0.9893686,0.85896444,0.9337728,1.1427969,1.0147297,1.0374928,1.1698608,0.98760337,1.1094153,1.0956347,1.0583007,0.8041374,0.9840935,0.9203252,1.0861429,0.8237288,1.0490818,0.9736175,1.1159735,1.1148403,1.1633347,0.8847706,1.2170181,1.0027531,1.0984395,0.97808534,1.0086317,1.2561755,1.0242306,1.2725391,0.83551747,0.70646244,0.89680374,1.1625953,1.2033119,1.1816019,1.2468939,1.09719,0.8456565,0.97998106,1.0903481,1.2353706,0.9647181
doll,0.82442874,0.85441405,0.9367083,1.0762253,0.7242144,0.9971417,0.92722446,0.917375,1.2915506,1.1725413,0.9145723,1.244552,0.87656075,0.8618806,1.2046924,1.2427852,0.7882861,0.9420849,1.1937053,0.9312048,0.8524416,1.0873845,1.149642,0.8355566,1.1399769,0.901881,0.92980725,0.81768954,0.94176733,1.1435332,0.93888617,1.1997346,1.1399261,1.0936774,1.2395326,1.0416913,1.0665635,1.105731,0.946727,0.9246213,0.99213,1.1859249,0.5754657,0.0,1.247619,1.0006703,1.1367847,1.0010451,0.8549607,0.99708384,0.82267725,0.90998447,0.8649574,0.9169077,0.8982667,0.90539604,1.0535326,0.57851744,1.3019962,0.84472156,0.7518004,0.7869131,0.90321386,0.70915544,0.9431018,0.70633876,1.1583408,1.0514426,1.080763,1.0773381,1.0946872,1.2215562,1.036733,0.93232,1.2497262,1.0825481,0.75156754,1.1912313,0.9301527,1.1019505,0.9541165,0.93693936,1.0378883,0.92108333,0.9385434,0.90355,1.1533499,0.8941736,1.0804113,1.164105,1.0782691,0.96484137,1.0545598,1.0451416,0.919636,1.0155905,0.9162267,0.9559088,1.1847996,1.0637401,0.74681866,0.79873955,0.9374863,1.1305952,0.9119715,1.0590242,1.0500878,1.2362549,0.8164492,0.94938606,1.1261998,1.0597265,0.99885297,0.99260014,1.0990423,1.3888865,1.1314921,0.9120475,0.87878424,0.7315372,1.0085826,1.2824903,1.0201519,1.1261612,0.9014819,0.98544335,1.0627189,1.1743029,1.1438508,0.8276255,0.9971752,1.0866734,1.1414187,0.28727615,1.081883,1.083196,0.8928726,1.2708635
door,1.0754182,1.1753132,1.3430066,0.8298577,1.2906363,1.1933709,1.3519369,0.87559736,0.533207,0.6904204,1.0503787,0.52515745,0.9311274,1.0585532,0.7894951,0.89351165,1.0010549,1.1532326,1.1246926,0.8016721,1.3959563,0.5145339,0.92407393,1.1554409,0.7159057,0.96204615,1.2635784,0.7170543,0.51310766,1.1032363,1.1846261,0.4291923,0.7720375,0.69313943,0.84292203,1.2725878,0.72989154,1.1467013,1.2885551,0.61856437,1.1640402,1.1435388,1.0446373,1.247619,0.0,0.72006166,0.6941591,1.2461952,1.4584575,0.7562864,1.1350917,0.9946496,1.2303582,1.1452448,1.1851869,1.2004743,1.201021,1.2857707,0.9212732,1.1717328,1.2510991,1.3724166,0.91639274,1.4062636,0.9877932,1.2903328,0.80328053,0.740509,1.0226772,0.7434548,1.1197574,0.57536066,1.0338814,1.1721764,1.1104795,1.069319,0.9598999,0.8473893,0.75742865,1.1470428,1.3241433,1.3173535,1.1090008,1.1006418,1.2244349,1.3970938,0.42541564,0.9343375,0.7469885,0.63172454,0.8596486,1.2877704,1.1749219,1.2079256,1.3784047,0.9060786,1.2736751,0.6991073,1.2041156,1.1034389,1.4351612,1.1971022,0.9239431,0.7787704,1.219904,0.5064629,1.1110129,0.97267395,0.91505945,1.1423992,0.69489145,1.0303279,0.73429286,0.98996365,0.5590477,0.6895661,0.7287414,1.228043,0.9262694,1.3193734,0.8976923,0.9692257,1.2014407,0.88758963,1.3007898,0.70380807,0.8246454,0.8469116,1.2474176,1.2910423,1.2583764,1.052782,0.87996936,1.2827486,0.9775239,0.54703945,1.2604629,0.40587914
drawer,1.0341909,1.0219508,0.969198,1.2972789,0.9769645,0.9749898,0.7794217,0.6044725,0.89124405,1.2098143,0.5604937,0.962352,1.3053682,1.2368468,1.155466,0.7615268,0.9648829,0.82060474,0.9515956,0.90838957,1.0251404,0.76941407,0.9605149,0.7534734,0.6157429,0.68939525,0.7361391,1.1426809,0.55632395,1.3267641,0.8857246,0.9989422,1.1476725,1.0017695,1.0565965,1.2166804,1.2194,1.2754266,0.68559784,0.9088609,0.7987097,1.0470741,1.2490245,1.0006703,0.72006166,0.0,1.2267877,0.96547335,0.924194,1.0846864,0.88901126,1.2006106,0.9223074,0.8585826,0.9492304,0.947498,0.7405904,1.0385765,1.2910886,0.88459563,0.92051125,0.9492893,1.1957116,1.0596886,1.1311072,0.9032479,1.0362102,1.0690007,0.9573532,1.178333,0.542616,1.009826,0.7260922,1.2728904,1.2942321,1.2127763,1.1798439,0.8235276,1.0100607,1.0810177,1.2034961,0.94134206,0.8693784,0.8108964,0.8530624,0.9339688,0.5175695,1.2980611,1.2793932,1.0678132,1.1384397,1.1749476,0.6309074,0.64081156,0.9637558,0.74546695,1.1776204,0.91640985,0.95391846,0.9342434,1.0322864,0.9067553,0.7551937,0.5657924,1.0560714,0.72685105,1.2876022,1.2639447,0.993479,0.8889671,1.3026206,0.8934361,1.0305272,0.81868696,0.8907069,0.7350304,1.1798698,0.68003035,1.1261771,0.94239354,0.99808747,1.3031783,0.7143045,1.1178913,0.883476,1.0882664,1.3079084,1.2505972,0.9524637,0.923834,1.0082321,0.79476285,0.80727077,0.98784983,1.1353327,0.69289833,0.80148935,1.0687909
dress,1.1262037,1.01154,1.3417032,0.49077874,1.2522671,1.3527727,1.4472065,1.2244896,0.6179412,0.44011837,1.266823,0.5096426,0.58418155,0.95534885,0.5931312,1.1521091,0.9607742,1.3459065,1.2213922,0.87288266,1.3732793,0.9773661,1.0373288,1.3429661,1.1044551,1.1799006,1.380527,0.78154576,0.85461295,0.990067,1.2483304,0.6483767,0.60706455,0.7426064,0.92069787,1.2153819,0.44845802,1.0146326,1.4646924,0.72653055,1.3457304,1.0830863,0.9232829,1.1367847,0.6941591,1.2267877,0.0,1.1963317,1.4858122,0.833734,1.2084814,0.76611304,1.1312613,1.2781914,1.3137174,1.1153044,1.4198301,1.2623278,0.89474493,1.2286998,1.2763598,1.3027782,0.6891449,1.3632812,0.8129939,1.3178883,0.9438517,0.4632383,1.042278,0.32256877,1.4148848,0.7695322,1.4172544,0.99813634,0.9987156,0.98606086,0.69005215,1.0856026,0.7439455,1.0706587,1.2804426,1.325978,1.2504084,1.1682279,1.3305159,1.4725335,0.82963324,0.79571575,0.17817926,0.3713724,0.8041879,1.2410016,1.4120791,1.4448845,1.3872052,0.9538522,1.156684,1.0424482,1.2945628,1.1935773,1.3898377,1.1875552,0.96057856,0.969748,1.1328112,1.0050004,0.9709891,0.8619137,0.61640817,1.2434642,0.27934766,1.0125093,0.49843943,1.2711003,0.8164085,0.9766886,0.67896336,1.3599248,0.87384933,1.3551685,0.8622205,0.826347,1.4383891,0.8791941,1.3469359,0.64850485,0.33085263,0.63179594,1.244676,1.1872473,1.1763031,1.2150415,0.9884334,1.2133976,0.8610668,0.9485725,1.3498033,0.7665163
ear,1.1936395,0.88069814,0.86698776,1.1268581,1.0192959,0.9636647,0.94334817,1.2852588,1.3271949,1.2777022,0.77571285,1.2811041,1.1898301,1.123107,1.3186734,1.0007268,1.0616097,0.80101395,1.2201856,1.2738838,1.0072182,1.2756188,1.2960924,0.9886479,1.1700833,1.0216689,0.7043635,1.2194341,1.075145,1.2399023,0.9904462,1.2508907,1.0197729,1.3481098,1.0713723,1.0786085,1.1880953,1.226677,0.64140654,1.2730709,0.9954311,1.1325362,1.2145998,1.0010451,1.2461952,0.96547335,1.1963317,0.0,0.6911347,1.0049641,0.68354046,0.96952516,0.47390175,1.0317825,0.9034435,0.61093724,0.96956575,1.0706844,1.2161525,0.37160808,0.85890317,0.5742717,0.8819039,0.91432637,0.8110857,0.55128187,1.1514813,1.137582,1.1932424,1.1237307,0.8936336,1.2297978,0.89139426,1.2309028,1.2488441,1.1836632,1.0549643,1.0081252,1.2716167,0.5069436,1.1270375,0.48276109,1.1033967,0.35697854,0.79355717,0.8162167,1.203339,1.1551181,1.1834381,1.0988045,1.1928735,1.1603085,0.6904139,0.6846372,0.78272176,1.0866799,1.025053,1.1465873,1.2304866,1.0398492,0.8101326,0.44216925,1.257122,1.0799432,0.5354839,1.1212592,1.1044629,1.1436782,1.0572878,0.9360304,1.1170266,1.0861835,1.0529568,1.1725824,1.1719469,1.2410762,1.2369841,0.7146849,1.0613075,0.77124166,1.0707334,1.2406241,1.0041988,1.098396,0.68212545,1.2328846,1.1131449,1.3012179,1.1032501,0.39876628,0.48670244,0.77196294,1.1296711,1.0346603,1.3332007,1.1804491,0.46131516,1.1986101
egg,1.017371,0.87382054,0.47878796,1.4339164,0.64236045,0.6919566,0.38924617,1.080717,1.49449,1.566374,0.51882255,1.55789,1.4529696,1.1412632,1.5177114,1.0309292,1.2389128,0.45707667,0.9253454,1.471148,0.56267965,1.2822902,1.1786443,0.6609611,1.1171296,0.8373461,0.3178228,1.2436938,1.1239887,1.1283938,0.76987034,1.4756823,1.222369,1.3924832,1.2639635,0.8311702,1.5044159,1.1229447,0.37016046,1.5001678,0.71771944,1.149069,1.2449515,0.8549607,1.4584575,0.924194,1.4858122,0.6911347,0.0,1.0329634,0.7804948,1.1902797,0.65912664,0.6209335,0.5211574,0.7207495,0.7293463,0.8398289,1.2741468,0.5946242,0.7081955,0.57102597,1.2130412,0.46547955,1.2215939,0.43781573,1.3490179,1.3780199,1.1114004,1.430556,0.6777035,1.4260137,0.51134825,1.0927918,1.0105312,1.2024846,1.246064,1.1345991,1.4241228,0.9298663,0.7771177,0.29526138,0.9217491,0.6191734,0.62863445,0.101628065,1.3203797,1.2020272,1.534564,1.3948184,1.4622341,0.70633924,0.4436049,0.475792,0.27069902,1.075683,0.83258766,1.074774,0.8883675,0.8471645,0.3181957,0.520646,1.2796524,1.20446,0.6118492,1.1708633,1.125639,1.249437,1.3040069,0.947751,1.4351895,1.2404182,1.3025072,0.91936237,1.2348559,1.2200863,1.4430215,0.54398173,1.0257381,0.40752006,1.2814008,1.2763736,0.65375733,1.2602289,0.3816725,1.5055565,1.4570911,1.4678266,0.9652917,0.56483996,0.7019043,0.8968251,1.0863183,0.89610153,1.384012,1.2783854,0.34093177,1.3621677
elephant,1.01172,1.0155879,1.147907,0.93237245,1.1976036,1.1956122,1.1965661,1.149966,0.85918057,0.93969107,0.9612183,0.7684522,0.89038926,1.0312148,1.0181831,0.88131267,1.1289421,1.1233528,1.1813211,1.1476599,1.13218,0.9524312,1.0774939,1.0085169,1.17893,1.1114562,0.9630517,0.7991725,0.82754374,0.9963391,1.2074392,0.8833117,0.89903945,1.0061951,1.0347122,1.1185727,0.8967817,1.0411009,1.0963855,1.0152428,1.2412149,1.1862075,0.9398453,0.99708384,0.7562864,1.0846864,0.833734,1.0049641,1.0329634,0.0,0.9876083,1.0348713,0.81828666,0.9042872,1.1460636,0.95964324,1.2184342,1.1389654,1.0533918,0.99338293,1.0331575,0.9576017,0.93473244,1.1457987,0.88209873,1.121978,0.9539092,0.72623,1.1077385,0.7003286,1.2192374,1.0123276,1.1786878,1.0453931,1.0255525,1.1308771,0.8501848,1.123374,0.90909284,1.009946,1.1393936,1.0033371,1.1356238,0.88270783,1.1473627,1.0814801,0.87380815,0.9571356,0.83015794,0.67471135,1.0381141,1.0790085,1.0602826,1.1062953,0.90291566,0.9712614,1.0081235,0.97734416,1.2368721,1.0225523,1.0825405,0.9197279,1.119612,1.1183585,0.8138862,0.93887293,0.9847801,0.97474307,0.8351623,1.177307,0.7544307,1.1037803,0.74224216,1.1923784,0.9582985,0.9716537,0.91045207,1.0156044,0.9770158,1.1999384,0.9526953,0.8804836,1.1987337,0.9630986,1.0419655,0.945984,0.9595923,1.0590354,1.2902751,0.94042647,0.9537085,0.943104,0.9536426,1.2589146,1.1284722,0.9706161,0.9925501,0.88239366
eye,1.0270156,0.854895,0.85958403,1.2677585,0.8614965,0.86850584,0.98152316,1.1469554,1.2660798,1.2318525,0.82159275,1.2411789,1.228283,1.0025954,1.2222507,0.9867627,1.0822685,0.9154957,1.1806151,1.2145116,0.9393258,1.1847653,1.2293419,0.8873588,1.1825101,0.9491582,0.7932224,1.0213269,1.1099733,1.2523463,0.79271996,1.2101294,1.0958239,1.1724342,1.081028,1.0947585,1.2177513,1.1875689,0.7793922,1.2776654,0.9564149,1.0560683,0.95880926,0.82267725,1.1350917,0.88901126,1.2084814,0.68354046,0.7804948,0.9876083,0.0,1.0161313,0.69778526,0.8630755,0.91012895,0.80667555,0.9369863,0.8684729,1.1119841,0.5172629,0.83795476,0.6516127,1.0109595,0.90584856,1.0042739,0.70207703,1.1889702,1.1573975,1.1506939,1.10054,0.87305933,1.198084,0.85861385,1.1350524,1.2535979,1.1810702,1.1012534,1.0570381,1.1226571,0.736872,1.0343025,0.66028416,1.0717677,0.77044034,0.58630985,0.8542677,1.1275922,1.1225358,1.2138661,1.1829513,1.210186,1.0501642,0.78149176,0.84963226,0.8365918,1.0428306,0.99424654,1.0075547,1.1475687,0.96225977,0.79076123,0.6188837,1.1580478,1.1104449,0.7360925,1.1196667,1.1352001,1.188435,1.1767676,0.93379235,1.2228286,1.0341314,1.1113685,1.135361,1.1321054,1.1435953,1.2293645,0.68762505,0.9905821,0.8421053,1.1288152,1.1218288,0.9026472,1.1616775,0.73873794,1.1759417,1.1639774,1.2829819,0.9678313,0.6598534,0.72907186,0.9061165,1.1148752,0.9355243,1.2631698,1.1442702,0.62365806,1.1086748
