,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
cracker,1.0002935,0.8212483,0.9566767,0.91496146,1.0483109,1.0281738,0.89296216,0.9178224,1.2809812,1.2632447,0.95836604,1.2102734,0.99214166,0.7381462,1.153723,1.2250183,1.2069472,0.8390476,0.8436663,1.2533154,0.10486263,0.9486253,1.0426006,1.1758994,1.0425204,0.96956587,1.0167508,1.0607439,1.2676234,0.8911218,1.1723514,1.0799897,0.9799401,1.0613861,1.0029815,0.2542913,0.93995464,1.2453603,0.0,0.9715776,1.2958536,0.87764543,0.9500789,0.9979961,1.0541512,1.2009639,1.221545,0.8664385,0.66616994,0.9247985,1.021044,1.1565098,1.1150433,1.152528,0.8891289,0.9943199,0.80505174,0.92826337,1.0647906,1.0183806,1.0768013,1.0592498,0.9310093,1.0841955,0.889719,1.1303722,0.97317684,1.0292343,0.9456412,1.008233,1.0009164,1.194164,1.1606375,0.8398303,1.0614667,1.2301121,1.1210084,0.97181463,1.0809282,1.0757952,0.8991324,0.911911,1.073116,0.9835984,0.8654383,0.99964905,0.5412626,0.95615894,1.0892068,1.2608452,0.96301746,1.0219426,1.0133475,1.1966996,1.0598199,1.0632977,0.8692221,0.8318595,1.014237,0.23925126,0.89131564,1.1705716,1.0066972,0.82138044,1.0123653,0.996345,1.0470214,1.2133358,1.0152321,0.70867425,0.8315999,0.7918587,1.2553596,1.1004826,0.98673433,1.0520856,0.91466117,1.1029257,1.2965722,1.2043383,0.8852737,0.97593373,0.8744153,1.0690993,1.2064298,0.8893578,0.9902379,1.0026733,1.0947789,1.1588199,1.2853895,1.109418,0.8185432,0.9039683,1.0790375,1.0051355,1.1638851,1.1591685,1.1211022,0.9371699,0.9297366,1.0735583,0.8646654,1.2597086
crayon,0.72585917,0.9531662,0.54389894,1.3653839,0.7517438,0.77328026,0.45508897,0.93903375,1.4510492,1.5062661,0.20949161,1.179102,1.5112801,0.6410449,1.4950364,1.2875228,1.2128786,0.30327392,0.6283245,1.3423669,1.0185825,0.50033146,0.8150244,1.1970843,0.5368273,0.69033754,0.49376273,1.4236248,1.1745725,0.5497534,1.390238,0.5409852,1.3340006,0.46768236,1.0364969,0.9017693,0.7362694,1.4388841,0.9715776,0.0,1.4100854,0.35240793,1.072985,1.295387,1.3203918,1.3092127,1.1684508,1.4320562,0.72639877,0.8900388,0.7550567,1.2686689,0.87507725,1.2287321,0.71017724,0.31299794,0.61409163,1.1717885,0.49639165,0.5882876,1.1955897,0.76677907,0.8563726,1.2624222,1.0151119,1.2748566,0.6594664,1.31301,0.5731233,0.9574832,0.8997923,1.1989921,1.437789,0.90079284,1.4256598,0.8687295,1.1095296,0.41903383,1.1818259,1.4588654,0.53534937,1.012408,0.97660863,1.2016003,0.23640883,0.9283452,0.7831603,0.5266584,0.7203712,1.2928038,1.3094106,1.4524455,1.3632122,1.3555906,0.34658766,0.34128702,0.9918068,0.84702736,0.90830636,0.9872385,0.7610464,0.58536756,0.9066033,0.921041,1.1198481,0.8775261,1.0489869,1.3049107,1.3802286,0.6838597,1.2234967,1.2769849,0.91155034,1.4223108,1.2244627,1.2900231,0.36680478,1.3505025,0.80467254,1.2267736,0.77031857,1.2202356,0.46005726,1.1865776,0.68325084,0.93666327,0.66161656,1.2163125,1.3797872,1.3494614,1.453217,0.8295121,0.6413539,0.4132812,1.1406753,1.034367,1.0582826,1.163967,1.2799788,1.0632629,1.0522256,0.93867576,0.3117993,1.3693562
crib,1.1941284,1.2937329,1.4466805,0.81301916,1.338017,1.2995133,1.3447856,0.71851784,0.49660814,0.40690935,1.3599927,0.6618332,0.78712225,1.3180605,0.6103653,0.7666025,0.5959568,1.269452,1.2246085,0.40407765,1.2480214,1.0800537,0.8583953,0.8761554,0.99517846,1.1662879,1.2352316,0.80393916,0.5264525,1.2406365,0.28928077,1.1701908,0.9259995,1.3220799,0.94348127,1.3014861,1.1624198,0.5335345,1.2958536,1.4100854,0.0,1.2896256,0.91844857,0.92985165,0.742764,0.57966673,0.5975451,0.8525038,1.2733918,1.26772,1.335037,0.89245814,1.1503067,1.0199695,1.3790166,1.4051279,1.2275972,1.0877556,1.1907816,1.2793329,0.94567615,1.2438662,1.2435495,0.8295351,1.1007296,0.9847598,1.2927506,0.9667677,1.3113536,1.0229505,1.1370614,0.56713784,0.79331344,0.90030533,0.82933307,0.99439925,0.4873674,1.2682418,1.0415277,0.90786135,1.1569625,0.96370465,1.1615264,1.0433798,1.433825,0.99962777,1.3588294,1.3456771,1.3043263,0.6068362,0.9253779,0.8149018,0.92465806,0.58890635,1.2369043,1.2503932,1.1076028,1.3599126,1.0119396,1.1913366,1.1455529,1.161478,1.1647637,1.3579305,0.89162016,1.0274972,1.1350136,0.5504573,0.9823077,1.3175442,0.9896881,0.9870326,1.028128,0.8407924,1.0547079,0.92158127,1.3541133,0.59707785,0.91851187,0.7115265,1.3474619,0.8808038,1.411831,1.0564468,1.1466292,1.2121041,1.3432128,0.7445592,0.84729135,0.7581215,0.44937038,1.1341627,1.4691888,1.3793056,0.7142752,0.9036457,0.55036265,0.62254584,0.81097996,0.84972906,0.97221285,0.6785415,1.4492662,0.6291864
cup,1.0162008,0.9215731,0.6479723,1.4235008,0.70032537,0.6199823,0.6743032,0.6500622,1.4114885,1.5076156,0.43573177,1.1945536,1.4990828,0.5247154,1.5192451,1.3852189,1.1350695,0.087754846,0.22386229,1.2072499,0.9509568,0.6995475,0.49357367,1.2449338,0.38928533,0.60028934,0.8867802,1.4103398,1.125442,0.4364345,1.2672246,0.67453665,1.3285642,0.6856133,1.2028718,0.7904091,0.93835324,1.4589916,0.87764543,0.35240793,1.2896256,0.0,0.9569601,1.2566547,1.2273198,1.2484946,1.122029,1.4005246,0.5562712,1.1727933,0.73949033,1.2663317,1.1031207,1.2596176,0.96812946,0.5727909,0.5057738,1.1009364,0.6391637,0.8751859,1.077419,0.98984075,0.8722597,1.2074403,0.9975294,1.311661,0.8474233,1.3481878,0.4578501,0.9228313,0.9564449,1.2131361,1.4286623,0.556321,1.4391427,1.0400399,1.0949284,0.3815757,1.2302871,1.4441764,0.66915435,0.7774367,1.1597393,1.2360843,0.33008277,0.95107555,0.8868062,0.5603537,0.8344592,1.1387601,1.2098337,1.4885659,1.4343275,1.2756523,0.5949385,0.6486357,0.8312953,0.9445591,0.9562888,0.8628366,0.68909204,0.56168723,0.9697759,0.85869426,1.0368111,0.61654806,0.9888317,1.118223,1.2992456,0.533901,1.1140772,1.3454429,1.1672645,1.4804728,1.132407,1.2841657,0.6334852,1.2797854,0.80397475,1.3068516,0.7392389,1.198988,0.53589404,1.2121985,0.90287155,0.88365567,0.7488571,1.0727243,1.4226692,1.3442307,1.3700848,0.7385222,0.8082356,0.6314089,1.1109356,1.0614504,0.97583747,1.1855536,1.2055013,0.79714555,0.8160171,0.8606966,0.44322222,1.2597644
dish,1.0687658,1.0321921,0.9211171,1.0480287,1.0826062,1.0613123,0.9936003,0.7526457,0.9629364,1.1043371,1.1210504,1.0954422,1.112774,0.9487944,1.1190813,1.1376678,0.88229215,1.0632448,0.66558987,0.8647923,0.94945365,1.013563,0.8261938,0.97633266,0.9717618,1.0247853,1.0159776,1.0197468,1.0315895,0.9933345,0.94357795,1.0234203,1.1456088,1.0952337,1.041631,0.89476913,0.89601886,1.0794952,0.9500789,1.072985,0.91844857,0.9569601,0.0,1.0138286,0.8779621,1.0336076,0.8040756,1.1145632,0.92009807,1.0979433,0.94278014,1.0151421,1.1432253,1.1488817,1.0969818,1.0425842,0.87344706,1.0792774,0.847042,0.9959804,0.9547367,1.1184812,1.1776042,0.9671162,0.90950865,1.1546891,1.0935576,0.9973908,1.1727657,0.9996471,0.99177223,0.95586914,1.2033696,0.934542,1.1708589,0.94530535,0.96625,0.9794419,0.98975426,1.1375071,1.061003,1.0587934,1.0897901,0.992803,1.1439039,1.010961,0.947278,1.1037455,0.90008944,1.015101,1.0048014,1.1793532,1.173104,0.867126,0.91790324,0.9115629,1.0597365,0.97598886,1.003594,0.90456593,0.85739565,0.7426419,0.97128874,1.058203,1.0270675,0.94800556,0.8733355,0.9654037,1.0870724,0.9575629,1.0144296,1.0369339,0.9969153,1.137996,1.0191977,1.0667874,1.0333277,0.9530212,0.96478516,1.0805721,1.0624175,1.0701556,1.1388423,1.0755136,0.9156357,1.1311375,0.9237194,1.0703946,1.0950269,1.0387254,0.9588008,0.9268377,1.1228347,1.194325,1.0636601,1.0242983,0.9581373,0.70538485,0.9781285,1.0028698,0.94738644,0.87282443,1.1905237,1.0057292
dog,0.78794324,1.2049899,1.1883038,0.9366385,1.0429492,1.1141059,1.0219874,1.1455065,0.8289396,0.8007805,1.2600898,1.1233935,0.78611356,1.0311551,0.9110007,1.054479,0.91860116,1.2081907,1.2290541,0.7944509,0.9906608,1.2574979,1.2616673,0.80054134,1.3409852,1.1458641,1.086562,0.36834973,1.1681048,1.1756148,1.001148,1.1467845,1.0142314,1.2096392,1.0192275,0.9892467,1.0448384,0.75818455,0.9979961,1.295387,0.92985165,1.2566547,1.0138286,0.0,0.5890652,0.99461174,1.1324579,0.9276017,1.0889237,1.0374272,1.0192169,0.6739604,1.086294,0.8953301,1.2141435,1.1591058,1.0879651,1.0708762,1.2850611,0.90326023,0.9887338,1.0876263,1.1579391,0.94321537,1.0276449,0.8312272,1.0625005,0.979203,1.1329646,0.9958737,0.7275971,0.95631963,0.8870559,1.0896388,0.92645687,1.2290105,1.1270902,1.305697,0.92063534,0.8575285,1.2275364,1.0053452,1.1151087,0.5466734,1.213368,1.2190393,1.1905122,1.1513922,1.0900171,1.0075878,0.31896514,0.9169141,0.97636956,0.8541956,1.325319,1.3413519,1.0204619,1.0056493,1.119814,1.0841504,1.0842422,1.2602625,0.7008849,1.0690386,1.0823286,1.1608446,1.059075,1.0704069,0.9412327,1.0145501,0.9453143,1.0147386,1.0796831,0.9044687,1.068129,0.97072774,1.1277232,0.8875761,1.2305152,0.9828834,1.264235,0.74418443,1.0834768,1.0706025,1.2875705,1.0005955,1.1512141,0.9519737,0.8092622,0.8970355,0.7844466,1.1295182,1.1844714,1.1180329,0.8392681,1.2071494,0.8990364,0.95559347,0.95297366,1.0428543,1.0570273,1.1613892,1.2249345,0.88859135
doll,0.9942045,1.0067761,1.0977881,0.9922645,1.0255603,1.0998402,1.0897547,0.8835346,0.96637017,0.9375259,1.3140807,1.2115369,0.8086925,1.0892662,0.99615854,1.1688441,0.63746953,1.2481291,1.1168561,0.6196901,0.93790984,1.2844303,1.0684912,0.92452526,1.2610965,1.08324,1.0862914,0.8543015,1.1542115,1.0650192,1.0044383,1.16728,1.0461187,1.2350436,1.0541404,0.8563416,1.0619761,0.82897526,1.0541512,1.3203918,0.742764,1.2273198,0.8779621,0.5890652,0.0,1.1471839,1.096667,0.92962563,1.0898342,1.0251029,1.0179732,0.7515303,1.1048319,0.93007123,1.052585,1.2202607,1.086395,0.95143294,1.1731024,0.8861715,0.8854305,1.0025833,1.0227256,1.0274086,0.834661,0.8748852,1.0476505,0.8315786,0.94125545,0.8848834,0.89860755,0.8944605,1.0521727,0.9291925,0.9943294,1.1676421,1.1027027,1.2826669,1.0887649,0.8791363,1.2888775,0.95219666,1.0941038,0.841359,1.2565914,1.1516753,1.1161958,1.2221363,1.0156131,1.101283,0.7779684,0.9185111,1.1252843,0.71251076,1.2710142,1.2368646,0.98435223,0.98923796,1.0517222,0.9869912,1.1034933,1.1173704,0.8969244,0.9578463,1.0008229,1.0330853,0.9526931,1.136829,1.0611464,1.0258774,1.0214292,0.969737,1.1042374,1.0300795,0.95684344,0.93650097,1.1478064,0.85111934,1.2639265,1.0107247,1.1362896,1.0024731,1.1612687,1.0469359,1.2015344,1.1190782,1.0695841,0.7134215,0.9388441,0.8779813,0.8130377,0.9864591,1.052471,1.2658839,0.8856162,1.1713274,0.64395106,0.8573442,1.0389991,0.94436896,0.9393189,1.1355883,1.2326542,1.0027298
door,1.176287,1.3195815,1.4289876,0.8394662,1.387764,1.2606573,1.3080614,1.1103048,0.52728456,0.49831927,1.1442142,0.67386,0.8898034,1.3340743,0.65804595,0.7546493,0.98430145,1.2203957,1.2558986,0.8473693,1.1803395,0.9158295,0.8934621,0.69786435,0.818764,1.2356194,1.2337971,0.7040565,0.37647092,1.2919766,0.3957237,1.0574555,0.794026,1.1754768,0.89898527,1.3196087,1.1279153,0.56100357,1.2009639,1.3092127,0.57966673,1.2484946,1.0336076,0.99461174,1.1471839,0.0,0.5061701,0.787431,1.3023698,1.0758435,1.3210435,0.98757386,0.9821651,0.866174,1.2157905,1.207296,1.2508159,1.1758677,1.1281433,1.3280067,1.0540283,1.0935479,1.2721092,0.8100448,1.1904788,0.8375919,1.1979445,0.93807507,1.3547621,1.1416218,1.1369898,0.82151216,0.79610634,1.055154,0.8232445,1.003524,0.4096411,1.0286174,1.0206609,0.9814732,1.0078925,1.1239436,1.0734662,0.9254259,1.3009609,0.84236014,1.1806519,1.2138453,1.2796826,0.2842108,0.9143574,0.8072262,0.6088711,0.85141945,1.1344161,1.1743715,1.1752584,1.2815309,1.0205662,1.1971073,1.0744781,1.2555774,1.178665,1.383044,1.0541753,1.0732836,1.1890693,0.16718483,0.92365074,1.3716652,1.0133538,0.9280551,1.0802197,0.7401736,1.1827232,0.9116719,1.2783751,0.755319,0.6554293,0.91932166,1.36713,0.9107832,1.2844024,0.9378318,1.0832319,1.0572436,1.3540299,1.0598233,0.75970066,0.85788274,0.6624088,1.3225068,1.3085465,1.1488934,0.8802297,0.7172389,1.1525489,0.9623399,0.80494535,1.0779175,1.0172436,0.57788384,1.309499,0.40564525
drawer,1.0728754,1.0857191,1.2231224,1.0059375,1.2340953,1.174195,1.1920063,0.73936874,0.60267305,0.8025573,1.0866655,0.7259563,1.045752,1.2328129,0.87106323,0.753122,0.87936807,1.1887715,0.97783065,0.7381191,1.2050663,0.8457225,0.6740743,0.9227804,0.6615893,1.0383021,1.1294256,0.96827936,0.5160055,1.1582044,0.56646675,1.0765159,1.0995556,1.1383293,0.7875712,1.2249477,1.0308092,0.8598279,1.221545,1.1684508,0.5975451,1.122029,0.8040756,1.1324579,1.096667,0.5061701,0.0,1.0497986,1.1817489,1.0733337,1.1648844,1.060502,1.0237995,1.0977942,1.172214,1.2081244,1.1792371,1.077818,0.8902903,1.2024813,1.0494235,1.1084858,1.1573868,0.9759407,0.9939668,1.0814867,1.1464267,0.9926646,1.274622,1.0781695,1.1242298,0.91356564,1.0749454,0.9608181,1.0560689,0.62366635,0.59206545,0.9392922,1.0437402,1.0408779,0.89546144,1.1697848,1.0880593,0.99503124,1.248671,0.7608235,1.1178685,1.1055123,1.1196593,0.41357744,1.0812484,1.0272362,0.97188705,0.9004421,0.8262194,0.84017193,1.1392528,1.2128364,0.9085069,1.1690526,1.1320189,0.9159665,1.1146699,1.2924836,0.8717483,0.7618678,1.0254382,0.39041996,1.0533662,1.2595996,1.0451318,0.9773946,0.83703166,1.0378712,1.0258088,0.9687458,1.2251886,0.7959736,0.5629559,0.980954,1.0859252,1.0278859,1.3015593,0.90453005,0.6852797,1.1190753,1.1870551,1.1427263,1.1138356,1.0247333,0.8467869,0.99461734,1.2489347,1.181238,0.9235468,0.73464465,1.0033625,0.79924506,1.0430803,1.1045382,0.94849104,0.53682226,1.2070887,0.83310133
dress,1.2409482,1.0170189,1.4247389,0.5590994,1.3092047,1.2689652,1.3263795,1.1949899,0.7710919,0.62136424,1.3059498,0.8271598,0.5419403,1.3208394,0.46248794,0.743007,1.0179477,1.2908182,1.4106545,0.9538338,0.82440853,1.2013187,1.2657254,0.8945043,1.2366273,1.2803068,1.2223384,0.76075935,0.83690464,1.347672,0.7952096,1.2122835,0.42882526,1.2396798,0.99415225,1.0179725,1.1226245,0.6955729,0.8664385,1.4320562,0.8525038,1.4005246,1.1145632,0.9276017,0.92962563,0.787431,1.0497986,0.0,1.298234,1.0284239,1.3595955,0.95486736,1.046429,0.92710185,1.1409948,1.3111589,1.3191354,0.9951869,1.3732169,1.3815157,0.8817493,1.1316688,1.0034432,0.73374426,1.1130617,0.8901112,1.1883166,0.8434289,1.2487738,1.0966909,1.2017488,0.87672746,0.5113597,1.2448992,0.43455768,1.149768,0.9420708,1.326144,0.9029869,0.6016182,1.1662421,0.9919396,0.9953147,0.94185156,1.3358351,0.8848671,0.9892739,1.2689757,1.2989872,0.93620974,0.8699643,0.40528035,0.37506795,0.900038,1.4107018,1.4039301,0.9644834,1.233422,1.0442437,0.9346077,1.1746188,1.445132,1.2200127,1.1565325,0.79309094,1.3292081,1.1475669,0.8561946,0.77493244,1.3097993,0.99142754,0.49841094,1.1543398,0.502924,0.97457194,0.63498425,1.3376606,0.90931976,1.1191849,0.7876428,1.1949822,0.8432395,1.2570585,0.8696561,1.3201362,1.0705534,1.3648158,0.83223087,0.5808525,0.80335474,0.81361973,1.2504413,1.2132049,1.2574737,0.9663952,0.76211935,1.1057988,0.9814674,0.7681262,0.9764772,1.1338613,1.0903635,1.3415136,0.79564106
duck,0.7309331,0.87299514,0.8377326,1.3442057,0.8613227,0.7693186,0.77004075,0.57410836,1.4349722,1.4359795,0.73222446,1.0847063,1.4690735,0.06647885,1.428442,1.318285,1.107471,0.5790859,0.57092786,1.3109485,0.78985023,0.7483149,0.7387829,1.1868169,0.75128126,0.5622435,1.0756516,1.2225728,1.1775769,0.53068423,1.2192931,0.83693796,1.3248413,0.8058236,1.1092067,0.668174,0.9145627,1.4209695,0.66616994,0.72639877,1.2733918,0.5562712,0.92009807,1.0889237,1.0898342,1.3023698,1.1817489,1.298234,0.0,1.2136106,0.94193554,1.129314,1.2498233,1.3289227,1.1051701,0.7759224,0.48989147,0.9100347,0.6808759,0.70537555,1.2277138,1.0799387,0.8906977,1.1734768,1.2013588,1.3265921,0.9598858,1.3905092,0.6748949,0.7781793,0.7223927,1.1922512,1.3995801,0.5580981,1.4451716,1.1044192,1.0158635,0.5979303,1.1921624,1.4134018,0.7020329,0.69662595,1.2560703,1.3081257,0.7777964,1.0045605,0.8874069,0.8025209,0.98556215,1.2547914,1.0271425,1.4349492,1.433021,1.2339404,0.6831425,0.738182,0.78972673,1.1327223,0.88185674,0.67642754,0.64440846,0.8314403,0.6459688,0.79966503,1.0019048,0.6812651,1.0355251,1.2209089,1.1313299,0.12580359,1.0271965,1.2198634,1.0047166,1.4816988,0.9494816,1.2911749,0.60108054,1.2198472,1.1381468,1.2186143,0.6468479,1.1229384,0.7485408,1.0706837,0.9709433,0.6871433,0.85895985,0.93541574,1.3638685,1.1982518,1.3931822,0.909789,0.95716834,0.94676274,1.2125194,1.0801668,1.0372455,1.183212,1.1359707,0.74157476,0.7077735,0.8503598,0.7898692,1.2711672
ear,0.9755747,0.83728933,0.8391242,1.0113646,1.0188347,1.0542102,0.8760799,1.3193169,1.1603101,1.1289614,0.68917346,1.2419171,0.87982476,1.1285651,0.9990727,1.1497355,1.2604232,1.1524272,1.186063,1.223741,0.82960933,0.98194814,1.1087517,1.0013789,1.0042112,1.2032492,0.86151314,0.95098186,1.0182561,1.1221948,1.253873,0.91727704,0.9778544,0.826218,0.9908177,0.9652183,1.0430269,1.0444138,0.9247985,0.8900388,1.26772,1.1727933,1.0979433,1.0374272,1.0251029,1.0758435,1.0733337,1.0284239,1.2136106,0.0,0.8980404,0.88800514,0.536036,0.7736621,0.4816445,0.8192753,1.1685153,1.0349973,0.9945799,0.91855425,1.0073526,0.5153477,0.85391057,1.1897211,0.8916549,0.78292763,0.7106859,0.7971458,0.944789,1.227351,0.8761286,1.1975595,1.1358659,1.1673361,0.9572715,0.9503984,1.1117749,1.036323,0.9734564,0.94196546,1.0895667,1.3285248,0.60079837,0.6966376,0.8096981,0.7521435,0.54469216,0.80076134,0.83892214,1.0173591,1.0529602,0.8993338,0.79302895,1.2463086,0.94000983,0.87618625,1.2026347,0.61951756,0.8691582,1.1397347,1.1493983,1.0159554,0.9851782,0.87153184,1.1058315,1.1354342,1.0983852,1.1041193,1.0837461,1.1412994,1.1178392,0.88005924,1.0826479,0.8182935,1.0859686,0.8432773,0.8788146,1.2304037,0.9470707,1.268042,0.94950014,1.1066253,0.86593235,0.8805447,0.883415,1.0956793,0.8739767,1.2584108,0.94167644,1.183911,1.2722827,1.1508592,0.48383254,0.6533901,1.2223521,0.77450085,1.2924021,1.1360031,1.2224927,1.3073547,1.2863872,1.2350994,0.72793067,1.2057087
egg,1.0066988,0.81946516,0.42568922,1.2838534,0.33847725,0.23851657,0.67079985,0.99286103,1.2681046,1.3640621,0.9062079,1.3460206,1.2189775,0.9062222,1.3484898,1.3164485,1.1833589,0.85479355,0.68065155,1.1409307,1.0154036,0.9556085,0.9036732,1.0407146,0.9888297,0.9633488,0.77739376,1.170579,1.2855556,0.7567061,1.4050395,0.89454454,1.2697963,0.7893393,1.0970994,0.84925824,0.8526812,1.2909596,1.021044,0.7550567,1.335037,0.73949033,0.94278014,1.0192169,1.0179732,1.3210435,1.1648844,1.3595955,0.94193554,0.8980404,0.0,1.1153101,1.0151603,1.0990483,0.8241982,0.74735796,0.897867,1.1043141,0.8606769,0.7749355,1.0754279,1.0178947,1.0063326,1.239183,0.71680886,1.1699623,0.71630657,1.1053525,0.8663818,1.0524063,0.941934,1.224225,1.3264138,0.9159717,1.3052413,1.0223067,1.2887433,0.6624327,0.96822536,1.133483,0.95711374,1.1074742,1.0120472,0.82180995,0.6708836,0.9933676,0.96099627,0.7991682,0.35794246,1.2776544,0.97659737,1.3221405,1.3254422,1.2050185,0.8523741,0.8084121,0.88555396,0.4559015,1.0191053,1.0194756,1.0271324,0.6298282,0.9208946,0.5006609,1.2529893,0.9502279,0.6673552,1.3014674,1.1836784,0.8473958,1.1410863,1.2567933,1.0349958,1.302924,1.0895255,1.1863658,0.8185358,1.152287,0.9892325,1.2617182,0.9029745,1.0662862,0.65807223,1.0694845,0.87937516,0.92245305,0.58360255,1.1986289,1.2674446,1.2119226,1.258548,0.55986345,0.6921311,0.8406371,1.1089174,1.1162436,0.9658976,1.0359968,1.250579,1.0911983,1.0095664,1.1728362,0.8215206,1.2425787
elephant,0.9417489,1.1465534,1.1282957,0.9193326,1.1031059,1.1582144,1.150725,1.1581748,0.87533605,0.85864174,1.2389696,0.94617665,0.82581216,1.0984848,0.88840604,0.914471,0.8076446,1.2385867,1.244936,0.781657,1.1102747,1.211051,1.1529067,0.89977753,1.2390368,1.102381,1.1782418,0.7243675,1.0595278,1.1901135,1.0298557,1.1602545,0.96247494,1.1550906,1.009698,1.2187594,1.1267787,0.83327466,1.1565098,1.2686689,0.89245814,1.2663317,1.0151421,0.6739604,0.7515303,0.98757386,1.060502,0.95486736,1.129314,0.88800514,1.1153101,0.0,0.991233,0.90690637,1.1380978,1.1209416,1.1266471,1.0586628,1.1906996,0.9750136,0.9004097,1.0671923,1.1261969,0.86681664,1.0185337,0.9132081,1.1353344,0.8974302,1.1733336,0.9981692,0.6890006,0.9090354,0.9057971,1.0989791,0.89380246,1.1131016,1.0630503,1.2984384,0.779719,0.8887004,1.227767,1.0333458,0.9570621,0.9311664,1.2457752,1.1288341,1.1449169,1.1381416,1.1139683,0.98299605,0.81162244,0.914388,0.89663815,0.7744962,1.200917,1.2222723,1.094086,1.1103039,1.0517799,1.1728108,1.0874326,1.1480889,0.7754597,1.1177115,1.000871,1.107074,1.0491393,1.0143162,0.8429476,1.0760223,0.9015629,0.97792065,1.0209354,0.87171286,1.0505184,0.8381753,1.0399945,0.8797406,1.1103009,0.8943751,1.2107937,0.92535275,1.1942267,0.9978277,1.1443537,1.0730786,1.0965648,0.9133837,0.9009812,0.85513,0.8122327,1.1415418,1.1776476,1.1496971,0.9143488,1.1048915,0.9630427,0.8980141,0.8917174,1.0343926,1.02405,1.1587089,1.2541707,0.90952855
eye,1.0835338,0.9615527,0.9477769,0.92296433,1.0022643,1.0944657,0.9725535,1.2960738,1.0611445,1.0135924,0.7359291,1.1146915,0.8970139,1.2145425,0.9986883,1.0429195,1.178876,1.0990338,1.145478,1.1308796,1.0199562,1.0838138,1.1942023,1.0010146,1.068116,1.1569035,0.9624584,0.9642457,1.0800543,1.1177304,1.132936,0.9551038,0.9785945,0.895743,0.9941457,1.1734709,1.120018,0.96469676,1.1150433,0.87507725,1.1503067,1.1031207,1.1432253,1.086294,1.1048319,0.9821651,1.0237995,1.046429,1.2498233,0.536036,1.0151603,0.991233,0.0,0.6250558,0.5293728,0.88941073,1.1647598,1.0291461,1.021595,1.0752802,1.0229505,0.35069418,0.93800616,1.1363951,0.8572185,0.6491052,0.8612916,0.77410966,0.9225763,1.1943728,1.0724531,1.1240009,1.025151,1.2295234,0.9476065,1.0076901,1.0858104,1.0839417,1.0220598,0.9824844,1.0868021,1.2571253,0.47481662,0.8506675,0.76897085,1.0331919,0.76490617,0.556084,0.9722545,0.9879352,1.0937845,0.8923303,0.8686095,1.1431706,0.9708331,0.9281426,1.1145867,0.8124577,1.048419,1.1948291,1.1379199,0.98570883,1.1402364,1.0521392,1.0918937,1.1226944,1.0463372,1.0941085,1.0717976,1.2434299,1.0158956,0.99458194,1.1364573,0.7926813,1.0503894,0.8517649,1.0528929,1.0394598,0.9617402,1.2066076,0.98277175,0.98551595,0.9071245,0.9355828,0.9758339,1.1102719,0.95612663,1.224229,0.92230713,1.0877931,1.1085935,1.1105781,0.6031721,0.6365428,1.0965439,1.02294,1.2362252,1.1272906,1.1701885,1.2693474,1.2068074,1.2483773,0.64984655,1.0264192
