,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,raisin,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
orange,1.0637631,0.36412978,0.9425012,1.2239134,0.45972323,0.6543612,0.84649706,0.7705431,1.2537013,1.1645751,0.81693494,1.1998153,1.1930366,0.9410727,1.1976619,1.1293167,1.1339701,0.8146593,0.93953216,1.111972,0.63924634,0.9566383,0.99490976,1.0745419,1.1972169,0.77745277,1.1298821,1.2137967,0.85458595,1.1840614,1.0155747,1.1089554,1.161921,0.99680287,0.7631118,1.2305626,0.7219501,1.136797,1.0343887,1.0388417,1.2086749,1.2684072,0.56157,1.2339965,0.8170817,0.8915801,0.82971615,0.91860306,0.8677095,0.72352755,1.1769749,0.8925935,0.9811053,0.85400826,1.1338993,1.1865513,0.8533462,1.2916696,1.1542759,1.1883521,1.1179388,1.0135027,1.1934116,0.88848627,1.0803535,1.0635202,1.0577383,0.6172383,0.99623257,0.78609365,0.5713314,0.0,1.2413173,1.0339313,1.2739551,1.1274325,1.2251047,0.87130475,0.8048594,0.91550726,0.92486167,0.9410172,1.0886222,0.5902356,1.1384331,1.072741,0.61685514,1.2052004,1.1353422,1.1884499,1.1358988,1.1958032,0.9875878,1.1772408,1.172764,0.56942165,1.0541692,1.0931652,0.8247508,0.74647427,1.2276471,1.1415895,1.2622528,0.7252189,0.7011483,0.8583331,1.0715764,1.0134827,0.58916,1.1487709,1.0661906,1.1000186,0.6965032,1.1885858
oven,0.9258067,1.2748218,1.0498822,0.98841226,1.1871103,1.2703832,1.0566376,1.3323792,0.7177791,0.6861754,1.2259781,0.54989904,0.95866835,1.2035236,0.7589346,0.6427979,0.7789682,1.1913432,1.0663912,0.7226143,1.0546197,1.2044204,1.096193,1.0997565,0.25297868,1.1952536,0.8536117,1.0193077,1.1832756,1.0117177,1.1758496,1.1222739,0.6894561,1.2507471,1.2179294,0.86506885,1.1944703,0.9997739,1.0997484,1.1723661,0.86041975,0.2767414,1.3190703,0.81428146,1.1268005,1.1556666,1.095319,1.2112389,1.1488605,1.0382316,0.9213257,1.169033,1.1500646,1.2337582,0.9156556,0.707805,1.2274144,0.871572,1.0071187,0.79731333,0.80333805,1.0811348,1.0993836,1.1942811,0.92607355,1.1145756,0.97879875,1.2299553,1.2211304,1.2837396,1.1854035,1.2413173,0.0,1.0986714,0.8182294,0.9930813,0.59368676,1.0639403,1.1872442,1.1461332,1.1882263,1.0041544,1.0167638,1.1082419,1.0104371,0.7405238,1.2499677,1.0086282,0.9222357,0.7954141,1.1111176,1.1089225,1.1662624,0.932279,0.6651116,1.2904518,1.2000554,0.96348584,1.2094282,1.2128683,1.0912901,1.0617537,0.65598834,1.1705716,1.2663436,1.2903713,1.0324739,1.1868134,1.095055,0.76298124,1.0908935,1.0484257,1.2492496,0.8157177
owl,1.1195607,1.0576841,1.2026587,1.0830432,0.9875985,0.9136466,1.2648293,0.88285285,1.2269367,1.0556543,1.1199594,1.2109156,1.026262,0.7639633,0.8764653,0.97959256,0.8720959,0.9622214,0.8946656,1.0133182,1.1550264,0.9766275,0.1880824,1.0238509,1.0319179,1.3412395,1.1254426,1.0483187,0.79438895,0.9759249,1.0991465,1.2845882,1.0833604,1.2859459,1.1376461,1.0443484,1.0038322,0.7183125,0.80724335,0.9439888,1.193082,1.0975981,1.0427134,0.9491796,1.1575577,0.7623116,0.960533,1.154442,1.0227346,0.7305976,0.93043697,1.1345779,0.7994858,0.96323115,1.236078,1.1804416,0.9693076,0.9970102,1.2141612,0.9472259,1.1513679,0.9785547,1.0230772,1.0482804,1.0143093,0.9220725,1.1091084,1.0692546,0.62822306,1.1345593,0.9992327,1.0339313,1.0986714,0.0,1.0046811,1.1567048,0.96357375,1.1098027,1.0947115,1.2004073,0.9399227,0.97444946,0.84939766,1.0910127,0.6513448,1.0537184,1.09482,1.0577825,0.96330416,1.0329785,0.73107654,1.0205448,0.8769661,1.2087094,1.1066597,1.0023382,0.7969296,1.0149828,1.0221374,1.0977261,1.1049292,1.0703466,1.1191914,1.0540338,1.1716127,1.1737876,1.0884594,0.55126274,0.81410927,0.95930207,0.97425056,1.0329162,1.1464963,1.0229437
pajamas,0.6791184,1.2152755,0.78461105,0.69760513,1.1600962,1.1777614,0.7831217,1.4828389,0.50902075,0.47606963,1.349279,0.72648454,0.15313411,1.3201513,0.3955167,0.9521061,0.97746676,1.4775867,1.1739465,0.8624074,0.84644675,1.5110662,1.1055806,1.4122771,1.0047495,1.0496453,0.63466185,1.1608673,1.438901,1.2346244,1.3318969,0.84673154,0.53955853,0.83509326,1.5337555,0.7202107,1.5023723,1.1645412,0.928434,0.7875445,1.0184456,0.95133036,1.4058384,0.38355654,1.0646362,1.4664518,1.3973573,1.1811801,1.4037458,1.1442392,1.057004,1.1983274,0.6267516,1.028753,0.76710653,0.5424542,1.133608,0.7320866,0.88048357,0.35844517,0.5648987,1.5577831,1.3945138,1.4873596,0.9224931,0.43647814,0.6711409,1.4132981,1.181953,1.2465526,1.1565334,1.2739551,0.8182294,1.0046811,0.0,0.45965302,0.7313769,1.4901259,1.4610902,1.0358093,1.1927788,1.2650788,1.1865244,0.95385134,1.1278062,1.1286414,1.1284616,1.0962464,1.2115501,0.29818738,0.7863456,0.861673,1.4164352,1.0659553,0.52736056,1.5348679,0.8834207,0.8291475,1.5611804,1.3672687,1.0038124,0.7251842,0.57156575,1.5120497,1.2913198,1.0758792,0.84454453,1.179358,1.3348866,0.75235355,1.3520212,1.4550854,1.422504,0.7870686
pants,0.75286365,1.1228293,0.6835661,0.84494925,1.1855726,1.2022042,0.82431793,1.3097962,0.6366267,0.53300273,1.0674033,0.72023964,0.4469614,1.187334,0.60406524,1.0465872,1.264753,1.4249325,1.3534569,1.0512271,0.85697436,1.4761055,1.2173551,1.2555714,1.2287625,0.677725,0.80602413,0.9282639,1.4160036,1.2424064,1.1439813,0.69486344,0.4577067,0.6491876,1.2970965,0.88740814,1.4789693,1.306787,1.1087283,0.8943882,0.8179645,0.99867,1.3260496,0.64503586,0.950843,1.343585,1.4530638,0.9127231,1.3393431,1.288262,1.1741598,1.0121684,0.7880482,1.1057599,0.6731173,0.7971506,0.82334757,0.98294073,0.8006198,0.5566113,0.3306446,1.3997235,1.2195344,1.3968939,1.1031272,0.5981869,0.86282337,1.2887595,1.1348362,0.96681494,1.1165955,1.1274325,0.9930813,1.1567048,0.45965302,0.0,0.93179107,1.2466117,1.2722774,0.97252506,1.016012,1.3163216,1.4140855,1.0270789,1.1365225,1.0718946,0.9163983,1.0697976,1.2553364,0.4553743,0.85615987,0.7975258,1.332641,1.0876229,0.75652194,1.3737911,0.73069,0.96687114,1.412977,1.2053918,0.8842875,0.4747883,0.7596798,1.3361217,1.0386624,0.8605988,1.1377172,1.1698942,1.4554298,1.1115634,1.1558881,1.1757313,1.1852189,0.94711906
paper,0.76803094,1.3163736,1.0309247,0.9847422,1.1396676,1.1781962,0.95714,1.2537589,0.7915988,0.70791036,1.1820765,0.5822772,0.6989133,1.1797385,0.6236887,0.62285227,0.39550674,1.2387993,1.0295026,0.62690425,0.960812,1.2177844,1.0083579,1.1508706,0.7363707,1.1328405,0.93970865,1.0709982,1.1846099,1.0142335,1.2400137,1.1522703,0.6458304,1.210181,1.300509,0.7787501,1.3022811,0.9652144,1.033292,0.9169087,0.9563292,0.7164105,1.3932512,0.9669921,1.2417803,1.1923624,1.0365779,1.3283019,1.3226457,0.9949037,0.9137729,1.2125351,0.9561584,1.0533098,0.96289796,0.81061625,1.1884036,1.0137596,1.0090966,0.82134366,0.83017325,1.3062962,1.1637301,1.2908521,0.8319812,0.8553877,0.89355797,1.3032666,1.120601,1.3370984,1.234796,1.2251047,0.59368676,0.96357375,0.7313769,0.93179107,0.0,1.2402611,1.1801609,1.1010009,0.9949186,0.9213041,0.9494144,0.9629496,1.009828,0.92447996,1.2731724,0.80956936,1.062422,0.8422097,0.9378877,1.0182937,1.3281038,1.0342927,0.77916163,1.4240866,1.0456821,0.86052835,1.4182358,1.2447298,0.9646357,1.0123538,0.67800343,1.1943773,1.3966299,1.2726903,1.0134104,1.0433959,1.0716343,0.68141973,1.1997178,1.2282323,1.4010305,0.8021662
pen,1.2492778,0.92240953,1.1767824,1.2120322,1.0661534,1.0123565,0.99940026,0.56676346,1.4757309,1.3752522,0.74380416,1.2862139,1.4709822,0.83599764,1.444279,1.0515882,1.003407,0.5451699,1.1605046,1.2704151,1.181334,0.7205539,0.9960788,0.8588369,1.02721,0.7860811,1.32077,0.9245465,0.7855015,0.74328923,0.7130743,0.99995804,1.3723916,0.9030454,0.11544359,1.4223114,0.68298614,1.1592162,1.2328705,1.3128889,1.1063478,1.0569711,0.7373212,1.2814159,0.7514889,0.5922878,0.74611586,0.6706286,0.4273559,1.0665375,1.1194042,0.8014137,1.2884407,1.0378181,1.2080694,1.204055,0.9326043,1.1838447,1.1211128,1.3614225,1.338408,0.2905141,0.6703123,0.5698837,1.1216868,1.4241476,1.3452474,0.60539293,0.8034242,0.6168616,0.9956352,0.87130475,1.0639403,1.1098027,1.4901259,1.2466117,1.2402611,0.0,0.26674473,0.86608493,0.8012197,0.87582743,1.1365212,1.1656749,0.9670131,0.9340658,1.0390093,1.1244699,0.6620734,1.3658689,1.0827751,1.0956349,0.6267835,1.0013857,1.4229865,0.4733879,1.0624969,1.318785,0.5029818,0.6735508,1.1088127,1.1489115,1.3593498,0.4194554,0.63782084,0.7951096,0.95488966,0.8412241,0.8652741,1.3703954,0.81956494,0.5079717,0.5242419,1.277879
pencil,1.2313989,0.84004277,1.171014,1.1908567,1.01935,1.0251019,0.94274735,0.61613405,1.4177766,1.3476901,0.654516,1.2981709,1.4658105,0.84141964,1.4249816,1.0421661,1.0274955,0.5682035,0.9888775,1.1845645,1.147387,0.7609806,0.990653,0.92288816,1.1205969,0.7824874,1.311115,1.0654294,0.874689,0.73465204,0.71695864,0.9785149,1.3384893,0.93505895,0.22185028,1.3459506,0.5881776,1.1424783,1.1414545,1.2107027,1.1600137,1.1773711,0.6766741,1.297497,0.8368583,0.541045,0.70471776,0.7996738,0.4110738,0.9850359,1.20296,0.8452944,1.2990956,1.1033293,1.2204031,1.24008,1.0099862,1.2011919,1.0635109,1.3551064,1.3208518,0.4042725,0.6700436,0.62528306,1.1227856,1.410634,1.3184924,0.58635885,0.91838455,0.70549995,0.9320601,0.8048594,1.1872442,1.0947115,1.4610902,1.2722774,1.1801609,0.26674473,0.0,0.9274886,0.8638425,0.8480311,1.0241097,1.1084791,1.1105747,0.9879445,0.960917,1.1690519,0.61239314,1.3671772,1.106331,1.171998,0.646033,1.0140532,1.4191678,0.49704772,1.1918033,1.1713818,0.47362268,0.68173534,1.1594126,1.197636,1.2470344,0.50146115,0.69064415,0.863263,0.8876409,0.9324242,0.80099845,1.2254463,0.8795985,0.64559746,0.52621347,1.2346622
pickle,0.9877713,0.9762651,0.81700504,1.0053735,0.9790372,1.0578845,0.5393106,0.87094027,1.083055,1.1945989,1.0634012,1.0585712,0.8845913,1.156879,1.2025232,1.1462291,0.9366487,1.1970463,0.99790007,0.9127085,0.72312,1.0859369,1.2157063,1.0683888,1.1703054,0.5942813,1.0621023,1.0237116,1.2396605,1.1502222,1.0298012,0.6531023,1.1585124,0.6189103,0.8613254,0.9234826,1.0485551,1.0590446,1.0506715,0.7534851,1.1775843,1.034513,1.0668991,1.1329064,0.83262503,1.1893055,1.0445961,0.9176885,0.9613845,0.9625821,1.0294285,0.9508327,0.78878367,0.6519794,0.99299467,0.82925624,0.906323,1.1919801,0.88042486,1.2029281,1.1014712,1.0623649,1.0528631,1.2073871,0.28629166,0.85754883,0.89193285,1.1195428,1.1887832,0.9753936,1.0677222,0.91550726,1.1461332,1.2004073,1.0358093,0.97252506,1.1010009,0.86608493,0.9274886,0.0,0.8945788,0.9785742,1.0555879,0.9022019,1.0646772,1.1322585,0.906915,1.1146332,0.7997012,1.1511346,0.80061615,0.92603594,0.9056816,0.99744004,1.10611,1.060298,0.9433769,1.0141116,1.0609937,0.9730265,0.88755476,1.0514386,1.0742862,1.0069563,0.948899,0.9385948,0.71834874,1.2345399,0.8678014,0.9915948,1.0853697,1.0706193,1.0109113,1.2081512
pillow,1.0346956,1.1861056,1.234385,1.0944058,1.1150215,0.9513804,1.1377507,0.6774242,1.1755061,0.867453,0.8467417,1.0555823,1.0632808,0.93399256,0.773609,1.0792347,1.0257045,0.9385844,1.0576165,1.2282975,1.0244511,0.8999179,0.8778871,0.86548483,1.1391705,0.8745021,0.99646634,0.7043998,0.8606188,0.99224097,0.8715736,1.1122484,0.8990868,1.1248593,0.79505473,1.11376,0.91608375,1.0898306,0.8481699,1.0146484,1.0232048,1.0944219,0.8556208,1.2108972,1.1083382,0.75469553,0.8176377,0.8924669,0.92805177,1.0418499,1.121771,1.0422958,0.84526205,1.0762553,1.2414806,1.2821126,0.8190099,1.0137323,1.0950798,1.1914202,1.1430703,0.8815998,0.85707176,0.85258615,0.9549079,1.0033743,1.181892,0.96086055,0.5916512,0.97584665,1.117207,0.92486167,1.1882263,0.9399227,1.1927788,1.016012,0.9949186,0.8012197,0.8638425,0.8945788,0.0,0.77809,1.1193448,1.0254834,0.84526503,0.96915305,1.1736511,1.0323018,0.96717465,1.1899574,0.8362197,1.1215959,0.8843172,0.9707823,1.1036562,0.92316574,0.8914233,1.1905763,0.76701057,1.0230286,0.90739226,1.1207391,1.3022571,0.80513924,1.0359155,1.0176655,1.1415031,0.6527962,1.0267124,1.2682949,0.6940592,0.818426,0.94307077,1.157045
plant,0.9888174,1.0347997,1.2022909,1.0241481,0.9152406,0.8861851,1.1301126,0.9443595,1.2626263,1.1878859,0.9022951,1.0182391,1.2548276,0.9196513,1.1095135,0.9204743,0.8285661,0.8785798,0.98896426,1.0208445,1.040575,0.89951205,0.95524585,0.9471419,0.90467095,1.1160924,1.0729315,1.0603461,0.911833,0.87636644,0.912251,1.119054,1.1811179,1.1768222,0.8640169,1.1540774,0.93491673,0.9521413,1.043732,1.0889869,1.0688022,1.0124521,0.9617977,1.1479158,1.0487792,0.79951644,0.18366063,1.017561,0.8431833,0.8029064,0.9842944,1.0533541,1.1310018,0.9830296,1.0208584,1.165471,1.0654653,1.0040255,1.074499,1.1818062,1.2435782,0.8522582,0.8726231,0.7835126,0.8910492,1.1784658,1.010287,0.93381095,0.96882313,1.0274861,1.0593677,0.9410172,1.0041544,0.97444946,1.2650788,1.3163216,0.9213041,0.87582743,0.8480311,0.9785742,0.77809,0.0,0.93300116,0.960469,1.0021496,1.0257466,1.1347144,0.98554176,0.97359717,1.2063725,1.1071506,1.1477169,0.9688293,1.058204,1.2246032,0.9190532,1.1792492,1.0989985,0.86578727,0.73883533,1.0469741,1.1830692,1.2098932,0.9015788,1.0330642,1.119654,1.099339,0.95526195,0.8592557,1.0392342,0.99679655,0.94192284,0.93172675,1.0373867
plate,1.0968269,1.0580473,1.1990229,1.1032261,1.0380714,1.0971432,1.1604106,0.92777157,1.0003229,1.0968039,0.9850208,1.0804518,1.1744971,1.0460591,1.0578761,1.0245491,0.79541767,0.90984285,0.36698782,0.68145734,1.0346773,0.77317095,0.8692664,0.796154,0.90205204,1.2904453,1.1996046,1.1402757,0.9897702,0.99425834,1.0634502,1.2547231,1.1279786,1.2990458,1.1153274,0.8938165,0.6771932,0.2024982,0.97950685,0.9784547,1.070863,0.9101274,0.97638303,1.2477719,1.1925827,0.9320791,0.86337864,1.2832394,0.9335154,0.8874739,0.7327739,1.1762048,1.1375371,0.9196819,1.1845038,1.0786908,1.2150029,1.1159213,1.1007491,1.2317816,1.2304475,0.9877239,1.0142535,0.9951431,0.77522767,1.1696963,0.95932966,1.0389661,1.0181068,1.2635982,0.99773204,1.0886222,1.0167638,0.84939766,1.1865244,1.4140855,0.9494144,1.1365212,1.0241097,1.0555879,1.1193448,0.93300116,0.0,1.0051577,0.8879893,1.0005903,1.1139717,0.8795777,0.95751244,1.2433128,0.9739099,1.0628598,0.9225481,0.7866417,1.007261,1.0247159,1.1762105,0.46621698,0.9364333,1.1257061,1.0687978,1.2789049,0.79820204,0.8907944,1.2272487,1.2531195,1.0430915,0.94729716,0.83968055,0.46495694,1.0203552,1.1676161,1.1580169,0.9856197
pumpkin,0.9195447,0.7106556,0.92533344,1.0464435,0.81366134,0.89835274,0.73157394,1.0856977,0.9970769,1.0417296,1.0323988,1.0057524,0.85087794,1.0730383,1.0047764,1.0620031,1.0051758,1.0748211,0.8518316,0.9768744,0.17127478,1.1430018,1.0494773,1.1633949,1.1515307,0.90894103,1.0402051,1.2264069,1.0581632,1.2031423,1.1005292,0.90731573,1.0386585,0.895603,1.0941895,1.0517967,0.96375555,0.9970714,1.0837537,0.96776414,1.1801264,1.1368968,1.0095904,1.1085355,0.99559385,1.1133994,0.9396493,0.9643501,1.1116184,0.86078787,1.1357939,1.0369089,0.91840136,0.8947022,1.0428213,0.9962691,1.0307535,1.2012985,1.0017318,1.0033846,1.1127759,1.2579398,1.2619717,1.2150455,0.8961953,0.84266984,0.824441,0.90612954,1.1152815,0.99268305,0.79121804,0.5902356,1.1082419,1.0910127,0.95385134,1.0270789,0.9629496,1.1656749,1.1084791,0.9022019,1.0254834,0.960469,1.0051577,0.0,1.1343915,1.0863729,0.80863655,1.0732421,1.1460477,1.0098675,1.0489764,1.0875937,1.1321259,1.0483412,0.9357015,0.9513853,1.0794958,0.8023896,1.1945887,0.9196597,1.0433512,1.0673916,1.0223852,1.0697017,0.98207134,0.9511162,1.0665973,1.1117544,0.8776593,0.8255009,1.1461011,1.2865795,1.01434,1.0838507
purse,1.1442647,1.2164022,1.2854586,1.1774895,1.0560577,0.97149265,1.2328197,0.7477592,1.098722,1.1046733,1.152116,1.0237118,1.0159601,0.91393626,1.0043021,0.9674608,0.86708045,0.9824505,0.8600113,0.8241785,1.1670675,0.79810655,0.7089083,0.7722478,0.8780931,1.3149838,1.1021298,0.6943481,0.70984983,0.94864964,1.0928748,1.1897423,1.1254641,1.2557108,1.1077995,0.82067835,0.96743673,0.70348066,0.932209,0.95388585,1.030608,0.93430585,1.1617228,0.98754895,1.2243274,0.99079096,1.0251971,1.1076571,1.0396682,0.8770703,0.77179515,1.1325458,0.8745754,0.9426327,1.2534807,1.1768886,0.94585645,0.9424684,1.1104997,1.003623,1.1499846,0.8668496,0.8661975,1.0449392,0.85887593,0.95627886,1.1504619,1.1806095,0.70377845,1.1648419,1.0829381,1.1384331,1.0104371,0.6513448,1.1278062,1.1365225,1.009828,0.9670131,1.1105747,1.0646772,0.84526503,1.0021496,0.8879893,1.1343915,0.0,0.73495936,1.246754,0.8830853,0.6815681,1.0886829,0.7930236,1.0366273,0.6730765,1.0096332,0.98794585,1.0903692,0.8984133,1.1442626,0.9923325,1.2189106,0.95436496,1.1163588,1.1257894,0.92335665,1.2869685,1.2203622,1.1050406,0.6576816,0.81961274,0.9973091,0.87213755,0.67762053,1.1985813,1.0879631
radio,1.0833468,1.1160333,1.0784922,1.1599281,1.0464768,1.0906037,1.1919087,0.878034,1.0687412,0.9741382,1.00361,0.8512322,1.1325886,1.0984408,1.0112659,0.87589777,0.95209116,1.0517482,0.91796976,0.6951724,1.0798458,0.9799805,1.0215656,0.75280386,0.6547826,1.0619076,1.0388811,0.88106173,0.8933708,0.99109167,0.9810071,1.0955927,0.96940047,1.1578665,0.98552924,0.85001093,0.95165163,0.9328953,1.0401753,1.1567047,0.8141018,0.6391834,1.1718984,1.0900874,1.2276852,0.97501093,1.0513246,1.0578698,1.123057,1.077262,0.9270909,1.0225588,1.1550113,1.1222333,1.107307,1.1186085,1.0122485,1.0681647,1.141783,1.0255356,1.0671762,0.87021744,0.92709637,0.9724826,1.077674,1.0997833,1.080973,1.0489734,1.1079671,1.1654837,0.96732646,1.072741,0.7405238,1.0537184,1.1286414,1.0718946,0.92447996,0.9340658,0.9879445,1.1322585,0.96915305,1.0257466,1.0005903,1.0863729,0.73495936,0.0,1.0576386,0.9339566,0.8451535,1.0970974,1.0356554,1.012222,0.93673605,0.9629036,0.984138,1.0055989,1.0586214,1.007758,1.0296856,1.09356,0.99841547,1.1555405,1.0128474,0.8603074,1.1806552,1.0932276,1.1361926,1.0823272,0.93918806,0.95768976,0.89155245,0.735474,1.0224301,0.9598233
raisin,1.0394559,0.21652067,0.4795367,1.1252519,0.56803477,0.78342897,0.9285538,1.1302481,1.1637169,1.2179948,0.95821583,1.1414738,1.1558065,0.9761491,1.2485617,1.2016385,1.3116357,1.1465194,1.00782,1.2432392,0.8045734,1.2275095,1.0714202,1.1786999,1.3076634,0.6693621,1.0314404,1.2818236,0.9632662,1.1174748,0.9169683,0.77562463,1.1367958,0.5298988,1.0067743,1.275713,1.0351677,1.0305594,1.0930954,1.1020684,1.0486038,1.242731,0.74666786,1.0784193,0.70751595,1.0067558,1.2008104,0.92314476,1.0066473,1.016227,1.0835353,0.76285064,1.1043334,0.7929013,0.7467482,0.97678024,0.752337,1.2225885,0.94363624,1.0251669,0.96547693,1.0168012,1.107833,1.0602545,1.2898669,1.0355253,0.9056438,0.8711711,1.2049032,0.7583086,0.1802752,0.61685514,1.2499677,1.09482,1.1284616,0.9163983,1.2731724,1.0390093,0.960917,0.906915,1.1736511,1.1347144,1.1139717,0.80863655,1.246754,1.0576386,0.0,1.0922387,1.1738201,0.99788797,1.1067295,0.94454545,1.0293044,1.1595354,1.2536517,0.77359575,1.0231478,0.91186535,0.97721636,0.82271284,1.017939,0.8337083,1.2001272,1.0739108,0.6578151,0.790617,1.0764788,1.2170889,1.1106979,1.2007778,1.1626439,1.1736474,0.7994455,1.1471063
refrigerator,0.9534285,1.1762012,1.0010545,1.0192271,1.1092714,1.0859576,1.0924718,1.00316,0.79871786,0.9900725,1.0298333,0.7970513,1.0190898,1.0687973,1.059963,1.0244613,0.8323357,1.063132,0.8887491,0.839476,1.1345644,0.7158844,1.1423372,0.6275282,1.0300775,1.13613,1.0480635,0.7093127,0.86345625,0.88101006,1.0285875,1.055857,0.9161485,1.098525,1.164562,0.6986455,1.0241905,0.8128531,1.000133,0.90782464,0.5867474,0.8200874,1.1683598,1.1098875,1.1785132,1.1528949,1.0482826,1.2364585,1.2656019,1.1958766,0.7208828,1.1550363,1.1021024,0.98483175,1.0606265,1.0007678,1.1336068,0.9972928,1.0099301,1.0448753,0.9670082,1.055056,0.81298757,0.8699118,1.0101352,1.0684835,1.0647445,1.2301986,1.0037616,1.2131531,1.0967119,1.2052004,1.0086282,1.0577825,1.0962464,1.0697976,0.80956936,1.1244699,1.1690519,1.1146332,1.0323018,0.98554176,0.8795777,1.0732421,0.8830853,0.9339566,1.0922387,0.0,1.0603914,1.0892787,1.0194134,0.9190214,1.1045221,0.80209726,0.9023133,1.2626725,0.94811296,0.8970596,1.1699015,1.2024803,0.81117296,1.0174617,0.90131545,1.0288961,1.2557504,1.2139696,1.015391,0.9787656,1.0986358,0.8991881,0.9358845,0.82959306,1.2824159,0.9524786
scissors,1.1335492,1.178985,1.2080708,1.1201451,1.082711,1.0885303,0.8896516,0.84744954,1.1747103,1.1812675,0.9030544,1.0109105,1.2216152,0.9224756,1.2052705,0.9754697,0.8946202,1.0053424,0.8472507,0.87258476,1.1109729,0.8806077,0.8832345,0.92354035,0.87618,1.0034059,1.188467,0.8890104,0.9549918,0.7232909,0.8695259,1.0033683,1.2185444,1.1322663,0.7293967,0.9563031,0.8450456,0.91502714,1.0077969,1.027486,1.103005,0.90573084,1.0744877,1.1774561,1.0522373,0.83318317,1.0223465,0.976938,0.72114056,0.87716484,1.0300517,1.1433182,1.0478495,0.96408296,1.2951355,0.99265057,1.1747881,1.0922279,0.92793655,1.2085745,1.2461058,0.55715877,0.68532956,1.0050539,0.77720803,1.1200436,1.2386132,1.1562737,1.0280948,1.1059034,1.0372008,1.1353422,0.9222357,0.96330416,1.2115501,1.2553364,1.062422,0.6620734,0.61239314,0.7997012,0.96717465,0.97359717,0.95751244,1.1460477,0.6815681,0.8451535,1.1738201,1.0603914,0.0,1.2503749,0.83796686,1.1038224,0.33529198,0.9784842,1.0721173,1.0007769,1.1058123,1.1466926,0.69553536,1.149306,0.95994,1.2265391,0.9796065,0.73447764,1.1360878,1.2763047,0.7832967,1.0116609,0.7544247,0.9809841,0.91474223,0.695053,1.0487505,1.1759943
shirt,0.8520906,1.110731,0.8310876,0.8670267,1.1266506,1.2201247,0.9886834,1.5239844,0.617577,0.5142831,1.2001855,0.7231951,0.48566508,1.1933899,0.52223825,0.8913309,1.1609874,1.3676381,1.2274653,1.0114195,0.96265006,1.4909532,1.0664767,1.3896806,0.9258775,0.9955021,0.6222625,1.1826254,1.3020105,1.209652,1.22457,0.917557,0.5561054,0.8571439,1.4006797,0.94111097,1.4045358,1.1703013,1.1279479,1.1280049,0.94510794,0.9936246,1.3353372,0.18542624,1.0854759,1.2576402,1.3421417,1.1644483,1.2569869,1.2163713,1.0513583,1.0447367,0.9408028,1.1996391,0.69311464,0.81933475,1.0157671,0.6255714,0.90268785,0.10546088,0.46525234,1.3978689,1.338028,1.3556973,1.0870357,0.7525048,0.8563318,1.2759073,1.1465997,1.1285871,1.02166,1.1884499,0.7954141,1.0329785,0.29818738,0.4553743,0.8422097,1.3658689,1.3671772,1.1511346,1.1899574,1.2063725,1.2433128,1.0098675,1.0886829,1.0970974,0.99788797,1.0892787,1.2503749,0.0,0.96487755,0.9652014,1.3671011,1.071788,0.690122,1.4050333,1.0021051,0.94219553,1.4142319,1.2598066,1.1042905,0.5745965,0.68767524,1.3936539,1.2249258,1.0355704,1.0802583,1.1327497,1.4247648,0.9177036,1.2780284,1.3560039,1.2526982,0.7840365
shoe,0.8820878,1.1581804,1.0587744,0.8467594,1.1090646,1.073934,0.9111104,0.89118683,1.0183479,0.8519819,1.1624641,1.0295053,0.6982197,1.0452774,0.80265415,1.0663662,0.8253293,1.2518613,1.0299163,0.92899704,0.96633554,1.2189429,0.7962639,1.1366633,1.1086632,1.0729722,1.1046542,0.93824637,1.1543593,1.1184638,1.1742707,0.8872473,0.885849,0.93615603,1.1882039,0.83336914,1.2674851,0.8755863,0.910222,0.6709218,1.1715063,0.97085357,1.2422223,0.9962897,0.9654775,1.125736,1.195582,0.99173474,1.0826069,0.96005374,1.0226521,1.082124,0.6306757,0.85362405,1.1218402,0.8176248,1.0156415,1.0567496,0.8994892,1.0027575,0.9841386,1.111985,0.99276876,1.2796158,0.73531675,0.67990893,0.93249923,1.3061615,0.8893143,1.1472543,1.0888878,1.1358988,1.1111176,0.73107654,0.7863456,0.85615987,0.9378877,1.0827751,1.106331,0.80061615,0.8362197,1.1071506,0.9739099,1.0489764,0.7930236,1.0356554,1.1067295,1.0194134,0.83796686,0.96487755,0.0,0.92471915,0.9513085,1.0141207,1.0249919,1.2374026,0.8263081,0.98272496,1.1561776,1.1863139,0.98292994,0.97203726,0.9953497,1.2102182,1.1448191,1.1699369,0.9848968,0.88315654,1.0218582,0.9261229,1.1028053,1.0962192,1.2666997,1.0831155
