,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
coffee,1.2230954,0.69942135,0.82947135,0.99304646,1.2703022,0.9056788,0.7609413,1.0159403,1.0047479,1.1033411,1.3311411,0.62190837,1.1561497,1.3591903,1.1295393,1.3029568,0.9493243,1.0313492,0.70737076,0.47868633,1.0185777,1.0842701,0.8000338,0.74868894,0.8481262,0.81012964,0.96880215,0.6830534,1.0517288,0.78919196,0.8373501,0.72346365,1.2919618,1.3387992,0.0,1.1022623,1.2680111,1.3247555,0.6099918,1.2324412,0.58889663,1.0322593,1.0482544,1.1066055,1.2058775,1.1664248,0.69467473,1.2779725,0.7787348,0.7062365,1.2489244,1.2160071,0.8115188,0.6548645,0.8431854,0.7312989,0.83498794,0.84829944,1.0651141,1.2019329,0.8893198,1.1408075,1.0289204,1.2676958,1.1729841,1.2682747,0.70968044,1.0006464,1.2260648,1.3501761,1.0382915,1.2340775,0.8623123,0.7276741,0.55737704,1.0126827,1.0740333,1.1429325,1.2840469,1.1878841,1.1461622,1.0590532,1.1778259,0.6958294,0.82176626,0.644434,1.1783407,0.84050626,1.0314902,1.2917708,1.3430805,1.2376478,1.2283944,1.2432826,0.58916175,0.72979087,0.84528077,0.9576384,0.8408977,1.129007,0.87736654,0.5259876,0.9909668,0.8790925,1.0580223,0.5866563,0.76048684,1.0604745,1.1733189,0.9256563,1.2034624,1.2731988,0.8221965,1.3774613,0.6750397,1.138452,0.697171,1.23403,0.69623387,1.2160981,0.58859336,0.9371971,0.6413496,1.111207,0.77581745,0.80166376,1.2111728,1.3658183,1.2735283,0.7134229,0.78180635,0.68263257,1.1304559,0.89170814,0.91232157,0.9029381,1.1277258,1.1029015,0.81613094,0.6889963,1.1600403,1.1640421
comb,0.7986435,1.1259252,1.1970791,1.1004213,0.9128133,1.2846603,1.3157313,0.9073057,1.0823637,0.9979551,0.92912173,0.96291494,0.8331877,0.86278087,1.0769187,0.8750721,1.0824305,0.8154496,1.2199589,1.2703156,0.9094183,1.0533441,1.1904943,1.2436407,1.0048394,1.2593822,1.0514644,0.965594,0.7559202,0.95921516,1.0062289,1.2035158,0.9347474,0.87165993,1.1022623,0.0,0.9253868,0.8879426,1.0390037,0.93420357,1.2812748,1.173881,0.86654854,1.0912372,1.1629136,0.9770261,0.99615145,0.8345388,0.9503781,1.3020322,0.76610386,1.0929942,1.013561,1.0628238,1.1652523,1.0696417,0.89195764,1.0607538,0.98792255,0.8530717,0.99467486,0.95900816,0.95620894,1.0217786,0.99074817,0.8576528,1.1282401,1.1231058,0.8803467,0.821607,1.1854123,0.76447254,0.90778756,0.9991374,1.2330157,0.8690058,1.0062287,0.9502604,0.8941294,1.0409286,0.93078053,0.9092047,1.0225146,1.1761522,1.0094224,0.97306,1.0039667,1.2407167,0.89839894,0.8284899,0.8855826,0.77936757,0.82233226,1.0343226,0.8994028,0.6596252,0.9881788,1.1927378,0.9636407,0.834358,1.032445,1.243099,1.1940006,0.97122365,0.93387324,1.0784421,1.1357661,0.98625743,0.85088366,0.9459127,1.0199537,0.92180943,0.88514364,0.83732975,0.96133536,0.7989852,1.0922153,1.0015575,1.0790554,0.85229194,1.1002133,0.9021402,1.3294792,1.0646715,1.1196767,1.0693749,0.95605475,0.95353544,0.8286747,1.1443093,1.1864161,1.0586907,0.8392589,1.0303978,1.2206105,1.0637122,1.0792416,0.9357587,1.1117274,1.0896443,0.9990015,1.0236324
couch,0.77453136,1.2221382,1.4026341,1.1846712,0.5365313,1.3361983,1.4298154,1.2977887,0.9887896,0.6793178,0.08060384,1.239462,0.5086339,0.5677396,1.0075555,0.3327117,1.1110168,0.99626946,1.4385653,1.4748366,0.89102215,1.1753166,1.3879077,1.2914822,1.2965297,1.15892,1.1549263,1.3939912,0.91770583,0.8198643,1.3581917,1.3891727,0.4444667,0.5108574,1.2680111,0.9253868,0.0,0.8283025,1.4692793,0.5917056,1.4606266,1.1537528,1.0480721,0.991037,0.9666997,0.58028066,1.0669806,0.4577279,1.3775554,1.4144993,0.73503447,0.6381838,1.225492,1.3539762,1.4497278,1.2436128,1.4809952,1.2467746,1.0102463,0.8643724,1.1093798,0.9589418,1.170178,0.5727567,0.91704196,0.85390925,1.3306112,1.107647,0.68706226,0.33678865,1.2517087,0.34075737,1.3556807,1.2748884,1.4716334,1.0916908,1.0788126,0.8568115,0.8002373,0.8245969,0.8904465,1.1021874,0.8590552,1.3890357,1.1178918,1.388077,0.9529467,1.2620769,0.74346465,0.7068083,0.45904356,0.502299,0.7699166,0.91809577,1.384051,1.1833953,1.0222739,1.252913,0.81521714,0.88410324,1.4246179,1.5031202,1.211389,1.0221508,0.87559783,1.2915579,1.2670978,0.71578956,0.94182825,1.1974161,0.9288567,0.5075399,1.3545551,0.36505497,1.3548756,0.5638149,1.5408695,0.5249793,1.07047,0.53399765,1.444913,1.037037,1.4610994,0.99669224,1.4925553,1.3749217,0.64642644,0.32771844,0.45360786,1.3523504,1.3183649,1.3008461,1.2389812,1.0146639,1.3011467,1.0571575,0.8640341,0.76917964,1.2177452,1.5003426,0.7571187,0.9998175
cracker,0.5049228,1.2657397,1.2028439,0.9867196,0.62542003,1.2108232,1.2799847,1.0719975,0.96917653,0.9852226,0.7755687,1.3485727,0.9449245,0.49695253,0.887712,0.70917404,1.1727278,1.1069846,1.4439807,1.4768767,1.0930371,0.3680693,1.2004285,1.3418429,1.1681378,1.2906498,1.2767401,1.1778879,0.8133001,1.2949908,1.191893,1.4542019,0.95272267,0.82564545,1.3247555,0.8879426,0.8283025,0.0,1.4590756,0.90337837,1.4485562,1.1510496,0.82679474,0.86392367,0.78871703,1.075368,1.3749433,0.71747154,1.1493701,1.2320063,0.70618623,0.87698627,1.0412872,1.3827333,1.3434436,1.062621,1.2349777,1.288023,0.98206717,0.8289859,1.2326576,0.6216177,0.88585895,0.8533276,0.55921185,0.5321384,1.396614,1.1006855,0.9271459,0.7607826,0.9881577,0.78939366,1.3187633,1.3494592,1.5008224,0.8669791,0.87592036,0.9585299,0.4182471,0.98939246,1.0106344,0.9571107,0.3425337,1.3018091,1.1243087,1.2726283,0.85336167,1.1435072,1.0607612,0.5342199,0.47351265,0.77343607,0.8621696,0.43127155,1.3854979,1.3410044,0.88091135,1.1921464,1.0519409,0.49879593,1.3120201,1.4702272,1.1664038,0.9757505,1.0085433,1.4071834,1.0911851,1.1565231,0.65639246,1.152853,0.38337266,0.6610937,1.1926404,0.7165929,1.281068,0.8288723,1.4717572,0.9377899,1.3380501,0.88904583,1.2845243,1.0867499,1.2925925,0.75219226,1.4298812,1.2544193,0.8961361,0.7008749,0.8515258,1.3282745,1.1197255,1.1335082,0.82053494,1.018696,1.2967166,1.1119965,0.954488,1.156578,1.3413757,1.3048215,1.0360118,0.9674144
crayon,1.4630356,0.57427305,0.6226722,0.8260602,1.409626,0.74786377,0.6668107,0.83624756,1.0786334,1.3990499,1.5207458,0.35226214,1.4406309,1.5858412,1.1505286,1.5186669,0.5714029,1.0054433,0.1801418,0.32520592,1.2316422,1.2423195,0.59446573,0.80241644,0.7648098,0.90429014,0.9489648,0.36657047,1.1730739,1.003801,0.7802474,0.35483825,1.4395225,1.405206,0.6099918,1.0390037,1.4692793,1.4590756,0.0,1.4496245,0.26823878,1.1267285,1.274651,1.2273896,1.1815301,1.3520226,0.8269357,1.3837875,0.50434804,0.6704812,1.3352895,1.2470591,0.556691,0.34134698,0.33102673,0.74558026,0.50957394,0.7344072,1.1350079,1.4227672,0.60889614,1.1278133,0.9654414,1.2751813,1.3262408,1.329977,0.23994923,1.1579235,1.3076931,1.4276888,0.9708523,1.3695016,0.62852675,0.71385145,0.3852018,1.1877656,1.1869621,1.2239602,1.4087875,1.2443159,1.2761958,0.9426535,1.4874887,0.175735,0.7789874,0.3187549,1.0932548,0.82773244,1.3551339,1.4310341,1.5230412,1.3645331,1.3588853,1.3574334,0.1806202,0.5161758,0.97928905,0.9426684,1.0341145,1.2894777,0.6035671,0.31466794,1.0773396,0.81899107,1.1960073,0.6590869,0.7202177,1.3012165,1.259662,0.85812265,1.390824,1.4202577,0.68347645,1.4433712,0.36178195,1.1935413,0.34358764,1.3921282,0.84427655,1.3282876,0.20989221,0.9330699,0.43045247,1.1432115,0.505707,0.59141,1.3621366,1.4602375,1.4915061,0.6938394,0.46990073,0.39054775,0.7564328,0.949097,0.7445795,1.1089098,1.2279664,1.118812,0.7378279,0.3634792,1.319396,1.2132767
crib,0.7410461,1.2619253,1.4749669,1.2968576,0.8758793,1.3892734,1.3745652,1.1757493,0.55637884,0.44564784,0.5606787,1.3219371,0.50122434,0.65487397,1.0207915,0.66195625,1.076028,0.755803,1.362885,1.2937602,0.41454506,1.1866864,1.1988598,0.8196045,1.2030792,0.70195895,0.7523616,1.4760598,1.0544735,0.66165674,1.2163535,1.347472,0.49421948,0.84288275,1.2324412,0.93420357,0.5917056,0.90337837,1.4496245,0.0,1.3215652,1.0721157,0.78373337,1.0208306,0.84931755,0.5499849,0.6688018,0.7725323,1.3668438,1.4055183,0.9696429,1.0519667,1.4464186,1.3895156,1.3209455,1.2874544,1.3227519,1.2212187,0.9336734,0.73947,1.3320763,0.9573836,1.0178876,1.0393142,1.0413679,1.036201,1.4702578,1.0487044,0.54694104,0.77643293,1.0454469,0.86731035,1.0776793,0.9085203,1.3129547,0.97280496,1.1088331,0.67304444,0.8558553,0.81126857,0.83925885,1.2262416,0.9071408,1.5326558,0.9881249,1.4762259,1.2387639,1.3091829,0.55926347,0.8699909,0.6718729,0.86919475,0.720706,0.9029849,1.3381519,0.9441373,1.2660244,1.1635774,0.84141564,0.83774006,1.2044994,1.3110237,1.108974,1.1270381,0.674125,1.0328128,1.3621243,0.53566885,0.892103,1.1746154,0.953459,0.8869933,1.2087338,0.8717941,1.3650367,0.9624476,1.3385582,0.57767314,0.8299492,0.54761225,1.4816163,1.1720959,1.3298727,0.8871103,1.1902049,1.3199544,0.4961483,0.76832473,0.52530676,1.1621933,1.4933227,1.364165,1.1584666,0.9050983,1.0290302,0.5672669,0.92777,0.77386403,0.8405144,1.4442492,0.7534731,0.9748381
cup,1.466283,0.6890248,0.68175626,0.8935093,1.4712421,0.6629832,0.49469203,0.84881645,0.895695,1.2133751,1.5213459,0.54952264,1.3931532,1.6306814,1.05422,1.4880936,0.64260066,1.0511842,0.12166834,0.14603621,1.0862128,1.1643753,0.5581689,0.41875923,0.9182875,0.58991945,0.8564473,0.6056006,1.1767727,0.84311795,0.6646607,0.32101345,1.3861104,1.4354019,0.58889663,1.2812748,1.4606266,1.4485562,0.26823878,1.3215652,0.0,1.0426798,1.1202121,1.1998627,1.1624905,1.2063587,0.777329,1.4742898,0.73253036,0.54208016,1.4405451,1.2384514,0.8613248,0.49375165,0.36674392,0.8711219,0.71377534,0.8131306,1.1912558,1.2504683,0.8296204,1.1397015,0.9715807,1.3208692,1.2670314,1.4475486,0.3792236,1.1074996,1.302257,1.5156565,0.72810525,1.4754944,0.7312913,0.6775939,0.31478548,1.1451507,1.1254084,1.0577158,1.4097493,1.1553661,1.1040359,1.1142426,1.4214677,0.39447635,0.72422993,0.6210329,1.2098227,0.70255613,1.1875374,1.430113,1.5843039,1.4665239,1.3707314,1.3264854,0.47705048,0.82312894,0.9919294,0.9269005,0.9467386,1.327781,0.5931402,0.20527601,0.9830346,0.9443871,1.0961318,0.6271169,0.7831336,1.0763419,1.2748544,0.9224981,1.3360322,1.4462278,0.8797841,1.5187011,0.564502,1.3179295,0.28601176,1.3019238,0.70502293,1.3852212,0.44610727,0.9837973,0.29689574,1.1245152,0.5121654,0.7495961,1.2479132,1.4811866,1.4253201,0.6119998,0.69891644,0.6619882,1.0192065,0.8356092,0.6680684,0.8806203,1.1227595,1.053863,0.62295496,0.42547643,1.1956745,1.2088914
deer,0.98524684,1.034421,0.9944685,1.1909809,1.2081296,0.92179257,0.90256166,1.0157276,0.9887646,1.1123252,1.159735,1.1875476,1.1170162,1.0560695,0.74661386,1.1546462,1.147887,0.892471,1.0962821,1.0300384,0.9687429,1.084781,1.0052643,0.9818505,0.7678057,0.96241695,0.9399974,1.1302943,1.1136608,1.0854019,0.9984969,1.0123334,1.1542983,1.1308467,1.0322593,1.173881,1.1537528,1.1510496,1.1267285,1.0721157,1.0426798,0.0,1.0800321,0.51823485,0.7680166,1.1582912,1.0913409,1.2124023,1.1527317,0.9279588,1.0961759,1.0359799,1.2115971,0.96068704,0.98585165,1.1078357,1.0844635,0.6813735,0.6053672,1.0154332,1.0763564,1.1130219,1.041118,1.1089625,1.0878247,1.1656365,1.0832078,0.15008444,1.098295,1.1942463,0.98078144,1.2648199,1.0807197,1.0252615,0.96358204,0.9549906,1.0046874,0.9676435,1.1257999,0.9725386,1.0726427,1.1041951,1.0237952,1.1361089,1.1204093,1.1428859,1.0207748,0.961205,1.1693058,1.0332798,1.1800785,1.2049825,0.96184903,0.9006595,1.1521056,1.1087842,1.2613226,0.15963149,1.0827129,1.1092789,0.925071,1.0014943,0.06258261,1.0802283,1.0422957,1.0386729,1.0658716,1.0914698,1.0421469,0.9003671,1.0406363,1.101001,0.9094055,1.2097316,1.1357534,1.2483115,1.0239074,1.1324385,1.1385314,1.1460087,1.1334348,1.130015,1.0144849,0.9739831,0.95172626,0.98317516,1.1013085,1.1277459,1.099747,0.89274263,1.1071572,1.1749666,1.2092538,1.1140999,0.7625172,0.98853385,1.0092016,1.0722247,1.0624762,1.0678924,1.085362,0.48456502
dish,0.825981,1.2796793,1.0857779,0.97869533,1.0060855,1.0908215,1.1456506,0.87477535,0.923956,0.8793844,1.0508068,1.25616,0.8570355,0.9344021,1.0710573,1.0114226,1.1015636,0.9368682,1.2107964,1.0072031,0.79765546,0.62389344,1.1140673,0.98805904,1.1415032,1.0210304,0.9956424,1.0469527,0.91445047,1.0039268,0.6513199,1.2046218,1.0121694,1.0346189,1.0482544,0.86654854,1.0480721,0.82679474,1.274651,0.78373337,1.1202121,1.0800321,0.0,1.0257685,0.9965771,0.9339979,0.9773959,1.0237212,1.1817604,1.0118177,1.0836711,1.0287386,1.2208695,1.1840378,1.1151584,1.2046132,1.0138433,1.1924593,1.0625536,0.64417523,1.2727451,1.0439723,0.9298925,1.0603656,0.8262494,0.8702109,1.3347882,1.0319233,0.93082726,1.0710802,0.93662876,1.075817,0.9527707,1.0511546,1.1673957,0.72885954,0.8970813,0.8924822,0.92929,0.95276135,0.82365036,1.0588973,0.7642291,1.3329825,1.1075487,1.2810259,1.0627666,0.8651241,0.8194213,1.0224025,0.976731,1.0161983,0.9087421,0.8733789,1.2400404,1.056274,0.9646715,1.135189,1.0148128,0.8749931,0.9976773,0.9957367,1.0790737,1.0314798,1.0042474,1.1296178,1.2020323,0.86987174,0.8846972,1.0188712,0.798127,1.009248,1.1188818,1.0391445,1.1173258,1.0272154,1.1376375,0.9734459,0.94617456,0.9368318,1.2908235,1.1146842,1.0835588,1.0094774,0.99934286,1.1348667,1.0166081,1.0103348,0.8457603,1.031817,1.324622,1.1816466,1.0450565,1.0668489,1.0489643,0.6824885,0.9172956,1.0191987,1.086237,1.2163321,0.98011434,1.0953517
dog,0.6099777,1.0663137,1.0719687,1.0784348,1.1497258,1.0445994,1.1334894,0.8982448,0.92689514,1.2329866,1.0406678,1.2111905,1.1263351,0.93806314,0.5639758,0.9849537,1.279397,0.93877774,1.1705831,1.1997335,1.0711133,0.8719731,1.0939517,1.1575749,0.8103063,1.2027,1.0574247,1.1374053,0.79592836,1.1167593,0.92177355,1.0982273,1.1302809,0.9900294,1.1066055,1.0912372,0.991037,0.86392367,1.2273896,1.0208306,1.1998627,0.51823485,1.0257685,0.0,0.47720075,1.1245944,1.1844764,1.1041222,1.1166899,1.1074704,0.9942952,0.9925198,1.2372088,0.98488986,1.0574205,1.0094126,1.2382792,0.63686204,0.7086022,1.0123361,1.1113975,0.9552914,1.0957495,1.0369369,0.84968877,1.0976198,1.0951467,0.49125803,1.090712,1.0801808,1.0281099,1.1301622,1.245336,1.0574687,1.2228713,0.9936132,0.9736738,1.0036079,0.94482636,1.0836202,0.9759203,1.1119798,0.72348315,1.2285464,1.0854114,1.1700381,0.9932436,1.1145458,1.157825,0.80068463,1.0199466,1.020323,0.9804913,0.7878843,1.1992719,1.1753639,1.1550884,0.5528403,0.95579666,0.9438567,0.9907277,1.107989,0.4776801,0.96451664,1.0031188,1.0113864,0.9934489,1.1771144,0.85028046,0.9178025,0.87960273,0.8859746,1.051022,1.1142465,1.0389979,1.0818672,1.1424142,1.101535,1.3040221,1.1532583,1.1019719,1.1243291,1.0506805,0.9268694,1.1271213,1.0150969,0.99040174,0.92546666,1.0279311,1.038453,1.1261095,1.2054414,1.2362523,1.0857513,0.78414345,0.99213505,0.9662706,1.1004689,1.066366,1.133598,1.0907463,0.7516043
doll,0.73467666,0.9583523,0.9478946,1.0499719,1.0497371,0.9261022,1.1083727,0.8339872,0.74808735,1.2220113,0.98921317,1.2804707,1.2143099,0.72386146,0.72702867,1.0100331,1.2549499,0.7247286,1.1645743,1.2319747,0.86477244,0.86374724,1.1001524,1.0459154,0.8347128,1.1409009,1.0412295,1.0943097,1.1478186,1.140044,1.0383629,1.1272043,1.1459415,1.0244905,1.2058775,1.1629136,0.9666997,0.78871703,1.1815301,0.84931755,1.1624905,0.7680166,0.9965771,0.47720075,0.0,1.2159804,1.3324441,1.1047057,1.1176267,1.0635213,1.0904772,0.91568357,1.0622662,1.1430297,0.9971528,1.0626085,1.1980433,0.59516627,0.8637131,0.99926424,1.0352286,0.67718494,0.79878575,0.94310087,0.91529375,0.8235985,1.0271734,0.78993946,1.0766944,1.0236206,0.9273592,1.2050182,1.2613914,1.166654,1.289955,0.9015352,0.9258255,0.86388934,0.6963983,1.1480571,1.0095713,1.1014699,0.75386083,1.1428156,1.2191728,1.1809219,0.8893164,1.0849079,1.2384317,0.99217457,0.77402604,1.1158907,0.8256854,0.7060491,1.2678329,1.188521,1.1144656,0.77746785,1.0259664,1.0211186,0.9659776,1.1520123,0.77543104,0.82912385,0.9955567,1.1652384,1.0520649,1.2428606,0.9694031,0.9749157,0.8635105,0.91772467,1.008773,1.0583696,1.1018407,1.0903561,1.16055,1.1745188,1.4305153,1.1563202,1.0689949,1.3277284,1.1935385,0.59179634,1.1476446,0.95210326,0.9663968,0.8170816,0.8774668,0.9754148,0.9791755,1.1669537,0.90518486,1.1935098,0.48452497,0.89335734,0.97492886,1.1222714,1.0885849,1.1308752,1.145142,0.91011155
door,1.0443989,1.1903806,1.3921694,1.1269348,0.83987415,1.3619674,1.2839589,1.3031867,0.9949667,0.54000163,0.6438343,1.1076485,0.3882538,0.97432613,1.1532533,0.77123654,1.1070867,1.0879167,1.1746628,1.2669142,0.7756921,1.2570763,1.1501303,0.81916636,1.2331264,0.759061,0.94381833,1.3761337,0.7978158,0.5506659,1.2198057,1.1810632,0.28511858,0.76137596,1.1664248,0.9770261,0.58028066,1.075368,1.3520226,0.5499849,1.2063587,1.1582912,0.9339979,1.1245944,1.2159804,0.0,0.6467751,0.8040723,1.2471081,1.3990059,0.9938037,1.0287704,1.2698075,1.278616,1.2818933,1.1642469,1.3246927,1.3457012,1.0983918,0.7613038,1.195015,1.1513064,1.2786181,0.9109474,1.0639862,1.0123726,1.292674,1.1848867,0.6781943,0.7936972,1.1317161,0.6498106,1.048317,0.7597727,1.0934138,1.096284,1.125469,0.8027824,1.0515552,0.6190236,0.67299265,1.1447364,0.9798048,1.3871108,0.9769001,1.2892774,1.1255782,1.2457328,0.31256825,0.9214369,0.9183744,0.6896965,0.96185434,1.0812329,1.30045,1.1065658,1.0944982,1.267041,0.93665856,0.8569697,1.2200534,1.306328,1.2143507,1.2491205,0.79484713,0.92110264,1.2078453,0.20774841,0.9758036,1.0459938,1.0300586,0.8731639,1.2706448,0.75700235,1.3657768,0.73830235,1.1932135,0.28229785,0.6349282,0.776753,1.443119,0.86478865,1.2305816,1.1384745,1.2585566,1.2792943,0.7285396,0.80087304,0.64832175,1.3150446,1.3890727,1.2675306,1.2039039,0.9451816,1.3382106,0.9119685,0.8426378,0.62473774,0.6884307,1.3120124,0.3776142,1.075982
drawer,1.1983726,0.8194207,1.1966408,1.0896479,1.2267997,1.2342261,1.0211418,1.1187932,0.90740836,0.60720253,1.1138395,0.591888,0.6873204,1.3600835,1.2156539,1.1180923,0.859974,1.0269265,0.7950039,0.64650714,0.7539737,1.3020335,0.8758342,0.5497334,1.0451087,0.52489704,0.70869964,1.0183465,0.94031143,0.49753785,1.0093681,0.9520161,0.8389294,1.1728503,0.69467473,0.99615145,1.0669806,1.3749433,0.8269357,0.6688018,0.777329,1.0913409,0.9773959,1.1844764,1.3324441,0.6467751,0.0,1.1477727,0.9404165,1.1130053,1.238105,1.2692459,0.996993,0.7537281,0.9490818,0.8906122,0.81753165,1.0705308,1.1290383,1.1268724,1.022689,1.2759697,1.2002841,1.2586005,1.2716316,1.3063654,0.94474876,1.0910723,0.8232475,1.2474974,1.083085,1.1495878,0.7078937,0.53135127,0.64232165,1.1774802,1.2392824,1.0521882,1.3744354,0.9459947,0.966195,1.0955223,1.2542189,1.0579144,0.6600646,0.8951677,1.2640384,1.1599236,0.5529549,1.2052605,1.3177445,1.090611,1.2256994,1.2435086,0.65687907,0.5728559,1.050797,1.1015085,0.7283162,1.0961969,0.84669864,0.747385,1.0797194,1.1397355,0.92458236,0.46710742,1.1140301,0.49310988,1.1435413,0.98214024,1.2976204,1.1967431,0.9597292,1.2670274,0.94807756,0.9507227,0.79693246,0.8872973,0.24159068,0.970244,0.9018436,0.8288113,0.7482349,1.2733175,0.80625725,1.0534239,0.9838431,1.2969434,1.0377139,0.98264545,1.0702507,0.8816573,1.1134377,0.73660207,1.1101116,0.658108,1.0976712,0.7939056,0.5594067,0.9369663,0.85400707,1.1488833
dress,0.6812675,1.2434442,1.3619033,1.1621147,0.47897267,1.3322622,1.3609611,1.2191222,1.0747813,0.7858842,0.44451398,1.2175598,0.6904086,0.5173184,0.97088516,0.45303053,1.1185977,1.0339417,1.3964316,1.4594331,0.923347,1.0757006,1.25917,1.3225943,1.3387383,1.1863806,1.113128,1.3510455,0.90915763,0.95074815,1.3869419,1.3486372,0.6113974,0.49638367,1.2779725,0.8345388,0.4577279,0.71747154,1.3837875,0.7725323,1.4742898,1.2124023,1.0237212,1.1041222,1.1047057,0.8040723,1.1477727,0.0,1.2185698,1.3820641,0.54538906,0.72009075,1.1583909,1.3765808,1.3942815,1.122117,1.2764553,1.3707334,1.0066187,0.932091,1.1605407,0.9355508,1.1125908,0.7073844,0.854172,0.7244763,1.3343866,1.1731846,0.6735815,0.37038577,1.2053297,0.43819338,1.1965755,1.2257768,1.40773,0.9316712,1.0222919,0.8824552,0.76482034,0.9951542,0.95643425,1.0144566,0.899402,1.3325875,1.0159707,1.2462434,0.9941068,1.2395744,0.8355718,0.64400375,0.46127605,0.4336214,0.75673944,0.8870325,1.2733432,1.0655882,1.1146828,1.2507515,0.9796212,0.80103284,1.4030551,1.4965165,1.257513,0.90819085,0.8312051,1.2831588,1.2427083,0.9033063,0.79680926,1.2308694,0.8230641,0.6000571,1.2156653,0.4055959,1.3123637,0.6187533,1.4208364,0.74257374,1.133276,0.5304621,1.3809447,1.0113693,1.4707569,1.014009,1.3888298,1.3385932,0.7674101,0.52082527,0.6777681,1.3587341,1.2256882,1.2744564,1.0416691,0.95453966,1.4042339,1.1989523,0.88826597,0.8809052,1.2484121,1.387424,0.78337735,1.0424658
ear,1.3201458,0.51063013,0.7585045,0.67331976,1.1873484,1.0020577,0.9001899,1.0300446,1.1723576,1.3645705,1.4528408,0.49949843,1.3651597,1.389532,1.2198346,1.4554753,0.86044246,1.2765851,0.6341195,0.8061364,1.3428427,0.9681743,0.72690237,0.9090199,0.78164,0.97900194,1.167516,0.37470824,0.9518489,0.95043856,0.92066324,0.8121195,1.317745,1.2186666,0.7787348,0.9503781,1.3775554,1.1493701,0.50434804,1.3668438,0.73253036,1.1527317,1.1817604,1.1166899,1.1176267,1.2471081,0.9404165,1.2185698,0.0,0.89895236,1.1387299,1.1562636,0.38585168,0.72124296,0.7124516,0.49636292,0.70173347,0.9960628,1.0817232,1.3715076,0.44009495,1.0590006,1.0965883,1.0685879,1.2452486,1.0213165,0.47104442,1.1782702,1.3196615,1.3075744,1.0163774,1.2276684,0.89341104,0.84002465,0.7285352,1.0430511,1.1207975,1.2586799,1.2127423,1.2837278,1.2691784,0.740608,1.1256582,0.4161396,0.7385123,0.2387569,0.7443243,1.0115874,1.274328,1.1974422,1.3276091,1.0386676,1.3890712,1.258322,0.56697905,0.7748536,0.7976808,1.0422161,0.9936785,1.0926917,0.8075068,0.8214189,1.1125709,0.7577339,1.211833,0.82023865,0.7038571,1.2419968,1.0047609,0.9177029,1.218807,1.1476827,0.95892674,1.2568759,0.55519336,0.8697605,0.58366185,1.2693839,1.0597179,1.2887926,0.4146558,0.8248036,0.67027724,1.1436749,0.78979313,0.64046586,1.2854125,1.3273306,1.4959843,0.94009256,0.31306309,0.49781644,0.7768134,0.8571015,1.0917591,1.2588781,1.2345227,1.107306,0.79874533,0.59606016,1.2166164,1.2043989
egg,1.2209473,0.8768401,0.29601473,0.7710583,1.289907,0.20158446,0.2549904,0.71061164,1.0559292,1.2475721,1.3960524,0.9800621,1.3971803,1.3713672,0.91382253,1.3417631,0.96002126,1.0769486,0.6869328,0.4632231,1.1681541,0.7645831,0.7934556,0.8704716,0.9088121,0.95480996,0.9888392,0.62261516,1.2608973,1.192645,0.6242085,0.69903994,1.4111881,1.3449299,0.7062365,1.3020322,1.4144993,1.2320063,0.6704812,1.4055183,0.54208016,0.9279588,1.0118177,1.1074704,1.0635213,1.3990059,1.1130053,1.3820641,0.89895236,0.0,1.3237561,1.1187488,0.8449141,0.76238436,0.65686387,0.9710369,0.88403827,0.78357077,1.1572049,1.1541027,1.0072894,1.095938,0.8260163,1.2267773,1.0642903,1.2310407,0.7472654,0.99141586,1.2991288,1.3933073,0.8402469,1.37233,0.9007989,1.0055745,0.6254002,0.9678746,0.6309471,1.1510978,1.1959666,1.1417744,1.1783448,1.0178573,1.0361319,0.60363376,0.98203576,0.9004774,1.0444124,0.17842686,1.337607,1.2405728,1.3809676,1.429271,1.1982071,1.135676,0.781049,1.0566726,0.83485883,0.8431749,1.0326034,1.284714,0.75009507,0.49134332,0.887583,0.8777076,1.1893523,0.91378635,0.57033515,1.2946658,1.108012,0.9070758,1.114423,1.3380835,0.9175621,1.3742163,0.7194212,1.3257108,0.6977529,1.3158741,1.0708433,1.230948,0.68125737,1.1165147,0.4924041,1.0601132,0.6457864,0.71385777,1.2419827,1.3613752,1.3688364,0.5363979,0.78294814,0.9168088,1.0741466,1.0141673,0.60652107,0.9765691,1.0993388,1.1675975,1.0505369,0.68666136,1.2761234,1.1212187
