,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.0205562,0.7961169,1.1198642,1.0105304,1.0110518,0.7484149,1.0174098,1.2160728,1.0585951,1.2712401,0.8876102,1.138813,1.1924306,0.57081914,1.2294669,0.992313,0.95201826,0.7477362,1.1860964,0.9902827,0.7866534,0.8409621,0.55946714,0.69982606,0.8021977,0.91666526,1.0167242,0.7550075,1.2060858,0.94171566,0.7188462,1.1911528,1.2458005,1.1127841,0.54961133,1.3244907,0.8863553,0.94331264,1.1374576,1.2491052,0.8848835,1.2488585,1.0664535,0.91568756,0.8009436,0.36897165,1.1071197,1.111471,1.1094664,0.25251007,1.2957956,0.82409376,0.86119676,0.9582756,1.1086359,1.1182303,1.2568208,0.7803228,0.79468787,1.1656092,1.044227,1.2006557,1.2049807,0.83853793,1.2876129,0.6396262,1.154826,0.9438307,1.210418,1.2370242,1.1088724,1.2723336,1.1015921,0.7962604,0.6995157,0.7921957,0.9484398,0.7985031,0.92921567,1.1746625,1.0758938,1.0945729,0.91106725,0.93801695,0.8080349,0.8663324,1.033143,0.9905986,0.81493115,1.0167811,1.2858341,1.0220335,0.57216245,1.117987,1.0082638,0.85120416,1.0087669,0.9609915,1.3084373,1.2883371,1.0325211,0.8815747,1.2252008,0.7806208,1.2991245,0.6258709,1.2081128,0.7447846,0.82658744,1.1417972,1.2010195,1.266182,1.1365129,1.3376398,0.8108794,0.77967346,0.6670301,1.1930512,0.68560195,1.0554886,1.2782922,1.1220725,1.028263,0.7253951,1.1712952
ankle,1.0205562,0.0,0.99872303,1.1248119,1.0177816,0.92765856,0.9834596,1.1599636,1.082535,1.1061392,1.1250106,0.7615664,1.0441324,1.1394018,1.0258803,1.1420138,1.2877581,0.97420186,1.0971384,1.2730451,0.96398515,1.0707375,0.9279441,0.88424146,0.8969533,1.0463313,1.0461856,0.9010383,0.859921,1.1075644,1.0083809,0.9052733,1.0649858,1.0243593,1.1287682,0.8463707,1.2275361,1.0002131,1.1879771,0.9335379,1.1295724,1.006917,0.9385247,0.7112087,0.9464221,0.59130484,0.97275996,1.1212842,0.4211141,0.63257635,1.0881425,1.203707,0.78091764,0.76914877,0.90282726,0.9562336,1.1279696,0.9275241,0.77477527,1.2060659,1.2452254,0.90995616,1.1121594,0.8434998,0.8160994,1.0802155,0.9038783,0.7087996,1.0581129,1.140977,1.0808293,0.9741857,1.103259,1.0675913,0.83467716,0.84615093,0.752107,0.99049234,0.99929243,0.93618554,0.7810246,0.93805045,1.2966254,1.0213431,0.97237045,0.85931605,0.99801517,1.0722412,0.9529344,1.1310087,0.7579294,1.0912324,1.0420536,0.8043551,1.0647205,1.0167633,1.2181127,1.0922004,1.1112775,0.9442266,1.0263809,0.84643936,0.9549084,1.1291938,1.0879453,1.1613845,0.7436946,0.61021906,0.79176116,0.97397363,1.2021636,1.100278,1.0602515,1.2199365,1.302933,0.86250424,0.4283558,0.79823345,1.0394512,0.8642423,1.1531138,1.2596414,1.1574634,0.96009755,0.85886437,1.1738579
apple,0.7961169,0.99872303,0.0,1.2653267,0.5069678,0.51687264,0.42629623,1.0830371,1.3644598,1.1427367,1.4214027,0.99329686,1.3716948,1.3146129,0.68599784,1.3367963,1.2100511,0.5845027,0.5693134,1.3019166,1.0179873,0.96165013,0.790799,0.9017022,0.64896476,0.82852274,1.0119834,1.2391096,0.59567,1.217957,0.72333986,0.9225931,1.2326387,1.4359126,1.223506,0.497136,1.4271107,0.48470038,1.1032193,1.0056415,1.3714676,1.0332565,1.348252,0.64826727,0.9199924,0.61900973,0.6802628,1.1027428,0.9895498,0.858363,0.68576163,1.162617,0.75033855,0.9534038,0.72130287,1.0590262,1.1068125,1.1565626,0.4673677,1.0685315,1.1703184,1.1985084,1.1315767,1.4127622,1.0006057,1.3294713,0.5869798,1.1876906,1.0331125,0.76014185,1.1700228,1.2740347,1.2546325,1.1678334,0.30683136,0.6725431,0.77683187,0.66225994,0.31287557,1.0173478,1.3607033,1.2741258,1.2988285,1.0398325,1.0151436,0.90941596,0.9253949,0.99280757,0.9540045,0.9777843,0.6664873,1.3433815,1.0225992,0.52365816,1.1918603,1.236258,0.9396794,1.1727222,1.1127962,1.4241316,1.1885407,1.192085,0.92802024,1.309413,0.9044748,1.3373195,0.4043277,1.280044,0.58093596,0.797266,1.1307546,1.3593255,1.2838806,1.0957093,1.3885494,0.52820456,0.63048714,0.48267823,1.155077,0.68107337,0.6766799,1.1850466,1.0794786,1.0659405,0.4131158,1.2927608
arm,1.1198642,1.1248119,1.2653267,0.0,1.2491568,1.3349676,1.192044,1.1165539,0.83946073,0.91496676,0.85118073,0.96837103,0.8979852,0.7110215,1.3316786,0.85223234,0.97142404,1.3585212,1.261127,0.8901941,1.0434783,0.9940634,1.2633729,1.183099,1.3090497,1.2586362,1.0052832,0.98811287,1.3827906,0.9539205,1.2378504,1.1026032,0.7831489,0.80262053,0.93069,1.324571,0.7874427,1.3677258,1.1079603,1.2539374,0.91136897,1.1147264,0.6012205,1.3481195,1.1670561,1.0418524,1.2424499,1.0629623,0.96312356,0.96361184,1.2590829,0.7220697,1.0197669,0.9831029,1.0473101,1.0113064,0.9611947,0.55435663,1.3548834,1.1063414,0.7839315,0.9692343,1.0721551,0.566261,1.0086213,1.0585545,1.4282471,0.66807145,0.9265137,0.78825104,1.0650493,0.83050567,1.0702718,0.9270088,1.2791061,1.2546523,1.2066715,1.3472273,1.2426859,1.0396974,0.4456817,0.61082953,0.8631443,1.1839387,1.2017722,1.2621204,0.97347575,1.1721566,0.95416,1.2128993,1.1096522,0.975771,1.1220615,1.1947709,1.0864055,0.91258913,1.063116,0.706939,0.9195483,0.474095,1.0153682,0.6635975,0.97171944,0.8725242,1.1180724,0.7015747,1.2625356,0.7333101,1.1825594,1.1387057,0.8249443,0.871599,0.5340673,0.8061361,0.6690874,1.4495292,1.0950865,1.2221695,0.79759055,1.2719455,1.3260398,0.74270386,0.8061712,1.2479428,1.3370044,0.91426086
ball,1.0105304,1.0177816,0.5069678,1.2491568,0.0,0.24021548,0.7433255,0.90906453,1.2267314,1.0982292,1.2454814,1.1654806,1.3223714,1.1158134,0.86146265,1.1376305,1.0295004,0.8044224,0.86015993,1.1052451,0.999899,1.0101401,0.882125,1.0196306,0.93526775,0.9364495,1.1058022,1.2051127,0.6906345,1.0116361,0.67157835,1.02689,1.217741,1.2985871,1.224225,0.8953805,1.20902,0.7878049,0.9864296,0.8859684,1.2373329,0.98480594,1.2751935,0.5792886,0.8397473,0.994076,1.0045575,0.9649947,1.0258154,0.9850688,0.8339324,0.9182925,1.0435944,0.9033469,0.79820794,1.0736852,1.0116916,1.1593139,0.8337585,0.97772586,1.0248741,1.1122909,0.9477877,1.2937669,1.1607426,1.2150891,0.8763517,1.175593,1.0939229,0.8417386,0.99598914,1.1154163,1.0315944,1.1479801,0.8050976,0.9546772,0.8840813,0.67163485,0.8647481,1.0894933,1.2946038,1.2342277,1.0934479,0.98075306,0.96253276,0.9246101,1.1621189,1.0235888,1.0282094,0.86981785,0.58166397,1.0757318,0.96796227,0.8017057,1.0970095,1.108053,0.86250186,1.1351504,0.99086636,1.2978575,0.93890786,1.2298915,1.2805896,1.2052811,1.1193722,1.1845129,0.90529335,1.1857028,0.8604318,0.9106937,1.030157,1.2091084,1.1613232,0.88641953,1.1652012,0.69178164,0.9760948,0.90165776,1.1239833,0.93897957,0.5684571,1.1127965,1.1457616,0.9916596,0.84736854,1.2096145
balloon,1.0110518,0.92765856,0.51687264,1.3349676,0.24021548,0.0,0.793591,0.9368228,1.1430942,1.0763574,1.3519456,1.0351566,1.2455322,1.2205261,0.8477572,1.2410116,1.2157019,0.67636013,0.73804283,1.2603984,0.9825913,0.9183023,0.7147358,0.87459356,0.6751423,0.8759646,0.97167826,1.1800758,0.6148797,1.0420223,0.6666113,0.9933635,1.2237675,1.3751998,1.2341169,0.77685076,1.2846138,0.58128613,1.0391947,0.957762,1.190655,1.0667217,1.3264458,0.2946704,0.9621783,0.8868546,0.77406883,1.0080665,0.90999675,0.9695608,0.89307284,1.0286219,0.99680525,0.920146,0.8104484,1.1476421,1.0607151,1.1925354,0.8104241,1.0615814,1.0963678,1.1896915,0.89551514,1.3640653,1.0720202,1.2034453,0.58835155,1.086703,1.0269624,0.90928334,0.9556687,1.2922686,1.113289,1.1741873,0.65430564,0.7622553,0.860353,0.6056548,0.7941853,1.0914583,1.3064805,1.3246448,1.256254,0.96838886,0.9261781,0.8135462,1.1385785,0.968268,1.0096364,0.8568121,0.6259992,1.1864048,1.0365635,0.79927635,0.9310221,1.2555233,1.0710136,1.2542646,1.0776007,1.3512192,1.0609049,1.3032947,1.1310639,1.2258871,0.85967153,1.1438812,0.7623329,1.2024399,0.841763,0.79192376,1.092079,1.3185654,1.2375424,0.96508586,1.2739909,0.49751616,0.82323635,0.83574104,1.0955913,0.79182845,0.75300413,1.1444097,1.0901879,0.89183205,0.7033521,1.1241767
banana,0.7484149,0.9834596,0.42629623,1.192044,0.7433255,0.793591,0.0,1.0192102,1.3128924,1.1886119,1.4002724,0.9830951,1.1736636,1.2748809,0.7540268,1.239159,1.1614761,0.8129824,0.8399527,1.287666,0.8591348,0.9794668,0.79773074,0.8195723,0.7655566,0.9105878,1.0197271,1.1581322,0.70409614,1.1665094,0.63812613,0.8848777,1.0836952,1.421293,1.0919303,0.6877486,1.3821526,0.7127436,0.95215213,0.8952407,1.297986,0.88395745,1.3016592,0.8412323,0.8184804,0.7590726,0.82793033,1.1281012,0.92588973,0.8897791,0.61674076,1.1014504,0.9127239,0.8954384,0.73936427,1.1598954,0.9628905,1.0718869,0.82060134,0.9762363,1.1764109,1.2678566,1.0354851,1.4246203,0.94206446,1.2153127,0.7819938,1.1448973,0.82558596,0.8125793,1.0632497,1.1582333,1.2575936,1.0351075,0.72949255,0.8516576,0.8386517,0.8008144,0.67104375,1.0123817,1.292011,1.2819574,1.2702122,0.9477069,0.9026289,0.8524137,0.89855695,1.0334473,0.94605964,0.8566847,0.74520826,1.2604144,0.937103,0.8151687,1.1063107,1.1453075,0.82953775,1.1667092,0.97308266,1.4174409,1.1706086,1.2411596,0.8567723,1.3018184,0.9976798,1.3706275,0.70809,1.1507962,0.48933542,0.7790234,1.1117122,1.2680748,1.3268617,1.1631097,1.3533492,0.62233174,0.7525723,0.6910693,1.0546503,0.8341035,0.6444884,1.1679845,1.0773177,1.0538726,0.70478463,1.2928845
basket,1.0174098,1.1599636,1.0830371,1.1165539,0.90906453,0.9368228,1.0192102,0.0,0.96543,0.9934869,1.0013677,0.9252771,0.7975236,1.1375453,0.9204123,0.91723967,0.89149165,0.8017359,0.7966075,0.8979164,1.0062846,0.8027443,0.6994972,0.9889463,0.77631027,0.7551675,1.0629684,0.7877679,0.90117383,0.99910283,1.0636746,1.0769266,0.8839521,1.0493208,1.1008415,0.84933937,0.7004743,0.819458,1.1017756,1.1025772,0.8813844,0.88937473,1.2123682,1.0166484,1.180971,1.1997694,0.9484152,0.9173192,1.1920451,1.0367596,1.0595479,0.99053204,1.1742827,0.9498136,1.1049521,1.2077063,1.063187,1.2899233,1.0192211,1.0503845,0.9833527,1.103091,0.8306073,1.1991323,0.81940013,0.7935351,0.8257353,1.2412643,1.0553216,1.1595879,0.8990169,1.1163453,0.94665116,1.1629301,1.0787668,0.92262447,0.9702436,0.9329044,0.9641033,0.79048085,1.3056293,1.177105,0.97841674,0.69801426,0.7125129,0.78828263,1.1549997,0.81261903,1.0431526,0.92500293,1.091896,0.90544516,0.8160809,1.0779802,0.7221549,1.0480582,1.0421783,1.1202831,1.0116544,1.1960002,0.8938453,1.2707903,0.9714811,1.050708,0.7714926,0.98983926,1.0377777,1.1338302,1.1450427,0.9232233,1.0543271,1.0528146,1.1466788,1.0620815,0.9286464,0.84990937,1.2105486,1.0557674,1.1450301,0.86518264,0.9734992,1.0346879,0.9460243,0.7374303,0.9151843,0.9662513
bathtub,1.2160728,1.082535,1.3644598,0.83946073,1.2267314,1.1430942,1.3128924,0.96543,0.0,0.8969539,0.68473035,1.0731965,0.79982877,0.80297357,1.2759917,0.8965584,0.9446013,1.182481,1.2046154,0.74621475,1.2335465,1.0173693,1.0865992,1.1997409,1.154859,1.0809529,0.98533285,0.7908791,1.3280518,0.8671174,1.1573403,1.1857972,0.9752361,0.69817734,0.9994419,1.3561851,0.3987187,1.1696718,1.0858883,1.0459446,0.64448756,0.93333,0.78282064,1.0888938,1.1432068,1.2074687,1.2598156,1.0101204,1.0633622,1.1694195,1.2924659,0.7374952,1.1455139,1.2030748,1.1955924,0.911481,1.0497202,0.88352114,1.233872,1.062516,0.82122535,1.0118332,0.889948,0.7457173,1.1996038,0.8231557,1.1384413,0.88335115,1.1257418,1.0942384,0.9244404,0.9604278,0.9076445,1.1039236,1.2697539,1.2573655,1.32368,1.2665676,1.2265109,1.0549132,0.8339528,0.8649809,0.79793453,1.2479651,1.2477797,1.1939384,1.1503999,1.0512676,1.1776034,1.1844887,1.2260768,0.7912828,0.98748875,1.2146143,0.81874454,0.9366633,1.1435801,1.0248734,0.97338915,0.7841805,0.7249198,0.78255343,1.1810037,0.53588146,0.6229247,0.3512106,1.2900041,0.9500678,1.2325393,1.2305402,0.6491297,0.8155464,0.7290468,0.965179,0.7370249,1.1526794,1.2112132,1.2613707,0.9361877,1.3015927,1.088878,0.90804404,1.0463046,0.9845216,1.3273926,0.68810856
bear,1.0585951,1.1061392,1.1427367,0.91496676,1.0982292,1.0763574,1.1886119,0.9934869,0.8969539,0.0,0.8085033,1.0301557,1.0187583,0.87110114,1.0237836,0.82191896,1.075925,1.1505544,1.1288891,0.9743468,1.0756332,0.93756187,1.201618,0.9710627,1.1261153,1.0033702,0.44529665,1.0132165,1.0611784,1.0941619,1.1844368,1.0501654,0.96454084,0.85180897,0.97412467,1.120146,0.847985,1.2096701,0.78947496,1.1265192,0.91590315,1.189714,0.8472969,1.0012931,1.0717809,1.095734,1.0038097,1.0357876,1.1312355,1.098519,1.1508166,0.9442319,1.0004249,1.0923103,1.1625048,1.0447003,1.0608001,1.0700572,1.041885,0.9716615,1.013213,0.872398,1.1398002,0.79123664,1.1047091,1.0564724,1.0872805,1.0657085,0.94508094,1.1247828,1.1288325,0.9689183,0.9840686,1.0084814,1.0002158,1.1093941,1.0737959,1.0244106,0.9974074,1.1031116,0.88433063,0.81919813,0.9253677,1.1550661,1.1560762,1.047372,1.0985928,1.0870068,1.1209663,0.90559757,1.1412737,0.9350662,1.1106199,1.041447,1.0923154,0.83053195,1.0528309,0.9433013,1.098326,0.92215747,0.9222992,0.9271972,1.1195562,0.9789901,1.0151676,0.7381573,1.0419606,1.0365745,1.1709666,1.1967715,0.7735374,0.9946967,0.7896253,0.9541689,0.91140133,1.1487966,1.1029096,0.9966305,1.0697507,1.1076368,1.1476933,1.0744853,0.9745064,1.1221105,1.0588411,0.8271101
