Total categories: 279
  tiger: 69 embeddings
  tights: 4273 embeddings
  tissue: 2546 embeddings
  toast: 99 embeddings
  toe: 17660 embeddings
  tongue: 20 embeddings
  tooth: 256 embeddings
  toothbrush: 2023 embeddings
  towel: 21973 embeddings
  toy: 30492 embeddings
  tractor: 185 embeddings
  train: 119 embeddings
  trash: 217 embeddings
  tray: 6894 embeddings
  tree: 1244 embeddings
  tricycle: 92 embeddings
  truck: 42 embeddings
  tummy: 76 embeddings
  turkey: 14 embeddings
  turtle: 2 embeddings
  tv: 76141 embeddings
  underpants: 5720 embeddings
  vacuum: 2230 embeddings
  vanilla: 6 embeddings
  vitamin: 2 embeddings
  walker: 295 embeddings
  watch: 1540 embeddings
  water: 79 embeddings
  wind: 4 embeddings
  window: 34289 embeddings
  wolf: 2 embeddings
  yard: 452 embeddings
  yogurt: 412 embeddings
  zebra: 213 embeddings
