,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.3544817,1.0217104,0.7169206,1.102912,1.3345182,0.9652272,1.416141,0.82561624,0.542614,1.4044113,1.0283843,0.6106427,0.53034896,0.5011928,0.9183507,1.5201037,1.3323436,0.9391043,1.1830914,1.440214,1.553712,0.93631005,1.5692633,1.1157182,0.9544898,0.793354,0.9849334,0.8840387,1.3733335,0.8501485,0.83468735,0.90958506,1.2095368,0.8323638,1.0548929,1.4802642,0.68168074,1.5533347,0.83115155,0.88362586,0.6787329,1.1418339,1.1120036,0.72260666,1.220447,1.2516922,1.3258868,0.8237955,1.2544119,0.72748566,0.64881516,1.0750008,1.1219567,1.2678232,0.4478053,0.79823065,1.4203203,0.67627597,1.1595414,0.84558696,0.85283685,0.8641583,1.2502606,1.0207322,0.9732172,0.6895946,1.1326417,0.6656793,1.2748988,0.86319494,1.4668796,0.93025535,1.0162387,0.8340437,0.9342884,0.25600857,1.3043667,0.9132455,0.85135174,1.4285266,1.0348866,1.2628787,1.2869809,1.2885084,1.0700836,0.5492287,0.58371234,0.7773185,0.6872121,1.4569199,1.4685621,0.82196045,0.9294822,1.369762,0.9931904,1.3014812,1.1421053,0.99701077,0.91721845,0.7995613,1.4379644,1.2867466,0.99821144,1.1589504,0.6769058,1.0187194,0.7025645,0.77365744,0.7931051,1.3206646,0.7377554,1.0388496,0.65248,1.4522058,0.8998194,1.3643286,1.0272301,1.2529302,1.2293164,1.2816682,1.2494509,0.73894167,0.7976675,0.6287205,1.3827801,1.2620437,1.4014189,0.97808653,0.878813,1.0659062,0.75553834,1.4656568,1.4782801,1.0589857
apple,1.3544817,0.0,0.6065995,1.3975664,0.44595248,0.44806147,0.5891164,1.0734036,1.4579043,1.5384091,0.7675998,1.4324424,1.4286321,1.3903675,1.4997358,1.1459639,0.41093367,0.74332696,1.4055557,0.5713099,0.8586514,0.77394396,0.9197948,0.8825621,1.1640053,0.7396518,1.3717208,1.569753,1.0662757,0.60619056,1.4600477,1.301125,1.177935,0.5864604,1.4251373,0.7803558,0.38163245,1.5831785,0.50523686,1.2522268,0.97199553,1.0038682,1.3849586,1.3738513,1.3733516,0.89982533,0.4212953,0.76323956,1.143748,0.67090225,1.14609,0.888059,0.82084346,0.94943047,0.9398504,0.8527467,1.3586366,0.42166197,0.97134143,0.53460747,1.1650276,0.7484766,1.2295219,0.71236753,0.94104713,1.3966862,1.1844349,1.0642426,1.4372344,1.0695003,1.5972438,0.6998239,1.1366681,0.8991946,0.9303417,1.1527537,1.2417526,0.967158,1.3038089,0.8967184,0.21340066,1.0660093,0.8002251,0.62781215,0.20335603,1.4263821,1.207214,1.4586849,1.4593672,1.4760437,0.51959807,0.48627472,1.0624201,0.75033796,0.6889273,0.8749106,0.61463594,1.001316,0.9501693,0.51072437,1.5152597,0.92198336,0.7665435,1.4571617,0.8667866,1.2885091,0.8993848,1.481554,1.2220085,1.4163945,0.7166774,1.360388,1.2837701,1.4021907,0.3642665,1.2612209,0.2880001,0.6680275,0.8700247,0.9375777,0.7951495,0.44573897,1.4530759,1.462095,1.4924288,0.44261903,0.68791735,0.43143415,1.0485332,1.1357181,0.430874,1.4335976,0.9185494,0.42641407,1.2942281
applesauce,1.0217104,0.6065995,0.0,1.0430464,0.84257627,0.95431507,0.77747136,1.2406583,1.2845628,1.2105501,1.0652057,1.2901862,1.1098943,1.065581,1.1673886,1.0501562,1.0434604,1.1446314,1.2159535,0.81003433,1.1644675,1.0721709,1.0917207,1.1387037,1.1167817,0.7794397,1.2976491,1.3335402,0.8776104,1.0374216,1.2721074,1.0462314,1.1041999,0.8451847,1.1836623,0.8159889,0.93045104,1.2756987,1.081203,1.1391314,1.0063916,0.64047146,1.3441589,1.2640371,1.0598202,0.92975724,0.809906,1.0050638,0.8845248,0.761347,0.96402025,0.935522,1.0343847,0.8603926,1.0925934,0.68417335,1.0718393,0.8752928,0.7170147,0.83009875,0.9852199,0.3504002,0.9976426,1.007364,0.81933284,1.3337996,1.0369554,1.0577589,1.1270599,1.1734496,1.3076229,1.1007192,1.0162867,0.7512922,0.8958614,1.2051011,0.8286582,1.152096,1.0892662,0.8608146,0.8400092,1.2178425,0.92848045,0.88978976,0.5894399,1.282469,0.9530002,1.1518509,1.158849,1.2303679,0.98363,0.9596237,0.9474304,0.7751931,1.0369033,0.8443996,1.0724051,1.1573046,0.8127198,0.60401136,1.2930263,1.1855443,0.9760994,1.2686777,0.99535775,1.1695949,0.99694407,1.1394888,1.0169117,1.1176236,1.0627279,1.1291646,1.2736602,1.1678928,0.9221412,1.1921812,0.8657837,0.71856236,1.1689702,1.1227188,1.0757587,0.8688395,1.1550233,1.2129161,1.2345653,0.8898469,0.7773985,0.8199094,0.9483267,1.2565484,0.65182716,1.2008482,1.1909083,0.8557086,1.2427039
arm,0.7169206,1.3975664,1.0430464,0.0,1.4177122,1.3594174,1.3425869,1.290163,0.59774387,0.59517306,1.2676129,0.89721835,0.38589156,0.76758444,0.64876646,1.0560848,1.4592857,1.3484913,0.86555094,1.2694279,1.2909466,1.308015,1.2679441,1.3035369,1.08915,0.9687158,0.82196033,0.7644087,0.6518071,1.4802065,0.68880343,0.87668955,0.8943977,1.3927581,0.7952696,1.1025449,1.4571767,0.6357567,1.4204106,0.92081887,1.2473688,1.0031172,0.8626734,1.0039965,0.4303378,1.0774415,1.2333604,1.2226204,0.7044284,0.8381959,0.84671056,1.1625547,1.3677081,0.8975413,1.2030432,1.1764317,0.5660012,1.2443092,0.951392,1.384009,0.6922697,1.0975132,0.4260459,1.2916952,1.2188507,0.9132595,1.0247529,1.0638175,0.54515123,1.0876696,0.70686114,1.3277903,0.56362563,1.1301739,1.0427799,0.983412,0.7041132,1.2092087,0.95290834,1.0676601,1.3874795,1.1918485,0.89274883,1.1868029,1.3061913,0.8272956,0.85904014,0.50176173,0.5658106,0.62978864,1.3812574,1.3980129,1.0922694,1.1009555,1.3002677,1.0599885,1.4197922,1.1213415,1.1544869,0.91191447,0.86589247,1.3974683,1.2146941,0.79969656,1.3043832,0.8403193,1.30598,0.4331382,0.9860957,0.5468507,1.3774145,0.5198553,0.8650374,0.6595689,1.4411997,0.867035,1.4187478,1.3290391,1.1501418,1.1870375,1.2610056,1.3761115,0.8596485,0.55915177,0.59044814,1.5001051,0.88896143,1.2835332,0.7224608,1.1780994,1.5222373,0.7215718,1.3238072,1.2757477,0.92537755
ball,1.102912,0.44595248,0.84257627,1.4177122,0.0,0.50221074,0.79240537,1.0635633,1.3152828,1.3050721,0.9222763,1.2401397,1.3457543,1.3024464,1.2683394,0.91252613,0.5988098,0.711184,1.1566504,0.7772658,0.9170325,0.77135015,0.88074017,0.9608237,1.116909,0.7642106,1.3357732,1.3803535,1.2331865,0.54924273,1.3210139,0.99056923,1.0959405,0.6890347,1.2644569,1.1524026,0.6676774,1.3632839,0.6548264,1.1485323,1.0072936,0.9161096,1.2718375,1.205295,1.294545,1.0834736,0.4872499,0.9335898,1.205069,1.0284324,1.0932565,0.8254826,0.8574355,1.0431248,0.9662599,0.77063656,1.3444525,0.90342563,1.0368922,0.4323728,1.2588502,0.84624916,1.3210434,0.7732995,0.8722624,1.3126504,1.0299542,0.8259027,1.3719945,1.0602423,1.4464493,0.8299645,1.1919947,1.0505786,0.89745027,0.9298374,1.072149,0.9266846,1.1975803,0.88836455,0.6122616,1.032289,1.1763669,0.88395125,0.45061833,1.2524868,1.1131212,1.2872221,1.4010004,1.2858316,0.82566917,0.77874315,0.8905889,0.9795313,0.9087349,0.9880134,0.7575611,0.99078184,0.8923419,0.7468343,1.2100635,0.7810149,0.9049125,1.1782382,0.9959976,1.1612158,0.74607056,1.4081007,1.017626,1.3371667,0.6714804,1.2431049,1.1623274,1.3506917,0.69177836,1.1290278,0.66615707,0.76386917,0.86165166,0.8963505,0.67985904,0.5724945,1.1860995,1.3329165,1.2861385,0.36560595,1.0405476,0.81497097,1.0761673,0.9514263,0.34308708,1.2101221,0.9085783,0.860397,1.2643538
balloon,1.3345182,0.44806147,0.95431507,1.3594174,0.50221074,0.0,0.8984078,0.9511465,1.213846,1.4194702,0.43968344,1.1242832,1.4161373,1.3853503,1.4125161,1.0799416,0.47417432,0.58027047,1.1690104,0.85890865,0.46565616,0.70294994,0.828634,0.6334126,1.1053684,0.8226307,1.1130261,1.3524578,1.1883209,0.54641044,1.2848747,1.3063512,1.002111,0.8509523,1.2975149,1.1643203,0.52032226,1.4246901,0.46920478,1.2796128,1.1144403,1.1721269,1.0241836,1.1039637,1.4001763,1.0156113,0.53473836,0.56415015,1.221116,0.9359276,1.1158949,0.87591666,0.87580985,1.0497587,0.8226707,1.0961584,1.371487,0.70839834,1.1842589,0.7930508,1.2381499,1.026669,1.2718766,0.6797638,0.9591058,1.2110504,1.087467,1.0608761,1.4137467,0.9292072,1.4473697,0.4500867,1.181261,1.1200014,1.1545271,0.92580664,1.3167548,0.5422049,1.2940502,1.0949199,0.42616677,0.9139519,0.8947091,0.779988,0.4809469,1.0718974,1.2750437,1.4212087,1.3806239,1.3058707,0.592185,0.6066404,0.9405862,1.1215534,0.6164319,1.0819745,0.617456,0.92709655,1.0371283,0.90986276,1.3911558,0.76250327,0.71864367,1.1057272,1.0082139,1.2254041,0.86480147,1.4272165,1.3448704,1.3415984,0.5097856,1.2852932,0.9617288,1.3502942,0.6188016,1.184185,0.5465947,0.8030441,0.7492846,0.84389544,0.685737,0.5911454,1.3511227,1.32724,1.3973124,0.5283438,0.97285604,0.74042946,1.2104003,0.97528744,0.7438396,1.3174213,0.6459987,0.7014213,0.88624793
banana,0.9652272,0.5891164,0.77747136,1.3425869,0.79240537,0.8984078,0.0,0.94163847,1.2598176,1.3820195,0.8702026,1.2025926,1.2828925,1.2506657,1.2255837,1.0380276,0.7719413,0.80580604,1.2163739,0.687835,0.91254056,0.925103,0.731748,0.99545896,1.0330634,0.87159264,1.3012424,1.3628232,0.958072,0.8352281,1.3301759,1.2244985,0.96330005,0.71786726,1.2672858,0.71757394,0.65142536,1.4144418,0.8348632,1.1150897,0.90508807,0.96927375,1.3032355,1.196013,1.3087311,1.0516058,0.81016636,1.0172207,1.2657433,1.0226624,1.0482411,0.85797,0.7165784,0.9986781,0.8204001,0.39329565,1.2276301,0.9028835,0.66245055,0.62704366,1.294666,0.7417625,1.1803648,1.0011976,0.8954236,1.2187794,0.96833354,1.0344555,1.2671664,0.8543395,1.3780477,0.9685858,1.2373334,0.82939875,0.887066,0.98845756,1.0704927,0.9824922,1.2701144,0.74080855,0.8269199,0.64017695,1.0784655,1.0500426,0.69426227,1.2042739,1.2295392,1.3177338,1.3070427,1.2506814,0.72250795,0.6724749,0.9549765,0.45127487,0.81889015,0.83618164,0.6716507,0.8525583,0.9026788,0.89848137,1.1780288,0.89996094,1.0819618,1.252738,0.99274254,1.290875,0.60617274,1.3837309,0.95290905,1.2834203,0.7258555,1.3616827,1.0715053,1.1113224,0.7357124,1.2397656,0.5671792,0.6327529,0.9829837,0.72908366,0.9120616,0.77434856,1.2534137,1.3468835,1.297739,0.60369897,1.0160937,0.8867786,0.8934156,0.679173,0.5026978,1.1309843,0.870644,0.8669247,1.231664
basket,1.416141,1.0734036,1.2406583,1.290163,1.0635633,0.9511465,0.94163847,0.0,0.9817972,1.1667166,0.7306475,0.63709897,1.2990727,1.2871264,1.1626003,0.811862,0.73706806,0.64897025,0.72527415,0.99565196,0.6119269,0.591024,0.9076829,0.5571273,0.8567017,1.1125969,1.0597445,0.74760836,1.1458049,0.76186395,1.0032064,1.0964305,0.8288657,0.9396469,0.8852231,1.0713555,0.78424776,0.85049325,0.6792974,0.99800414,0.97706777,1.1362104,0.741159,0.6044833,1.329918,0.9775288,1.0721048,0.8309369,1.2748829,1.0932035,1.1509789,1.1202843,0.8326088,1.0377458,0.65516126,1.2333899,1.0648817,0.96240515,1.1424716,0.94299126,1.261188,1.1772716,1.1690406,0.99788624,1.035811,0.8756354,1.0845835,0.89208513,1.274508,0.743606,0.7970451,0.6945246,1.1116061,0.95019585,1.1918218,0.93195885,1.3757606,0.7504514,1.0223638,1.0874258,1.0005453,0.7457484,1.0620075,1.1081153,1.0655105,0.8432961,1.32673,1.2732444,1.2215506,1.0753694,0.76400876,0.761837,1.112678,1.0551814,0.69059443,1.0272847,0.67878205,0.7511953,1.1009054,1.3729317,0.92709315,0.48222226,0.93493754,0.82978094,0.8470119,1.2748199,0.9457302,1.266093,1.0676717,1.2341185,0.77568567,1.1769019,0.79579175,1.1124893,0.8496062,1.0476631,0.93489885,0.9421052,0.848019,0.75200033,0.9060947,0.9476886,1.0600555,1.134117,1.1903971,0.7734153,1.1025465,0.9778543,1.1112041,0.8245393,0.9772455,0.90055674,0.53673655,0.8985086,0.8169526
bathtub,0.82561624,1.4579043,1.2845628,0.59774387,1.3152828,1.213846,1.2598176,0.9817972,0.0,0.52507246,1.2701584,0.6237229,0.61971426,0.847173,0.6015729,0.929185,1.426565,0.8522998,0.59403133,1.1197596,1.2120447,1.2889552,1.1492262,1.2714283,1.0633465,1.0935915,0.6639117,0.6238023,0.91557425,1.1391726,0.5488713,0.79408216,0.9725237,1.1198094,0.73691916,1.0810841,1.5077436,0.5736531,1.2746857,0.7365806,1.1264148,1.1157076,0.62404263,0.6984899,0.76159865,1.2221708,1.0556214,1.2484607,0.9837774,1.2425916,0.85610765,1.1362832,1.3159583,1.1910155,1.0668274,1.1890332,0.76480585,1.4096369,1.1049722,1.3837237,0.97750175,1.1617146,0.76391506,1.3705634,1.2227197,0.8223083,0.90776485,0.96673673,0.708375,1.1171547,0.6621021,1.0698678,1.0351138,1.1795145,1.0432146,0.8096373,0.83003795,1.1151145,0.9767072,0.88122386,1.4171048,0.919448,1.1666799,1.3425492,1.2865028,0.6998034,0.83988863,0.68456924,0.7231959,0.53604925,1.4262874,1.3927231,1.0367771,1.1504093,1.3446009,1.0488669,1.3079498,0.59390885,1.1819379,1.1526785,0.82507986,1.1962657,1.2686749,0.63533276,1.3937473,0.86016256,1.2536668,0.70283777,1.0369573,0.7515458,1.3175966,0.48606247,0.32970643,0.7197778,1.496521,0.70344293,1.374655,1.2369652,0.9090353,0.9972513,1.2394665,1.3503263,0.92119956,0.7185218,0.445917,1.2530842,1.29658,1.4395553,1.0493568,0.9409555,1.4816574,0.40600818,1.2690612,1.4785047,0.6933826
bed,0.542614,1.5384091,1.2105501,0.59517306,1.3050721,1.4194702,1.3820195,1.1667166,0.52507246,0.0,1.440931,0.6241178,0.4400388,0.5481492,0.19875777,0.7323002,1.5041443,1.319205,0.5693838,1.425477,1.3595144,1.4612198,1.271684,1.3578578,0.9952427,1.1723235,0.61676866,0.52278095,1.0785235,1.3668975,0.4430446,0.7242234,0.98062664,1.4015404,0.43061805,1.2914417,1.609615,0.24165928,1.5388985,0.64269483,1.0117626,0.85117894,0.7313868,0.7325989,0.54002047,1.2147307,1.3406968,1.2356033,0.74600494,1.3299683,0.67721653,1.167964,1.3516295,1.1559753,1.3368888,1.0949956,0.7494434,1.4093324,1.1209924,1.4155321,0.7639951,1.0406088,0.92799556,1.3062239,1.2250061,0.87826973,0.800263,1.0652307,0.44421226,1.3046571,0.46791643,1.3441738,0.91821575,1.1916485,0.94644564,1.0243531,0.621425,1.3070104,0.7974567,1.0770802,1.4623389,1.140913,1.2788881,1.3802295,1.4290966,0.76528674,0.6529482,0.4348197,0.5218622,0.4166566,1.5602869,1.4949956,1.0541185,1.2200712,1.370848,1.1564685,1.4234518,1.095047,1.1596882,1.1282111,0.6507691,1.2672275,1.2727194,0.6436037,1.4214447,0.57282376,1.3312947,0.48605067,0.93378556,0.5691131,1.5118508,0.45410436,0.86355245,0.49227136,1.5440865,0.5887372,1.4515747,1.4075005,1.29004,1.332855,1.4109508,1.4618511,0.6418626,0.57799965,0.2533586,1.4902487,1.3276753,1.5096405,1.1285659,0.9930985,1.4505923,0.52619565,1.390036,1.4976871,0.82106596
