,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,mop,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,refrigerator,scissors,shirt,shoe,shovel,sink,slipper,soap,strawberry,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch
alligator,0.0,1.1774111,0.9931611,0.8869065,0.85821444,0.9329149,1.1563948,1.0689216,0.6351613,0.6629597,0.95922863,0.71966314,0.7142963,0.86300915,0.9420997,1.2200913,0.9120344,0.94739175,1.2432351,1.168732,1.2129552,1.2494677,0.9800352,0.8610274,0.9941655,1.0154678,0.9378369,0.89169496,0.85220075,1.1910574,0.68721855,1.141315,1.0469937,0.88613963,1.0457928,1.0924093,1.1177446,0.9774213,1.1982372,1.0857255,1.1099974,1.051763,1.1046164,1.062188,0.9849515,1.1366189,1.082778,0.9426314,1.1661187,1.0768844,1.090516,1.0397296,0.8486574,1.0284796,0.97655374,0.8081854,1.0692904,1.1806309,0.94164336,1.1491421,1.2527297,0.55709994,1.0337322,1.1054186,1.1597254,0.845935,0.8468778,0.93943477,0.87631905,1.1180514,1.1130793,1.1163449,1.1491423,1.0548178,0.8850717,0.98937553,1.0466778,0.92939436,1.0039362,1.1621393,0.6610868,1.2784123,1.0443304,1.1815398,0.9023252,0.79191697,1.1511452,1.2576773,1.1098864,0.6217514,0.9913977,0.9513028,1.2299483,1.1320956
apple,1.1774111,0.0,0.9002363,1.2357726,0.9799089,1.0001408,0.7180349,0.95853657,1.3491733,1.4545369,1.3913252,1.3523507,1.3520834,1.1393707,1.0973179,0.6046175,0.8551981,1.3184686,0.639881,1.0381204,0.6446391,0.79891354,1.1441422,1.1442472,1.4118267,1.0049505,1.2693048,1.4232596,1.0766149,0.5415581,1.4927828,0.6759158,0.6982254,1.3132217,0.92817056,0.7751408,1.1748486,1.2850759,0.44392908,1.246584,0.81411064,0.8523317,0.9439812,0.5966577,0.903044,0.71561,1.0697336,0.72149825,1.1026895,0.90951824,1.008752,1.3770175,1.2783668,1.0110736,1.2154567,1.1062945,1.3841535,0.6643578,1.3837318,1.1782272,0.51462936,1.1701691,0.9266731,0.8992692,0.59869564,1.390157,1.3751992,1.1746811,0.9647646,0.62941504,0.654849,0.7465271,0.7668861,0.6476337,0.98362064,1.3121334,0.66141444,1.3577191,0.90351236,0.77541727,1.2507896,0.48629433,0.64772356,0.4224459,1.3895284,1.3522406,0.61285484,0.7163751,1.0102081,1.0220906,0.7105412,1.2325538,0.99666095,0.859801
applesauce,0.9931611,0.9002363,0.0,0.870752,0.81068826,0.81149834,1.0123787,1.0480402,1.0704088,1.032421,1.0590432,1.0994668,1.1930166,0.9923522,0.91290057,1.2290771,0.8074454,1.0350703,1.1133261,1.1862451,1.2123356,1.1286331,0.9486861,1.1498337,1.0596179,1.0201706,0.75279033,1.147457,0.8082278,1.1717353,1.1500764,1.077885,0.68819463,0.98246264,0.8716992,1.1058855,0.97474474,1.0831,0.81225765,1.0826572,0.84539574,1.1310217,0.98336136,1.009204,0.94633317,1.1405736,0.93455094,0.62562793,1.1120559,0.7690586,0.77517277,0.9405927,1.1770719,0.9993472,1.0077547,0.81911224,1.0968221,1.0347418,0.90006995,1.0790257,0.9814942,1.0283695,0.9416545,1.0776995,1.1130191,1.0775497,0.8722103,1.21037,0.9830787,1.1535966,1.1717622,1.1109928,1.1776326,0.7619971,1.0638885,0.9999551,1.0522228,1.0946321,0.93644655,1.1822988,1.1356102,1.1173726,1.1417154,1.1595991,1.1207277,0.891783,0.92808396,1.0462914,1.2070591,1.0734988,0.9623976,0.8057718,1.2773507,1.1302968
arm,0.8869065,1.2357726,0.870752,0.0,0.9080035,0.73223084,1.2621834,1.2189381,0.8472988,0.6780414,0.8945968,0.6311562,0.8546665,0.83501226,0.95347977,1.3468521,0.9527565,0.97762984,1.242609,1.2173402,1.3571875,1.3804269,1.0181121,1.0298353,0.9458502,1.0630025,0.8336433,0.8587318,0.7315611,1.3900149,0.7146645,1.2359966,1.0552608,0.74788266,0.9050036,1.3488381,1.0879971,0.7426052,1.0949444,0.8113097,0.91214573,1.2644203,1.0879743,1.2612072,1.0291564,1.2656869,1.0822558,0.9709875,0.89152855,0.79319036,1.0264165,0.9398198,0.8840394,1.1031274,0.8404845,1.0751162,0.88797295,1.1986024,0.7781877,1.1544455,1.1994268,1.0192031,1.0708215,1.0626355,1.2819057,0.78600574,0.5619555,0.9753865,1.1353619,1.425226,1.3960035,1.3960228,1.3027966,1.0852915,0.99552584,0.8057995,1.2524405,0.59001535,1.0815542,1.2121539,1.0466663,1.3886865,1.3329,1.1944747,0.6383177,0.64323217,1.2728525,1.1529385,1.1022339,1.1286077,1.2278534,0.7781695,1.3157421,1.1049469
ball,0.85821444,0.9799089,0.81068826,0.9080035,0.0,0.73791325,1.1404278,1.1553797,1.0671607,1.0109658,0.9257038,0.9732026,1.0157934,1.0594862,1.1680641,1.145354,0.87552786,1.1765045,1.0420591,1.1664147,1.0095419,1.1610855,0.85025644,0.7992008,1.0278685,1.1625973,0.8828213,0.90462375,0.95532376,1.2218065,1.0439888,1.0615838,1.0068144,0.8747539,0.9505143,1.1003937,1.1692342,0.9266914,0.8561672,0.99626565,1.0141315,1.0978148,0.8772868,1.1464187,1.0565673,1.0922436,0.9519425,0.9099723,0.96276206,0.9398181,0.7720679,1.03563,1.0088567,1.0356233,0.8526109,1.0465125,1.0907431,1.060312,0.81309247,1.0972184,1.1051012,0.9857152,1.0534143,0.8965231,1.0990437,1.0292761,0.95940375,0.97053784,1.0529618,1.204912,1.2276284,0.9130257,1.0707293,0.97313833,1.1106029,0.8284554,1.0849764,1.0183448,1.0886678,1.0447451,1.042671,1.1958137,1.0652293,1.054884,0.9771268,1.0015587,1.10486,1.1461595,0.997095,0.9519695,1.0823393,1.0463762,1.189495,1.1445706
balloon,0.9329149,1.0001408,0.81149834,0.73223084,0.73791325,0.0,0.97702944,1.0828979,1.0377301,1.0685791,1.061709,0.98655593,1.0820544,1.0379378,1.0302436,1.0852283,0.75794154,1.0955985,1.0151635,1.0809526,0.9876108,1.0881488,1.1695082,1.0069395,1.0942338,1.159488,1.0023175,1.1130909,0.8384944,1.2088292,1.0544419,0.9649057,0.8338938,0.9339364,0.56666106,1.1772308,1.1462567,1.0963644,0.7625498,1.022959,0.83946353,1.1363791,0.96636295,1.1148862,0.898956,0.940525,1.2050217,0.84429866,0.9661975,0.71279204,0.8040974,0.97499007,1.0865312,1.0060626,1.0794554,1.1424512,1.0718817,0.95597935,1.0135953,1.121594,0.8985939,1.0837218,0.97911257,0.8842713,1.0718921,1.0669686,0.9772643,0.9766926,1.0861022,1.3336716,1.2735746,1.0472813,1.1359305,0.81463766,0.93301094,1.0082202,1.1585789,1.0045725,1.1295679,1.0000919,1.1262076,1.0461547,1.2601495,0.8658676,0.9492425,0.95125926,1.0020792,0.9575281,1.0333229,1.1083179,0.89898515,0.90254825,1.1353025,1.1156731
banana,1.1563948,0.7180349,1.0123787,1.2621834,1.1404278,0.97702944,0.0,0.8371497,1.2660203,1.5123839,1.3285804,1.2368038,1.3716972,1.1924105,1.2443238,0.48751414,1.0966561,1.3027045,0.55419135,1.0035387,0.4832307,0.57383186,1.2187737,1.0058522,1.2138734,1.1425807,1.3307841,1.3412008,1.2381991,0.514966,1.4534686,0.66595876,1.0323024,1.0859643,0.9569709,0.7344405,1.1733239,1.21426,0.90322506,1.0861341,0.95906675,0.6426277,0.8093295,0.7138587,0.9712763,0.6827687,0.9355267,0.99856377,0.9382033,0.91240376,0.93031627,1.021503,1.3394994,0.9085927,1.2033932,0.8523228,1.2157826,0.68850696,1.3385738,1.1713729,0.53293276,1.199493,1.0079882,0.766848,0.68341064,1.3040798,1.2572497,1.0288577,1.1371578,0.6176212,0.6708496,0.5822418,0.5876194,0.93785596,0.98368156,1.3041577,0.87781465,1.2423259,1.0029474,0.79870737,1.2394693,0.48775136,0.70916307,0.63315475,1.2778997,1.4452772,0.75175,0.7073741,0.86184454,1.0429779,0.86690414,1.3662589,0.9084051,0.8264645
basket,1.0689216,0.95853657,1.0480402,1.2189381,1.1553797,1.0828979,0.8371497,0.0,1.1208949,1.1275811,1.0063149,1.1536705,1.062109,1.1373469,1.0550935,0.9228666,1.0673625,0.7643951,0.88720715,0.87741554,0.79031247,0.5679854,1.0997986,0.8635471,0.7972201,1.0495483,1.0581119,1.0647774,1.0393096,0.94145954,0.9531063,0.94467664,1.0706695,1.10569,1.1486225,0.56564224,0.6783626,1.1631672,1.2102083,1.1879461,0.97138375,0.70004636,1.0614916,0.82609916,1.0054636,0.9356716,1.1772945,1.1741903,1.0397909,1.1543165,1.079958,0.87420976,1.0734624,1.0100683,1.0797411,0.80466914,0.8112447,0.75016725,1.2472343,1.0112506,1.0812,1.0467259,0.95772636,1.0355828,1.0762528,1.0199326,1.1736132,0.7766403,1.0174848,0.82644135,0.8541225,0.83922803,0.68934315,1.0017248,1.038175,0.93822235,0.8985258,1.1431875,1.0144355,0.8121033,0.94352466,0.9978473,0.8947509,1.0566969,1.1612968,1.2306848,0.96534485,1.0692049,0.73281366,0.9983953,1.0325685,1.2110052,0.74053645,1.1531869
bathtub,0.6351613,1.3491733,1.0704088,0.8472988,1.0671607,1.0377301,1.2660203,1.1208949,0.0,0.529889,0.68590397,0.6876017,0.507419,0.93502736,1.0323917,1.4998549,1.0972966,0.7306816,1.2556909,1.2605692,1.3958274,1.2943088,0.9838116,0.8194283,0.7498841,0.9311628,0.8492462,0.5592086,0.80534303,1.4151603,0.41945714,1.4394741,1.2162594,0.64009845,1.0986309,1.2000034,0.94847035,0.814868,1.2656902,0.9639233,1.1790366,1.1484597,0.90033793,1.3214148,1.1658384,1.2489822,1.098888,1.271985,1.0094849,0.9877996,0.9591074,1.0690714,0.56445146,1.0067356,0.9032678,0.9320296,0.88558084,1.4046698,0.693086,1.1144412,1.357924,0.30473852,1.1591039,0.9235606,1.3434991,0.68177545,0.81225604,0.8387674,0.9204378,1.3162853,1.3248909,1.0274854,1.2387127,1.2606025,1.0205609,1.1056981,1.2421027,0.78082126,0.88377756,1.33645,0.2975422,1.332799,1.1254859,1.3315704,0.60122097,0.8229897,1.4381571,1.1624986,0.93570995,0.54110765,1.3656434,0.8972035,1.2720934,1.1986666
bed,0.6629597,1.4545369,1.032421,0.6780414,1.0109658,1.0685791,1.5123839,1.1275811,0.529889,0.0,0.39518988,0.52076197,0.5005336,0.6290536,0.75830984,1.5918076,1.1378361,0.6107681,1.477654,1.2106205,1.6054842,1.5147183,0.82123387,0.8997554,0.66035193,0.87741464,0.6262861,0.41955334,0.74645144,1.5076404,0.18642521,1.5120597,1.1370113,0.80589545,1.2133703,1.3659174,0.86357963,0.7277659,1.3434517,0.86200726,1.2242134,1.3542521,1.1339695,1.4175987,1.1984035,1.4160146,0.9567799,1.0677489,1.0466598,1.19688,1.1214294,0.94073164,0.6353399,1.1075791,0.7140765,1.0338122,0.66637444,1.4345531,0.60574657,1.0473493,1.5157568,0.6847061,1.1786877,1.2601542,1.3806642,0.5207387,0.515749,0.97857857,0.92662716,1.3943436,1.3348701,1.4582248,1.4648141,1.2636626,1.0728979,0.8155478,1.2862973,0.6094801,1.1286125,1.4177388,0.61623,1.6027088,1.1968629,1.4916649,0.6064784,0.25433064,1.441228,1.3824918,1.2204065,0.887307,1.3304288,0.5374311,1.334424,1.1472008
