,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,mop,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,refrigerator,scissors,shirt,shoe,shovel,sink,slipper,soap,strawberry,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch
bench,0.95922863,1.3913252,1.0590432,0.8945968,0.9257038,1.061709,1.3285804,1.0063149,0.68590397,0.39518988,0.0,0.73037434,0.73057413,0.8950114,0.9840765,1.4717675,1.1505303,0.6085957,1.4292324,1.0531951,1.451427,1.2305052,0.67630225,0.9492849,0.51415575,1.0442495,0.6354024,0.2672826,0.99684423,1.4388292,0.4309101,1.4106934,1.1221465,0.8254889,1.2291889,1.2578523,0.74848175,0.76828265,1.2856327,0.8575144,1.1520206,1.3002024,0.9849811,1.4384286,1.1976355,1.3700097,0.8657804,1.2115347,0.9816911,1.1648383,0.80197686,0.7588756,0.79681385,1.084049,0.63892853,1.118831,0.66964215,1.3531106,0.49295795,0.8990022,1.4216166,0.8843235,1.1972108,1.1982768,1.274957,0.47919095,0.66394114,0.8943536,1.0685704,1.3253834,1.3084743,1.2507694,1.3612494,1.2706707,1.1468942,0.8394801,1.1809579,0.73666245,1.1171103,1.344944,0.7327593,1.4875638,1.2004014,1.3809031,0.7198831,0.61377555,1.4097098,1.2490693,1.1250563,1.0419178,1.2937046,0.77246064,1.1580855,1.2036451
bib,0.71966314,1.3523507,1.0994668,0.6311562,0.9732026,0.98655593,1.2368038,1.1536705,0.6876017,0.52076197,0.73037434,0.0,0.791941,0.8021256,1.0049257,1.3826844,1.1501653,0.9021469,1.3134305,1.2149147,1.3682991,1.3683596,0.9201225,0.91953254,0.8645086,1.0228736,0.9024584,0.68739617,0.95896196,1.4054537,0.58497155,1.3204899,1.1639987,0.7743417,1.1249496,1.3302977,1.128464,0.5166288,1.2632606,0.6192087,1.13738,1.2740526,1.1063412,1.3146802,1.1582044,1.2855157,0.9577751,1.1916027,0.85103804,1.0656629,1.0187026,0.8671572,0.86313254,1.0461607,0.7207683,1.0192087,0.80743456,1.3822048,0.7579359,1.080263,1.3621409,0.9223143,1.1577294,1.1382878,1.3010638,0.7020154,0.23636222,0.86661804,1.1220559,1.323462,1.3529223,1.2930028,1.3387611,1.2906731,1.0239143,0.93226624,1.3135444,0.13934821,1.1732187,1.3669152,0.84994733,1.4138548,1.1670374,1.39273,0.33357966,0.58345747,1.3235394,1.232423,1.1172769,1.0403209,1.2470928,0.76497257,1.3063278,1.1266195
blanket,0.7142963,1.3520834,1.1930166,0.8546665,1.0157934,1.0820544,1.3716972,1.062109,0.507419,0.5005336,0.73057413,0.791941,0.0,0.92846197,0.8842688,1.4317838,1.1272835,0.8074575,1.230525,1.0962113,1.4000144,1.3121808,0.95495516,0.7753922,0.6621268,0.8365834,0.90562046,0.39780462,0.85083175,1.4260198,0.5125699,1.400138,1.1827811,0.73409003,1.1242787,1.2091739,0.9743659,0.8607086,1.3379025,1.0081496,1.1584829,1.1939524,1.018902,1.3593016,1.1298916,1.2974005,1.1021788,1.2657968,1.048352,1.081099,1.1168026,1.0269305,0.065277934,1.0065404,0.8411976,0.9766212,0.7481849,1.3950126,0.7054497,0.97108465,1.4202,0.5924537,1.1364806,1.0146111,1.2736678,0.7995295,0.8139964,0.7993084,0.94120073,1.3800819,1.3130848,1.0592941,1.2266018,1.2759569,0.9385547,0.8817201,1.1430149,0.7652949,0.9978875,1.3374324,0.74015963,1.4019574,1.1649969,1.3145211,0.61330295,0.75806105,1.4028087,1.2648823,1.006314,0.73201376,1.2841208,0.8197574,1.1629474,1.2295916
boat,0.86300915,1.1393707,0.9923522,0.83501226,1.0594862,1.0379378,1.1924105,1.1373469,0.93502736,0.6290536,0.8950114,0.8021256,0.92846197,0.0,0.74303913,1.2593844,1.0852048,0.8935171,1.2715588,1.1859603,1.3140612,1.2997235,1.0384749,1.0507548,1.0452358,0.7017357,1.0042157,0.9040451,0.9657116,1.1670023,0.78496313,1.2184707,0.9386996,0.96365833,1.0910171,1.2430899,1.0839152,0.92277884,1.0184435,0.98362744,1.0986744,1.2360494,1.1335243,1.2389996,0.99317473,1.1794562,0.96687055,0.9946774,1.0887221,1.1039994,1.0830845,1.0037897,0.97267956,1.0642033,0.875652,0.98793787,1.0240086,1.2144246,0.83576405,1.1202326,1.1564339,1.0868055,0.9844216,1.2021434,1.1522882,0.7234148,0.8044226,0.94726646,1.1148287,1.0995238,1.0470699,1.3223004,1.3175106,1.0323521,0.97331417,1.0474528,1.1915735,0.84027696,0.9785842,1.2090173,0.9929653,1.2296441,1.0029471,1.2379756,0.8628598,0.4779557,1.1315159,1.1802377,1.1453332,1.1881008,1.057153,0.42987573,1.2297161,0.9892378
book,0.9420997,1.0973179,0.91290057,0.95347977,1.1680641,1.0302436,1.2443238,1.0550935,1.0323917,0.75830984,0.9840765,1.0049257,0.8842688,0.74303913,0.0,1.2034166,0.78912264,0.5911338,1.1901047,0.94926697,1.2718372,1.2769542,1.0289453,1.2441218,1.0320371,0.69731516,0.87572145,1.0951376,0.7916132,1.1546118,0.92297363,1.1053329,0.75264597,1.1540133,0.87260485,1.1785529,0.7472453,1.1201589,1.0654644,1.0525424,1.0037605,1.1100819,1.2537607,1.0405139,0.9400024,1.0646821,1.2363662,0.66041267,1.1573339,1.0051111,1.2163546,1.0880102,0.96026325,0.8977916,1.1892575,1.06576,0.9750553,1.2101214,0.95631135,0.89520454,1.191345,0.96505463,0.9881447,1.2509301,1.125848,1.10259,0.91937447,1.3362653,0.60638374,1.1889147,0.9855229,1.3254157,1.2121822,0.7521465,0.53948754,0.9137814,0.81320465,1.0474795,0.9488099,1.218303,1.0765525,1.2062569,1.2461433,1.1591332,1.0835129,0.4837793,0.95381457,1.160583,1.3322195,1.0627885,0.7879399,0.36451864,1.1305548,1.1316291
bottle,1.2200913,0.6046175,1.2290771,1.3468521,1.145354,1.0852283,0.48751414,0.9228666,1.4998549,1.5918076,1.4717675,1.3826844,1.4317838,1.2593844,1.2034166,0.0,0.9663387,1.4072078,0.4591595,0.82689303,0.18396974,0.45920753,1.2130704,1.1184454,1.4189148,1.1497833,1.3399574,1.50357,1.3389666,0.18580961,1.5686893,0.22761834,0.9881636,1.4166172,0.9953589,0.6437882,1.2340413,1.280098,0.75653446,1.1475796,0.9863175,0.63202214,1.0364516,0.5287134,0.9369586,0.4982776,0.7669155,0.8486663,1.0633857,1.1698236,1.1384667,1.2415477,1.3893547,1.0245175,1.2742155,1.1470313,1.393229,0.38225937,1.5513566,1.064479,0.41755247,1.3356361,0.9055049,0.90901744,0.35586053,1.4124458,1.4423091,1.0933051,1.0495281,0.40005934,0.39518183,0.70683336,0.48461926,0.89183813,1.0202608,1.1461077,0.6636818,1.3700093,1.1481209,0.3888321,1.2728888,0.33638823,0.6382092,0.44460356,1.4283528,1.5055224,0.4307139,0.77336466,0.89660394,1.0606418,0.68357116,1.4986739,0.62759674,0.504817
bowl,0.9120344,0.8551981,0.8074454,0.9527565,0.87552786,0.75794154,1.0966561,1.0673625,1.0972966,1.1378361,1.1505303,1.1501653,1.1272835,1.0852048,0.78912264,0.9663387,0.0,1.0059901,1.0997753,0.9727074,0.88026273,1.0271676,0.99601716,1.263635,1.1548136,1.1821848,0.89232314,1.3060304,0.83748776,1.0026562,1.1001153,0.494852,0.56150067,1.2215034,0.7838386,1.0712376,0.99468577,1.2419257,0.72420734,1.145898,0.924694,1.062153,1.3015528,0.8076204,0.78399485,0.9294788,1.1723205,0.56206894,1.2211674,1.0490266,1.0341234,1.0501792,1.1510309,1.0084623,1.3166565,1.0106103,1.1735685,0.7861657,1.1983563,1.0002394,0.95604926,0.93090457,0.82274413,1.2149389,0.90704376,1.088113,1.1596609,1.2974268,0.68042636,1.0097873,0.9307411,1.2239347,1.0887351,0.25207603,0.8490858,0.90558195,0.8678423,1.2606138,1.0583825,0.92044795,0.86742747,1.0686121,1.0896423,0.8904862,1.2920933,0.965543,0.5976909,1.208441,1.2665479,0.8996806,0.6611922,0.9077011,1.0104709,1.0068576
box,0.94739175,1.3184686,1.0350703,0.97762984,1.1765045,1.0955985,1.3027045,0.7643951,0.7306816,0.6107681,0.6085957,0.9021469,0.8074575,0.8935171,0.5911338,1.4072078,1.0059901,0.0,1.3435333,0.86071336,1.3336327,1.0087863,0.90522015,1.0012517,0.56591344,0.84340525,0.8332146,0.72799087,0.91456735,1.3687593,0.52894175,1.3182857,0.98237884,0.9448585,1.0057063,1.0798385,0.19545496,1.0113297,1.3201175,1.05271,1.1482298,1.0971153,1.07026,1.2578185,1.0775906,1.3046594,1.2312202,1.2020564,1.0797186,1.1004215,1.1128448,0.8644239,0.8509367,0.79513115,0.9976449,0.9780845,0.64583415,1.3532698,0.8693561,0.79525673,1.4661398,0.8103651,1.093655,1.1881688,1.3224254,0.7333943,0.9080977,1.0813138,0.8000749,1.2728046,1.2031404,1.1831237,1.1563005,1.069273,0.8258456,0.7414152,1.0649992,0.9823647,0.934342,1.2936518,0.73141366,1.3564231,1.2144724,1.3296368,0.9623653,0.71646476,1.2448628,1.2181609,1.1075642,0.95786834,1.0649893,0.63226026,0.9491613,1.2626368
bread,1.2432351,0.639881,1.1133261,1.242609,1.0420591,1.0151635,0.55419135,0.88720715,1.2556909,1.477654,1.4292324,1.3134305,1.230525,1.2715588,1.1901047,0.4591595,1.0997753,1.3435333,0.0,1.0286608,0.5075888,0.77559716,1.2011808,0.9859295,1.2873232,1.027646,1.3182089,1.3148961,1.1913717,0.47115076,1.4163772,0.66521287,1.0745264,1.1969131,0.9529488,0.83124506,1.1920261,1.2159166,0.85151833,1.1503955,0.8674632,0.7281749,0.7792083,0.6586821,0.99472576,0.46820396,0.971371,0.9328715,0.84481156,0.8814411,1.0529709,1.2586875,1.1714971,1.0557221,1.2166184,1.1002737,1.2213883,0.6435395,1.3962171,1.1487547,0.48791206,1.2013412,1.01135,0.6025709,0.6874518,1.3317065,1.343935,1.0025933,1.1123393,0.67981,0.6809197,0.6463251,0.60245,1.036304,1.0911064,1.2673855,0.9517815,1.2513887,1.0881734,0.73798084,1.2377129,0.39796346,0.71345764,0.6461824,1.2084365,1.4197905,0.78092897,0.63701046,0.78153735,1.0353636,0.96024305,1.3683662,0.93851113,0.64735126
broom,1.168732,1.0381204,1.1862451,1.2173402,1.1664147,1.0809526,1.0035387,0.87741554,1.2605692,1.2106205,1.0531951,1.2149147,1.0962113,1.1859603,0.94926697,0.82689303,0.9727074,0.86071336,1.0286608,0.0,0.83467835,0.6674628,1.1015365,1.1479486,0.8638376,1.1518621,1.1468098,1.1403056,1.1997474,0.9074436,1.0947983,0.8489453,1.0844811,1.2081735,0.8680443,0.8688358,0.7906318,1.1393983,0.9915874,1.123572,0.9620129,0.8732209,1.1516,0.8839739,0.7903924,0.82841635,1.0812949,1.0771115,1.1155409,1.0603518,1.0141315,0.8496982,1.0701973,0.94709665,1.120349,0.8552385,0.7741597,0.9191946,1.1521636,0.3587078,0.9247962,1.1348901,0.84203374,1.2124028,0.9937833,1.0696117,1.1543388,1.0675049,0.8823199,0.9065337,0.93106604,0.97275406,0.8416529,1.0006912,0.84353316,0.854122,0.8532057,1.2236404,1.0870111,0.6736058,1.1114925,0.927314,1.0696595,0.9528526,1.1998527,1.2239382,0.83013886,0.9668486,0.9862797,1.0971409,0.73015666,1.2106581,0.14853448,1.0421891
bucket,1.2129552,0.6446391,1.2123356,1.3571875,1.0095419,0.9876108,0.4832307,0.79031247,1.3958274,1.6054842,1.451427,1.3682991,1.4000144,1.3140612,1.2718372,0.18396974,0.88026273,1.3336327,0.5075888,0.83467835,0.0,0.30932587,1.2225128,0.9574386,1.3215301,1.2143097,1.338961,1.4762672,1.3010612,0.44063228,1.4927428,0.3216747,1.0823735,1.3223903,0.9911827,0.52056426,1.1304848,1.2650425,0.81146425,1.163545,0.9940197,0.53459436,0.90896827,0.58523995,0.935547,0.5768602,1.0034717,0.9440647,1.0209343,1.1387864,1.038958,1.1988661,1.3567022,0.9401862,1.2399572,1.0718611,1.3011158,0.43408954,1.4861214,1.1054398,0.5300765,1.2177224,0.9160981,0.7744528,0.60166097,1.3722777,1.4833547,0.96294683,0.99786097,0.50264865,0.6291566,0.51256037,0.3860538,0.90564847,1.0421258,1.0579972,0.72554904,1.3937972,1.1418145,0.44222385,1.1329626,0.45039797,0.6573387,0.50028783,1.4315052,1.5474927,0.5192691,0.79314744,0.7141559,0.966006,0.77690196,1.5259492,0.60905236,0.8155803
can,1.2494677,0.79891354,1.1286331,1.3804269,1.1610855,1.0881488,0.57383186,0.5679854,1.2943088,1.5147183,1.2305052,1.3683596,1.3121808,1.2997235,1.2769542,0.45920753,1.0271676,1.0087863,0.77559716,0.6674628,0.30932587,0.0,1.1910446,0.89651537,0.9757114,1.1379399,1.3422703,1.276613,1.3698535,0.6107164,1.3469578,0.56167376,1.1304158,1.2347383,1.054246,0.4414935,0.84271896,1.2314255,1.0141212,1.2285821,0.9875471,0.49532288,0.8881731,0.8036074,1.023498,0.8676594,1.038368,1.2347494,1.1146778,1.1443665,0.8990073,0.9537223,1.2591646,0.8846786,1.1199257,0.9293379,1.0723205,0.62558484,1.3423122,0.910232,0.7596129,1.1812196,0.9952399,0.91817445,0.799231,1.1442864,1.4198085,0.85572094,1.04516,0.5910327,0.7406032,0.47534692,0.36528957,0.97780704,1.0764239,0.92571807,0.6834522,1.3498375,1.004104,0.49818528,1.0647504,0.6197015,0.76823413,0.70765775,1.3751588,1.5050805,0.69828045,0.81315684,0.6886797,1.0236404,0.89582527,1.4528482,0.41705787,1.012132
car,0.9800352,1.1441422,0.9486861,1.0181121,0.85025644,1.1695082,1.2187737,1.0997986,0.9838116,0.82123387,0.67630225,0.9201225,0.95495516,1.0384749,1.0289453,1.2130704,0.99601716,0.90522015,1.2011808,1.1015365,1.2225128,1.1910446,0.0,0.9039087,0.7713777,1.0966,0.7251635,0.73317116,1.0132903,1.1737616,0.88639206,1.1876781,1.0772843,0.8757321,1.2226729,1.1929224,0.916826,0.76880467,1.2248181,0.92232466,1.1095822,1.1251209,1.0909137,1.0506641,1.0529065,1.2383122,0.7746346,1.0658761,0.9966589,1.1701413,0.93880045,0.74890006,0.9657077,1.0384705,0.6976497,0.9480131,0.8479651,1.0878015,0.7417956,1.0094757,1.3103876,1.0287244,1.0511762,1.175089,1.1112504,0.7238188,0.91208583,0.9833929,1.0725201,1.0680557,1.0329226,1.1591659,1.147841,1.0628767,1.0812373,0.78958195,1.0203606,0.8910461,1.1027249,1.1742008,0.8524569,1.3454583,0.9892031,1.1618037,0.932757,0.87962985,1.1898068,1.2987576,1.0532991,1.0592263,1.1549691,0.9091227,1.1910748,1.0610855
