,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
closet,0.84778017,1.2845757,1.4616868,0.6293285,1.3457263,1.4001501,1.3431919,1.0770949,0.3630898,0.9302108,0.3409853,1.3558968,0.6408198,0.7174801,1.1465323,0.5939154,0.9477603,1.201319,1.3038671,1.3431478,0.7828729,1.1303406,1.0623428,1.2790965,1.2034065,1.1011631,1.1096562,1.2255168,0.7431549,0.48661727,1.0154333,1.2538211,0.0,0.47611332,1.1713812,1.0491464,1.1183707,0.4955786,1.0897977,1.4609624,0.27837002,1.4132652,1.1552982,0.83850956,0.9760435,1.1457906,0.35422885,0.7551089,0.51926225,1.2970339,1.3470539,1.4716709,0.74084854,1.2127949,0.78621376,1.3362337,1.370029,1.1146753,1.2566904,1.4562545,1.3277739,0.9453882,0.9103428,0.709883,1.2217343,1.3196445,1.4335077,0.7449506,0.8502536,1.0292851,1.4177506,1.1833428,0.7418316,0.6198533,0.91226685,0.5728796,1.111884,0.4518007,1.2251093,1.358191,0.92508644,0.98853415,0.8688246,0.89623815,0.86553854,1.0513932,1.1540542,1.044042,1.3642471,1.168952,1.3176,1.1511376,1.3120055,0.34435976,0.997227,0.5361618,0.52895963,0.7622634,0.8716849,1.479062,1.4523284,1.3280497,1.3828384,1.2371337,1.3290585,1.2713711,1.1480179,1.235256,1.2256398,1.2497616,0.85995996,1.2070184,0.46045846,1.1399152,1.0131564,0.6787369,1.0991497,0.569478,1.1108836,0.7776712,1.2819049,0.2539146,0.7478857,0.5369133,1.5166562,0.76726294,1.289073,1.1343381,1.175103,1.1412535,0.9142253,1.3189864,1.2916647,0.7277647,0.5171131,0.5472071,1.4683101,1.3844413,1.3918439,1.0705618,1.0168227,1.4371166,0.79011816,0.9072031,0.7480529,0.9436837,1.3932284,0.5319256,1.1293411
coat,0.81100893,1.1114669,1.3350351,0.6301782,1.2999206,1.3367089,1.2944102,1.2305264,0.6304222,0.97216547,0.5160335,1.2933471,0.9017551,0.5187236,1.1189024,0.60228163,0.9941058,1.2430922,1.3521646,1.4102929,1.0012561,1.1354591,1.2684216,1.3355556,1.2539301,1.267734,1.1590122,1.2693237,0.74107397,0.70388246,0.9935692,1.2695866,0.47611332,0.0,1.1142813,1.0984721,1.029388,0.70868933,1.0677105,1.4536902,0.5953244,1.4224986,1.1535366,0.86644053,0.9297748,0.98132956,0.838429,1.0397656,0.30575317,1.3504777,1.2505559,1.3411677,0.76522434,1.1981252,0.57730997,1.1028584,1.3646486,1.2275451,1.1412323,1.4437357,1.2984183,0.9760387,0.9552061,0.71623063,1.013543,1.095864,1.3681452,0.5409984,0.786374,0.8832607,1.2520752,1.1448281,0.8112993,0.4847036,0.9904585,0.39730614,1.2103691,0.72295564,1.3786421,1.3429794,0.9233574,0.9787763,1.0171683,0.80789125,0.9977186,1.1174643,1.0107645,0.9634161,1.2900102,1.2430773,1.1388355,0.9330316,1.2754517,0.7097466,0.9620169,0.27383196,0.3985994,0.7680452,0.82837284,1.467539,1.4455601,1.3206584,1.304147,1.1915593,1.3196316,1.247047,1.2981486,1.2920372,1.2096313,1.2129102,0.95538574,1.2691466,0.8115703,1.138882,0.91624254,0.44799876,1.2022042,0.31181347,0.9621449,0.5394012,1.4288422,0.5121928,1.0325089,0.6026277,1.4098452,0.7981113,1.2181522,1.0556762,1.1535201,1.2246635,0.9863836,1.3243499,1.3080735,0.79199016,0.23594332,0.6132891,1.4296548,1.1530765,1.2563772,1.0980953,1.0978605,1.4106784,0.867381,0.94712096,0.93481046,1.2476919,1.2386459,0.8981397,1.1257389
coffee,1.117433,0.86339736,0.89997905,1.046072,0.8291171,0.82778364,0.9636383,0.9597055,1.0123441,1.0901022,1.1200494,0.9129446,1.0919836,0.93993217,1.1255025,1.0045332,1.11789,1.0532633,1.1713943,0.85731125,0.93761927,0.8534921,1.0638338,0.7598625,0.95622975,0.9426427,1.182627,0.8390474,1.0955473,1.0855734,0.9872796,0.9723026,1.1713812,1.1142813,0.0,1.1590486,0.7575352,1.1266073,0.88727605,1.146713,1.1551328,0.8851074,1.0068035,0.82155514,1.033889,0.9800908,1.0459088,1.0190139,1.0577163,1.0353906,0.85528386,0.8487499,1.0385474,0.7768436,1.1065602,0.8965533,1.073193,1.1281657,0.9463462,1.0807563,1.0334196,1.1398145,1.0928701,0.9598237,1.0329641,0.88776994,0.83762294,1.0913118,1.007988,0.8610072,1.0539168,1.0379786,1.0058391,1.0341938,0.7113396,1.087497,1.0951092,1.1512845,0.9110909,0.9526314,0.99081975,0.9221115,0.94060576,0.8100958,1.0758784,1.058052,0.974935,0.83928406,1.0936046,0.9247533,0.8573096,0.86112964,1.0842466,1.1312509,1.1468735,1.0552924,1.0293252,1.0569675,1.0372524,1.1489172,1.1591426,0.9026764,0.9307982,0.9214027,1.0068775,0.96111983,1.116479,0.76700974,1.062961,1.1387548,0.9938252,1.074011,1.0112959,1.1651644,0.9386627,1.0951679,0.9099489,1.0900565,0.95903563,1.0007365,0.97082037,1.1114502,0.9867096,1.2357779,1.1365738,1.0507295,0.8829792,0.88021916,0.7485764,0.92365706,0.9609079,0.9099998,0.94662464,1.1576788,1.1086707,1.0949755,0.7793286,0.943299,1.0023572,0.92073625,0.93325794,0.9656839,0.9346313,1.1482645,1.024497,1.1412907,1.0361185,1.1015518,1.0600761
comb,1.0759732,1.1352556,1.092726,1.0601751,0.9343329,1.0085485,1.0386741,0.6660035,1.0982924,1.029744,1.0795053,1.140512,0.8725151,1.1470554,0.9202489,1.1606734,1.0071794,0.92616534,0.92700475,0.9386439,0.9284624,0.9508698,0.9181165,0.9728678,0.9842907,0.92230725,0.98125154,0.9222219,1.1575354,1.0140729,1.0703601,0.7635685,1.0491464,1.0984721,1.1590486,0.0,1.0358918,1.0119194,0.9438839,0.96172035,1.0036845,0.90683275,0.978616,1.1012455,1.069121,0.9914046,1.0831761,0.7939987,1.1944185,1.0337976,1.0238715,1.0580876,0.96893364,1.09385,1.1408494,1.130373,1.0139312,0.85752815,1.1825978,0.549065,0.95143384,0.99416053,0.97257906,0.93810856,1.1371565,1.0090326,1.0899668,1.141698,0.9998476,1.1582681,1.0939395,0.9568936,0.85281867,1.2384108,1.0425775,1.1877465,0.66139114,0.9709434,0.81087387,0.96416664,1.1328008,1.1015577,0.9486545,1.0584545,0.65962136,0.9874405,1.0364221,1.064001,1.0231884,0.94646585,1.1523716,1.1877367,1.0334013,0.8380338,1.0162026,1.2040796,1.24289,1.0191431,1.0277704,0.87463534,0.93343365,1.0750406,1.0851574,0.8269676,1.0736982,1.078161,0.84003574,1.0751678,0.90253747,1.1355072,0.8890171,0.7823262,0.97862124,0.969723,1.0864575,1.0507185,0.71244824,1.1875095,0.93657315,1.1884836,0.8006609,1.1432793,0.80107003,1.0392643,0.933619,0.979247,1.2006841,1.0519571,1.003564,0.63478035,1.0264663,1.0248369,0.99406856,1.1353761,1.1851552,1.0680525,0.94226307,1.1191052,1.1909941,0.99793476,0.985993,0.9470892,1.056122,0.9356845,1.1512114,0.6585301,0.9604994,1.0485933,0.7844335
cookie,0.896639,1.0023224,1.0912448,1.0694078,1.0142617,1.0809463,0.77037454,0.96342367,1.0200946,1.1105814,1.069473,1.2261814,1.1792786,0.8936646,0.9259543,1.056676,1.0537752,1.0307925,1.2305503,1.0128188,0.9790224,0.39612997,1.3084567,1.1239896,0.94971925,1.238135,1.143907,0.9989548,1.1229224,1.1676071,0.53320825,1.0829217,1.1183707,1.029388,0.7575352,1.0358918,0.0,1.1241363,0.3435024,1.2194365,1.1707529,1.107252,0.8856173,0.56817555,0.9033943,0.91295624,1.1747235,1.0374424,1.0637327,1.1641383,1.1333958,1.0042006,1.0908887,0.99139214,1.0403922,1.1337394,1.1161436,1.0023053,1.1407919,1.081723,0.9073443,1.0931205,1.0404689,0.9994896,1.0847579,0.9974774,1.0286037,1.0515553,0.7989362,1.0384911,1.2121989,0.9445041,1.0089544,1.1134305,0.99716717,1.146182,1.0927566,1.01527,1.1262904,1.1652222,0.8871178,1.0032624,0.9040312,0.8706354,1.0586319,1.1343763,1.0507724,0.40927035,1.1640474,0.7224322,1.0828263,1.0416275,1.1176069,1.1242485,1.0457773,1.0716763,1.1263809,0.94912577,0.60297495,1.1977365,1.1851386,1.0160093,0.909189,0.8748926,1.1996744,0.8764447,1.0871289,0.693939,0.93649,1.0367656,1.0819833,1.0954725,1.0726577,1.0038236,0.79140997,1.0710022,0.97803646,1.075119,0.99900013,1.0898005,1.033032,1.0619783,1.0770493,1.1409308,1.1596588,1.0695784,0.9872957,1.0285481,0.8816497,0.9359468,1.0570495,1.1636299,0.9435205,1.1574771,1.0548285,0.9675233,0.897025,1.0942096,1.1264368,1.0977536,0.829424,1.0472412,0.6392325,1.0376068,1.0560193,1.2342066,1.1737982,1.2132064,1.0155957
couch,0.95727265,1.1872154,1.4058633,0.73279905,1.1876498,1.2249846,1.2491724,0.8520583,0.5924117,1.0646256,0.31164658,1.1865668,0.3232444,0.8431482,1.2250164,0.5467645,0.8740332,1.0457987,1.2219439,1.1381109,0.61878836,0.9725763,1.0709031,1.0727117,1.1510384,0.83835006,1.0298752,1.0432483,0.846454,0.2949711,1.0282887,1.2363033,0.4955786,0.70868933,1.1266073,1.0119194,1.1241363,0.0,1.0534266,1.3485866,0.25541806,1.1845416,1.1056005,0.9732371,0.89447075,0.9428705,0.6335272,0.5327484,0.70705163,1.1001692,1.303513,1.3421929,0.9380728,1.1732254,0.9716378,1.254089,1.2440429,1.0710483,1.0870819,1.3384752,1.221736,0.9644108,0.9572227,0.95425045,1.2088969,1.0177767,1.2875149,0.92244905,1.0727391,1.0314405,1.2546818,1.1441114,0.9183535,0.76492935,0.81768596,0.6830592,1.1884828,0.49024916,1.0872619,1.2466714,0.99865746,1.0913463,0.9001458,0.8033575,0.85155076,1.067919,1.1581733,1.1610209,1.2896893,0.89463866,1.2229459,1.1308379,1.2499843,0.6145054,1.1054997,0.7558269,0.6567088,0.923831,1.061065,1.3313816,1.3235929,1.2418315,1.3993032,1.0250765,0.952726,1.1480615,1.0010419,1.1518445,1.1654187,1.2435851,0.72824055,0.9405954,0.7036215,1.0553486,1.0012239,0.8592129,1.1245456,0.78582585,0.926916,0.82566977,1.1551983,0.6472681,0.76209,0.82380754,1.2939734,1.0132474,1.2275894,0.96129245,1.2091613,1.1570171,1.0232913,1.1846364,1.2694875,0.71547294,0.75752795,0.6688782,1.3162718,1.2693051,1.3540859,1.1779763,0.7922065,1.1732212,0.89809215,1.0170817,0.8673004,0.9132899,1.3411657,0.60514235,1.0724823
cracker,0.99078256,1.0793442,1.1164002,1.009563,1.0325965,1.1415076,0.7735684,0.84962666,1.039221,0.9590587,0.9954263,1.3093225,1.0260067,0.82478344,0.9148529,0.9798672,1.0701473,1.0027617,1.190644,1.0073272,0.8798671,0.1461283,1.3276663,1.1326904,1.0022026,1.2533888,1.1741824,0.9631898,1.140582,1.1677412,0.55782354,1.1253108,1.0897977,1.0677105,0.88727605,0.9438839,0.3435024,1.0534266,0.0,1.242402,1.1044729,1.0819275,0.95908266,0.5739505,0.9471089,0.88490736,1.2197046,0.9388187,1.1061037,1.2245631,1.1938956,1.0400201,1.0557001,1.0657775,1.1346016,1.1643391,1.080982,0.9298227,1.1421286,1.0899935,1.0009304,1.0366745,1.0489451,1.0646492,1.1935158,0.90554345,0.9843417,1.1285732,0.64944214,1.0170538,1.2851958,1.0116425,1.0477828,1.1697787,1.0709474,1.2127755,1.1501621,0.9657416,1.08268,1.1336867,0.8642116,0.94173217,0.8638342,0.7111666,1.0022949,1.1634119,1.0252398,0.5648447,1.1632465,0.5122626,1.1620736,1.1210155,1.1336656,1.1187668,1.0088377,1.0971671,1.1832056,0.94214654,0.57327765,1.2148197,1.2151117,1.13971,1.014242,0.8046725,1.1226121,0.71568966,0.99367946,0.815052,0.9543135,1.1248255,0.992459,1.0458343,1.0765805,1.0766819,0.7433069,1.0251888,1.0895213,1.1228231,0.89767903,1.0749433,1.0086036,1.055402,1.0827745,1.1632787,1.1701962,0.94904876,1.1053734,0.92231524,0.94530416,0.9724717,1.0922705,1.179393,0.9865541,1.2083288,1.1353443,0.95001376,0.97559637,1.1078784,1.1824217,1.027097,0.594003,1.0425112,0.6104303,1.0400686,1.0324852,1.2320207,1.269344,1.140019,0.953474
crayon,1.4819894,0.7994877,0.35570413,1.364056,0.6452466,0.42370462,0.7608875,0.93703854,1.5021942,1.1325539,1.5582304,0.3283925,1.1869199,1.6172678,1.0527827,1.4790078,1.0628756,0.9291123,0.16640633,0.3940562,1.2964578,1.1904323,0.37343967,0.64223695,0.9991607,0.61462563,0.8774283,0.8249305,1.2336406,1.3142871,1.2750702,0.5093184,1.4609624,1.4536902,1.146713,0.96172035,1.2194365,1.3485866,1.242402,0.0,1.4999201,0.32242972,1.0498621,1.4092641,1.3809073,1.253212,1.1780725,1.098546,1.4787898,0.51402825,0.55605346,0.36690223,1.2352724,0.7635614,1.2578865,0.6585449,0.43075758,0.93681127,0.6492457,0.4394387,0.93729043,1.198237,1.2330043,1.3712233,0.7051936,0.99388844,0.6702248,1.288835,1.3297524,1.2623411,0.27491987,1.0897018,1.2680628,1.273898,1.236927,1.3865027,0.5901335,1.4014951,0.4208423,0.44519913,1.2591951,1.1325729,1.2062091,1.4660404,1.1135479,0.9087407,0.9014505,1.3461969,0.17537153,1.0233446,0.64344573,1.0029676,0.28330255,1.366468,1.1944411,1.5516858,1.4340037,1.4636798,1.3812026,0.045685887,0.03759992,0.75720465,0.5174196,1.1051285,0.40097308,0.79008085,0.7274117,0.7824228,1.0316814,0.34719563,1.2473937,0.6493616,1.3429462,0.930767,1.2729045,1.4125512,1.1180592,1.4547048,1.1202441,1.2735842,0.579074,1.407025,1.0695418,1.3286002,0.13993609,1.248939,0.56155425,0.9855874,0.96159905,0.8242858,1.1256713,0.45074284,0.6579759,1.2838131,1.50798,1.5347599,0.48223943,0.5997356,0.45710212,0.8838306,1.1262609,0.6659367,1.501369,1.0769738,1.1598238,0.6067326,0.35607767,1.1172405,1.0783252
crib,0.8374041,1.3671205,1.5402086,0.61396,1.3472145,1.4428607,1.3834829,0.7371621,0.38915658,0.95302725,0.1842413,1.3348631,0.35761952,0.66789764,1.1952778,0.41742218,0.81060195,0.91808367,1.3593649,1.2671082,0.4477507,1.087178,1.1167052,1.1615593,1.1757902,0.98293877,1.0035886,1.1265203,0.81644094,0.2685994,1.0175856,1.3187524,0.27837002,0.5953244,1.1551328,1.0036845,1.1707529,0.25541806,1.1044729,1.4999201,0.0,1.3547006,1.1598558,0.82937735,0.9379763,0.99175364,0.46379888,0.5484021,0.61933243,1.1998949,1.4383156,1.5419929,0.8145507,1.2783414,0.93709534,1.4130989,1.3958247,1.111691,1.2400697,1.4187984,1.3118796,0.79621637,0.86913854,0.7168132,1.3595469,1.2545042,1.322658,0.9110723,0.90756476,1.0469799,1.4720821,1.1774464,0.74683905,0.725117,0.7953497,0.64757186,1.1908797,0.2933551,1.2134775,1.3664148,0.95982987,1.0090986,0.8178784,0.83543575,0.8341651,1.0165079,1.235873,1.1168575,1.4540824,1.0200688,1.3625414,1.2379311,1.365306,0.46906924,1.0416086,0.60280573,0.6202084,0.63839436,0.9069018,1.5034702,1.4647214,1.3658781,1.5146353,1.1520512,1.2178826,1.2112368,1.1255456,1.1685787,1.2104045,1.3711982,0.6576532,1.0858517,0.5304431,1.1242704,0.9435075,0.7454512,1.0563085,0.6604895,1.0031414,0.83388895,1.2797532,0.47520828,0.7185328,0.49358833,1.5133951,0.7995769,1.3320268,1.1259509,1.2402858,1.1641632,0.96376747,1.2859185,1.3539903,0.6334669,0.6279962,0.41142213,1.4852438,1.476059,1.4540241,1.1078666,0.8741181,1.2811531,0.6853777,0.9107816,0.8066637,0.95885074,1.5051904,0.59001684,1.1058697
cup,1.550389,0.96193266,0.49658775,1.4265018,0.5278177,0.33991873,0.80215037,0.7152092,1.4210904,1.1894003,1.5037627,0.6100296,1.0403326,1.592228,1.1811864,1.523244,1.1371777,0.9448811,0.1730718,0.2358498,1.0634313,1.0085815,0.53212315,0.2867397,0.9733326,0.3692006,0.8897901,0.65078723,1.3166978,1.1708262,1.2119503,0.4311564,1.4132652,1.4224986,0.8851074,0.90683275,1.107252,1.1845416,1.0819275,0.32242972,1.3547006,0.0,0.997006,1.232605,1.3192306,1.111797,1.1671916,0.9993911,1.4577053,0.5451674,0.67831105,0.39519143,1.2406235,0.9040362,1.2825047,0.8638826,0.63667774,0.8678033,0.87085676,0.6237421,0.9297453,1.2325479,1.2740637,1.1976936,0.88826805,0.9187832,0.71106243,1.3166338,1.3575668,1.3053551,0.40088427,1.0608786,1.2059673,1.3475968,0.89702,1.4586573,0.81844306,1.327858,0.41529465,0.60423136,1.3600175,1.1130005,0.9982686,1.3150911,1.014425,0.8990244,1.0473058,1.2198203,0.3443042,0.9691841,0.92716444,1.0832825,0.41138232,1.2584975,1.2429616,1.5814836,1.4717767,1.4868548,1.3803382,0.35937768,0.3614987,0.75841403,0.627145,0.9975282,0.4747584,0.9121311,0.5334507,0.6947805,0.9800685,0.5293151,1.0315232,0.45090562,1.1638594,0.9381265,1.31693,1.3968132,1.0435635,1.4852428,0.96943176,1.3137004,0.49311388,1.3326814,0.8661802,1.3845241,0.3358395,1.3601419,0.5463334,1.0190766,0.78867936,0.762555,1.1320114,0.63353896,0.7429813,1.2171011,1.5169482,1.4600955,0.3113457,0.75890726,0.7282095,1.0017701,1.0789934,0.5214564,1.3489949,1.0813873,1.2024316,0.61829984,0.6883403,1.0766852,1.0680046
deer,0.78576654,1.0373532,1.067467,1.2387927,0.92617583,0.9604407,1.0010476,1.0528649,1.1999681,0.85910726,1.2106967,1.0431613,1.086848,1.1567744,0.6604593,1.1851636,1.019838,0.9603596,1.0161471,1.130613,1.0421214,0.94532335,1.0967155,0.9770333,0.7385429,1.0224212,0.96154106,0.94749,1.1005377,1.1051905,0.99038726,0.99288845,1.1552982,1.1535366,1.0068035,0.978616,0.8856173,1.1056005,0.95908266,1.0498621,1.1598558,0.997006,0.0,1.0648131,0.69102234,0.79449344,1.1506014,1.0609261,1.1791087,0.848046,1.1668352,1.0357763,1.1101977,0.9932217,1.1133698,1.157857,1.0304618,0.8656937,1.1695964,1.0198839,0.71586573,1.0597922,0.74557173,1.252922,1.1309175,1.1114715,1.1689422,1.1699799,1.0879122,1.2155344,1.0134021,0.2480911,1.1215316,1.1495476,1.0372319,1.2410069,1.2019151,1.064222,0.9961247,1.001453,0.90641505,1.1001126,0.9739329,1.1322259,0.9696895,1.062974,1.0593628,0.9288326,1.0125635,1.0167546,1.0424963,1.073507,1.0015973,1.162162,0.8196645,1.2383543,1.2105569,1.058943,1.0345913,1.0458039,1.0531359,0.8685248,1.0028993,0.60809684,1.0449014,1.1074132,0.9043548,1.186496,0.33545732,1.0049614,1.0015469,0.99929804,1.1611099,0.6262669,1.1243947,1.2048421,0.9549882,1.1582043,1.0423098,1.160748,0.9512076,1.1200424,1.162802,1.1786118,1.0372463,1.2006596,1.0614004,1.209331,1.030632,1.1137199,1.0980549,1.0098337,0.89534926,0.96994877,1.2217369,1.1912389,0.99709314,1.1087433,1.1148255,1.2963842,1.0622365,0.8894681,1.0993618,1.0222095,1.0737685,1.0578891,1.0692736,1.0604308,0.5778777
dish,0.8648795,1.2026626,1.2046862,0.8666699,1.1794382,1.2899544,0.9588063,0.8747486,0.64260745,0.99848515,0.7322142,1.3273177,0.96019995,0.68236154,1.0213498,0.772913,1.0124565,0.9660813,1.3812611,0.9741497,0.6878531,0.5099754,1.3433701,1.1491134,1.069722,1.3222101,1.142217,1.0887095,1.1191307,1.0242486,0.67136496,1.2437764,0.83850956,0.86644053,0.82155514,1.1012455,0.56817555,0.9732371,0.5739505,1.4092641,0.82937735,1.232605,1.0648131,0.0,1.0126555,1.0430093,1.0078185,0.9932886,0.91337365,1.3298383,1.2729635,1.2134416,0.983434,1.2068808,0.9472733,1.2323829,1.3014255,1.153964,1.2312969,1.266319,1.1793064,0.8773077,0.9267617,0.8894701,1.2041185,1.1624261,1.1357257,0.9508173,0.66869104,0.90677464,1.4040682,1.1132611,0.86177653,1.0364448,0.9223563,0.96402407,1.2012813,0.8594805,1.329286,1.314358,0.95953685,0.86155665,0.8607235,0.7626203,0.96778774,1.1398091,1.1065542,0.57619,1.3126006,0.90523124,1.294164,1.1272103,1.20434,0.8425312,0.99913955,0.82398224,0.9561842,0.6754649,0.59826016,1.431758,1.3804891,1.2327411,1.0993826,1.0907652,1.3741131,1.0108758,1.2318115,0.5828602,1.1251334,1.211684,0.9750736,1.1975255,0.8852112,1.250551,0.6192195,0.89146906,1.0448217,0.88720846,1.0695251,0.9579003,1.2368056,0.83571315,0.8415692,0.82729,1.3981984,0.8491265,1.1294537,1.0808374,0.8951481,0.9005609,1.0981408,1.2730551,1.1129687,1.029702,0.81273353,0.633356,1.0821536,1.2666035,1.2852104,1.0046164,0.87015367,1.1885144,0.1522556,0.96694887,1.0246642,1.3857825,1.3950557,1.0813881,1.0464618
dog,0.2841934,1.2837682,1.2969732,0.9941128,1.0616517,1.2246262,0.9741447,1.1368359,0.9907508,0.8635332,0.8717172,1.3442734,1.0560191,0.8783612,0.56152785,0.8229387,0.896127,0.93810356,1.3387122,1.3590162,0.9730812,0.9401528,1.3977466,1.1805053,0.6981545,1.2658923,0.9803413,1.129378,0.66872466,1.0162625,0.9020328,1.1717359,0.9760435,0.9297748,1.033889,1.069121,0.9033943,0.89447075,0.9471089,1.3809073,0.9379763,1.3192306,0.69102234,1.0126555,0.0,0.54729897,1.1710078,1.1340506,0.910787,1.1815028,1.340554,1.2947837,1.0674936,1.0225949,0.8978805,1.2843193,0.9348102,0.9464951,1.2006718,1.258253,0.4824891,0.9549344,0.8338399,1.0121089,1.1418982,0.8227738,1.0745767,0.9192589,1.0647376,1.0018469,1.2084689,0.47271836,0.99985266,0.9224995,0.9426698,0.9905273,1.2953013,0.9119328,1.3839746,1.368531,0.65311456,0.96185005,0.98518276,0.72124374,1.0452367,1.0117277,1.2174082,0.8302276,1.3023003,1.0395379,1.2350664,1.113501,1.2802533,1.1035024,0.6080203,0.83901715,0.9450581,0.8392935,0.9783339,1.3794236,1.377619,0.8283673,1.1764506,0.49665415,1.1475612,1.0128627,1.0834482,1.245662,0.43712354,1.1989669,0.9770098,1.1096056,1.0553163,0.55302346,0.99468905,0.9541897,0.9781384,0.8986213,0.9155459,1.0619241,1.2543466,1.045562,1.2007234,1.0483986,1.3017422,0.95472974,1.1639087,1.0626624,1.1103132,1.1996634,0.8408266,1.2293766,1.1119486,0.7956084,0.8735697,0.86484337,1.1843917,1.2443645,1.2724519,1.1782662,1.0032115,0.93915284,0.90436846,1.0397843,0.9674354,1.3088694,1.2837663,1.1692016,0.59384173
doll,0.6867925,1.2388296,1.1085974,1.1794722,0.8615607,0.9988528,0.890684,0.94632477,1.1946324,1.038223,1.0189441,1.2377765,1.0757561,0.8949529,0.7516612,0.9397559,0.76959264,0.73601633,1.2145606,1.2100356,0.89796627,0.87431794,1.3107593,0.9889486,0.8050046,1.1377269,0.76718867,1.0447439,1.0585625,1.0322883,0.89147896,0.98791087,1.1457906,0.98132956,0.9800908,0.9914046,0.91295624,0.9428705,0.88490736,1.253212,0.99175364,1.111797,0.79449344,1.0430093,0.54729897,0.0,1.2267654,1.0594238,0.98333144,0.96021295,1.2404249,1.1249124,1.2284176,1.1485069,0.9630871,1.1801171,1.0483123,0.75963074,1.1748358,1.0924689,0.49099398,0.84397376,0.8512168,1.104951,1.132892,0.77231246,0.96581614,1.028913,1.1792564,1.0077202,1.0809727,0.6769872,1.1921828,1.0614872,0.8994287,1.201612,1.3381722,0.97779393,1.1964405,1.2376124,0.86345947,1.0096008,0.9502429,0.7771255,0.99430996,0.8226801,1.1876832,0.8189939,1.2312329,0.93013096,1.1355715,1.019733,1.162686,1.2336466,0.69438344,0.93766737,1.1644616,0.8535134,1.0872612,1.2286739,1.2264049,0.8635963,1.0535026,0.67380726,1.0398917,0.90455806,0.9113385,1.173314,0.68901205,1.228552,0.90255135,1.0110308,1.0783225,0.7054324,0.9751891,1.017318,0.8765997,1.0096883,0.9345151,1.125143,1.0180109,1.1518825,1.2275988,1.1690602,1.2003995,1.1679294,1.0386128,1.0899806,0.9623798,1.101476,0.9063426,1.056658,1.0785145,0.65404296,1.0144513,0.94813097,1.0154178,1.1275915,1.1987681,1.1599336,0.9016436,0.5959159,0.9031362,0.9279109,1.0601394,1.1755638,1.2569044,1.1526685,0.8003644
door,1.1016926,1.1408513,1.2839129,0.77846944,1.2697735,1.2088826,1.2169951,0.8923905,0.56048113,1.00103,0.62803656,1.0249287,0.51226574,1.0035653,1.2652857,0.8490755,0.90209454,0.9938463,1.1140071,1.0864654,0.7018938,1.1893426,0.67444015,1.01506,1.080726,0.75905824,1.049403,0.9677959,0.88908935,0.5422463,1.0611249,1.1507269,0.35422885,0.838429,1.0459088,1.0831761,1.1747235,0.6335272,1.2197046,1.1780725,0.46379888,1.1671916,1.1506014,1.0078185,1.1710078,1.2267654,0.0,0.50705713,0.83642834,1.0275046,1.171402,1.2765076,0.846508,1.1501435,1.0708854,1.1854962,1.259994,1.0120043,1.0322345,1.2214317,1.240655,1.0219562,0.9654867,0.8203658,1.2155855,1.3032286,1.2063559,1.0339111,1.0774176,1.032217,1.2924356,1.1872227,0.87407994,0.7865982,0.8232089,0.80560005,0.85737246,0.62149894,0.9602893,1.1012586,1.063544,1.0597781,0.87949204,1.1375797,0.81338,1.0678467,1.169015,1.1972506,1.2867649,1.0701818,1.1117086,1.1547272,1.2067281,0.38810378,1.1249567,0.9102864,0.7443887,0.885875,1.0902885,1.1831064,1.1619177,1.1637241,1.122346,1.2442472,1.1131525,1.1637588,0.9754083,0.9902332,1.2311313,1.1823455,0.89129657,1.0288817,0.23620498,1.1497357,1.1436256,1.0104538,1.0162591,0.8717055,1.1478486,0.9523523,1.0016711,0.51790595,0.65325004,0.6740372,1.3053858,0.9060101,1.0432967,1.0837922,1.1870304,1.0867822,0.8982844,1.0649866,1.0688363,0.8376522,0.87718564,0.80073607,1.2768257,1.263217,1.1909447,0.9268886,1.0294158,1.2270963,0.97479516,1.010064,0.7469318,0.5888853,1.2439243,0.4318,1.1725785
