,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.3238151,1.3951983,0.83666366,1.1650081,1.4101813,1.0394622,1.2293341,0.7838334,0.85324407,0.6867318,1.4488227,1.0992639,0.6294601,0.47300208,0.58199596,0.83572996,0.8790553,1.4913807,1.4754045,0.93452185,1.0553155,1.4563904,1.3083029,0.7358265,1.4716436,0.9647804,1.235923,0.70193803,1.0482441,0.8294059,1.3423345,0.84778017,0.81100893,1.117433,1.0759732,0.896639,0.95727265,0.99078256,1.4819894,0.8374041,1.550389,0.78576654,0.8648795,0.2841934,0.6867925,1.1016926,1.1883464,0.78626835,1.22572,1.4498152,1.4714683,0.9345854,1.189651,0.8656459,1.3744926,0.9737858,0.95750916,1.3413802,1.3527604,0.48919487,0.8215339,0.7156718,0.8915347,1.2527418,0.969803,1.0961246,0.88961905,0.80853057,0.960974,1.3379071,0.65138423,0.8662574,0.8826639,0.9615185,0.80946916,1.2525213,0.8794964,1.5705757,1.4922488,0.5851093,0.8469145,1.0234531,0.6410613,1.0699878,0.98259187,1.2521158,0.7833754,1.4393762,1.0425019,1.3066778,1.217846,1.359159,0.9687058,0.55592775,0.6211945,0.817968,0.5235557,0.7512169,1.4932404,1.4577196,0.9529873,1.2385858,0.7493816,1.340329,1.087715,1.2197441,1.2107655,0.69743574,1.2851591,0.96967924,1.3222251,1.0000601,0.7079882,0.81338316,0.8526253,0.8387648,0.7369106,0.9949227,0.94662815,1.3847439,0.9109049,1.1479447,0.7631441,1.4396458,0.80218273,1.2666352,1.1293826,1.144759,1.184207,0.78432095,1.3242853,1.1952343,0.81026345,0.6748902,0.64198166,1.3477705,1.4097266,1.3128585,1.0612862,0.9503851,1.0686743,0.7076241,0.914503,0.9095051,1.4216439,1.3873166,1.1757052,0.7623224
ankle,1.3238151,0.0,0.7197437,0.91457415,1.0602635,0.91309345,0.97635853,1.1685505,1.2360799,1.1309217,1.2899864,0.6102309,1.2040732,1.0931828,1.1522155,1.2386472,1.2579806,1.2395892,0.9686221,1.0528958,1.2891554,1.0488379,0.91184497,1.1047957,1.0903636,0.9672758,1.2739173,1.0109096,1.116817,1.1528045,1.1232485,1.120086,1.2845757,1.1114669,0.86339736,1.1352556,1.0023224,1.1872154,1.0793442,0.7994877,1.3671205,0.96193266,1.0373532,1.2026626,1.2837682,1.2388296,1.1408513,1.0579305,1.1030029,0.9780009,0.49169576,0.77220595,1.1464207,0.7812517,0.919809,0.27499956,1.0656537,1.2284871,0.43464756,0.7965646,1.2276018,1.172994,1.0699228,1.1493652,0.44967008,0.7042819,0.9440668,0.8780811,1.0263058,0.60080725,0.69497705,1.1340607,1.1481215,0.9617649,1.1770782,0.95623344,0.9135263,1.2212021,0.94385767,0.49706,1.0341772,1.0523814,1.1706576,1.0563552,1.1310201,1.1850166,0.34164935,1.1112125,0.77518237,0.9422433,0.30741405,0.34440184,0.96193534,1.2300354,1.2038635,1.1243027,0.9775626,1.2570825,1.1080415,0.7486719,0.82731205,0.9405872,0.88613474,1.0662389,0.8590667,0.98131263,1.141755,1.0409994,1.1673474,0.93476576,1.1223153,1.0726532,1.2520977,1.1360998,1.0324059,1.0182409,1.0742261,1.0757867,0.93846965,0.8425257,0.89115286,1.2331042,1.1846322,1.2610826,0.699909,1.2208214,0.83906305,0.6321342,0.9172924,1.0676705,1.1733054,0.8817322,0.94852906,1.2526723,1.1145414,1.3295581,0.9305138,0.29337645,0.5864657,0.9174863,1.0664039,1.1460267,1.3309036,1.2115858,1.1212273,1.0211542,0.3893829,1.1684991,1.1414695
apple,1.3951983,0.7197437,0.0,1.2964902,0.5148848,0.33958578,0.48626232,1.119132,1.5358156,1.103146,1.5373594,0.5924848,1.3209614,1.3850108,1.0643504,1.4417249,1.1761287,1.042466,0.5088216,0.5068665,1.3108563,1.04891,0.7133754,0.70728743,1.0769849,0.9037496,0.9898879,0.73184955,1.2280135,1.4218628,1.0809118,0.7129415,1.4616868,1.3350351,0.89997905,1.092726,1.0912448,1.4058633,1.1164002,0.35570413,1.5402086,0.49658775,1.067467,1.2046862,1.2969732,1.1085974,1.2839129,1.2078689,1.378112,0.7730634,0.56765735,0.1727742,1.3073802,0.725351,1.1320373,0.5540258,0.6233398,0.81879157,0.7322578,0.70598096,0.83714724,1.2503259,1.2504445,1.2846057,0.7564538,0.8486882,0.59587514,1.17487,1.2374632,1.0400385,0.4822811,1.1216366,1.3427662,1.3377005,1.1429476,1.365216,0.86156404,1.4186827,0.6845629,0.6588869,1.2069287,0.9055466,1.229431,1.144557,1.1950995,0.92973375,0.7498607,1.0377638,0.37056237,1.0471449,0.7457005,0.8588333,0.3825742,1.4865658,1.0524014,1.4037286,1.4199045,1.4124773,1.2298067,0.43265516,0.41178262,0.8755592,0.23293984,1.0606552,0.6499474,0.73912084,0.74884814,0.74907416,1.0810803,0.49293077,1.2755806,0.85054564,1.3085899,1.0483735,1.104761,1.2610018,1.1265812,1.3843496,1.1213843,1.2237422,0.73093086,1.4494245,1.2115633,1.3819476,0.44760156,1.261193,0.4305581,0.8784708,0.73747265,0.83475816,1.0293367,0.6364054,0.6841587,1.3146014,1.3794401,1.4551684,0.4087466,0.52625173,0.5072359,0.8775221,1.1162817,0.61099434,1.3312294,1.0422978,1.2404925,0.9579462,0.5341855,1.2557483,1.1102378
arm,0.83666366,0.91457415,1.2964902,0.0,1.4262239,1.471225,1.179098,1.1334872,0.5835267,0.9616376,0.5777706,1.1926899,0.8221653,0.59231734,1.1243613,0.6371859,1.0938485,1.2227861,1.3758347,1.3700588,0.94538486,1.0238154,1.1467913,1.3338895,1.2168484,1.2559013,1.257583,1.1985234,0.7976296,0.67595136,0.89138144,1.4201353,0.6293285,0.6301782,1.046072,1.0601751,1.0694078,0.73279905,1.009563,1.364056,0.61396,1.4265018,1.2387927,0.8666699,0.9941128,1.1794722,0.77846944,0.9007501,0.5421076,1.3176776,1.1693404,1.3727962,0.8266785,1.1829035,0.9040066,0.84127635,1.3004756,1.2330927,0.78587687,1.2287633,1.3595805,0.9551,0.9950051,0.77620596,1.1120822,0.82980585,1.20929,0.79328513,0.82195735,0.48722297,1.3909265,1.2368631,0.7723813,0.7057431,0.9663026,0.4398315,0.95757097,0.6681521,1.3123443,1.0565993,0.7290581,0.8974168,0.96851695,0.70499027,0.9967602,1.2368131,0.94291997,1.0534823,1.3325768,1.0458173,0.983293,0.9833856,1.3355505,0.71343374,1.0608401,0.5132875,0.466972,0.7715121,0.8401713,1.3334949,1.3318101,1.3510175,1.3405128,1.1485815,1.2549264,1.1326469,1.29268,1.1429534,1.3003488,1.3077993,0.97018206,1.2577991,0.8615204,1.2557882,0.73395854,0.64178854,1.0302236,0.5548064,0.95516515,0.5315222,1.2448249,0.6538944,0.91892016,0.6964696,1.3677862,0.78566957,1.2378501,0.57118404,1.2043712,1.0626822,1.0716451,1.3073618,1.3019927,0.9957804,0.58165276,0.6803883,1.456336,0.92818016,1.1527195,0.777159,0.9935219,1.4815297,0.87473255,1.0857229,0.8954371,1.1464071,1.1493903,0.8827478,1.1308923
ball,1.1650081,1.0602635,0.5148848,1.4262239,0.0,0.24805588,0.8615496,1.0434784,1.4140084,1.1303027,1.3158975,0.893193,1.1743736,1.2625571,0.92820156,1.2720648,1.0390086,0.8330246,0.5699027,0.63000995,1.1011158,1.0139021,0.90990496,0.5674497,0.8982507,0.86772996,0.8568427,0.87451524,1.236486,1.3345368,1.0957863,0.51438415,1.3457263,1.2999206,0.8291171,0.9343329,1.0142617,1.1876498,1.0325965,0.6452466,1.3472145,0.5278177,0.92617583,1.1794382,1.0616517,0.8615607,1.2697735,1.1404506,1.3084693,0.81616545,0.81163675,0.51773655,1.2096609,0.80687666,1.142218,1.0092683,0.6033047,0.8392612,1.1382697,0.9073885,0.62111646,1.0292236,1.0437131,1.2102537,1.0205694,0.9552501,0.5509802,1.1898236,1.2809942,1.2597451,0.61310387,0.9350527,1.3098196,1.3780353,0.95133847,1.3653181,1.1596854,1.3150227,0.7345358,0.89101946,1.1325771,0.9081524,1.060066,1.0246943,1.0325645,0.90004146,1.038604,0.9511164,0.5304067,1.0997082,1.1109555,1.0917414,0.57912266,1.3769232,1.0046195,1.2893225,1.4204134,1.2043164,1.2461998,0.71195304,0.706987,0.8616557,0.64822716,0.8822358,0.7504355,0.79458404,0.78669107,0.97281957,0.8721835,0.74119353,1.1055007,0.83261895,1.138806,0.9253732,1.2108254,1.2253804,1.0520092,1.3567661,1.0411284,1.2661437,0.8323049,1.3594369,1.1760297,1.3714522,0.6579088,1.1774133,0.79382294,1.030111,0.80643857,0.920496,0.8408074,0.81629884,0.7996856,1.1456689,1.3107907,1.2058883,0.5072562,0.9083851,0.91559714,1.0070119,1.0271335,0.35187006,1.1987013,0.9307976,1.2022314,0.95812494,0.90404946,1.2341137,0.91773367
balloon,1.4101813,0.91309345,0.33958578,1.471225,0.24805588,0.0,0.72805727,1.0162363,1.5325757,1.1279674,1.5013721,0.60956794,1.147846,1.4889984,1.0459914,1.4531298,1.1371045,1.0106964,0.37904578,0.3992536,1.2589316,1.0646642,0.629099,0.5393425,0.9626133,0.64136493,0.86831087,0.68489695,1.2011229,1.2772889,1.1565874,0.41253734,1.4001501,1.3367089,0.82778364,1.0085485,1.0809463,1.2249846,1.1415076,0.42370462,1.4428607,0.33991873,0.9604407,1.2899544,1.2246262,0.9988528,1.2088826,1.099585,1.3828869,0.52739346,0.62452424,0.26570404,1.2584208,0.7677661,1.1991266,0.85977393,0.5373053,0.84488946,0.947615,0.747103,0.7527878,1.2498876,1.2290622,1.3120332,0.8873675,0.9036377,0.657866,1.2294563,1.3774251,1.309237,0.39950627,1.0187378,1.3438978,1.316651,1.0695007,1.3705682,0.99017894,1.3853717,0.47097385,0.7349324,1.2833564,1.006045,1.1441419,1.2285019,1.041924,0.88040423,1.0141416,1.1097946,0.41620386,1.0466336,0.92769825,1.0273758,0.42368704,1.3558309,1.0919217,1.4566228,1.4218664,1.4702243,1.3392725,0.46912205,0.47520673,0.73308885,0.4665041,0.9738031,0.48433018,0.91038316,0.66127515,0.82944536,0.9579798,0.5638442,1.1680753,0.68793535,1.1733961,0.8960842,1.3267546,1.3233404,1.1096058,1.4197068,1.0709549,1.2647023,0.5939841,1.3945303,1.077457,1.4495385,0.4907856,1.295788,0.5082681,1.0032578,0.8050679,0.8437969,0.97640663,0.56295675,0.6325475,1.2153925,1.4295517,1.4796599,0.3857388,0.7642219,0.7863203,1.0853018,1.0611947,0.48801637,1.432924,1.0337284,1.1478121,0.7631164,0.7320088,1.0434389,1.041645
banana,1.0394622,0.97635853,0.48626232,1.179098,0.8615496,0.72805727,0.0,0.9349587,1.3935761,1.1055481,1.368967,0.9253621,1.2366567,1.1624626,0.9332111,1.2267902,1.016869,0.98290664,0.88180757,0.726951,1.1236459,0.692829,0.9790698,0.82576084,0.9963627,1.0131414,0.9527497,0.7337663,1.1678915,1.2694559,0.54637027,0.96401256,1.3431919,1.2944102,0.9636383,1.0386741,0.77037454,1.2491724,0.7735684,0.7608875,1.3834829,0.80215037,1.0010476,0.9588063,0.9741447,0.890684,1.2169951,1.1328106,1.2621801,0.8409653,0.90493214,0.5546465,1.3264169,0.9908251,1.1884015,0.8723733,0.75509,0.7520799,0.880138,0.8007629,0.64681196,1.169778,1.2329779,1.3285043,0.9941508,0.7157677,0.73934114,1.2313178,1.1150321,1.0393348,0.8731088,1.0113305,1.2240161,1.2065812,1.0625497,1.2535863,0.8958345,1.2132113,0.9844975,0.9712355,1.075431,0.98521954,1.2021693,0.93810165,1.1968454,0.9577164,1.0720081,0.70171154,0.90829206,0.7212815,0.9381751,1.0756322,0.80498004,1.3617439,0.9895723,1.2777264,1.2739793,1.2460754,1.0239483,0.7798679,0.7464161,0.8299339,0.35315531,0.9243077,0.7668867,0.69605994,0.79934824,0.63739824,0.97858655,0.6268707,1.1105396,0.8947331,1.2039572,0.9363549,0.83056605,1.2488415,0.95171523,1.2848693,1.003992,1.1491889,0.7426339,1.3102154,1.2143536,1.24902,0.7539034,1.2403765,0.4036312,0.9095061,0.9190036,0.8269061,0.99241716,0.8132286,0.8805167,1.1714704,1.3017213,1.3033109,0.45343268,0.8256375,0.8281164,0.9405653,0.85523283,0.6128681,1.0062447,1.1428208,1.1611603,1.0388649,0.87791026,1.3120008,1.09697
basket,1.2293341,1.1685505,1.119132,1.1334872,1.0434784,1.0162363,0.9349587,0.0,0.971908,1.0964766,0.9579637,1.0110755,0.6025983,1.1718491,1.1420825,1.0560062,0.904373,0.61364794,0.87748206,0.7375077,0.44657505,0.7787072,0.86259675,0.68804324,0.9675654,0.6630346,0.95545727,0.7893424,1.2360814,0.8196782,1.0316074,0.85357076,1.0770949,1.2305264,0.9597055,0.6660035,0.96342367,0.8520583,0.84962666,0.93703854,0.7371621,0.7152092,1.0528649,0.8747486,1.1368359,0.94632477,0.8923905,0.5594905,1.2778018,0.82105327,1.0996413,1.0728779,1.1430497,1.1527642,1.2453568,1.1875551,1.0616851,0.8977717,1.0643268,0.6471321,1.0645556,0.9678405,1.0742117,1.024309,1.1754389,1.0596671,0.9046849,1.2562046,1.0739436,1.1862032,1.0453516,1.0824,0.9897072,1.1866235,0.8770831,1.3147544,0.8633127,0.8200159,0.7086133,0.9659951,1.1725459,1.110462,0.78317165,1.132556,0.86287713,0.98072207,1.1826205,1.05262,1.0561152,0.77015543,1.0988286,1.2134017,1.0156192,0.98101217,1.0730561,1.3124483,1.2860272,0.95340806,1.0833784,0.8872386,0.89499885,1.0450249,1.1083413,0.95139146,0.9297211,0.95346135,0.73951507,0.73714983,1.0435356,1.0397315,0.6980893,0.7214625,0.9339762,0.9285076,1.065552,1.1898241,0.88113606,1.263555,0.8792116,1.2563527,0.6777887,1.1017829,0.80323064,1.0334187,0.9049672,1.0770965,0.9920495,1.1389779,1.0265934,0.825835,1.1536317,0.9253742,0.9830853,0.96706724,1.296723,0.98866105,0.80921984,1.1658604,1.1607552,1.0663061,0.8874552,0.8316307,0.82675254,1.079735,1.0804259,0.7197268,1.0935594,0.9726249,1.0627366
bathtub,0.7838334,1.2360799,1.5358156,0.5835267,1.4140084,1.5325757,1.3935761,0.971908,0.0,0.8773956,0.29608846,1.3158263,0.6296217,0.6168264,1.1347895,0.47895634,0.93098146,1.112469,1.4306364,1.2479823,0.6431851,1.1077332,1.2068379,1.3200059,1.160376,1.2151853,1.1662018,1.2174945,0.74241877,0.6129625,1.0084589,1.342654,0.3630898,0.6304222,1.0123441,1.0982924,1.0200946,0.5924117,1.039221,1.5021942,0.38915658,1.4210904,1.1999681,0.64260745,0.9907508,1.1946324,0.56048113,0.7379128,0.6140482,1.3833811,1.3450797,1.5134583,0.72044146,1.239354,0.86359876,1.2823275,1.3692108,1.2564514,1.1555326,1.4266142,1.3731236,0.8874867,0.9211035,0.63243514,1.2695603,1.2842494,1.3817362,0.83525044,0.65844893,0.90333694,1.5061724,1.2365898,0.526065,0.7525248,0.9677181,0.57164246,1.0491242,0.5964756,1.2816331,1.3628445,0.9437102,0.9672527,0.81834316,0.8374227,0.90126634,1.092495,1.1765546,0.93572074,1.4075767,1.0976795,1.285704,1.1424478,1.3665574,0.3688619,1.0038353,0.5266273,0.53017575,0.6219081,0.69695795,1.5124378,1.4685824,1.3309225,1.4466339,1.2573779,1.3912804,1.2353135,1.3014718,1.0309806,1.2754228,1.3078437,0.85822046,1.1434695,0.62111735,1.3033594,0.89778847,0.75158364,0.9891669,0.6285113,1.0639057,0.70552754,1.3271526,0.26120484,0.44414747,0.42498636,1.4877815,0.5773526,1.3389963,1.0876038,1.1610055,1.0958688,0.9705583,1.3835025,1.3031166,0.7970895,0.5582954,0.4092046,1.4239781,1.3544564,1.3781458,0.98783565,0.9946568,1.4704571,0.58289915,0.9536252,0.86414224,1.1530228,1.4126434,0.7574756,1.1567119
bear,0.85324407,1.1309217,1.103146,0.9616376,1.1303027,1.1279674,1.1055481,1.0964766,0.8773956,0.0,0.9312381,1.0924346,1.04491,0.9798423,0.97990996,0.9253188,1.1160915,1.1868702,1.0992663,1.1570662,1.1135756,0.9659885,1.0931263,1.2111386,1.0427306,1.1965353,0.9897054,1.0997936,0.5755248,1.1223195,1.0425874,1.1128968,0.9302108,0.97216547,1.0901022,1.029744,1.1105814,1.0646256,0.9590587,1.1325539,0.95302725,1.1894003,0.85910726,0.99848515,0.8635332,1.038223,1.00103,1.150225,1.0653929,1.049134,1.0374051,1.0927923,0.56470454,0.9758076,1.0571609,1.1501074,1.0792012,1.030425,1.1762112,1.1013725,1.0505303,0.9961379,0.94526047,1.0262628,1.1101935,1.1387932,1.2709856,1.0884804,0.794847,1.080765,1.0924356,0.94380903,0.92871016,1.001723,1.1914842,1.0202004,1.1233528,1.0018654,1.0655363,1.0417129,0.9494791,0.85623336,1.0363712,1.0282391,1.0932486,0.97451854,1.1252316,0.94849104,1.0532676,1.0962799,1.1072961,1.0697317,1.012978,0.9191658,0.5888441,0.99249756,1.0082881,0.98865896,0.71598387,1.1374352,1.1352888,1.0717666,1.107718,0.90721977,1.0557944,1.0667356,1.1064636,1.1746043,0.932929,1.0096061,1.1247172,1.1190064,1.0400243,0.91057634,0.83725905,0.9829414,1.0758793,0.97605747,1.2005293,1.0037906,1.1507795,0.8567534,1.0672723,0.7318084,1.157871,0.56813705,1.1756145,1.1891992,1.0774689,1.1116545,0.99230796,1.1274393,1.0745903,1.042453,1.022014,0.9353744,1.181774,1.1877081,1.1195538,1.1896398,1.1060122,1.1925945,1.0037581,0.9405832,0.8322171,1.134923,1.0763733,0.8066005,0.93927073
