,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2006018,1.4144965,1.0563346,0.63408655,1.3324978,1.2630203,0.91838366,1.3587683,0.6952196,0.5989152,0.5688571,1.4202809,0.85981333,0.5475837,1.0145772,0.84896785,0.9622539,1.5059972,1.4096732,0.90078425,1.4898009,1.4430857,0.99077976,1.4998035,1.3295228,1.0417215,0.7735362,0.88125247,0.73340493,1.3687587,0.9165367,0.92904717,1.0826457,1.0249381,1.2984985,0.71436256,0.8641155,1.5488513,0.6374351,1.5500467,0.90189517,0.9651142,0.2712388,0.642734,0.9932726,1.0050855,1.1164844,0.8922701,1.311078,0.7691954,0.7837546,1.257463,0.8936487,0.8537153,1.1527061,1.489984,0.7128377,1.1275113,0.76683664,1.2176772,0.324467,1.1948111,0.7444037,0.74539596,0.80528426,1.3176982,0.7413246,0.5936617,1.0568057,0.5214315,1.4402435,0.8509824,1.4807109,1.3182147,0.7388313,0.9838762,1.154856,0.34343338,0.8305416,1.1222465,1.4342427,1.4948094,1.2411726,1.188801,1.4227682,1.426561,0.68498784,1.1182489,0.42537653,0.6294302,0.79595786,1.4859121,1.5270381,1.3311484,1.1516243,0.9768394,1.3648247,0.7760613,1.0375087,1.2622433,0.8307389,1.1782242,1.1949571,0.5367359,1.1479468,0.9274723,0.8268509,1.0916717,0.77922964,1.0362272,0.88061905,1.0344396,0.6027465,0.6461591,0.94707644,1.277551,1.0071435,1.2530012,0.9415077,1.2581632,0.9523003,1.4561504,0.67325354,1.1710441,1.4069076,0.99247694,0.68020433,0.6147108,0.60691154,1.4552346,1.2940311,1.3166933,0.92427695,1.0689046,1.131471,0.7320866,0.93854594,0.95522684,1.1381891,1.4180018,1.065302
ankle,1.2006018,0.0,0.97675157,0.9704131,0.9022267,0.95840037,1.0881209,1.0622197,1.0217708,1.2234635,1.0703822,1.2405398,0.95182925,1.1458626,1.2151493,0.9104829,1.1580427,1.1039858,0.9925575,1.1323881,1.1786045,0.86428547,1.0138386,0.95232064,0.9581377,1.1252868,0.8897048,1.0977067,1.1270593,1.1061269,0.960743,1.085789,1.0469778,1.1746536,1.0722935,1.0527946,1.2209995,1.0675274,0.8995713,1.2848254,0.99828243,0.9613112,1.121108,1.2023275,1.1703689,1.1037027,1.1456914,0.8852953,0.84580195,1.0113871,1.0002142,1.1218343,0.48925877,0.9873933,1.1447421,0.63616294,0.8653287,1.1316236,1.0323433,1.1230857,0.8786751,1.040523,1.0108005,1.0848837,1.083481,0.7035066,0.99054277,0.99079084,1.1217552,1.0148212,1.092183,0.8761449,1.1533282,1.0211562,0.8676405,1.0161839,1.1658522,0.8803888,1.1823015,1.099206,0.8902334,0.8134955,0.8822582,0.88736033,0.6140841,0.78129804,1.0384725,1.1909963,0.8746079,1.1860912,1.0521777,1.1140945,0.90922284,0.88556314,0.78889644,1.0392628,0.96584624,0.93935376,1.1857998,1.1216397,1.0761933,0.9112516,0.8419946,0.97693956,1.115522,1.0646378,1.133581,0.8875681,0.8656311,1.0717633,1.0087643,0.99497914,0.94919163,1.1312542,0.8417985,1.0406761,0.877079,1.0486891,1.1702639,1.181514,0.8142501,1.1148578,1.0279504,1.0392497,0.99809486,0.8978454,0.97215575,1.0818298,1.1426969,1.2213271,1.0307631,0.50975704,0.8388579,1.0195805,0.9200989,1.1248251,1.2317373,1.0909811,1.0172045,1.0272259,0.6544143,1.1048716
apple,1.4144965,0.97675157,0.0,0.819389,1.4406871,0.1833787,0.3373217,0.8988204,0.9908496,1.4611542,1.1168337,1.5276062,0.6758758,1.4352677,1.3614081,0.69571304,1.1783793,1.1951437,0.5756738,0.49836826,1.3821795,0.506155,0.74697316,1.0083598,0.79958177,0.77275145,0.93870294,1.2497672,1.4672261,1.1683867,0.6931611,1.3456789,1.0742724,1.137847,0.84037507,0.56507504,1.4384389,1.1335821,0.4228227,1.585527,0.5261738,1.226369,0.81826496,1.218615,1.0718788,1.3550032,1.2844598,1.0822157,1.0792708,0.2859279,1.2285161,1.1853002,0.7356686,0.85724795,1.0532893,0.9901876,0.7322955,0.84013045,0.8688022,1.3531542,0.8498354,1.3552486,0.52795756,1.2662663,1.1322058,1.241479,0.580517,1.0848684,1.415516,1.090122,1.4017448,0.84740186,1.4539812,0.7781788,0.7769717,1.1773115,0.7738749,1.0774761,1.3737218,1.2593725,0.79793644,0.43289614,0.37119025,0.8733772,0.94763803,0.7010717,0.31251514,1.4995693,0.84048843,1.3640945,1.4563715,1.4388498,0.59163356,0.5731438,0.7276566,0.5383291,0.96950936,0.72195315,1.1386218,0.9265322,0.74453235,0.99902654,0.82971644,0.6399387,1.4707279,1.0364118,1.4071523,1.0414276,0.8547455,1.273091,1.0639539,1.2307533,0.91559446,1.3940337,1.2187401,1.1223118,0.75785977,1.2609738,0.95430267,1.2145969,0.6104784,1.0678182,0.29385352,1.2901103,0.67382765,0.84799045,1.075356,1.3444843,1.395554,1.4044027,0.3633132,0.6370952,0.67132753,0.9669302,1.0238814,0.47277212,1.27374,1.0865029,1.1988988,1.1861627,0.6842637,1.2276236
applesauce,1.0563346,0.9704131,0.819389,0.0,0.92597574,0.92041844,0.9647044,0.8633455,1.1785936,1.188696,1.1225573,1.1856606,1.0824527,1.2285532,0.98185974,0.76579297,1.1261045,1.1608413,1.2240082,0.9388401,1.141084,0.7463981,1.1628187,0.9900111,1.2047286,1.1386225,0.44005919,1.1198391,1.2281882,0.9117165,1.1850466,1.2403721,1.1319909,1.0628109,0.9403625,0.7838613,1.1273091,0.8989415,0.9728541,1.2789912,1.1348212,0.89403236,0.8901954,1.0957267,1.0521394,1.2870665,1.1531038,1.1837848,1.0525467,0.80393934,1.0167443,0.9669037,0.67041373,0.8305696,1.1797528,0.9516768,1.1350193,0.8599679,0.80745083,0.96027905,0.7661969,0.871058,0.7642988,0.9883041,0.9500226,0.79742825,0.9574376,1.0227956,1.096123,1.0543774,0.9000855,1.0844842,1.2715324,1.1206297,0.906928,0.9613047,0.80292434,1.3658319,0.8963943,1.1290033,0.84932876,0.89655095,0.99817896,1.0872095,0.7936232,1.0290234,0.73484087,1.0447297,0.7309832,0.9547037,0.91475433,1.217418,1.1724209,1.1316583,0.92270446,0.7213621,0.94339436,0.83242774,0.9108752,1.2732278,0.97795093,1.0744063,0.965856,0.5594751,1.1191947,0.8857403,1.2489176,1.0689797,1.025404,1.1317339,0.9580411,1.097389,1.006122,1.0339162,1.0235089,0.98567396,0.87421274,1.2599319,1.0937238,1.1211219,0.7463354,0.984642,0.912122,0.9263873,1.0222224,1.1502343,1.0951204,0.99181926,1.0405779,1.1730522,0.78952134,0.67929494,0.76815796,0.9760686,1.1391023,1.0212575,0.93432873,1.2113112,1.1787958,1.3319457,0.93721545,1.2681036
arm,0.63408655,0.9022267,1.4406871,0.92597574,0.0,1.4021919,1.4229064,1.0705764,1.3556176,0.6654598,0.8856462,0.6026985,1.3499807,0.75488335,0.5660006,1.2444472,0.9658566,0.98342717,1.4390714,1.4057702,0.81401134,1.3429527,1.378329,1.1574196,1.4131706,1.3766146,0.9281192,0.9245118,0.8397001,0.8749229,1.382559,0.8701079,1.0301636,1.0512757,1.0552889,1.3592312,0.7305305,0.8705858,1.4409431,0.6345674,1.4606543,0.92604995,1.1000658,0.9291111,1.1126364,0.85829914,0.8245906,1.1206226,1.0460806,1.3016177,0.53655064,0.72255445,0.87639546,1.1538002,1.0039688,1.0261629,1.3961308,1.1947248,1.2759758,0.7661003,1.0738897,0.5861704,1.2394934,0.64822894,0.66291034,0.42611885,1.3979697,1.1468464,0.5216788,1.1037056,0.42231882,1.2985023,0.7524755,1.3472557,1.2472401,0.9106446,0.9936297,1.078534,0.5023228,0.8852363,1.0083675,1.3591747,1.3941491,1.3297899,0.9032832,1.2309926,1.3950503,0.52962744,1.2191163,0.40498388,0.49377543,0.6198727,1.4228595,1.4190645,1.1918461,1.2123202,1.2533147,1.3055726,0.8540658,1.1524856,1.1780283,1.2214302,1.0884383,1.0771376,0.7603258,1.1686395,0.8072683,0.9731193,1.2968442,0.7500272,0.9243895,0.799717,1.1892612,0.42841792,1.0404972,0.84485537,1.3982055,0.9416281,1.1756377,0.8601227,1.3726983,0.99438953,1.4687719,0.58039296,1.2047814,1.4068912,1.0325625,0.66914284,0.451926,0.5098876,1.5018275,0.9968922,1.1930039,0.85871035,1.2330939,1.3945794,0.66637075,0.97788036,1.0685303,1.0918179,1.2560203,0.9841749
ball,1.3324978,0.95840037,0.1833787,0.92041844,1.4021919,0.0,0.26027644,1.0696095,1.0069788,1.4019954,1.0085356,1.407061,0.78218365,1.352895,1.3449596,0.7870367,1.1729754,1.1689467,0.6185867,0.5932526,1.3533411,0.65812975,0.71808964,1.0758672,0.82398254,0.81993437,1.0125043,1.2094218,1.4107411,1.2445697,0.56476355,1.3079351,0.92208815,1.1400652,0.7518836,0.83166456,1.3653526,1.3171642,0.55345327,1.5209479,0.5479982,1.2315551,0.6796504,1.1725209,1.0691226,1.3264649,1.2543995,1.0709381,1.0395058,0.24328125,1.1914551,1.1811355,0.77379704,0.94227624,1.1472049,0.9831861,0.8159934,0.9105951,0.86130714,1.2290279,0.84605736,1.2210164,0.6121325,1.2131342,1.211188,1.2049589,0.48032308,1.0435048,1.347889,1.0929692,1.3111248,0.9523772,1.4068749,0.6940557,0.9101965,1.1594307,0.8721796,0.99809337,1.2332032,1.1925361,0.8747043,0.51231617,0.42972654,0.87747,0.96410066,0.7516123,0.41042376,1.4349849,0.8480825,1.2812691,1.4055159,1.3506666,0.63889354,0.62833285,0.8036027,0.85299367,1.0185553,0.83251625,1.2600981,1.0442923,0.9171489,0.9895735,0.73140574,0.77919066,1.3861915,0.98443145,1.4001186,0.9239454,0.85820246,1.2889761,0.97061104,1.1932384,0.9925522,1.335062,1.1264609,1.0614809,0.8112508,1.2283976,0.93645704,1.2327213,0.64282274,1.1029768,0.41171807,1.1760077,0.79012525,0.89374346,0.9851004,1.2421765,1.3413751,1.3090575,0.4095378,0.6557242,0.7524637,1.0785832,0.9961724,0.46771383,1.2963705,1.1202908,1.1922207,1.1385326,0.7285752,1.2080334
balloon,1.2630203,1.0881209,0.3373217,0.9647044,1.4229064,0.26027644,0.0,0.98741525,0.97836536,1.3073647,0.9470671,1.3624055,0.7595142,1.3038473,1.3173159,0.7551854,1.1090972,1.033748,0.6544577,0.528684,1.2486525,0.6976668,0.68030226,0.9856315,0.8341426,0.8396809,1.1632473,1.2032403,1.3773963,1.2403475,0.5421778,1.217027,0.77276677,1.0807734,0.7410756,0.837711,1.2792702,1.2268814,0.648237,1.4235973,0.5808558,1.3490567,0.5424278,1.0118482,0.87405527,1.2274935,1.150415,0.99648565,1.0517441,0.26269877,1.2653544,1.109937,1.0227363,0.9098749,1.0698127,1.0677794,0.8079777,0.7271372,0.9554782,1.2542235,0.94139904,1.287712,0.64581454,1.2305341,1.2021091,1.3189039,0.6038593,1.0719974,1.3893318,1.0443805,1.4262978,0.9504916,1.3605161,0.6749032,0.9289683,1.1768465,0.7983546,0.92984253,1.2412534,1.2212443,1.0096556,0.5520922,0.6136091,0.8979062,1.1359389,0.8301126,0.35119617,1.3901522,0.88635725,1.3191447,1.4896336,1.2118521,0.6910589,0.6959732,0.88102806,0.8615105,0.91587996,0.8722406,1.1055553,0.9723034,0.7946228,1.002125,0.9487699,0.7111057,1.4185452,1.0220474,1.2307857,1.0377228,0.96752185,1.2188056,1.0357256,1.1659924,0.88001984,1.3952454,1.1889496,1.1350483,0.8713833,1.1451803,0.8938809,1.2230525,0.85907274,1.0129927,0.48589486,1.2301309,0.70092285,0.85187745,0.8919388,1.273325,1.3716033,1.2347535,0.43420684,0.94324684,0.97548777,0.9953673,1.0200417,0.36150134,1.1268797,1.0779083,1.1605861,1.0574245,0.9031808,1.050365
banana,0.91838366,1.0622197,0.8988204,0.8633455,1.0705764,1.0696095,0.98741525,0.0,1.1203867,1.0625653,1.0512708,1.2222888,1.1998546,1.232684,0.76462376,0.830295,1.1123939,1.1025991,1.083161,0.9492725,1.1827275,1.0040593,1.0979118,0.8639926,1.1923016,1.138212,0.8685744,1.074416,1.1686631,0.7441733,1.0436434,1.0563005,1.0083889,0.9076288,0.8629356,0.69624877,1.2242615,0.5084193,0.9986029,1.2303908,1.0994744,1.2075082,0.90793264,1.009082,0.991981,1.1439941,1.1843616,1.0691164,0.9467161,0.8653841,1.0304941,1.1166472,1.1070578,1.0456842,0.9251977,1.1297747,0.96575177,0.5812935,1.0660155,1.0189642,1.0441263,1.0445416,0.80422354,1.1378312,0.93625164,1.0055383,1.1930478,0.92586464,1.0630919,0.9927405,1.0737239,0.93406945,1.0957761,1.1174543,1.0461984,1.1265994,0.5967771,1.0374789,0.9585934,1.0585659,0.9657563,0.9761479,1.1553677,1.0118247,0.89737076,1.109454,0.96440923,0.94595265,0.9282868,1.1468332,1.0435287,1.0426611,1.043466,1.0686829,0.9801628,0.56196934,1.1458869,1.2288407,0.8207392,0.98974794,0.8971592,0.9371376,1.0939854,0.8609863,1.0622596,1.2104541,1.1115025,1.0293314,1.1082166,0.9344024,1.1301835,1.1139754,0.16344863,1.0879116,1.0515869,1.0502698,0.87546027,1.1299559,1.1519334,1.0050043,1.0749875,1.0360755,0.9033295,0.9750829,0.95682704,0.9336083,0.7329638,1.2217381,1.0903169,1.0644877,0.8445351,1.103059,0.99974,0.5212927,1.0482512,0.81338,0.91036093,1.055076,1.1416097,0.9902451,1.0011687,1.0862297
basket,1.3587683,1.0217708,0.9908496,1.1785936,1.3556176,1.0069788,0.97836536,1.1203867,0.0,1.1659392,1.2828212,1.1524729,0.71905935,0.80579436,1.3880944,1.0695333,0.85721356,0.81038976,0.61392784,0.6647823,0.7626803,0.70696306,0.51237655,0.8562777,0.4875914,0.5961642,1.1442455,1.1953852,0.823994,1.1040887,0.642828,1.0975528,1.0735315,0.73803425,1.0397825,0.8355467,1.0060669,0.97266287,0.739574,0.91146654,0.5667911,1.0626636,1.1916877,1.1579384,1.003479,1.0096524,0.75225514,0.86761475,1.0608381,1.0655546,1.3059065,1.3318268,1.1760284,1.0552784,0.93053114,0.87119097,0.50921935,1.1101787,0.8851352,1.1137587,1.0764848,1.3107929,1.045137,1.357717,1.1177208,1.338901,0.7910292,1.0918527,1.4001416,0.86685,1.4655795,0.5887096,0.8473221,0.672691,0.7975228,1.0956016,1.1186632,0.72444963,1.4156647,1.0492079,1.0964144,0.8346748,0.88611066,0.5632266,1.1428072,0.9634042,0.8775856,1.0648122,0.9893012,1.4523809,1.3435102,1.039696,0.63692915,0.65527225,0.9157938,0.9916228,0.8181621,0.69394946,1.0934325,0.8053741,0.7421348,0.9658548,1.0746735,1.0466812,1.0293158,0.7452466,0.98733896,1.1604973,0.98720664,1.0708256,0.9528225,1.1841742,0.9519626,1.4143165,0.900591,1.2067223,0.6917019,1.0292665,0.68572366,1.0675507,0.72932315,1.0588328,0.86671907,1.2206957,0.97236586,0.48258358,0.97970086,1.2085236,1.4337984,1.2795017,0.6731883,1.1292346,0.97202194,1.1502628,0.60209244,0.82621145,1.0860933,1.0380288,0.9382609,0.7223992,0.7893191,1.003358
bathtub,0.6952196,1.2234635,1.4611542,1.188696,0.6654598,1.4019954,1.3073647,1.0625653,1.1659392,0.0,0.8781639,0.40384436,1.1575359,0.5558016,0.64602506,1.3670835,0.7795778,1.0122577,1.326944,1.2573247,0.7511687,1.4125255,1.2912102,1.2315751,1.199651,1.0714111,1.2254983,0.4110127,0.876495,0.9739628,1.1066436,0.47645116,0.9165858,0.8104632,1.0571368,1.158579,0.70599353,0.9313859,1.3785911,0.5150795,1.399705,1.0600564,1.0443894,0.87398636,1.2349803,0.36945903,0.717976,1.0554432,0.89984494,1.3599656,0.67779106,0.8978993,1.3604159,1.1441352,0.9471532,1.1756886,1.1836313,1.1870624,1.2579422,0.83182913,1.2576336,1.0235403,1.444215,0.89533263,0.7959824,0.98904896,1.4438317,1.1084146,0.6053038,1.221955,0.62894964,1.0739517,0.75894547,0.98390055,1.2345665,1.0905894,1.0786372,1.0458131,0.8426298,0.76902044,1.2641745,1.389591,1.3755655,1.1874036,1.2933164,1.2426866,1.4054568,0.5799645,1.2481551,0.5841005,0.6914746,0.51087064,1.3029754,1.3274941,1.2659652,1.2672687,1.1369641,1.2595088,0.90452695,1.0431496,1.1678172,1.1982455,1.2429742,1.2842768,0.8372004,1.0213516,0.6507488,0.7512753,1.3662031,0.76395845,1.1311072,0.93679893,1.1296208,0.6099491,1.1406081,0.76885974,1.409696,0.7675104,0.7549933,0.39741313,1.4793336,0.55342025,1.3698047,0.7872534,1.1699651,1.1990743,1.0581276,0.94721544,0.70062166,0.42812383,1.41709,1.440398,1.3383819,1.0630574,1.1866097,1.3938491,0.7135116,0.93651664,0.90637505,0.9006587,1.3945105,0.57590055
