subject_id,age_bin_1,age_bin_2,median_age_threshold,rdm_correlation,n_common_categories,n_categories_younger,n_categories_older
00320001,younger,older,16.0,0.8134636467931636,154,161,155
00680001,younger,older,16.0,0.5506966463565467,87,88,151
00320002,younger,older,16.0,0.715621074515702,144,156,144
00500001,younger,older,16.0,0.7992889969674303,154,155,160
00400001,younger,older,16.0,0.8114404261262339,157,160,158
00560001,younger,older,16.0,0.7920250052029131,147,154,154
00370001,younger,older,16.0,0.7116158979053595,151,155,153
00400003,younger,older,16.0,0.7864049871456208,148,152,149
00510001,younger,older,16.0,0.7038943823610411,140,153,144
00420001,younger,older,16.0,0.752386643539269,141,160,142
00430001,younger,older,16.0,0.7945211086662203,150,157,153
00510002,younger,older,16.0,0.8362730596153888,153,157,156
00240001,younger,older,16.0,0.7704530233651147,149,155,153
00490001,younger,older,16.0,0.6936234225330058,127,149,128
00320003,younger,older,16.0,0.7752757918724655,147,155,148
00400002,younger,older,16.0,0.8170639252663684,155,159,156
00370002,younger,older,16.0,0.8121111360726968,156,160,157
00590001,younger,older,16.0,0.6430374657696778,134,139,147
