,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
sock,1.0081229,0.65390027,1.0567386,0.73766506,1.0582886,1.0744858,0.97078586,1.1968023,1.0613865,1.0206081,1.192682,1.1595876,1.1237894,1.0206023,0.9407391,1.0959954,1.1507864,0.99323875,1.0732808,1.0616958,1.0262697,0.9728614,0.98614806,1.0373306,0.96795624,0.9637712,1.0676521,0.9406866,1.1325094,1.0804476,0.9003408,1.1865509,1.0868059,0.9271688,0.99515647,1.0263468,1.0095148,1.0120233,1.1949352,1.1304761,1.0453624,0.89557225,1.0671481,1.1566907,1.1198642,0.98617435,1.0252963,0.9561607,1.0050061,1.1457123,0.7949394,1.0755996,1.1648097,0.591257,0.90945804,0.8224507,1.1128166,1.0822703,0.28327185,0.9709432,0.9246991,1.0910366,1.025923,0.72640383,1.038049,1.1283222,0.8891635,0.9164457,1.097842,1.0131454,1.1159784,0.9875362,0.79969627,0.9715344,1.1119314,0.97225,0.9747511,1.1079881,0.7672828,0.88304466,1.071991,1.1307051,0.9815388,0.93560374,1.0421228,0.9933857,0.92812437,1.001811,0.9750213,0.8272517,1.1065301,1.0770019,1.1581204,0.9771227,1.1758052,0.935416,1.2087234,1.1072066,1.0194747,1.0250479,1.1098946,1.0082463,0.60898316,0.7460275,1.0177739,1.0838765,1.245635,1.0798372,0.52922535,1.0669256,0.0,0.92042756,1.0307639,1.1786509,0.9487177,1.0791817,1.0965421,1.0183091,1.2256943,0.9290511,0.605963,1.0198883,0.9244842,0.7837798,1.0507138,1.1421928,1.1441675,0.9979907,1.1107074,1.1111362,1.006594,1.1290045
soup,1.1115681,0.91164255,0.868687,1.0599089,0.99934167,0.85359895,0.7206936,0.9263521,1.0177827,1.0102351,1.17219,1.0703704,1.2415297,0.9571656,0.9943171,1.1350375,0.9987826,0.9397585,1.036424,0.37194043,0.88787466,0.9029407,1.1095343,0.9420335,0.98196465,1.138025,1.1611536,0.8834148,1.1448224,1.2489567,0.9663865,0.9165529,1.0209489,0.9640619,1.0803494,1.1281734,0.9278928,0.95667166,1.1830944,0.9876151,0.70817775,1.1418335,1.1164839,1.1609936,0.92804384,1.1246156,0.7163254,0.94457537,0.9118297,1.0942515,0.9736958,1.0244625,1.085215,0.9654359,0.94454557,0.7805965,0.84884715,1.104291,1.009105,1.1169722,0.7228136,1.197751,0.84343874,1.0025822,1.173804,1.2335443,1.2372308,1.1121782,1.0543562,1.2395813,1.0033329,0.78951454,1.0671222,1.0805616,1.1995919,0.9014918,0.9663701,1.0921826,0.9410299,1.0551153,0.8799633,1.0699492,1.170659,1.1483946,0.7439294,1.0741816,1.0673692,0.6596638,0.97067773,1.0428349,1.0606713,0.9835955,0.56071025,0.95118636,1.089634,1.017555,1.0539906,1.0222338,1.0265409,1.0575311,1.0606581,1.1482558,0.9681837,1.0893222,1.069453,1.1446468,1.0369805,1.0373557,1.0092165,1.0909759,0.92042756,0.0,0.9258758,1.131149,0.8014821,1.2199495,1.0968425,1.2298125,1.0882363,0.73140633,1.0290828,0.9752169,0.88056076,1.0270221,1.0039902,0.62819415,1.1504858,1.1170107,1.2237458,1.2189634,1.0553834,1.1424935
spoon,1.3828828,0.8843842,0.8049184,1.1194309,0.8010622,0.870541,0.9256301,0.9569533,1.2163998,1.2247553,1.5177497,0.733513,1.2603983,1.3971934,0.6831431,1.4685515,1.487845,0.699426,0.6437021,0.78368175,1.1349968,0.81993437,0.7544904,0.90482044,0.81948924,0.81402004,0.87788093,0.6498753,0.9230995,1.10845,0.9493431,0.44031656,1.307699,0.93514776,1.191963,1.3899999,1.0855505,0.38868326,1.4545486,0.61415255,0.9991285,0.82225746,1.2693307,0.99767995,0.76136506,1.3558388,0.8208048,0.95161587,0.83416796,1.3419659,0.78343725,0.63856715,0.856151,1.2024099,0.18477988,0.8078684,1.3039424,0.63312274,1.2006823,1.4081932,0.9433646,1.2613139,0.9449424,1.1224872,0.6817568,1.1128464,0.9927337,1.3109324,0.314561,0.87163675,0.4687767,1.1202842,1.4671516,0.7664043,1.2567763,1.1668572,0.98536676,0.6397008,0.64541316,0.7066834,0.9411906,0.73989403,1.4222373,1.105651,0.8425683,0.32969558,0.5012403,0.52849245,0.92352533,0.7711071,0.59748393,0.90714294,0.84910667,0.951183,0.8125318,1.1198945,0.45929122,1.1980051,1.0939895,1.2700825,1.2663145,1.3701168,1.2326897,1.1180428,0.8128607,1.0049682,0.6894604,1.4568967,0.7011497,1.298708,1.0307639,0.9258758,0.0,1.3342295,0.81988853,1.1777829,1.3511411,1.243188,1.3211802,0.77963734,0.7871802,0.80607045,1.028573,0.63413495,1.0868686,1.2044821,1.2637058,1.1864084,0.9213315,0.924427,0.6499978,1.1430421
sprinkler,0.62180287,1.2663711,1.2600857,0.8529264,1.3166105,1.2226673,1.0676436,1.1477566,0.6344931,0.84919494,0.6085572,1.293772,0.67629325,0.8402381,1.2282184,0.65731263,0.52365875,1.3363154,1.3587697,1.2830305,1.0412002,1.2368983,1.0984411,1.2045586,1.1523813,1.3227782,1.0729946,1.2342544,1.0548152,0.78533906,1.1002123,1.3806689,0.7647334,1.06373,0.90168107,0.7538129,1.0157615,1.372383,0.6871683,1.3789685,1.0772173,1.2982302,0.97502613,0.91566837,1.0760117,0.8157022,1.226523,1.127151,1.124583,0.75099444,1.1547234,1.3355253,1.1863135,1.040782,1.3123251,1.168044,0.8515511,1.3089849,1.0288137,0.6552799,1.2023306,0.813979,1.0480487,0.9431163,1.3744708,0.4448151,1.0614868,0.7105659,1.2306559,0.8444555,1.3856641,0.91889185,0.7117452,1.165046,0.39429796,0.9756261,1.1379325,1.3483666,1.3804132,1.2713898,1.1766833,1.2323244,0.78445107,0.89562297,1.2096679,1.3043392,1.246794,1.2299166,1.1877608,1.2310971,1.3123262,1.2009196,1.1988184,1.1552885,1.2212299,0.9780125,1.3145151,0.9259519,0.9284641,0.9676109,0.2028948,0.7198,1.0035683,1.1087241,0.5785972,0.8600713,1.2105546,0.4176259,1.3972499,0.82183784,1.1786509,1.131149,1.3342295,0.0,1.225333,0.6706359,0.68930626,0.8102478,0.66321665,1.2896215,1.2505803,1.2492192,0.721515,1.3710667,0.95851314,0.9439409,0.68776155,0.74008,0.9664439,0.48039806,1.3109572,0.78492296
strawberry,1.2975794,0.7513782,0.40658885,1.0819788,0.62235266,0.43112218,0.79164803,1.0340945,1.3332213,1.1137921,1.4045967,0.91132444,1.3888453,1.2620192,0.9200363,1.3177663,1.2336512,0.842013,0.81988364,0.7109915,1.013533,0.7518393,1.0157263,0.80515075,0.9560954,0.95944464,0.9579931,0.68848926,1.1692228,1.3076937,0.8553865,0.7675797,1.0895901,1.0337745,1.1670693,1.3110719,1.0014851,0.6739775,1.3777492,0.80299,1.045245,0.8837662,0.97604245,1.284895,1.0308931,1.3123444,0.6868151,1.0346229,0.71128947,1.2460474,0.71756315,0.86833274,0.79017466,1.0427907,0.8627784,0.7401475,1.0359831,0.87178004,0.9836026,1.2870958,0.76225233,1.2131695,0.71953964,0.9954712,0.76806974,1.2703881,1.1329606,1.3010395,0.82975084,1.2176101,0.8128767,0.94822574,1.1124278,0.9876881,1.1577985,0.9746569,0.7550579,0.6518068,0.72128385,0.88281506,0.5697204,0.981268,1.3481846,1.2167407,0.9152757,0.8329141,0.8481718,0.76511616,0.8895299,0.9294723,0.74241817,0.99584603,1.0003178,1.0098674,0.74959826,1.1450512,0.8733221,1.197073,1.0842967,1.239145,1.1551787,1.2646769,1.0601822,1.0418124,0.9488625,1.1096972,0.9803869,1.3113219,0.76729333,1.2668428,0.9487177,0.8014821,0.81988853,1.225333,0.0,1.1372722,1.2544193,1.1653595,1.352843,0.73659754,0.7272442,0.8710617,1.0915599,0.7477902,0.879295,1.0328842,1.2510337,1.1789043,1.132134,1.1972622,0.73296833,1.3287448
stroller,1.1344112,1.1060433,1.110117,1.1120678,0.98448396,1.0991368,1.1437883,0.9199404,1.1359718,1.1186185,0.9494748,1.1253722,0.9678048,1.0158964,1.0182557,1.0616921,0.77158225,1.0477943,1.0502471,1.0870156,0.8661467,1.1419507,1.0626851,0.84242845,1.0552528,0.8112767,0.69586724,1.2152237,1.1933153,0.7712283,0.8757136,1.0621083,0.91569406,1.1871918,1.1170516,0.9059088,1.1230748,1.1131291,0.8928676,1.0849217,1.058629,0.8516199,1.0329559,0.98196024,1.15376,0.96088094,1.096325,0.98951846,1.0827092,1.0814381,1.2738985,1.1239556,1.019682,0.91389215,1.220637,1.1036315,1.0935829,1.171792,0.98087853,0.8636304,1.0327749,1.0595508,0.9567658,1.1832662,1.0418745,0.783071,0.88997823,1.094106,1.1384375,0.77387977,1.0763954,1.1608818,1.0201381,1.0556369,0.12304747,1.1405575,1.1074263,1.1571718,1.0593123,1.2536705,1.061259,1.070208,0.9492566,1.0559976,1.1326442,1.1386032,1.1048816,1.2343897,0.9402758,1.0998243,1.0746168,1.0339123,1.110964,0.99043447,0.9577576,0.8996708,1.0792098,0.9103914,1.0487816,0.9653734,0.65643835,1.0389447,0.91856265,1.0186926,0.63602084,1.0754365,1.1408563,0.8394914,1.1139333,1.0776919,1.0791817,1.2199495,1.1777829,0.6706359,1.1372722,0.0,1.046052,0.9119495,0.923336,1.0151036,1.2161869,1.2453192,0.98349714,1.0558072,0.3682639,0.9496525,0.90052307,0.11169696,0.808753,0.52435684,1.2673603,0.91551566
sweater,0.66026825,1.1411705,1.2474886,0.7017978,1.25928,1.1705738,1.1032748,1.1462218,0.82479334,0.92045605,0.6689173,1.1696389,0.7683096,0.55768365,1.2672014,0.6440178,0.8151035,1.3184099,1.3090613,1.21364,1.0680947,1.2072229,1.2548969,1.2989625,1.2058613,1.2860172,1.1784883,1.2211608,0.84854376,0.93175215,1.1678917,1.3703166,0.89083606,1.1070732,0.90311015,0.77578294,1.043018,1.3889568,0.7342335,1.2848119,0.9939513,1.178661,0.869511,0.9118163,1.11098,0.66226524,1.1882529,1.1161156,1.1596067,0.4438377,1.0137397,1.2298385,1.1748949,0.9970011,1.2988698,1.2027822,0.8001553,1.1742299,0.9753474,0.68600166,1.188297,0.44114047,1.1778941,0.7445083,1.1906185,0.889225,0.9743687,0.59779644,1.2881713,1.0944004,1.365907,0.87921077,0.729076,1.2889049,0.9345948,0.8669294,1.1396999,1.2427814,1.380247,1.0774444,1.1957873,1.154063,0.54119855,0.8213787,1.1503314,1.271888,1.1135414,1.1882589,1.1823779,1.2125803,1.3317649,1.1269338,1.1308757,1.1499933,1.1411088,1.0826312,1.3298292,0.89729106,0.8038064,0.9110722,0.76133704,0.42119664,0.9798077,0.93796074,1.066954,0.87683463,1.1882812,0.68389827,1.2771555,0.8342673,1.0965421,1.0968425,1.3511411,0.68930626,1.2544193,1.046052,0.0,0.93326825,0.70352006,1.3602972,1.054519,1.0786817,0.8734038,1.3809435,1.2038286,0.9729687,0.76112723,1.0505642,1.0532063,1.0874572,1.1684505,0.8307166
swing,0.7055035,1.2473092,1.1935948,0.9132476,1.1318557,1.1117613,1.3179538,1.0853523,0.80176294,0.87509894,0.633436,1.2344035,0.76870996,0.9056727,1.2484016,0.6601288,0.772303,1.2976227,1.2861211,1.2179456,0.9639977,1.2952766,0.607287,0.9368541,1.174285,1.0253055,1.1234744,1.3176205,0.9917689,0.7629043,1.1511983,1.2958972,0.82475287,0.9337738,0.94406974,0.77925664,1.127394,1.3466274,0.5641013,1.2617366,1.0648668,1.2450354,1.0164078,0.78855854,1.1477458,0.65606004,1.2626634,1.1387459,1.1692799,0.8916629,1.262943,1.2531223,1.1838751,0.92384976,1.2919834,1.3122433,0.9027437,1.319105,1.0701376,0.52162755,1.2371393,0.98185605,0.9109888,1.1173304,1.296945,0.50847185,0.78853536,0.8731177,1.2317393,0.60096794,1.1938697,1.1046394,0.8259719,0.6390141,0.91426253,1.0240015,1.1383765,1.2942297,1.1821511,1.1208714,1.1091837,1.1650497,0.654455,0.707476,1.1714984,1.2756054,1.2510171,1.2640245,1.1705585,1.2051746,1.269318,1.0224533,1.2090137,1.1356845,1.2350304,0.87249666,1.3095028,0.8966813,1.0811881,0.8287115,0.9085444,0.73456645,0.91546416,0.8856492,0.7961232,0.85693383,1.2293396,0.58826435,1.3377354,0.8109958,1.0183091,1.2298125,1.243188,0.8102478,1.1653595,0.9119495,0.93326825,0.0,0.7390542,1.2826452,1.281749,1.206381,0.9589095,1.1647902,1.1260716,1.0221341,0.62679666,0.8462198,1.0034347,0.79052436,1.3200352,0.7427383
table,0.6944698,1.3687992,1.412184,0.860186,1.4353653,1.3135396,1.2071286,0.8833933,0.55136544,0.86928934,0.36225206,1.3003342,0.41593087,0.6747539,1.2344689,0.4693277,0.6786907,1.2103267,1.3627408,1.05876,0.80797195,1.2446955,1.0443624,1.0587646,1.1991817,1.2046593,1.1821496,1.2910831,0.9529692,0.46560264,1.1560985,1.3445406,0.7094292,0.9630217,0.8813612,0.55308896,0.98715526,1.5338739,0.4411553,1.3187592,0.88254523,1.2543286,0.9506487,0.66064775,0.900625,0.6736724,1.367084,1.1967274,1.2992408,0.81210136,1.2775965,1.3795246,1.2599379,1.1776279,1.3645658,1.3675637,0.6081447,1.4154408,1.1727421,0.5319711,1.1132184,0.8357521,1.2201583,0.9542382,1.4510837,0.70633364,0.9660172,0.5959938,1.3226101,0.767418,1.2875108,0.98839635,0.81440985,1.0903046,0.8696549,1.0507623,1.0873592,1.4264197,1.3147659,1.2660903,1.3503256,1.0100288,0.62716925,0.80200744,0.914721,1.3622389,1.2615235,1.311995,1.2129552,1.2514157,1.3228991,1.1078963,0.8835502,1.2016488,1.3594882,0.99094677,1.3731265,0.65054023,0.9700598,0.787715,0.6896108,0.60374755,1.0803881,1.1001817,1.0403197,0.8072182,1.0590914,0.53580904,1.4822528,0.64398813,1.2256943,1.0882363,1.3211802,0.66321665,1.352843,0.923336,0.70352006,0.7390542,0.0,1.3363507,1.3586522,1.3107548,0.84303164,1.3499329,1.1980183,0.68318224,0.6773416,0.9073189,0.93090856,0.8864995,1.4398539,0.6211184
tape,1.4107008,0.6772373,0.7064508,1.2894418,0.6284113,0.7419932,0.95177376,0.9078175,1.2942406,1.0310465,1.3645569,0.93230057,1.3520415,1.2131915,0.7220788,1.3406278,1.1771934,0.49480265,0.7923509,0.64169973,0.92126703,0.79402727,1.1202538,0.73108655,0.63331544,0.8338604,0.8846746,0.76385313,1.1527455,1.1875108,0.82592523,0.5577332,1.2327986,0.9986087,1.0766714,1.3196342,1.0570872,0.73491013,1.3028382,0.8367573,1.0449934,0.7293168,1.1501448,1.2758977,0.943275,1.3186588,0.637339,0.8321403,0.6925711,1.3352411,1.0140176,0.94151974,0.95026016,0.8605064,0.8132534,0.8523996,1.1439211,0.8044249,0.94722927,1.3692611,0.7153138,1.3175015,0.6977376,1.1833434,0.75664365,1.3343627,1.0770686,1.3619012,0.845102,1.1829985,0.6963439,1.0184189,1.2340311,1.070694,1.064803,1.1683674,0.8122087,0.8667646,0.7898698,0.9366095,0.5602454,0.9228683,1.3592438,1.1744404,0.9435955,0.817922,0.8483333,0.9038428,0.6902481,0.8330633,0.74236286,1.0292029,0.8754542,0.7766517,0.7316357,0.96799445,0.77970636,1.1459651,1.2089741,1.1057899,1.1677966,1.3565694,0.89811313,1.1125664,1.0495876,1.2136316,1.0021725,1.3608327,0.6294431,1.0931106,0.9290511,0.73140633,0.77963734,1.2896215,0.73659754,1.0151036,1.3602972,1.2826452,1.3363507,0.0,0.98471636,1.0932676,1.2230017,0.81186545,0.7094729,0.99084204,1.3656355,1.0397775,1.0692779,1.0744419,0.89895153,1.2811092
toe,1.2067317,0.5156281,0.70295566,0.8916495,0.81264496,0.80489147,0.79584605,1.2504892,1.3248067,1.101426,1.4393191,0.82972133,1.3408065,1.2642334,0.9111464,1.3650439,1.371114,1.0411413,0.82382286,1.1117982,1.3298771,0.79915535,1.0967079,1.2851772,1.0488219,1.0657661,1.0455751,0.7003328,0.9921205,1.2145456,1.0199345,0.87565994,1.291533,1.0385938,1.1482503,1.2621183,1.0180435,0.67654717,1.4211926,0.856367,1.1388497,0.88370514,1.0514227,1.2263247,1.1274337,1.2220625,0.6946089,1.0385674,0.69125295,0.9773021,0.15103191,0.7342387,0.94661844,0.9288159,0.58331805,0.8265512,1.1248109,0.52036446,0.75093335,1.1739984,1.0444056,0.8466987,1.1129619,0.45631564,0.5869765,1.3257749,1.0204271,1.0419401,0.89545244,1.2500694,0.95322686,0.9884209,1.1824883,1.0802385,1.2664236,0.73890793,0.99298525,0.5246985,0.8726786,0.628067,0.8577536,1.0198481,1.2370342,1.0254189,1.0260627,0.62782216,0.62039846,0.75150967,1.0423433,0.9383591,0.80239624,1.0336043,1.1640875,1.0365863,0.69758976,1.2703459,0.83638275,1.2721758,0.98175853,1.290939,1.2860489,1.036723,0.9652242,0.8055414,1.1771232,1.0554312,0.9623894,1.312906,0.35165286,1.2383864,0.605963,1.0290828,0.7871802,1.2505803,0.7272442,1.2161869,1.054519,1.281749,1.3586522,0.98471636,0.0,0.53289753,1.0713913,0.89236504,1.1622218,1.3111145,1.3082123,1.2394823,1.0724459,1.2626963,0.4266007,1.2285213
tooth,1.2634515,0.8252543,0.75211674,1.1221026,0.82392746,0.8826964,0.8398185,1.0819054,1.2619157,1.0431504,1.3436422,0.5478886,1.2178751,1.2274642,0.94795597,1.3065946,1.2657864,1.0197698,0.67578053,1.009281,1.3050499,0.89168024,1.0261034,1.1929303,1.038696,0.99870056,0.9202162,0.8237905,0.8300867,1.2296865,1.062839,0.8323003,1.1885189,0.8771535,1.1382357,1.2561162,1.037893,0.6078969,1.3051572,0.63264585,1.0179043,1.0372771,1.1102793,1.1562918,1.0946957,1.2733333,0.86752856,1.0488876,0.70849246,1.0143249,0.6063475,0.5516834,0.7939373,1.0908021,0.67441654,1.0535765,1.2254541,0.43942505,1.130773,1.1483469,1.0144384,0.9113758,1.1397443,0.9090647,0.58648014,1.2092485,1.053178,1.1558832,0.78221554,1.2002554,0.8203095,1.0852193,1.329313,1.0100043,1.2444466,0.30835223,1.0567136,0.46550447,0.9587225,0.7065906,1.0092764,0.9141162,1.242207,1.0511236,1.0541911,0.73353755,0.7950381,0.7505545,1.1131094,0.90240264,0.7495675,0.9151181,0.9733455,1.0426388,0.7863459,1.2597051,0.6671434,1.2442353,1.0705501,1.2782259,1.3131866,1.1527925,1.0952675,0.9120791,1.237301,1.0716457,0.6596219,1.2656455,0.67069113,1.1336721,1.0198883,0.9752169,0.80607045,1.2492192,0.8710617,1.2453192,1.0786817,1.206381,1.3107548,1.0932676,0.53289753,0.0,1.1532521,0.92041934,1.1770808,1.2009215,1.1761354,1.2213817,1.0618534,1.2594169,0.38424987,1.1673102
toothbrush,0.8195645,1.3286448,1.2248207,0.7344902,1.3000214,1.1045729,0.67523193,1.0774498,0.79301876,1.013631,0.9091926,1.3528116,1.0371606,0.7400746,1.2730212,0.83367366,0.8663914,1.1480285,1.2639009,0.90746546,0.8497522,0.92705077,0.92804646,1.0559925,1.1841424,1.3595803,1.229255,1.0159743,1.1199274,1.1048554,0.9919381,1.406438,0.9720771,1.0292022,0.92506534,0.9689707,0.75533,1.0587697,0.94107556,1.287276,0.68597686,1.2143464,0.91227514,1.0485251,1.0300287,0.8733196,1.1801217,1.1070997,1.1622607,0.8825345,0.97596097,1.2728328,1.2338221,0.95107377,1.0312629,0.7933731,0.72409093,1.3766205,0.7994662,0.90601015,0.7274244,1.0134077,1.0202426,0.67288893,1.4601247,0.7077752,1.1731646,0.7009077,0.92181206,0.9135944,1.364415,0.77737594,0.6892934,0.9785577,0.9409697,0.92540586,0.97818494,1.3300076,1.1856674,1.1620675,1.2214333,1.3352295,0.87343967,1.1642016,1.0271584,1.0089883,0.79896665,0.9122153,1.1752583,1.312232,1.101062,1.1676383,0.83426845,1.1489763,1.2927048,0.9109524,1.3957863,1.0527693,0.8870806,0.93728685,0.52621734,0.96442187,0.887133,1.1798912,0.62789667,1.045691,1.2846565,0.69588256,1.2760264,1.0142413,0.9244842,0.88056076,1.028573,0.721515,1.0915599,0.98349714,0.8734038,0.9589095,0.84303164,1.2230017,1.0713913,1.1532521,0.0,1.2022035,0.9357049,0.7218456,0.93090254,0.9126021,1.3125777,0.74809146,1.2612518,0.9954108
towel,1.2276546,0.668785,0.86477005,1.1264865,0.85303473,0.8942284,1.0458856,0.9033817,1.1159681,1.2199346,1.3842723,0.71118015,1.0547012,1.2282555,0.760316,1.2117553,1.31297,0.49762297,0.62532246,0.92742217,0.9010317,0.9408642,0.6641171,0.6612637,0.9331646,0.61993444,0.7518816,0.8006598,1.1170862,0.98188764,0.9837709,0.711611,1.1542742,0.98432696,1.1874126,1.120028,1.1606636,0.49730653,1.4001088,0.6261878,1.1713083,0.8221837,1.1916397,1.0842518,0.8679875,1.1703355,0.91601163,1.0432407,0.9779727,1.4097848,0.9731928,0.69454736,0.76707184,1.0414326,0.65798295,0.93270427,1.3932528,0.7456527,0.9089829,1.417539,0.8752638,1.2930222,1.0626976,1.2789271,0.6025815,1.2165933,0.74846506,1.1834663,0.6511416,0.98087585,0.5844926,1.0658555,1.128739,0.64221185,1.1820232,1.2062008,1.0029801,0.6497981,0.060002744,0.76713866,1.0321008,0.688235,1.263626,1.0285271,0.75503826,0.627371,0.76263547,0.77998066,0.941595,0.40346056,0.6338831,0.9317101,1.0256166,1.0230522,0.9415566,0.81759375,0.64935505,1.1897295,1.0598766,1.2512822,1.3588988,1.2543508,1.0389217,0.73754156,1.0275704,1.0690429,0.74238026,1.4081086,0.5862934,1.2425767,0.7837798,1.0270221,0.63413495,1.3710667,0.7477902,1.0558072,1.3809435,1.1647902,1.3499329,0.81186545,0.89236504,0.92041934,1.2022035,0.0,0.96297425,1.2013896,1.2969165,1.1301055,0.7743976,0.94435024,0.70620775,1.2121809
toy,1.2761147,1.109824,0.8014417,1.211154,0.6265318,0.8291488,0.9826614,0.84944856,1.2991627,1.1220433,1.1428642,1.0161527,1.2443066,1.0644637,0.92066324,1.2405591,0.7953293,0.7600754,0.85861,0.8146995,0.71351403,0.97962713,1.2041776,0.6457659,0.92696726,0.7840885,0.65371495,1.0358769,1.27462,1.1587417,0.88172936,0.9177454,0.9960134,1.1728733,1.1695572,1.1740534,1.0743461,0.79307103,1.0398376,0.90154266,1.014235,0.62169313,0.8722168,1.296566,1.0841609,1.1594881,0.8173977,0.8956465,0.9450273,1.1476529,1.2023598,0.92189,0.82956505,0.9393015,1.121068,0.85744655,1.0661144,1.0599618,1.0310074,1.0579895,0.7535298,1.2520103,0.7853992,1.2344973,0.925734,1.0626878,1.140532,1.3687639,0.9405961,1.0540223,0.9513719,1.1545056,1.1353427,1.1446494,0.44413817,1.1544236,1.0192007,0.9866259,0.9662655,1.2364445,0.7600385,1.1174271,1.147089,1.2961175,1.0890427,0.9844044,0.98007417,1.0668201,0.78077835,1.0833378,0.83460677,1.0742153,0.9265842,0.8659432,0.7291843,0.9422672,0.9210186,1.0594798,1.0981776,0.9488925,0.78634816,1.3324451,0.9861947,1.2116494,0.69947475,1.2337277,1.0573002,0.97041285,0.98693913,1.1288826,1.0507138,1.0039902,1.0868686,0.95851314,0.879295,0.3682639,1.2038286,1.1260716,1.1980183,0.7094729,1.1622218,1.1770808,0.9357049,0.96297425,0.0,0.7972591,1.1496203,0.4353218,1.0186608,0.7357219,1.1252285,1.2411699
tray,0.992202,1.3134584,1.1977094,1.0906008,1.2737383,1.2038728,0.8167892,0.7613361,0.8012722,1.0823679,0.7990879,1.2749538,0.9866755,0.65498513,1.3171484,0.88416046,0.6201207,0.883184,1.2643685,0.49904782,0.4337476,0.9147765,1.177223,0.76600033,1.1452484,1.1593019,1.1491132,1.0348476,1.2251968,1.1378531,0.8603445,1.2839465,0.78934413,1.057851,0.929345,0.95586234,0.77047145,1.2557714,0.74423486,1.2124678,0.32980716,1.2209663,0.99826735,1.1121277,0.7390642,0.9445805,1.103342,1.0191052,1.2428565,0.92152613,1.2164938,1.3301635,1.1964128,0.9557271,1.218226,0.9594733,0.5128539,1.417511,1.0508374,0.98432195,0.72844785,1.1516519,0.9180864,0.97988963,1.4529595,1.0167879,1.2219275,1.0058581,1.1476407,1.1120006,1.2966622,0.97696644,0.8673902,1.1206887,0.92321897,0.96036965,0.89425504,1.3934681,1.140264,1.4198465,1.0644151,1.1210665,0.92909926,1.1281228,0.9081266,1.262185,1.1797125,1.0715885,1.0396953,1.2623216,1.0820827,1.226716,0.296049,1.0258821,1.2305036,0.90248007,1.3077663,0.8320385,1.0851525,0.81357414,0.7621302,1.0645692,0.90949893,1.2393138,0.97091925,1.0303559,1.0765754,0.7882024,1.2814875,1.0568906,1.1421928,0.62819415,1.2044821,0.9439409,1.0328842,0.9496525,0.9729687,1.0221341,0.68318224,0.99084204,1.3111145,1.2009215,0.7218456,1.2013896,0.7972591,0.0,0.966693,0.82672584,1.2021852,1.068233,1.373612,1.0215015
tree,0.69434506,1.3797128,1.2360333,0.7485617,1.1879252,1.1417733,1.191779,1.0088662,0.7415188,1.0105276,0.66909957,1.1937976,0.76364595,0.88106644,1.1568933,0.77660227,0.82952297,1.3075781,1.2580299,1.1538113,0.9890335,1.2115607,0.9537475,1.0885457,1.1112251,1.0556535,0.9686776,1.3221357,0.98640746,0.84016347,1.0479718,1.246691,0.7911395,1.0639744,1.0024016,0.8087833,1.0544523,1.354481,0.6497328,1.2229797,0.9975643,1.2179952,0.996,0.6482924,1.1043993,0.73617995,1.2943308,1.0850079,1.2558106,0.7325632,1.2584848,1.1665795,0.9664091,1.1182363,1.3160119,1.240458,0.8875853,1.2789704,1.1176581,0.50395423,1.1668302,0.8245393,1.0461565,1.0278039,1.2785785,0.59613276,0.9745659,0.907071,1.2234818,0.7290965,1.1572217,1.0611459,0.8805148,1.0765014,0.87872005,0.9954658,1.0939198,1.289933,1.2975571,1.23382,1.1984828,1.1457802,0.6813912,0.9947908,1.0559719,1.2751474,1.2072678,1.2157968,1.1398542,1.2071421,1.2924684,0.64298725,1.0836349,1.0912044,1.2112107,1.0578374,1.2232617,0.83342916,0.9444348,0.89482194,0.86518615,0.79860353,1.079027,1.0780404,0.90811706,0.78807575,1.124685,0.5536724,1.4324127,0.8955694,1.1441675,1.1504858,1.2637058,0.68776155,1.2510337,0.90052307,0.76112723,0.62679666,0.6773416,1.3656355,1.3082123,1.1761354,0.93090254,1.2969165,1.1496203,0.966693,0.0,0.8903883,0.8596302,0.89965606,1.334928,0.46658385
