,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.2443707,0.79802907,1.0851085,1.1740476,0.6951541,1.2345634,0.8487873,0.7393717,1.2666674,0.7570247,0.97044706,0.7970158,0.71547437,1.261982,1.3440564,1.4262447,1.0574718,1.050045,1.196871,1.3026068,1.2414247,1.0858673,0.95570797,1.0011168,1.2404815,0.9082339,0.97025317,0.7875061,0.9421812,1.4557211,0.66966367,1.3890686,0.964912,1.1276357,1.050662,0.9466108,0.7998523,1.2169366,0.98186266,1.2366953,1.1087208,0.99496084,1.1206331,1.2062011,1.0933877,0.80482006,1.3644373,1.0753684,0.7606337,0.9131886,0.82094586,1.2967932,0.89083093,0.8676926,0.7345947,1.2914656,0.6855097,1.3535821,0.9156511,0.8504263,1.3151653,1.3595139,1.3878286,0.86385816,1.1590204,0.84613967,0.74616504,0.9346613,1.4705763,1.4317322,1.1119891,1.0840703,1.040298,0.85834616,0.70096844,0.94077647,1.2405055,1.0178916,1.0105247,0.90103376,0.80694366,0.9824833,1.00588,0.92801464,1.2417474,0.65847903,1.3419342,1.2695562,0.8884286,1.411624,1.1718034,1.0537411,0.86001825,0.7157872,1.0990782,1.1528282,0.86111605,1.3866286,0.8318939,0.6080537,0.98528373,1.2162547,1.4634287,0.7906767
apple,1.2443707,0.0,1.3532097,0.9631033,0.88771874,1.1161661,0.8512597,1.2584454,1.4207178,0.51342106,1.4923781,1.0456159,1.2579634,1.2707487,0.7798698,0.1961925,0.17792702,1.0426477,0.9258367,0.7229919,0.71810865,0.5597768,0.786223,1.013405,1.3207833,0.56680524,1.1538806,1.0306982,1.3580595,1.0694995,0.3332619,1.4201467,0.27260792,1.1664302,1.016656,1.1486205,1.381563,1.2999616,0.5730264,1.057666,0.87573063,0.8264866,0.98958015,1.020498,0.82535475,0.8973058,1.2019038,0.6448349,1.0446382,1.1037748,1.2762938,1.2964938,0.57118154,1.2072355,1.0892731,1.4167131,0.8452954,1.4314244,0.61760974,1.1452847,1.3030958,0.32479638,0.54014486,0.7289214,1.1972449,1.1170727,1.2414693,1.3738602,1.2522538,0.4778064,0.42147887,0.9238984,0.8333875,0.8578233,0.93363714,1.1719682,1.2111609,0.89641774,1.1892189,1.1524748,1.2014496,1.3072807,1.2109457,1.241793,1.2355807,0.45131695,1.3786974,0.7024758,0.040531754,1.2660677,0.4347818,0.5652083,1.2110075,1.2476213,1.4135592,0.9417581,1.0255998,1.3813993,0.4205559,1.1976461,1.2028508,0.99677277,0.8057593,0.31972408,1.2363712
arm,0.79802907,1.3532097,0.0,0.8766002,1.2105565,0.8810159,1.3341262,1.0543422,0.64492905,1.1853948,0.71617544,1.1169986,0.75754696,0.73391217,1.2734866,1.2800653,1.4370213,1.2370912,1.0969057,1.3907125,1.3513272,1.3492155,1.062367,0.9503854,0.9851326,1.3519373,0.82793814,1.1511275,0.6386224,1.1315199,1.3738024,0.74619055,1.4510992,0.75030947,1.1254685,1.0222288,0.89233106,0.7278491,1.3586038,0.9109853,1.0210894,1.1888433,1.1447586,1.0827682,1.22311,1.2520564,0.8578041,1.0838741,1.0851444,0.97148305,0.74348927,0.652305,1.360791,0.776194,1.0937779,0.4547146,1.2797672,0.73820984,1.257781,0.97995365,0.78104645,1.2677189,1.430088,1.2135769,0.8906945,1.1067913,0.65483445,0.49067086,0.8396541,1.2885162,1.3473132,1.2233585,1.1305841,1.1446043,1.1427594,0.8979776,1.1323085,1.1792735,1.0227752,1.1186644,1.0403383,0.40330815,0.95270354,0.7308705,0.9121138,1.324045,0.670792,1.1169673,1.334276,0.7644389,1.3766036,1.3325024,1.1714768,0.74677694,0.7608656,1.2501464,0.9647243,0.66019994,1.3981396,1.0181035,0.9738895,1.0120552,1.3016828,1.2392327,0.694763
ball,1.0851085,0.9631033,0.8766002,0.0,0.5824119,1.0855545,1.1657372,1.0798401,1.0883706,1.0528365,1.1411335,1.1676211,0.98127514,1.0498278,1.0192189,1.0189747,0.9529481,1.2359734,1.0192064,1.1649843,1.0719445,1.0983474,0.74294996,1.0084515,0.961666,0.99989945,1.1962233,1.0994847,1.0417722,1.1264921,0.9247158,1.1571516,0.97278476,0.98813117,0.99534523,1.1799899,1.1258423,1.1271513,0.9868911,0.9310284,0.70059776,1.0297031,1.1713076,0.9253126,0.92762375,0.94864094,1.0320458,0.74145174,0.8059797,0.977924,1.0116993,0.74429464,0.9334957,0.9357484,1.1713465,1.0590549,1.0667874,1.1726259,0.91009825,0.99263537,1.0137293,0.8041414,1.0331342,0.86913246,0.8021649,1.074464,1.0314109,1.0565704,0.9942922,0.8797194,0.9641358,0.8784736,0.958029,1.1774268,1.0015043,0.92789304,1.230115,1.1066116,1.1593744,1.1254791,1.0476452,1.0548381,0.9843057,0.93547356,0.8769331,1.0295675,1.0356987,0.8147695,1.0046934,0.80470544,0.9927789,0.86635566,1.2218782,1.0425078,1.0807135,0.90826386,0.6714368,0.86729634,1.0434936,0.98932046,1.0661399,1.115141,0.9957784,0.8607506,1.109179
balloon,1.1740476,0.88771874,1.2105565,0.5824119,0.0,1.1536338,0.92812395,0.97927016,1.1632437,0.87057835,1.2049606,1.0975789,1.1308895,1.1770386,0.8879348,0.99034244,0.8167815,1.0281698,1.0165815,0.93249035,0.71124125,1.0455215,0.6785809,0.9459184,0.8339085,0.9442132,1.0745516,1.1927098,1.2154659,1.194096,0.71684575,1.1867318,0.8075705,1.0614651,1.1051917,0.99489915,1.0825948,1.260007,0.80441993,0.954863,0.66602826,0.83190995,1.1687533,0.9008934,1.0026878,0.91439646,1.229673,0.74665445,0.75552446,1.0819608,1.116852,1.0804101,0.69350386,0.96518624,1.1801459,1.1627884,0.90090555,1.2657595,0.7947439,1.1373578,1.1144174,0.6994025,0.6703962,0.79163563,0.986532,0.9653976,1.2096574,1.141675,1.0705686,0.7681153,0.7995,0.83082056,1.0537148,1.1534212,1.0952531,0.8273536,1.1215644,0.94646764,1.1694059,0.89774215,1.0380325,1.1196936,1.0043981,0.9328375,0.9463436,0.94511324,1.0251652,0.7947977,0.9390588,1.0239532,0.8997797,0.67545813,1.0815487,1.1279761,1.2205764,0.78682286,0.7641546,1.1578,0.7682432,0.94169724,1.148057,1.1246598,0.8693166,0.8214284,1.1825556
banana,0.6951541,1.1161661,0.8810159,1.0855545,1.1536338,0.0,1.1936308,0.9874918,0.8446909,1.2303185,0.8259517,1.0337716,0.9405292,0.8974039,1.1319562,1.2308745,1.2434821,1.0814608,0.9930399,1.2721894,1.307259,1.1822016,1.1018866,1.0968064,0.99860173,1.2212129,1.0066053,0.9824889,0.8183587,0.9607141,1.3370602,0.7968037,1.3010107,1.0714424,1.1489419,1.172516,0.9167614,0.8739114,1.0774953,1.0542665,1.2087376,1.144299,0.9100768,1.1674597,1.1140362,1.0254182,0.75957763,1.2791481,1.1707995,0.73697567,1.0042015,0.8264306,1.2924508,1.0004133,1.014275,0.7934423,1.1616197,0.78471136,1.3402914,0.8971001,0.83974504,1.3302609,1.2920016,1.3250859,0.7154163,1.1906623,0.86752725,0.8861959,1.0093801,1.2907126,1.27736,1.1063385,1.0063765,0.80155516,0.76496214,0.71388316,0.9910807,1.2204707,1.0424391,0.9831118,0.83367264,0.9485664,1.0130574,0.9244702,0.95157903,1.0902276,0.7416543,1.3229715,1.1016335,1.0017321,1.2368113,1.2290514,1.0016718,0.89018697,0.75839764,1.0956777,1.2174728,0.829077,1.3161758,0.80024326,0.65001816,0.913849,1.2311249,1.3330276,0.8108407
basket,1.2345634,0.8512597,1.3341262,1.1657372,0.92812395,1.1936308,0.0,0.9637525,1.1102293,0.74140185,1.1645739,1.0933932,1.170376,1.2145178,0.64147997,0.7744837,0.67559385,0.7150214,0.9729949,0.68403447,0.5333303,0.75145435,1.0279177,1.0437444,0.9930833,0.7621269,1.0961623,0.9240529,1.1858299,0.92498416,0.7229093,0.9821389,0.68175113,1.0882094,1.0057416,0.7433051,0.99438584,1.2355915,0.8066807,1.0424385,0.9950309,0.9751847,0.94159037,0.8864127,0.8599137,0.9274277,1.2399926,1.013737,1.0833712,0.9945464,1.1616803,1.3155159,0.7674463,1.2002392,0.8913711,1.3179197,0.7197293,1.1158658,0.8235073,1.1644304,1.2018976,0.9042787,0.6257498,0.8418138,1.2550528,0.72773576,1.2593088,1.2888218,1.0149498,0.7891934,0.66757345,0.9151406,1.0420862,0.9517864,1.0537925,1.2039721,0.99301255,0.708067,0.8261881,1.0496491,1.1044552,1.3094194,0.8415337,1.1133741,1.2211707,0.7577472,1.2375054,0.7925379,0.82181776,1.047162,0.7450589,0.87604964,0.9804885,1.1710145,1.2172757,0.9591054,1.0482805,1.2309346,0.58761907,1.1016483,1.1742564,0.9777641,0.5680762,0.851587,1.1661502
bathtub,0.8487873,1.2584454,1.0543422,1.0798401,0.97927016,0.9874918,0.9637525,0.0,0.7297348,1.035729,0.7204964,1.0051959,0.7869077,0.7664981,1.0290054,1.2120225,1.0943964,0.8220329,1.0249276,1.0120567,0.8008728,1.0408565,1.1294074,0.7884723,0.7035986,1.1273398,0.89983404,1.0736417,0.8921885,1.0458254,1.2758183,0.5968154,1.1997916,1.0878416,1.2402768,0.80233264,0.79450256,1.0633948,1.1020378,0.9575434,1.2218903,0.8308576,1.0527488,1.1888896,1.1332785,0.87893426,0.8715508,1.3578246,1.0942951,0.8007814,1.0501697,1.017845,1.2223771,0.9824712,0.86918867,0.9684697,1.1954299,0.66843486,0.9986045,0.89544827,1.0604329,1.3757157,1.2234746,1.3169525,0.9028915,0.85393035,1.0094011,0.9669793,0.78031313,1.1592486,1.1460605,1.1396224,1.066943,1.061475,0.65747803,0.98839915,1.0279222,1.102762,0.85280293,1.0814029,0.9909042,1.0169576,1.0820338,0.94254875,0.9778265,0.74253535,0.8325591,1.3436174,1.2048086,1.0549542,1.1197174,1.2291775,0.9711812,1.0499943,0.6720438,1.1344877,1.2287538,1.0411959,1.2472941,0.9628752,0.7661942,0.99127156,1.1261772,1.3563224,0.74831605
bed,0.7393717,1.4207178,0.64492905,1.0883706,1.1632437,0.8446909,1.1102293,0.7297348,0.0,1.1861646,0.35211766,1.0292689,0.47374815,0.54417056,1.3346508,1.3466384,1.471801,1.0692799,1.1292794,1.2656353,1.227005,1.3435726,1.3771023,0.76526695,0.6175252,1.3073862,0.52770805,1.0786376,0.57849586,1.0719945,1.5746026,0.20668018,1.5299076,0.8176646,1.2179427,0.8657874,0.5838616,0.76262534,1.4238684,0.79270065,1.3799713,1.2176069,1.0535978,1.2671148,1.3136576,1.1765224,0.77303034,1.353427,1.3810169,0.99779314,0.8401987,0.986651,1.3540714,0.74117714,0.9850522,0.6909065,1.2560053,0.35542572,1.1617807,1.0194919,0.91267866,1.4268229,1.4700372,1.4122745,0.97374743,1.0356319,0.78876287,0.7223456,0.944773,1.4170153,1.4515941,1.1935985,1.3091906,1.091947,1.0819665,0.75813246,1.0022177,1.1788881,0.88922733,1.1319189,1.0049688,0.676057,1.0004482,0.93457305,0.9171097,1.2262125,0.5005139,1.4273475,1.364738,1.0337112,1.4470603,1.4570682,1.0085957,0.85672474,0.56885934,1.2022297,1.3303812,0.79885423,1.4669657,0.930125,0.9206582,0.9082952,1.3089557,1.4672804,0.5029501
belt,1.2666674,0.51342106,1.1853948,1.0528365,0.87057835,1.2303185,0.74140185,1.035729,1.1861646,0.0,1.2482806,1.1720972,1.0561227,1.10883,0.80532616,0.39510936,0.40971434,1.0612729,1.0100403,0.91246635,0.5765634,0.7479682,0.997086,0.7769889,1.0638299,0.7503357,1.0212234,1.0716383,1.1733065,1.0937002,0.47197938,1.2541984,0.55223274,1.0950525,1.1786504,0.9642278,1.187938,1.1942664,0.78069615,1.0014621,0.936304,0.7566263,1.1222636,1.0504915,1.0834671,0.97418797,1.2493528,0.8118703,1.1023681,1.119744,1.1313047,1.2307712,0.7398119,1.0577089,1.2096816,1.2099779,0.9286939,1.2919853,0.5892156,1.1762407,1.2596312,0.6214094,0.7274867,0.78352153,1.2187324,0.90761083,1.1889513,1.2001913,1.1568958,0.5223422,0.5237177,1.0071918,1.0888077,1.0368278,1.0312092,1.1834292,1.104375,0.93166703,1.101924,1.140966,1.2404813,1.0788558,1.1123173,1.0058088,1.1607183,0.575483,1.1950046,0.793336,0.51075286,1.2346003,0.6581046,0.88023,1.0965714,1.1131963,1.278761,1.0364735,1.1329832,1.2224826,0.5084336,1.1430194,1.2664025,0.99748397,0.80951,0.5259411,1.0245215
