,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,elephant,finger,fish,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bed,0.78161955,1.1847916,1.50906,1.2172146,0.46141577,1.3421202,1.3860166,1.453296,1.2377429,0.3960681,0.0,1.3789444,0.39470404,0.58471847,1.229767,0.26415384,0.6835097,1.4971995,1.4286156,0.7459631,1.0238019,1.2263677,1.4698981,1.3449047,1.3120682,1.5031102,0.45723104,0.87213516,1.4434868,0.71132827,1.0146687,1.4748827,0.23574656,1.4207699,1.5707996,0.4414091,1.6077759,1.1334591,0.52811867,0.96189034,0.72968835,0.74720585,1.1153922,0.74891835,1.2129585,1.2751783,1.1623465,1.1463177,1.388905,1.1205468,1.3464196,0.8449951,0.9317064,0.6895119,0.6865577,1.133003,1.0909752,0.49774843,0.9575758,0.43657154,0.94761574,0.653996,1.472619,0.55146194,1.3372453,1.4509294,1.5880729,1.2443327,1.355365,1.4055564,0.9209721,0.899706,0.40467167,0.7827129,0.6062323,1.5002534,1.3904556,0.9753408,1.2197689,1.2732599,0.84142673,1.1319531,0.7491569,1.328744,0.80348885,1.168333,0.641214,0.47725666,0.827113,1.0472934,1.119751,0.55830204,1.5420909,0.6685126,1.5030216,0.71308666,1.3043082,0.866397,1.4303796,0.53216255,0.5501852,0.365425,1.4116361,1.4168425,1.4097927,1.1047183,1.5987827,0.87181157,1.0470095,1.0472283,0.78295803,0.96105236,1.3855474,0.64047813
belt,1.3513792,0.79471225,0.7297946,1.2079952,1.3918729,0.7337623,0.7809247,0.76234454,0.781867,1.2832892,1.3789444,0.0,1.099405,1.3466475,0.9519038,1.2112883,1.2608149,0.5695644,0.47576267,1.2402875,1.0563389,0.8631854,0.6342996,0.6317705,0.6802684,0.62172174,1.2052135,0.8973881,0.65641713,1.1402781,1.0268824,0.85634303,1.3222041,0.968554,0.42693263,1.2921146,0.535953,1.0282657,1.3196751,1.021563,1.113551,1.1441188,1.1113832,1.191599,0.9693468,0.8168335,0.8563759,1.0181686,0.7828798,0.9418504,0.7369633,1.0734888,1.2576306,1.4254489,1.4013735,0.7998031,1.1516494,1.3527508,1.1732867,1.230435,0.89815396,1.3552527,0.6056812,1.2740192,0.53889173,0.730491,0.38728613,1.0003184,0.48935467,0.80494386,1.1053832,1.1586529,1.4345193,1.2446163,1.3486135,0.4146443,0.51686984,0.7584795,0.9148187,0.83179563,1.2461091,1.0735762,1.2317314,0.689482,1.1875538,0.9304916,1.267199,1.4477171,1.2584746,1.0067576,0.9113034,1.1447232,0.43394482,1.1555576,0.79173565,1.2262428,0.60466886,1.1909721,0.610523,1.1829661,1.381912,1.410662,0.61748344,0.6967038,0.72163105,1.0082767,0.43667978,1.1629951,1.0369924,1.1139417,1.1991172,0.988471,0.722927,1.2621341
bench,0.85801893,1.1629107,1.4393556,1.2159553,0.6396041,1.3779032,1.3505752,1.3106472,1.0004063,0.52832204,0.39470404,1.099405,0.0,0.7976678,1.2045841,0.42860657,0.8530029,1.3453659,1.2608018,0.8163099,0.9626752,1.0432839,1.3194759,1.0405157,1.0349991,1.3611066,0.61858237,0.67006797,1.3431096,0.73742247,0.93288666,1.430066,0.47060418,1.3636298,1.370057,0.5400957,1.4236937,1.1707535,0.7517111,1.0255013,0.6311935,0.6168177,1.1261762,0.7776725,1.2281317,1.1785777,1.162076,1.1373957,1.2371428,1.1508454,1.2649655,0.9287423,1.0712357,0.72613716,0.9009287,1.1268648,1.1056082,0.7302204,1.0946604,0.5032117,0.82906026,0.67044437,1.2150865,0.7661927,1.138944,1.4204543,1.351825,1.2003357,1.2057036,1.3172002,0.8268382,1.0232099,0.6053095,0.79330045,0.7912278,1.2543066,1.2321057,0.9634428,1.0770048,1.1196257,1.0055208,1.0991163,0.8638187,1.0466042,0.81767464,1.1867039,0.8640153,0.667393,0.9912331,0.97571915,0.9507356,0.8337193,1.3677646,0.86274713,1.4218078,0.87161696,1.0854065,0.95677567,1.1950911,0.8537831,0.69437706,0.5491047,1.3293757,1.3513088,1.2918102,1.1398971,1.3556882,1.0541772,1.061692,0.927273,0.9127394,0.86940134,1.2990645,0.6353716
bib,0.77421147,1.0480765,1.3353741,1.004665,0.64138305,1.2420576,1.2697552,1.2328935,1.07832,0.7031639,0.58471847,1.3466475,0.7976678,0.0,1.1108171,0.465375,0.8063729,1.4497705,1.3983736,0.86533344,0.8106569,1.2569337,1.153656,1.3415861,1.3284674,1.3054892,0.76684743,1.1388805,1.2783294,1.0566269,1.0790721,1.2190232,0.65264523,1.1110274,1.4498819,0.6908771,1.5033569,1.0796831,0.76940465,1.0778267,0.98437655,0.99437517,1.003293,0.559567,1.0957215,1.0746479,1.0987955,0.8635606,1.0753679,1.0330206,1.2613585,0.8212285,0.8837848,0.87461543,0.7318324,0.99282765,1.074576,0.67818177,0.9618421,0.5289472,0.9092099,0.8640407,1.353034,0.5770238,1.2810966,1.349635,1.34753,0.8649622,1.3718786,1.2249599,1.1883613,0.9356978,0.54653394,0.7926116,0.69566107,1.449147,1.3564291,0.95109,1.0821171,1.2025387,0.7184979,1.0904076,0.6777647,1.2798933,1.0029705,1.0597179,0.76200557,0.5014441,0.75645626,1.1027304,1.2047654,0.8425856,1.3992063,0.95988756,1.310979,0.8007824,1.1728177,0.8079611,1.2436184,0.7166619,0.637199,0.76591676,1.3217999,1.2797194,1.213722,1.0494329,1.3314154,0.9392532,1.0821713,1.0016532,0.8755148,1.0194012,1.245563,1.0074419
bird,1.0044428,1.0330498,0.87379795,0.8958594,1.2193199,1.0760286,1.1197176,0.8317996,0.98300344,1.2522322,1.229767,0.9519038,1.2045841,1.1108171,0.0,1.1886109,0.9703532,0.88989156,1.0463319,1.0880533,1.09304,1.1230116,0.7716403,1.1551623,0.76774,1.1107599,1.2987874,1.2327695,0.96454406,1.1544031,1.0134752,0.8448057,1.2734368,0.71068156,0.9338412,1.1523747,0.8270763,0.9468206,0.98683643,0.8788852,1.2613959,1.2182883,1.1425248,1.0287583,1.0851496,0.8456705,0.9024809,0.7961387,0.8900726,0.49756545,1.1646014,1.103451,1.074893,1.2185327,1.1982622,1.2074379,0.6741921,1.2562672,0.8709526,1.2854484,1.0858363,1.2459372,0.8493216,1.31332,1.1341931,1.0180056,0.8577927,1.0707275,0.9542524,1.0127848,0.99090505,0.40170848,1.3066299,1.197659,1.0372636,0.981032,1.0029118,1.0051384,0.84975445,0.7765827,0.9328653,0.66501665,1.1484075,0.91731423,1.0968798,0.82128716,1.0328201,1.2901838,0.8108707,0.8858037,0.9892914,1.0148069,0.9528315,1.0932022,0.74758697,1.1685283,1.1416806,1.1002854,0.9181864,1.0730053,1.1978083,1.2128056,0.7477548,1.0489553,1.1616294,0.72103596,0.88954526,0.80599743,0.68551934,0.95157415,1.0065916,1.2639577,1.0468291,1.1899463
blanket,0.9212299,1.0087596,1.4194158,1.1262401,0.50906014,1.2117456,1.2755945,1.2734883,1.22082,0.5732161,0.26415384,1.2112883,0.42860657,0.465375,1.1886109,0.0,0.81381357,1.414391,1.3913237,0.90941656,0.80328244,1.2152302,1.2690601,1.3222665,1.260704,1.3687422,0.4441015,1.0324867,1.3329489,0.8559621,1.2549855,1.3294744,0.5006936,1.2688229,1.4093798,0.6801213,1.523443,1.1976,0.58061105,1.1802921,0.91486657,0.82659674,1.0604814,0.5306429,1.1146181,1.2049458,1.2458138,1.0046155,1.2203045,1.1316575,1.2573489,0.7684597,0.93672585,0.79271007,0.754334,1.0283884,1.1939764,0.5744089,1.0090028,0.23885286,0.9166552,0.858232,1.4090805,0.5723722,1.2518754,1.3205242,1.4211159,1.0429173,1.2963178,1.2958156,1.1984115,0.98104674,0.503842,0.75755155,0.73790765,1.4128448,1.2832634,0.9273416,1.224722,1.2776667,0.8575021,1.20419,0.7674943,1.2745516,1.0925727,1.1722864,0.7186214,0.49623346,0.78041005,1.0044835,1.1449369,0.6836208,1.3824655,0.7071614,1.4031584,0.66688335,1.1961457,0.9047744,1.228071,0.70225054,0.6721447,0.6477088,1.2792773,1.2392092,1.2801664,1.0900109,1.454829,1.0185131,1.1172428,1.0712241,0.89443827,1.0645056,1.2344326,0.84817904
book,0.63101995,1.30032,1.2645631,1.1421103,0.8107052,1.2709569,1.2316501,1.1975663,1.0339085,0.79964685,0.6835097,1.2608149,0.8530029,0.8063729,0.9703532,0.81381357,0.0,1.265944,1.2447162,0.40274084,1.0711969,1.1515326,1.2173735,1.3071592,1.0439075,1.4070972,1.06264,1.1660866,1.2725239,1.0287194,1.022206,1.3258722,0.80078083,1.1764756,1.2888029,0.7782884,1.2690213,0.79100335,0.9005803,1.0570682,0.9628613,1.0262398,1.1903491,0.9395915,1.2488668,0.9537116,1.087541,1.2435389,1.2759542,0.80854255,1.334531,1.2118267,0.6267641,0.93072706,0.8612063,1.2225288,0.8043843,0.8504656,0.9383627,0.9705486,1.124795,0.96548605,1.2663655,1.0480192,1.3042231,1.3338566,1.3589051,1.2044288,1.1352139,1.1906573,0.9622528,0.9573204,0.943747,1.1271849,0.22996873,1.2618246,1.230653,1.081803,0.8903694,1.0453718,0.75826883,0.8212217,0.84704304,1.0846183,0.84492385,1.0110133,0.5692844,0.93294144,0.96025103,1.0598313,1.0476216,0.73857117,1.4241085,0.9202461,1.1946862,1.1386583,1.1413348,1.0136256,1.2628332,0.53835726,0.84886533,0.76836824,1.1114948,1.4538609,1.3746456,0.9005182,1.3919222,0.67703545,0.8955865,0.9418445,0.39094758,1.0965213,1.3748991,0.8099644
bottle,1.332037,0.99021417,0.55842125,1.1189647,1.4472065,0.6291075,0.6768821,0.49409813,0.83393204,1.3420846,1.4971995,0.5695644,1.3453659,1.4497705,0.88989156,1.414391,1.265944,0.0,0.28110385,1.2396327,1.1327405,0.74686205,0.72247845,0.638301,0.65147465,0.5286525,1.3524907,1.0765544,0.24900937,1.1137125,1.2225316,0.6594145,1.476023,0.86541164,0.22138906,1.3494807,0.14890242,1.0609828,1.4108216,1.0990798,1.1174644,1.2264599,1.1030307,1.1371369,1.0928406,0.9262721,0.94594187,1.1077559,0.7779063,0.9916156,0.45814335,1.3560073,1.1865785,1.3251648,1.4613385,0.9156839,1.1528348,1.3486859,0.905593,1.4338751,1.058433,1.3438253,0.35195887,1.5162778,0.6006935,0.4179814,0.48254442,1.0399287,0.39631742,0.7114587,1.0893359,1.0513983,1.4404424,1.2563561,1.2784641,0.22516954,0.19692314,1.0423124,1.0228901,0.83487344,1.2201571,1.1070365,1.3093356,0.74865264,1.1040283,1.0282961,1.3944373,1.4206556,1.2900696,0.9282106,0.7480854,1.1673566,0.2672686,1.1087523,0.5710909,1.3831983,0.8240137,1.1909915,0.8768402,1.3213571,1.3489711,1.4446547,0.70969296,0.65634775,0.71516156,0.965455,0.48152626,1.2314644,1.0491306,1.0864646,1.2270914,1.2199752,0.7570497,1.2606058
bowl,1.3375183,0.98370844,0.5238756,1.1650015,1.4118242,0.62543195,0.6456006,0.43581736,0.83700645,1.2360522,1.4286156,0.47576267,1.2608018,1.3983736,1.0463319,1.3913237,1.2447162,0.28110385,0.0,1.2030303,1.0136392,0.75940907,0.7229706,0.6982079,0.6600119,0.55986506,1.323273,0.99279904,0.48668003,1.1924102,0.9859825,0.6836036,1.386725,0.82861364,0.26925063,1.3046408,0.30424392,0.8643316,1.4359789,1.0421855,1.2214954,1.227135,1.1334296,1.1988721,1.0184904,0.8086741,0.88200206,1.1845009,0.86351,0.9618082,0.5951669,1.3629563,1.1758336,1.4101171,1.4365183,0.91495955,1.1556392,1.3394635,1.0792015,1.3923345,0.8853023,1.3340877,0.5383401,1.4687767,0.5859211,0.49291134,0.44744694,1.114438,0.59815794,0.57421625,1.10983,1.1731768,1.4744765,1.3172159,1.2815238,0.26572907,0.24567384,0.96411145,0.8654376,0.9411786,1.1911,1.0824885,1.2974255,0.75606585,1.1858339,1.0402339,1.2995211,1.4063113,1.385077,0.97250223,0.6933699,1.1313213,0.2578317,1.1575266,0.7499893,1.4175627,0.7015412,1.2203503,0.79997903,1.2570698,1.3634168,1.3840053,0.67521805,0.63818973,0.6280143,1.0412889,0.39000952,1.1954498,1.0036502,1.1236776,1.1972564,1.1224433,0.7806454,1.2435318
box,0.61552346,1.2835718,1.2381648,1.1927803,0.8435906,1.3598075,1.285734,1.3094565,0.8625603,0.5812673,0.7459631,1.2402875,0.8163099,0.86533344,1.0880533,0.90941656,0.40274084,1.2396327,1.2030303,0.0,1.0590024,0.69841087,1.2684946,0.8414277,1.0771419,1.4067914,1.1175247,0.83871466,1.2128438,0.96841997,0.93784773,1.4036868,0.7538461,1.276899,1.3697014,0.554523,1.1584442,0.6387341,1.0686089,1.0783262,0.6998007,0.8628249,1.2355534,1.0065893,1.3427579,1.09732,1.1083757,1.1811981,1.3436903,1.0977328,1.3566668,1.179202,0.9124161,0.9773634,0.98816615,1.1952466,0.98106575,0.91547674,0.8750561,0.9946993,1.1443056,0.8358141,1.1837933,1.0282121,1.2841926,1.3937206,1.137855,1.254627,1.1002493,1.2086195,0.70040923,1.0557317,0.90959287,1.038349,0.503592,1.2791508,1.2811317,1.0341942,1.0679388,0.99610364,0.8168412,0.96755904,0.5989539,0.90291333,0.65915096,1.0781579,0.76820624,0.94445753,1.016926,0.9771904,0.82243735,0.8406152,1.4561224,0.9978763,1.0686688,1.0779002,1.129537,0.9436638,1.175689,0.65369046,0.79172146,0.5957769,1.095568,1.5130086,1.4179953,1.0133979,1.1749084,0.84544677,0.7893548,0.8930998,0.59310544,0.9656383,1.3481164,0.7204187
bread,0.9813441,1.1128016,1.1231991,0.701761,0.91403246,0.9991665,0.9610698,0.88459176,1.0566006,0.83457124,1.0238019,1.0563389,0.9626752,0.8106569,1.09304,0.80328244,1.0711969,1.1327405,1.0136392,1.0590024,0.0,1.0510011,1.0871892,1.1052691,1.2088124,1.0109907,0.83122444,1.0862303,1.0612227,1.0126363,1.1081041,0.9157003,1.1114769,0.67237276,1.082687,0.97667485,1.1348788,0.967091,0.9815313,1.1000954,1.025406,0.9538804,0.9370389,0.83552104,0.98140574,0.9507506,1.1027884,1.0512494,1.0605353,1.0096852,1.0714736,1.0009884,0.7317914,1.0042822,0.8410162,1.1896755,1.1130714,1.0928146,1.091668,0.83522516,0.86538726,1.0095136,1.10148,0.91066265,0.96820533,1.0792563,1.0538368,0.90470046,1.1885954,0.9245745,1.1695733,1.0957718,0.9574828,1.0372524,0.8914799,1.132427,1.0706671,1.0682034,0.8624534,1.1282291,0.80360043,1.0760692,0.993168,1.1244869,1.1774079,1.0821202,0.9660181,0.99240375,0.9937951,1.0337808,0.9947215,1.0476636,1.0821714,0.9283179,0.9769791,1.0509728,1.0005493,0.911554,0.93924683,1.0396597,0.98835814,1.0053992,1.0818857,1.0681337,0.9312471,1.0283262,1.0654538,1.0926518,1.0725224,1.0583103,1.0019779,1.0490003,1.1777506,1.0409489
bucket,1.0906626,0.9507086,0.9912043,1.1253986,1.0706928,1.017941,0.9607324,0.9546313,0.78737843,0.8814989,1.2263677,0.8631854,1.0432839,1.2569337,1.1230116,1.2152302,1.1515326,0.74686205,0.75940907,0.69841087,1.0510011,0.0,1.0100312,0.29892457,0.8670294,1.0324341,1.1579224,0.62836134,0.7173547,0.9918602,1.0104295,1.1182806,1.139585,1.1586224,0.9231806,0.891293,0.51877177,0.8432546,1.2661151,1.1209803,0.74152863,0.8484707,1.199625,1.1420261,1.2164158,1.1021374,1.1179435,1.0551186,1.1117886,1.2202051,1.0707653,1.0761081,1.2531536,1.1597085,1.281793,0.96861416,1.1557765,1.1871319,0.63424486,1.1483767,1.0670216,1.0124544,0.76760614,1.1362255,1.0387106,1.0380431,0.63791955,1.1498419,0.85963345,0.9352249,0.6504346,1.2086257,1.149485,1.0525396,1.1380163,0.89635336,0.96072626,0.9637195,1.1639959,0.87408626,1.1410666,1.0848624,0.87462,0.5692513,0.71691453,1.0968969,1.2248682,1.189682,1.1728214,0.6528941,0.5847453,1.0929503,0.9355555,1.1272728,0.6719531,1.0480736,0.8931421,0.92921066,0.9123763,1.237938,1.0670592,0.9421588,0.7596645,1.0488385,1.1180913,0.98664606,0.6730995,1.1194198,0.86125034,1.0126398,1.094669,0.94354236,0.9018835,0.9812957
butterfly,1.2403579,0.7804263,0.6996692,1.0571637,1.3861055,0.7836001,0.7984079,0.76431525,0.82358205,1.431432,1.4698981,0.6342996,1.3194759,1.153656,0.7716403,1.2690601,1.2173735,0.72247845,0.7229706,1.2684946,1.0871892,1.0100312,0.0,0.88743615,0.86611444,0.67170656,1.3445661,1.1601093,0.6477044,1.2051697,1.0333334,0.6567495,1.4677606,0.78740716,0.48919022,1.3644029,0.6888819,1.0235113,1.2536753,1.1162126,1.2554924,1.2846134,0.9027017,1.1172444,0.89550114,0.6362849,0.86039877,0.92909384,0.73729765,0.6438212,0.7459785,1.1458418,1.1403291,1.3645904,1.3644078,0.86709166,0.9187833,1.3042574,1.1608086,1.3505147,0.8974238,1.2935348,0.6262306,1.2745173,0.6748283,0.6793674,0.632232,0.781042,0.7529899,0.8277772,1.2688162,1.0495057,1.4581995,1.2354379,1.2848227,0.593504,0.64413023,0.9581103,0.9385423,0.86660016,1.1756068,0.86284244,1.2566646,0.93391776,1.2157857,0.7689626,1.0929222,1.3738961,1.1121964,1.0873473,0.977771,1.2075449,0.5299878,1.2495208,0.7357756,1.2315059,0.57709014,1.1305864,0.68841225,1.1793481,1.3863804,1.4674442,0.5828621,0.70937514,0.63332057,0.84325343,0.6223248,1.0584576,1.050183,1.1030289,1.1561524,1.0828782,0.666365,1.334386
can,1.1051741,0.87616456,0.96791756,1.216788,1.3144081,0.97069603,0.9179952,0.96609426,0.6537031,0.99123675,1.3449047,0.6317705,1.0405157,1.3415861,1.1551623,1.3222665,1.3071592,0.638301,0.6982079,0.8414277,1.1052691,0.29892457,0.88743615,0.0,0.8622819,0.77871466,1.1448181,0.49908602,0.6563877,0.9189632,0.959918,0.98901844,1.2009466,1.1162133,0.69262123,1.00049,0.4840845,0.98432344,1.3398542,1.0977113,0.586591,0.80532783,1.0970471,1.1871917,1.1140991,1.0503416,1.0559971,0.8873741,0.8345823,1.2940629,0.89647007,1.016688,1.4082528,1.2592577,1.4200869,0.863329,1.2155315,1.2944766,0.99749213,1.1687859,0.9701416,0.9945992,0.62494594,1.1843865,0.8188298,0.9336071,0.45646882,1.0507547,0.63307065,1.0011764,0.68231845,1.2491286,1.1926507,0.96455336,1.2671183,0.659895,0.7856789,0.86066467,1.2011034,0.85095465,1.3370478,1.1465694,0.87799156,0.61601925,0.69757915,1.0840383,1.3968914,1.3328004,1.2061163,0.81059253,0.68805504,1.225845,0.7293223,1.1490355,0.69379395,0.94218653,0.7345845,1.09385,0.7095361,1.3259568,1.1879137,1.0829059,0.775705,0.8520478,0.89754575,1.06539,0.5516819,1.3214381,0.9603368,1.0604382,1.2507244,0.7808309,0.8324884,0.98126715
car,1.1734803,1.0223559,0.7787765,1.0952431,1.2982731,0.9007931,0.9446232,0.80256224,0.93613565,1.2385832,1.3120682,0.6802684,1.0349991,1.3284674,0.76774,1.260704,1.0439075,0.65147465,0.6600119,1.0771419,1.2088124,0.8670294,0.86611444,0.8622819,0.0,0.96326333,1.3473969,1.0287285,0.7982367,1.1265548,0.92335045,0.9478935,1.2627004,1.0098329,0.7261524,1.1647005,0.59058976,1.0485263,1.2267965,0.85937047,1.1406615,1.1237508,1.1931958,1.1303159,1.1394911,0.93348825,0.90872854,0.9720649,0.9338576,0.89617276,0.9910389,1.217011,1.2099375,1.054282,1.3712335,1.0086752,0.92646164,1.2457167,0.93057317,1.2906435,1.1667109,1.2727674,0.7142869,1.3916633,1.0088942,0.8237549,0.76607144,1.1936778,0.77273494,0.86462235,0.8748366,0.969938,1.3573892,1.1799324,1.1540276,0.6881305,0.76807666,0.9224123,0.849489,0.72251564,1.1523911,0.89593756,1.1541566,0.60944104,1.0468901,0.9407937,1.2223638,1.3893948,1.0691772,0.8431528,0.8454456,1.084736,0.709307,1.0744665,0.7123972,1.253011,1.0693645,1.1917679,0.90840894,1.1463367,1.1879811,1.2384231,0.67769253,0.9330333,1.037036,0.9303826,0.74693835,0.9597954,0.83881205,0.7509095,1.0328463,1.1137286,0.916143,0.9674739
carrot,1.3762491,0.677836,0.616256,0.88159156,1.4669288,0.59711874,0.6755358,0.60077995,0.85818565,1.4888229,1.5031102,0.62172174,1.3611066,1.3054892,1.1107599,1.3687422,1.4070972,0.5286525,0.55986506,1.4067914,1.0109907,1.0324341,0.67170656,0.77871466,0.96326333,0.0,1.1855543,1.1528633,0.6537648,1.2525519,1.1168276,0.39399064,1.4110006,0.6758722,0.34564745,1.5215411,0.60622257,1.1060861,1.3547888,1.0654541,1.2848777,1.2542396,0.49783015,1.2024852,0.4616611,0.981341,0.8828325,0.97181636,0.5220277,1.188773,0.26298046,1.0612744,1.0669616,1.1853468,1.0929636,0.7552577,1.1559271,1.2520443,1.2392787,1.264529,0.90266675,1.2711267,0.7277946,1.2413832,0.33475405,0.29611987,0.5260764,0.6731208,0.65207994,0.83700484,1.3266404,1.2314951,1.3770819,1.0954065,1.4230046,0.46788484,0.4703117,1.0465605,1.0930861,1.0409789,1.2943075,1.1484683,1.3043213,1.0114119,1.2415141,0.91061825,1.3498393,1.2815456,1.2644255,1.1569536,1.1311766,1.3198651,0.29901868,1.2212366,0.8758114,1.1192454,0.7088952,1.1392269,0.686037,1.2932823,1.3829944,1.5443038,0.8650076,0.25730276,0.17880523,1.1206906,0.47713983,1.3371636,1.2777555,1.1729419,1.2583611,1.0109844,0.43814874,1.3529665
cat,1.0046214,0.9184652,1.3709944,1.0983855,0.741888,1.0695109,1.105196,1.3044157,1.2087334,0.6922611,0.45723104,1.2052135,0.61858237,0.76684743,1.2987874,0.4441015,1.06264,1.3524907,1.323273,1.1175247,0.83122444,1.1579224,1.3445661,1.1448181,1.3473969,1.1855543,0.0,0.8651013,1.248071,0.6891713,1.1443927,1.2242241,0.5855849,1.1811768,1.3980963,0.87543136,1.479143,1.285057,0.32716322,1.0013938,0.80559504,0.77852416,0.84597296,0.85786337,0.92215896,1.2883531,1.0930315,0.96697396,1.0614464,1.1617652,1.0793824,0.5599696,0.98417556,0.6133518,0.6471646,0.81422937,1.1291897,0.5257367,1.1419766,0.42848974,0.82800967,0.7609464,1.3492916,0.4709975,1.1101984,1.2700877,1.3750398,0.95525223,1.2468901,1.2290472,1.094036,1.0704489,0.49701214,0.7205423,0.88131905,1.3455075,1.2970572,1.0025582,1.1669339,1.2361127,0.9987793,1.1805515,0.87182534,1.2535326,1.0299685,1.0671371,0.9252749,0.4921956,0.8527217,1.0403717,1.2677107,0.8515898,1.2157079,0.6004192,1.4140117,0.5163769,1.1366553,0.9058924,1.2571259,1.017655,0.7146838,0.7559448,1.3637761,1.0244097,1.1173517,1.2977848,1.4201372,1.0919218,1.2384937,1.0962428,1.0616527,0.90632766,1.1519505,0.8189568
chair,1.0028542,0.96258765,1.2015188,1.2280668,0.92932016,1.1852646,1.1018687,1.2629874,0.7908858,0.74831057,0.87213516,0.8973881,0.67006797,1.1388805,1.2327695,1.0324867,1.1660866,1.0765544,0.99279904,0.83871466,1.0862303,0.62836134,1.1601093,0.49908602,1.0287285,1.1528633,0.8651013,0.0,1.0333502,0.6807791,0.858592,1.2786616,0.73866063,1.3049048,1.1495993,0.6466896,0.9915952,1.0227671,1.0488291,0.9651699,0.46790183,0.57167184,1.1525155,1.1360904,1.174913,1.2189717,1.1036465,1.0450784,1.0988811,1.3440446,1.1392202,0.96812665,1.3583707,1.0009935,1.1738544,0.9458205,1.1519154,1.0097996,1.0768005,0.9305228,0.99504507,0.62739843,0.83625805,0.99250257,1.0269876,1.2268133,0.8871022,1.1514709,0.9483542,1.1060576,0.5510222,1.2015429,0.8776823,0.88580465,1.0871449,0.982029,1.1035401,0.9250045,1.1731534,0.91859597,1.1570231,1.138179,0.873333,0.8196734,0.65242213,1.1312388,1.2018473,1.002948,1.0914686,0.8782094,0.81980574,1.0894903,1.0882343,0.9169134,1.0695205,0.87975264,0.9435355,1.0495162,0.9049254,1.1059324,0.9303854,0.43771905,1.0113415,1.1496698,1.1815972,1.2096539,0.9292146,1.2120391,0.94396204,1.0139588,1.061996,0.7529891,1.0918021,0.6579058
clock,1.3780692,0.9049752,0.65425855,1.1001769,1.3570955,0.67384034,0.71881646,0.6262623,0.7478249,1.2796025,1.4434868,0.65641713,1.3431096,1.2783294,0.96454406,1.3329489,1.2725239,0.24900937,0.48668003,1.2128438,1.0612227,0.7173547,0.6477044,0.6563877,0.7982367,0.6537648,1.248071,1.0333502,0.0,1.0710454,1.2130032,0.6741517,1.4218432,0.852991,0.4502169,1.2591088,0.38079917,0.98451793,1.2754132,1.1580662,1.0351882,1.2104912,1.0945896,1.1148685,1.14378,0.8784953,0.95627314,1.1019158,0.82665354,0.9256786,0.63824916,1.3328738,1.2052736,1.2764822,1.4248034,0.8530517,1.1095809,1.1909577,0.9032789,1.3242563,1.0162805,1.2678257,0.4228996,1.3980366,0.65313596,0.57669055,0.5206427,0.89356786,0.5744908,0.66056854,1.1163688,1.1508925,1.3792735,1.1732175,1.2149688,0.48165703,0.48079556,1.1021856,1.0048114,0.9443916,1.0789387,1.0825161,1.2288854,0.84293485,1.107434,0.9461988,1.3529136,1.3254309,1.249443,0.98332036,0.81022894,1.1937253,0.4103992,1.0851957,0.6085795,1.3253508,0.78227615,1.1320223,0.9971746,1.2597187,1.2616619,1.3679287,0.7559244,0.7614569,0.7239848,1.0028276,0.5672512,1.1618873,1.0616834,1.1422315,1.2218127,1.1588563,0.80054617,1.2522212
closet,0.9025531,1.187254,1.2513921,1.1431429,0.7348305,1.1176344,1.1578338,1.2833085,1.0767646,0.7028135,0.71132827,1.1402781,0.73742247,1.0566269,1.1544031,0.8559621,1.0287194,1.1137125,1.1924102,0.96841997,1.0126363,0.9918602,1.2051697,0.9189632,1.1265548,1.2525519,0.6891713,0.6807791,1.0710454,0.0,1.0799142,1.1852041,0.708436,1.1720132,1.2280805,0.7156348,1.1938958,1.1478884,0.8227025,0.98562133,0.43479657,0.5439388,1.0706232,1.0737841,1.1608098,1.1581492,1.0694909,1.2076852,1.2208021,1.0946448,1.133418,1.0795671,1.0691929,0.76298535,0.9596018,1.0796585,1.0538825,0.7587408,1.0351214,0.90901554,1.129325,0.5597616,1.0241511,0.9529822,1.1223537,1.169541,1.2836624,1.1711074,1.0972608,1.140316,0.7047607,1.0475869,0.76703215,0.92818475,0.86392283,1.1559117,1.1227582,1.0435499,1.137841,0.98263484,0.9787943,1.0973006,0.96398383,1.1125152,0.809305,1.1635132,1.015484,0.8175878,0.9721961,0.9391086,0.8999686,0.9588058,1.2518481,0.82211256,1.1201248,0.9141222,1.1773257,1.0538065,1.2129266,1.0193398,0.7890352,0.6851959,1.2057962,1.2518926,1.2171177,1.1413398,1.3016602,1.1200849,1.0879347,1.0026894,1.0038971,0.93299073,1.2601112,0.5246773
