,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.2218174,1.0763216,0.9317293,0.97443783,1.0944402,1.3350213,1.1184182,0.85130155,1.0290542,0.7304728,1.3420892,0.8006482,0.7554982,0.75678164,0.6523504,1.0686957,0.8863666,1.3429297,1.2874255,0.7873605,1.2832052,1.1102567,1.1562464,0.91038364,1.1994511,1.0622221,1.2950412,0.5544248,0.8750477,1.3099142,0.9795598,1.0022495,0.90492046,0.98496264,0.845288,0.64338636,0.9232056,1.4079163,0.8061174,1.38201,0.513732,0.8247695,1.0143471,1.1436961,0.78218955,1.2171956,0.7580012,1.2081482,1.0738248,1.3786913,1.0524935,0.8955627,1.0874448,1.3238261,0.71992356,0.86506784,1.0328059,1.272259,1.0792707,1.2909157,0.98362595,1.1281748,1.2702835,0.9229416,0.89724594,0.85125476,1.1149685,0.8812907,1.3332734,0.895254,1.2557687,0.72263587,0.82590806,0.9726878,0.8914703,0.8996787,1.2618332,0.8940597,1.375262,1.1127052,1.3487186,1.016298,1.0064234,0.78930247,0.8710924,0.9535518,0.854429,0.78066444,1.4286988,1.3782368,0.7731555,0.9993411,0.83265626,0.9554925,0.82924,1.2370777,1.0618646,0.73734426,1.0591815,1.2319736,1.0297784,1.0925673,0.57220954,1.0166347,0.8734524,0.93181926,0.928756,0.9241903,1.1945037,0.94945854,1.2776866,0.7469034,1.3007333,0.9777971,1.1804211,1.0318295,0.9788815,1.2709346,0.9001967,1.186605,1.1930851,0.85129017,0.7814449,1.2843145,1.3179699,1.335247,1.2631187,1.0563688,1.008708,0.9089755,1.0050378,1.048375,1.4184241,0.9024372
ankle,1.2218174,0.0,1.0484455,0.9155228,1.141077,1.0362327,0.7977235,0.9151746,1.0404292,1.2975783,1.3031602,0.85595536,1.1971047,1.0671264,1.0705253,1.1488578,1.0721462,1.1785511,0.821442,0.9647873,1.2650119,0.78017974,0.9228868,0.874411,1.0620134,0.7565682,1.0446212,0.63495183,1.1478088,0.94987464,0.8102032,1.0283377,1.0760552,1.1218979,1.1352286,1.0937787,1.2325258,1.1656818,0.7461035,1.2502407,0.81551343,1.1535547,0.8551831,0.99567103,1.2001227,1.1000706,0.45651412,1.134943,0.8109764,1.1137352,0.47072428,0.8969914,1.1818901,0.4530573,0.8066926,1.106116,1.2473197,1.0770943,0.7434484,0.50425225,0.74409956,1.0510502,0.7497514,0.66313136,0.8710573,1.1701744,1.2699897,0.9813366,0.9768945,0.74016815,1.1449863,0.88299096,0.9948291,1.1991227,0.99703944,1.008512,0.72627056,0.8632728,1.1607603,0.8686992,0.7140572,0.68312836,1.0217652,1.2402377,1.155018,1.1889777,0.96903193,1.2188381,1.2304353,0.77691925,0.74510217,1.114096,1.0703309,1.2042738,0.7001674,1.2042837,0.93622303,0.7262882,1.2024249,0.62425536,0.92885065,1.2531906,1.0507532,1.134531,0.8319618,1.2026616,1.2567363,0.98034334,0.94925284,0.89746225,1.2543728,1.1928904,1.3658526,0.7081765,1.1971041,0.9020568,0.4060222,1.0547295,0.73927236,1.0083015,0.9475332,0.79635966,1.2200713,1.3710837,0.8747221,0.2993526,0.64856267,0.7799885,0.6293804,1.0409498,1.2895977,1.1568758,0.88149524,0.7591517,1.1844542
apple,1.0763216,1.0484455,0.0,1.1236994,1.1781805,0.38593698,0.3946544,0.7259616,1.2790817,1.3877444,1.357264,0.8299867,1.3840286,0.97037864,0.982206,1.3070109,1.2567518,0.9806276,0.84427905,0.9562522,1.1103334,0.74246454,1.1185219,1.1837019,0.8637481,1.0219804,1.110299,0.79854274,1.0525677,1.2070637,0.6319734,1.1467242,1.1792312,1.2507792,1.3471993,0.33649707,1.2961698,1.181117,0.81440544,1.2409097,0.8541036,1.0135183,0.6915976,1.2527354,1.2014426,0.7662919,0.8299558,1.2768297,0.68237484,1.138555,0.82338053,0.7694857,1.1923625,1.1336064,1.1784505,0.56792396,0.99258715,0.93054247,0.8199371,1.177148,0.8147187,1.2130312,1.155029,0.67703575,0.9076156,1.1179544,1.202136,1.0420157,1.3316693,1.0831741,1.3618436,0.9061424,1.1845894,1.2966185,0.90183324,1.1931814,1.1944047,0.708749,0.37789547,0.74649715,0.9659154,0.92744094,0.23725307,1.2892458,0.689123,1.2800769,1.3031421,1.1810797,0.55892277,0.9704757,0.98956937,1.025076,0.82805085,0.65083015,1.1335691,1.2202079,0.94216806,0.80345315,0.49696594,0.91344273,0.8584959,1.368984,1.1385701,0.83579326,1.0112262,1.2641612,1.3027748,1.0713425,1.2837979,1.1752201,1.2149934,1.216972,1.2738582,0.9037342,1.3269403,0.92142445,1.1531308,1.0108142,1.0995543,1.1590708,0.42981136,0.9519341,1.2490304,1.3276316,0.7421976,0.86414695,0.90536517,1.1828401,1.077761,0.7598479,1.0420538,1.0528066,1.1641177,0.82157576,1.2143117
applesauce,0.9317293,0.9155228,1.1236994,0.0,0.9373161,1.0551076,1.1634326,1.1600643,0.97027755,1.0898262,0.9721888,1.1868719,1.0390558,0.8280082,1.1452781,1.0193688,1.1189852,1.0182827,1.1551082,0.95886165,0.9543329,1.1130285,1.1521348,0.810341,1.0839933,1.1030687,1.1128594,1.1549035,1.06407,1.2000458,1.083522,1.1194949,1.0402172,1.0311232,0.84866697,1.047519,0.99278516,0.8578795,1.2027142,1.0460068,1.0809199,1.0653014,1.149133,1.0805007,1.0243771,0.85102487,0.9295863,0.93601596,0.9873971,0.9356615,0.926723,1.1690512,1.0219221,0.96896845,0.9938111,1.1522449,0.9085457,0.97374994,1.0240651,0.92348313,1.1420138,0.9294652,0.66081166,1.1872818,1.0775418,1.021581,0.8700597,0.8816548,0.8300872,1.1005737,1.030744,1.2506526,0.8466033,0.9236692,0.80148727,0.8169917,0.8497072,1.0722036,0.9904311,1.1325908,1.1202878,1.0799071,1.0573783,0.8975055,0.98842144,0.84542745,0.92198485,0.9326399,1.0472732,1.1423796,1.1345072,1.0604634,0.9270074,0.9844806,1.2129142,0.95771825,0.9464904,1.2631794,0.8578294,1.1585554,1.1924114,1.0196927,1.0507244,1.1886472,1.1739331,0.8408411,0.8914219,0.9756599,0.7832011,1.0665634,1.0299317,0.9888245,0.9707868,1.1364971,1.0445161,1.0932454,0.9647065,0.94626456,1.0466442,1.0451998,1.1808143,1.0762362,0.8136612,0.8536937,1.071832,1.0487367,1.1438572,1.0672569,1.092049,1.1853646,0.74710274,1.0528431,1.0803562,1.1740217,1.0407854
arm,0.97443783,1.141077,1.1781805,0.9373161,0.0,1.0871334,1.3399838,1.1026725,1.0657625,0.8128325,0.77461797,1.2963676,0.91829795,0.8326605,1.0964177,0.94721806,1.0506377,0.91390944,1.2676208,1.2619845,0.7991016,1.2049606,1.0874479,1.1698171,1.0550158,1.3668311,1.1638132,1.1586826,1.0023942,1.1460878,1.3168571,1.2189608,0.796247,0.9831051,0.81947625,1.073869,0.8812945,0.86925066,1.2313839,0.85821074,1.303937,1.0089092,1.1264268,1.1868546,0.92979485,1.024276,1.1913537,0.80662096,1.1292858,0.8708064,1.0910854,1.2557247,0.9662202,1.0273207,1.0809606,1.1161189,0.8232776,1.0495235,1.1213692,1.0755006,1.3480828,0.8343591,0.76586723,1.332029,1.2309701,0.7750714,0.7243799,1.1379906,0.7996764,1.1908822,0.82419825,1.3451042,0.80471313,0.8971862,0.8935395,0.93362576,0.95207155,1.203643,1.0384898,1.1922786,1.354732,1.2215924,1.1872902,0.9540392,0.91611177,0.71801305,0.8984301,0.82751393,1.0066277,1.2071996,1.2408502,0.99721915,0.8393373,0.9601114,1.3420758,0.9417696,1.2267208,1.276019,0.93318707,1.2821146,1.2419236,0.94526875,1.026352,1.0579932,1.161033,0.67381924,0.6874958,1.050105,0.8719834,0.87253594,0.8218396,1.0489484,0.6207408,1.2861531,0.65111566,1.2737997,1.0601952,1.0356311,1.2049357,0.6577295,1.1481429,1.1735373,0.7485486,0.6926266,1.2025771,1.2347902,0.9684378,0.9790344,1.4171985,1.0257787,0.79689133,0.91516364,1.1171317,1.2886207,0.9439699
ball,1.0944402,1.0362327,0.38593698,1.0551076,1.0871334,0.0,0.5234398,0.8489739,1.2012107,1.1911643,1.2320778,1.0270859,1.2485256,0.85154086,0.933184,1.1737332,1.1940919,0.95566636,1.0473747,0.7888639,1.0140175,0.9507235,1.0370685,1.1056123,0.87490237,1.1286792,1.098542,1.0724568,1.0324287,1.2240529,0.7479483,1.1268033,1.1552454,1.184383,1.1610008,0.56951916,1.2341202,1.0706972,1.0210024,1.1420982,0.96161103,1.0503094,0.89951146,1.2578151,1.0797106,0.78978574,0.8239464,1.1911527,0.77916694,1.1159354,1.072326,0.9989539,1.1142521,1.1537678,1.0900416,0.66543067,0.8894707,0.84230816,1.0673442,1.1573646,0.9364825,1.221323,1.1651127,1.0014292,0.9108888,0.997852,1.143617,0.96578056,1.3041567,1.0758034,1.2835156,0.87097096,1.1491396,1.2493715,0.7243195,1.0966583,1.1345153,1.0314066,0.4419074,0.98106796,1.0234534,1.1575328,0.534921,1.2064269,0.7442301,1.2463279,1.2662468,1.0830789,0.6722954,1.1131384,1.0940207,0.9202403,0.86418355,0.77268827,1.1547574,1.1443393,0.7488768,0.9783631,0.6348306,1.059886,1.0184402,1.2674716,1.0601497,0.9469563,0.83945405,1.0973299,1.2398098,0.96459174,1.2780068,1.1247278,1.193792,0.9527285,1.137631,1.0431685,1.1491189,1.0381459,1.0465786,0.862206,1.0028803,1.0468642,0.75001395,1.1268406,1.1730852,1.0770199,0.690987,1.0435873,1.0812292,1.0209656,1.1244745,0.79846615,0.7651585,0.98241544,1.231194,1.0450805,1.1477656
balloon,1.3350213,0.7977235,0.3946544,1.1634326,1.3399838,0.5234398,0.0,0.7594409,1.1917756,1.4310788,1.4955058,0.47443557,1.3538332,1.2596598,0.91252315,1.407846,1.134602,1.1301526,0.461357,0.7018914,1.324072,0.53426105,0.88717926,0.9785806,0.8717282,0.66049284,0.95143014,0.55614316,1.1309468,1.0188786,0.393925,1.0199227,1.2157297,1.2321733,1.3523133,0.798591,1.4533437,1.3092594,0.43074465,1.3509529,0.50804245,1.0945878,0.83443844,1.1141121,1.2438841,0.968121,0.5679721,1.3394306,0.62554157,1.304388,0.6408644,0.56752574,1.1295048,1.0519255,0.91126305,0.8316801,1.1366357,0.8823198,0.8108272,1.0761417,0.48674667,1.2522855,1.2328577,0.41720992,0.7549413,1.2208765,1.3746086,0.9480467,1.4172127,0.7391548,1.43129,0.51203007,1.2768489,1.4380019,1.0818576,1.1915319,1.2334425,0.511639,0.79902434,0.47799468,0.7318095,0.66475797,0.5694796,1.3674312,1.0514877,1.4389949,1.3319347,1.3753208,1.0499282,0.5936493,0.6289276,1.1185111,1.0644075,0.9931228,0.8260545,1.2019458,0.74356055,0.5391413,1.0463725,0.65752304,0.6413533,1.385895,1.105797,0.8696631,0.96911496,1.4251876,1.4437746,1.0803422,1.3424883,1.0250884,1.2836245,1.0476271,1.4798304,0.5821269,1.3219118,0.6785041,1.0320276,1.0229127,0.7938503,1.2581129,0.42043245,0.74704105,1.3829647,1.4824712,0.54095244,0.5409701,0.71146303,1.0609622,0.81160927,0.7791937,1.2831341,1.0620675,0.9569341,0.50143856,1.2575767
banana,1.1184182,0.9151746,0.7259616,1.1600643,1.1026725,0.8489739,0.7594409,0.0,1.1694988,1.2714994,1.3664594,0.7668631,1.3363986,1.1443653,1.0239202,1.2982538,1.0756459,1.1362243,0.74472016,0.9034538,1.2784333,0.50673825,1.0825195,1.1707246,0.98192805,0.9561788,1.0876948,0.7639152,1.1618317,1.1407609,0.7359534,1.1953495,1.2350085,1.2225292,1.112802,0.7640796,1.3269032,0.9075907,0.7173228,1.2670872,0.8220521,1.1193765,1.0395199,1.2277665,1.2451348,0.9229193,0.7978916,1.1741688,0.6263557,1.1068804,0.9039461,0.74503565,1.0643278,1.0599713,0.88868654,0.5387504,1.0699711,0.90013313,0.8608074,1.076411,0.7418611,1.1716368,1.1458321,0.7763468,0.83730245,1.1144909,1.2793444,1.1454802,1.3147645,0.7814932,1.2470438,0.8281638,1.1995603,1.3020988,0.84155464,1.1743343,1.0731786,0.7967055,0.8895282,0.7845924,0.5082941,0.9224411,0.640645,1.2755696,1.0223006,1.3011672,1.2760563,1.2492883,0.8238765,0.8235747,0.8657543,1.0489168,0.96396124,0.7981788,0.96239245,1.1258967,0.7979516,0.8138763,0.9482454,0.8923931,0.7944199,1.2913201,0.9999128,1.0424833,0.97115535,1.0396336,1.3240618,1.0308802,1.2487131,0.77988553,1.1161679,1.1291531,1.2680398,0.770903,1.1107771,0.8530683,1.0922651,0.85142505,0.83482623,0.7527169,0.66646034,0.78161174,1.2789972,1.2873484,0.82098764,0.8092233,0.7976167,1.0161912,0.77137625,0.7207282,1.1723961,1.0660839,0.94957346,0.717945,1.2472032
basket,0.85130155,1.0404292,1.2790817,0.97027755,1.0657625,1.2012107,1.1917756,1.1694988,0.0,0.83234966,0.90954775,1.1397543,0.6336497,0.9799101,1.1232917,0.7293936,0.8992757,1.069711,1.1175348,0.85250485,0.8894691,1.2157494,1.0257475,0.60861206,1.1172334,0.67645174,0.8963376,1.2080475,0.9699868,0.6166673,1.1771854,0.6775532,1.0660512,0.7252148,0.6593791,1.2333454,0.8551902,0.7336916,1.2169355,0.6129507,1.0075694,0.9698414,1.0712326,0.7621802,0.845031,1.053636,1.1215435,0.87628525,1.2771617,1.1842024,1.185638,1.1940526,0.85615027,1.0142982,1.0012063,1.1955035,0.91613024,1.0135429,1.232039,0.80614865,1.1614069,1.137148,1.0401269,1.2062835,1.0616419,0.95909476,1.1415008,0.8101537,0.99401486,1.0524534,0.70960844,1.0187902,0.89889246,0.8117853,1.0784376,0.89986247,0.8775878,1.1271843,1.0382092,1.2386742,0.9216387,1.085534,1.2781962,0.7189396,1.0995305,1.0935727,1.0032107,0.9640293,1.172315,1.2018644,1.1269753,1.04379,1.113194,1.15884,0.7076361,0.8143067,0.9596478,1.0586567,1.1402501,0.88235635,1.0382237,0.7538115,0.8910753,1.0782771,0.94194007,0.9007728,1.022168,0.94568723,0.9987037,0.9309305,0.93162566,0.8384078,0.96322227,1.1202675,0.9557466,0.9818417,0.82563585,0.9510687,0.93811786,0.9260103,1.2705781,0.9705985,1.1125774,0.80698967,1.1016918,1.1250421,1.1216575,1.0259361,0.82122576,1.1211627,0.8400238,1.1226436,0.8445463,1.2093005,0.99308366
bathtub,1.0290542,1.2975783,1.3877444,1.0898262,0.8128325,1.1911643,1.4310788,1.2714994,0.83234966,0.0,0.40658998,1.282145,0.53096616,0.8781971,1.2742953,0.75636804,0.66517985,1.073158,1.4604955,1.1645308,0.781868,1.3798335,1.1248924,0.8966299,1.1141956,1.2205968,0.97802275,1.2503972,1.0009797,0.9324269,1.3523345,1.0124384,0.76711273,0.67085457,0.7107267,1.1560217,0.5858614,0.8390538,1.4417124,0.6954881,1.4142141,1.019755,1.3230379,0.6807834,0.42895162,1.0295185,1.2468994,0.72566116,1.1874927,0.72574157,1.3574421,1.3371642,1.0058134,1.0769107,1.0374615,1.3281136,1.0124342,1.1729459,1.2421736,1.1259968,1.4729365,0.8143682,0.9919919,1.4636407,1.3487096,0.8677772,0.6781076,1.0091022,0.6344588,1.2063612,0.5195832,1.2107135,0.8784729,0.64930856,0.880914,0.95071405,1.0377146,1.2441684,1.1965326,1.3633068,1.2628138,1.2973254,1.3616507,0.459396,1.1068217,0.6663844,0.6052283,0.7516738,0.9608758,1.2962205,1.1893928,0.9059583,1.0115252,1.0719389,1.3082571,0.95113105,1.1032687,1.3851839,1.1036214,1.2994237,1.349257,0.38691926,0.8719287,1.2758892,0.98328435,0.7228973,0.6041231,1.1238105,0.731523,0.95282817,0.4740703,0.5877887,0.4785049,1.4112886,0.6137588,1.2219772,1.173931,1.1917858,1.1775793,0.94723624,1.4232814,1.1996465,0.6746747,0.4836406,1.2858824,1.4657454,1.2690275,0.8752148,1.3122203,1.3740594,0.7694505,0.9227261,1.0909913,1.3423553,0.6813319
