,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
belt,1.4002357,0.8389988,0.7571131,1.3207737,1.2792578,0.84576064,0.71798205,1.2617843,1.34714,1.3562165,0.0,1.4439111,1.3786955,1.2467412,1.2810519,0.93525314,1.0989412,0.31425,0.7284763,1.371791,0.5358752,1.1214273,1.219902,1.0699943,0.30594933,0.5043589,1.0196314,1.0993984,1.1318384,0.44715858,1.2884823,1.2541547,1.0038337,1.0401149,1.3563528,1.1499097,0.3013826,1.4299053,0.3477744,1.2479191,1.1828884,1.1140827,1.063663,1.1890461,0.82549775,1.0529032,1.0483848,1.1569172,1.0763558,0.7090647,0.70690686,1.0581551,0.5725028,1.0407518,1.4159181,0.8662796,1.1740386,1.24823,1.2271954,1.1604863,1.3197404,0.6319371,0.91486764,1.2387502,0.5101963,1.3641326,0.5302721,1.2384923,0.7178642,1.2229049,1.1680975,0.95640033,1.5017133,0.99474,1.2494662,0.5209739,1.0338969,0.56606746,1.1160169,0.43978792,1.2563319,1.2353626,1.1997905,1.2391715,1.3559499,0.3175155,0.34004974,0.5921385,0.65461445,1.1317695,0.6899891,0.46613204,0.712057,0.9581853,1.217732,0.7494067,0.98962545,0.5996809,1.1869344,1.2898571,1.1818286,1.2748966,0.79273736,0.63133484,0.6082289,1.1580493,1.1353916,1.2172518,0.39123964,0.9375663,0.7718105,1.133299,0.73814493,1.3081608,0.6243985,1.292517,1.3106352,1.4339852,0.70539725,0.81215894,1.0756781,1.3542409,0.7777268,0.92554504,0.9751603,1.0308765,1.1399211,0.73485184,0.4493276,1.2053704
bench,0.88097537,1.3032686,1.404397,0.77603066,0.91248614,1.2799315,1.4265862,0.56363153,0.4353652,0.42120767,1.4439111,0.0,0.803949,0.82679164,0.70478547,1.0829283,0.96405315,1.5278486,1.1303599,0.405038,1.4294658,0.7007059,0.85150135,1.0277236,1.3612481,1.3205874,1.2403271,0.778196,0.49364138,1.4006677,0.40121883,0.43146592,1.3160763,1.0525113,0.19155723,0.92579556,1.5647895,0.37123656,1.4536173,0.82754016,0.8939208,0.59887886,0.72150344,0.70268655,1.3631043,1.1953714,0.97846127,0.9680027,1.1754512,1.2678311,1.374296,1.1113666,1.3886518,1.257826,0.74413943,1.3227853,0.9411475,1.052614,0.81493723,1.0658503,0.9697832,1.3739249,1.2545809,0.7209694,1.3354051,0.53015023,1.3032389,0.5599948,1.1766083,0.87827235,0.8180982,1.053061,0.63438284,1.0957168,0.94958425,1.4773757,0.964795,1.4733381,1.0284204,1.4693773,0.46718037,0.93648165,0.7792384,0.61715084,0.7663521,1.566495,1.4848218,1.4585707,1.382499,1.0865602,1.1455821,1.3830984,1.3832148,1.0751959,0.8982425,1.4272608,1.0159233,1.2933958,0.54696494,0.79904866,0.9234472,0.6703513,1.2936236,1.119822,1.4309659,0.609267,0.651755,0.72286385,1.535826,1.1691521,1.1767833,1.0618572,1.3956472,0.8496772,1.4224464,0.48148888,0.6122891,0.27121973,1.393955,1.3737365,1.1821071,0.8691102,1.0896344,1.2736354,0.7901188,0.8877737,0.9116336,1.1484131,1.5102193,0.5927056
bib,0.58910024,1.2189587,1.2802174,0.6969318,0.83263135,1.1642687,1.4032687,0.67467743,0.69960344,0.47003692,1.3786955,0.803949,0.0,0.91215986,0.34980464,1.0713573,0.41270065,1.5069597,1.2386723,0.64019144,1.4331279,1.0385312,0.732324,0.7638515,1.4344225,1.3075472,1.1942469,1.1073986,1.0310538,1.22612,0.8280395,0.70026636,1.1718961,1.0872128,0.67336893,1.007686,1.4005619,0.67330754,1.4654498,0.9884224,1.031968,0.97620046,1.0293257,0.7208204,1.2733929,1.1038384,0.963549,0.80270517,1.0941145,0.8190527,1.1745911,1.1564527,1.3513479,0.9526891,0.75673115,1.1975302,1.0302005,1.0288119,0.80649424,0.89780694,0.81521654,1.305109,1.0246823,0.72469544,1.4565178,0.64510316,1.3161411,0.92717284,1.2214992,0.9391823,0.9255669,1.0312332,0.7510732,1.2150755,0.8474401,1.2940183,1.1263181,1.3998052,1.1407095,1.4602914,0.84669536,0.67221963,0.69078517,0.8802456,0.30855685,1.425122,1.3551142,1.3095826,1.3263608,0.9025688,1.2799075,1.3441588,1.2906344,0.9874729,0.8642843,1.2586048,1.0931537,1.2300148,0.8318759,1.0175785,0.8793198,0.7340747,1.3345503,1.2800559,1.3940057,0.93518704,0.8804979,0.5635162,1.4837801,1.2898415,1.307725,1.1040943,1.3245674,0.71451086,1.3215461,0.9626819,0.6718084,0.6197369,1.1753639,1.3102165,0.9937829,0.76635164,1.2916512,1.1644334,0.8753911,0.8021459,0.8487204,1.2693516,1.4189403,0.7970506
bird,0.51524055,1.1717567,1.2219762,0.87121594,0.9476128,1.1428653,1.166009,0.8838227,0.8680637,0.7620301,1.2467412,0.82679164,0.91215986,0.0,0.8985317,1.0057776,1.0332426,1.2973349,1.1886307,0.96630245,1.1444852,0.90632826,1.0007929,0.97199017,1.2948236,1.0762357,1.2133098,0.7049696,0.8977302,1.2272279,0.9171761,0.92258686,1.0578891,1.091216,0.91455954,1.0396564,1.3221428,0.6352289,1.3010437,0.6442368,0.7627255,0.98179746,1.0283698,1.0884348,1.3476181,1.1611781,0.9913905,0.8506316,1.1749331,0.94540787,1.0690508,1.1989639,1.1214914,0.6863375,0.88062024,1.2139024,0.9176854,0.9932804,0.8814545,0.7797827,0.9475153,1.2409903,0.7552575,0.9503025,1.3167408,0.90884364,1.1517379,0.8495196,1.048689,0.758486,0.9576988,1.1414745,0.8206167,0.7113712,1.0284941,1.3285847,0.99573326,1.4199867,1.1526408,1.3249316,0.93594176,0.7531661,1.0890019,0.9284415,0.891595,1.2371149,1.2581797,1.1260331,1.2535851,0.81812906,1.001015,1.2224469,1.0187057,1.0024518,0.7368134,1.1695762,0.96134436,1.1005177,0.9281978,0.55651784,0.74989754,0.94062406,1.0407815,1.2230266,1.0322717,0.9191239,1.0285256,1.0615476,1.2817193,1.0925963,1.2448089,0.9726449,1.1531984,0.80375713,1.2516518,0.6985705,0.93559635,0.7794849,1.1672199,1.3120121,1.0661854,0.8537067,1.143395,0.9518441,0.98189074,0.8831766,0.92045045,1.0254812,1.325846,0.85065824
blanket,0.7437265,1.0390944,1.3456521,0.7650612,0.89999413,1.175587,1.3389003,0.65050644,0.70495564,0.49210554,1.2810519,0.70478547,0.34980464,0.8985317,0.0,1.0237015,0.56665945,1.4407694,1.1654822,0.7100081,1.4183903,0.9569452,0.75894904,0.8336457,1.3267031,1.2371665,1.3422301,1.0092839,0.79545754,1.2791431,0.8928251,0.72019255,1.1163617,0.98616886,0.6186225,0.9182746,1.41539,0.72310525,1.4419782,0.97797257,1.0009165,1.02858,0.9850253,0.50024813,1.3758776,1.2038714,0.92738664,0.9352799,1.196308,0.89588153,1.1422528,1.3190669,1.1595794,1.0087824,0.9194743,1.3269043,0.92625517,1.0830673,0.9854179,0.8685493,0.9495868,1.3188429,0.9882409,0.6966746,1.3506541,0.62175447,1.1636615,0.89403105,1.1996356,0.99459565,0.9966611,0.9565186,0.71923554,1.1234791,0.8774589,1.4148791,0.81688374,1.4611839,1.2216511,1.4612098,0.88492775,0.7133778,0.50207597,0.8735551,0.5582207,1.4101932,1.3815049,1.2206467,1.3269982,0.9232213,0.8906875,1.3785222,1.1709313,1.0162574,0.9120142,1.3068514,0.9792308,1.2714295,0.85375905,1.0457652,0.926778,0.7261334,1.1320245,1.1467841,1.3671746,0.9102368,0.8666657,0.451522,1.4803944,1.3533065,1.1681536,1.1143686,1.2182251,0.8790274,1.3709186,0.8879787,0.65214527,0.67541397,1.1468099,1.3782022,1.1145512,0.8448061,0.85163534,1.1496753,0.8638656,0.8465229,0.90219575,1.1872362,1.4619501,0.851603
boat,1.0767188,0.92979157,1.0019602,1.2068803,1.082999,0.92423165,0.9930341,1.0389681,1.0967245,1.0367348,0.93525314,1.0829283,1.0713573,1.0057776,1.0237015,0.0,0.99696696,0.8995193,0.89345527,1.110827,0.9599731,1.1228513,1.0160068,0.91839653,0.94341713,0.294841,1.134948,0.9907465,0.9940739,0.9580947,1.1149856,1.0314363,0.96147907,1.2270288,1.1260148,1.261478,0.98251826,1.0234746,0.8704465,0.9548283,0.8506923,0.9933192,1.0421702,1.0132154,1.0831246,1.0223616,1.0325615,1.09213,1.1514201,1.0384427,0.8342056,1.1899712,0.91918856,0.88823855,1.083207,1.1164992,1.0238019,1.1170529,1.0959373,0.97000843,1.1873311,0.9555544,0.88003135,1.1392678,0.9326098,1.1534655,0.8800351,0.990549,0.92184824,1.109159,1.1400371,1.0485133,1.2149233,0.806301,1.0903713,0.99042416,0.97870934,1.1006868,1.1829433,0.9966827,1.0493582,1.1095577,1.0821689,1.14047,1.1726291,0.92505485,1.0456684,0.8576523,0.9858513,0.9405329,0.84682786,1.0016315,0.85398823,0.8984587,0.9407752,0.9690939,1.0022393,0.9038012,0.93547195,0.96717566,1.1396219,1.0810171,0.8249384,1.0798372,1.0027758,1.0440499,1.064018,1.0867736,0.9823767,0.90339255,0.928806,1.1627778,0.97922534,1.0499777,1.0035723,0.90230525,1.0729195,1.0889344,0.8621015,1.1175843,1.1365851,1.2345214,0.99277896,0.85962915,0.9824943,0.6891298,0.6035979,0.8243748,0.99401164,0.78764534
book,0.7103623,1.0678477,1.1472453,0.8222233,0.95931065,1.0295069,1.1949222,0.6270664,1.0109644,0.7595856,1.0989412,0.96405315,0.41270065,1.0332426,0.56665945,0.99696696,0.0,1.1687921,0.90565497,0.4940923,1.1596265,1.142237,0.78543794,0.78175294,1.0424048,1.0510186,1.2598828,1.1507676,0.9168944,1.0054779,1.0679628,0.7872516,1.0682068,1.0982026,0.8921536,1.0270071,1.0218829,0.899217,1.0857882,1.0411091,1.0185093,1.0955329,0.80252135,0.99073476,1.2139841,1.1028877,1.1140285,1.0291499,1.1225984,0.73275506,0.9467037,1.2189271,1.0733286,0.8368638,0.94334984,1.1642976,1.1200385,0.91440713,1.1015848,1.061456,0.9323418,1.0601337,0.8864969,1.1208345,1.1681763,0.9721592,0.90818167,1.0323626,1.0472159,1.0740367,1.1171007,0.8555631,1.0412039,1.1766475,0.9686178,1.1778255,0.8960042,1.2437847,1.1537834,1.220532,0.9023748,0.9329274,0.99050105,1.2238067,0.3511554,1.0103382,0.97821707,1.1100281,1.1085565,0.8940569,0.9047218,1.2132705,1.1104403,0.8443966,0.9645086,1.1225377,0.88150024,0.92345405,0.918684,1.1459838,0.903458,1.1378143,1.048114,1.1525636,1.239399,1.1858109,0.9665482,0.8657484,1.1951944,1.0853018,1.2434455,1.1126543,1.0336173,0.82048243,1.1657456,1.0807885,1.0462961,0.7827699,0.8920388,1.2519342,1.0932628,0.89026386,0.9343025,0.92036754,0.5035826,0.99874645,0.91011715,1.0502173,1.1447512,1.0358193
bottle,1.4256197,0.8280462,0.7427944,1.3956046,1.3720897,0.7922821,0.6123521,1.3016999,1.5002406,1.5410322,0.31425,1.5278486,1.5069597,1.2973349,1.4407694,0.8995193,1.1687921,0.0,0.7437414,1.4186237,0.33652586,1.0295093,1.2570357,1.1079146,0.20138931,0.5179045,0.925601,1.0604314,1.1234565,0.38147783,1.3274299,1.3233161,0.9039408,0.83778304,1.5099924,0.96313184,0.33343023,1.560256,0.1608268,1.2240924,1.1211102,1.0510482,1.0258396,1.2785822,0.7194386,1.0197995,1.0393507,1.2887484,1.0465869,0.88562316,0.6035036,1.1010168,0.53554094,1.0278835,1.357038,0.90779066,1.2759856,1.2498971,1.3243468,1.1675105,1.3583555,0.5526558,0.8488744,1.3783952,0.32004243,1.5744833,0.55274475,1.1716461,0.5730934,1.3355703,1.1987981,0.77067375,1.5566634,0.9072999,1.315877,0.5121331,1.0181513,0.5497564,1.0513966,0.34172118,1.2742398,1.3609617,1.349942,1.3622651,1.4629674,0.28097558,0.36514425,0.3507588,0.6105507,1.1234831,0.59308815,0.4820066,0.48583513,1.039037,1.2503422,0.6257996,0.93695086,0.5911872,1.1238364,1.2923675,1.2548891,1.4340651,0.64876044,0.7146528,0.306314,1.1997104,1.2707119,1.3354341,0.34763467,0.60183334,0.65344304,1.1402239,0.5854006,1.3628554,0.5178126,1.2630749,1.4636499,1.5540189,0.68255943,0.6995896,1.1732441,1.4022698,0.6928786,0.840392,1.0600083,1.165374,1.2081022,0.5192205,0.3793425,1.2609243
bowl,1.317688,0.98019636,0.72095555,1.3164887,0.820931,0.6301995,0.8575635,0.78351843,1.0595524,1.1491518,0.7284763,1.1303599,1.2386723,1.1886307,1.1654822,0.89345527,0.90565497,0.7437414,0.0,0.9578158,0.70959175,1.1103781,0.57738924,0.9876017,0.6654458,0.7284257,1.1930958,1.145258,0.83706653,0.7371814,1.2226521,1.0705011,0.87949115,1.0927355,1.2870368,1.1536541,0.70723224,1.0857784,0.46818537,1.2686622,1.2137728,1.1474587,0.77718115,1.0596601,1.1316688,0.6753049,1.182168,1.2576013,1.1931146,1.0022029,0.8718086,1.2348936,0.6705277,1.0606784,1.1021307,1.1164538,1.1903082,0.9199758,1.3695909,0.98900926,1.2286663,0.7266953,1.0792575,1.4050418,0.6986972,1.4038713,0.6598652,1.141813,0.68509245,1.1892092,0.96961653,0.8631148,1.2461221,0.98167825,0.9705085,0.7800903,0.8104498,0.9116165,1.1001056,0.6930239,1.1115178,1.2114413,1.2006016,1.4095166,1.1281636,0.7285341,0.77324414,0.8841432,0.7390364,1.2324115,0.7015196,0.8824679,1.0135875,0.4921357,1.2367125,0.8052261,1.0282241,0.71225816,1.101856,1.1656066,0.98236454,1.4202564,0.95615715,0.967154,0.8217883,1.2680811,0.5539093,1.0495652,0.75338167,0.75472045,0.86360747,1.0051111,0.52250826,0.94105655,0.7409833,1.1286696,1.3442507,1.0743489,0.5838256,1.1378475,1.2082676,1.0131322,0.741084,0.7376724,0.4734047,1.099121,1.1013962,0.97793907,0.7954487,1.1954542
box,0.80557334,1.3403993,1.3450289,0.69879335,0.89495414,1.223886,1.4220731,0.3586136,0.54629207,0.53749275,1.371791,0.405038,0.64019144,0.96630245,0.7100081,1.110827,0.4940923,1.4186237,0.9578158,0.0,1.4072305,0.8488989,0.6999015,0.9291374,1.221827,1.3043544,1.231475,0.99280477,0.8192881,1.2627673,0.573355,0.6054194,1.2183864,1.00299,0.51361,0.8480741,1.3890975,0.5096523,1.310661,0.9820545,1.0120552,0.74690586,0.6014737,0.8647679,1.3365532,1.187984,0.95754635,0.9663977,1.1947542,1.0549203,1.2488554,1.1540409,1.3477068,1.1994469,0.69645643,1.2668172,1.011034,0.8948246,0.8870341,1.1030846,0.93064344,1.342329,1.2053057,0.8608924,1.2081873,0.719255,1.2175308,0.69547826,1.1574098,0.959149,0.95397675,0.9130155,0.7444144,1.1425734,0.8561268,1.4018409,0.93431926,1.4101716,1.0332025,1.4556115,0.48951048,0.95779413,0.93023807,0.871044,0.53880805,1.4085342,1.306681,1.434783,1.2944503,1.0595814,1.1760018,1.3403212,1.3400996,1.0161557,0.9604496,1.3730667,0.8385104,1.1343455,0.6301186,0.9901595,0.9146524,0.8637389,1.2943463,1.0876895,1.4500759,0.8179978,0.6786055,0.7874238,1.4844031,1.1087098,1.3013506,1.0067815,1.3390825,0.7510773,1.3892789,0.7691018,0.75016797,0.40992635,1.2755865,1.3883963,1.1183176,0.82036877,1.085398,1.1918786,0.5636199,0.90556973,0.83804536,1.1859754,1.4182541,0.7395531
bread,1.3914815,0.80544055,0.6897783,1.3164135,1.2549453,0.85750556,0.50336546,1.2630085,1.4615617,1.4312487,0.5358752,1.4294658,1.4331279,1.1444852,1.4183903,0.9599731,1.1596265,0.33652586,0.70959175,1.4072305,0.0,1.1539038,1.2738827,1.1273592,0.55990773,0.6576204,0.84288955,1.0402755,1.0928057,0.6405812,1.3666954,1.3277751,0.7105942,0.8694375,1.4465849,0.96487796,0.42080176,1.4241018,0.3485136,1.1505088,1.061266,1.2405459,1.1001415,1.2495906,0.79653066,0.82024574,1.1067379,1.2198186,1.0390577,0.94361687,0.5510753,1.0292782,0.5764892,1.0232937,1.3490504,0.85077024,1.221261,1.1365509,1.2641008,1.0523653,1.2794592,0.5735756,0.9425242,1.352501,0.60479337,1.4930825,0.5748984,1.2133503,0.8402333,1.1299992,1.0679499,1.0226277,1.378736,0.88353753,1.1081177,0.4754107,0.9693073,0.6466849,1.0427499,0.19754386,1.3091475,1.174817,1.2862163,1.3499706,1.3769541,0.36765325,0.48079062,0.59931064,0.711872,1.1343884,0.7134465,0.517397,0.67011297,0.80619776,1.1903176,0.52061987,1.0282607,0.67485905,1.2228177,1.0481259,1.2643083,1.4385731,0.7363219,0.9896258,0.43721104,1.2855198,1.2937391,1.3193455,0.401946,0.6544356,0.70783544,0.8869516,0.7106812,1.3260505,0.5853027,1.2605593,1.4473422,1.4696457,0.6300043,0.7659042,1.1754235,1.3570974,0.72377163,0.796831,1.0117025,1.1734047,1.1906844,0.7611385,0.42564857,1.3395977
broom,0.92040133,1.2057978,1.2720711,1.0119946,1.1254425,1.1456925,1.2193393,0.9569567,0.7402153,0.8172339,1.1214273,0.7007059,1.0385312,0.90632826,0.9569452,1.1228513,1.142237,1.0295093,1.1103781,0.8488989,1.1539038,0.0,1.0127325,1.0070764,0.97748744,1.1574367,1.2149124,0.9341594,0.7951751,0.9958219,0.59507084,0.7802212,1.0061783,0.82227147,0.78856516,0.8046567,1.2078661,0.7300971,1.1278328,0.98762596,1.0366555,0.522855,0.6982075,1.0169643,1.1334901,1.1515346,1.0463854,1.0037687,1.1048553,1.0996336,1.1594741,1.13568,1.0706892,1.0495187,0.9561106,1.1542349,1.2526937,1.2344077,0.95921636,1.0319802,1.0939559,1.2619864,1.006435,1.0024177,0.9703902,1.0472331,1.0025662,0.5355108,0.6479185,1.1332083,1.033318,0.96355927,1.0771011,1.1212897,1.1016192,1.2928578,1.0079576,1.1844772,1.0631423,1.2439753,0.8199054,1.0582709,1.040932,0.99148446,1.0003911,1.1397921,0.9596218,1.0480225,1.0899277,1.0947186,0.97141427,1.1497416,0.83762074,1.0601008,0.9858742,1.1745245,1.1745607,1.1411533,0.747422,0.9944934,0.83183956,1.0131764,1.1947935,1.0702502,0.92862386,0.75460637,0.92192227,0.87337404,1.2633464,1.0161648,1.1038562,1.1373799,1.0368763,1.0112566,1.1920804,0.76589924,1.0272005,0.75786746,1.2779298,1.1335751,1.1372615,0.8343865,1.0425072,1.2349248,0.9747639,0.89105916,1.029111,0.65845776,1.220131,0.70504844
bucket,0.99155396,1.1347893,1.1550418,0.92840266,0.6028191,0.8427282,1.3294122,0.46209216,0.82199275,0.77704996,1.219902,0.85150135,0.732324,1.0007929,0.75894904,1.0160068,0.78543794,1.2570357,0.57738924,0.6999015,1.2738827,1.0127325,0.0,0.8866699,1.1124889,1.1374168,1.1974307,1.099131,0.88527143,1.182616,0.9368887,0.7998276,1.1140252,1.0730586,0.94615376,1.0409611,1.1864517,0.7639369,1.0877203,1.0306908,0.9769156,1.0200763,0.9473124,0.77060765,1.2792963,1.0195829,1.0306816,1.0720763,1.1627729,1.0774522,1.1309289,1.1946975,1.0889599,1.1102196,0.7716511,1.135236,0.88038754,0.8311033,1.0806483,0.98669744,0.86564404,1.1014415,1.1779016,0.9503894,1.0922341,0.9104872,1.0343634,0.89279795,1.018763,0.9554384,1.0312532,0.9125953,0.75170285,1.0220588,0.9161379,1.2487355,1.0334888,1.2068434,1.2716439,1.3007464,0.88306797,1.0619918,0.8473994,1.0660019,0.85311717,1.2131634,1.1958839,1.2344536,1.2491348,1.0762253,1.1349843,1.2931813,1.2188702,0.8751572,1.022061,1.1942482,0.65789574,1.1826893,0.86045,1.0171851,0.7189007,0.9812299,1.1588047,1.0458378,1.1624422,0.9830217,0.5819849,0.77886134,1.3335626,1.1140691,1.0981928,1.114421,0.9551507,0.56954455,1.1978843,0.8338974,0.8797238,0.72091985,1.0100131,1.2985415,1.0916865,0.59315145,1.1260502,0.7690065,0.675193,0.96406645,0.9673383,1.0794699,1.2103195,0.9483292
butterfly,0.80204064,0.9825776,1.1342752,1.0763515,1.051425,1.0436951,1.1563481,0.83474755,1.0447062,0.9577045,1.0699943,1.0277236,0.7638515,0.97199017,0.8336457,0.91839653,0.78175294,1.1079146,0.9876017,0.9291374,1.1273592,1.0070764,0.8866699,0.0,1.0948089,1.0582658,1.1430907,1.0418919,0.97383976,1.0007535,1.0529599,1.0031084,0.92655736,1.0476689,1.0927371,1.0396109,1.1174834,0.86432785,1.114107,0.94705206,0.9428652,1.0272435,0.9425906,0.9252741,1.0857363,1.0935776,1.012112,1.10634,1.0871919,0.922486,0.97265184,1.1271352,1.0275573,0.8113492,1.0448484,1.1572773,1.0255526,1.0466037,1.1056793,0.9227982,1.0456797,1.0428871,0.8597703,0.99911535,1.083931,1.1001991,1.0825508,0.9611502,1.0346421,1.0494293,1.1278511,0.9558953,1.0410478,0.96425104,0.9161468,1.141931,1.0156946,1.1264923,1.0685209,1.1989455,1.0903336,0.96322846,1.0500469,1.105466,0.8377625,1.0926261,1.1036289,1.0208747,1.0979974,0.876392,0.9320114,1.1265161,0.92753804,0.9371809,0.90132815,1.0449586,0.9407904,0.9602712,1.0054601,0.98455966,1.0790983,1.0757283,0.9580911,1.043603,1.1016477,1.0521115,1.012805,0.8971547,1.1423173,1.02856,1.0270809,1.0489322,1.0196031,0.9325045,1.0483812,0.92445654,1.0958005,1.0268425,0.9213784,1.117142,0.9972826,1.0523357,1.0914322,0.9955567,0.98202825,0.9795276,0.9514153,1.0082605,1.1679541,1.0879338
can,1.4225162,0.85507554,0.8431804,1.3337338,1.3257372,0.8512518,0.73793447,1.1683164,1.3264394,1.4106531,0.30594933,1.3612481,1.4344225,1.2948236,1.3267031,0.94341713,1.0424048,0.20138931,0.6654458,1.221827,0.55990773,0.97748744,1.1124889,1.0948089,0.0,0.6094019,1.0726012,1.1103039,0.98500806,0.44313222,1.1869426,1.2160708,1.0237606,0.93639725,1.3589025,1.0602714,0.4006679,1.4000057,0.2508965,1.2551512,1.1767539,0.8766186,0.8174382,1.1837381,0.7589309,1.0455112,1.1373714,1.2770762,1.082506,0.9438418,0.68380916,1.1223308,0.4713139,1.0852411,1.3669314,0.95292366,1.2584834,1.2957275,1.34554,1.2396669,1.308326,0.71470827,0.8951828,1.3739984,0.36827457,1.4731854,0.4151827,1.0514507,0.5141128,1.3915664,1.2089758,0.7948457,1.5265193,0.9562998,1.3655274,0.73559517,0.9465654,0.6138203,1.1676754,0.49467945,1.0735172,1.3756123,1.2726045,1.2943728,1.3598866,0.3340088,0.38422334,0.48500264,0.67393064,1.1965818,0.5798659,0.62323946,0.6039224,0.9741426,1.2559854,0.7641252,0.9783054,0.6314529,0.96034414,1.3519306,1.2165225,1.3824131,0.7159916,0.5920003,0.51001537,1.041348,1.0678879,1.2379918,0.5220228,0.78837335,0.67854226,1.2009305,0.58131486,1.2855507,0.6270702,1.1988292,1.3948925,1.4310197,0.7299368,0.815675,1.2215086,1.293505,0.6512099,0.91462547,0.84057724,1.1568881,1.17798,0.5608287,0.44906515,1.1548995
car,1.2058307,0.8981511,0.8118044,1.3698667,1.1633912,0.7817371,0.79656506,1.1827968,1.3153714,1.311781,0.5043589,1.3205874,1.3075472,1.0762357,1.2371665,0.294841,1.0510186,0.5179045,0.7284257,1.3043544,0.6576204,1.1574367,1.1374168,1.0582658,0.6094019,0.0,1.070027,0.97961974,1.0762495,0.67831177,1.2804842,1.1888037,0.9895817,1.1866987,1.2998077,1.2824658,0.5796691,1.3429031,0.5196883,1.0948848,1.0178471,1.0702438,1.0532106,1.1910352,1.0052831,1.0108688,1.0614722,1.1434495,1.1462922,0.80717087,0.6667386,1.1463546,0.7059481,0.8812949,1.3213066,0.96368045,1.0491676,1.110913,1.1943727,1.0846184,1.3226968,0.64538574,0.84591573,1.3251561,0.70557535,1.3965125,0.6310616,1.1695125,0.78470397,1.18243,1.168375,1.0346568,1.4553115,0.8002072,1.216491,0.6904361,0.99900526,0.81690025,1.1367292,0.64835864,1.1916099,1.2245342,1.2142421,1.3276813,1.320186,0.53061956,0.664956,0.64799833,0.77344954,1.0252914,0.69821304,0.7093977,0.7472673,0.89842373,1.1019213,0.79656816,0.9751952,0.6183051,1.0682813,1.1124959,1.1862803,1.3254066,0.68815506,0.8632305,0.7699384,1.214184,1.152072,1.2317803,0.58167124,0.7664838,0.87116575,1.1613978,0.79809135,1.1781267,0.75825614,1.1263138,1.331253,1.3406531,0.6792275,0.98135453,1.1152083,1.3728671,0.8728658,0.77853256,0.95720965,0.79545057,0.77170646,0.7483053,0.6418505,0.9989693
carrot,1.1272116,0.9339838,0.7299193,1.005759,0.8781888,1.0105795,0.7312056,1.3048664,1.2005857,1.2834758,1.0196314,1.2403271,1.1942469,1.2133098,1.3422301,1.134948,1.2598828,0.925601,1.1930958,1.231475,0.84288955,1.2149124,1.1974307,1.1430907,1.0726012,1.070027,0.0,1.1804157,1.3535478,1.0208192,1.0960997,1.2897509,0.9793747,0.89634806,1.1386656,0.91366774,0.6518407,1.3038099,0.99438256,1.1451529,1.1087271,1.1546152,1.2574065,1.2473186,0.50950885,0.87802714,1.0146326,0.85528183,0.6210992,0.91156924,0.98567545,0.489568,1.0695047,1.095011,1.0738305,0.51613224,0.7939121,0.8003055,0.8582906,1.2390532,0.8380887,0.76890695,1.1037195,1.0101508,1.0082027,1.0310205,1.0910792,1.1691258,1.2653338,0.8254002,1.0533288,1.1798298,0.9271445,0.97213924,0.9150926,0.5442222,1.1749918,0.54529184,0.61690646,0.6753081,1.1680444,1.141957,1.1181318,0.90727377,1.2274553,0.82543814,0.8002845,1.0298622,0.9058057,1.0269319,1.2994512,0.7621078,1.0853184,1.2752712,1.1698487,0.7358519,1.0404783,0.895648,1.274543,1.0762168,0.91032743,0.9906517,0.99173135,0.913332,1.0128363,1.1008004,1.2646481,1.1759946,0.6877667,0.8916265,0.9332905,0.86275494,1.0714171,1.0918976,0.69276357,1.3184013,1.0856946,1.3149266,0.9644884,0.5405416,0.60651636,0.91425025,1.1047057,0.8708777,1.4160231,1.2290366,1.1519083,1.068141,0.7219351,1.2260398
