,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,ear,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.373359,0.95294017,1.1186206,1.3360021,1.1456034,1.2883551,0.8689168,0.7950418,0.8582787,1.3180838,0.9439311,0.80431926,0.94490534,0.7574261,1.3091333,1.0539678,1.4132627,1.370663,1.0568681,1.2258135,0.939976,1.2482531,1.3752625,1.1214933,1.1709408,0.5139998,1.006019,1.053656,1.1589808,1.1183531,0.91443783,1.0528843,0.835218,1.1176499,1.3932333,0.77769244,1.458655,0.97191966,0.5634329,1.0106792,0.89564264,1.0007797,1.0319651,0.90807354,0.8557272,1.1501409,1.2600037,0.9574671,1.0241065,1.2127213,0.8098601,0.77650124,1.2482039,0.81006896,1.106428,0.8671916,0.82342964,1.2501695,0.7712611,0.64769745,0.8067341,0.7481023,0.95815563,0.69685555,1.2608345,0.6617194,1.1752416,0.8811271,0.8102868,0.93338007,0.84718937,1.3098117,1.2285095,1.1806316,1.3145452,0.9083706,0.7036283,0.72184587,0.76975274,0.9044738,1.3192041,1.3737609,1.104309,1.2509103,0.9553946,1.1491172,0.7574301,1.3195294,1.2574285,1.3054053,0.87416303,1.0555902,0.93882143,0.8731,0.7303939,0.8041637,0.93916315,1.395808,0.8737643,1.1174953,0.8219725,1.405539,0.9184257,1.3606567,0.93330294,1.2161576,0.9386467,0.7749989,0.7835963,1.3606042,1.2636411,1.2878997,0.85510504,1.1533973,1.2443846,0.98191935,0.7013014,1.1077738,1.4152746,0.6943078
apple,1.373359,0.0,1.0893899,0.5772179,0.30612087,0.63815653,0.8844146,1.3851384,1.1692122,1.3222778,0.59798515,1.3766649,1.4575338,0.753238,1.4478774,0.47808284,1.087817,0.17688835,0.6721456,1.2802782,0.5210325,1.1094078,0.93048257,0.7172822,0.86174506,0.87981445,1.2266579,1.1756731,0.9812106,0.7806058,0.9620402,1.1719416,1.0229354,1.3242888,0.97105545,0.21752197,1.4241817,0.24642038,0.9244401,1.2095671,1.0248923,1.2225056,1.3222915,1.0636675,1.2045133,1.2249773,0.89445865,0.5166589,0.9861932,1.015543,0.83638835,0.7753054,1.3221941,0.7477547,1.2588432,0.63947856,1.2153585,1.2864151,0.6057691,1.2601635,1.3243966,1.3726414,1.4539937,1.2855132,1.4553657,0.73449975,1.4086187,0.679597,1.2206304,1.3131027,1.2052077,0.87214684,0.33554548,0.80816686,0.79720426,0.21514344,1.3633089,1.2521064,1.4350709,1.3612449,1.3193673,0.4236619,0.3988608,1.0743327,0.3380847,0.9543844,0.976253,1.1077993,0.41344857,0.7861842,0.7313183,1.434932,0.85166997,1.2584261,1.2703702,1.4293494,1.1974124,1.2337692,0.32232714,1.3114581,1.0776535,1.352288,0.2925489,1.272318,0.4330637,1.2414695,0.7823056,1.163948,1.4454093,1.416812,0.5077878,0.6624812,0.5999845,1.2261163,0.7446142,0.58581066,1.2855332,1.1929365,1.0083054,0.3139372,1.2081312
arm,0.95294017,1.0893899,0.0,1.007096,1.0423214,1.1083903,1.038829,1.0414245,1.1429207,1.091089,1.1261059,1.012464,0.99582726,1.0247414,0.9869612,1.0395061,1.0380989,1.1066413,0.96126604,1.0450273,0.98176265,1.0449203,0.95203346,1.0687515,1.0760778,0.9882595,0.9561156,1.0433087,0.9038432,1.019473,1.0452042,0.99658686,0.92224836,1.1165646,0.9368338,1.1062503,1.0569049,1.1116252,1.0720699,0.934579,1.0489036,1.0053694,0.87981707,0.92753834,1.0932968,0.9873501,0.59660447,1.1202377,0.9414637,0.95952886,0.98078823,1.0709479,0.899364,1.0054488,0.8611823,1.0801145,1.0951524,0.5716366,1.0261258,1.0365361,1.0941949,0.9699202,1.0629376,1.0069193,1.035893,1.0825086,1.0535294,1.0109384,0.8404002,1.0753484,1.101853,1.0588201,0.9399357,0.9876477,0.97125566,1.0473739,1.0917752,1.0004748,1.0369918,1.0635424,0.9541584,1.0758874,1.0077623,0.9250624,1.1824983,0.9964335,0.92541385,1.0712662,1.0479693,1.0616736,1.1284223,1.1034247,0.9557754,0.9460576,1.0372689,1.0781574,0.89923114,1.0104102,1.0928367,1.1901519,0.91991025,1.034288,0.9843929,1.0861343,1.0844338,0.719257,1.1117494,0.9861954,1.03736,1.0438995,1.0784551,0.6388673,0.901823,0.8969182,0.90895677,1.0979939,0.98584926,1.0446842,1.1569347,1.118879,1.0248308
ball,1.1186206,0.5772179,1.007096,0.0,0.36119795,0.77113044,0.9737302,1.2753607,1.0409111,1.2425812,0.93480885,1.4056312,1.3623053,0.69604826,1.2902706,0.79011047,1.0410633,0.652791,0.7542827,1.2469547,0.53045714,0.91572267,0.87146187,1.042011,0.9311102,1.0265539,1.1109782,1.2085267,0.96976393,0.6063953,1.0840337,1.2200446,1.0311309,1.2335916,0.7881905,0.65154463,1.3863094,0.63169724,1.0934672,1.0892488,0.8172325,1.3222582,1.0871317,1.0912154,1.1363127,1.156552,0.8875864,0.7167203,0.91765237,0.85189307,0.8721638,0.6991496,1.1908336,0.8368318,0.997397,0.6362178,1.1782086,1.2002516,0.7799647,1.1845136,1.3437498,1.3039186,1.2944798,1.0916393,1.3353791,0.81176734,1.3743005,0.6525728,0.96561205,1.0624053,1.0970583,0.8228226,0.5171157,0.8669629,1.081309,0.79189205,1.3181765,0.9966851,1.3230491,1.3327389,1.1577604,0.7327615,0.7334557,0.94318926,0.65378916,1.0473949,0.87964386,1.0475245,0.75074995,0.9323563,0.8007965,1.4446039,0.891989,1.1862577,1.1457298,1.3326337,0.88272893,1.2161334,0.7742101,1.3090918,0.86236507,1.2187226,0.63948584,1.201941,0.71402323,1.001827,0.7786001,1.1077443,1.3317181,1.3405751,0.46143156,0.6958662,0.70018846,1.1449252,0.815473,0.54400647,1.140327,1.2282643,1.0754865,0.57209253,1.2582812
balloon,1.3360021,0.30612087,1.0423214,0.36119795,0.0,0.66449046,0.8157806,1.3520354,1.2344365,1.4000065,0.62668246,1.3233292,1.5227144,0.72019124,1.529572,0.57095486,1.0708663,0.31498593,0.52388185,1.1827245,0.58252007,0.94028735,0.6415742,0.5532046,0.8585578,0.94027585,1.2466774,1.0621659,0.9306582,0.6096388,0.912464,1.1621692,0.989731,1.4211371,0.8562081,0.33914995,1.4592137,0.27764308,0.98781747,1.2254089,0.9796883,1.1957229,1.1442907,1.1443733,1.2499657,1.2961092,0.8975373,0.49859834,0.78588337,1.0573788,0.7442168,0.72664976,1.3295403,0.8834949,1.1274263,0.5676476,1.2887523,1.3203411,0.7101614,1.2104044,1.4549766,1.3772653,1.5097948,1.1691769,1.529839,0.7217702,1.4426866,0.37968773,1.0200498,1.2701962,1.1617044,0.91623133,0.47106606,0.71919703,0.8963824,0.4445815,1.3897176,1.2422304,1.5361314,1.4130397,1.3250895,0.51150334,0.49276763,1.0530069,0.54297507,0.9155709,0.8186616,1.1315595,0.4388768,0.72612333,0.69674164,1.44653,0.7510976,1.2599616,1.1906197,1.5221105,1.1262031,1.3073181,0.44648188,1.3406788,0.81944233,1.304388,0.43913198,1.3480513,0.43151903,1.0645378,0.750525,1.246131,1.5132244,1.452055,0.39377743,0.68203425,0.68528813,1.1940439,0.66142595,0.5318699,1.1687553,1.2222393,0.92900765,0.45173234,1.2390516
banana,1.1456034,0.63815653,1.1083903,0.77113044,0.66449046,0.0,0.95980185,1.3336501,1.2024066,1.2999487,0.9151116,1.3300622,1.3106933,0.71984583,1.324153,0.6996815,1.0678318,0.62278485,0.77273524,1.1856877,0.6725389,0.9620756,0.9341309,0.9100044,0.94839346,0.9963856,1.1897924,1.1252184,0.812387,0.892318,0.8715816,1.0928607,0.84384894,1.2829536,0.8775275,0.63916856,1.3435845,0.6347369,0.914008,1.1295161,0.9727158,1.225147,1.2515676,1.0254838,1.1753894,1.2061062,0.997309,0.8074882,0.9770589,0.9540256,0.7713666,0.6720236,1.2026975,0.97375983,1.082009,0.82157975,1.1400912,1.2294402,0.9198741,1.100211,1.2108543,1.1123786,1.2911088,1.1752557,1.295349,0.7306509,1.3058127,0.75597525,1.0304985,1.1470234,1.0855254,0.8715368,0.8218849,0.76814896,1.0326352,0.80148697,1.1982111,1.1697569,1.3491945,1.2329814,1.2481633,0.752205,0.7253807,0.9250387,0.7509222,0.8533435,0.880597,1.0409281,0.70093524,0.8537184,0.8615594,1.2897861,0.8324082,1.1531737,0.9477135,1.3293618,1.0007012,1.1601086,0.65873176,1.2323312,0.9986747,1.1834428,0.7399112,1.1820385,0.5925336,1.0681009,0.74611723,1.159078,1.2987542,1.3633063,0.6957135,0.8536446,0.8317977,0.9975832,0.73730487,0.64932585,1.212943,1.1312412,0.8832706,0.7104381,1.2108746
basket,1.2883551,0.8844146,1.038829,0.9737302,0.8157806,0.95980185,0.0,1.2320929,1.148953,1.1535116,0.936621,0.85525334,1.2230958,0.8070363,1.215048,0.6118537,0.77289104,0.7468418,0.69351715,0.73345464,0.821092,1.0435131,0.5592707,0.60770667,0.85959685,1.1040581,1.2051429,0.6334407,0.8991422,0.7440132,0.86327136,0.97943646,0.91803586,1.2414677,0.67799014,0.8492762,0.9825705,0.62938035,0.80025023,1.0728968,0.79469377,1.0451168,0.87741685,1.3045423,1.2459637,1.2859101,1.1155714,1.0037347,0.85572934,1.0904046,0.6809466,0.93312305,1.2087716,1.1194731,1.0847485,1.0230597,1.276232,1.3057207,0.8963231,1.1295743,1.3136356,1.0647198,1.3612196,1.0366014,1.4398328,0.7026439,1.0986825,0.6894459,1.0780206,1.1736112,0.9512729,0.89508235,1.0862386,0.4766093,1.092516,0.86507714,1.1717341,1.1326556,1.3928595,1.3698697,1.0985754,0.9572476,0.8936051,0.75858355,1.0702116,0.8188065,0.8788981,1.0586517,0.87206477,0.25897205,0.6142849,1.1744065,0.6659583,1.0766273,1.0053903,1.3959519,1.0774382,1.2197281,0.78121483,1.1984878,0.9489118,1.1144125,0.9702092,1.0883758,0.62586987,0.9762968,0.8076653,1.2660927,1.3521812,1.1119858,0.58133376,0.97492516,1.0171338,1.0851933,0.6600367,0.6279807,0.9870222,1.1610444,0.85436195,0.95771056,1.1478463
bathtub,0.8689168,1.3851384,1.0414245,1.2753607,1.3520354,1.3336501,1.2320929,0.0,0.7187184,0.5879903,1.2002618,0.6383957,0.80514723,1.3587198,0.6733732,1.2645972,1.0151918,1.4222833,0.94626224,0.822772,1.4000525,1.0779072,1.0298475,1.0913298,0.8839801,1.249722,0.7855508,0.8513549,0.889799,1.1576201,1.1273581,0.8081231,0.84101933,0.682339,1.1931639,1.4073508,0.5466553,1.3580267,1.1635994,0.9535276,1.3875189,0.6737058,0.7293514,1.1130195,0.82633364,0.79946434,1.2929187,1.2050003,1.0672691,1.24066,1.1233436,1.293447,0.80074155,1.2587976,1.1935647,1.2649978,0.9775781,1.0020216,1.4197737,0.70267403,0.7547921,0.7035891,0.7625457,0.88191795,0.7289709,1.1914914,0.6228897,1.1566544,0.9874065,1.0838431,0.9641445,1.0222914,1.3430364,1.1587359,1.3281165,1.2213824,0.38837326,0.7743401,0.69512707,0.8039222,0.7923231,1.317426,1.4294074,1.1964436,1.2355517,1.2065138,0.8304975,1.050816,1.3382432,1.3293257,1.2778629,0.33428967,1.2468476,1.0562377,0.9532003,0.715855,1.1112047,0.9756922,1.4319559,0.42916107,0.7656211,0.6672194,1.4475373,0.72691655,1.4301375,1.1890408,1.1668736,0.94051147,0.6992111,0.515747,1.3399961,1.4779923,1.3638608,1.0647523,1.329966,1.423907,0.60604006,0.84910756,1.3066465,1.465899,0.6728554
bear,0.7950418,1.1692122,1.1429207,1.0409111,1.2344365,1.2024066,1.148953,0.7187184,0.0,0.64439017,0.9155736,0.90286434,0.68769085,1.0786251,0.58954895,1.2322847,1.1071831,1.2608321,1.3009217,1.1039344,1.2095416,1.0099093,1.3206515,1.1538575,1.011499,0.96171826,0.799216,1.0437907,1.2052455,1.2246721,1.1601291,1.0653989,1.2079976,0.72427946,1.1069565,1.1973764,0.9398209,1.2659737,1.0871003,0.918135,1.0426408,0.9622809,1.0444305,1.0248426,0.7613983,0.8537354,1.1317495,0.98703843,1.2143797,0.9557985,1.2707436,1.1069378,1.0569304,1.0850942,0.9656165,1.2527866,1.0256046,1.0002209,1.1107343,0.96266353,0.77330947,1.0107102,0.78380847,1.124839,0.697592,1.2162046,0.94387597,1.2229776,1.079046,0.8048241,0.9476367,0.7536411,1.1043057,1.148628,1.142081,1.0749884,0.85490525,0.6870875,0.71744704,0.73530275,0.96415186,1.1272898,1.2113148,0.9344586,1.0058299,1.1779217,1.2554113,0.9575638,1.0726166,1.2303721,1.1506739,0.80880153,1.244102,0.8716469,1.0520957,0.76819766,0.9173257,0.8636171,1.2045083,0.70001423,1.1359339,0.87301517,1.103516,0.7884457,1.2656269,1.0085704,1.2362087,0.9253637,0.7744256,0.93945086,1.1656871,1.2087706,1.1316198,1.064404,1.0146759,1.2019736,1.0242633,1.0144948,1.094884,1.09501,0.9634159
bed,0.8582787,1.3222778,1.091089,1.2425812,1.4000065,1.2999487,1.1535116,0.5879903,0.64439017,0.0,1.2654299,0.7006732,0.5630652,1.2961731,0.31160152,1.3426709,0.80864215,1.4028299,1.316834,0.77251804,1.398801,1.1548579,1.3608173,1.2834426,1.0393906,1.3448285,0.79936373,0.8256731,1.1561152,1.1802493,1.0401323,0.8877885,1.0948814,0.17123842,1.1752357,1.3827229,0.4428805,1.4306418,1.0953976,0.8692267,1.2108042,0.8635745,0.9823017,1.0478204,0.62891626,0.8287267,1.3386694,1.30162,1.1630874,1.1699301,1.4216464,1.3004608,0.9178759,1.2835763,1.2067606,1.2902763,0.88886285,1.0433006,1.3709879,1.0185428,0.62698746,0.8391506,0.5441004,1.0217938,0.57733595,1.424714,0.5539501,1.3784093,0.95065194,0.85289174,0.9995757,0.9949819,1.3493025,1.3821805,1.3470182,1.1410961,0.721265,0.5943345,0.45752257,0.81560284,0.683933,1.4263052,1.5100411,0.9028882,1.2424458,1.2450181,1.2610598,0.9797212,1.2925291,1.2527908,1.2244465,0.71143264,1.3328536,0.9524142,0.9503342,0.6159259,0.92944694,0.9584807,1.427638,0.70457417,1.125576,0.51722306,1.4041185,0.6135149,1.361974,1.046974,1.3880794,0.7123655,0.48000455,0.42200434,1.3509756,1.438434,1.3233874,1.0871623,1.4356091,1.2440989,0.79878557,0.89902914,1.1948311,1.4517025,0.65871835
