,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,0.99290144,0.97667116,1.0712522,0.9299886,0.8462757,0.9092925,1.1313444,1.1085317,1.1297485,1.0803144,1.0484548,0.99133337,0.87286264,1.0912982,1.0178187,1.081418,1.0416238,1.1740574,1.0788671,1.0835767,1.0092607,0.9667133,0.85555065,1.2556704,1.1897033,1.0997248,1.112458,1.1053683,0.86261225,0.9792825,1.0129918,1.030072,0.89986944,0.99447596,0.0,1.0055069,0.7365872,1.1774514,1.0782272,1.1012243,1.0089104,1.1979717,1.0245696,1.0819956,1.0338516,1.163676,0.99266744,0.79085165,0.9646273,0.9496214,1.0523194,1.0194672,1.1183218,1.1262091,1.3083582,0.99439985,1.0331653,1.0932262,1.0017719,0.83364403,1.0323011,0.9385191,0.99884117,1.1690226,1.2224472,1.059471,0.96996635,0.84127796,0.9665079,1.233812,1.0430723,1.1468726,0.9563638,0.8338083,1.0071136,0.7447289,0.910872,0.33152896,1.0313425,1.1450957,1.139343,1.039843,1.0586712,1.048691,1.0741972,0.9082385,0.9691571,0.99636084,1.1977723,1.1890224,1.2214575,1.1358144,1.1730658,0.8449682,1.0764718,0.97222257,0.90139824,0.97745055,1.0713007,1.1300187,1.07717,1.0265856,0.738932,0.96281993,1.1598823,0.919729,0.983118,1.0005713,1.2081127,1.056462,1.1521565,1.0438356,1.1512638,0.9692951,0.93875134,1.102474,0.90604377,1.2980729,0.9309195,1.0052983,1.1908989,0.98084474,0.9334929,0.98384887,1.0763874,1.0925183,1.0327991,1.2066275,0.9586479,0.93171334,0.99122244,0.88067096,1.2200156,1.1686473,1.0772885
couch,0.702712,1.2166528,1.442537,0.58234316,1.3480163,1.2852322,1.4637641,1.2028322,0.42395526,0.14078832,1.2333908,0.13617742,0.64738894,1.1939355,0.28857625,1.2301241,1.110967,1.4422607,1.3095906,0.95164144,1.5381522,1.2582378,0.7379359,1.3194802,1.3110127,1.3896928,0.9165702,0.63992965,1.0422276,1.3848977,0.52017814,0.55645955,0.48140836,0.9333192,1.0055069,0.0,0.8697386,1.4551675,0.4352647,1.474143,0.75822985,1.2329288,1.2215917,0.7318963,0.90221244,1.320128,1.1757022,1.404119,0.38815427,0.84159505,1.2971697,1.3261763,1.183511,1.3146756,1.4626561,1.09275,0.79869264,1.2602144,0.9716218,1.4231889,0.7600731,1.0144242,0.98909444,1.3877769,1.3096555,0.8825513,0.38260114,1.073121,0.44744968,1.4358544,0.49768698,1.2118292,1.0670354,1.1694411,1.009701,0.76192117,1.0201254,1.0351015,1.3696586,1.1846578,1.3226802,1.2168689,1.3966348,0.92914337,0.87050474,0.42378688,0.48164892,0.95703,1.4075083,1.398217,1.2139165,1.4033334,0.6993249,1.2763852,1.0029817,1.2141929,1.1222785,1.3998652,0.91735446,1.0969349,0.65328205,1.3340136,0.9597043,0.91495794,0.895877,0.4608087,1.1322095,0.71694446,1.3761127,0.7073235,0.9902943,0.75572985,1.4899211,0.6013163,1.2999828,1.2084057,1.1912501,1.4589949,1.0320227,1.3784667,1.1167054,0.3922068,0.4024151,1.4250354,1.3309047,1.3019813,0.95699286,1.2360735,1.3651516,0.8619368,0.78235817,0.91084737,1.1540768,1.4558914,0.70897347
cracker,0.68583405,1.1310757,1.1958342,0.8285768,1.2579254,1.2932503,1.1166846,1.2205964,0.9398222,1.0015404,1.1315628,0.78334296,0.72687596,1.1228683,0.8627554,1.301969,0.96404743,1.3923742,1.2496214,0.96420014,1.0035297,1.0532461,0.91807556,1.3335483,1.3076434,1.1465017,1.0848942,1.0794549,0.8129552,1.2871742,0.8614616,0.8260127,0.8626194,0.8904368,0.7365872,0.8697386,0.0,1.3801005,0.74743855,1.369195,0.8750551,1.2355747,1.1784352,1.0928321,1.0403614,1.1003286,1.0286957,1.0635394,0.995708,0.7538177,1.1210653,1.0386307,1.159036,1.2378881,1.4789195,0.8400363,0.80542976,1.128027,0.9051095,0.9831714,0.7688483,0.8259386,0.8577327,1.4133223,1.3057587,0.904057,0.83539164,0.7303547,0.81793964,1.3680675,0.7608935,1.3688879,0.56992483,0.7979459,0.8516965,0.641101,0.9274454,0.59594804,1.2819355,1.0661892,1.2294757,0.99016654,1.3387947,0.9318109,1.0012783,0.7688653,0.83334124,0.82839596,1.4013854,1.3170478,1.1445546,1.1096866,1.0475644,0.758778,1.0581461,0.93883127,0.9551648,1.2195067,0.93316215,1.1825479,0.9680791,1.0796983,0.6170616,0.99444085,0.99450064,0.8090466,1.0208306,0.9454181,1.3346058,1.0361475,1.1811401,0.76846445,1.3389204,0.9405518,0.9358396,1.2716614,0.7141851,1.4409285,0.87593853,1.3011302,1.260719,0.8178206,0.8145499,1.2060497,1.1886175,1.1601443,0.8894048,1.1937318,1.3072748,0.90902126,0.9983914,0.9173677,1.25348,1.3953979,1.0064104
crayon,1.3899183,0.90299976,0.35203016,1.3388355,0.5598085,0.80451703,0.4775498,0.67380697,1.4322783,1.3541255,0.5071471,1.5513518,1.293147,1.0328733,1.3578812,0.64694536,0.69586587,0.2548231,0.570296,1.1937026,0.57936,0.8224871,1.177494,0.5243234,0.60986537,0.34634328,1.228766,1.2205272,1.154824,0.4992321,1.3278748,1.4982858,1.4678671,1.0118524,1.1774514,1.4551675,1.3801005,0.0,1.5817938,0.32571876,1.4341699,0.9536228,1.0135638,1.3236976,1.2437351,0.8119906,0.93396086,0.72636974,1.3731087,1.289041,0.73040545,0.5611423,0.81782055,0.65049374,0.34428185,1.0404989,1.3078979,0.7644168,1.0292972,0.48633546,1.3514421,0.8823379,1.1544001,0.30253994,0.7426554,1.1691643,1.5159011,1.223391,1.4097457,0.3482476,1.4976666,0.84413475,1.2388949,1.0417066,1.161005,1.4303827,1.2329105,1.2343421,0.3529843,0.78260565,0.5817131,0.9303749,0.31320775,1.2489885,1.2115933,1.4325938,1.4112887,1.1895411,0.069633484,0.18375707,0.99257356,0.4571346,0.9639966,1.0333737,1.0373026,0.9905549,1.1376928,0.5807345,1.2337037,0.95634395,1.4391975,0.93671215,1.3118508,0.96957886,1.0446149,1.4674528,0.89466816,1.2582382,0.7188595,1.1475165,1.0943146,1.1549938,0.31490648,1.3301154,0.9255656,0.7535195,1.0610118,0.44080007,1.191556,0.37530708,1.0830203,1.5486742,1.5250661,0.534422,0.5885911,0.3785019,0.945039,0.55375695,0.39883208,1.2168227,1.218401,1.236118,0.8801913,0.31891108,1.3190274
crib,0.6589905,1.3650658,1.6030276,0.6847395,1.5089574,1.3266098,1.5338984,1.1277208,0.35599017,0.50975543,1.3623381,0.31584835,0.60897624,1.1521244,0.61268926,1.2656147,0.98787504,1.5404927,1.369554,0.69416964,1.5630325,1.218181,0.7468693,1.2567654,1.2768044,1.5456345,0.8688539,0.7358641,1.0009062,1.4375286,0.3387599,0.5503279,0.46088755,0.8809967,1.0782272,0.4352647,0.74743855,1.5817938,0.0,1.5413029,0.6863718,1.2114367,1.1990337,0.5083169,0.6659833,1.308592,1.2662429,1.5273492,0.55254126,0.79277456,1.4174721,1.4448789,1.1578387,1.3943318,1.4437621,1.0970042,0.53478825,1.306053,1.1386852,1.4879696,0.7443733,1.1348464,1.0030683,1.5411408,1.2758052,0.68551964,0.48559916,0.93070966,0.6264142,1.4368433,0.23970997,1.1033688,0.8659232,1.1639141,0.82324743,0.8258774,0.81589055,1.0636438,1.5109855,1.2387564,1.4614325,1.1950269,1.5434372,0.59669125,0.7959053,0.5322086,0.6176158,0.75436556,1.5122569,1.464603,1.1242754,1.5175288,1.03937,1.2104379,0.9742773,1.1933684,1.1100429,1.5110029,0.722347,0.92374736,0.39043814,1.234086,0.86609435,1.1370575,0.6896056,0.5453975,1.2323146,0.89233106,1.260232,0.68378633,0.79447424,0.66183114,1.6193445,0.58030236,1.252138,1.3792738,1.1907306,1.4532654,0.90490997,1.4783869,1.0017185,0.47308683,0.34771353,1.5529702,1.5120282,1.3702518,0.87118626,1.4009547,1.5131872,0.7757571,0.77161515,0.8618204,1.0391802,1.5726253,0.5688792
cup,1.3995187,0.86513305,0.4028889,1.4810848,0.44066352,0.63572276,0.41524088,0.70602065,1.4120281,1.4086587,0.71584785,1.5312374,1.2479267,0.95396733,1.4345348,0.69145274,0.79696274,0.111590564,0.2999419,1.0036453,0.54780245,0.8716699,1.0680621,0.32427204,0.5261905,0.65159494,1.1093957,1.1461304,1.0962559,0.37568808,1.3901186,1.4845777,1.3224566,1.1738422,1.1012243,1.474143,1.369195,0.32571876,1.5413029,0.0,1.3485136,0.8377036,0.94452804,1.2243226,1.1986024,0.7328365,0.9956025,0.52037686,1.3513309,1.2821438,0.9288098,0.78065395,0.87736577,0.8084333,0.37791574,1.0814686,1.1916971,0.88128126,1.1831896,0.58039796,1.3732282,1.0101566,1.2999556,0.29056168,0.73348874,1.331388,1.5565698,0.8688785,1.5476041,0.5172253,1.5291535,0.7273297,1.2228518,0.9546345,1.009339,1.4843552,1.1928601,1.1731968,0.3893612,0.7550801,0.74260175,0.99048364,0.23248637,1.1126499,1.1576886,1.4960971,1.5322121,1.1282282,0.44229776,0.5872271,0.89193416,0.58293617,0.9924718,0.97059035,1.110504,0.8407891,1.1093211,0.54129535,1.123375,0.88911337,1.3257872,0.9311242,1.2543685,1.1474588,1.3056213,1.485873,1.005989,1.3115044,0.74870217,1.249353,0.94177854,1.343437,0.40481997,1.2892711,0.7360441,0.6492175,0.96650916,0.4894917,1.1257962,0.47189397,0.9006547,1.5697994,1.4302037,0.20547926,0.73226684,0.5610461,1.2737838,0.5902128,0.3963176,1.047627,1.2090569,1.1677593,0.7333194,0.3841985,1.3093336
deer,0.5831525,1.2157502,1.3335646,0.96249086,1.1751679,1.0468795,1.3134065,1.2821327,0.8353632,0.8740665,1.3402674,0.6926375,1.0219312,0.7303052,0.89720815,1.1520997,1.2456455,1.3293062,1.2861338,1.0291588,1.2105466,1.0928335,0.95926756,1.333607,1.1669173,1.3049089,0.7092472,0.8565604,0.91857374,1.2545354,0.7925291,0.68089217,0.68213284,0.97140604,1.0089104,0.75822985,0.8750551,1.4341699,0.6863718,1.3485136,0.0,0.8399925,0.890087,0.8271984,0.92028356,1.1688629,1.0122813,1.2074901,0.8634862,0.8363831,1.2787793,1.1501245,0.99911547,1.3079724,1.3625462,0.7688677,0.90118635,1.1767888,1.1165884,1.33404,0.80715317,1.1167048,1.0380836,1.3680037,1.1161759,0.87249863,0.81572384,0.9387446,0.92544883,1.4057462,0.60501224,0.9277488,0.89410627,1.0013884,0.95254767,0.81235266,0.9217104,1.0103989,1.3225262,1.2050376,1.3523328,1.0532396,1.2995474,0.9122631,0.8510426,0.8914976,0.94108474,0.98685855,1.4093589,1.3286009,0.88653183,1.3234704,1.10371,0.9917727,0.89537334,1.040201,0.8952994,1.1540715,0.87997496,1.1081985,0.79814744,0.93882316,0.8620696,1.1295111,0.9367199,0.84020656,1.2108645,1.0236483,1.046168,0.9397833,1.049249,0.9531888,1.4291273,0.821584,1.1679709,1.3171723,1.0654105,1.337549,0.72198284,1.3267341,0.9406073,0.77343595,0.66055465,1.2952833,1.3285043,1.3191762,1.0467713,1.3326763,1.2159338,0.95381916,0.8457031,0.79687566,1.067749,1.4039067,0.7982124
dog,0.8080307,0.89476407,0.9407965,1.297511,0.89916694,0.91058004,0.7938318,0.9746048,1.2664819,1.1885097,0.9381805,1.2334267,1.4798362,0.4952249,1.2070826,0.8502809,1.0707324,0.7586322,1.0424136,1.0504738,0.8401519,0.9881091,1.2500023,0.8274546,0.7505938,0.95581263,0.2399658,0.99254364,1.059028,0.88740814,1.2017375,1.1414781,1.102135,1.1670442,1.1979717,1.2329288,1.2355747,0.9536228,1.2114367,0.8377036,0.8399925,0.0,0.5662718,1.0345047,1.156385,0.86136043,0.7037357,0.99322623,1.199302,1.1624477,1.0588619,0.80859494,0.83251524,0.97950155,0.8077883,0.6888835,1.2076263,1.0173329,0.86106014,1.0227281,1.1169969,1.0195445,1.2426808,0.7532197,0.47812128,1.2018459,1.2446276,1.0395558,1.1979336,0.85602254,1.1078424,0.95733607,1.1525526,1.1897231,1.0424154,1.0580912,0.95500994,1.0947311,1.0178305,1.0824012,0.9348446,1.0299658,0.923298,1.1200476,0.90040296,1.3033632,1.1914809,1.1924887,0.9614677,1.0587599,0.63881254,0.8755973,0.9677184,1.0010862,0.93334574,1.1453139,0.61939746,0.83156896,1.0599135,0.8892505,1.1290792,0.6941657,1.2371055,1.1169851,1.0363978,1.2631845,0.80859804,1.1131665,0.6040993,1.1274034,1.1793691,1.2871733,0.8286303,1.1402013,0.96518517,0.8328011,1.0185751,0.8283613,0.7634622,0.96183765,0.30855173,1.2354143,1.1978352,0.92438555,0.996704,0.9922216,1.2710285,0.9491687,0.89735085,1.1335875,1.1012236,0.97796774,0.73434556,0.86010104,1.1431237
doll,0.9523561,0.85035074,1.0062046,1.2197309,0.85503286,0.8808989,0.89712435,1.0478549,1.3223947,1.2716993,1.0697277,1.2554529,1.2244556,0.51956654,1.1232041,0.7306193,0.94304514,0.8716547,1.1380192,1.0617474,0.951053,0.97976285,1.1067246,1.0394487,0.7942745,0.9371955,0.8438178,1.0902834,1.0303538,1.0343429,1.2161542,1.091316,1.1539642,1.0974035,1.0245696,1.2215917,1.1784352,1.0135638,1.1990337,0.94452804,0.890087,0.5662718,0.0,1.1229568,1.1622553,0.9208124,0.88642335,0.98041064,1.2624402,1.051848,0.9415998,0.6919255,0.96931285,0.98993534,1.0469812,0.70523965,1.1282437,0.9681181,0.80933535,0.898108,1.012702,0.9479178,0.98931473,0.8911238,0.7663594,1.2796504,1.1014308,0.92853403,1.173274,1.0675386,1.2043262,1.0574994,1.1067789,1.0890976,0.99444956,0.78384936,0.9494908,0.95100796,1.0056821,1.1756235,0.99330187,0.90058625,0.98373264,1.157484,0.69948,1.0807517,1.170666,1.1269934,1.0400915,1.0039096,0.71495986,1.0485706,1.0580103,1.0006075,0.97601706,1.0952997,0.55799395,0.81440127,1.0964139,0.98185843,1.1449633,0.5327196,1.1562204,0.9986836,1.0072874,1.0875616,0.96016955,1.1303394,0.77026844,1.1753657,1.2782257,1.2512524,1.0121939,1.1878953,0.95571303,0.9678795,1.093988,1.0263275,0.7935339,0.96159697,0.55120015,1.0729842,1.1579077,0.96684575,0.96807003,1.0937912,0.99715,1.1218922,0.7546806,1.0283117,1.0237187,0.84906703,0.91323304,0.95855784,1.1477197
door,1.0503277,1.1647387,1.4027991,0.9733731,1.2929753,1.072938,1.2972649,1.004299,0.48388392,0.68078613,1.1433023,0.6617925,0.96925706,1.1212293,0.9460065,1.192018,1.1086628,1.1663944,1.2992777,0.761269,1.3895748,1.1318883,1.0795407,0.9254398,1.0689238,1.3453243,0.8548521,0.79493356,1.0770867,1.1085306,0.6351853,0.67064476,0.7919235,1.0320631,1.0819956,0.7318963,1.0928321,1.3236976,0.5083169,1.2243226,0.8271984,1.0345047,1.1229568,0.0,0.46070325,1.0925819,1.1768271,1.3556898,0.7367794,0.9809399,1.2450829,1.4028124,0.9714521,1.241029,1.0741884,1.2315133,0.93253493,1.1993067,1.2214719,1.4217023,0.8863389,1.2374525,1.1199007,1.2331197,1.1229577,0.73180795,0.77325493,1.0407144,0.8939159,1.1513886,0.41090143,0.75032043,1.1199267,1.248857,0.8057485,1.1202086,0.8306751,1.123281,1.3049695,1.141017,1.243062,1.1544417,1.2635436,0.3165493,1.0255013,0.91830295,0.85134363,0.8193819,1.2532059,1.2602351,1.1206671,1.3220191,1.0346648,1.2099465,0.9417368,1.1809816,1.1262611,1.2723665,0.80662477,0.83317983,0.22467041,1.1792186,1.079488,1.1645632,0.9655601,0.8234751,1.16607,0.93980455,0.99565643,0.49496514,0.7003628,1.0229675,1.3280152,0.7592493,1.0521679,1.0241519,1.1829234,1.1201154,0.9484655,1.2594662,0.83552694,0.7373136,0.7085011,1.3432316,1.2786869,1.2957782,1.1145798,1.1834154,1.3547292,0.9777198,0.8998664,0.86723757,0.64634025,1.2624493,0.38026255
drawer,1.0279156,1.1582733,1.3037002,0.9736801,1.2233224,0.9138059,1.2422372,0.8302226,0.5636331,0.8351038,1.0413733,0.7225502,0.7986184,1.0934813,0.91423017,1.1528811,0.8797467,1.2479631,1.0292025,0.5787675,1.254661,0.9642606,0.9519696,0.920629,1.1155927,1.3236365,1.090302,0.7195363,1.0656143,1.0819719,0.7833437,0.9227564,0.72059345,1.1009567,1.0338516,0.90221244,1.0403614,1.2437351,0.6659833,1.1986024,0.92028356,1.156385,1.1622553,0.46070325,0.0,1.0995433,1.1417192,1.1533142,0.95786357,1.0740999,1.1165427,1.3555329,0.99764216,1.149949,0.99266374,1.091771,1.0366322,1.1662929,1.2414495,1.2047806,1.119456,1.3328563,1.047852,1.3292551,1.1372532,0.68715096,1.021983,1.0001427,1.0101857,0.9636897,0.7652814,0.6881097,1.0812162,1.0371845,0.85782754,1.0448735,0.94789714,1.0884304,1.2988403,0.89928687,1.1687697,1.1081825,1.2629023,0.3934859,1.0105284,1.0365057,1.0665448,0.54320896,1.16553,1.1440476,1.0279794,1.2635899,0.9268836,1.0687926,1.0212346,0.9284941,1.0273833,1.190029,0.83071476,0.725225,0.5666074,1.0913281,0.9988357,1.0988011,0.83234817,1.0576081,1.0897025,1.117587,0.98377424,0.66042,0.45133644,1.0007821,1.2509928,0.85721517,0.92645746,1.0815697,1.0741982,0.9198308,0.9780296,1.2405984,1.0466334,0.9687344,0.7739229,1.1291881,1.2318916,1.3058705,1.0580289,1.0673548,1.2236749,0.7484013,1.0126394,0.9187404,0.862164,1.2047578,0.83409137
dress,1.1389302,0.73676354,0.84657854,1.2642398,0.99500394,0.8518579,0.746008,0.85286117,1.1709933,1.1842537,0.87274134,1.2787229,1.1703428,1.023137,1.2167325,0.99344915,1.0231333,0.75638175,0.7840409,0.9448536,0.7838943,0.9082526,1.1526693,0.61086756,0.9678625,0.65204406,1.0221996,0.93743944,1.0427091,0.8246506,1.2912114,1.0753956,1.2455907,1.0218219,1.163676,1.320128,1.1003286,0.8119906,1.308592,0.7328365,1.1688629,0.86136043,0.9208124,1.0925819,1.0995433,0.0,1.0342275,0.7361137,1.2065141,1.2582548,0.8978546,0.85737526,0.82248795,0.78684545,0.74456835,1.0453396,1.1685055,1.007162,0.98203677,0.9257939,1.2508187,1.0649737,1.1428072,0.83347756,0.8166361,1.0574852,1.3400384,1.0036727,1.2343957,0.7536811,1.295821,0.84480023,0.92848027,0.8805193,0.88996184,1.1804368,1.0508583,1.1490563,0.9302357,0.48080558,0.85250974,1.0017562,0.875368,1.0113966,1.0628654,1.3110402,1.1457808,0.9716067,0.8560554,0.9163077,0.94789004,0.70087457,0.871819,0.99041027,0.9852801,0.86058766,0.9133262,0.9355414,0.969811,0.93399525,1.1171985,0.9476179,1.203171,1.0710331,1.1361797,1.3064601,0.92860746,1.0221397,0.8445107,1.0484089,0.8630004,1.0043414,0.7614058,1.2622143,0.75812066,0.56165314,0.8153819,0.7078041,0.9324158,0.868579,0.9105756,1.3162508,1.2585114,0.72092247,0.83648396,0.93584555,1.0581093,0.41227078,0.9779982,1.0248995,1.2399611,1.174021,0.7335839,0.9174538,1.1495283
ear,1.0086452,0.6067078,0.87194026,1.0928535,0.9699818,1.0673357,0.98431706,1.2187189,1.2894366,1.2438387,0.96776944,1.2239187,1.2099135,0.8227916,1.1517711,1.1064678,1.1858089,0.98418766,1.1720297,1.2639564,0.76278085,0.9777739,1.191493,1.1435752,1.1183243,0.8533038,0.7550412,1.1958406,1.1100166,1.0339295,1.1409537,1.2062227,1.1319484,1.1285369,0.99266744,1.1757022,1.0286957,0.93396086,1.2662429,0.9956025,1.0122813,0.7037357,0.88642335,1.1768271,1.1417192,1.0342275,0.0,0.95537305,1.057916,0.89634097,0.6846811,0.8837472,1.0370569,0.7334466,1.1093805,0.87385386,1.1284469,0.49975443,0.7455913,0.7084048,0.83877033,0.68506503,0.7766507,0.751736,0.9887612,1.1879191,1.1636543,1.0481879,1.034981,1.0236157,1.139713,1.1902974,1.1036537,1.0297742,1.1576493,0.9160521,0.93646395,0.9480291,0.68258774,1.1228162,0.6934955,0.6290672,0.9765572,1.2337841,1.1301234,1.181884,1.0803279,1.2450581,0.96058714,0.94741243,0.7292382,0.86918914,1.1059433,0.9701322,1.075447,1.1110461,0.9149943,0.91625464,1.1771986,1.1622188,1.2338037,0.9131353,1.0770236,0.7179904,1.0396228,1.1589059,0.82957447,1.061054,0.97033465,1.0522786,1.3733447,1.3105223,0.6753199,1.1579274,0.9739849,0.9184474,1.1511474,1.1123295,0.8797968,0.8670745,0.9764112,1.1701789,1.2345407,0.99079573,0.5396165,0.69669104,1.0209626,1.0611807,0.99140364,1.2698884,1.116732,1.025931,1.1461909,0.62314665,1.1609907
egg,1.196154,0.88123703,0.32370257,1.3849623,0.3216132,0.4408915,0.4934011,0.9908788,1.3067842,1.402362,0.990637,1.4300666,1.1043425,0.90685093,1.354117,0.9457283,1.0570592,0.62243605,0.49012542,1.1260833,0.53750944,0.79898304,0.9902844,0.83232427,0.9153247,0.6767729,1.1701666,1.1376864,0.99053204,0.6275423,1.336968,1.3625118,1.2766763,1.1012266,0.79085165,1.404119,1.0635394,0.72636974,1.5273492,0.52037686,1.2074901,0.99322623,0.98041064,1.3556898,1.1533142,0.7361137,0.95537305,0.0,1.313347,1.1628987,0.92057115,0.9116152,1.0140462,1.0026194,0.81779283,0.88426983,1.164197,0.9720793,1.2533741,0.5296844,1.2522388,1.0713185,1.2508066,0.77539086,0.94112414,1.2580252,1.4497423,0.870931,1.3677497,0.9051432,1.480274,0.82262236,0.90400386,0.5393384,1.0891689,1.2721314,1.2038033,0.9238564,0.6028473,0.80015117,1.018054,0.97775716,0.47636843,1.2746714,1.112343,1.3544,1.4053288,1.1356553,0.8557271,0.8619555,0.88141453,0.5761571,1.1468673,0.7775487,1.1506348,0.6532253,0.9941949,0.4079929,1.1992699,1.1046653,1.3892779,0.78321946,0.9803956,1.1166438,1.268314,1.3914893,1.1383464,1.2700477,0.92922217,1.212001,0.99232113,1.0329322,0.70902795,1.2906208,0.7281666,0.83187413,0.69709516,0.72157586,1.1202142,0.6612557,1.1144849,1.4196842,1.3379124,0.28980565,0.86068416,0.85508776,1.1561863,0.83092374,0.4112203,0.9512191,1.1607803,1.0646285,1.0087659,0.7974454,1.3237901
elephant,0.84660685,1.1068879,1.3344331,0.6492454,1.3360225,1.2358457,1.3806161,1.2241392,0.5231679,0.3855902,1.2085968,0.4224447,0.7787518,1.1629874,0.5006815,1.2960525,1.3285365,1.3465247,1.3005888,1.0631903,1.3661556,1.2054523,0.9245871,1.2554405,1.2884239,1.3346498,0.8745529,0.87048775,1.038295,1.2794034,0.67277086,0.5697995,0.76157916,0.82291925,0.9646273,0.38815427,0.995708,1.3731087,0.55254126,1.3513309,0.8634862,1.199302,1.2624402,0.7367794,0.95786357,1.2065141,1.057916,1.313347,0.0,0.93174934,1.169067,1.3436564,1.0401512,1.1898717,1.3447652,1.212713,0.77237517,1.1438543,1.0225497,1.3603624,0.80412364,1.0674148,1.0216541,1.2442299,1.1748655,0.874094,0.51571274,1.1065693,0.5313716,1.3641405,0.5747857,1.1322645,1.0023519,1.2300497,1.0431985,0.86517876,0.9037615,1.0937775,1.2081409,1.0991111,1.2495594,1.0994895,1.2551942,0.9566035,0.8852984,0.5891243,0.51608646,1.0515504,1.3324559,1.3568301,1.1605692,1.3052526,0.8546033,1.2682993,0.94107944,1.2806377,1.1507514,1.3531173,0.9427696,1.1317608,0.70046926,1.3085456,1.0689886,0.9368616,0.9814982,0.5653057,1.1182826,0.69760436,1.2949929,0.725634,0.947978,0.91123927,1.2686551,0.444196,1.1398875,1.0395463,1.3301752,1.3890054,0.9701166,1.2607157,1.0745075,0.54828537,0.68371046,1.3740407,1.157285,1.1294119,1.0718261,1.1147265,1.4042659,1.113385,0.85100555,0.9589964,1.176273,1.2904526,0.70917
face,0.88060343,1.0334185,1.2177798,0.83265114,1.1080484,1.1832061,1.2718077,1.2640343,0.89269835,0.9693113,1.2489593,0.8658503,0.8508971,1.0264572,0.9271523,1.1995212,1.1329219,1.267057,1.2824223,1.1331525,1.1891006,1.150032,1.0199677,1.3123261,1.1220582,1.1929865,1.009574,1.122149,0.9730803,1.1361634,0.84653753,0.76635647,0.8952812,0.95182806,0.9496214,0.84159505,0.7538177,1.289041,0.79277456,1.2821438,0.8363831,1.1624477,1.051848,0.9809399,1.0740999,1.2582548,0.89634097,1.1628987,0.93174934,0.0,1.022277,1.1665444,1.183726,1.0958085,1.2780433,1.0050727,0.7856618,0.8138126,1.0767775,1.0991392,0.42045563,0.86604923,0.7996087,1.1578304,1.1936858,0.9394265,0.6027851,0.9867009,0.77470285,1.3219707,0.7375597,1.169644,0.8569882,1.012564,0.956473,0.876289,0.89466953,0.9386993,1.0443753,1.2648975,1.1442403,0.9290173,1.2190509,0.9786801,0.9436405,0.7518774,0.8044724,1.0429478,1.277152,1.1845796,1.0735817,1.2646408,1.2421315,1.024896,1.05776,1.068914,1.1084535,1.1335088,1.0106546,1.2323658,0.8700425,1.0992113,0.8069467,0.94579655,1.0213528,0.67306453,1.1570013,0.92306316,1.2145901,1.0048381,1.1375914,0.95721054,1.2235149,0.91358566,1.1423597,1.2461311,1.0317969,1.3426528,1.0391643,1.2175553,1.2106923,0.60735214,0.8594151,1.2465575,1.0467455,1.0799521,0.89911735,1.3724737,1.2000937,1.1016942,0.8493172,0.88102746,1.241724,1.1792513,0.8376852
