,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,motorcycle,mouth,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,penguin,pillow,plant,plate,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,sprinkler,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.655922,1.4315109,0.70831984,1.2739031,1.3822942,1.3220149,0.9919841,0.39522147,0.22694224,1.3654802,0.0,0.75124854,1.2447951,0.46127117,0.9479984,0.83781403,1.4223847,1.2686613,0.53774136,1.3327374,1.072423,1.2819359,1.1946037,0.9237099,0.8555536,0.43317944,1.3748373,0.68421614,0.9247347,0.24842817,0.8191109,1.5118551,0.5279072,1.4259379,0.9065643,1.0328438,0.64294827,0.88714105,0.8454778,1.2564394,1.2879306,0.81106615,1.0245912,1.450804,1.0503608,1.0230447,1.3643467,1.0746616,0.9554255,0.82989323,1.4051831,1.3117554,0.71292865,0.7524941,1.0454619,0.93719923,1.4511935,1.4048138,0.6394101,0.74261534,1.110048,0.62813413,0.9044312,0.6686957,1.3448412,0.8161575,0.9346712,1.2775856,1.4897438,1.4048312,1.5480632,1.4204264,0.67443526,0.7697399,0.80657756,0.9414255,1.4120153,1.4891889,1.0523489,1.1643612,1.2531571,1.2011509,0.98042506,1.0058635,0.62563133,1.3026508,1.1460084,0.81735754,0.8846335,0.7635685,0.8745742,1.0747367,1.2057701,1.1204017,0.3441894,1.5114663,1.3164712,1.0162417,1.2904264,1.4219434,0.7719737,0.8237422,0.35217905,1.3673931,1.5754619,1.3859941,0.7394741,1.3529739,0.955247,0.90164167,0.883639,0.7367475,1.4619325,0.5075965
bib,0.6887369,1.3907707,0.4545071,1.245073,1.3583293,1.3750165,1.2204419,0.7497917,0.59420645,1.4610976,0.75124854,0.0,1.2955813,0.7756789,1.1855645,0.9834436,1.4461733,1.4833727,0.9978837,1.1309576,1.0247788,1.4797468,1.367871,1.195394,0.90895844,1.023683,1.2454575,0.7158832,0.94423074,0.71075726,0.7859254,1.556624,0.85856473,1.4363368,0.9594803,0.92730683,0.9014571,1.0767735,0.35540688,0.9314168,1.1921256,0.8740899,0.5288104,1.1678064,1.0202085,0.956367,1.4133235,1.1159381,1.0146352,0.52065647,0.9483129,1.2091745,0.85375774,0.6946033,0.6401448,0.5921358,1.274168,1.388349,0.78440017,0.5910022,1.2842336,0.45513856,0.95107186,0.8130024,1.4361911,0.7670752,0.7402468,1.0001068,1.2910447,1.4239438,1.1691151,1.3494971,0.86462206,0.3736956,0.7731004,1.2079458,1.5495664,1.4690771,0.88655275,1.4346776,1.3441575,1.3845208,1.1439998,1.0977877,0.8439132,1.2848513,1.0287553,0.7923821,0.9489518,0.27698427,0.898137,0.8262366,1.3939619,1.277815,0.63538545,1.4673886,1.4006207,1.2264115,1.3100092,1.466318,0.5672455,0.97284514,0.66731787,1.4236916,1.2401495,1.1835285,0.7558552,1.4006817,1.1776397,1.1457512,0.97585726,1.1181816,1.2789528,0.8144045
bird,0.9283987,0.56560624,1.3423601,0.8060503,0.68446994,0.87208366,0.9812249,1.3575828,1.3285949,0.7737294,1.2447951,1.2955813,0.0,1.2156707,0.9099481,1.1388012,0.586952,0.83945435,1.3119038,0.9931584,1.0194087,0.74259686,0.9795013,0.9842939,0.90036166,1.1184812,0.8165784,1.1479269,1.1111336,1.238858,1.1095655,0.66719604,1.2665339,0.7109914,0.8125926,1.0145113,1.2257657,1.2258712,1.2321763,1.1208956,0.97947407,1.0746881,1.1155174,1.035431,0.702861,1.0045007,0.80025935,0.7314671,0.9595237,1.2430751,1.0972178,0.9467338,0.9615133,1.1736851,1.1666301,1.2773926,0.61201257,0.5929508,1.1321799,1.2372893,0.92000985,1.3278008,1.1954628,1.2293887,0.6516961,1.0805334,1.2458234,1.1350724,0.9062285,0.7736465,0.92234826,0.8287332,1.2510841,1.2459096,1.1881955,1.0810689,0.7519459,0.7531654,0.8191927,0.7839979,0.6122361,0.85655546,0.96996593,1.0362394,1.2765117,0.73950624,1.1035501,1.1561406,1.0367718,1.3692106,1.1199292,1.157438,0.78961647,0.9536585,1.2543081,0.6992601,0.67172515,1.0071509,0.93194115,0.20380229,1.2366152,0.9185473,1.3810632,0.6766219,0.91292477,1.0541029,1.2834083,0.75605667,0.8410352,1.0675404,0.9979458,0.84879977,0.90280324,1.1127386
blanket,0.6619708,1.3156266,0.74718297,1.10502,1.2029018,1.1262141,1.1118556,0.7121687,0.3680929,1.3064803,0.46127117,0.7756789,1.2156707,0.0,0.97572285,0.90778935,1.4105293,1.3220448,0.88563854,1.1880417,0.97736794,1.2773618,1.2294226,1.1102235,0.8189547,0.9013492,1.304007,0.8230409,0.9338947,0.42951262,0.79689634,1.3850074,0.69408417,1.4176404,0.8322529,1.1263437,1.0339708,1.0836296,0.8291162,1.0848646,1.1130898,0.9353728,1.0166101,1.3673127,1.0266095,0.9365248,1.4012933,1.0312204,0.88043225,0.8269752,1.2496853,0.93676955,0.91665584,0.8377819,0.9755726,0.9901238,1.3572274,1.3537372,0.6604666,0.69331104,1.316426,0.5788555,0.96307105,0.8514587,1.3580594,0.7708137,0.8532221,1.1196384,1.325016,1.3676101,1.4156129,1.2635021,0.92681587,0.83178824,0.712655,1.0506245,1.3664882,1.508469,0.9460993,1.0967988,1.3281384,1.1609963,1.0137764,1.1408612,0.95167404,1.163056,1.1861964,0.75005573,0.90781105,0.71917856,0.68364966,1.0312756,1.2679013,1.162992,0.3520112,1.389574,1.2994629,0.8993469,1.3490937,1.3598464,0.69876724,0.8499782,0.6098782,1.2651243,1.4165987,1.3098483,0.7786661,1.322917,0.747602,1.0012501,0.9577937,0.96028733,1.3518304,0.9347256
boat,1.1305304,0.8504161,1.2243936,1.0007344,0.9301296,0.8354782,0.94951504,1.1106274,0.9861947,0.88938147,0.9479984,1.1855645,0.9099481,0.97572285,0.0,0.6209864,0.9370038,0.8636061,0.99911,0.99934435,1.0344766,0.9548175,1.0318942,0.90469307,1.111562,1.0982939,0.9813671,1.1240927,1.0365224,1.0567682,1.0352409,0.8381143,0.9519648,0.9604548,1.1296886,0.92008835,1.2879994,1.0331497,1.0324777,1.1898388,0.9195044,1.0850567,1.0951018,1.1377165,0.8901422,1.0347884,0.9427363,0.79204005,0.953276,1.0812804,1.2146441,1.080529,0.9982202,0.7250474,1.1988169,1.1784968,0.9926553,0.9106734,0.9404051,1.1231064,1.0573487,1.1522985,1.0880439,1.052326,1.0451871,1.1232358,0.9389704,1.1199366,0.932039,1.0161053,1.1139455,0.85218865,1.171145,0.97819334,1.2040459,0.66729367,0.8467397,0.992525,1.0550835,0.7899958,1.0372747,0.7149151,1.0688097,0.90455335,1.2121595,1.0058857,1.1176069,0.9800454,0.9892636,1.1960824,1.0268852,1.2726479,0.98502856,0.9542417,0.924943,0.90988606,0.8919457,0.7896492,1.1004848,0.88005316,1.2258701,0.94281,0.98957294,0.9283802,1.0818721,1.0630158,0.97044945,0.9861103,0.71094173,0.9510604,0.8581608,1.1116593,1.0155344,0.9857879
book,1.0457985,1.1143408,1.1022313,1.0047821,1.1082863,1.028761,0.6344219,1.074613,0.8649772,1.1534207,0.83781403,0.9834436,1.1388012,0.90778935,0.6209864,0.0,1.1572798,1.0107808,0.5985956,1.0394888,1.090903,1.0576926,1.1102289,0.85920554,1.0388387,1.0073512,1.0031039,1.0336185,0.9503233,0.8914718,0.94672406,1.0891758,0.7242698,1.0774952,1.0078475,0.7788025,1.0857196,0.72257024,0.9848726,1.0906996,1.0433263,1.2325324,1.0051404,1.244115,1.0467628,0.8565372,1.0617696,0.64286864,1.0258925,0.91021824,1.2100556,1.1128044,1.0139279,0.3950938,1.070331,0.9153502,1.1490188,1.0639579,0.8522928,1.0764332,1.1271679,1.0339462,1.1015081,0.9352239,1.1022537,0.9695068,0.97128946,1.1544248,1.2713314,1.1288319,1.2968972,1.0685525,0.9250382,0.79533947,1.1255969,0.48235184,0.9606477,1.0837098,0.97568065,0.82864016,1.0808133,0.8090402,0.81263936,1.0291364,1.0871466,1.137944,1.2202181,1.0051411,0.9303452,1.1661259,0.96380144,1.1800945,1.1363754,1.0228574,0.9125699,1.2086575,1.0268161,0.85285944,1.1549273,1.2001314,1.0726755,0.9993889,0.6716125,1.0249243,1.2321241,1.2281312,0.9650456,1.1133194,0.49809462,0.5955529,1.0306802,1.0684865,1.2574179,1.0127311
bottle,1.4638127,0.2817968,1.4720268,0.9098254,0.7130054,0.7836907,0.79311514,1.3795183,1.4392761,0.20570064,1.4223847,1.4461733,0.586952,1.4105293,0.9370038,1.1572798,0.0,0.44121343,1.2857637,1.0401784,1.0915707,0.5048782,0.6324078,0.84641355,1.170926,1.1585256,0.6621818,1.2608869,1.2012943,1.426564,1.3053582,0.20761299,1.433701,0.15897453,1.132033,1.1093657,0.9937076,1.1537697,1.3002143,1.1715544,0.9724853,1.0372516,1.2700453,0.7606404,1.0857363,1.0891106,0.525826,1.108405,1.1064985,1.4614283,0.8662719,0.90481436,1.1773429,1.305064,1.2161499,1.4425539,0.53435904,0.46983492,1.3695667,1.3248179,0.7074021,1.5607877,1.1067817,1.245597,0.50327975,1.4920554,1.1880183,1.0769949,0.52162594,0.36259067,0.5626476,0.77356535,1.2367492,1.3220577,1.3276964,0.9441638,0.48898703,0.41083676,1.1892779,0.727821,0.42839563,0.62800246,0.91453826,0.9549122,1.1928535,0.6750213,0.9964825,1.3111417,1.1982592,1.4579884,1.3440161,1.0753435,0.65560246,0.7099005,1.3954427,0.17548978,0.6223887,1.1082141,0.7876849,0.39046276,1.3846568,1.0824134,1.4698272,0.49124765,0.6635192,0.6818822,1.3218851,0.42111957,0.94183195,1.040198,1.0144213,0.90373653,0.38544846,1.2042019
bowl,1.458528,0.4451977,1.4643196,0.62472486,0.57242614,0.6958312,0.5874576,1.2977662,1.4268568,0.4675758,1.2686613,1.4833727,0.83945435,1.3220448,0.8636061,1.0107808,0.44121343,0.0,0.9609813,0.89783615,1.0617356,0.34935892,0.5393951,0.670915,1.172262,0.9383543,0.59245855,1.3194532,1.1671003,1.3430159,1.315271,0.48705178,1.227652,0.3332672,1.1104125,1.0824773,1.0612316,0.82698977,1.4001136,1.2140952,1.0197446,1.189673,1.3215554,0.8565695,0.9912689,0.95266217,0.5918525,1.0011132,1.2019031,1.4552212,1.0425999,0.88143396,1.1977854,1.3092533,1.3371096,1.3892137,0.8118596,0.67808676,1.2711985,1.3912183,0.6531913,1.5071828,1.0810521,1.1793727,0.4990459,1.2428992,1.2397481,1.1213447,0.723013,0.4573351,0.80787385,0.8005284,1.0273908,1.3059092,1.3240037,0.6265047,0.5602478,0.5478086,1.096196,0.5740624,0.62213993,0.45142502,0.70195985,0.86444557,1.1562699,0.5695922,1.0327951,1.2611389,1.1705976,1.5345657,1.2131699,1.0815878,0.6994213,0.45382345,1.4649694,0.5038226,0.560408,0.89445186,0.72166467,0.67443496,1.4484427,1.1491345,1.2326759,0.5512329,0.7796175,0.7794343,1.3896139,0.45311403,0.8616159,0.6892786,1.164158,1.0102084,0.692711,1.2559688
box,0.9339705,1.297934,1.0001748,1.1004878,1.1986976,1.1133786,0.6323557,0.62397313,0.73510605,1.2290344,0.53774136,0.9978837,1.3119038,0.88563854,0.99911,0.5985956,1.2857637,0.9609813,0.0,1.0913055,1.0887263,0.9920367,0.85207886,0.7561436,0.9350661,0.5880449,1.1292453,0.7982079,0.94675183,0.64479035,0.97928,1.3126941,0.33540034,1.1582612,0.95156205,0.8993936,0.66018057,0.49010152,1.0580633,1.1245611,1.1998159,1.1303384,1.1291275,1.3145698,1.1239389,0.869603,1.1436868,0.95071733,1.2012587,0.86183167,1.257214,1.2329543,1.0035198,0.77056205,1.0681309,1.014413,1.2736666,1.2235001,0.8848109,0.9450742,0.88639265,0.9113278,0.8789011,0.7872782,1.0906839,0.87125635,0.9605668,1.2087758,1.3792409,1.1354883,1.3680422,1.2635505,0.5465759,0.90184355,0.94836366,0.6975726,1.140508,1.229356,1.0956887,0.9641203,1.189742,1.0192057,0.7310239,0.90947217,0.6958653,1.2392348,1.1120782,0.92168444,0.9384383,1.0344766,0.8876148,1.0149771,1.1185814,0.96216935,0.8580727,1.3152773,1.1080596,0.90189874,1.0305454,1.3421017,0.9161483,1.0986533,0.4972031,1.1334336,1.3930587,1.2420626,0.8094405,1.079932,0.8493335,0.6318377,1.1416788,0.8732821,1.2978234,0.890206
bread,1.1826463,0.9422905,1.0228379,0.8900372,0.730973,0.7118296,1.0944263,1.2508132,1.3562841,0.95796865,1.3327374,1.1309576,0.9931584,1.1880417,0.99934435,1.0394888,1.0401784,0.89783615,1.0913055,0.0,1.0672709,0.8844319,0.81544065,0.9522425,1.1852087,1.2216966,1.0341345,1.2281691,1.093766,1.2675754,1.0748338,0.8226574,1.1275775,1.0178393,1.1106397,0.9193238,1.2860786,0.94622207,1.1215738,0.75950986,0.54010546,1.1794509,1.006211,0.7097575,0.8641047,1.082894,0.9246985,0.9674141,1.0893904,1.0860103,0.7880563,0.7358748,1.2190721,1.0021263,0.9900641,0.9226968,0.8848282,0.8741356,1.294644,1.1665395,0.90756416,1.0826011,1.0375981,1.2174075,1.0779208,0.850644,1.1065892,0.8050493,0.69280154,0.8249923,0.66882586,0.57361096,1.1218209,1.1459742,1.0773346,0.9763994,0.77733624,0.86436456,0.93448335,0.92910093,1.098118,1.0035284,1.0399749,0.97741616,1.2466117,0.8537548,0.81300354,0.9523221,1.1785923,1.100843,0.8511238,0.9051089,0.9375223,1.072116,1.3664742,0.82353246,0.9524084,0.88253886,0.8371234,0.9113882,1.122158,1.2147808,1.2577274,0.92220527,0.6037512,0.7384917,1.1142849,0.84851074,1.0429666,1.0293031,1.228127,1.3084757,0.82706296,1.2949734
broom,1.0599614,1.1295398,0.9386444,1.025503,1.0450524,1.0210721,0.98735315,1.0271887,1.0953574,1.0249463,1.072423,1.0247788,1.0194087,0.97736794,1.0344766,1.090903,1.0915707,1.0617356,1.0887263,1.0672709,0.0,1.0114022,1.0444309,0.9416982,1.0568881,1.0235966,0.95829356,1.1038325,0.7660171,1.0840553,1.0084269,0.9708341,0.9983388,1.0727454,1.0814743,1.1012322,1.050221,0.9347818,1.1511207,1.093154,1.1147019,1.1072963,1.0965619,0.89021087,0.8111182,1.0973978,0.77309144,1.084864,0.9940894,0.96785486,1.0919197,1.0830162,1.1086649,1.1033967,1.158219,0.9689677,1.1939552,0.9641753,0.81826246,1.1201156,1.098433,0.8935389,0.7647233,1.0087839,0.99631315,0.99220616,0.85480255,1.0067054,1.1021053,0.95668566,1.0880159,1.0901835,1.1021587,1.0504742,1.0265454,1.1073059,0.85632116,0.8556463,1.023875,0.9034862,1.0727861,1.0379062,1.0546588,0.6906773,1.0831649,0.9780111,0.9395929,1.0170571,0.760377,0.99209136,0.9516135,0.86734873,0.85957867,1.0229131,1.0935117,1.0709392,1.1007843,0.92438245,0.9234616,0.9309982,0.9886829,1.0162233,1.133885,1.0348598,1.1140494,1.0636976,0.8046344,0.9815119,1.0565184,1.0543631,1.0746837,1.0554653,1.0726318,1.1368626
bucket,1.4326557,0.6931559,1.3802447,0.7537107,0.59514976,0.75154793,0.56572807,1.367699,1.4955245,0.6834562,1.2819359,1.4797468,0.74259686,1.2773618,0.9548175,1.0576926,0.5048782,0.34935892,0.9920367,0.8844319,1.0114022,0.0,0.3896122,0.83126867,1.2026596,0.84443426,0.7260206,1.3505658,1.1809835,1.3363367,1.3520643,0.5619305,1.2346474,0.33398688,1.0831726,0.8923085,1.044921,0.8922817,1.3402346,1.1519413,0.9147102,1.2102201,1.2866371,0.8629694,1.0881909,1.0266277,0.62409544,1.0163577,1.1825659,1.4422705,1.0210726,0.7470457,1.2912834,1.306777,1.3153751,1.3861825,0.7502755,0.58634496,1.3498523,1.3098488,0.45159686,1.4396843,1.0972953,1.1373411,0.5215903,1.2447393,1.1793777,1.1292157,0.91019934,0.36476862,0.8281148,0.83184236,1.0124539,1.3873352,1.2375698,0.8262119,0.585971,0.59269226,1.0055534,0.56987333,0.5144981,0.7396425,0.5681756,0.9187753,1.0877516,0.6976809,0.8937291,1.1006845,1.1683629,1.4148043,1.1131771,0.97368795,0.53029436,0.61688125,1.4577224,0.6469842,0.55192065,0.8668412,0.6228333,0.5340593,1.304084,1.0640929,1.3469772,0.57016706,0.8137702,0.8814705,1.3416687,0.35757136,0.7941971,0.85942864,1.2120967,0.8838345,0.8724684,1.3007816
can,1.3669298,0.843853,1.1831468,0.9051461,0.7950738,0.7048906,0.75279266,1.2114416,1.350106,0.61173797,1.1946037,1.367871,0.9795013,1.2294226,1.0318942,1.1102289,0.6324078,0.5393951,0.85207886,0.81544065,1.0444309,0.3896122,0.0,0.7756525,1.1447968,0.8324185,0.925215,1.3517368,1.1539475,1.2026658,1.1166589,0.6154973,1.0792803,0.5661107,1.0614419,0.90612066,1.0347794,0.75958145,1.2864714,0.9701045,0.8029469,1.2365804,1.3577037,0.73586214,1.0018774,1.1160799,0.75352156,1.2143629,1.3381368,1.3602918,0.95361733,0.65455973,1.3852476,1.3329046,1.2235008,1.2325884,0.83470464,0.8158611,1.4778712,1.1608946,0.5242741,1.1813402,1.0658412,1.2755313,0.7923385,1.0679444,1.1104727,0.99162215,0.80917335,0.41888976,0.76349765,0.7944999,0.8779741,1.3033568,1.0232234,0.7902286,0.6564361,0.68107253,1.0849687,0.6096529,0.8807902,0.80901027,0.7408664,0.85509294,1.0952631,0.77304244,0.9029954,0.8938545,1.2703341,1.1958599,0.87758917,0.6582767,0.6613111,0.73257107,1.3675566,0.5814721,0.71804243,0.8227216,0.6812634,0.7548686,1.1568887,1.3237736,1.2789986,0.7542689,0.6956895,0.76552683,1.2817895,0.4312966,1.0301893,0.9544106,1.3616724,0.9838135,0.69828653,1.359339
car,1.2474766,0.9356348,1.2223194,1.0663999,1.0026126,0.857441,0.75262034,0.95273477,1.1313415,0.79764515,0.9237099,1.195394,0.9842939,1.1102235,0.90469307,0.85920554,0.84641355,0.670915,0.7561436,0.9522425,0.9416982,0.83126867,0.7756525,0.0,1.0724643,0.82487893,0.90936005,1.1890469,0.9161054,1.0716273,1.2747461,0.85380894,0.98252547,0.8233083,1.0209359,1.0281413,0.91660535,0.74483347,1.2420542,1.2254889,1.1189781,1.1380097,1.1195157,1.1247815,0.8215064,0.999521,0.70440567,0.9207591,1.2644962,1.0741466,1.1029482,1.0271504,0.9812708,1.0454537,1.0974054,1.2459201,0.9385009,0.7707913,1.1383294,1.1105587,0.7704782,1.1828517,0.952345,1.188344,0.82210135,1.1631261,1.1596017,1.1441803,1.0670238,0.75360775,1.0766048,1.1037619,0.9771584,1.1812375,1.0546296,0.6765442,0.8277863,0.8730682,1.01393,0.7779315,0.9342239,0.82769775,0.8665947,0.64936316,1.0272256,0.9356758,1.0060683,1.0867518,1.0316293,1.1877298,1.0947793,0.8565906,0.9642332,0.67543304,1.1598922,0.84994495,0.88961214,0.8877342,0.89039457,0.88573074,1.139101,1.1807133,1.0303284,0.9023502,1.0744941,0.9687951,0.99452585,0.77712345,0.98800963,0.8273902,1.0617989,0.93527794,0.9135903,0.9399514
cat,0.54751635,1.133537,0.8900577,1.0192672,1.194854,1.1833628,1.151277,0.77449936,0.7736066,1.1618906,0.8555536,0.90895844,0.90036166,0.8189547,1.111562,1.0388387,1.170926,1.172262,0.9350661,1.1852087,1.0568881,1.2026596,1.1447968,1.0724643,0.0,0.9242226,1.1388185,0.8057974,0.92964834,0.7836569,0.94500905,1.2937225,0.9152052,1.2070456,0.09445399,1.0056398,0.92772585,1.115903,0.93723655,1.1139455,1.2155005,0.7505319,0.90930086,1.28171,0.8019185,1.0437124,1.1522758,0.72645956,1.0436622,0.89833903,1.0937374,1.1165724,0.8606521,1.0160341,0.8940094,1.0209149,0.99412197,1.081789,0.9315227,0.8623003,1.0877991,0.8499154,0.92483133,0.95971954,1.0684009,0.9131925,0.9684747,1.1208217,1.2480844,1.2629662,1.3020922,1.2234259,0.9783716,0.9169508,0.853804,1.0991671,1.2471503,1.230684,0.79752445,1.1178176,1.0878301,1.1384203,1.0941273,1.0480253,0.8436066,1.1108608,1.0760336,1.0317665,0.90985703,0.8521376,0.92331564,1.0099101,1.209423,1.0234725,0.84021777,1.1672547,1.1778651,1.044049,1.0822378,1.1384214,0.80784404,1.0518249,0.82372975,1.144485,1.2357792,1.2679408,0.8751266,1.2379584,1.0346961,1.049762,1.017314,0.76746404,1.2072138,0.9177204
chair,0.858163,1.2508267,0.8628751,1.160393,1.1847649,1.2360659,0.7188378,0.5702502,0.71959484,1.15523,0.43317944,1.023683,1.1184812,0.9013492,1.0982939,1.0073512,1.1585256,0.9383543,0.5880449,1.2216966,1.0235966,0.84443426,0.8324185,0.82487893,0.9242226,0.0,1.1380317,0.85667074,1.0100948,0.54685456,1.057559,1.2868788,0.74714154,1.0621902,0.8962014,0.94004166,0.6123669,0.8296152,1.0380304,1.3063663,1.3049946,0.8345954,1.1605623,1.2294884,1.0779588,1.0447066,0.98277426,1.1610389,1.1442292,1.0504518,1.3343953,1.1624223,0.91294515,1.0981717,1.2066178,1.1203017,1.2391777,1.0976237,0.9062643,0.9219237,0.7466613,0.8830822,0.90630233,0.6470851,0.91006136,1.0303777,1.074415,1.3747842,1.3830154,0.9799115,1.3508377,1.3338623,0.68265975,0.97000694,0.8977215,0.8857165,1.1161445,1.0958197,1.0327846,0.91434246,0.85757565,1.0766138,0.7316915,0.9109732,0.605559,1.0824974,0.942723,1.0095098,0.9445868,0.9466276,1.0615826,0.92449385,0.9132048,0.85188186,0.7933519,1.2551012,1.04718,1.1069801,0.8582752,1.1401796,0.8909395,0.9418222,0.6150656,1.1874231,1.3626795,1.3305162,0.9502684,0.95853037,1.0806491,0.8175614,1.0585479,0.5796731,1.282378,0.6837319
clock,1.2890785,0.57480884,1.3395425,0.5673533,0.73732764,0.8447656,0.6725892,1.2666606,1.3518126,0.8114132,1.3748373,1.2454575,0.8165784,1.304007,0.9813671,1.0031039,0.6621818,0.59245855,1.1292453,1.0341345,0.95829356,0.7260206,0.925215,0.90936005,1.1388185,1.1380317,0.0,1.1922619,1.0815756,1.307596,1.2031653,0.71621406,1.2149603,0.56381,1.1172338,1.0314996,1.0510124,0.8821419,1.2127973,1.1370955,1.1125804,1.1881406,1.1287683,1.0088947,0.9922342,0.67290926,0.6421977,0.8448122,1.0822353,1.0929624,1.0052569,1.0737299,1.068127,1.2463746,1.2040654,1.2599533,0.82351226,0.7855483,1.1141765,1.2514699,0.8141366,1.4550666,1.0712556,1.1350743,0.39321232,1.2862364,1.1000165,1.1227094,0.83295643,0.7146976,0.885583,0.93630064,1.1429343,1.1155978,1.3628712,0.86341417,0.7178488,0.623447,0.95375085,0.6727694,0.70449525,0.51316696,0.79341006,1.0174073,1.1813993,0.67445916,1.1453393,1.3454077,1.0328971,1.3147318,1.3015611,1.311502,0.907166,0.5945157,1.266084,0.76880157,0.5601333,1.0925214,0.8144633,0.74242586,1.2283967,1.0715848,1.1976497,0.502036,0.8140452,0.9985157,1.2019849,0.7059433,0.8522501,0.75122994,1.0893747,1.0206358,0.903327,1.1859217
closet,0.56509525,1.2402996,0.7903428,1.2379788,1.3247843,1.3539379,1.0857475,0.6036255,0.61901474,1.2443218,0.68421614,0.7158832,1.1479269,0.8230409,1.1240927,1.0336185,1.2608869,1.3194532,0.7982079,1.2281691,1.1038325,1.3505658,1.3517368,1.1890469,0.8057974,0.85667074,1.1922619,0.0,1.020894,0.56147575,0.7771812,1.4242876,0.6693979,1.2921735,0.9147595,1.0679082,0.59117,1.0347593,0.76916796,1.1074809,1.2766235,0.79832006,0.8640431,1.3574598,1.2077603,0.999904,1.3249526,1.0426354,0.8374959,0.80067545,1.1629895,1.3496113,0.7678182,0.9056765,0.82986724,0.92607445,1.1755958,1.2226384,0.71370757,0.66192853,1.2636808,0.7685926,0.9704211,0.6639719,1.2451458,0.8956815,0.8769751,1.1485789,1.2963188,1.4002587,1.3623991,1.3377612,0.73429066,0.74855655,0.87618273,1.1801175,1.4299076,1.3784683,1.111064,1.3027009,1.1550784,1.2774929,1.1377355,1.1266212,0.5420736,1.2515458,1.1298386,0.9554165,0.9174408,0.75647056,1.1639371,1.1077298,1.2876624,1.1239425,0.55471915,1.3720295,1.2592597,1.2218921,1.2757757,1.3657484,0.66536844,0.8966334,0.652421,1.3035407,1.3985864,1.2906843,0.83029914,1.3684351,1.1187874,1.000298,0.7879777,0.77869797,1.3163246,0.6516658
comb,0.94294524,1.1734903,0.9549566,1.0439943,1.1439421,1.1233486,1.0461384,0.9188452,0.89670306,1.1580253,0.9247347,0.94423074,1.1111336,0.9338947,1.0365224,0.9503233,1.2012943,1.1671003,0.94675183,1.093766,0.7660171,1.1809835,1.1539475,0.9161054,0.92964834,1.0100948,1.0815756,1.020894,0.0,0.9562977,0.897492,1.1437383,0.9555358,1.1943133,1.0149825,1.1109028,0.9557788,0.8805356,0.9979341,1.0339833,1.164674,1.0404419,1.0023581,1.0995613,0.8998906,0.93370754,0.6447485,0.9971045,1.075575,0.91078377,1.1520724,1.1267738,1.0425797,0.973009,1.035776,0.8876349,1.1721661,1.086285,0.8891126,1.0426198,1.2108986,0.8350697,0.63435894,0.90355116,1.0764081,0.85714245,0.94032735,1.0354772,1.1863079,1.1010456,1.1679256,1.1338046,0.93531334,1.0109838,1.0045898,1.0518026,0.979357,1.0715313,0.9637511,1.0322963,1.1709626,1.0046561,1.0739758,0.9466481,0.9243871,1.0979911,0.9466317,1.0451247,0.24361634,0.972922,0.8863475,1.008212,1.0549737,1.0690845,0.9748559,1.1888044,1.1972406,0.99690515,1.0393783,1.0980643,0.975238,1.0507072,0.8505386,1.1629531,1.2318048,1.1453059,0.63546056,1.106085,1.0264784,0.9106038,1.0311506,1.0616132,1.1787633,1.0026172
couch,0.62074363,1.4025548,0.7021471,1.20445,1.355262,1.3037273,1.0440497,0.4727596,0.2608515,1.3493141,0.24842817,0.71075726,1.238858,0.42951262,1.0567682,0.8914718,1.426564,1.3430159,0.64479035,1.2675754,1.0840553,1.3363367,1.2026658,1.0716273,0.7836569,0.54685456,1.307596,0.56147575,0.9562977,0.0,0.74445665,1.516416,0.54093146,1.4216571,0.84761965,1.0064652,0.6974732,0.9914316,0.78504723,1.114185,1.2210484,0.86734116,0.97472084,1.4293389,1.0702968,1.0269536,1.4033465,1.0218234,0.93552834,0.83442366,1.2814953,1.340792,0.75121665,0.82874453,0.91989756,0.9663186,1.3825691,1.4265676,0.7498803,0.6233441,1.1937022,0.5589391,1.025327,0.69475365,1.3905492,0.8409951,0.8811023,1.193566,1.4085984,1.4344614,1.5019047,1.3637038,0.7753955,0.7130205,0.7077233,1.0839831,1.4818752,1.5154855,1.0181096,1.1560919,1.2634087,1.2651918,1.0431373,1.1458291,0.6904805,1.2874215,1.2223274,0.8306932,0.8966145,0.68980455,0.8243638,1.000444,1.2490305,1.1715431,0.37029254,1.4740845,1.3004501,1.1101305,1.3092184,1.4088026,0.64936954,0.92512274,0.43650448,1.3849001,1.4748825,1.3483217,0.8118373,1.3954346,0.99243957,0.986743,0.9110469,0.8686623,1.4408128,0.72904587
