,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1066643,1.3613477,0.8372901,0.9581066,0.9322537,0.9620538,1.0886958,1.0229515,0.7359725,1.3550997,0.8609359,0.8034152,0.6678858,0.7013333,0.99812883,1.0466559,1.3525984,1.1633903,0.91487026,1.3671994,0.7388167,1.1707658,0.81020975,1.3932421,1.1388438,1.0771408,0.45940524,0.8585927,1.2778287,0.98121077,0.8802432,0.9440876,0.7550523,1.0777084,1.4001911,0.85991037,1.4645168,0.41612583,0.7297293,0.8136768,0.96185875,0.92454976,1.3636878,0.91780823,1.2423785,0.9453183,0.91536486,1.2109886,1.2408282,0.8013337,1.0358938,1.2542142,1.2800549,0.9813063,1.0939496,0.83430505,1.0893288,1.2970626,0.94606525,0.9013896,0.84404534,0.71266323,1.2363255,0.8451158,1.1284304,0.9093168,1.3336679,1.2464695,0.6366465,1.0032269,0.75050545,1.4194286,0.7024561,1.2318254,1.2538962,1.3551538,0.82180136,0.7510618,0.7656904,0.73137546,0.8382487,1.382009,1.4051579,1.1484759,1.0904951,1.0637071,0.8738272,1.1537151,1.2553583,0.7415764,1.1587732,0.89748824,0.8632047,0.89885575,0.83033836,0.81671894,0.9641531,0.9772426,1.3789953,0.9643351,1.0520775,0.7313484,1.3727787,0.81680447,1.1980721,0.9775958,0.9689739,1.2051809,1.0189989,0.8942119,0.73878086,0.81655794,0.8317518,1.4562354,1.2267907,1.2895536,0.9478166,0.6980268,1.1445332,1.013779,0.88992834,0.9684518,1.0561191,1.3877228,0.8699023
ankle,1.1066643,0.0,1.1395739,0.8109932,0.9144638,0.8543763,0.93026644,1.1967337,1.2636619,1.172564,0.8551693,1.0723137,0.973467,1.0833046,1.0953279,1.107382,1.0093725,1.0678991,1.134813,1.0551767,0.8924048,1.0692067,1.1327696,1.1055775,0.8655529,1.127894,0.7841891,0.9249714,1.0392588,1.1037246,0.91582763,1.1772729,1.1067517,1.0844343,1.0126426,0.8948141,1.1842242,1.0645599,0.96902955,0.9054651,1.1020298,0.93362224,0.9968933,0.8304712,1.2594165,0.31675363,0.8599943,1.2090302,0.4088149,1.0038817,0.8971979,1.1468506,0.6421709,0.79938805,1.1373796,0.88208354,0.9358913,0.3753609,0.7441734,1.1601907,1.1471624,0.9765113,0.8556999,1.0335988,1.1308947,1.2163895,1.1168749,1.0775508,1.059223,0.8475014,0.95488447,1.0685878,0.9939701,1.0813917,0.5661415,1.0749112,1.1956096,1.0212735,1.1490316,1.0450621,0.85754955,1.0069937,0.9209026,0.8491562,0.8070446,0.90822023,1.1333361,1.0787107,1.2114978,1.1867573,0.8754232,0.9905634,1.0933229,1.0508214,1.0382984,0.90142417,0.8292607,0.7832725,0.8110992,0.946213,1.1793479,1.1566974,1.0550902,0.8090892,1.1695342,0.8375382,0.73753166,0.9599358,1.0188996,0.85793436,1.0724162,0.91553694,1.0052874,1.199464,0.9719808,0.3222643,1.0113782,0.8659799,1.115438,1.0112765,1.2325888,1.2141023,1.1657131,1.220587,0.9199148,1.2720779
apple,1.3613477,1.1395739,0.0,1.2217484,1.0616245,1.0898423,1.1442589,1.1982882,1.2758007,1.3334844,0.4588942,1.3804739,1.4034971,0.891403,1.2737222,1.0723588,0.9661763,0.5673216,1.0561227,1.3592802,0.42795384,1.2613611,1.1306462,0.99208343,0.7683754,0.7086608,1.1367651,1.1481676,1.2964798,0.5580008,1.2023454,1.2275808,1.158538,1.3116068,1.0943449,0.47217393,1.4042954,0.48713863,1.1534406,1.1083868,1.3445213,1.3532197,1.1735438,0.49534315,1.0220298,0.987344,0.7807185,0.99942833,0.7638037,0.821291,1.1144503,1.0799308,0.8213543,0.44481373,1.0846567,0.98496705,1.1417891,1.1932547,0.46948695,0.722157,1.2380618,1.2674073,1.38689,0.83014745,1.2597197,0.6790192,1.262605,0.7594022,0.84977096,1.362638,0.88026106,1.2013185,0.1842736,1.2709813,0.9552344,0.4979794,0.07704991,1.3890208,1.165822,1.2381746,1.3910182,1.3538506,0.63533473,0.6233975,0.83155257,0.9870902,0.85489285,1.1441687,1.0265038,0.069569826,1.1527833,0.7169349,1.2997705,0.6922635,1.1622665,1.2372649,1.3789691,0.98807466,1.1389182,0.70614755,1.0729663,1.1776611,1.2772448,0.40597236,1.2036203,0.72960925,1.1758627,1.1287804,0.91837984,0.8325143,1.2251537,1.3067894,1.3037173,1.3533776,0.4173755,0.8160515,0.5811864,1.0968914,1.237773,0.78429735,1.2270734,1.1036876,1.0264556,1.0380706,0.3345353,1.1583742
arm,0.8372901,0.8109932,1.2217484,0.0,1.1192319,1.1053891,0.94987786,1.1077256,0.82573175,0.75852853,1.2120299,0.88590705,0.6109911,1.0996695,0.8821798,1.098417,1.2318435,1.4005818,1.1555096,1.0040151,1.2761613,0.6770848,1.1328313,1.1539121,1.2923661,1.294168,0.8364595,0.87066066,1.0636877,1.3087125,1.0105902,0.98791885,1.0085262,0.85625446,0.9599114,1.3137457,0.8767061,1.4052856,0.9531489,1.1188108,0.81811523,0.7867789,0.771235,1.2663615,0.80668885,0.83101904,1.043629,1.1722826,0.924199,1.2080169,1.265689,1.1231989,1.0337929,1.2618185,1.0207243,1.2812787,0.844253,0.60182405,1.2617235,1.2480065,0.9103865,0.57387,0.5598628,1.2415403,0.94172025,1.3113703,0.7849187,1.1933231,1.2901778,0.6354573,1.2020068,0.8752074,1.2352159,0.9560642,0.981548,1.2416646,1.1681383,0.6932042,0.93925834,0.70157874,0.5976659,0.7468345,1.2146311,1.1625409,1.1445509,1.1455883,1.1927326,1.0541068,1.117497,1.1994472,0.8383434,1.3233991,0.72418,1.3111987,0.7496401,0.8764554,0.51093763,1.2395679,0.95260465,1.2554643,0.76222074,1.0397321,0.7908765,1.2896204,0.7955199,1.1617867,0.88719404,1.0738045,1.2191693,1.2737651,1.0572237,0.9363307,0.5931105,0.8107512,1.424403,0.89004964,1.1828642,0.98396987,1.0041211,1.4188963,0.99726295,0.8455506,1.0784338,1.1588107,1.2380733,0.8375405
ball,0.9581066,0.9144638,1.0616245,1.1192319,0.0,0.032309055,0.966722,0.97223306,1.0605551,0.9649433,1.0426483,1.0402427,0.97262937,1.1571993,1.0432459,0.98143286,1.1225276,1.0996989,1.0358225,1.0136807,1.0241827,0.96379304,0.897898,0.96300626,1.1934835,1.0418932,1.110617,0.95102733,1.0726523,0.87500066,1.0798992,1.0539843,0.97448725,0.944923,1.122871,1.0784415,1.0220367,1.086732,0.9207084,0.9236359,1.1022661,0.98017985,0.84865344,0.80417675,1.1432612,0.99336433,0.92225826,1.1022267,1.0418752,1.1851491,0.8890464,1.0326283,1.0500414,0.9069813,1.0632594,0.9375455,0.9175388,1.0338831,0.98275256,0.99205923,1.1153748,1.0655192,0.9439581,1.2217972,1.0706748,1.0846947,1.0929992,1.1124395,1.0130527,0.8632772,0.9996841,0.9184458,0.9801499,0.9661448,1.0214226,1.0348423,1.1325923,1.0761988,0.93523496,0.9963839,0.9568376,1.0027289,1.1581745,1.147251,0.9044291,1.0843115,1.1368423,1.1277189,1.1399541,1.0545082,1.0341015,0.9781081,1.1881726,0.9382941,1.0252864,1.0497584,0.9737863,0.90504515,0.95292085,1.2365481,0.9678235,1.0962085,0.9746008,1.0328534,0.99739313,0.96068287,0.9479543,0.84585154,1.175999,0.92649966,1.1414137,0.9306171,0.9658992,1.031191,1.0411515,0.99895394,1.0871094,1.0340334,0.95368564,0.82911,1.1439734,1.0586704,0.9483343,1.1334258,1.0388825,1.107732
balloon,0.9322537,0.8543763,1.0898423,1.1053891,0.032309055,0.0,0.9478995,0.9457066,1.0457668,1.0092968,1.035664,1.0310427,1.0002271,1.1199763,1.0146347,0.93528056,1.0704386,1.0753955,1.029107,0.97494024,1.0461088,0.989326,0.864338,0.98047674,1.1160836,1.0332353,1.0821512,0.91544855,0.99821687,0.9620405,1.0766355,1.0447018,1.0238179,0.9814392,1.1675788,1.0683459,1.0215638,1.0888078,0.8988409,0.8781235,1.1106668,0.9770529,0.86024916,0.8431927,1.130476,0.96828073,0.9220227,1.0976448,1.0288402,1.151995,0.8654201,1.0298338,1.0397489,0.89148974,1.0526371,0.9316735,0.94394976,0.9990761,0.9521581,0.97768384,1.1309545,1.0501454,0.9868089,1.1869285,1.031573,1.0721142,1.1190387,1.0912591,1.0198349,0.8500236,0.9370414,0.97504354,1.0246369,0.9400936,0.99291366,1.0374575,1.1527296,1.0465893,1.0047641,1.030149,0.9744219,1.0112911,1.1324666,1.1139398,0.90444005,1.031974,1.1332568,1.1089278,1.1422275,1.0886607,1.0055277,1.0023879,1.1408815,0.91277134,1.0348192,1.0196384,0.962403,0.8786321,0.92739034,1.1961727,0.98787767,1.0988001,0.9849528,1.0405062,1.058109,0.98669356,0.9055422,0.9013848,1.1378962,0.9238006,1.1490341,0.9278561,0.98274916,1.0382209,1.0492498,0.99281234,1.092662,1.0154798,0.92464775,0.80497277,1.1465034,1.0916349,0.96045464,1.1021216,1.061789,1.1230145
banana,0.9620538,0.93026644,1.1442589,0.94987786,0.966722,0.9478995,0.0,0.95711297,1.0129806,1.0998852,1.1662303,1.1052394,0.91878915,1.1037236,1.0089866,1.0143286,0.98984647,1.1204913,0.75225896,1.0308949,0.8379661,1.0754626,0.9902268,0.9943515,1.1441487,1.2194253,0.7851684,1.1258535,1.1101724,1.0928652,0.95872927,1.1250765,0.8960318,1.1148194,0.8940301,0.9753035,1.0510782,1.1062113,1.1188382,0.9422524,1.10644,1.017256,0.9336487,0.9385946,1.1663624,0.94648147,0.9188074,1.1210089,1.0939611,0.88981956,0.6721137,0.99847925,1.0686513,1.1862099,1.1172621,0.93132365,1.1096753,0.8586441,1.127979,1.0806959,0.92668176,1.1538277,1.0157917,0.82567257,0.9393396,1.0688663,0.8771807,0.79111415,0.94874763,0.965472,1.1305937,1.0309405,1.1840405,0.8860721,1.0739459,1.1531655,1.1513492,1.0505738,1.0754391,1.0710248,1.0159411,0.96773666,0.9890177,1.0372692,0.72301626,1.0120895,0.815166,1.0878524,0.67841846,1.2014853,1.0067105,1.0617101,1.0953493,1.124412,0.94380623,0.74296236,1.1209095,0.9861181,1.0260371,0.9434488,1.1054047,0.9114527,1.0075866,1.0683204,1.1381562,0.9579249,1.0122343,0.67111415,0.7693639,0.96539474,0.8729808,0.9980076,1.0488977,1.0442123,1.0380716,1.0361001,1.2033086,0.98624796,0.89418477,0.89744544,0.6413002,1.085665,1.0399461,1.0517566,1.148607,1.132433
basket,1.0886958,1.1967337,1.1982882,1.1077256,0.97223306,0.9457066,0.95711297,0.0,0.43882722,0.84995455,1.3468674,0.8932518,0.93816686,1.2380191,0.69131815,0.86004525,0.88682604,0.9441489,0.46946502,0.67112046,1.2344353,1.0842016,0.403863,0.9323461,0.8617971,1.2474084,1.0915977,1.0465108,0.678523,1.1544715,1.059145,0.7495344,0.8422909,0.95424837,0.9553272,1.2937517,0.51655126,0.8863135,1.0406711,0.89665836,1.0643392,1.0027292,0.9882217,1.2344875,1.0544033,1.2919338,1.2606925,0.9783192,1.3080446,0.9173108,1.1459843,0.7943063,1.341507,1.2897558,0.8880596,1.1049477,1.2198665,1.093938,1.3164339,0.99460477,0.95878017,1.025812,0.9866001,0.9754915,0.8030155,0.9790314,1.0130087,0.9903474,0.9666574,0.89787567,1.0413322,0.9193755,1.3200848,0.5600656,1.3532608,1.091441,1.1232393,0.939654,0.9815896,1.0761518,1.1738274,0.9850144,1.1861278,1.1757458,1.1493148,0.753631,0.80957717,0.90918183,0.60723054,1.1693828,0.889563,1.2129722,0.94520533,1.0170331,1.0493686,1.0202047,1.1179123,1.0796937,1.0582149,0.9306614,0.90358174,0.92922044,1.0204511,1.3408489,1.0345912,1.1862249,0.85346526,1.1048471,0.8155937,1.2949857,1.0507034,1.1086224,1.0550907,0.7607216,1.126651,1.3323529,1.2023034,1.3187808,0.5721364,0.9185266,0.60290295,1.0580976,0.9036155,0.8945652,1.3270799,1.007692
bathtub,1.0229515,1.2636619,1.2758007,0.82573175,1.0605551,1.0457668,1.0129806,0.43882722,0.0,0.66229844,1.261693,0.63574624,0.7747392,1.1994618,0.7322968,0.8203336,0.98576796,1.1698185,0.8068805,0.5840955,1.4216993,0.8819556,0.35613072,1.1012913,0.9086237,1.1436949,0.9611391,1.1356663,0.71326387,1.2591289,0.9405917,0.8079239,1.0207435,0.8219062,0.9889132,1.3267683,0.49602586,1.1025641,1.1614846,1.1831591,0.8712044,0.68675935,0.92628783,1.3597747,0.78988624,1.2819439,1.2597713,1.0861992,1.3506726,1.1470778,1.2605442,1.0260087,1.2632515,1.3907096,0.94568413,1.1866633,0.9923823,1.1509917,1.3739151,1.2025964,0.8385113,0.8548502,0.8042546,1.1577034,0.79159814,1.0634528,0.90656984,1.0518389,1.0779585,0.84414786,1.2196466,0.90691245,1.3135839,0.81405103,1.2724706,1.2178227,1.1992077,0.6698344,0.9065092,0.9239071,0.87842166,0.7484787,1.2315767,1.2422657,1.326191,1.0358034,1.1646857,0.9957554,0.80415475,1.2487336,0.92372257,1.1775775,0.70916474,1.3296573,0.8774986,1.0226506,0.8817773,1.2726185,1.1196038,1.1266721,0.6429875,0.7539135,0.70096165,1.3529773,0.7930377,1.2953959,0.9772276,1.199562,1.1039081,1.3338912,1.0009805,1.0921612,0.85426176,0.5958879,1.2941437,1.3346989,1.1102993,1.1196053,0.8310113,1.1588222,0.6737296,0.8525911,0.95171934,0.91696334,1.3234208,0.8030788
bed,0.7359725,1.172564,1.3334844,0.75852853,0.9649433,1.0092968,1.0998852,0.84995455,0.66229844,0.0,1.4365339,0.40976012,0.55335927,1.3421988,0.4313426,0.9453866,1.1675211,1.4930058,1.2173095,0.7187878,1.5295931,0.6638833,1.0757828,1.2062149,1.4309366,1.264794,1.1415963,0.8056242,0.737163,1.4017477,0.8500471,0.5045353,0.77870977,0.1146971,0.9156287,1.6359276,0.52024794,1.5716602,0.83761704,1.1505945,0.63362795,0.7583537,0.8044301,1.4185054,0.82996917,1.3469849,1.3030957,1.1848252,1.3056237,1.5904351,1.3123643,1.1217775,1.3020337,1.5105759,0.9930764,1.3481804,0.7670578,1.1613666,1.5156391,1.3183696,0.74284494,0.5309305,0.34169888,1.5834112,0.74186,1.5090352,0.7715959,1.3570633,1.3581183,0.6530452,1.346667,0.60194707,1.373247,0.89096665,1.30826,1.3956499,1.2718687,0.7000562,0.588443,0.4704181,0.49053228,0.6606339,1.6318576,1.6032376,1.334496,1.0209029,1.3184605,1.0597343,1.1588962,1.2408239,1.0152587,1.3335196,0.75883335,1.4483498,0.8008464,1.1039169,0.6145797,1.3708065,1.0123305,1.5296671,0.5428105,1.0851533,0.3319342,1.5565238,0.387599,1.4302406,1.1360123,1.0000764,1.5372314,1.4037111,0.9865169,0.8454846,0.45856452,0.3577124,1.5958495,1.3059251,1.2540035,1.1926991,0.91549784,1.350301,0.90721035,0.8042559,0.84795713,1.0865515,1.4774195,0.6616798
