,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bird,0.5089815,1.2699951,0.6463694,1.1837031,1.182353,1.1552907,1.0224339,0.72112113,0.6743194,1.2595516,0.8776379,0.8002293,0.0,0.6939838,0.904178,1.222944,1.3690554,1.3470576,0.9839459,1.2914131,1.1709808,1.2145231,1.3691375,1.175737,1.0956327,0.7890878,1.3074776,1.2964774,0.7523403,1.0794528,1.1531566,0.8514612,0.8379771,0.8309662,1.3772254,0.82366586,1.3880732,1.071802,0.79677635,1.1849056,1.0116938,0.9583024,1.217403,0.9221981,1.2223129,0.7137073,0.74457306,1.1273798,1.234778,0.920971,1.1258348,1.1443503,0.80013674,0.69093305,1.0349345,0.91012764,0.98658836,0.7376912,0.77223873,1.2600083,0.581316,0.8904738,1.0864955,0.6685757,1.186871,1.0814378,1.1575744,1.0371479,1.0108452,1.1143646,1.2290466,1.2640629,1.3525629,1.2887919,1.1673371,1.3242768,0.9521074,0.77236766,0.7003017,0.72081506,1.2101561,1.3705239,1.3197014,1.3646764,1.1818433,1.2425947,1.0525079,1.2134889,0.8593453,0.92353153,0.90726656,1.2275503,1.145192,0.9714252,0.79863083,0.645205,1.0126313,0.75959647,1.2178385,0.8600148,1.0815687,0.8539698,1.338084,1.3134537,1.0566458,1.2055295,0.7596433,0.8854878,0.6802393,0.8292761,1.3221121,1.1794168,1.244367,1.013989,1.3073559,1.1636815,1.2335217,0.847844,1.06892,1.3068309,1.290343,0.89930624
blanket,0.3940345,1.4225125,0.5787497,1.1843926,1.2401805,1.2462051,0.75123394,0.51258576,0.2677933,1.3398002,0.61820614,0.53783214,0.6939838,0.0,0.72952324,1.0840255,1.4912052,1.3015056,0.829128,1.4084597,1.1597104,1.178587,1.4226388,1.2157698,1.2030743,0.791281,1.2312073,1.4860567,0.62468106,1.1048009,1.2112219,0.8040478,0.5822818,0.78172433,1.4586043,0.62298775,1.4568744,0.94242775,0.8859118,1.1226392,0.9693879,0.8245609,1.1938891,1.0113367,1.2858143,0.6194669,0.9028702,1.2918477,1.2999651,0.9496388,1.1420655,1.2350569,0.9749,0.82375884,1.2205019,0.80838513,1.017257,0.849599,0.8765693,1.4095955,0.8727147,0.74951714,0.9975069,0.5381108,1.2540666,1.0114436,1.1564608,1.0082071,0.83554137,1.1987485,1.4537559,1.3483357,1.2435267,1.3325788,1.2600874,1.416802,0.93523073,0.62530065,0.412247,0.56094146,1.0679648,1.419637,1.3731548,1.4420521,1.0093883,1.2360098,1.059136,1.1927251,1.1211492,1.0767775,0.687884,1.2764086,1.2287096,1.2349873,0.75206643,0.5516637,0.88589394,0.56379616,1.4294386,0.6911557,1.0612813,0.7620977,1.4240737,1.4594162,0.83176684,1.2950621,0.78447044,0.8449933,0.5917518,0.63449347,1.2807436,1.2898068,1.4058057,0.97474706,1.2031515,1.2003481,1.2016883,0.8279242,1.0329909,1.3935765,1.4375213,0.8218623
boat,0.75234085,1.2560931,0.932135,1.1060748,1.0489966,1.1873003,0.93770933,0.63247824,0.71290356,1.1729589,0.8112054,1.0173999,0.904178,0.72952324,0.0,1.003851,1.2765838,1.0671865,0.8646196,1.1431947,1.0739262,1.0507072,1.2096348,0.68840253,1.2015636,0.8973472,1.1167907,1.1937575,0.8017329,1.0849528,1.0577074,0.8642253,0.86843705,0.86416143,1.2569115,0.87260705,1.2374339,0.96332324,0.9416576,1.1753435,0.9066371,0.76196086,1.118118,1.0127571,1.1604768,0.7696626,0.926851,1.2098887,1.0870254,1.0399308,1.2888583,1.1658816,1.024365,0.9908502,1.1983474,0.9558423,1.0551742,0.96350414,1.0032074,1.2512436,0.93922275,1.0576023,0.94969463,0.92930806,1.0703766,1.0297343,0.92629564,1.1287291,0.9815295,1.0180115,1.2531037,1.2363746,1.2242949,1.214733,1.1582476,1.285295,0.87131536,0.93671787,0.80194104,0.97289956,1.0650226,1.1854867,1.167731,1.3222021,1.0637898,1.1074784,1.0213515,1.0478137,0.9954572,1.0681896,0.94227445,0.91482264,1.1371813,1.0829551,0.85037816,0.86814404,0.92098993,0.89870125,1.2401687,0.76169515,0.7998487,0.83614475,1.3012505,1.1811624,1.0084554,1.1261249,0.8943436,1.0050988,0.85951525,0.78715944,1.115642,1.3366092,1.3167504,0.92959905,1.2297182,1.1747755,1.1785822,0.57910275,0.43976396,1.3209449,1.2614739,0.6530421
book,1.2033671,1.0216254,1.3360884,1.023192,0.9696476,0.9108064,0.84477705,1.1683292,1.0627451,0.8043301,0.94718844,0.81847996,1.222944,1.0840255,1.003851,0.0,0.9513751,0.7957309,0.48890352,0.95711094,1.0010684,0.82654166,0.82291317,0.90338045,1.1187851,1.1850483,0.7936186,0.85323083,0.9624085,0.9725766,0.85209596,0.7906138,1.046016,0.92621106,0.78054893,0.9775687,0.82758194,0.8608779,1.202695,0.9402772,1.0712444,0.7068925,0.90853447,1.2179343,1.069036,1.2403011,1.1706496,1.1300194,0.9786791,1.020381,0.9194827,0.92740804,1.0300722,1.1247101,1.1116787,1.1256953,0.76179266,1.2911279,1.1006086,1.0042839,1.0079767,1.2114964,0.99033785,1.2063257,0.87577283,0.7908876,0.98904836,1.0903398,1.1044018,0.9420814,0.9873199,1.0875816,0.60426325,0.9706606,1.0364169,1.0073159,0.83760107,1.1603962,1.2408028,1.2258571,0.3592739,0.7624019,0.7633673,0.95206225,0.78883064,0.90707296,1.004058,0.7303951,1.0200005,1.0647267,0.942068,0.65909696,0.88738084,1.0533916,1.0768154,1.2816253,0.94860035,1.112216,1.0118403,1.1743798,0.7261741,1.160176,0.9033873,0.9077946,1.0363892,0.8875661,1.1899192,0.9837959,1.2626381,1.0755078,0.7524049,1.1560924,0.96638286,0.8511107,0.6269929,0.7306824,0.7570721,1.1303513,0.90636677,0.9636294,1.0486925,1.1080983
bottle,1.5343326,0.5449611,1.3958935,0.89726675,0.8125795,0.8769802,1.1714202,1.4743387,1.5365145,0.5761728,1.3674004,1.2981977,1.3690554,1.4912052,1.2765838,0.9513751,0.0,0.5032306,1.2050896,0.5979087,0.981656,0.70261383,0.38994217,0.73390174,0.991736,1.2668334,0.60286415,0.40891647,1.3732563,0.8224483,0.814044,1.2602174,1.3184135,1.2309539,0.41094673,1.3413832,0.20606369,1.1156125,1.1966674,0.92506427,1.099103,1.3054843,0.6967274,1.1372662,0.8417847,1.2995617,1.3094037,0.9872684,0.4706471,0.7983011,0.9833601,0.89179707,1.1326394,1.3424819,1.0170354,1.2098279,1.0707016,1.3398776,1.4211802,0.41265392,1.2033896,1.1488582,0.76496047,1.48684,0.905467,1.085358,0.85015094,1.1662121,1.2150067,0.7821014,0.48733306,0.51937556,0.5503211,0.81402785,0.998145,0.6213062,0.969913,1.2891688,1.4144118,1.3809035,0.93165874,0.43569326,0.6088933,0.31585926,0.8032775,0.68805146,0.8098227,0.85335726,1.0123832,1.1310956,1.1486071,0.7953454,0.7852018,0.9168358,1.2950306,1.4604149,1.1407216,1.3956251,0.67180145,1.3018559,0.94978076,1.2207644,0.3909998,0.2777608,1.1416926,0.8245468,1.344509,1.1386735,1.4582326,1.284323,0.75032526,0.8591565,0.40155017,1.1731586,0.5734057,0.8239064,0.71831584,1.1805295,1.0172707,0.4954357,0.41632652,1.2285895
bowl,1.3898289,0.7813598,1.4525723,0.85615706,0.7797153,0.8211481,0.9558808,1.2623507,1.3406315,0.62553775,1.1926256,1.1914456,1.3470576,1.3015056,1.0671865,0.7957309,0.5032306,0.0,1.0437654,0.61891884,1.0678093,0.4381793,0.5807168,0.85169077,1.1317933,1.2185137,0.56635076,0.65963435,1.3377832,1.0106848,0.70329297,1.2822928,1.1785867,1.1261662,0.6210501,1.1950649,0.28486097,0.6989448,1.1783926,0.9522432,1.2269145,1.0229537,0.8455318,1.2702665,0.9042787,1.3198856,1.3593061,1.088353,0.63980085,1.0080168,1.0779598,0.6637984,1.0993432,1.3402284,1.0900545,1.167833,1.0297654,1.4401448,1.3082248,0.70079744,1.1838504,1.3290608,0.7556037,1.4298496,0.61813223,1.0913842,0.8644436,1.1238222,1.1484077,0.88486886,0.7221426,0.79454124,0.6586723,0.87144375,1.0489612,0.7701745,0.9197897,1.2100339,1.4216447,1.4255996,0.8740386,0.58329517,0.6410124,0.61727303,0.791452,0.7472124,0.99116313,0.52668333,0.9469734,1.0877773,1.1525936,0.7449055,0.8903975,0.9818456,1.2415552,1.4282082,0.9600965,1.3135707,0.80956465,1.2324953,0.70822906,1.1398437,0.56539905,0.5480245,1.0651011,0.56834793,1.1708801,1.3062308,1.4252971,1.037502,0.31620133,1.0295897,0.71567637,0.9259252,0.71541107,0.83416754,0.75888395,1.2307879,0.9666226,0.8937229,0.7240486,1.2786036
box,0.94255954,1.3230559,1.0113032,1.1515813,1.1089756,1.1106936,0.479214,0.8153142,0.7135466,1.1989406,0.6156359,0.7895802,0.9839459,0.829128,0.8646196,0.48890352,1.2050896,1.0437654,0.0,1.2651275,0.9737395,0.64024055,1.0327531,1.0756649,1.2048234,0.98204035,1.0137074,1.248271,0.6018498,0.977695,1.0645773,0.8114509,0.6890775,0.9439011,1.2953688,0.66891,1.0033765,0.6826412,1.0170302,0.9865018,0.77512026,0.49056393,1.0922787,1.2135931,1.2571845,1.0227139,0.97297245,1.3236074,1.3194447,1.097531,1.0372722,1.1833177,1.0272284,0.9233274,1.2730764,0.9397792,0.8092773,1.1332567,1.014082,1.3700607,0.9322592,1.0473356,0.76267886,0.9802499,1.1002872,0.70433235,1.033438,1.1756492,0.989388,1.061471,1.2513503,1.3902049,1.0412875,1.2506057,1.1796778,1.3228176,0.62605244,0.9781146,0.8997555,0.97397006,0.7061872,1.255442,1.198828,1.338712,1.0349901,1.0730765,1.0911777,0.9397448,1.0469537,0.9721797,0.56902647,0.70499563,0.91332555,1.1384364,0.8036971,1.0345045,0.77668077,0.9709072,1.2502351,0.86964065,0.8266399,0.9742014,1.2465739,1.2279171,0.93735754,1.1547139,0.92104197,0.7531114,0.98898774,0.76888466,0.9816229,1.3871288,1.3287342,0.920523,1.0444633,0.71981883,0.9205741,0.9514926,0.9012906,1.1372428,1.4010608,0.8955429
bread,1.3923433,0.6303378,1.3872344,0.73215884,0.7297096,0.7288356,1.214229,1.4835262,1.4716914,0.7986553,1.4238803,1.2812856,1.2914131,1.4084597,1.1431947,0.95711094,0.5979087,0.61891884,1.2651275,0.0,0.9988891,0.9960973,0.7810349,0.7542082,0.9965617,1.1451911,0.74824154,0.6232765,1.4287573,0.9233688,0.8361082,1.318124,1.4098595,1.1604655,0.626678,1.3532927,0.6288102,1.0203142,1.1235385,0.84760725,1.1875957,1.278363,0.83083487,1.1196622,0.7961647,1.2317644,1.1590695,0.9364215,0.6431528,0.8387407,1.062175,0.86078036,0.95083,1.3335751,0.9373549,1.1798742,1.030132,1.2591242,1.2830127,0.65403914,1.195467,1.2325999,1.0878229,1.454702,0.6230212,1.1160858,0.9354782,0.96242464,1.1477898,0.77674115,0.31655192,0.72062147,0.62084633,0.89534515,0.9211024,0.6102742,1.170613,1.2684383,1.4520073,1.4617447,1.0096982,0.57473946,0.69861007,0.45931888,0.81446874,0.37214917,0.81889457,0.63304704,0.87733454,0.9216076,1.2482895,0.89181113,0.90301514,0.76935047,1.3560692,1.4278101,1.1447902,1.367708,0.63986063,1.3314505,1.0580232,1.1254137,0.666092,0.55694795,1.1391008,0.5538223,1.3488576,1.2683287,1.4014618,1.2443565,0.6955141,0.8446958,0.7049093,1.1686786,0.64754283,0.84929734,0.84105325,1.1247445,0.949068,0.85194445,0.6787776,1.2252346
broom,1.1407688,1.2428795,1.0666239,1.2766771,1.0314479,1.0683455,0.936812,1.056797,1.0209476,1.0383509,0.71724164,1.2451384,1.1709808,1.1597104,1.0739262,1.0010684,0.981656,1.0678093,0.9737395,0.9988891,0.0,0.95450026,0.6907834,1.0818074,1.0693173,0.9903433,0.84329295,0.8697361,0.8567988,0.86088943,0.77674556,0.9676343,0.8683279,1.057319,0.99662364,0.84264725,1.0190285,1.1022089,0.9387335,0.9343258,0.53744566,0.7580137,0.88010937,1.1743258,1.2163856,1.0817013,1.2053866,1.159759,0.9720681,0.91471136,0.9146936,0.91030765,1.2552669,1.1500027,1.1212044,1.1002289,1.3611666,1.1586497,1.2289283,1.0643429,1.1088611,0.97449994,1.1320828,1.1581979,0.8977057,0.41144323,0.8075911,1.2122731,1.0627737,0.9212823,1.0174567,1.1795803,0.8041945,0.8868278,1.0532763,1.1864612,0.8314121,1.1504588,1.1348643,1.0580146,0.87851304,0.93910074,0.8492179,1.035924,0.87371325,0.98008835,0.6802904,1.0108027,0.90125656,1.1694151,0.8887246,0.91337955,0.5539884,0.8107877,1.0307498,1.2469836,0.98399776,1.1933434,0.7548192,0.9058447,0.8761271,1.0870632,1.0022188,1.1220638,0.9506985,0.9047219,1.0863819,0.8601222,1.2185003,1.0568123,1.1013358,1.0767136,1.0681626,0.96648794,0.81112444,1.219779,0.8691331,1.0395784,0.91903347,0.46474296,0.9832418,0.85057944
bucket,1.2700642,1.0872223,1.2690827,0.92972374,0.84855735,1.023268,0.6443662,1.0650512,1.181661,0.9712111,1.0298194,1.0247185,1.2145231,1.178587,1.0507072,0.82654166,0.70261383,0.4381793,0.64024055,0.9960973,0.95450026,0.0,0.5598457,0.9695416,1.142089,1.155437,0.73153305,0.8151985,1.0271811,0.9571152,0.92371917,1.0850835,1.0440468,1.1499898,0.9515248,0.93450874,0.37515193,0.6261486,1.1266431,0.9704057,0.9027072,0.8253718,0.8706303,1.3207529,1.0564394,1.2347393,1.2624166,1.2595559,0.99448645,1.0451093,1.1584271,0.812569,1.0655464,1.1694146,1.2128367,0.86040705,0.9516494,1.3873421,1.2625206,1.0565546,1.1006565,1.2601142,0.5741161,1.3156251,0.84110487,0.84357864,0.78439087,1.2583948,0.9386599,0.9372566,0.9571925,1.1295298,0.87559557,1.0191069,1.0869457,1.0608443,0.70917183,1.1670315,1.2416757,1.2872543,0.7864736,0.93503994,0.9812569,1.0366856,0.93564326,0.95984083,0.9576792,0.7546358,0.9561908,1.0424528,0.84706473,0.7256334,0.7436838,1.040536,0.8995193,1.370966,0.7346009,1.2324647,0.8510009,1.0373441,0.7171948,1.1229079,0.9233925,0.9037874,0.8095634,0.8490052,0.944716,0.98461556,1.3610432,0.9708244,0.5008365,1.265418,1.0377245,0.75545967,0.9291058,0.7310698,0.83622825,1.1339557,0.9218918,0.92345744,1.0752084,1.0906502
can,1.4759008,0.8714411,1.3381902,1.1053946,0.89397603,0.9631537,1.1439004,1.3020914,1.4694644,0.5029081,1.0577178,1.3202147,1.3691375,1.4226388,1.2096348,0.82291317,0.38994217,0.5807168,1.0327531,0.7810349,0.6907834,0.5598457,0.0,0.9150753,0.8563849,1.2552588,0.59678054,0.4348353,1.278816,0.8117432,0.46549332,1.0855461,1.0939898,1.1910387,0.54566765,1.2538338,0.41971052,1.213745,1.2145649,1.0221928,0.8008987,0.8620271,0.68118006,1.2091812,0.99112,1.3265284,1.3932763,0.99303913,0.54680467,0.91553205,0.85213137,0.85574454,1.3149973,1.3458414,1.0170462,1.2066082,1.3136756,1.3689761,1.3967505,0.59188306,1.2514606,1.1193677,1.0388151,1.3202753,1.0046743,0.8621398,0.7114345,1.1305482,1.172066,0.93567413,0.70397025,0.7707098,0.51396364,0.6961547,0.90215015,0.7731954,0.69228077,1.3627278,1.3636496,1.155375,0.54859304,0.52333987,0.6055248,0.61700094,0.57489187,0.8322176,0.7860966,0.930668,1.0083661,1.2244802,1.1160233,0.65401137,0.50190437,0.9908439,1.3122224,1.4910305,1.1069853,1.2642822,0.7807841,1.1478399,0.5118097,1.2046007,0.47468525,0.60555935,0.9447855,0.94661134,1.3552711,1.035575,1.5070374,1.3730571,0.7990161,0.86123383,0.59374166,1.075144,0.5834948,1.1597732,0.7370676,1.1907138,0.94983095,0.34541476,0.59387404,1.0407342
car,1.1839751,0.8697883,1.2403234,0.9878597,0.8250811,1.0402812,1.0761275,1.166126,1.2261862,0.9105465,1.1890172,1.2581929,1.175737,1.2157698,0.68840253,0.90338045,0.73390174,0.85169077,1.0756649,0.7542082,1.0818074,0.9695416,0.9150753,0.0,1.2006882,1.0829625,0.8631743,0.82972944,1.1713209,0.73185396,1.0025333,1.13849,1.1310995,1.1046685,0.88817036,1.1512066,0.7973895,1.0179857,1.031427,0.7843811,1.0539469,1.180623,0.9166805,1.1538634,0.98045295,1.0823828,1.080787,1.0981593,0.81247276,0.84508914,1.1040499,1.0533113,1.0214976,1.2126034,1.0601844,1.1866342,1.0899422,1.1630045,1.2774926,0.7949678,1.0453246,1.0990956,1.0355742,1.3707578,0.88980144,1.022408,0.9324227,1.2071024,1.2007252,0.5498036,0.8225282,0.92931163,0.73636246,1.0789658,1.0335989,0.9517104,0.99911743,1.0772436,1.2925858,1.3300037,0.9733123,0.82940984,0.9204189,0.80978286,0.8095636,0.80865157,0.8050643,0.920706,0.8497274,1.0641842,1.0779115,0.5538703,0.9175747,0.78218114,1.1706225,1.2868685,1.0399615,1.2595282,0.77280736,1.1099455,0.9570737,1.1277125,0.9084389,0.719193,1.2046231,0.8730929,1.2239059,1.013684,1.2682796,1.177586,0.92581904,1.0798001,0.7793251,1.1676679,0.742331,0.92486584,0.85908073,0.91274196,0.497967,0.96198356,0.8564311,0.98502725
carrot,1.182323,0.6782759,1.0243176,0.78229004,1.1010439,0.90989983,1.2213534,1.2254381,1.2919669,0.9218205,1.1288022,1.0113342,1.0956327,1.2030743,1.2015636,1.1187851,0.991736,1.1317933,1.2048234,0.9965617,1.0693173,1.142089,0.8563849,1.2006882,0.0,1.1522305,1.021258,1.0137209,1.2615921,0.98404175,0.8892084,1.0014826,1.1845362,1.1974267,0.8562021,1.2591815,1.0409584,1.171088,1.1333232,1.0497442,1.1801043,1.1417985,0.948995,0.58794546,0.5636019,1.205262,1.08824,0.41303355,0.92182463,1.1659156,0.65778035,0.9776612,0.9672953,0.91744804,0.7214995,0.77932525,0.91642946,0.89240617,0.6841171,0.90178084,1.1290458,1.0011833,1.0746878,0.83711094,1.1257275,1.1793599,1.1726669,0.55445313,0.7312733,1.1916554,0.9159569,0.6796777,1.0314606,0.73912567,0.5814567,0.54250133,1.2196748,1.1086733,1.006322,0.8732804,0.9844388,0.9114717,0.91186845,0.8475662,0.9547898,1.080798,1.184367,1.1144807,1.180912,0.97005826,1.1770067,1.1284671,1.0958626,1.1232662,1.1720854,1.0134182,1.1370215,0.8717374,0.94000113,1.235708,1.0625162,1.1717271,0.8573477,0.9425245,0.7260179,1.1041167,1.0402664,1.0876604,1.0866542,1.2994595,1.0720404,0.43177378,0.8366131,1.0817603,1.0487163,1.053326,1.0147263,1.1945776,1.1954174,0.8590088,0.79747176,1.193459
cat,0.49621743,1.2774224,0.8855671,1.125037,1.1396471,1.1419799,0.9771507,0.8464271,0.77677554,1.217245,0.7974447,1.0347414,0.7890878,0.791281,0.8973472,1.1850483,1.2668334,1.2185137,0.98204035,1.1451911,0.9903433,1.155437,1.2552588,1.0829625,1.1522305,0.0,1.1738609,1.249138,0.82038367,1.0718883,1.0538754,0.9792242,0.7816241,0.9354813,1.3553174,0.74190134,1.3080227,1.1226835,0.046789825,1.0180328,0.91716087,0.98218375,1.1023759,1.0724337,1.212716,0.68390954,0.81995255,1.2236103,1.1643058,0.999082,1.0933987,1.127952,0.8914878,0.8609807,1.0452676,0.96218246,1.1255448,0.8001703,0.990768,1.1948515,0.8565389,0.9532655,1.0625297,0.8184773,1.1049564,1.014247,1.0746115,1.0761323,0.9828725,1.0568463,1.1219932,1.2894541,1.2255257,1.2172953,1.1268591,1.2742889,1.0071242,0.8600364,0.8849889,0.85277474,1.151668,1.317781,1.252033,1.253664,1.0871434,1.1005758,1.0057367,1.0967662,0.64170694,0.86635184,0.906914,1.1943685,1.1115924,0.791859,0.99738944,0.85678923,0.88846636,0.93660223,1.0650349,0.9351943,1.1231596,0.8218297,1.2171344,1.3016058,1.00862,1.1113224,0.92552763,0.88153934,0.85252947,0.8515011,1.1973187,1.171628,1.2443436,1.1397702,1.1911936,1.1581633,1.1417928,0.9318173,1.031309,1.0312783,1.2681836,0.91867965
chair,1.2579714,0.830881,1.3162631,0.8208154,0.85695744,0.7782079,1.0149287,1.1740242,1.1661408,0.7751576,0.80876625,1.2391098,1.3074776,1.2312073,1.1167907,0.7936186,0.60286415,0.56635076,1.0137074,0.74824154,0.84329295,0.73153305,0.59678054,0.8631743,1.021258,1.1738609,0.0,0.665255,1.2437639,0.7795421,0.70886457,1.1136966,0.8090186,1.2220925,0.6715071,0.9509932,0.5425646,1.1153626,1.1504081,0.907663,1.0365939,0.955656,0.6736074,1.2736185,0.87154174,1.2290179,1.3903174,1.1363089,0.82500947,1.0311025,1.030587,0.87551594,1.0961943,1.3963358,1.1893374,1.2485355,1.1109558,1.4319131,1.3905983,0.7966919,1.1740569,1.0910617,0.9530304,1.3230553,0.8960671,0.7776445,0.8605259,1.0044658,1.1836253,0.92733103,0.6941686,0.8866179,0.573668,0.92613876,1.1272116,0.7374378,0.916314,1.3432807,1.4001274,1.2533809,0.80368656,0.6460483,0.6853389,0.65987325,0.6283785,0.85752463,0.9768601,0.7599789,0.9953717,1.1307359,1.0048774,0.71840024,0.69608134,1.011188,1.1849735,1.4014568,1.0524659,1.2423021,0.7320266,1.2006681,0.7063279,1.1153665,0.7162735,0.7350945,1.0718232,0.83714515,1.2397103,0.9908592,1.378448,1.0565411,0.6868048,1.0720007,0.77721167,1.0232583,0.6367165,0.82294166,0.5208931,1.275454,0.91421634,0.5647718,0.76897585,1.1473727
clock,1.5212928,0.67477405,1.3827469,0.836532,0.64582884,0.8694506,1.2414879,1.3538117,1.4751049,0.6465159,1.3899684,1.2994115,1.2964774,1.4860567,1.1937575,0.85323083,0.40891647,0.65963435,1.248271,0.6232765,0.8697361,0.8151985,0.4348353,0.82972944,1.0137209,1.249138,0.665255,0.0,1.3745197,1.0213314,0.70028186,1.151304,1.3252299,1.0060679,0.48466897,1.3203294,0.49491656,1.1147594,1.2053834,1.0420702,0.97474146,1.1183038,0.6851471,1.1388063,0.85397995,1.309478,1.2183468,1.0077397,0.62249035,0.8085971,1.0161031,0.8247091,1.0957241,1.3549914,0.9404903,1.2807506,1.1770821,1.2787805,1.3988206,0.5618054,1.1049039,1.2353911,1.0769447,1.4777908,0.880843,1.044069,0.61371547,1.1647196,1.2271074,0.76526064,0.50162363,0.66963536,0.5391583,0.7414988,0.96756333,0.69180536,1.0244479,1.2931187,1.4292581,1.3633052,0.7501265,0.48100448,0.5562842,0.53324765,0.7443501,0.7891871,0.78712916,0.85612345,1.0160214,1.0505979,1.2567519,0.8383668,0.84785235,0.8846503,1.1949292,1.4213715,1.1294612,1.3939124,0.67769516,1.1534752,0.80567634,1.1501563,0.5432484,0.5018043,1.1469172,0.82804835,1.268657,1.251898,1.4057405,1.3458174,0.72644585,0.92828876,0.5565487,1.0457904,0.5557716,0.94905436,0.9260045,1.1254817,0.95561665,0.63344836,0.4580136,1.1847271
closet,0.6839557,1.4423772,0.68133986,1.3201759,1.246677,1.3016032,0.77111673,0.51849234,0.38862264,1.3358836,0.60205543,0.83600485,0.7523403,0.62468106,0.8017329,0.9624085,1.3732563,1.3377832,0.6018498,1.4287573,0.8567988,1.0271811,1.278816,1.1713209,1.2615921,0.82038367,1.2437639,1.3745197,0.0,1.0340568,1.2611442,0.774607,0.61975276,0.7680358,1.4336756,0.54481107,1.3652376,0.9436186,0.8719855,1.129096,0.61278605,0.66042745,1.1989657,1.0839063,1.351733,0.703262,0.8124985,1.3088379,1.4141482,1.0192199,1.1780088,1.198324,1.1553642,0.7230954,1.2009306,1.0036457,1.1071613,0.79730976,0.94730735,1.3925902,0.820641,0.80587137,0.9969978,0.7518599,1.1813703,0.6093198,1.0452399,1.2157793,0.98679066,1.0940825,1.4448256,1.4163573,1.3537203,1.3188424,1.2586145,1.456042,0.6654682,0.8675606,0.6549982,0.7400744,1.056121,1.3390641,1.3207186,1.4740622,1.3183614,1.1654518,1.0104042,1.1889367,1.1073761,1.0808498,0.70966876,1.1183647,0.88612545,1.139412,0.671574,0.67266893,0.9454772,0.7702992,1.241699,0.55266356,1.0439144,0.776953,1.4507494,1.4163117,1.0374955,1.2484823,0.805732,0.73130924,0.6466254,0.5895653,1.2968259,1.4031974,1.4072188,0.9685543,1.3113244,1.160239,1.1066808,0.77778304,0.9496607,1.1370069,1.4242926,0.6866237
coat,1.1368175,0.9961312,1.0766277,1.1204585,1.0395131,1.0356703,0.9946387,1.1414022,1.1459044,1.0489582,0.948627,1.1983826,1.0794528,1.1048009,1.0849528,0.9725766,0.8224483,1.0106848,0.977695,0.9233688,0.86088943,0.9571152,0.8117432,0.73185396,0.98404175,1.0718883,0.7795421,1.0213314,1.0340568,0.0,1.0145969,1.178932,0.9690345,1.1032637,1.0141155,0.9761419,0.9074868,1.1064832,1.0341396,0.7046181,0.89367133,1.1325303,0.8809617,1.0988357,1.0380996,1.1134062,1.1817929,1.0552864,1.0055884,0.95632255,0.99409443,1.0897509,1.063417,1.142213,1.0491472,1.0861151,1.1916989,1.1636612,1.1994059,0.9689954,1.101488,0.5345634,1.0549811,1.1788183,1.0397756,0.77363765,1.1661638,1.1291713,1.1077185,0.8403357,0.8936417,1.0316815,0.80021095,1.0274942,1.1094131,1.01197,0.9514449,1.1174947,1.0781176,1.0813267,0.96967685,1.0044508,0.9888353,0.9440814,0.8890073,0.9539263,0.85619783,1.0784549,0.90192705,1.0304934,0.63195217,0.71606565,0.69455683,0.8585499,1.1698864,1.1877,1.0653704,1.1021069,0.76635075,1.0034331,1.0705376,1.0622606,0.94609094,0.92512965,1.06191,1.0382497,1.2056632,0.60836303,1.2091764,1.2147956,1.0024991,1.0069714,0.92773616,1.2018917,0.82671916,0.9573473,0.75616604,1.0931894,0.85847044,0.6242509,0.97828287,1.0144424
