,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.4412367,1.438812,1.2981219,0.74896944,1.401821,1.3673513,0.99727476,1.0912551,0.80974853,0.5207942,0.5482464,1.5836678,0.7557471,0.7337876,0.7594988,0.5447491,0.7481411,1.0039189,1.5338047,1.5281162,0.78220725,0.8824898,1.299975,1.3213279,0.9372134,1.5529897,1.1982672,1.1550887,0.5930289,0.91545236,1.3926991,0.7805116,0.8641017,1.2739072,0.9892403,0.8052771,0.76793987,0.5713934,0.5715766,1.561214,0.587259,1.5850061,1.3660543,0.9603965,0.5656732,0.5976671,0.9469178,1.1615901,0.80816424,1.311022,1.3744414,0.7106406,1.3478086,0.8230283,1.4359429,1.1848236,1.0548007,1.2451392,1.4739026,0.6411297,0.6575608,0.80486274,1.3143665,1.1347651,0.7947696,1.2276123,0.9080454,1.0171342,1.3789868,0.8493214,0.84680563,0.6645917,0.7037021,0.84218097,0.7477054,1.4020804,0.79872,1.4248469,0.75855476,1.2944026,0.85559416,0.8842133,0.7064005,0.89489806,1.2877886,0.723989,1.5159773,1.4576777,1.5593234,1.3543968,1.4567627,0.916584,0.5662273,0.68077826,0.89675486,0.772293,0.9935049,1.5190203,1.5513055,0.65064096,1.20733,1.0760045,0.7316192,0.8450775,1.402189,0.85196763,0.8053175,1.0332258,1.3848584,1.1162784,0.9207235,0.9747987,0.69219303,0.7207258,1.1449409,0.974705,0.7748828,0.7383518,1.0018666,1.1433973,1.4089341,0.84499735,1.2901049,0.60470796,1.5404885,0.75630736,1.395177,0.8280825,0.88682604,1.5754687,1.0320518,0.9227954,1.4142727,0.6167673,0.8652555,0.86440337,0.6115441,1.3544316,1.4864093,1.4303007,0.965746,1.3433139,1.065829,0.9238153,0.8088881,0.92493623,1.3166447,1.0406828,1.5658524,0.7222639,0.975295
ankle,1.4412367,0.0,0.8059783,0.781527,0.84500426,0.95857227,0.9101342,0.8927154,1.0573251,1.2498515,1.2166255,1.3277154,0.69507277,1.1869794,1.0716081,1.177856,1.2924623,1.2708842,1.114759,0.81306565,0.85482943,1.3118036,1.0162975,0.94105583,1.0834186,1.101719,0.68565893,1.0671567,0.6900022,1.2216905,1.0850854,0.95491004,1.247993,1.1643947,0.9549886,1.0157574,1.2410731,1.1699034,1.2450554,1.2858899,0.71233314,1.4265001,0.8243798,0.74560994,1.1445243,1.2250897,1.1573327,1.1260602,1.0540291,0.9981203,0.50857854,0.7631843,1.1461535,0.8535175,1.0535747,0.27283633,0.88537586,1.0972975,0.26089054,0.767441,1.2010603,1.2525547,1.1480548,0.62684697,0.68984973,1.2715875,0.89320767,0.8748314,0.6111785,0.7067745,1.2101614,0.9498803,1.2211595,1.122952,1.1952409,0.9447465,0.72517824,1.197503,0.9324159,0.79859185,0.62299544,1.0949271,1.2272348,0.90640396,1.224973,0.62238216,1.099682,0.67041993,0.67712,0.43350244,0.529636,0.6419381,1.2144736,1.2664981,1.0655715,0.84043145,1.203044,1.0848914,0.73110676,0.745463,1.1543083,0.614743,0.9716006,1.286019,1.0928272,0.86006916,0.96175146,0.9717914,1.1295118,0.97379214,0.8597177,1.215471,1.1551677,1.140358,1.2281532,1.000338,0.9238076,1.2487682,1.0906688,0.83701473,0.63297343,0.8116263,1.3192823,1.0441419,1.259985,0.6467089,1.2867914,0.7801003,0.88741124,1.0820676,0.6349589,0.9948161,1.116833,0.8330958,1.3616617,0.96726084,1.2839732,1.3449976,1.0501373,0.23664033,0.5441148,1.1418674,0.76408976,1.1921492,1.1889757,1.267701,1.1496985,0.7039012,1.1059272,0.6343776,1.2375782,1.0531677
apple,1.438812,0.8059783,0.0,0.8564772,1.325602,0.20020813,0.28983694,0.6042409,1.0227143,1.4785684,1.2636055,1.5473248,0.39585346,1.5710101,1.3157291,0.90187967,1.4773238,1.3974831,1.0366296,0.34552377,0.4182676,1.428235,0.89311296,0.9115978,0.8043988,0.8438072,0.7378179,0.81903374,0.8346331,1.2675827,1.3263568,0.49625885,1.4825814,1.1302837,0.7455952,1.3562727,0.9181702,1.058252,1.496466,1.3817983,0.39671028,1.5955977,0.36391723,0.52654207,1.0322928,1.2639141,1.036384,1.3163722,1.2467164,1.402119,0.7108145,0.31442368,1.2150123,0.56111896,1.1112541,0.689262,0.53983986,0.955179,0.93074524,0.7687226,0.8426895,1.0721488,1.3829913,0.83991605,0.844136,1.206615,0.755512,1.1218792,1.1679518,0.46530712,1.2529755,1.0211617,1.2553507,1.44625,1.3353219,1.4508212,1.0149312,1.4003575,0.5483573,1.2981958,0.8809835,0.83107936,1.2161903,1.235983,1.1385809,0.77059305,1.0788641,0.25214905,0.72582155,0.6351374,0.67436266,0.1928246,1.4151596,1.2170426,1.4185369,1.3905783,1.3697672,0.772803,0.667909,0.58475024,1.0251125,0.83540434,0.9225098,1.196943,1.202791,0.65831685,1.0092155,1.0096152,1.1285051,0.62634933,0.86664224,1.4288037,0.87056905,0.9632807,1.2058619,0.768042,1.1432103,1.2631204,1.3608844,1.1290735,1.1958317,0.61627096,1.3683436,0.9650416,1.4242421,0.28353179,1.3788805,0.63068295,1.2641304,0.9173492,0.47740215,0.9272598,1.2876319,0.28440845,1.297937,1.2967869,1.1310296,1.5114198,0.4890424,0.5233623,0.5906848,1.2514907,0.781057,0.6624212,1.2622004,1.1679487,1.1082726,0.8789597,1.2080343,0.3387503,1.3371003,1.1636779
applesauce,1.2981219,0.781527,0.8564772,0.0,1.1170976,0.90467775,0.86185884,0.80797625,0.8826057,1.2150056,1.1990786,1.3962228,0.95432824,1.3231858,1.1737148,1.0676324,1.3234699,1.1905878,1.0065465,0.9106177,0.5878879,1.0939734,0.6950909,0.99486464,0.79944116,0.9814268,0.92105335,1.098513,0.8802199,1.2107596,1.0714557,0.82639503,1.3633809,1.2573068,0.8478243,1.143814,0.8195187,0.9302762,1.3238558,1.0872183,0.93156064,1.2490389,0.75384665,1.0269915,0.9610671,1.1980034,0.9774042,1.2332722,1.0199245,1.1204393,0.85000676,0.75916064,1.2156359,0.8298451,1.1401885,0.7269701,0.9377976,0.8066221,0.8621633,0.68854153,0.976391,1.1498528,0.8948971,0.80075294,0.8474832,1.2489034,0.78441185,1.1538979,0.73959905,0.93234926,1.21681,1.133216,1.058463,1.3313887,0.75035083,1.1880211,0.89533305,1.1611648,0.9135488,1.132504,0.8239583,0.75356644,0.9645614,1.0672247,1.1833233,0.8784573,0.8847561,0.9850564,0.8833335,0.7097588,0.8761988,0.74850404,1.0790589,1.1138567,1.1968626,1.1608973,1.0854006,0.72095,0.8935727,0.8604627,1.1468015,0.7662451,0.9650443,0.8894829,1.1089659,0.5940287,1.0370892,0.89802724,0.97521716,0.9718805,1.0434773,1.1463555,0.9894522,1.1091905,1.1690685,0.66359556,0.99542785,0.9796443,1.2029274,0.9568944,1.0231187,0.85531557,1.2951285,0.94383323,1.268273,0.92040837,1.246247,0.8684573,1.0564805,0.86808246,0.6659422,1.0696859,1.0025998,0.8625426,1.1750488,1.2241005,1.0605334,1.1574652,0.655479,0.78905886,0.76538825,0.9503209,0.9166802,0.938164,0.7186368,1.2249963,1.028721,0.9094142,1.0630001,0.90712756,1.2598871,1.0814527
arm,0.74896944,0.84500426,1.325602,1.1170976,0.0,1.4135921,1.4614472,1.1444386,1.2726796,0.6583895,0.82100713,0.5915397,1.4203274,0.7606142,0.42513096,1.3065364,0.7101027,0.95930475,1.1489547,1.4501501,1.5232028,0.8428234,1.023337,1.3331003,1.3601496,1.3671141,1.3717301,1.317473,1.0359834,0.9596424,1.0503747,1.3944781,0.6925738,0.95286953,1.312066,0.86923045,1.1318259,0.9919935,0.68271375,0.7615541,1.414998,0.8078441,1.459194,1.3179111,1.033343,0.9515961,1.0061103,0.856988,0.9865185,0.50604886,0.9671901,1.2752901,0.8708714,1.3728511,0.7862196,0.8303895,1.459732,1.294261,0.783304,1.3312769,1.3453015,0.8983419,0.6925509,1.0790449,1.1164459,0.9279023,1.223262,0.7675394,0.41047728,1.4106827,0.84040815,1.1798034,0.9114918,0.6442451,0.9191561,0.4163078,1.0398349,0.8222283,1.4559329,0.29104018,1.0698363,0.8864872,0.90011036,0.6926757,1.0445522,0.9894735,0.8235451,1.2125711,1.4245546,1.1517051,1.0952206,1.2872571,0.83220273,0.8998507,0.3452494,0.5459861,0.71634334,1.2226968,1.3197501,1.307486,1.1500785,0.8359501,1.3205891,0.89099455,1.0479356,1.4469163,1.1527143,0.77134806,1.2260933,1.4156771,1.0764841,0.7925644,1.1963842,1.2667797,0.7786963,1.1780361,0.78073233,0.9083963,0.39656252,1.0976937,0.7396934,1.3604288,0.8244366,1.1996813,0.59551144,1.337191,0.7800331,1.3217468,0.72798765,0.96718603,1.4391267,1.2011714,0.82334554,1.3857228,1.0537063,0.4954654,1.1449572,0.6556261,1.4816772,0.9783601,1.1337883,0.7601949,1.3976498,1.400057,1.0325439,0.94464284,1.142702,1.213434,1.1730874,1.2445078,0.85676366,0.84108627
ball,1.401821,0.95857227,0.20020813,0.90467775,1.4135921,0.0,0.14829707,0.7363267,0.99487174,1.4161172,1.258273,1.4642712,0.47180277,1.4853833,1.3655,0.7933092,1.3423293,1.2743548,0.968318,0.41996443,0.4443333,1.3527808,1.0435799,0.84126925,0.6522606,0.8005565,0.75933695,0.73806494,0.98250425,1.1823355,1.2477112,0.3962208,1.4500061,1.1159437,0.587527,1.3323557,0.93471456,1.0779941,1.422067,1.4273651,0.45189846,1.5112913,0.4143815,0.6308193,1.0878327,1.1705918,1.0047683,1.3282467,1.1278975,1.4432199,0.9203479,0.27712876,1.2219237,0.46001303,1.1913139,0.86491734,0.49942648,0.9312712,1.0116686,0.7760869,0.78788614,1.0898039,1.3699445,0.9640848,0.82234687,1.1980103,0.72718847,1.216271,1.2774485,0.49317968,1.1299839,1.0219789,1.2383034,1.4204614,1.3214623,1.436918,1.0565163,1.3805417,0.44643295,1.375701,0.9486778,0.9269364,1.1285871,1.1770852,1.0605705,0.9557117,1.2136941,0.44696724,0.7573433,0.85393953,0.79258174,0.3462234,1.3965602,1.1982038,1.4648461,1.3984487,1.3191949,0.74610186,0.68737316,0.62455964,0.942171,1.0125855,0.82869893,1.2324004,1.1409956,0.6511443,0.9810315,1.0697668,1.0462346,0.5708647,0.7875871,1.4158913,0.80440044,0.9271536,1.1786559,0.7526624,1.1750066,1.207288,1.4114358,1.0695926,1.239058,0.67665684,1.3115063,0.8620729,1.3849795,0.46256638,1.2918092,0.6124246,1.252049,0.8102783,0.55189544,0.8267356,1.2050837,0.41573942,1.2000252,1.3516921,1.0727087,1.4460241,0.3829382,0.7379633,0.7675881,1.276056,0.7638866,0.5572055,1.2286012,1.128314,1.0562104,0.90315205,1.1274945,0.48503917,1.3188094,1.1733608
balloon,1.3673513,0.9101342,0.28983694,0.86185884,1.4614472,0.14829707,0.0,0.6916078,1.0223625,1.3943889,1.3269699,1.5250803,0.5333057,1.4411322,1.3967144,0.79459286,1.4164615,1.2725322,0.9730981,0.50533015,0.4748329,1.3237932,1.1012243,0.7870673,0.6336632,0.7464116,0.6897612,0.8102015,0.89603204,1.1916056,1.161798,0.4726491,1.447947,1.1101211,0.57167983,1.3078313,0.85542333,1.1128808,1.4308597,1.4628723,0.4683966,1.4915526,0.4830923,0.63577974,1.0473673,1.1866757,0.9820307,1.245268,1.0453892,1.4514,0.9051446,0.3265953,1.2882338,0.50895596,1.2199153,0.8681719,0.47863203,0.8966463,0.98907167,0.7291341,0.6546678,1.12984,1.3268753,0.9160595,0.8010684,1.2247896,0.6790497,1.2296062,1.2894557,0.5234833,1.1128438,0.99438846,1.0375026,1.4296515,1.232653,1.4712073,0.99173576,1.3311234,0.4677807,1.3743775,0.84849155,0.88986605,1.136358,1.1403055,1.141507,0.9343338,1.21357,0.6125108,0.6883465,0.82492447,0.78623486,0.33292335,1.3558416,1.2675792,1.5151896,1.3826656,1.3031971,0.7850293,0.6523535,0.6209959,0.8704624,0.89821446,0.85179067,1.2278769,1.076819,0.60296434,0.9491621,1.1694562,1.0406674,0.64395,0.8325331,1.3279226,0.9463923,0.8877224,1.2708589,0.7478007,1.0923464,1.1213541,1.4447674,1.0913292,1.1967316,0.67768794,1.3034462,0.83016217,1.3992702,0.59538263,1.3699137,0.60519564,1.235158,0.82598555,0.52234364,0.7517382,1.1781645,0.35812843,1.227664,1.3923396,1.0809684,1.4533329,0.39610213,0.80763245,0.7548541,1.1700279,0.73712665,0.5438986,1.1573443,1.1584158,1.0854383,0.8294884,1.0646013,0.6119077,1.2711015,1.2205231
banana,0.99727476,0.8927154,0.6042409,0.80797625,1.1444386,0.7363267,0.6916078,0.0,1.1948769,1.2495956,1.1801462,1.3188139,0.85632855,1.3644276,1.1190572,1.0841743,1.1789702,1.1687047,1.0356752,0.8848014,0.82348883,1.2155213,0.80177075,1.0172895,1.1320884,0.9585816,0.96883863,1.1154665,0.82838666,1.1967651,1.3387183,0.8919368,1.3304646,1.1070558,1.0360287,1.0220205,0.815979,0.6407381,1.2480253,1.0706769,0.658446,1.384989,0.91616297,0.83366406,0.9806968,1.1636027,1.042152,1.289637,1.128073,1.1986787,0.85166025,0.72760975,1.1564131,0.8306111,1.0074253,0.8055799,0.68169224,1.018515,0.9191866,0.7929947,0.6826872,0.8611305,1.2077168,0.9372671,0.7150174,1.2080806,0.7274891,1.0406977,1.005504,0.91410553,1.1252823,1.1502212,0.76789975,1.2225077,1.1294894,1.1304791,0.82275844,0.98261344,1.0033906,1.1481242,0.90771335,0.55307305,1.0080172,0.8631413,1.1861959,0.8243946,0.9335774,0.8397637,0.8058803,0.8495172,0.93947697,0.5989179,1.1653514,1.1657399,1.226135,1.088669,1.1326262,0.8553655,0.7694284,0.82290876,1.0759654,0.5275865,0.9221577,0.9469845,1.1228341,0.730533,0.9272877,0.98775357,1.1436424,1.058556,0.8662168,1.2640042,1.0465413,1.1452129,1.16179,1.0688508,0.74044675,0.9197557,1.1706482,0.92291075,1.0905788,0.93529123,1.2998621,1.0008161,1.158573,0.77280015,1.2170818,0.9881556,1.0538127,0.8847928,0.6988744,0.90763,1.0832595,0.69585615,1.2798505,1.1347134,1.0691724,1.2995862,0.772781,0.8280008,0.7079505,0.79992604,0.8590699,0.8692893,1.0345258,1.1447837,1.2194877,0.923456,1.2349044,0.87768656,1.3092899,1.1894023
basket,1.0912551,1.0573251,1.0227143,0.8826057,1.2726796,0.99487174,1.0223625,1.1948769,0.0,1.145917,1.13164,1.0446461,0.8903747,0.91196036,1.2059789,0.892816,0.92773324,1.027962,0.7270446,0.77350473,0.6312031,0.6722903,0.76674545,0.7550316,0.4939465,0.8253833,0.6769457,0.84099483,0.9753741,1.1225861,0.6925418,0.8289274,1.0886276,1.1670444,0.9218815,0.90940213,0.94779134,0.9093206,1.0076373,0.8563437,0.9555563,0.81358284,0.7115575,0.94254965,0.9216459,1.123233,0.8095509,1.0321131,0.936779,1.0871195,1.2035967,0.9261466,1.1559043,1.0095202,1.2819916,1.1725733,1.0105317,0.6314225,0.92892957,0.84361684,0.9603969,1.1384381,1.2118127,1.1763992,0.89279175,1.212659,0.87694705,1.2919574,1.2373021,0.8267156,1.263456,1.0770848,1.1967599,1.1910015,0.83786243,1.2508081,1.1361071,1.1213753,0.81467324,1.2292681,1.0236263,1.0759676,0.9552467,1.123628,1.0567905,1.2056619,1.0538752,1.1324674,0.64892447,1.0642618,1.2045177,1.0516939,1.0017265,0.91419786,1.1818519,1.3190129,0.99213696,0.7541271,0.9907023,0.92536306,0.94639504,1.2597953,0.43649685,1.0317988,0.86116403,0.7308518,1.0526218,0.68785346,0.4811458,0.5946698,1.2488042,1.084199,0.7227938,0.87971616,1.0726533,0.9120758,1.2829969,1.0746363,1.2620023,0.78606766,1.1092446,0.76059437,1.0400347,0.9968186,1.2395871,0.99850124,1.1213623,0.752312,0.8368472,1.137593,0.90662897,1.0567985,1.06718,0.9512921,0.9301608,1.322294,0.97646457,1.0831019,0.6469166,1.088599,1.1029701,1.2649043,0.572031,0.6172146,0.7165545,1.1625824,0.9230231,0.9208601,0.7051947,1.0341777,1.1950119,0.92342585
bathtub,0.80974853,1.2498515,1.4785684,1.2150056,0.6583895,1.4161172,1.3943889,1.2495956,1.145917,0.0,0.75144625,0.36890292,1.3702749,0.40913403,0.7610668,1.2447908,0.62291497,0.60824746,1.1073983,1.4663335,1.2972364,0.65058625,1.0829252,1.1065999,1.1893634,1.2884467,1.1695876,1.1048625,1.1879005,0.90376943,0.73083675,1.3388902,0.40954828,0.8895256,1.0912309,0.75310683,0.9492009,0.8824431,0.5895238,0.7502523,1.4212141,0.41737926,1.3818392,1.3843007,0.8754772,0.9500354,1.1916928,0.56082433,0.5496969,0.76814264,1.3582425,1.3863897,0.67749965,1.3806484,0.9430365,1.3873956,1.3674996,1.2882853,1.1577649,1.2436355,1.322923,1.0190592,0.7265009,1.2997092,1.4083624,0.78500324,1.3639808,0.9902181,1.0419767,1.5227048,0.65611184,1.2714169,0.7257004,0.65945536,0.9031294,0.66591436,0.9505218,0.5245735,1.2209994,0.8586485,1.1845026,1.0193782,0.8309395,1.0378066,0.97348547,1.2608294,0.90789163,1.3590362,1.2914613,1.4201069,1.3828651,1.4511402,0.5363525,0.768271,0.6802107,0.69841075,0.7258978,1.1211683,1.2509462,1.2847502,1.1723298,1.091181,1.212673,0.9268034,1.0406014,1.1011305,1.1816026,0.93461615,1.1829181,1.2886965,1.1948326,0.38758695,1.1611066,1.3009719,0.62440103,1.1781343,0.9465968,0.806122,0.69379145,1.0265278,1.0454408,1.408277,0.34725702,0.61654687,0.3467878,1.4327381,0.4086107,1.2825279,0.825924,1.0650264,1.4046979,1.2407011,0.8663701,1.4538789,1.0179139,0.64814913,1.0260197,0.41257107,1.2597331,1.4456058,1.3511484,0.7261742,1.3370738,1.2820145,0.7998018,0.8406644,1.1231326,1.2719538,1.0315815,1.4189819,0.66970015,0.82342327
