,alligator,ankle,apple,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coat,coffee,couch,crayon,crib,cup,dish,dog,doll,door,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.1428154,1.2694826,1.2386628,1.2280177,1.0201757,0.93455505,0.94156504,0.7649569,0.7926346,1.2778836,0.95892334,0.76192385,1.2159036,0.8885933,1.0721719,1.3038299,1.356888,1.2331749,0.8785738,1.0040202,1.2833309,1.3411281,1.0972271,0.9133824,1.1562277,1.0771081,0.92789173,0.9821373,0.94672155,1.3923888,0.9671286,1.3651332,1.0801945,0.88115513,1.1643554,0.90971994,0.92415005,1.2096653,0.79865295,1.0527047,0.806069,1.0692286,0.8944775,1.0841734,1.0652208,0.9579395,1.0173968,1.13653,1.2523935,1.2352983,0.9715507,1.2131785,0.8797295,1.0425292,1.3055272,0.9752873,0.9139811,0.82598984,0.90715075,0.82473814,1.1951386,1.0528251,1.1408261,0.22448754,0.86489844,0.98717004,0.8912135,1.0240517,1.0757061,1.2970209,1.190912,1.3104346,1.1080904,1.2676036,0.9957388,1.0168798,0.875237,0.9167967,0.6187828,1.2328364,1.2228847,1.047135,1.099818,0.584202,1.1400261,1.1986818,1.0250713,1.1547109,1.0290385,1.0081621,1.036234,0.9259288,0.17650187,0.87070113,0.83009714,1.1448408,0.94069815,1.2070198,0.98735833,1.0901948,0.92864436,1.3798428,0.9079198,1.0656192,1.0350747,1.104179,0.9605676,0.83588064,0.8838023,0.90309095,1.1707088,1.2938881,1.2222453,0.86843574,1.081685,1.1538041,1.1138233,0.9927428,1.0638361,1.1207169,1.2715515,1.3379496,1.0823044
ankle,1.1428154,0.0,0.93293905,0.9524507,0.9192875,1.0726097,1.1321515,1.095333,1.0414253,1.1837369,0.81587994,1.1342144,1.0097195,0.8552812,1.1958594,1.0492251,0.94392395,0.9697653,1.0187023,1.1937611,1.0791271,1.0292996,0.99524474,1.0847182,1.0527973,1.1052341,0.9638021,1.0436966,1.1495956,1.1219978,0.80816084,1.0525178,0.9904584,1.1826162,1.0310203,1.0081816,1.1952329,1.0788103,0.90358037,0.95199,0.7841344,1.0100858,0.6535429,1.1558572,0.87722737,1.0968615,0.9635404,1.0692092,0.98197585,0.6665653,0.8654312,1.172419,0.9806072,1.0718057,0.7570102,0.73203367,0.9051939,1.116018,1.1259055,0.94705313,1.040014,0.856245,1.0083003,1.0692271,1.1287992,1.0840127,0.9650091,1.1367469,0.9191053,0.9658542,0.86611587,0.85430944,0.7352746,0.74424684,0.9155335,1.0283095,0.8160763,1.0706985,0.94719577,1.1895485,0.9223675,0.9760252,0.6875062,1.0751792,1.1060314,1.0858055,1.1241685,0.8972289,0.9298276,1.0147847,1.0097595,1.1612577,0.9851606,1.1793853,1.2023319,0.9573268,0.84404606,0.8207584,1.017569,1.1177704,1.0525801,1.1865447,0.6490242,1.1553618,1.0458374,1.0309739,0.99194664,1.0366436,0.91151917,1.1325006,1.13132,0.89110756,0.5437966,0.7209776,1.1321087,0.98027736,1.1383824,1.1330743,1.1640352,1.1434904,1.1068343,0.90922016,0.7715574,1.1259748
apple,1.2694826,0.93293905,0.0,0.43196023,0.47139376,0.8985251,1.3564426,1.4475315,1.0894955,1.3850129,0.7298419,1.4488665,1.3439547,0.6784904,1.2546124,1.2592221,0.38466823,0.36803854,0.6654834,1.3155917,0.84160024,0.6803601,0.5893203,0.92566836,0.97362554,1.122629,0.696517,1.3366576,1.2818536,1.2906468,0.41100127,1.2723682,0.34823608,1.0063529,1.0046732,0.67678535,1.3240795,1.2935493,0.396917,0.98736924,1.0042495,1.0866157,0.9771443,1.1618497,0.32370913,0.71889997,1.1784494,0.7768068,0.87832767,0.48154783,0.7085992,1.2141069,0.691149,1.2054127,1.1619762,0.3237617,0.8532219,1.3095708,1.2777032,1.1672382,1.246113,0.8648587,1.0253847,0.85201037,1.1447381,1.0680275,1.2475156,1.2052357,0.98679847,0.9312793,0.23560655,1.0326612,0.41151643,0.8845035,0.32587206,1.342017,1.0545814,1.3576921,1.3652511,1.1833375,0.62085706,0.5742539,1.061525,1.1163008,1.1790752,0.69036996,0.6872089,0.67656434,0.5995361,0.9858076,1.0903342,1.2841082,1.0287085,1.193034,1.2417077,1.349982,0.98604375,1.2612348,0.89067376,1.3722692,1.1624299,1.2808591,0.45444632,1.2077744,1.1823096,1.206718,0.94910514,1.2241175,1.3097904,1.2486308,1.3858029,0.82216966,0.6185806,0.7513603,1.3411217,1.0696688,0.8675287,0.99892384,1.1072136,1.1627817,0.9254564,1.0068556,0.4034624,1.1461655
ball,1.2386628,0.9524507,0.43196023,0.0,0.41198653,0.77377003,1.2834197,1.3557289,1.0849645,1.3717735,0.87915933,1.3682412,1.3262242,0.8538019,1.1457565,0.938492,0.69830644,0.5423368,0.5479411,1.0651269,0.7312067,0.4979512,0.6466787,0.9038461,1.0465336,1.0703704,0.76165193,1.3242302,1.182702,1.2467797,0.66904116,1.1138773,0.47371656,0.9147086,0.9060216,0.856125,1.3805503,1.2137433,0.5676286,1.1342187,1.0695156,1.2096962,1.1138446,1.123007,0.62380934,0.8132739,1.1017766,0.64208347,0.8920621,0.88509536,0.67026436,1.0838443,0.6341467,1.3147566,1.1683027,0.55147195,0.8987971,1.1938052,1.2674927,1.2382532,1.1456683,0.90530115,1.0271039,0.8550879,1.1214858,0.5944471,1.1348389,1.1601787,1.121039,0.8643589,0.6783657,1.1001158,0.77039576,1.0121716,0.5629816,1.337313,1.1667861,1.3333696,1.2977467,1.1207572,0.75520635,0.7720971,1.1778831,0.9619258,1.1582563,0.7491871,0.6907184,0.820043,0.35371292,1.0018489,0.97232443,1.2815177,0.6077577,1.0929078,1.0844891,1.418988,0.83783805,1.2665601,0.75032943,1.392947,1.0356611,1.1814384,0.6556096,1.0822067,1.0725046,1.0812073,0.99769384,1.1045898,1.4103376,1.1788199,1.2737255,0.73402405,0.8811747,0.96800905,1.3548127,1.0640515,0.65682584,0.88199407,1.0276812,1.0987343,0.9857244,1.0782092,0.7167779,1.1534382
balloon,1.2280177,0.9192875,0.47139376,0.41198653,0.0,0.7844957,1.3206323,1.2808973,1.1149454,1.4135866,0.76949716,1.4108546,1.3029478,0.6988843,1.2110255,1.2021933,0.6534997,0.5020412,0.5113052,1.1562046,0.684662,0.65908587,0.6331928,0.97827566,0.93862003,0.9983175,0.7091632,1.3542056,1.2377503,1.3175342,0.5648697,1.2782502,0.444784,0.94684887,0.9862474,0.7856897,1.351001,1.2194471,0.53968215,1.0772569,1.0070847,1.2713952,1.0574996,1.1805937,0.62021244,0.708815,0.9374771,0.76334065,0.6932156,0.75265944,0.6325419,1.2643392,0.5889734,1.3202096,1.1912261,0.537288,0.9492629,1.3499613,1.3258631,1.1636863,1.3274909,0.7456812,0.87151456,0.7177358,1.1886804,0.89359653,1.0825447,1.362211,1.0791148,0.6554485,0.61059934,0.9526745,0.57901156,0.9875582,0.5054399,1.20133,1.0723166,1.4035397,1.3871864,1.2410313,0.5935051,0.6468264,1.0458806,0.97987217,1.158456,0.65127003,0.6713706,0.78489864,0.50285065,0.989612,0.98290014,1.1840367,0.82545894,1.1551753,1.35042,1.4578532,0.8097955,1.2760648,0.7802086,1.3216591,0.83160424,1.3737365,0.5564228,1.1976277,0.9140611,1.1866206,0.827078,1.3055413,1.4147418,1.3528426,1.3362597,0.681107,0.7951715,0.8237462,1.2800231,0.95711964,0.9182767,0.8784128,1.1273522,1.204687,0.85659695,0.9175718,0.59959084,1.0526463
banana,1.0201757,1.0726097,0.8985251,0.77377003,0.7844957,0.0,1.0334133,1.2101738,0.91690785,1.2285038,1.1548423,1.2930708,1.0460526,1.0074732,1.0711558,0.9217418,1.0505538,0.8493359,0.38886642,0.85805047,0.28045022,0.6533655,0.96338546,0.9606904,1.1388416,1.0057915,0.9379763,1.2768269,1.2123816,1.1911025,0.9153635,1.1839213,0.8406291,0.829571,0.93647784,0.93919396,1.2667184,1.1351688,0.79852235,1.00989,1.1824763,1.1274769,1.127716,1.019619,0.73293364,0.7012259,0.86040634,0.44700074,0.941378,1.1740487,0.74841034,1.0244744,0.7937708,1.2201662,1.0019267,0.9825489,1.074084,1.0668495,1.0868382,1.1892667,0.9239623,0.94898474,1.0542883,1.0083122,1.020771,0.95899045,0.8717743,1.041507,1.1015623,1.1016651,1.1039119,1.0834599,1.1237595,1.1637149,0.826539,1.2227085,0.992192,1.1077969,1.2532797,1.0349493,0.9846878,1.0186107,1.1955538,1.014857,1.0358557,0.81487155,0.7312114,0.8316087,0.77966774,0.7026372,0.8943713,1.2765737,0.95409787,0.9770034,0.88268006,1.2778114,0.9022099,1.2424545,0.7007631,1.1929411,0.8294021,0.99479634,0.9815771,1.0060098,0.98022634,1.1041073,0.9148385,1.1355886,1.2963604,1.1558253,1.2592484,0.66984636,1.0777229,1.1358572,1.0149032,1.0496604,0.4986602,0.7192176,0.95927185,1.0422076,0.9489269,1.1467202,1.0104803,1.1107739
basket,0.93455505,1.1321515,1.3564426,1.2834197,1.3206323,1.0334133,0.0,0.79409206,0.99130875,0.6325778,1.1981391,0.6495018,0.6784058,1.2512155,0.81087315,0.8198642,1.3264269,1.2891622,1.1142501,0.7112976,1.0019735,1.1087576,1.21709,1.0928234,1.1497895,0.8745663,1.2393444,0.7973682,0.77457637,0.7619178,1.3108976,0.7499357,1.2834704,0.962563,1.0474911,1.1766815,0.8129034,0.8060943,1.328232,1.0537436,1.1427624,0.9502533,1.1026795,1.0386673,1.2893889,1.0500095,0.99774736,1.0456861,1.0332882,1.3097602,0.981797,0.9571116,1.0948185,0.8832052,0.9149521,1.3071,1.1992048,0.8781993,0.78950775,0.93302655,0.81492144,1.1326742,1.1152362,1.1153228,0.95455074,0.9751518,0.7594771,0.8861729,1.0240486,1.1408901,1.336273,1.0266119,1.3464564,1.1526932,1.2922194,0.8416052,0.9429117,0.7413408,0.81286657,0.8537308,1.3067851,1.3583523,0.9526714,0.91250366,0.9126082,1.2011075,1.1485713,1.1446232,1.2479874,0.77735555,0.8809052,0.9653398,1.0556345,1.0027403,0.8437323,0.7904757,0.90152633,0.8842266,0.95389366,0.8922092,0.96800405,0.85377306,1.2003511,1.0517278,0.88019955,0.90847176,1.0869464,0.8178082,0.8578395,0.80489945,0.68355995,1.1628209,1.2230903,1.2010814,0.8052976,0.90612507,1.0159072,0.97262806,1.0273559,0.8465923,1.2085009,0.961943,1.2736797,1.0447793
bathtub,0.94156504,1.095333,1.4475315,1.3557289,1.2808973,1.2101738,0.79409206,0.0,0.86865246,0.5986946,1.1479963,0.45389938,0.85959697,1.1565655,0.8284201,0.71291465,1.2574418,1.4090588,1.153527,0.91526616,1.1760172,1.0887077,1.150464,0.9493994,0.81625533,0.9320831,1.3836025,0.7218691,0.8279781,0.6811062,1.3740826,0.80145663,1.345232,1.1309156,1.1210725,1.2921314,0.4864968,0.920023,1.3178631,0.9190767,1.1298597,0.9530738,1.0751387,0.9287636,1.3337829,1.2405641,1.0298138,1.312913,1.1232281,1.3373613,1.3056273,0.69304264,1.3408985,0.8602165,1.040986,1.367037,1.0718646,0.73883665,0.8326627,0.946058,0.8045714,1.1983846,0.9193648,1.1500638,1.0247067,0.9491811,1.0455222,0.75037926,1.0935206,0.9273873,1.3424646,0.94972,1.3331434,1.1979662,1.3987715,0.52414775,1.0789313,0.8393249,0.7523842,0.91485685,1.1775862,1.1451708,1.0251148,0.83659667,0.94374263,1.2164502,1.3063589,1.3024096,1.2227949,1.2644907,1.0637667,0.52049744,0.9601536,1.0994296,0.8483508,0.7441187,1.2359091,0.91208297,1.1146826,0.45558697,0.7056883,0.6206158,1.3718445,0.7582592,0.97778606,1.0079666,1.0294394,0.900054,0.6791214,0.8326516,0.71403545,1.2289196,1.2996097,1.1738921,0.7326833,1.039824,1.1535509,1.1328087,0.9368529,0.969889,1.1069001,0.9813323,1.4183114,0.79625785
bear,0.7649569,1.0414253,1.0894955,1.0849645,1.1149454,0.91690785,0.99130875,0.86865246,0.0,0.960366,1.1858962,0.9426046,1.0174782,1.113392,0.9905585,0.87154174,1.1690421,1.2011477,1.0055804,0.9734487,1.0100938,1.0001385,1.1158003,0.9839451,0.91194445,1.0974934,1.1368647,1.0440619,0.95454574,1.0538095,1.1973078,0.95198536,1.182448,0.99516714,0.5085797,1.0895748,0.9388583,1.0324647,1.110887,0.54545987,1.0584772,0.9464797,1.0794728,0.96256936,0.93455124,0.916435,1.0255767,0.8644254,1.1023173,1.1771386,1.0878412,0.7562406,1.1336583,0.927659,1.0264571,1.1990309,0.9297641,0.886609,0.9058495,0.9625065,0.9240743,1.1325835,1.0344225,1.162226,0.84852004,0.9226387,1.1037444,0.9239899,1.0708418,1.0676757,1.1809599,1.19534,1.2049923,1.1630075,1.1072716,1.0018541,1.0756564,1.0361925,0.99799293,0.9049485,1.1526277,1.1055182,1.1149788,1.1420081,0.898535,1.0266907,1.0835109,0.96456057,0.9521325,1.2103851,1.0726486,1.0063844,0.9009192,0.83225363,0.92364144,1.0079802,1.0594229,1.060563,1.0079848,0.97501886,1.0088899,0.80845386,1.2138078,1.0068655,1.132613,0.9764923,0.9815287,0.9644696,0.9479622,0.9040951,0.9591522,1.1499369,1.178722,1.1563303,0.9783782,1.1529918,0.96747637,1.0124719,0.87818986,1.0677693,1.0233225,1.1783642,1.2146945,1.0151253
bed,0.7926346,1.1837369,1.3850129,1.3717735,1.4135866,1.2285038,0.6325778,0.5986946,0.960366,0.0,1.2495124,0.6152556,0.62566054,1.306282,0.49911314,0.8959728,1.3043044,1.4267952,1.3781564,0.89991075,1.2293242,1.3493426,1.331378,0.9977596,0.9618063,1.005564,1.2916617,0.5258411,0.6508288,0.41772223,1.4015328,0.7290481,1.4444841,1.1367862,1.1772069,1.2449002,0.6498803,0.85171133,1.3537472,0.8839456,1.1042423,0.8578353,1.0797583,0.9118453,1.2538645,1.2643006,1.0993285,1.326221,1.2586707,1.32741,1.1645627,0.87167513,1.2889395,0.85823405,1.015688,1.3575794,1.1940004,0.8185834,0.6149789,0.9633704,0.7025944,1.2370495,1.0632993,1.1188568,0.921788,0.9473782,0.8105563,0.6828201,1.0254735,1.0565113,1.3192104,0.9145336,1.4005088,1.1073047,1.3593512,0.6952983,1.0730164,0.58934224,0.7555038,0.82322216,1.2801821,1.2897931,1.1229206,0.6289176,0.9278944,1.3005316,1.3068208,1.3111948,1.3529611,1.116966,1.0639116,0.72523123,1.0297402,0.99198174,0.8454924,0.62344533,0.99625385,0.82127726,1.2658548,0.638379,1.0575767,0.7574637,1.3306471,0.72692287,1.0777036,0.9668366,1.2062335,0.80193275,0.67047966,0.7605859,0.5279788,1.2485198,1.2538772,1.1733599,0.7635286,0.87136674,1.286771,1.1310486,0.98985493,0.9963216,1.2444944,1.0249953,1.3721144,0.98222536
