,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,closet,cloud,coat,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
couch,0.940745,0.912684,1.3114413,0.78236365,1.3545254,1.1666455,1.3553903,0.91270936,0.63403875,0.6282067,1.1890311,0.7085618,0.72936404,1.3853517,0.7685021,0.96075577,1.2751862,1.3471773,0.9370864,0.9966478,1.0044637,1.1109376,1.1172942,0.9298097,1.2847358,0.7754849,0.16135752,1.2379605,0.91244864,1.0573107,0.6480557,1.1750891,1.1713592,0.9281125,0.0,0.92132527,1.3600081,0.7002195,1.2585907,1.2274752,1.1739392,0.643741,0.69424856,0.81873894,1.041214,0.9440803,0.92055213,1.0633183,0.9285161,0.84425575,1.4133551,1.4026716,0.7497859,1.2328446,1.3144829,1.1068285,1.1735051,1.2474312,1.0400401,1.1978571,0.8048464,1.0480189,0.8125149,1.1946101,1.0065172,1.1169864,0.95811015,0.949047,0.6365967,1.2264209,0.9104817,1.351784,1.1336414,0.8947965,0.7151257,1.1522145,0.8697331,1.0179621,1.1020367,0.86693776,1.0866295,1.2961926,0.5425116,1.2682644,0.6830926,0.4744736,0.856791,1.3314785,1.118821,0.8483405,0.6649654,0.80185914,1.1792729,0.8142975,1.3960544,1.1261218,1.1554651,0.50921124,1.2928311,1.1261222,0.83206326,0.9268726,0.6136781,1.1589102,0.47571206,1.1700165,0.81452376,0.9581877,0.98716116,1.2907889,1.0541059,1.3002784,0.82510793,1.1666845,1.0052732,1.2993245,1.0808415,1.0024732,0.7220747,0.93409675,0.5683628,1.1956441,0.95650214,1.1293576,1.0844693,0.86481273,1.3301036,0.9113895,1.1059579,1.1775023,1.172111,0.8347554,1.2347429,0.8503541
cracker,0.876848,0.92348254,0.9668985,0.85450065,1.0321904,0.868998,0.7265622,1.1517456,1.1291052,1.0427397,1.0562671,1.2444252,1.0201299,1.0847178,1.0942615,1.0911385,1.1516491,1.2311256,0.7920954,1.1248955,0.17161554,1.3285378,1.3043884,1.3840119,1.3337926,1.0728949,1.1229458,1.057647,1.316003,0.9877095,1.0661442,1.1352901,0.43316555,0.7963578,0.92132527,0.0,1.0360856,1.1718946,1.0688822,1.3056378,1.0417625,1.2568963,0.93719053,1.1500787,0.9085231,0.38009024,1.2281538,0.972726,0.6276357,1.170819,0.98158264,1.1997607,0.5928998,1.0833244,0.99274117,0.9482755,0.88600194,1.1961551,1.1346866,0.91940606,0.9552758,0.725656,0.7134926,0.9918234,1.1228917,1.1106877,1.1282345,1.2445768,1.0232967,1.0616132,1.3205131,1.2351713,0.77318156,1.0317147,0.7645421,1.4072181,0.78438246,0.5143294,0.64881027,1.0882514,0.81122947,0.80814165,0.98448217,1.1317599,1.0605829,1.0166016,0.9547846,1.177024,1.1496608,0.53028554,0.72720444,0.26011056,1.2043195,0.81947243,0.8923555,1.2134284,1.0929414,1.085118,1.1085904,0.47701645,1.0900934,1.0383198,1.0604017,1.2073854,0.90391946,1.201972,1.2001848,1.1268349,1.2204344,1.0330312,1.1464854,0.91707426,0.919359,0.9795861,1.1728245,1.2394948,0.712006,1.4211786,1.1452286,1.1135025,1.0940814,0.91337764,0.7306547,0.8593658,0.9715614,1.0002239,1.1013002,0.8450247,1.1824636,1.2401012,1.3680861,1.2643831,0.9629097,1.247374
crayon,1.0494976,0.8376591,0.38345575,1.4745872,0.7805096,0.44417286,0.6628413,0.9093105,1.4995399,1.495925,0.29620928,1.2967263,1.5293459,0.42165494,1.4676871,1.3136187,0.66660845,0.21902049,1.0436635,0.9267694,0.8877968,1.0079144,0.8458814,0.6379149,0.86644816,1.3025672,1.3374599,0.57129276,1.190419,1.0831426,1.4898108,0.84689397,0.78812355,1.1967269,1.3600081,1.0360856,0.0,1.5200561,0.24098802,1.1412413,1.0731027,1.2915664,0.94572127,1.3981801,1.0537281,0.6292528,1.0766658,1.2954932,0.7764366,1.353766,0.33724052,0.68590647,0.72293776,0.76444554,0.6625196,1.3666334,0.4850778,0.43248326,1.3423374,1.0705421,1.4043454,0.84895813,1.2772899,0.35732436,1.2878151,1.0641329,1.1205539,1.3723321,1.4670957,0.5595602,0.8957522,0.3468213,1.1535193,1.2369866,1.4374532,1.0323689,0.7858576,1.0582365,0.4954033,0.7367607,0.39166027,0.5952711,1.5056171,0.9181922,1.4492035,1.4223324,1.4336905,0.20587444,0.92428166,1.0474849,0.83272976,1.1854223,0.8505208,1.2232723,0.5427569,0.71823984,0.34681278,1.4503434,0.92211515,1.1864252,1.1869909,1.484186,1.5357974,1.0867833,1.2094796,0.8292632,1.2427691,0.60781974,1.3375989,0.29079103,1.2723817,0.5010779,0.8383558,0.8098572,1.3054588,0.48279566,0.6286568,1.0921655,1.5753094,1.3444903,1.622897,0.3629502,0.6802347,0.3663572,0.9594803,0.72065544,0.8503361,1.2222998,1.2529869,0.7588527,1.1123891,0.8355055,0.2624449,1.3446621
crib,1.1187222,1.3030866,1.3281839,0.6804003,1.2347246,1.4487581,1.2810278,0.7666317,0.5397443,0.6154064,1.345634,0.57035965,0.6763655,1.3752798,0.6038775,0.6281137,1.0660216,1.3652822,0.94140804,0.73852843,1.2542439,0.90385115,0.9299805,1.0154072,1.0880663,0.88747597,0.53095573,1.2417967,0.77913135,0.9940058,0.7508281,0.9749793,1.3102839,0.87801313,0.7002195,1.1718946,1.5200561,0.0,1.4450915,1.0485079,0.9747094,0.64378977,0.95988876,0.7493557,1.0568801,1.3913574,1.0876387,0.94014364,1.3021569,0.6655966,1.4774418,1.2170367,1.3384004,1.0438857,1.2904339,0.7854557,1.4137521,1.3877288,0.7764571,0.99472326,0.83188313,1.2168369,0.95294154,1.4964145,0.7534321,1.0873594,0.81972194,0.80136406,0.7509296,1.3128774,0.59476393,1.3911343,0.99044377,0.7625603,0.8686215,0.94845676,1.2015684,1.175604,1.5109732,1.1636597,1.4887886,1.2853551,0.6330179,1.1055075,0.73112273,0.823156,0.6655798,1.3820353,0.9955128,1.0895073,1.1664397,1.001494,1.125204,0.8160145,1.3783178,1.1730113,1.4167559,0.6183345,1.1969475,0.95553315,0.87773496,0.6309529,0.693669,1.0097276,0.96572125,1.1291927,0.6955437,1.0295157,0.606502,1.5743955,0.9153082,1.4688951,1.2696337,1.0732763,0.8090831,1.3088406,1.3727334,0.7373623,0.67218137,0.71717036,0.43044198,1.3734711,1.3873632,1.3478987,0.9518294,1.1596546,0.9471277,0.8176061,0.8905797,1.1175389,0.9410464,0.809302,1.5106472,0.7130908
cup,1.0849262,0.80616295,0.41162336,1.4907261,0.74790573,0.5105377,0.73077834,0.7608452,1.3848991,1.4884328,0.20408261,1.3065434,1.4243727,0.4807123,1.4835624,1.393285,0.6950023,0.16275877,0.7623082,0.9399476,0.96869546,1.0106313,0.68210316,0.4663037,0.86158967,1.160898,1.2481407,0.50863373,1.1894693,1.0216907,1.467165,0.8879523,0.73234206,1.131084,1.2585907,1.0688822,0.24098802,1.4450915,0.0,1.0850878,1.1459935,1.1337239,0.8078807,1.4158626,1.1056037,0.64403754,0.98156136,1.3228216,0.97783035,1.2935729,0.3720243,0.62700576,0.8177767,0.8493352,0.80111563,1.2748656,0.57274413,0.44424582,1.3247954,1.1841259,1.3489796,0.89435285,1.3874154,0.2205671,1.3094106,1.0936465,1.2022834,1.4310546,1.4932106,0.83183604,0.8093931,0.32135743,1.1775107,1.1738831,1.424974,0.98154813,0.7875949,0.98684835,0.63331187,0.7064239,0.47155464,0.5950925,1.3178816,0.9670938,1.4507859,1.383996,1.4068534,0.4993512,1.1403663,1.1676248,0.7947678,1.2432735,0.8230537,0.9964881,0.52335715,0.6562245,0.29016483,1.2555667,0.8918766,1.2114325,1.2224237,1.5451502,1.4793599,1.1721977,1.1575141,0.9252081,1.25276,0.3841427,1.467777,0.38741517,1.2140632,0.5905758,0.81642437,0.9618256,1.3949082,0.62478405,0.6910058,1.0801508,1.5643854,1.2994708,1.5228497,0.30127323,0.8335429,0.44697553,1.1787082,0.644828,0.92273253,1.2325579,1.1996577,0.627808,1.0447958,0.864004,0.3031695,1.1859368
dog,1.0021039,0.9640514,1.0707752,1.019663,0.88857067,1.1199152,0.9868796,1.0610293,1.0509708,0.93418974,1.1320697,0.98741955,0.97023517,0.9284495,0.99035394,1.0690737,0.9166815,0.9559185,1.2259293,1.1475768,1.2845161,0.83400065,0.98501486,1.0281157,0.74291575,0.6603316,1.1452799,1.0683388,0.9899272,0.9943027,0.9496871,1.0305799,1.1476523,0.99728405,1.2274752,1.3056378,1.1412413,1.0485079,1.0850878,0.0,0.7677422,0.9986071,1.2145265,0.85527027,1.090485,1.2636245,0.5250568,0.9546383,1.2759683,0.898206,0.88251966,0.72260606,1.2648839,1.0460364,0.8291916,0.86134136,1.167371,0.76115966,0.8658515,1.0300689,0.9499517,1.1439134,1.117218,1.0988486,0.9982708,0.7023946,0.9415878,0.91160524,1.0234756,1.046859,0.9531074,0.8293818,1.086063,1.0557238,1.121134,0.58194304,1.295058,1.0402502,1.145491,1.0143843,1.2140346,1.0983593,1.0674562,0.80052185,1.017993,0.9584188,1.0294313,1.0635337,0.87406075,1.1760361,1.2905579,1.2922525,0.82113385,1.2291497,0.94652426,0.9938459,1.1307259,1.0487561,0.7506352,1.0225939,0.8947797,0.96763486,0.96566767,0.84329844,1.1790497,0.8250975,1.0398489,1.157508,1.0084883,0.9444768,0.66051525,1.0583456,1.051608,1.0195596,0.95234406,0.94539165,1.186718,0.8327113,0.9192636,0.99225616,0.89680487,1.184751,1.1469511,1.2279603,1.1332204,1.0970366,1.008303,1.1768906,0.95922047,0.8990438,0.736969,1.0822678,1.132254,0.9643347
doll,0.91721976,0.95200706,1.0589616,0.9620486,0.8923136,0.9582599,1.0386311,1.089053,1.1534705,0.9540499,1.206863,1.104579,0.9719207,0.9330905,1.0457165,1.1059101,0.9509163,1.0689465,1.1265852,1.023322,0.91821235,0.8862826,1.0549524,1.1713525,0.98305815,1.1561104,1.1170907,0.988162,1.2158079,1.0382407,1.0424068,1.0847174,1.1163472,1.0173758,1.1739392,1.0417625,1.0731027,0.9747094,1.1459935,0.7677422,0.0,1.1166413,1.122662,0.9611508,0.96947324,1.1260024,0.9466419,1.0269179,0.848361,0.97691655,0.9762713,0.85498595,1.0284768,0.9528501,0.8973167,0.9110195,1.0449736,0.8915808,1.0727463,0.82787144,0.99652165,1.0565544,0.71631956,1.0829698,1.176754,0.8565353,1.0365198,0.9102986,1.0997275,1.0291463,1.0487312,0.93138856,0.963379,0.9256272,0.9272852,0.83320487,1.1039164,0.8312975,1.0338706,1.0045829,1.0537513,1.0392574,1.1970066,0.7907423,1.0376916,1.185906,1.0759699,0.98386973,0.75726527,0.9825353,1.1009966,1.0563091,0.8545505,1.1239035,0.9864186,1.1089303,1.0875247,1.2322583,0.7942629,0.98365206,0.8954974,0.96054685,1.0572178,0.89463764,1.1160604,0.8845897,1.1488026,1.2576134,1.0182588,0.97100157,1.1560229,0.9168539,0.9868593,0.8502101,0.9636472,1.07448,0.8596193,0.8830582,0.9325594,0.9868341,1.0337398,1.1575882,0.8492201,1.0732961,0.8673547,1.0351377,0.9165614,1.1412538,1.0398829,0.9224488,0.94442457,1.0436453,1.0638403,1.0307039
door,1.0736156,1.1721281,1.2395916,0.8804836,1.2746972,1.210529,1.3389504,0.9644073,0.49934822,0.8197504,1.1535301,0.86079234,0.78842044,1.2970761,0.89960116,1.003618,1.2088431,1.154213,1.0485508,1.0293736,1.2641199,0.9434904,1.0590423,0.76886845,1.1173985,0.6896405,0.6664636,1.0522887,0.5603469,0.99210095,0.7732135,1.005341,1.2847977,0.90962195,0.643741,1.2568963,1.2915664,0.64378977,1.1337239,0.9986071,1.1166413,0.0,0.7515775,0.80433524,1.0802743,1.2391138,0.94627684,0.9829798,1.1725404,0.6485237,1.3633376,1.2070103,1.1226354,1.0784647,1.2929504,0.94806194,1.198878,1.2717292,0.86006916,1.1549861,0.8087013,1.172201,0.9497172,1.2293526,1.0169647,1.0803077,0.7867379,0.8897075,0.9777669,1.0898203,0.69269127,1.0219845,1.1453822,0.8696594,0.92377186,1.0900971,1.0678679,1.140838,1.3266807,1.0003673,1.2485512,1.3053558,0.5598837,1.1343415,0.8306556,0.7289016,0.91829187,1.1855168,1.0494537,1.0778899,1.1019765,1.0947318,1.0840105,0.9590605,1.3172438,1.130574,1.0982094,0.3564558,1.2338724,1.1409103,0.98162115,0.92298615,0.72306114,1.1134766,0.8868431,1.0295389,0.50491154,0.9034441,0.9582087,1.381504,0.9334244,1.2073352,1.1930577,1.0495555,0.9855441,1.1082942,1.1991184,1.057606,0.78584903,0.9168754,0.5962438,1.1467872,1.2211648,1.1232466,0.9934622,1.0075834,1.306299,0.940549,0.85711426,1.0666878,0.91554075,0.64189124,1.2499278,0.4319141
drawer,0.84036636,0.8153937,1.1783782,1.0989673,1.1058679,0.9069294,1.0366198,0.60666364,0.8368242,1.1347406,0.8993952,0.8479923,1.1281532,1.0416825,1.073911,1.0564295,0.86090934,0.9634895,0.90171295,0.9280436,0.86041975,1.0721554,0.8668937,0.6916678,1.1560951,1.0186101,0.7209137,0.7533599,1.0585755,0.97815186,1.1602747,0.8407887,0.81548506,1.0120276,0.69424856,0.93719053,0.94572127,0.95988876,0.8078807,1.2145265,1.122662,0.7515775,0.0,1.1411283,1.1381879,0.82815087,1.1796758,1.2847058,0.9138098,1.0741491,0.97692025,1.088687,0.7629335,0.90513206,0.87474847,1.1323321,1.0128888,1.075468,1.2369429,1.1305513,1.1642957,0.9056158,1.0780485,0.87191075,1.1988955,1.1108972,0.96693563,1.2286315,1.2151682,0.8740529,0.70657504,0.9709142,1.0424279,1.0711561,1.1040579,1.1680444,0.74246377,0.893548,0.9810935,0.6561178,0.94230187,1.1498291,0.9293995,1.0904769,1.1125706,1.0927143,1.0787864,0.98229647,1.0426403,0.94549215,0.6838702,1.006306,0.92724204,0.96524704,1.0606838,0.96232116,0.6898353,0.894992,1.0650253,1.0883095,1.0331763,1.2505522,1.143977,1.1264706,0.8872551,0.8706927,1.040313,0.61514217,1.1969459,1.0188583,1.1812412,1.014282,0.77734387,0.85852945,1.2574011,0.9460465,0.952993,1.1014398,1.2151242,1.1226681,0.94893956,0.73873997,0.93082064,0.9515069,1.0020132,0.64663476,1.2053663,0.8153449,1.1647426,0.9651742,1.1516578,0.6989564,0.90817404,0.91917795
dress,1.0295048,1.1781737,1.2704942,0.63784575,1.2468666,1.2680929,1.284437,1.1315141,0.81582355,0.7059987,1.285558,0.93956125,0.5283313,1.3511965,0.7243702,0.9495996,1.2679703,1.3306044,1.1855643,1.1030936,1.2195643,1.073183,1.2715807,1.1905469,1.1171029,0.73712885,0.9136003,1.2533627,0.8679469,1.0341874,0.48266387,1.2194805,1.3168304,0.9123758,0.81873894,1.1500787,1.3981801,0.7493557,1.4158626,0.85527027,0.9611508,0.80433524,1.1411283,0.0,1.0270634,1.2464899,0.8964622,0.8124454,1.1691276,0.8702681,1.3739231,1.2220552,1.1140625,1.2388651,1.2597853,0.92356986,1.2710482,1.2307757,0.7951563,1.0580152,0.6386128,1.0397718,0.8630214,1.4126346,0.85768753,0.7986331,0.9275119,0.52906406,0.6758623,1.2522109,1.0875787,1.2871963,1.1173441,0.8900993,0.8542808,1.052873,1.0592836,1.1373918,1.2453158,1.0861188,1.2794284,1.256261,0.70836127,1.0445013,0.28201532,0.3629427,0.81416297,1.3414167,1.0601176,1.1098713,1.1306026,1.0295092,1.1657014,1.0458869,1.2667513,1.1187271,1.378751,0.6834038,1.0749129,1.0378336,0.70098925,0.81656885,0.3837545,1.0480797,0.70312405,1.224226,0.8301468,1.2094938,0.8733826,1.3485312,0.71983844,1.2961046,1.1876245,1.201234,0.8764232,1.2199192,1.2341949,0.9444193,0.33084118,0.8556345,0.5724162,1.33979,1.1781017,1.1826446,0.9858985,1.1842477,1.1777269,0.93700325,0.9298186,1.1752863,1.0149685,1.0641798,1.3346424,0.84171104
ear,1.012095,1.0327446,0.9862117,1.0384134,1.0178725,0.9364368,1.0561322,1.2097415,1.1278586,1.0392232,1.1032667,1.1777931,1.0463185,1.0466383,1.0139767,1.0945951,1.207485,1.1388998,1.0882038,1.1305767,0.8840257,1.0789337,1.1376739,1.1987952,1.0881441,1.0796335,1.0810406,1.1605694,1.0136567,0.9990034,1.0247581,1.1298558,0.99509656,0.99450517,1.041214,0.9085231,1.0537281,1.0568801,1.1056037,1.090485,0.96947324,1.0802743,1.1381879,1.0270634,0.0,0.9571749,0.98973835,0.6797281,0.7435995,1.0659277,1.0589935,1.1103019,0.8568864,1.0824487,1.0128999,1.0826794,0.7548858,1.1014352,0.9931009,0.9367032,0.81710637,0.88529396,0.7839571,1.024849,0.9875531,1.0764208,0.9725704,0.9646224,0.9782823,1.0745151,1.1542094,1.0139853,0.96919435,1.0638695,0.9204284,1.1578432,0.9402004,0.8666845,0.90210533,1.0840383,0.7924829,1.0280387,1.0681059,1.0362425,1.0172064,0.9915786,1.0768557,1.0253483,0.966,0.8128662,1.0125339,0.94008267,1.0803347,1.010967,1.0288743,1.1158483,1.1327463,1.1034853,1.0168586,1.0320207,1.0352043,0.9115739,1.0084902,0.90832806,1.0118674,1.1743889,1.024612,1.2315509,1.0486523,0.9053261,0.9441081,0.8882685,1.0415211,1.0380235,1.0219314,1.1280931,0.8731947,1.0876797,1.0071272,1.0359637,1.0710144,1.0029981,0.74412286,1.0241603,1.0509927,1.1120813,1.083654,1.1759346,1.0246378,1.1479291,1.0800502,1.1375897,0.9036805,1.0302178
egg,0.9015766,0.7757984,0.6799798,1.1020957,0.9798238,0.48603547,0.64101315,1.0545359,1.2993165,1.253497,0.7455631,1.3008875,1.2759145,0.8024047,1.318388,1.2606158,1.1092201,0.85730237,0.92577827,1.1089417,0.3367772,1.2875409,1.2183131,1.1072316,1.2315074,1.0962921,1.1030719,0.81442386,1.2700312,1.054104,1.2506958,1.160328,0.5050777,0.93750054,0.9440803,0.38009024,0.6292528,1.3913574,0.64403754,1.2636245,1.1260024,1.2391138,0.82815087,1.2464899,0.9571749,0.0,1.0415492,1.1148936,0.58234155,1.2930828,0.7198145,1.0656327,0.28892827,1.1013453,0.87944406,1.2475693,0.5460988,0.91517854,1.2698073,1.1377714,1.1028658,0.6879736,0.96767,0.60423166,1.2729913,1.2380025,1.1701727,1.3966867,1.2344615,0.9319497,1.1687825,0.7684461,1.0315552,1.161371,1.0878241,1.3386294,0.6510197,0.60380685,0.38246638,0.8846989,0.44494462,0.59514195,1.2260822,1.0801789,1.1969981,1.0528129,1.2790122,0.90688044,1.2255521,0.58097684,0.677961,0.6294616,1.0990751,1.054657,0.67091614,0.9613284,0.68792665,1.2230451,1.113109,0.89498967,1.1961926,1.3525485,1.2418481,1.3054637,0.875932,1.2114986,1.2093482,0.81640065,1.3751154,0.6456493,1.2047427,0.5737698,0.80701965,1.0711257,1.340586,0.941197,0.4919989,1.4323212,1.3519585,1.2853801,1.3486077,0.47739136,0.54473627,0.52346754,1.1280737,0.81957287,1.0291481,1.0527639,1.2720054,1.0935967,1.354635,1.0915915,0.57324964,1.2946945
elephant,1.123673,0.92729145,0.97682214,0.9639853,1.0440845,0.979672,1.0440502,1.1223261,1.0604924,0.9379757,1.0238445,0.97999835,0.8968351,0.88585895,0.9125949,1.1340401,1.101791,0.91166943,1.295506,1.173326,1.2816135,0.89255565,1.0745838,0.94851464,0.85266364,0.6687968,0.89636475,1.1043123,0.9694557,1.0877445,0.83525085,1.1351126,1.1432729,0.9553287,0.92055213,1.2281538,1.0766658,1.0876387,0.98156136,0.5250568,0.9466419,0.94627684,1.1796758,0.8964622,0.98973835,1.0415492,0.0,0.8991741,1.147873,0.9965152,0.88148046,0.8527522,1.0215759,1.2442784,1.0711329,1.0738508,1.029402,0.7394005,0.9561796,1.1536951,0.9178824,1.0745306,1.0558851,1.0157615,1.0379972,0.92252594,1.0582558,0.87752914,0.90901625,1.1142132,0.94433296,0.7909221,1.1623712,1.0781076,1.0698225,0.7756916,1.1124783,1.1052455,1.0343884,0.9673215,0.98741764,1.0390347,1.0013543,1.0017687,0.90163845,0.7677807,1.1037188,1.0340835,1.0265882,1.0570986,1.1043308,1.2799325,1.0022036,1.2664728,0.9354581,0.97662425,0.97184676,0.9890064,0.99351877,1.0961168,1.0146346,1.0952629,0.7918248,1.0214252,0.9264143,0.9709903,1.0413157,1.0626757,1.0772595,0.924471,0.81376886,0.9758517,0.97347796,1.1938152,1.0473722,0.9034952,1.040508,0.9154817,0.8212947,1.0492792,0.9475044,1.0081054,1.0747211,1.1335657,1.221615,0.99934727,1.1261073,1.2211124,0.9145295,0.7738997,0.85852283,1.089187,1.0070697,0.9718797
face,1.1232562,1.2317386,1.0206715,0.8356271,1.1322963,1.2338994,1.1513476,1.2401584,0.86945903,0.7992506,1.2226937,1.0792345,0.77891666,1.1670612,0.829838,0.98581463,1.2564932,1.3006824,1.1612629,1.0769075,1.060219,1.1285355,1.2832551,1.3409145,1.0776155,0.87054354,1.1388323,1.2852356,0.913273,0.99943346,0.81628823,1.1537253,1.1738986,0.93683773,1.0633183,0.972726,1.2954932,0.94014364,1.3228216,0.9546383,1.0269179,0.9829798,1.2847058,0.8124454,0.6797281,1.1148936,0.8991741,0.0,0.9559467,0.96667576,1.2783191,1.1558708,1.0178168,1.1562876,1.2273568,0.8387147,0.87722176,1.3017927,0.80336386,0.9672306,0.6490785,1.0593733,0.7559371,1.2696093,0.7088239,1.0172119,0.9473048,0.8042008,0.7691217,1.0906734,1.2047231,1.1686714,1.0104425,0.92640287,0.8150406,1.0876784,1.0053463,0.92243505,1.0748703,1.3486837,1.038471,1.0896723,0.89408004,1.0664872,0.81025785,0.84168446,0.80175716,1.2232103,1.0404434,0.95402706,1.2785879,0.8952389,1.207622,1.0443567,1.1393065,1.2187911,1.3297994,0.923345,1.0856867,0.9903161,1.0161519,0.75801253,0.7642029,0.9784283,1.0160596,1.214399,0.90393096,1.2728487,0.88277465,1.1688918,0.70901203,1.0356982,1.284307,1.1468604,0.8378641,1.2008257,1.0281231,1.108213,0.7606098,0.9224324,0.8145621,1.1624023,0.94587183,1.1679344,1.0321202,1.3633183,1.1180696,0.9380066,0.91623056,1.1919265,1.0099194,1.2046826,1.1633748,0.93999714
finger,0.8586988,0.7886363,0.9130453,1.0347569,1.0466621,0.6419502,1.0318693,1.1137571,1.1952262,1.0952505,1.0577364,1.292856,1.1901592,1.0324272,1.248368,1.248871,1.2201084,1.1209673,1.0515854,1.1891503,0.44728833,1.2738855,1.2966806,1.2485853,1.2988701,1.1347208,1.1262574,1.0586848,1.1718359,1.1157357,1.0889949,1.0165027,0.8279748,1.0934925,0.9285161,0.6276357,0.7764366,1.3021569,0.97783035,1.2759683,0.848361,1.1725404,0.9138098,1.1691276,0.7435995,0.58234155,1.147873,0.9559467,0.0,1.268856,1.0421965,1.2859559,0.27741647,1.0159576,1.0273489,1.160777,0.5625253,1.0284811,1.2752535,0.87174684,0.9951534,0.6294999,0.34445524,0.8179992,1.2285196,1.1570649,1.2220095,1.160244,1.0558237,0.85831416,1.258744,0.95806974,1.0875552,1.0359008,0.7861736,1.4250222,0.6023085,0.6562767,0.49441546,0.8743135,0.45016122,0.92871994,1.1533597,1.1087087,1.0368953,1.0264943,1.2656705,0.8378479,0.9291558,0.67351633,0.7034655,0.5914312,1.114926,1.0087793,1.0115893,1.170443,0.86091137,1.1578815,1.1014688,1.102337,1.0237156,1.1865746,1.0919974,1.0622712,0.8168813,1.1786146,1.2065468,1.1023422,1.2627195,0.6528057,1.2456882,0.5780548,0.73255515,0.9210345,1.2037702,1.0659696,0.47678733,1.3710196,1.1377304,1.221603,1.239171,0.84270453,0.18925059,0.7154619,0.7392205,0.888762,1.224966,1.133209,1.2497334,1.1889663,1.3534207,1.194903,0.63788164,1.2383459
firetruck,1.0165212,1.1598175,1.2682159,0.93697214,1.2462941,1.3349543,1.177757,0.965881,0.7313665,0.91439515,1.2513655,0.80397356,0.82428396,1.2655417,0.88318163,0.8569839,1.1329577,1.2300586,1.0830253,0.95245373,1.2388309,0.7979101,0.98336625,1.0098598,0.89161146,0.7903435,0.7694189,1.2329946,0.80299824,0.85123897,0.803904,0.9859002,1.2879095,0.89114964,0.84425575,1.170819,1.353766,0.6655966,1.2935729,0.898206,0.97691655,0.6485237,1.0741491,0.8702681,1.0659277,1.2930828,0.9965152,0.96667576,1.268856,0.0,1.2947985,0.99123234,1.309087,1.1279008,1.1979594,0.7247172,1.2942619,1.2425172,0.78847754,1.0169986,0.84192276,1.1752675,1.0728002,1.3637805,0.92658436,0.94751835,0.93388003,0.8582032,0.94230247,1.1316241,0.8863126,1.1832224,1.0362314,0.9216976,0.9588688,0.8433048,1.1693041,1.0581858,1.3307083,1.1084111,1.3857809,1.2683177,0.7923572,1.0916082,0.9117549,0.8980113,0.85730755,1.2702006,0.9942889,0.9810219,1.1623869,1.1066301,1.0057721,1.026911,1.2884712,1.0733218,1.1920696,0.69160205,1.1658012,0.9172819,0.85762733,0.7450386,0.8329765,1.0355288,1.0173187,0.8404122,0.7677065,0.9894095,0.811548,1.425401,0.8572525,1.2524884,1.1755623,1.0675075,0.80439866,1.1486552,1.2106571,0.85183233,0.8414052,0.88610566,0.78065705,1.3472514,1.3464154,1.1756315,0.99027157,1.0694127,1.0736268,0.82586,0.8037406,0.9749749,0.6783298,0.98179984,1.3789375,0.5074332
fish,0.9394512,0.7923177,0.5598663,1.4698555,0.7453219,0.4677353,0.4902022,0.97200805,1.555899,1.4758633,0.41820276,1.2708876,1.4832913,0.26449537,1.4218831,1.27011,0.6775956,0.367985,1.1091335,1.0369607,0.9259448,0.9563685,0.87229633,0.6976995,0.7472435,1.2277477,1.3337464,0.5694639,1.2746885,1.0246623,1.4565704,0.94390476,0.62466115,1.0866306,1.4133551,0.98158264,0.33724052,1.4774418,0.3720243,0.88251966,0.9762713,1.3633376,0.97692025,1.3739231,1.0589935,0.7198145,0.88148046,1.2783191,1.0421965,1.2947985,0.0,0.44018233,0.92235076,0.8436244,0.39783895,1.2987096,0.71915525,0.3424163,1.2943091,1.1236287,1.375312,0.8752041,1.399504,0.45302528,1.2426738,0.92099005,1.1369083,1.3151406,1.4255803,0.7367724,0.84123194,0.4105332,0.9987086,1.2857406,1.4466038,0.81326246,0.91512924,0.9814018,0.6686715,0.8037336,0.5709856,0.61244303,1.525974,0.836671,1.4641424,1.4473523,1.384753,0.49551857,1.0065033,1.0794222,0.8532751,1.2554647,0.7159576,1.2978923,0.43322372,0.5862937,0.48810434,1.5193019,0.76707715,1.0542405,1.1973737,1.4467883,1.5351485,0.99548596,1.2828262,0.70754045,1.3122687,0.7890626,1.3309304,0.38278764,1.185601,0.6907423,0.8578197,0.9799566,1.2983985,0.56416804,0.8228185,0.9248734,1.5020275,1.2787497,1.5826434,0.5098684,0.8418566,0.673506,1.2681197,0.769091,0.8573581,1.2849841,1.0689092,0.5678678,0.9460383,0.9354758,0.5278653,1.2920544
