,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
doll,0.7042988,1.3302501,0.8995628,1.0149999,1.1882746,1.1223838,1.0823636,1.0526484,1.0422112,1.214252,0.86489254,0.81035537,1.077686,1.091319,0.9244737,1.1272163,1.311352,1.1119413,0.9939507,0.98852843,0.8345939,1.0202523,0.88234735,1.2028699,1.0430858,0.86349005,1.1578643,0.9975829,1.1742418,1.0235626,1.0055988,0.9366186,1.0108697,1.2962301,0.9156761,1.2932639,0.47245228,0.0,1.0685205,0.9327286,0.8592649,0.99789375,1.0401756,0.91139024,0.94948816,0.48248196,1.0865347,0.9371096,0.9378059,0.5786019,0.89476407,0.93509966,1.1500592,0.5212888,1.0599676,0.904819,1.1121927,0.6674095,1.2358143,0.98918504,0.8265332,1.1698673,1.0276119,1.2554345,1.0170052,1.2113057,0.9849102,0.6385628,1.1091868,0.9626665,1.2502408,0.8959292,1.031181,1.1911881,1.0286419,0.8819445,0.8051834,0.92288715,1.0042359,0.91946036,1.1741805,1.158351,0.9341395,1.0374033,0.97600657,1.0069563,1.1809448,1.2261107,0.87009454,1.0610869,1.0916706,0.7703394,1.0373278,1.0760343,0.9606567,0.81008995,0.9329189,0.8691903,1.2609496,0.8874162,1.1187663,1.1177883,0.77910817,0.92980266,1.0716705,1.2650152,0.8797469,0.9436503,0.92611384,1.2437475,0.9624926,0.98694694,0.8039396,1.0167572,0.98007864,1.0362133,1.1543943,0.9585629,1.2348105,1.2597022,1.0184642,1.2127373
door,1.0233436,1.2634096,1.028633,1.2678386,1.1134913,1.0966154,1.1379186,0.77548337,0.88389635,1.0740908,0.57778764,1.0462453,1.098184,0.9708897,0.98184115,1.2177532,1.0608957,1.0781901,1.0611184,1.2127566,0.86652315,1.0708524,1.155798,0.76410496,1.0430802,0.90420425,0.8269434,0.48730016,0.8859471,0.8951607,1.1134152,0.8080678,0.9443998,1.267365,0.52352965,1.0772091,1.0910674,1.0685205,0.0,0.7445682,0.9854317,1.0162208,0.95342743,0.901428,1.1368998,1.2939328,1.1253009,1.1019083,1.1134207,1.2402838,0.9939137,1.0203842,1.1268322,1.0195196,1.3581066,0.93546164,1.165557,0.9986023,1.2289672,1.1206326,0.9152068,1.1579392,0.8328272,0.8386339,1.0171434,1.2622991,0.957662,1.0738827,1.094931,1.1863756,1.2358673,1.1461346,1.1282799,1.127337,0.45740038,1.1162653,0.99920315,0.80135643,0.99579686,0.902226,1.2548949,1.2176063,0.985044,1.0766754,1.068634,0.96661794,1.1981632,1.350337,1.040987,1.0468676,0.14059794,0.95179385,0.955341,1.1702316,0.80676794,1.1104101,0.94302756,0.93689406,0.9381322,1.0601652,1.261014,0.9621524,0.84486353,0.9993845,1.1871096,1.1550356,0.9631468,0.7103801,0.90799266,1.1842319,1.2148453,1.0916175,1.1301386,1.1487999,1.3299627,1.0939405,0.82493246,1.0794417,0.60407865,1.1930622,0.3599044,0.96322066
drawer,1.0292145,1.2008648,0.8604628,1.1758338,1.1351566,1.04255,1.0689498,0.8531455,0.7583136,1.0106323,0.44106317,0.8706166,1.1598084,0.94371593,1.0236368,0.8617515,1.2200452,1.1071883,0.90523064,1.1141005,0.7606273,1.056974,1.1070521,0.8306767,1.0555648,0.9691445,1.10614,0.8187799,1.039844,0.89207923,1.1915052,0.87401,0.8436041,1.1416498,0.7443728,1.1198921,1.1677136,0.9327286,0.7445682,0.0,1.0672152,1.0039726,1.0698017,1.0329624,0.8895019,1.0327572,1.3034992,0.7127011,0.93346363,1.1313474,1.01487,0.98192954,1.1023867,0.7884924,1.207791,0.92729956,1.1151283,0.89080256,1.2667441,1.1672796,0.7930733,0.72566324,0.94753,1.036635,1.1125758,1.2281829,1.0676696,1.0045953,1.1483651,1.2599074,1.2176145,0.82824767,0.9861101,1.1884415,0.6424571,1.0744473,0.9676288,0.73753554,0.78900844,0.9878729,0.9796841,1.0660447,1.1242383,0.88581496,1.11679,1.0831902,1.0351869,1.330752,1.0774738,1.0737456,0.789659,1.0722704,0.88317,1.1036527,0.82920724,0.93939126,0.8539804,0.9430783,0.7489602,0.9463269,1.0849973,0.8974969,0.7144094,1.0275146,0.9568921,1.2782595,1.1059889,0.78044593,0.8987296,1.1256895,1.0660571,1.0378484,0.96019185,0.9140515,1.2558824,0.9568829,1.1337142,1.121132,0.99016684,1.1762135,0.8994203,1.0789794
dress,0.9795338,1.161268,0.7442329,0.92505395,1.0392697,1.1867864,1.1559422,0.87493473,0.86242765,1.2442545,0.8772908,0.5307284,1.2341864,0.7840667,0.9935175,1.0114902,1.2139544,1.1510288,0.7927861,0.9550419,1.0008692,0.8561964,1.1830075,1.1425089,1.2228746,0.9628353,1.1330934,0.9082693,1.1580701,1.0885006,0.97462404,0.86614364,0.958823,1.2788877,0.8285135,1.2132668,1.0726045,0.8592649,0.9854317,1.0672152,0.0,1.0810101,0.9528827,0.9868334,1.0737579,1.0260721,1.1332545,0.9417982,1.063838,0.9898448,0.9895983,1.0033326,1.2396863,0.84629595,1.1216003,1.0569639,0.9655906,0.9166591,1.2826179,1.1875882,0.821522,1.194537,1.0228505,1.3117366,0.84670645,0.9328835,0.98276114,0.7101337,1.1904796,0.9658443,1.2858331,1.0367609,1.0718217,1.0612549,0.99751574,0.89279765,0.22919333,0.8182773,0.7420997,1.092812,1.2299179,1.2048491,0.9909402,0.9454862,0.9245111,1.0385342,1.220955,0.9809316,0.9917772,1.2127132,0.9514124,1.0033509,0.89950347,0.9660566,0.7576729,0.9076384,0.8112689,0.9274181,1.3131139,0.92598665,1.2552811,0.91073006,0.87676233,1.0244575,1.1391883,1.2397574,0.88231725,0.82408804,0.8034977,1.1714092,1.0879366,1.1112369,0.85441244,1.0700566,1.0851475,1.0372012,1.0264611,1.0714607,1.085568,1.29831,0.96819586,0.93288314
egg,1.2171127,0.7918147,1.1601232,1.0612555,1.0773828,0.71130204,0.8359637,1.3349392,1.3825788,0.8238321,1.1845951,1.0078218,0.86837125,1.3261536,1.1942971,1.0616193,0.8093152,1.1148403,1.3196374,0.9945991,1.0798848,1.15509,0.8948259,0.80755866,0.9004582,1.0091228,0.9819233,0.9678687,0.89023644,0.7476932,1.234338,1.3173072,1.1563753,0.7123436,1.3337383,0.8031578,0.9183291,0.99789375,1.0162208,1.0039726,1.0810101,0.0,0.978002,1.0279069,0.52068377,1.0173247,0.9087669,0.89098287,0.95369035,1.2161165,1.1963,1.1813868,0.5266957,1.0138259,0.90678734,0.80453575,1.161408,0.96137804,0.65881735,0.86839426,1.1987138,0.71290183,1.0648966,0.82223505,1.2803465,1.1261469,1.1829005,1.239225,0.70925534,1.1533507,0.7018864,0.7596723,0.74880165,1.0522286,1.166411,1.0716233,1.1348712,0.9633393,1.2944796,0.8939548,0.6910223,0.71106255,0.76078725,1.1020774,1.2538774,0.92606395,0.90075696,1.1056428,1.0846995,0.94533163,1.1085045,1.2113901,1.0237149,1.0274429,1.0541682,1.114701,0.90806943,1.2161349,0.7317024,1.1978375,0.5245207,1.162753,0.95196533,1.0569448,0.9154012,0.7431038,1.1562705,1.1080246,1.3605487,1.0039271,0.55620915,0.5408855,1.239559,0.74954414,1.0462254,1.1163805,1.0646391,0.98526806,0.87489116,0.53867906,1.1441664,1.0691884
elephant,0.95807886,1.0100504,0.7888262,0.99981517,1.0228165,1.0814763,1.230044,0.8803227,0.9486266,0.9954096,0.9855648,0.96448106,1.0681672,0.92878443,1.0186716,1.2038621,1.0942471,1.133233,1.1229705,1.0057744,1.0918102,1.0934838,1.0985315,1.089204,1.0711153,0.68415457,0.8184736,0.9899784,1.120218,1.0930156,1.1142393,0.9132067,1.1049516,1.1527214,0.99850196,1.1331868,0.9989953,1.0401756,0.95342743,1.0698017,0.9528827,0.978002,0.0,1.0627377,0.9661198,0.97968835,1.1118739,0.9735492,1.1204659,1.0378894,1.0063031,1.0440601,1.0251464,0.89339733,1.2139083,0.9857925,1.0184412,0.8958984,1.0739831,0.9888053,0.77647185,1.1138254,1.0739356,1.0990782,0.99310064,1.1097873,1.0536338,0.9623143,1.0163413,1.139637,1.0187048,1.102241,1.0461824,1.0464766,0.9048669,1.0693527,0.94130206,0.63447404,1.0861608,1.069108,1.1060779,1.1216035,0.96980387,1.0270491,1.0135578,1.1247513,1.1634523,1.1263325,1.1355807,1.0409961,0.95398813,0.9801564,0.9057423,1.1557096,0.8637363,1.0644516,0.7717598,0.9036302,1.0316166,1.117994,1.0776,0.9279051,0.8422924,1.1168786,1.0156167,1.0887818,1.0265732,0.88267213,1.0108851,1.1354702,0.9632594,0.90661895,1.0882727,1.0874693,1.2052106,1.1714923,1.0040065,1.0694512,0.95462877,1.034421,0.90788686,0.82314885
face,0.9450649,1.1531031,1.0099319,0.93292224,1.0466459,1.063615,1.1141775,0.95295846,0.9788626,1.0195566,0.96949065,0.8988115,1.0331181,1.0380507,0.9563827,1.0666653,1.1043222,1.0793521,0.9951813,0.99142486,0.985936,0.98549086,0.95912206,1.1297044,1.0961624,0.9524605,1.1160358,1.0669396,1.0717926,1.1082888,1.0243907,0.86369586,0.982647,1.1444572,0.9779593,1.1008798,0.98779935,0.91139024,0.901428,1.0329624,0.9868334,1.0279069,1.0627377,0.0,0.9294178,0.8732741,1.049445,1.0161853,1.0079069,0.91664535,1.0671823,1.0047275,0.71706355,1.0479821,1.0910528,0.60783017,0.87817866,0.8633386,0.9536745,1.0876317,0.9445632,1.1652024,1.1008503,1.1148524,0.9980515,1.1596584,1.0085362,0.93455505,1.083154,1.0627786,1.1034114,1.1405663,1.0244429,1.1507697,1.0172571,1.0985482,0.98088825,0.8684218,0.9621481,1.0148319,1.106167,1.0643374,1.0595444,1.1149514,0.95305055,1.0566639,1.113974,1.1106809,1.0443615,1.1336191,0.92730695,0.9063052,0.9476844,1.1120453,0.6807407,1.0530919,1.0028912,0.9301627,1.0873868,1.0391976,1.1014131,1.0620232,1.010906,0.9986714,1.108914,1.081496,1.0374129,0.7933314,1.0083712,1.123426,0.9309973,0.9883706,1.0086076,1.1692147,1.0498643,0.9461441,0.99161494,0.9462506,1.1125736,1.0775415,0.9101121,1.1676444
finger,1.2209735,0.69335043,0.8839359,0.9009746,1.0906749,0.73125327,1.0237375,1.2149488,1.3105323,0.81926346,1.1727555,0.8170992,1.1538253,1.2890418,1.2244397,1.0309479,0.9897489,1.168624,1.2454269,0.9096304,1.0827634,1.188552,1.0724554,0.969705,1.1158619,0.8056122,1.1483083,1.1711804,1.0809524,0.9090195,1.2373629,1.2677054,1.0167687,0.7187491,1.3549132,0.9820104,1.0660498,0.94948816,1.1368998,0.8895019,1.0737579,0.52068377,0.9661198,0.9294178,0.0,0.85601556,1.1310583,0.58826715,0.73334754,1.07726,1.133003,1.1336728,0.42810905,0.81016713,0.7951251,0.6686897,1.0815948,0.3926121,0.7735437,1.1960585,0.94206434,0.72972286,1.1552832,1.0737177,1.2843058,1.1286522,1.2248785,1.0243735,1.0086852,1.1289413,0.6790725,0.9302676,0.69866306,1.0086161,1.150089,1.1518934,1.0245146,0.91575694,1.1446944,0.94591945,0.58303905,0.6130765,0.63849455,1.1182073,1.2567565,1.0767084,0.99450964,1.0669199,1.191566,1.1314893,1.282649,1.2941607,1.0003229,0.9796292,0.94888496,1.0977862,0.79587626,1.2301033,0.8415097,1.1989256,0.56318134,1.1967287,0.71462315,1.1037446,0.72576225,0.89561766,1.2138115,1.0426093,1.3135406,1.109615,0.21223187,0.37065673,0.99405897,0.94659936,1.1127077,1.1839826,1.1202831,1.0898434,1.025621,0.5651184,1.238203,1.1128242
fish,0.46831524,0.9369114,0.8963022,0.8516047,1.1441526,0.7757634,1.1639225,1.1255748,1.0550916,1.072671,1.0986801,0.9221945,1.011845,1.0276974,0.98985064,1.166558,1.2243042,1.2302248,1.1294842,0.81857383,0.8553345,1.0893706,0.7045789,1.3179231,1.1852243,0.87840426,1.0703673,1.3507048,1.2541308,1.0903463,0.98411316,0.9854943,0.8425795,1.108511,1.1451397,1.2689939,0.72008383,0.48248196,1.2939328,1.0327572,1.0260721,1.0173247,0.97968835,0.8732741,0.85601556,0.0,1.0047091,0.7784611,1.0895851,0.28505063,1.0380948,0.9090377,1.0167197,0.77986234,0.8648086,0.91040564,0.75695634,0.7619612,1.0763235,0.9603656,0.899667,1.0896454,1.1331537,1.3557278,0.8747448,0.95937824,1.1366093,0.57859063,1.0440568,0.95074564,1.0704383,1.0268017,1.1217335,0.974815,1.2297298,0.9794416,0.9590515,0.88825,1.1349782,0.9256176,1.0971702,1.0906693,0.89355505,0.98894346,0.8886088,1.0584717,1.1361823,0.98291993,1.0888206,1.192817,1.3362598,0.84906757,0.9009637,1.1054704,0.97002625,0.84224796,1.0070404,0.8484335,1.0792414,0.9829185,0.96528584,0.94273007,0.934748,1.0157251,1.0654126,1.1024673,1.2095749,1.0102032,1.0588547,1.2343675,0.9140724,0.9263813,0.8860674,1.0290422,0.98039395,1.0961758,1.146313,1.0766236,1.3227346,1.1130852,1.1820246,1.1368475
flower,1.0553234,0.81342536,1.4608915,1.0359125,0.85718834,0.7243643,0.72691965,1.3532187,1.495242,0.76896966,1.4479266,1.4296519,0.51503605,1.4140604,1.1345342,0.8944372,0.55347466,1.006836,1.3584645,1.107856,1.0263497,1.0638089,0.6573684,0.7098364,0.5461745,1.2902596,1.0128449,0.9052093,0.78320205,0.8272045,0.8156625,1.4227183,1.1563036,0.6073069,1.3337855,0.60822535,0.7909656,1.0865347,1.1253009,1.3034992,1.1332545,0.9087669,1.1118739,1.049445,1.1310583,1.0047091,0.0,1.2529755,0.96503603,1.0230143,1.0786825,1.1850699,0.90786,1.2620673,0.5876917,1.2202847,1.1267726,1.3830574,0.62477267,0.56136596,1.5445546,0.94872653,0.97095186,0.55581856,1.1926725,0.8892823,1.0948087,1.3707747,0.5676228,0.6495644,0.7765194,0.7971848,0.9570413,0.8983824,1.3758373,0.852953,1.3392318,1.3646594,1.3790485,1.0043446,0.81300133,0.82350934,0.9892975,1.0331002,1.0654365,0.372904,0.7564509,0.7474634,0.70472294,0.73971677,1.1811583,0.89535594,1.2125729,0.8530828,1.4709723,0.9777112,1.1856196,1.1735455,0.8979951,1.1524553,0.6306344,1.2424899,1.1983907,1.1013107,1.1176102,0.6151589,0.98539984,1.3781984,1.4063823,0.6616535,0.90828633,0.99078465,1.2895702,0.695268,0.60927767,0.98579156,0.9382414,0.73431987,0.8494303,0.721756,1.1457059,1.1993297
foot,0.93404937,0.8375566,0.7047494,0.87698966,1.1141382,0.8624684,1.2197338,0.9458045,0.9490534,0.9967304,0.8862538,0.7552725,1.2040207,0.94458956,1.1547886,1.1253124,1.218871,1.2401607,1.1246986,0.9747611,0.9726063,1.1368834,1.0629686,1.1463017,1.2582858,0.9823871,1.0531856,1.1591513,1.1891973,1.055865,1.2162592,0.95781165,0.87025404,1.0403465,1.1117735,1.222414,1.1190262,0.9371096,1.1019083,0.7127011,0.9417982,0.89098287,0.9735492,1.0161853,0.58826715,0.7784611,1.2529755,0.0,1.0693123,0.9046849,1.0397588,0.9906795,0.967855,0.6435839,1.0216354,0.79523575,0.879287,0.66367155,1.1612961,1.205574,0.63844615,0.8667813,1.198801,1.2263412,1.0873071,0.9862978,1.1401159,0.7194365,1.1147916,1.1398264,1.0040915,1.0423523,0.9610273,1.0095854,0.9739578,1.157273,0.7620609,0.751771,0.97528833,1.0382448,0.9006506,0.96864414,0.8939403,1.0691161,0.9872615,1.1335604,1.1962104,1.138377,1.2904358,1.2195258,1.1712945,1.1395943,0.8495488,1.1044165,0.7343705,0.98869663,0.7481646,0.96711826,0.87587166,1.1617227,0.9387205,0.88202137,0.4725337,1.0507637,0.9163275,1.1741097,1.1784153,0.73831874,1.0469432,1.2623693,0.75055814,0.8596093,0.9538737,1.0196624,1.2945318,1.2079287,1.0874894,1.157741,1.0833229,1.0133771,1.0845021,1.0090183
fork,1.1708963,1.0336926,0.9856005,1.0778961,1.0351603,1.0337576,0.9247372,1.2490195,1.3296863,0.91131365,1.2464343,1.0974545,0.8422602,1.2943869,1.1427864,0.7168472,0.9556706,0.9252144,1.0237001,1.1452272,1.1885003,1.1447059,0.907927,0.8855456,0.862874,1.11304,1.0825465,1.0222186,0.8610742,1.016078,0.9620837,1.3378047,1.0762576,0.73102087,1.2314758,0.9531797,0.925638,0.9378059,1.1134207,0.93346363,1.063838,0.95369035,1.1204659,1.0079069,0.73334754,1.0895851,0.96503603,1.0693123,0.0,1.074804,1.0823919,1.121598,0.8355585,0.9383121,0.79257417,1.0906081,1.3608841,0.8213649,1.0087475,0.86330074,1.182138,0.778627,0.9420655,0.7793641,1.2679644,1.0207046,1.0702631,1.1596578,0.9038445,0.9242445,0.98487675,0.82029104,0.7002292,1.114237,1.0767953,0.88244176,1.1733059,1.1807466,0.9168043,1.0124034,0.5291965,0.5124616,0.8914505,0.9808379,1.2648304,0.8580769,0.7618099,1.0592169,0.7813849,0.7840922,1.1358114,1.0775046,1.2371016,0.602824,1.1243179,0.79656124,1.0238352,1.1600757,1.0619718,1.0055106,0.789745,1.1929998,0.9352876,1.0834208,0.69800925,1.0127728,0.9709024,0.9984641,1.1333064,0.83814126,0.7134044,0.87320197,0.80340576,0.7984718,0.9590631,0.95215535,1.2106196,0.9518132,0.93346924,0.87541425,1.2022281,1.0006686
frog,0.24427706,1.0484382,0.89458483,0.78941536,1.0576639,0.8838086,1.3195534,0.9866385,0.8969333,1.2579306,1.0472304,0.9845463,1.0346919,0.9518707,0.8287224,1.2032049,1.3057553,1.1223751,0.9784627,0.8271352,0.90537286,0.97705513,0.79087573,1.4102768,1.1927588,0.9521619,1.1213346,1.3073866,1.2144644,1.2212174,0.80335623,0.8609375,0.9650392,1.2719748,1.0279171,1.3535519,0.8000047,0.5786019,1.2402838,1.1313474,0.9898448,1.2161165,1.0378894,0.91664535,1.07726,0.28505063,1.0230143,0.9046849,1.074804,0.0,0.92274535,0.7880473,1.210078,0.8307357,0.95988804,0.97493476,0.7206707,0.813899,1.2707338,0.95911455,0.9092484,1.2573184,1.0356076,1.3358982,0.8471686,0.8133138,0.97526366,0.5270823,1.09739,0.7465061,1.2664526,1.1755638,1.147012,1.0023932,1.1720295,0.95958936,0.96966934,1.0354372,1.0148773,0.97831357,1.2042367,1.1869553,0.9626446,1.1220796,0.7631076,0.8944915,1.2346249,0.93593013,1.0085081,1.1937488,1.2391756,0.791326,1.0306442,1.0799327,0.9490262,0.8378747,1.0559422,0.86506355,1.2363446,0.8588265,1.2393668,0.9566287,1.0339917,0.9389514,1.0858942,1.2445087,1.1089478,0.9529244,0.83736724,1.2343233,1.1536183,1.1506025,0.6446067,1.2099261,0.9333393,1.1359375,1.0277193,1.0054798,1.2714589,1.3366134,1.076452,1.0860217
game,0.9258358,1.1001918,1.0157313,0.98379177,1.0490302,1.1490818,1.1267198,0.89731514,0.88646567,1.1432828,0.95584357,1.0261239,1.1046355,0.9368213,0.85268104,1.0644029,1.1331109,0.9759197,0.8800156,0.98081195,0.90008813,0.99646896,1.0971595,1.1986327,1.0407295,0.9368067,1.1002872,1.0352514,0.99653536,1.0722039,0.8915314,0.8545454,0.9987897,1.1869626,0.8653892,1.1604419,1.0377661,0.89476407,0.9939137,1.01487,0.9895983,1.1963,1.0063031,1.0671823,1.133003,1.0380948,1.0786825,1.0397588,1.0823919,0.92274535,0.0,0.97306204,1.1690614,0.9934866,1.094896,0.9980396,0.95959,0.98520726,1.1480117,1.0729736,0.9997569,1.1494615,0.9920323,1.1173966,0.9179654,0.9275945,0.85256517,0.9995432,1.1226939,0.93015987,1.1375803,1.1797658,1.0096985,1.0657074,0.9263659,1.0064684,0.98384315,1.0346346,0.92490107,1.0650055,1.2160892,1.2196225,1.0936347,1.1457767,0.9274819,1.0634125,1.1314574,1.0758367,1.0790976,1.1057659,0.94402343,0.90003324,1.0652636,1.0163598,1.0100002,1.032225,0.97727805,0.8862396,1.11885,0.9319885,1.238185,1.0260335,1.0301664,0.9165463,1.1373703,1.1311941,0.987016,1.0060134,0.8500099,1.0190799,1.1688805,1.1406747,0.9472524,1.2155998,1.0110428,0.9889275,0.93292856,0.90009713,1.1153296,1.1849995,0.87627345,1.0912242
glass,0.8348646,1.2009289,0.8686274,1.0111774,1.1067739,1.1662557,1.165022,0.80670214,0.7733952,1.2596964,0.92862827,0.93373215,1.2256374,0.7887278,0.8439486,1.2345107,1.2495376,0.64998686,0.8266258,0.90213925,1.0206431,0.913247,1.1254832,1.3297265,1.2531407,0.7849668,0.9947054,1.2590934,1.1197586,1.0839531,0.9865984,0.7953367,1.0932857,1.3150043,0.95398355,1.1946298,1.0277324,0.93509966,1.0203842,0.98192954,1.0033326,1.1813868,1.0440601,1.0047275,1.1336728,0.9090377,1.1850699,0.9906795,1.121598,0.7880473,0.97306204,0.0,1.1956778,0.9535819,1.1577148,1.0325086,0.8092198,0.89857984,1.2976733,1.1897125,0.7486479,1.0368445,1.0605608,1.1904632,0.88966495,1.1161141,0.5382357,0.7938473,1.2392734,1.0253714,1.1928315,1.1908507,1.0986673,1.0457978,0.98486274,1.0616151,0.90353,0.946118,0.9016173,0.94696885,1.2495548,1.2461561,1.0835506,1.208167,0.7963002,1.0313863,1.0890688,1.067708,1.1114842,1.1657457,1.0200137,0.95034647,1.0207092,1.050077,0.8525392,0.9708268,1.1780752,0.96218055,1.089991,0.96580696,1.2792871,0.8298582,1.1105074,0.45760363,0.579835,1.2640176,1.0896323,0.9390484,0.745276,1.2205755,1.222121,1.1388764,0.80961066,1.2538717,1.2010802,1.0108038,0.9247416,1.1472948,1.2409478,1.2534053,0.88679636,0.87115234
glasses,1.265442,0.70868397,1.1877944,1.0162412,1.081715,0.83601284,0.72484696,1.3129386,1.3561373,0.71203935,1.2886045,1.0639691,0.8509228,1.3281195,1.2088187,0.9035413,0.6676378,1.0795248,1.2655323,1.0324861,1.1250354,1.2044033,0.90372384,0.87456745,0.9039221,0.9844558,0.99471736,1.1312891,0.8737826,0.873154,1.2278286,1.2910289,1.1634308,0.5256436,1.3986664,0.72562766,0.94850963,1.1500592,1.1268322,1.1023867,1.2396863,0.5266957,1.0251464,0.71706355,0.42810905,1.0167197,0.90786,0.967855,0.8355585,1.210078,1.1690614,1.1956778,0.0,1.2025617,0.74628913,0.63562655,1.0996517,0.8935516,0.40311795,0.9616046,1.224624,0.7236588,1.1194025,0.79816115,1.3275077,1.1558015,1.2393545,1.3261257,0.81856334,1.1672522,0.4529611,0.932914,0.73236716,1.0499201,1.2207513,1.1395675,1.2394427,1.0820779,1.249058,0.89722806,0.56960136,0.5609098,0.8094357,1.1311431,1.2885047,0.9845952,0.8236263,1.0348992,1.1312228,0.9884517,1.2257307,1.1869034,1.0520899,0.9616942,1.0849843,1.1477875,0.94633716,1.2572491,0.76905143,1.248231,0.41762978,1.1751659,1.1036052,1.1505623,0.86427784,0.5794179,1.1645788,1.1995561,1.357449,0.87805116,0.41062742,0.37646294,1.1839701,0.85335964,0.93028617,1.0177677,1.0540212,0.9402405,0.986113,0.27738506,1.1998689,1.1438164
glove,0.9410698,1.1255593,0.66489226,0.9123373,1.129364,1.0482941,1.1958106,0.97861207,0.9283289,1.1551884,0.8030049,0.7414987,1.234525,0.8337486,1.2028816,1.301117,1.3529146,1.0770172,1.1410033,0.98022974,0.9842545,1.0446634,1.1872996,1.1036403,1.2652143,0.7065121,1.1108178,1.0246489,1.2494714,1.1861482,1.0582814,0.89373195,0.95142317,1.3384742,1.0132418,1.2833035,0.7921566,0.5212888,1.0195196,0.7884924,0.84629595,1.0138259,0.89339733,1.0479821,0.81016713,0.77986234,1.2620673,0.6435839,0.9383121,0.8307357,0.9934866,0.9535819,1.2025617,0.0,1.1405739,0.96698177,1.0384343,0.51243097,1.324636,1.1615726,0.5847619,1.1363561,1.1233978,1.3106762,0.83015823,0.96092266,0.9510497,0.40513313,1.2654192,0.9843459,1.2643731,0.7590676,1.0939124,1.0241764,0.90275705,0.9442493,0.7628478,0.8313709,0.968274,1.0173538,1.1448224,1.1436414,0.9308034,0.753454,0.90329987,1.0840385,1.2607797,1.1426158,1.0296521,1.0506338,0.9949249,0.9373614,0.94199526,1.1057824,0.8461342,0.7263764,0.7807534,0.88455635,1.221099,1.1500723,1.1267023,1.1156151,0.25237727,0.9828826,0.9302618,1.3286469,0.98526776,0.7231515,1.0314809,1.2984378,0.8383977,0.8913398,0.84021324,0.8706304,1.3485343,1.319918,1.1757985,1.2154503,1.1125162,1.2739546,1.0639439,0.9927893
gum,1.1591071,0.5022221,1.3337538,0.66890216,0.81125987,0.7431228,0.8084948,1.4113212,1.5185667,0.6901248,1.5093057,1.273551,0.7616143,1.4781444,1.2352333,0.7307819,0.59620214,1.0015543,1.1641872,0.97347516,1.1141418,1.0092226,0.85340226,0.71796864,0.794218,1.2329757,1.0765535,1.2137907,0.83892655,0.8922201,0.82095635,1.526963,1.0973133,0.41440135,1.4623067,0.5895256,0.93927413,1.0599676,1.3581066,1.207791,1.1216003,0.90678734,1.2139083,1.0910528,0.7951251,0.8648086,0.5876917,1.0216354,0.79257417,0.95988804,1.094896,1.1577148,0.74628913,1.1405739,0.0,1.1352597,1.0427959,1.0946387,0.5853858,0.869662,1.4662611,0.80424875,1.0645287,0.83211005,1.3337071,0.7126111,1.1909068,1.2542086,0.7640485,0.6807191,0.5439619,0.7798397,0.90150946,0.79939985,1.4135821,0.9539191,1.258359,1.3686379,1.1572118,1.007536,0.6198939,0.62112784,0.8256214,1.0686257,1.0543481,0.8723748,0.5972009,0.6388246,0.86041915,0.79151535,1.4193139,1.2351834,1.2585573,0.76160157,1.4519738,0.8998725,1.125455,1.2684414,0.91743004,1.131628,0.44802606,1.1792572,1.0895556,1.1587737,0.88894576,0.60749376,1.1217314,1.3979738,1.3965647,0.52647233,0.66471446,0.70757306,1.0093367,0.7186779,0.4200881,0.9287287,1.1291417,0.8260495,1.044935,0.5611768,1.4315237,1.185137
