,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
couch,0.8650409,1.2345378,1.4011565,1.1587076,0.55754906,1.3628516,1.324566,1.026044,1.1280676,0.655906,0.8464916,0.4103365,0.9825169,0.2540841,0.6739007,1.0406439,0.42361665,0.86938184,1.1383245,1.2902356,1.1830618,0.8869363,1.2524878,1.0727717,0.9875331,1.1240522,0.7693515,1.1303483,0.6805838,0.3454845,1.3764584,0.68363935,0.8455745,1.1483306,0.99091744,1.355124,1.2836788,0.0,1.2498822,1.3614175,0.3141631,1.3053559,0.84510255,1.0588018,0.8312442,0.95266026,0.6879692,1.1990919,1.3427454,0.90244883,0.8944688,1.3132026,1.2273424,1.2417779,0.9116854,1.238652,1.1198595,1.0357449,1.0210172,1.2299014,1.1511133,0.8905481,1.2811446,0.87106675,1.0960507,0.9669578,1.3233708,1.2147523,0.7943093,0.64077604,1.0271703,0.47437996,0.9856884,0.97193474,1.2734573,1.1451907,1.2174628,0.93609077,0.88430625,1.022613,1.1665472,1.1599061,1.4057466,1.0861893,1.103344,1.2658665,1.328197,0.7111764,0.83992887,0.54092145,0.46832335,0.99007565,1.3648782,1.3985223,1.1616352,1.1500921,1.278439,0.713532,0.8875216,1.157065,1.2905042,1.1650109,1.1815932,0.73417354,1.0481503,1.219088,0.67228174,0.9528786,1.1014359,0.59231347,1.0232744,0.54536974,1.0503751,0.5576459,1.1573333,0.76620615,0.6358276,0.73703593,1.1570488,0.8177291,1.2979453,1.0608107,1.3624616,1.2279582,0.88772696,1.216175,0.90929884,0.5652597,0.56919956,1.3593609,1.2538486,1.3110515,0.9303676,0.9760977,1.328118,0.9210086,1.0143455,0.79535854,1.3272073,0.9078718
cracker,1.0903671,0.92517245,0.9272696,0.8825514,1.1167037,1.0612535,1.1248944,0.4651577,0.8713268,1.1383717,1.1034985,1.2524426,1.1535404,1.1055348,1.0745802,1.0327635,1.1778817,1.179603,1.0284067,1.2064804,1.131762,1.0390153,0.4974982,1.1739049,1.110348,1.2181829,1.1257372,0.6780138,1.1479282,1.1889439,1.0153313,1.1720194,1.1055987,0.950487,0.49044925,0.67131245,0.43179196,1.2498822,0.0,0.9893207,1.1894695,1.1603204,1.0939531,0.8602691,1.1447053,1.0116776,1.0841849,0.8416106,0.9573401,1.168777,1.1385953,0.7988556,1.0595315,0.9696123,0.7458087,0.7745608,0.9218446,1.120688,1.0743265,1.0699826,0.8815181,1.066981,0.66773105,1.0899028,1.0292178,0.81866693,1.1155448,1.0482748,0.99874485,1.210176,0.98287755,1.1657289,0.85910624,0.95639867,1.1830137,1.0116594,0.59357446,1.0940576,0.7873243,1.1261588,0.81761235,0.7119058,1.0526015,0.9482985,0.99500287,0.9616722,0.79765606,1.2142353,0.9500727,1.1939989,1.1595893,1.0111966,1.016,1.0059114,0.99824506,0.52992994,0.92556465,1.1704481,0.86285746,1.1445999,0.79871684,1.0825012,0.830378,0.95718837,1.05265,0.75078213,1.2442507,0.985042,0.9386335,1.1247389,0.798213,1.181391,0.75040495,1.0808954,0.7378777,1.0953138,1.0982527,1.1350541,0.70463425,1.2147739,0.95148695,0.7846931,1.0243698,0.7512102,0.98086506,0.9590489,1.0823699,1.2461042,1.1685005,0.89790964,0.8170922,0.6619092,0.9202754,1.0681376,1.037128,1.1163175,1.1201226,1.1991041,0.9316827,1.0345926
crayon,1.4915997,0.9709398,0.59098893,0.7324214,1.5857612,0.7309859,0.5882717,1.1085838,0.633556,1.482764,1.3193874,1.5457962,0.3645991,1.2631872,1.6046292,1.2449542,1.5291057,1.3030382,0.93800247,0.16589868,0.33719468,1.1636324,1.0058959,0.6218818,0.5427945,0.30284828,1.2081187,0.45354307,1.3141811,1.0913957,0.7094257,1.4140037,1.323209,0.8994323,1.0834289,0.77439785,0.9622429,1.3614175,0.9893207,0.0,1.475704,0.3501007,1.3313081,1.1945504,1.1343551,0.6298601,1.3793468,0.84965897,0.75048363,1.3198222,1.2520691,0.5819898,0.3540076,0.85115755,0.93352234,0.44845194,1.1053634,1.2425997,1.4517779,0.2401219,0.8822373,1.1063688,0.88503486,1.1872079,0.7723512,1.3534175,0.2579521,0.92503566,1.3630073,1.5122013,0.92371404,1.4929047,0.6904242,0.9767131,0.55837816,0.38950276,1.1336184,1.3342756,1.4258425,1.0794368,0.8410145,1.1014706,0.27431583,0.38834012,0.52000815,0.663128,0.73524296,0.9154476,1.3355849,1.6139834,1.3727531,1.2460724,0.1635716,0.08828622,1.1119227,0.8844479,0.8264314,0.5401257,1.3198309,0.7196866,0.8202729,0.8908907,1.221996,1.4403125,0.55390346,0.8450265,1.1796007,0.7556956,1.1032946,1.4829986,1.1152692,1.5425856,1.2058065,1.3284903,0.80072623,1.2629927,1.2720022,1.343343,0.88290966,1.1053848,0.5666007,1.1944652,0.566808,0.45699447,1.2493294,0.58170414,1.2414602,1.494142,1.555619,0.6747501,0.59443426,0.6041949,1.1320578,0.49837196,0.618753,1.3712076,1.2073436,1.0547287,0.3772875,1.0453628
crib,0.6964879,1.23516,1.4441133,1.1695087,0.63581204,1.372084,1.3785369,1.0459045,0.95448774,0.49191904,0.8905394,0.4086315,1.1846551,0.27209222,0.7036569,0.92482805,0.39127612,0.53005403,0.927376,1.3733946,1.281883,0.5149691,1.3154479,1.0703604,1.1637003,1.2380764,0.6718792,1.2783046,0.75381523,0.5207304,1.3689876,0.57886267,0.8605089,1.1611629,0.8393878,1.4208128,1.151587,0.3141631,1.1894695,1.475704,0.0,1.3058935,0.8596569,1.1414852,0.78715503,1.0193576,0.76900315,1.2648861,1.4583733,0.85056776,0.89751834,1.475203,1.3238938,1.2436433,1.0883437,1.3041868,1.0961769,0.8759335,0.84247875,1.428608,1.2884374,0.9095926,1.0956465,0.9767361,1.116742,1.0013081,1.4502274,1.2119685,0.71541274,0.6564792,0.9720563,0.58276343,1.007289,0.8260976,1.296119,1.2992733,1.1294597,0.8213765,0.80346274,0.94675463,1.2401413,1.0709023,1.52453,1.2046266,1.245167,1.4118826,1.4145324,0.7379322,0.8529372,0.63832545,0.65785766,0.8533747,1.4365709,1.5106761,1.1119504,1.1125911,1.2250633,1.020961,0.7897371,1.2104181,1.2022202,1.1921537,1.1551307,0.71611524,1.0907576,1.3104302,0.6527122,1.0377737,1.0367471,0.6676607,0.9165551,0.6681559,1.0187829,0.7804755,1.1442423,0.5733684,0.6138958,0.6252941,1.2300639,0.8766381,1.3149693,1.0314078,1.3175173,1.3772539,0.8756255,1.2761403,0.81506467,0.6915952,0.43207896,1.2991827,1.4689779,1.307794,0.8450345,1.1071806,1.24009,0.5305788,0.91274005,0.8546882,1.4726936,0.87400967
cup,1.400131,0.89043975,0.6246414,0.6253489,1.5333569,0.5873431,0.52431995,1.157832,0.62991595,1.2801046,1.2924154,1.4416376,0.6570569,1.2031635,1.5561,1.183022,1.4090195,1.1382669,0.91473323,0.21728063,0.28227335,0.92837894,1.0668129,0.27072716,0.7890065,0.3164723,1.1729203,0.8742506,1.3743994,1.0007597,0.5845288,1.3093879,1.2453641,0.71271694,1.2425189,0.79947287,0.8912359,1.3053559,1.1603204,0.3501007,1.3058935,0.0,1.2600486,1.2200823,1.0213876,0.80205786,1.3463745,1.1051906,0.77032703,1.2850907,1.1983683,0.88148725,0.60291487,0.73143536,1.1762712,0.87336063,1.1180285,1.1742249,1.08222,0.62906194,0.98601675,1.1486726,0.8620812,1.2553364,0.70052874,1.4163463,0.45348668,0.974101,1.258818,1.438761,0.78005517,1.5319638,1.0665195,0.934758,0.51656574,0.6501386,1.0115386,1.014409,1.228052,1.09711,1.0544689,0.9404399,0.46366835,0.5514339,0.8280113,0.85248214,0.7785753,0.8725257,1.2653886,1.5541927,1.4520593,1.1568435,0.47736526,0.4120227,0.9496061,1.0465697,0.9312879,0.6681325,1.3719623,0.7297006,0.77055144,0.96590346,1.1285971,1.4440713,0.69556624,1.1026274,1.0467374,0.8356117,1.1065811,1.4636533,1.2850885,1.4932952,1.2334138,1.385439,0.9255334,1.1140516,1.1166236,1.1285642,1.0244468,1.1659067,0.4464823,1.1730392,0.52689207,0.79656714,1.1989706,0.704236,1.1119177,1.4100208,1.4090009,0.38886774,0.9035805,0.8790795,1.2069268,0.5788883,0.514646,1.1078969,1.0894582,0.8923602,0.6580692,0.98107326
dog,0.7011788,1.0643305,1.1306615,1.1696959,0.76694876,1.0586576,1.1799494,1.0340656,1.1817871,0.95991206,0.9424129,0.8228251,1.2404408,0.9622837,0.8028388,0.7865009,0.8573785,0.9672653,1.0699444,1.1982553,1.2332381,1.0384105,0.9619856,1.2222071,1.1927387,1.2529438,0.9097969,1.2357914,0.7647439,0.99843216,1.1104449,0.826139,0.8904269,1.0660628,1.0524635,1.0834286,1.1767654,0.84510255,1.0939531,1.3313081,0.8596569,1.2600486,0.0,0.922933,0.9557199,1.1853004,0.8655684,0.9996591,1.0840325,0.83021164,0.76373994,1.2307491,1.0669371,0.97750854,0.8650602,1.2429577,0.7696841,0.96885926,0.86260974,1.2513908,1.0143135,0.91743684,1.1810623,0.8089744,1.0562489,0.9416741,1.2601392,0.8148807,0.8385553,0.89930207,1.0237181,0.9088874,1.1788586,1.0320601,1.0543786,1.221308,1.1179922,0.95387274,0.99037635,0.92246974,1.0977166,1.0678121,1.2309941,1.3054186,1.1803821,1.1700401,1.215966,1.0698352,0.59739566,0.76539063,0.8288106,0.9784595,1.2894124,1.3151069,0.87436336,1.2035253,1.0501153,1.1912094,0.91491747,1.029953,1.1393162,0.732162,1.0079049,0.92238915,1.2035424,1.1701286,0.99245405,1.2183412,0.77618694,0.74365807,1.0427058,0.7623497,0.90713835,0.8950253,1.1111575,1.1123587,0.9646452,0.961498,0.9668865,0.98622787,1.2604084,1.0703806,1.1781243,1.2295141,0.8202652,1.2121086,0.88759923,0.80582434,0.81972194,1.1837869,1.181314,1.1300422,1.006931,1.225266,1.0864651,0.90228283,0.8965328,0.9213885,1.1897882,1.0840456
doll,0.8975133,0.9703336,0.89357847,0.9871708,0.70599914,0.9344142,0.99866074,0.77429163,1.288627,1.0613257,0.9530969,1.0035965,1.2228812,1.1234314,0.7489673,1.0384148,1.0937456,1.1428323,1.004729,1.2335876,1.2986336,1.091369,0.6936681,1.2342584,0.99165887,1.363853,1.1256347,0.9173864,1.1308221,1.15942,1.2367964,1.0620141,0.7777468,1.0741869,1.0789223,0.8662685,1.1015967,1.0588018,0.8602691,1.1945504,1.1414852,1.2200823,0.922933,0.0,1.0871524,1.2034307,0.7560816,0.98512113,0.8272084,0.9454855,0.8898696,0.6029539,1.1195166,1.1060212,0.7553084,1.1597351,0.80748075,1.0357461,0.9691466,1.1618242,0.7245656,1.2062192,0.76919675,0.86977965,1.1285731,0.38845807,1.1260861,0.94102937,1.0392848,0.911561,1.0047021,0.9296309,1.1656704,1.1496952,1.2810887,1.1900067,1.0329973,0.9997537,0.7675758,1.194199,0.969529,0.9657703,0.9688237,1.3320804,1.1059111,0.95179313,0.79522526,1.2646134,0.9623118,0.7998947,0.92615277,1.0474119,1.2571374,1.1714088,1.0033367,0.986382,0.9698918,1.285017,0.8429512,1.1218779,1.0463492,0.9477911,0.7344432,0.85725164,1.2290412,0.84795237,1.1925247,1.160742,0.8239683,0.9133622,0.9581235,0.83024454,0.8590331,0.80271184,1.0335431,1.146798,1.076849,1.0972291,0.82570636,1.1596084,1.031282,0.78712404,1.1170087,1.0020492,0.9915033,0.94140494,0.9270301,0.8391835,0.96094525,1.1431019,0.68558353,0.9797281,0.9075702,1.3357023,1.011174,1.0161991,1.0969998,1.0549283,1.0729563,1.1829641
door,1.1358379,0.87934464,1.2227595,1.244641,1.0600389,1.1725978,1.1479764,1.3284521,0.8566847,0.79137504,1.1787815,1.0511973,0.9590589,0.8834546,1.1301057,0.8559242,1.0881686,1.1044594,0.95055646,0.9436227,0.9094502,0.64040816,1.1891571,0.88562715,1.133349,0.74700534,0.94704413,1.1601462,0.9814181,0.56704575,0.8492166,0.41332936,1.1274567,0.9765755,1.1370022,1.0710777,1.0898925,0.8312442,1.1447053,1.1343551,0.78715503,1.0213876,0.9557199,1.0871524,0.0,0.6291775,0.9238551,1.2230628,1.1500968,1.0930619,1.029963,1.1775625,1.1751308,0.864388,1.0511844,1.1091363,1.0631669,1.022462,0.9604419,1.1474255,1.1786504,1.0691851,1.1671475,1.0417894,1.2563086,1.1714045,1.1866212,1.086967,0.9110434,1.0628071,0.8774142,1.1042728,0.94449794,0.5298456,0.74655354,0.9964539,1.2536454,0.9443786,1.2663511,1.0006291,1.1865227,1.1236279,1.1840074,0.8520318,1.0870986,1.0381254,1.1734995,0.3458109,0.9932757,1.0528035,0.96404064,0.8086264,1.1074997,1.1033889,0.8790025,1.2840927,1.0716195,0.8799362,1.183908,0.7219403,1.1319352,1.094218,1.0357282,1.0640042,0.7126423,1.1647391,0.25278556,1.1025664,0.83571637,1.0592294,1.0842241,1.0375435,1.0401374,1.0222198,0.8470485,0.75094664,0.83485276,1.0226974,1.104249,1.1456643,1.0777439,1.0327693,1.0582693,0.9879974,0.939025,1.0746254,0.9778482,1.0277483,0.8438326,1.0081977,1.1488948,1.202781,1.1968939,0.82891184,1.0381086,0.92118835,1.0184957,0.55379385,0.98518306,0.65735704
drawer,1.3162954,1.0142022,1.0234416,1.0936773,1.3585324,1.1386838,0.9759359,1.2016964,0.7412958,0.96641964,1.3226268,1.2749443,0.54771376,0.86275554,1.4707627,1.0752463,1.2909946,1.1943192,0.93547446,0.7418028,0.46004534,0.72165275,1.1399163,0.7929012,0.7548393,0.5397833,0.99352044,0.77004886,1.193969,0.65282035,0.7669764,0.9626177,1.3315873,0.87898076,0.9356935,0.9644498,1.1181854,0.95266026,1.0116776,0.6298601,1.0193576,0.80205786,1.1853004,1.2034307,0.6291775,0.0,1.189821,0.9806176,1.0048285,1.3107288,1.2146134,0.9122663,0.7057078,0.90996164,1.0013566,0.47788507,1.0654182,1.1375372,1.2049323,0.7774008,1.1297096,1.0802727,1.0816661,1.1643577,1.0969129,1.249156,0.8452564,1.0194815,1.050898,1.3303293,0.94202006,1.309578,0.6112522,0.766937,0.62128913,0.76660293,1.1795255,1.1592103,1.4247792,0.9374895,0.9909768,1.160256,0.9409549,0.6901077,0.84832627,0.8429667,0.99968404,0.5465192,1.1515313,1.4056737,1.187851,0.9589795,0.5617178,0.62640536,0.9885333,1.0671742,0.9718243,0.53271437,1.2899048,0.7720377,0.82356155,1.0217187,1.1449049,1.175172,0.33418,0.9848263,0.72848785,0.96905154,0.84254396,1.3054227,0.8811926,1.3929249,1.0618429,1.132735,0.7128369,0.93626976,0.7321346,1.2597926,0.9865777,1.0127912,0.8816419,1.1559434,0.89273053,0.5753203,1.099691,0.8334199,1.2277381,1.312485,1.1256201,0.7862619,0.9101466,0.9410683,1.1199775,0.77361894,0.9904544,1.0794935,1.1177466,0.8269586,0.7183986,0.8500049
dress,0.86482316,1.0553652,1.1473563,1.1822547,0.5217415,1.1413958,1.2610977,0.90294516,1.3111261,0.85620445,0.7114618,0.7304102,1.1541152,0.8237001,0.42248297,1.0489564,0.7745228,1.0901513,1.2147901,1.2837796,1.3431253,1.1615698,0.9035398,1.3034962,1.1441916,1.3071115,0.9801211,1.0707356,0.8159412,0.91850704,1.3545194,0.76352215,0.78986025,1.062507,1.0468886,1.076458,1.1916378,0.6879692,1.0841849,1.3793468,0.76900315,1.3463745,0.8655684,0.7560816,0.9238551,1.189821,0.0,1.0719701,0.9988073,0.8025779,0.74742734,0.9411099,1.3682504,1.2231733,0.7938632,1.2466621,1.1827706,0.987681,0.8424393,1.2022119,0.99768263,1.0005263,1.1311183,0.75131804,1.0851805,0.6565625,1.3206885,1.257337,0.82027096,0.66837335,0.9620279,0.60908693,1.0125731,1.1428103,1.3096676,1.1450174,1.1519092,0.943764,0.7892927,1.1558822,0.9847209,1.1574823,1.1635181,1.3188431,0.98495084,0.98780525,0.93630695,1.0407934,0.95766354,0.55981565,0.57291496,1.0177643,1.4232856,1.3578715,1.1128253,1.1435934,1.2935146,1.1169634,0.75023913,1.2206931,1.2017386,1.2110121,0.8823842,0.5550717,1.2986599,0.8853013,0.95514524,1.1973788,1.0080969,0.62705046,1.0649775,0.5789165,0.913229,0.5688629,1.1351854,0.94588304,0.8327786,1.0447806,0.939813,1.0053248,1.277549,0.7990364,1.2417469,1.1260535,1.0049993,1.2549844,0.99633706,0.61647636,0.81710225,1.3544135,0.8773617,1.0918665,0.8934215,1.2602764,1.3659184,0.9898595,1.0701355,0.90086526,1.1182011,1.0350289
ear,1.1528463,0.9781461,0.8054615,0.96156603,1.153273,0.94281995,0.91843295,0.96340245,1.118825,1.2575357,0.9853643,1.2542663,0.94439834,1.2371095,1.1086397,1.1913329,1.2329924,1.2153678,1.1924449,1.0409284,1.1302749,1.2280102,0.70113164,1.1570117,0.8927166,1.1015966,1.1618336,0.63186544,1.0833784,1.2535164,1.0887734,1.2106328,1.1926981,0.909695,1.0071146,0.91750443,1.072352,1.1990919,0.8416106,0.84965897,1.2648861,1.1051906,0.9996591,0.98512113,1.2230628,0.9806176,1.0719701,0.0,0.7858697,1.0555109,0.9537797,0.5403998,1.007089,1.0310608,0.76484454,0.7553444,1.0922306,1.1524925,1.1969839,0.6235101,0.79258823,1.0758581,0.9615425,0.7118767,1.0463749,0.8444207,0.7083783,1.0351124,1.1361607,1.19498,1.1216397,1.1120862,0.99860543,1.1370168,1.0747597,0.9686711,1.0113407,1.1228564,0.9481874,1.1774402,0.42364347,0.93028456,0.72718215,0.97573155,0.85308206,0.59505355,0.72760457,1.186132,1.0748008,1.1249218,1.0455399,1.1734577,0.9354964,0.90137994,1.0812486,1.0058823,1.0288795,1.1392342,1.0535953,1.0508103,1.0604364,0.9928233,0.9482246,0.95709187,1.0920279,0.38740218,1.3056332,0.9901432,1.0297713,1.1303989,1.013724,1.1325299,0.8069034,0.9176035,0.9253382,1.1409348,1.1881238,1.199252,0.74094236,1.1051923,0.8810693,0.8441541,0.99729097,0.7414926,1.0289499,0.94746274,1.0910308,1.1667904,1.3022504,1.0152224,0.5169578,0.6108058,1.0325471,1.0628095,1.0505682,1.3069047,1.1774613,1.1691928,0.6268517,1.0478671
egg,1.3463997,0.7887909,0.35335577,1.03285,1.334368,0.30431592,0.30424356,1.0557784,0.9917914,1.3726382,1.0435432,1.4134859,0.966015,1.3789383,1.224035,1.2519387,1.406128,1.2820553,1.1414341,0.80911934,0.8677537,1.2264676,0.66814023,0.89693904,0.8672867,0.9312312,1.2811625,0.7937497,1.2519469,1.2472925,0.76887107,1.3654048,1.0592501,0.7548302,1.2342412,0.45122576,0.93876684,1.3427454,0.9573401,0.75048363,1.4583733,0.77032703,1.0840325,0.8272084,1.1500968,1.0048285,0.9988073,0.7858697,0.0,1.1024072,1.064105,0.56483865,0.93791395,0.7722042,0.8586639,0.9571008,1.0536193,1.2184813,1.1668081,0.78771806,0.78975403,1.076827,0.9131388,0.99110025,0.93025255,1.0760179,0.63977,0.9147577,1.2557641,1.2959449,0.9561263,1.2986815,1.2139192,1.1350895,0.8465084,0.9311199,0.9271722,1.130108,1.0529069,1.2392762,0.82562494,0.9498194,0.49520147,0.91660726,0.97254646,0.6762675,0.27081716,1.1851059,1.1483862,1.2839593,1.2083259,1.2442491,0.8653749,0.8442128,0.9221959,1.0438904,0.947263,1.011505,1.252082,0.94352686,1.0213425,0.8565614,0.68081445,1.2057332,1.0314538,0.62346005,1.3422687,1.0095849,1.0784531,1.2284703,1.2845662,1.273978,0.9879564,1.1235412,1.0295618,1.2851528,1.3423893,1.27338,0.8228003,1.1363361,0.6152425,0.94601506,0.60990876,0.83496845,1.1927563,0.6256109,1.082468,1.1978672,1.4959263,0.68376577,0.51243716,0.8996076,1.0862981,0.98755485,0.67313516,1.2683041,1.2198335,1.1434236,0.6357577,1.2272421
elephant,0.85110444,1.0241126,1.2171849,1.0942167,0.57350796,1.1097564,1.1942521,1.0810173,1.241864,0.7405731,0.3808797,0.61420405,1.2471037,1.0419581,0.7129661,0.93479836,0.64180636,0.9121885,1.2492094,1.2327627,1.2959034,1.2717123,1.0538952,1.3300736,1.2266343,1.2619386,0.81501687,1.277174,0.4827882,1.1794857,1.1522641,0.8661871,0.73787636,1.2744823,0.9908194,1.1516019,1.0258235,0.90244883,1.168777,1.3198222,0.85056776,1.2850907,0.83021164,0.9454855,1.0930619,1.3107288,0.8025779,1.0555109,1.1024072,0.0,0.9145614,1.0720284,1.2819302,1.1202457,1.1104198,1.2065744,1.176287,0.92382866,0.82731354,1.1899092,1.0898832,0.6663458,1.3220814,0.93851817,1.0461177,0.9007819,1.2838777,1.062568,0.8723129,0.5602967,1.163337,0.5511663,1.069798,1.207655,1.1336838,1.1605959,1.0666783,0.9834189,0.97405547,0.90694475,1.0931832,1.0292101,1.1309068,1.3309565,1.1328669,1.10702,1.1914431,1.1371267,0.8576219,0.58686,0.74316263,1.0932574,1.216299,1.2672294,1.0291096,1.1761043,1.1307755,1.1494213,1.0083209,1.1654972,1.2859961,1.1253858,0.9332198,0.9174955,1.2696092,1.0583291,0.8680933,1.0731643,1.0677904,0.692611,1.0128522,0.69494516,1.0192766,0.8415556,1.2315048,0.7954434,0.9701934,0.8569066,1.109968,0.73635983,1.2336648,0.85726213,1.1498145,1.3244784,1.1385332,1.35835,1.1138391,0.6107675,0.84302163,1.3399383,1.1013145,1.1322529,0.85392284,1.2329867,1.3434952,1.0047599,0.8688755,1.0284946,1.2686702,0.97348684
face,0.8436587,1.2589316,1.0854862,1.1271238,0.75864553,1.1087132,1.1666791,0.9596076,1.2804489,0.8985988,0.9311562,0.8904621,1.213538,1.0807383,0.6705602,1.0916867,1.0126116,0.9381704,1.0408357,1.161531,1.2369435,1.0746164,1.0702026,1.2681907,1.0826637,1.2405547,0.79703844,1.1252142,0.87426984,1.1466119,1.1563327,0.82545316,0.76259375,1.1034799,1.0614108,1.1455483,1.1471779,0.8944688,1.1385953,1.2520691,0.89751834,1.1983683,0.76373994,0.8898696,1.029963,1.2146134,0.74742734,0.9537797,1.064105,0.9145614,0.0,1.0170251,1.1848886,1.1453834,1.0071249,1.1717339,0.97250885,0.9164804,0.88723505,1.0711374,1.2088232,1.0400116,1.0617744,0.27507925,1.0628175,0.77623767,1.069164,1.1173633,0.9609401,0.66443104,0.9376122,0.8346123,1.1433114,1.1504091,1.118284,1.2524087,1.1055263,0.86076295,1.0403279,0.9425286,0.8618828,0.99513644,1.0469233,1.3943857,1.1118102,0.9313456,1.1152848,1.1077342,0.8553474,0.6151999,0.83533424,0.93754333,1.2460654,1.245169,1.1400535,1.2245351,1.2281576,1.2427325,0.84528047,1.1207899,1.1153517,1.0285014,1.154205,0.89697486,1.1811357,1.0404439,0.9864687,1.2766559,0.931657,0.7631866,1.035037,0.55178505,1.0399727,0.84173405,1.1999344,0.9932225,0.94304776,1.0100214,1.1153026,1.0530182,1.2010636,1.151655,1.1502677,1.2767062,0.96500707,1.1459588,0.99123985,0.54772544,0.86944866,1.2130185,0.9923825,1.1012695,1.0101546,1.3564966,1.1686597,0.9255573,0.8828705,1.0229293,1.1770985,0.9739822
finger,1.3660343,0.8394094,0.6526084,0.90231854,1.1368505,0.829427,0.7602486,0.971967,1.072544,1.3911092,0.97083294,1.4161277,0.75903237,1.350264,1.1641194,1.3368452,1.4486247,1.4050457,1.1829515,0.7530614,0.92522115,1.3358762,0.60209626,1.0445926,0.7712772,0.8782044,1.3255441,0.38328975,1.2082442,1.2566209,1.0816792,1.3152057,1.1116233,1.0207795,1.0876524,0.7360418,1.0421233,1.3132026,0.7988556,0.5819898,1.475203,0.88148725,1.2307491,0.6029539,1.1775625,0.9122663,0.9411099,0.5403998,0.56483865,1.0720284,1.0170251,0.0,0.89751446,1.0683562,0.63179123,0.7251699,1.1749113,1.2263652,1.3195174,0.4897787,0.6175325,1.1494684,0.819734,0.8649591,1.0620302,0.5366531,0.6131687,1.1034309,1.289462,1.2246587,0.9828065,1.1615865,0.91645163,1.1864755,1.029249,0.66956294,1.0697168,1.1991211,1.0367212,1.310401,0.49102306,1.0152429,0.3755628,0.8452958,0.67152035,0.38194275,0.50311327,1.1377727,1.2862083,1.2037427,1.0750318,1.3012857,0.7782322,0.6397044,1.1485035,0.9425118,1.0341638,0.9656085,1.0872041,1.031979,1.1339927,1.0635433,0.83644414,1.0724121,1.0062149,0.41871846,1.2981851,0.9988329,1.0800388,1.2271512,1.1853789,1.2146075,0.85008854,0.93088907,0.9029327,1.2348492,1.2752075,1.3864723,0.6229942,1.212259,0.7631616,0.7140454,0.8888832,0.6025816,1.2642202,0.7325996,1.2073622,1.1861426,1.4972264,1.0198233,0.0659982,0.5638559,1.0286657,0.9447941,1.0037048,1.4532871,1.3468463,1.1900139,0.43712842,1.1521173
fish,0.9952186,1.1059439,0.67937875,0.77709067,1.4514334,0.82201385,0.7673353,1.075942,0.8652574,1.4067341,1.3039246,1.3039995,0.5380139,1.1172872,1.4059228,0.9793239,1.2457798,1.1502464,0.8184875,0.5248474,0.5396266,1.1308053,1.1298583,0.7549563,0.4118991,0.58138883,1.085481,0.7796861,1.2217548,1.119186,0.7712253,1.3622792,1.284387,0.78932405,1.1875185,0.94765365,1.0319189,1.2273424,1.0595315,0.3540076,1.3238938,0.60291487,1.0669371,1.1195166,1.1751308,0.7057078,1.3682504,1.007089,0.93791395,1.2819302,1.1848886,0.89751446,0.0,0.82882285,1.0036404,0.64569384,0.5949228,1.0518742,1.3851305,0.59712785,0.93383914,1.0207623,0.8161066,1.2039481,0.82764626,1.3067393,0.5410552,0.64283186,1.2932642,1.4409525,1.0954671,1.4274278,0.89707136,1.084086,0.73331285,0.627466,0.9947276,1.2444606,1.2262005,1.028989,1.0116191,1.0578536,0.69913185,0.69085336,0.779989,0.95225406,0.93332666,1.0674661,1.0728893,1.4536082,1.3396966,1.1117953,0.4572025,0.41432166,0.90817356,0.9012876,0.6449145,0.58394223,1.1353996,0.7671023,0.85394955,0.6217533,1.2114738,1.4092541,0.70998955,1.0881122,1.2883313,0.7261551,0.8185375,1.3285685,1.0423944,1.3829453,1.2229214,1.3444982,1.038389,1.3053923,1.2700009,1.1975334,1.0171336,0.98762137,0.6532202,1.2598897,0.63563293,0.77094376,1.2205452,0.6673031,1.2020419,1.4047713,1.4164417,0.76129824,0.91596586,0.955037,1.2119443,0.69714206,0.72022843,1.2531972,0.84830385,1.1961532,0.81064206,1.0988723
