,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bed,0.7453323,1.2204666,1.481996,0.92844576,0.64103895,1.2449178,1.4204369,0.9657817,1.2810693,0.41394418,0.0,1.0308834,0.26822406,0.46173686,0.1678884,0.82108593,1.5511559,1.3272514,0.9116178,1.5327995,1.359669,1.3746872,1.4015783,0.78430414,0.9581325,0.6185832,0.61265516,1.3403704,0.67338717,0.8792407,1.4199286,1.1355412,1.2614105,0.2807055,0.8435538,1.51924,0.34377313,1.5695001,0.76208496,1.0960817,0.8718839,1.1766238,0.69801784,1.3318678,1.4791076,0.63961,0.7804322,1.3808641,1.3170376,1.1369039,1.293837,1.2359561,1.1111492,0.7533591,0.55546623,1.4347129,1.332491,0.7727532,1.2976896,0.9085088,0.8992863,1.4731076,0.786669,0.6975233,0.53778875,1.3497639,0.4500054,1.3303277,0.8587557,1.3565739,1.4417832,1.1149822,0.92938083,1.2092379,0.7841438,1.0630606,1.2013161,1.1442931,1.510561,1.4109018,1.3496823,1.2603247,1.3120198,0.8953287,0.6185612,0.39362395,0.54481196,0.7902717,1.4418406,1.4606483,0.7925918,1.0833188,1.1469982,1.409471,0.69245505,1.247729,0.70570296,1.3763822,1.4122654,0.6522163,0.9634449,0.69367325,1.5016443,0.41536272,1.2349159,0.6493827,1.547358,0.6632073,1.0170344,0.21281528,1.5928785,1.5921755,1.1307265,1.5799071,1.2001762,1.1172004,1.2731853,1.1553029,0.44721866,0.2814281,1.422535,1.4876232,1.2785275,0.98250157,1.2840805,1.259278,0.9309413,0.7999657,0.879364,1.5294873,0.8024286
belt,1.2542093,1.0216771,1.0024011,1.1700544,1.055553,1.3028312,0.9867703,1.1849833,0.8009698,1.1177065,1.0308834,0.0,0.8497901,1.0176983,0.8558157,1.0684532,0.8257085,0.80600077,0.99898547,0.7047715,0.88456416,0.8547885,0.70363164,1.1674976,0.9321691,1.1591835,0.637679,1.1880745,1.2503827,1.0546575,0.751128,1.2988281,0.9355232,0.83809197,0.9920918,0.7355892,1.0296803,0.8481076,1.2726984,1.1097852,1.0314761,0.77352905,0.9908764,1.0188825,0.9191188,0.9949826,1.2430893,0.8073374,0.8626265,1.2892785,0.9709993,1.0837526,1.119929,1.2975985,1.2884521,0.7952149,0.9259205,1.1712079,0.997319,1.1659622,1.1281763,0.8455388,1.2196879,1.1080673,0.995871,0.996812,0.8323204,0.7399188,0.97352195,1.0148311,0.7118423,0.96754926,1.2649416,0.91464156,1.1788546,1.0295708,1.0454602,1.093025,0.86008644,0.667354,0.6735114,1.0961759,1.0748364,0.76513904,1.2253469,0.92687005,0.7525659,1.2178106,0.6919608,0.6853355,1.0936977,0.5852593,1.0654669,0.8634205,1.285672,1.1840229,0.61029816,0.7715866,0.9080591,1.1247201,1.0365028,0.88675046,0.7909734,1.0052918,0.97292566,0.6844069,0.60394853,1.0205082,0.80843514,1.1287621,0.72027874,0.8947681,1.0477808,0.73276293,0.7588347,0.8551568,0.8186886,0.9902302,0.99283725,1.192724,1.1075127,0.86564904,0.87944543,1.0753624,0.66863716,1.1414479,0.7379006,1.1770203,0.9814128,0.6403196,1.0413743
bench,0.89958835,1.2556169,1.3960212,0.92290866,0.80043364,1.2019691,1.2887577,0.9378014,1.0025743,0.5762818,0.26822406,0.8497901,0.0,0.6395904,0.29033995,0.87997603,1.4046555,1.2075843,0.63445866,1.349,1.258757,1.151829,1.179326,0.9021031,0.94215757,0.85873336,0.3245741,1.2964917,0.8783129,0.805184,1.3095325,1.0911775,1.1661397,0.20461226,0.7669449,1.3532405,0.39910787,1.4388813,0.85081583,1.0927578,0.86476904,0.95807195,0.70082486,1.3320093,1.376008,0.8864087,0.9199883,1.3507507,1.3116245,1.1693501,1.2583439,1.1890275,1.1247741,0.77347577,0.816255,1.4208843,1.2771052,0.93714577,1.0249567,0.98619,0.97749716,1.378075,0.84601736,0.7800888,0.7301316,1.3827226,0.5589516,1.3105867,0.6900026,1.3430448,1.3458779,0.9916797,0.9089204,1.1266246,0.7217448,1.0841767,1.1848761,1.1025249,1.4807047,1.1882943,1.2776273,1.2778835,1.1818302,0.84868497,0.79665744,0.5826781,0.59798884,0.92063636,1.313092,1.356076,0.71736544,0.8385733,1.1665404,1.2745125,0.8755674,1.2441213,0.49399048,1.1940354,1.351954,0.7685933,0.9400233,0.7822715,1.3975443,0.6233782,1.2044427,0.6577387,1.4564154,0.8184401,0.91107035,0.38858747,1.4717411,1.4153314,1.1409383,1.5159085,1.2148681,0.9967029,1.1560271,1.1170981,0.6457187,0.4828694,1.2141742,1.4383594,1.2135344,1.0078807,1.0484151,1.1457198,0.7089142,0.9069245,0.82837594,1.4359813,0.8816825
bib,0.7466794,1.2059566,1.3765789,0.7926707,0.59121054,1.287403,1.4441885,0.93855745,1.3676391,0.6400433,0.46173686,1.0176983,0.6395904,0.0,0.41882896,0.909871,1.4845145,1.4836133,1.0729901,1.4755458,1.2389247,1.3825861,1.4070323,0.84907913,0.7612869,0.7327559,0.97117674,1.3715739,0.83369887,1.1426754,1.288927,1.1271565,1.1149253,0.73951036,0.8437754,1.5075712,0.7010268,1.5357387,0.8377131,0.9226156,1.03951,1.3396957,0.5640114,1.0860662,1.4165791,0.68940717,0.7245071,1.1118187,1.3939675,1.1726507,1.1041105,1.2190086,1.1465082,0.86007774,0.7631225,1.3388277,1.1895411,0.917471,1.2167214,0.748531,0.63130414,1.2532575,0.9216677,0.7351328,0.38023627,1.2659568,0.34883046,1.439319,0.9616301,1.4858208,1.2225864,1.0043244,0.8426311,1.0987395,0.64686793,1.0955762,0.9356386,1.0460193,1.4068979,1.2997209,1.0979807,0.9961015,1.2284665,1.0806638,0.6945933,0.27856934,0.3437841,0.7734171,1.4647762,1.5118796,0.9455019,1.3285912,1.2384142,1.5268737,0.81338346,1.2412338,0.6200856,1.5071123,1.3977128,0.88265234,0.8390523,0.6634379,1.4177942,0.2570734,1.1731219,0.3215779,1.5140951,0.8355715,1.2047437,0.5303006,1.4574163,1.5016557,1.0186731,1.531793,1.3249664,1.0830951,1.3066338,1.150559,0.35965478,0.6058039,1.4451299,1.2353361,1.0142903,0.809546,1.2299207,1.3131434,1.1690776,0.84380627,0.99104244,1.3445477,1.0031897
blanket,0.75476956,1.2571903,1.4114823,0.80801654,0.58714455,1.2763004,1.4020231,0.90642715,1.3160347,0.57360226,0.1678884,0.8558157,0.29033995,0.41882896,0.0,0.9518307,1.5494826,1.3871583,1.016904,1.4041088,1.317904,1.3757765,1.3731898,0.87159073,0.8144268,0.63741875,0.67417896,1.3946173,0.8831607,1.0117117,1.3586476,1.1246173,1.1194277,0.39700365,0.7621354,1.4405248,0.54696953,1.5889137,0.8885521,1.1287304,1.0345242,1.2241554,0.6804642,1.2344887,1.4040048,0.5291474,0.83736265,1.2040486,1.2918437,1.2104967,1.2261869,1.309131,1.1149124,0.8801525,0.7673782,1.3960018,1.2487626,0.8519774,1.1813335,0.92693347,0.7879812,1.3930663,0.8533782,0.6774573,0.41801763,1.4292452,0.3805406,1.3675224,0.984673,1.5022633,1.3136559,1.061186,0.79519403,1.1387504,0.62281966,1.1402395,1.0907834,1.0738659,1.431232,1.2801259,1.1682711,1.1621003,1.186842,0.9710794,0.64557713,0.31185836,0.45026875,0.9098281,1.3962978,1.4097475,0.757371,0.94851744,1.2825137,1.4216087,0.8004595,1.2368498,0.5205861,1.4301275,1.3517138,0.85062194,0.87394255,0.61835504,1.4479052,0.34908307,1.2314587,0.42861313,1.5186079,0.78907716,1.1028302,0.3507862,1.5215179,1.5871339,1.1161499,1.5756325,1.2362771,1.0160791,1.168737,1.2391608,0.35764313,0.555404,1.4417346,1.3783996,1.1131713,0.95989686,1.1294438,1.3584793,1.0250973,0.8459761,1.0328563,1.4290166,0.9460072
book,0.81024355,1.0160373,1.0981209,0.84830034,1.0698782,0.9725589,1.0357503,0.9429656,0.815274,0.85159594,0.82108593,1.0684532,0.87997603,0.909871,0.9518307,0.0,1.0332322,0.84479177,0.50270635,1.219568,1.2218999,1.0800483,1.1715174,0.87464756,1.1870204,1.1125772,0.93511564,1.0049325,0.8597136,0.75488853,1.0095383,1.0920576,1.0397952,0.9458946,0.91577786,0.9919103,0.7978425,1.0852675,0.94501513,0.86788195,1.0465173,0.8542063,1.0863904,1.1854,1.174651,1.0274472,0.96096087,1.2517172,1.0826051,0.9577154,1.0395142,0.9411915,0.78502715,0.657604,0.86159754,1.1130178,1.1305246,0.987059,0.7754692,1.0522981,0.99606526,1.1471447,0.91702515,0.8901385,0.8143814,1.0899049,1.0541487,1.0464488,0.96500176,1.0543921,1.2419478,1.101405,1.1187342,1.2351279,1.004801,0.93716925,1.1497812,1.2070717,1.1511748,1.1966475,1.1967438,1.2805822,1.2496142,0.88784593,1.1264981,1.0026532,1.1359938,0.41409326,0.9293194,0.95282227,0.99914265,1.0277412,0.99616694,0.8977414,0.9460487,1.0944316,1.0060184,0.92138225,1.1678939,1.0503719,1.1010466,0.9883853,1.1600091,0.97429067,0.9717679,1.1851915,1.1793069,1.097246,1.0485382,0.8532071,1.1178198,1.1514028,0.97907174,1.148083,0.99535143,1.1805414,1.0588039,0.98493105,0.93902344,0.66599596,0.95156485,1.2313265,1.2168751,0.7340106,1.1750741,0.6625839,0.7611762,1.0140858,1.028632,1.1440911,1.0954522
bottle,1.4806285,0.8668208,0.52975607,1.3322895,1.4998999,0.8088161,0.29997134,1.2740669,0.4986204,1.5072575,1.5511559,0.8257085,1.4046555,1.4845145,1.5494826,1.0332322,0.0,0.32372862,1.0034205,0.5307572,0.80643916,0.33674943,0.27171415,1.1757438,1.4160087,1.309052,1.050511,0.6174428,1.239261,1.0273644,0.87183213,1.0294753,0.989986,1.3153344,1.3177766,0.25070906,1.3299499,0.09508586,1.2783934,0.90294373,1.0544528,0.8994777,1.4192634,0.94494385,0.6554001,1.3318462,1.2923276,0.99349797,0.5623951,0.79569316,0.9004508,0.8578011,0.9926673,1.2747415,1.316196,0.38357645,0.8290886,1.184968,0.78792655,1.2822478,1.4862826,0.51010215,1.1833577,1.3867769,1.4750504,0.57734764,1.4509104,0.23994994,1.1037285,0.45570338,0.51339185,1.1895566,1.2957445,0.84771156,1.4675436,0.77327096,1.1386486,1.2788453,0.4718001,0.37568277,0.720464,1.1826694,0.9934596,0.9569608,1.4728627,1.5693026,1.4169234,1.2089972,0.4287541,0.2912612,1.3615919,0.51210976,0.69767237,0.6012025,1.3452485,0.8055184,1.3006073,0.43929422,0.5841689,1.1767491,1.2992723,1.3648841,0.47915596,1.5390612,0.9546836,1.397989,0.22263712,1.0983398,0.9484688,1.5039043,0.4541844,0.24804103,1.0880873,0.30333805,0.46996582,1.0175662,0.8028363,0.7398374,1.5278769,1.5051849,0.5168583,0.77262425,1.0614237,0.85256386,0.42527503,0.50148225,0.9493028,1.2051178,0.9462598,0.47720194,1.1092137
bowl,1.3697736,0.9299061,0.6970997,1.3686428,1.4305027,0.83687836,0.46398145,1.132814,0.54350805,1.1602099,1.3272514,0.80600077,1.2075843,1.4836133,1.3871583,0.84479177,0.32372862,0.0,0.77871895,0.6402286,0.8644917,0.36366868,0.41811228,1.0501362,1.3903408,1.3037901,0.91414845,0.62503844,1.2111,0.90931904,0.9104386,1.0213735,1.028649,1.1699256,1.189664,0.4129256,1.1629822,0.2767669,1.2555655,1.0594677,1.0957566,0.6565894,1.450559,1.1635051,0.59757674,1.2278397,1.289633,1.1655412,0.55077565,0.8064868,1.0262053,0.90685743,1.014474,1.1263878,1.1262066,0.6006083,0.9729582,1.0666159,0.8226659,1.3351216,1.4710219,0.7940469,1.1650685,1.1709021,1.4077907,0.754621,1.4762805,0.3157686,1.0883027,0.450902,0.752007,1.1217672,1.2357974,0.7595951,1.3765748,0.91265744,1.2366807,1.1998967,0.6739874,0.55589694,0.93880063,1.2642742,0.9534683,0.82040334,1.361239,1.5163288,1.4793236,1.1048849,0.42949617,0.32896078,1.1871636,0.44526345,0.78785604,0.29524797,1.2861952,0.91975164,1.2626126,0.47051787,0.7264071,1.1270031,1.2188487,1.380285,0.69976044,1.4922237,0.96218157,1.4865327,0.4199754,1.0634582,0.6625397,1.3277441,0.6535321,0.55896914,1.0974573,0.4286105,0.46554792,1.1105376,0.8476263,0.90204334,1.459312,1.2359247,0.5073751,1.0120839,1.1096114,0.89656425,0.61925375,0.58637416,0.59023255,1.1978939,1.0359261,0.7413578,1.0327712
box,1.0340403,0.9795684,1.170136,0.98223466,1.2003003,0.9349768,1.0567113,0.98934376,0.4930436,0.8108685,0.9116178,0.99898547,0.63445866,1.0729901,1.016904,0.50270635,1.0034205,0.77871895,0.0,1.15921,1.0494378,0.68345386,0.8514217,0.99749273,1.2240556,1.2390851,0.56114143,0.9240802,0.87221706,0.65613997,1.0240974,0.9773379,1.0991498,0.80565983,0.9328566,1.0925528,0.6239763,0.96596193,1.0059153,0.89874005,0.759572,0.55783594,1.1061307,1.3063524,1.089999,1.1769365,1.129959,1.3439008,1.2599063,0.9746426,1.1857668,0.91209596,0.9144017,0.62320644,0.8283852,1.3059149,1.095426,1.0505768,0.7303597,1.209777,1.1637125,1.2258489,0.9827007,1.015346,1.0459175,1.0711219,1.1606896,1.1020918,0.64662045,0.90067345,1.2840677,1.0328225,1.1013792,1.0343028,1.0241811,0.9140989,1.2303536,1.1609311,1.3169465,0.9924034,1.3534113,1.2681793,1.1164451,0.6538818,1.2274712,1.1260412,1.1723535,0.69880056,1.0396258,1.1026429,0.92576814,0.89697635,0.9649901,0.9087235,1.083142,1.0423093,0.7566997,0.71345156,1.1371555,0.830663,1.1292113,1.0385157,1.1482142,1.1339782,0.9256455,1.2290511,1.1746578,0.96242785,0.74247265,0.93636364,1.1588848,0.98688954,0.9462931,1.1460751,1.1050031,1.1287777,1.0039326,0.85542244,1.1188873,0.7059939,0.66505706,1.3347453,1.2253108,0.9989879,0.9806732,0.6875031,0.51657426,1.0678343,0.80801976,1.2066686,1.0090075
bread,1.2866344,0.9587088,0.46964532,1.0937655,1.2932506,0.8862716,0.57205725,0.9335869,0.6851536,1.5209489,1.5327995,0.7047715,1.349,1.4755458,1.4041088,1.219568,0.5307572,0.6402286,1.15921,0.0,0.84546566,0.75509,0.6808699,1.2883093,1.0240507,1.3271474,1.1928427,0.88216084,1.399225,1.0559162,0.7320845,0.9006287,0.6753176,1.3460054,0.9266721,0.41597503,1.4621756,0.49213088,1.363672,1.0044838,1.3148844,0.9246058,1.2770569,0.8478718,0.4431587,1.3220865,1.2775993,0.64511275,0.6135029,1.0640281,0.90957785,0.959941,0.94501823,1.3178909,1.4539766,0.45614493,0.79226077,1.2588276,0.7644222,1.1519223,1.2498472,0.54005563,1.1686498,1.353225,1.4074924,0.77005774,1.4080398,0.57628655,1.2122991,0.89384294,0.5541716,0.79197055,0.9673381,0.84755856,1.281586,1.1086019,0.8832729,0.75191534,0.40823478,0.60405827,0.50105953,0.8909506,0.51627433,1.1378325,1.3688921,1.4838902,1.3385186,1.3549215,0.6334047,0.4907738,1.05183,0.6398045,1.0384154,0.49293458,1.2985511,0.72613174,1.1736189,0.72249615,0.49488163,1.4486015,1.1366947,1.1960939,0.57646734,1.5046749,0.98924214,1.2118846,0.3497976,1.2608744,1.0741146,1.4937279,0.37019444,0.46703815,1.1235621,0.38899732,0.596839,0.77710795,0.44815934,1.0769566,1.4773579,1.5846947,0.685596,0.50747705,0.7431608,1.1605144,0.68595463,0.7667802,0.91729,1.2969024,1.2947981,0.3775779,1.1942776
broom,1.1263118,0.95550686,1.060508,1.3263942,1.0872419,1.0124372,0.9546711,1.2064133,0.8599514,1.1227357,1.359669,0.88456416,1.258757,1.2389247,1.317904,1.2218999,0.80643916,0.8644917,1.0494378,0.84546566,0.0,0.9040768,0.6369735,1.155974,0.85906446,1.0856992,1.0286579,0.7819743,1.1492093,0.9703015,0.71046066,0.9448094,1.0943341,1.2690837,1.2135423,0.8007364,1.1510725,0.8406671,1.1414001,1.0261091,0.8158935,0.7539795,1.1992937,0.95770985,0.7856353,1.1906693,1.1929975,0.9425925,0.89015764,0.9055934,0.855779,0.6405679,1.1298167,1.141653,1.1413748,0.98023045,0.98324656,1.1041104,1.0644735,1.182317,1.1903079,0.9630512,1.0887468,1.0808485,1.3244784,0.92849594,1.2017726,0.76442075,0.8133553,0.71916914,0.55054754,0.9615843,1.143949,0.61784756,1.1308379,1.0014206,1.0816721,0.99535227,0.99358046,0.62523836,1.007278,0.9364284,1.0292277,1.0399946,1.1549134,1.2613637,1.0988523,1.0735509,0.6419409,0.7992758,1.139982,0.88455933,0.9209502,0.8648873,1.1692219,1.1011984,1.0446535,0.83896965,0.94295096,1.0371991,1.0456188,1.1684066,0.49067414,1.3089082,0.9517481,1.1337675,0.6728215,0.957214,0.8060452,1.3447506,0.92283857,0.68843544,1.0184617,0.80582637,0.87677723,0.83030605,0.9737566,0.9328102,1.2952343,1.2639806,0.9494818,0.98293084,0.9865109,1.0101556,0.639179,1.1190567,0.92343867,1.0032424,0.5980276,0.88156945,0.9909429
bucket,1.373429,0.82623756,0.79593015,1.3143559,1.4229414,0.7661029,0.5968263,1.1221807,0.5302261,1.2052667,1.3746872,0.8547885,1.151829,1.3825861,1.3757765,1.0800483,0.33674943,0.36366868,0.68345386,0.75509,0.9040768,0.0,0.27290463,1.157867,1.3419492,1.2986736,0.76255226,0.66442287,1.1601214,0.9555565,0.91269934,0.9671202,1.0136757,1.1312627,1.2175132,0.65611583,1.1094291,0.24582136,1.2180251,0.9470348,0.9271439,0.78678656,1.371537,1.077998,0.7181031,1.2550611,1.3403356,1.144316,0.8211335,0.8716128,1.0178673,0.94553494,0.974627,1.1547486,1.1893857,0.8562807,0.8004414,1.0998181,0.7388016,1.3299189,1.397052,0.7340841,1.1522616,1.210626,1.4151946,0.7145814,1.3651711,0.6441458,0.9664208,0.53677785,0.8436351,1.0452118,1.1961598,0.71332645,1.235015,0.7559074,1.2250241,1.1683948,0.8812378,0.47946358,1.0341923,1.2049662,0.896776,0.75816417,1.4261374,1.4521408,1.3502935,1.1575534,0.717744,0.67059743,1.2364988,0.58191323,0.7385503,0.58279955,1.3387547,0.85738,1.0437104,0.50908494,0.74338645,0.95564103,1.0796621,1.2768298,0.723562,1.433044,0.8372034,1.3253664,0.54830635,1.0405655,0.65212595,1.3547539,0.6871921,0.44624972,0.9334328,0.49743044,0.8407969,1.1023934,0.885848,0.69503766,1.4415271,1.2523531,0.36131346,1.0236385,1.1376966,1.0226353,0.51154697,0.5987239,0.6681824,1.2127253,0.8177026,0.8116083,1.0606762
can,1.4847945,0.8840165,0.89993733,1.366513,1.356185,1.0322196,0.5924513,1.3580402,0.5333759,1.2936308,1.4015783,0.70363164,1.179326,1.4070323,1.3731898,1.1715174,0.27171415,0.41811228,0.8514217,0.6808699,0.6369735,0.27290463,0.0,1.1612908,1.3027849,1.2063292,0.73017776,0.72215974,1.1278443,0.9362911,0.8686105,1.1157984,1.1071899,1.0985687,1.3161932,0.5501499,1.0889848,0.3048377,1.2908943,1.0219705,0.69824636,0.6975352,1.28562,1.0308099,0.7176943,1.2125514,1.3619766,1.0374341,0.78475434,0.95060784,0.9975566,0.9528695,1.1781167,1.2705779,1.2453227,0.70205057,0.9628719,1.1063087,0.9760939,1.312181,1.4551885,0.7077726,1.1915755,1.3602946,1.4216532,0.7654776,1.2657042,0.3978939,0.84225506,0.48783165,0.50803494,1.1771549,1.3748446,0.5672531,1.4471959,0.849849,1.2156041,1.2651094,0.82705355,0.24538517,0.8927986,1.1920613,1.0669148,0.69530076,1.4186473,1.4022232,1.1991708,1.176532,0.60577,0.5450659,1.316415,0.47113216,0.7208189,0.7059327,1.3689253,1.033662,1.1272486,0.43323874,0.77243614,0.822812,1.1367543,1.3042257,0.5433444,1.4209948,0.94399637,1.1916349,0.33835316,0.832199,0.6962495,1.4284207,0.6984786,0.45519292,1.0277331,0.4673587,0.6395458,0.85943735,0.93112874,0.74797004,1.4152727,1.3168739,0.6743661,0.9777101,1.108617,1.0890522,0.3161642,0.89269984,0.76732713,1.1447554,0.7384788,0.73665285,0.86470795
car,0.93555117,1.0399905,1.1682172,1.0094713,0.90546733,0.978551,1.0925893,1.0654615,1.1327575,0.7532612,0.78430414,1.1674976,0.9021031,0.84907913,0.87159073,0.87464756,1.1757438,1.0501362,0.99749273,1.2883093,1.155974,1.157867,1.1612908,0.0,1.130297,0.8839318,0.946583,1.0170776,0.8496256,0.80077755,1.2020805,1.0442616,1.2167113,0.8595246,1.1730525,1.2213889,0.84571815,1.1913999,0.82339257,1.0449378,0.96964324,1.0861566,0.9570381,1.1318712,1.2332304,0.8520813,0.85831577,1.2430446,1.1670237,0.91537297,1.1349555,1.0089939,1.0671828,0.97173554,0.8026347,1.13123,1.1945614,0.8694572,1.2439249,0.9060435,0.99749404,1.1232426,0.8455211,0.86058366,0.8177521,1.1890543,0.94072163,1.0751393,0.98684615,1.0166321,1.2762916,1.096761,1.050396,1.0417101,1.0039173,0.840727,1.0795147,1.1401947,1.1969995,1.2570466,1.2279596,1.0777137,1.2170302,0.9212987,0.8196324,0.8266722,0.9638594,0.8633068,1.1031358,1.1551765,1.0375388,1.1755434,0.96347684,1.1019437,0.8072531,1.057197,1.036768,1.0694103,1.1225629,0.83103263,0.9656767,0.9459824,1.2541373,0.82683,1.0243518,1.0410322,1.2463287,0.93226665,1.0086576,0.77516687,1.2462162,1.2805662,0.99988467,1.2041523,1.1338773,1.2010038,1.2333194,0.8735791,0.81375825,0.7466421,1.138754,1.2500525,1.210362,0.9764796,1.2222313,1.0819365,1.0643325,0.83972055,0.9962199,1.2741191,0.9086569
carrot,0.8948449,1.145726,1.1103679,0.7667675,0.5848763,1.2570064,1.3787842,0.8023473,1.3420727,0.83762205,0.9581325,0.9321691,0.94215757,0.7612869,0.8144268,1.1870204,1.4160087,1.3903408,1.2240556,1.0240507,0.85906446,1.3419492,1.3027849,1.130297,0.0,1.0100774,1.0951369,1.3533934,1.1184256,1.1676478,0.912099,0.9480302,0.7846412,1.0429363,0.7562642,1.1271298,1.0806934,1.3716753,1.1057097,1.1572647,1.1552278,1.1206738,0.75625587,0.76898634,1.0111473,0.9885949,1.0323846,0.595961,1.1469357,1.3782117,0.9079788,1.0675082,1.2248813,0.96555877,1.0487307,1.10819,1.0614161,1.1226152,0.9637845,0.93065345,0.57014495,1.2209606,1.0695137,0.6023235,0.8722974,1.2333341,0.73821044,1.3007662,0.91633874,1.3646414,0.85253274,0.7954634,0.7995207,1.0103709,0.6395434,1.323564,0.78764987,0.7421347,1.0468131,1.1616412,0.80375177,0.6115296,0.7815846,1.2270033,0.93328196,0.8143375,0.71931374,1.0729452,1.1016009,1.2078263,0.7508296,1.2795749,1.3236794,1.1950074,1.0366093,1.1116912,0.82495445,1.4534767,1.1832886,1.1278783,0.7287448,0.8203694,0.97675043,0.8165071,1.1161456,0.59562457,1.1802874,1.0548029,1.0560553,0.8228914,1.1593144,1.2669436,1.0076405,1.2283318,1.1464803,0.6903691,1.0601692,1.2848892,0.85920846,0.94696736,1.2718805,0.8454722,0.7023921,0.798944,1.1739835,1.3611132,1.1067773,1.0356212,0.9492833,0.9264492,1.0189891
cat,0.6110829,1.1520461,1.3836501,1.0619285,0.7857648,1.2046112,1.2604369,1.0978605,1.2994541,0.7648393,0.6185832,1.1591835,0.85873336,0.7327559,0.63741875,1.1125772,1.309052,1.3037901,1.2390851,1.3271474,1.0856992,1.2986736,1.2063292,0.8839318,1.0100774,0.0,1.044829,1.1952882,0.853461,1.0004553,1.1868424,1.0679116,1.2493018,0.84681,1.0983866,1.3927771,0.73228776,1.355014,0.34170723,1.0825793,0.9084564,1.2453908,0.7948493,1.1287327,1.3194485,0.6171148,0.81914794,1.2034173,0.91942537,0.9989499,1.1352373,1.215442,0.87489676,0.9771638,0.7629733,1.1723304,1.1209348,0.75474083,1.4431266,0.8743528,0.8857933,1.2456276,0.55004704,0.90966463,0.8314017,1.1516861,0.6829218,1.1240526,1.0130568,1.1665598,1.087418,1.0587728,0.97059304,0.97630286,0.91905737,0.9993978,1.138018,1.0795465,1.2978008,1.2568076,1.2017732,1.114382,1.2649323,1.0003259,0.52513385,0.70745105,0.7428316,1.0071439,1.2739153,1.3036208,1.0523363,1.189166,1.0498463,1.3296866,0.5216216,1.2187356,0.96537805,1.2488261,1.2473769,0.7877225,0.825003,0.8238096,1.1873304,0.6980294,1.1792988,0.8336889,1.2517582,0.7350095,1.0292569,0.8143097,1.3540056,1.3568385,1.1102984,1.3333759,1.144299,0.9881157,1.2742693,0.9815416,0.70759696,0.70262235,1.4272215,1.3187451,1.1462915,1.0907619,1.2279238,1.3891411,1.1394279,0.8621783,1.0640854,1.3054618,0.8477718
chair,1.1011865,1.0992762,1.307093,1.1343261,1.0927628,1.1890736,1.1303608,1.1026251,0.7720709,0.80643666,0.61265516,0.637679,0.3245741,0.97117674,0.67417896,0.93511564,1.050511,0.91414845,0.56114143,1.1928427,1.0286579,0.76255226,0.73017776,0.946583,1.0951369,1.044829,0.0,1.1044989,0.9357531,0.7355393,1.1042725,1.2166929,1.168016,0.30378997,0.9298775,1.1474476,0.4910642,1.0973787,1.0054413,1.052006,0.7061386,0.78148353,0.8952356,1.2720242,1.243762,1.0311124,1.2278007,1.3038719,1.1469964,1.1049439,1.2539225,1.0187887,1.0394715,0.94487053,0.9923483,1.3243793,1.1202501,1.0321751,0.9973466,1.2116895,1.2064792,1.1693599,0.9998499,0.90571964,1.0510827,1.1246474,0.8015791,1.0304408,0.52081686,0.94296086,1.1493717,1.0019288,1.1858392,0.91476405,1.0268043,0.87048554,1.306296,1.2501011,1.4404566,0.8144094,1.2680082,1.3670863,1.2087312,0.5768236,1.086221,0.91640836,0.8132507,0.9125169,1.0299948,1.1183015,0.9101193,0.57190484,0.8910585,1.0242463,1.0904301,1.1868981,0.54823554,0.76299274,1.2124887,0.67016995,1.0808173,0.97781295,1.0933833,0.9299166,1.0516108,0.8740758,1.0623767,0.8472629,0.67644536,0.6975768,1.2280432,1.1782756,1.0805652,1.1419413,1.0841122,0.9746549,1.0407171,0.7814591,0.97315073,0.6249792,1.0278677,1.3874056,1.3063271,1.1518679,0.7632666,0.9982603,0.54394037,1.040696,0.634493,1.2568022,0.8689687
