,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window,zebra
bed,0.859238,1.1042225,1.3148255,1.2061226,0.6810317,1.2135338,1.2052214,1.2068827,1.3432672,0.6442558,0.0,1.1620066,0.42852473,0.5818576,1.1630365,0.31587696,0.8295649,0.910904,1.423411,1.3289142,0.99436045,1.2358952,1.4107392,1.0235914,1.2777026,1.2093511,0.8579279,0.7195113,0.8267684,1.301625,0.48436022,0.8586592,1.0236329,0.43481207,0.9837138,1.4855742,0.46419358,1.4719894,1.2041452,1.0515853,0.825619,0.964928,0.68736494,1.2254702,1.292094,1.173104,0.8418673,1.3055452,1.3312507,1.1206778,1.2893721,1.4128914,1.0288423,0.93964124,0.9942495,1.2676362,0.7159001,1.4021738,0.938202,1.047067,0.86500776,1.3756995,1.160114,0.7198537,0.5654536,1.2852911,0.6449137,1.2642752,0.9765133,1.3948982,1.1977179,1.039652,0.83949596,0.68413883,0.8350744,1.2200892,0.9301704,1.2835708,1.2268162,1.1020646,1.182854,1.4345932,0.69702435,0.99888283,0.44461226,0.6132593,0.5963198,1.3791566,1.3969688,1.2069286,1.1655344,1.0694301,1.152073,1.2776172,1.1881082,1.0901221,0.8561808,1.1773562,1.1885858,0.4941932,1.2680149,0.8548269,0.97151643,0.5558564,1.1253631,0.90244484,1.1208764,0.5599272,0.6950457,0.44643533,1.4512668,1.3455777,0.9012818,0.89309895,1.3225529,1.1981311,0.59671855,0.307284,1.3982058,1.4221684,1.2134192,0.90721124,1.1995912,1.4310246,0.7446176,0.61973715,1.412821,1.4505417,0.6710808,0.94551504
belt,1.2998466,0.7465541,1.0847101,0.8881345,1.0463923,1.1027724,1.0922059,1.2059627,0.84916615,1.3998133,1.1620066,0.0,0.81934917,1.1876314,1.1998308,1.0843347,0.97843957,1.1959467,0.87284315,0.6675723,0.91683865,0.9505717,0.6937907,1.0961545,0.5531783,0.9959211,1.0008126,1.1251334,0.49076438,0.9713348,1.118463,0.9381903,1.1564602,0.8258836,1.1642224,0.6898366,1.0160884,0.7325918,1.2235483,1.2441257,0.7706368,0.71132696,1.1018655,0.8624514,0.9867861,0.9580165,1.2519338,0.7900256,0.9813426,1.2312078,0.72761303,0.6656757,1.4182937,1.220656,0.9377339,0.73093307,1.0356295,1.0644805,1.0496657,1.1342928,1.0782846,0.7370242,1.2146853,1.186469,1.1935441,0.9332146,0.79341847,0.543396,0.8330496,0.660305,0.6296941,1.1453267,1.3444928,1.1318495,1.1437036,0.9155236,1.2689173,0.854573,0.50005937,0.7192988,0.9723995,1.0896482,0.6592035,1.3483677,1.0275445,0.8606458,1.309726,0.57344747,0.6142061,0.836821,1.2039423,0.48689175,0.93391657,1.0413842,1.225852,1.163682,0.68312657,0.6847749,0.9209919,1.1078763,1.1892259,1.0721912,1.028361,1.0569681,0.99232984,0.57028204,1.0328325,1.007928,1.0256475,1.237679,0.7042202,0.96638924,0.68287444,1.3547192,0.7917658,1.0106707,1.0707592,1.2585106,0.74019945,0.73638844,0.8181477,1.040054,0.5626171,1.052576,1.2265297,1.2133232,0.65881217,0.6262814,0.9209249,1.1648307
bench,1.008696,1.0602145,1.2810651,1.1313952,0.8925271,1.2537282,1.1497306,1.2328959,0.9431678,1.0056739,0.42852473,0.81934917,0.0,0.9306257,1.2574897,0.5927605,0.8504186,0.99101317,1.1815495,0.9646127,0.6948519,1.2266812,0.9702977,1.1034256,0.76099026,1.0679737,0.93176395,0.88508016,0.2690344,1.1832877,0.5416126,0.80325055,1.1106516,0.25510633,1.110037,1.2989905,0.33309323,1.121583,1.1255274,1.1317636,0.62613976,0.68814844,0.9068147,1.1670418,1.2182802,1.2082043,1.0548371,1.2629288,1.2405567,1.1794832,1.1124465,1.1840477,1.1986641,1.0463936,0.9234674,1.2548947,0.902988,1.3183746,1.0570402,1.1583831,1.0674058,1.1225502,1.1379434,0.99680614,0.91738284,1.1124531,0.7144921,1.0077102,0.57941735,1.1026244,1.083099,1.0478915,1.0925353,0.89676493,1.0724227,1.2323871,1.053131,1.2981641,0.7948337,1.2179095,1.2736757,1.3092711,0.48774838,1.1597188,0.77971005,0.7096615,0.83033407,1.1858734,1.1991504,1.1090205,1.1276108,0.7306673,0.9232486,1.2171743,1.1502326,1.0541332,0.85935307,0.91463286,1.0879905,0.6025207,1.2025217,0.8495512,1.0737716,0.8086549,1.0797907,0.77331495,1.1377343,0.5897447,0.6188306,0.7941133,1.1758741,1.3029199,0.62150276,1.1043862,1.1272542,1.0527654,0.9255332,0.46311426,1.1005107,1.32312,1.2407928,1.0038055,0.826334,1.2603772,0.85750353,0.78831977,1.059429,1.3502784,0.6652809,1.0366409
bib,0.7490642,0.7575815,1.340421,1.3394023,0.49596083,1.3083835,1.2302239,1.0239204,1.4470506,0.70208776,0.5818576,1.1876314,0.9306257,0.0,1.2123901,0.49157423,0.9074728,0.9796881,1.4421108,1.5922436,1.1834971,1.0806042,1.4982865,1.0270102,1.4531959,1.3222992,0.6602076,0.87522686,1.1823733,1.451395,0.710181,1.0291517,0.92962825,0.8325033,0.81409085,1.5792984,0.7755208,1.5666955,1.1981219,0.83857024,1.1109304,1.2569916,0.33129323,0.9971038,1.3017025,1.0745608,0.6543106,0.9998595,1.1516204,1.1647007,0.98135996,1.5665028,0.813627,0.8806283,0.78161985,1.2626158,0.4501462,1.1523135,0.69813395,0.87528944,0.5444441,1.4614462,1.2079222,0.676789,0.3679365,1.2213855,0.5845859,1.503854,1.2408558,1.6346903,1.0176818,1.0673202,0.8217611,0.44509494,0.9906928,1.0376502,0.8787031,1.3517646,1.4597647,0.74129224,0.98746675,1.3474855,1.0107428,0.97370607,0.24149042,0.46390402,0.73958874,1.5742177,1.5430921,1.1833845,1.1448749,1.3209702,1.2787719,1.3750247,1.2610784,1.0167054,0.5744985,1.370976,0.96180034,0.7211555,1.3027279,0.7130774,0.94243354,0.14397705,1.0467163,0.60496515,0.9105919,0.93628746,0.9176183,0.5684259,1.3666766,1.3696713,0.9770281,0.87835073,1.3730391,1.1463046,0.54045105,0.5975218,1.5581532,1.1965479,0.98754996,0.7983607,1.4448926,1.5165142,0.8951393,0.80280924,1.5174907,1.3598055,1.0150404,0.9981401
bird,0.6471101,1.1709703,0.85910434,1.0526134,1.275541,1.0259557,0.92061365,0.8377667,0.87362784,1.1251651,1.1630365,1.1998308,1.2574897,1.2123901,0.0,1.0626646,1.0969448,0.9331219,0.9382252,1.0650887,1.1537354,1.0544776,1.005126,0.7491559,1.0981007,0.83487505,1.2182347,0.6248101,1.1922388,0.882737,1.2050282,0.99719656,1.0229974,1.2437851,0.88652587,0.99155414,1.1790365,0.97305715,0.47204518,0.8048427,1.1426744,1.033907,1.2260306,0.93040293,0.91206,1.0294055,1.0957215,1.1042283,0.8945309,0.72626626,1.1744354,0.7544701,0.61166847,0.96695805,1.182515,1.1644349,1.0958613,1.0599251,1.1585355,0.97111607,1.1252065,0.8897609,0.6241983,1.0674078,1.1729565,0.94458926,1.1838866,0.84573185,1.0185065,0.9187944,1.1634997,0.90383214,1.0636102,1.117536,0.86018133,1.1360219,0.93695617,1.0756344,0.86364615,1.1504686,1.1365627,0.8994311,1.1695147,0.6257878,1.1730504,1.1694607,1.0534092,0.92900044,1.0107349,0.7763256,0.70034814,1.091311,0.9126806,0.8350885,0.61358917,1.0514445,1.1755542,0.9203467,1.032743,1.2067696,0.33710527,1.2546148,0.9643354,1.1960872,0.95608497,1.2317533,1.0612153,1.1142324,1.1636429,1.0188748,0.88867724,1.0045854,1.2320882,1.064641,0.88360745,0.88823706,1.1644894,1.2197635,0.8936534,1.0912129,1.2255385,1.1416093,0.8846549,0.8584358,1.1065993,1.0839496,0.87593395,0.9852102,1.1317437,0.87383515
blanket,0.6580042,1.0349957,1.2451676,1.3236935,0.73848796,1.1721588,1.0223414,1.1012512,1.3203113,0.72086626,0.31587696,1.0843347,0.5927605,0.49157423,1.0626646,0.0,0.9010329,0.8508948,1.4581006,1.3858491,1.0368819,1.1981007,1.4186139,0.9685125,1.379591,1.1812084,0.81982815,0.77170956,0.9328415,1.3948202,0.61009836,0.85532737,0.96563333,0.5944035,0.8982198,1.5334399,0.5720762,1.4864709,1.146012,0.8790827,1.0672886,1.1018829,0.7076962,1.1387043,1.2725415,1.1797498,0.99066734,1.2260686,1.0737078,1.1696787,1.2454677,1.4077308,0.7703838,0.90097,0.82851833,1.3671682,0.44467616,1.1982014,1.0501363,0.899546,0.74083364,1.290178,1.1557678,0.77485394,0.5170546,1.3341303,0.47722185,1.3395005,1.0989105,1.5522648,1.1840177,0.93486476,0.80003643,0.4238661,1.0324074,1.2373382,0.9250581,1.4032176,1.0929675,0.9971909,1.2345802,1.3739607,0.8538351,1.0343597,0.25128007,0.6544976,0.70184505,1.4640495,1.4503133,1.1381927,1.0964601,1.0705333,1.2119461,1.2788043,1.1885388,1.0714278,0.79086626,1.2238207,1.0488937,0.7415751,1.2425416,0.8294298,0.8543581,0.56952345,1.0114123,0.78283924,1.0078365,0.7565172,0.79831505,0.267143,1.3079762,1.4358888,0.83517927,0.852352,1.2656404,1.1895727,0.55876964,0.5351374,1.4150219,1.3921208,1.092192,0.83684766,1.1181221,1.3727423,0.83255845,0.757695,1.4602962,1.4619355,0.88859385,0.9193958
boat,0.83513176,1.105913,1.2152314,1.1973476,0.94125056,1.1508348,1.0736531,0.9407724,1.1197106,0.9486943,0.8295649,0.97843957,0.8504186,0.9074728,1.0969448,0.9010329,0.0,0.91914344,1.1532638,1.0815841,0.8636843,1.1262965,1.1458596,1.0175749,1.0652902,1.0933564,1.173783,0.9462407,0.93700683,1.0617589,0.8735436,0.882556,0.9235483,0.9786644,0.8631701,1.1560391,0.76230955,1.2044407,1.1527731,1.0399317,0.9397415,0.9113839,1.0122352,1.0544434,1.2657158,1.087151,0.93500835,1.2002492,1.223499,0.937314,1.1874266,1.0250245,0.9590352,0.91844094,1.0405945,1.139182,0.9007967,1.1409786,0.99723464,0.8527546,0.9417656,1.1809198,1.0922825,0.7402885,0.92539215,1.0428357,0.80160236,0.9817741,0.8845202,1.0907116,1.1242287,0.99241006,0.98132515,0.931987,0.7277175,1.1871258,1.0516238,1.1848711,1.1144953,1.0073541,1.1727728,1.1804684,0.9823039,0.98898894,0.8955801,0.90715146,0.73069274,0.99304277,0.9743165,1.1152922,1.117634,1.1808959,1.121864,1.070054,1.111728,1.0451211,1.0229309,1.0663638,1.0319281,0.9463011,1.1448069,0.86524045,0.6548315,0.9075343,0.8113101,1.0489422,1.0365516,0.9033824,0.9689285,0.91661704,1.21713,1.2008655,0.97684795,0.9979457,1.213914,1.1122972,0.8876586,0.64631677,1.170532,1.2697047,1.121259,0.92726827,1.1515076,1.1343008,0.82497114,0.8536811,1.0688194,1.132209,0.9189956,0.9856011
book,0.8882959,1.2243186,1.0704193,1.0086243,1.1260718,1.0857202,1.0525756,0.93687534,0.93532187,0.82648516,0.910904,1.1959467,0.99101317,0.9796881,0.9331219,0.8508948,0.91914344,0.0,0.9806438,0.91317624,0.5039796,1.253319,0.9484719,0.928496,1.0410177,0.8149417,1.2200729,0.9446454,1.0574323,0.93055856,0.89431894,0.8721323,0.9791609,0.93189025,0.88440764,1.0710254,0.68915427,1.0230914,0.81602263,0.7713598,1.0504066,1.0607866,1.0621521,1.2860497,1.1002387,1.1463864,0.9934709,1.2611572,1.2059715,0.8555671,1.3301572,0.98454034,0.85068816,0.84659356,1.1627216,1.248048,1.1109946,1.0325406,1.2026705,1.1197066,1.104355,1.0856446,0.7546804,0.88529867,1.012102,0.80476713,1.1636331,0.961261,1.0200094,1.0813098,1.2787365,0.98582417,0.88848925,1.1321648,1.0238389,1.2083297,1.058319,1.1474506,1.0728862,1.198478,1.2451788,1.1391859,1.1556563,1.0051302,1.0222733,1.2470783,0.4127242,1.0124118,1.0372669,1.1765738,0.8377766,1.1381495,0.940548,0.7349283,0.7174058,1.139598,1.135768,0.91947293,1.089101,1.0237617,0.8949358,1.1754023,0.8743515,1.126972,0.938207,1.3071444,1.0554366,1.120298,0.98940384,0.92918515,1.2275181,1.1571612,1.1724491,0.8659058,1.0673583,0.74948454,0.7126086,0.7838497,1.0104163,1.2631019,1.282193,1.0636365,1.0604311,0.8466756,0.585436,0.5872085,1.0198092,1.2477236,1.0939032,0.89469403
bottle,1.3260194,1.2024819,0.6660094,0.5609375,1.3456092,0.6551477,0.73997295,0.91572803,0.5824621,1.3425264,1.423411,0.87284315,1.1815495,1.4421108,0.9382252,1.4581006,1.1532638,0.9806438,0.0,0.3680477,0.9300721,1.1075578,0.21409225,1.0538582,0.3862933,0.58335483,1.3631451,1.16906,0.84458107,0.512453,1.3564816,1.2111261,1.2338483,1.1495763,1.2474024,0.46571958,1.273575,0.19890153,0.8965498,0.9788403,0.8461544,0.9676632,1.3072014,1.1156638,0.5758463,1.1366421,1.1792598,1.0323684,1.0104803,0.86502296,0.9598384,0.6150749,1.1979479,1.181288,1.1292229,0.8087166,1.3209674,0.772772,1.2081001,1.1905092,1.4215912,0.49244583,0.93416405,1.2365227,1.3355784,0.5756464,1.3890171,0.6277812,0.88688433,0.33634567,0.89697677,0.87925506,1.2989013,1.3439273,1.0832896,1.1514672,1.2410418,0.578866,0.53284776,1.2364986,1.1463153,0.6330106,1.0056742,1.1807587,1.4568946,1.3528736,1.2637663,0.602546,0.67716956,0.86377156,0.99341995,0.599585,0.70791256,0.607235,0.867107,0.960267,1.2473323,0.632315,0.93077385,1.1276321,0.93677425,1.0963155,1.2493151,1.3946853,1.2203472,1.193414,1.1211652,1.0812961,1.1135719,1.4114114,0.7425219,0.6577271,1.0750376,1.2272108,0.64331204,0.5255969,1.2828724,1.4072711,0.34216833,0.78388155,1.0750319,1.0741363,0.4837796,0.5015983,1.1319708,1.240177,0.4487381,0.64010864,1.06412,1.2025014
bowl,1.4339027,1.2669061,0.66462815,0.44277734,1.4326868,0.58859783,0.7176125,1.0340279,0.5646448,1.22358,1.3289142,0.6675723,0.9646127,1.5922436,1.0650887,1.3858491,1.0815841,0.91317624,0.3680477,0.0,0.611566,1.1521451,0.22071075,1.1092962,0.27894938,0.62940156,1.4004096,1.2137232,0.66085863,0.4689833,1.2932783,1.0984036,1.1770897,1.0592314,1.2245381,0.3079157,1.1012483,0.17110384,1.070941,1.1982154,0.8548949,0.78539115,1.4638025,1.1772887,0.6325184,1.1400149,1.2466218,1.067253,0.8364799,0.82468843,1.0618063,0.4702419,1.3213942,1.2605016,1.2552867,0.7362377,1.4861065,0.89853823,1.2760984,1.2043301,1.478462,0.46941257,1.0728884,1.2247082,1.4870923,0.7194574,1.3458563,0.43990707,0.8304226,0.20430386,0.91638863,0.9678022,1.2141172,1.5169616,1.0031848,1.1118261,1.2770507,0.5377603,0.3850621,1.255548,1.2212371,0.72713476,0.92770284,1.2021875,1.526418,1.4340222,1.1135787,0.36663824,0.39838445,0.9023472,1.09603,0.37559062,0.7555782,0.4984824,0.98410887,1.0620474,1.3596802,0.57380724,1.1250405,1.1983443,1.0297318,1.2094448,1.119684,1.5033038,1.1894522,1.2168007,1.1370896,1.0122728,0.9592588,1.3280357,0.71933615,0.69647783,0.87890947,1.1614388,0.6178806,0.71682155,1.3035971,1.3527714,0.25257683,0.7973401,1.0448375,1.1336879,0.3707832,0.47082913,1.0319638,1.1764799,0.4291929,0.684135,0.955134,1.278819
box,1.114514,1.2187034,1.0754846,0.9544228,1.1893499,1.1165824,1.0492747,1.0498707,0.66891515,0.84640586,0.99436045,0.91683865,0.6948519,1.1834971,1.1537354,1.0368819,0.8636843,0.5039796,0.9300721,0.611566,0.0,1.2129099,0.722192,1.0093874,0.6563983,0.8719299,1.2320794,1.1353647,0.6750128,0.8224886,0.940492,0.9256511,1.000136,0.82698447,1.035657,0.9487409,0.6459025,0.8258543,1.0368495,0.9943506,0.73736656,0.72652054,1.210794,1.213813,1.0906299,1.143383,1.1143317,1.2615764,1.0916905,1.0019274,1.2172277,0.9084914,1.0804033,0.9717107,1.1390011,1.1842444,1.2513112,1.1075764,1.2334743,1.1944642,1.2670598,0.98368824,0.9920865,0.99304086,1.1548107,0.8808645,1.1820503,0.835552,0.742875,0.8226682,1.1958178,1.0980523,0.9228834,1.3016808,1.0829902,1.1704955,1.1156702,1.1917236,0.81482077,1.2433379,1.3045244,1.1095088,0.83389246,1.146064,1.1864713,1.1797562,0.6061616,0.8784054,0.8442888,1.0381978,1.0123736,0.8489675,0.88262314,0.7990259,0.9415572,1.0436277,1.14548,0.7916763,1.0871823,0.8753813,0.9863631,1.0748782,0.8750902,1.204788,0.9100277,1.1379856,0.99605626,0.94467115,0.70899135,1.1097168,1.0368068,1.1407914,0.91188544,0.8967588,0.9442766,0.84758556,0.9196113,0.8313908,0.8380883,1.1711848,1.2105044,1.1778829,0.8679069,0.8766329,0.58461064,0.759639,0.8254383,1.2006212,0.907927,1.086107
bread,1.0069697,0.7497784,1.060304,1.022905,1.0987073,1.0797673,1.1684197,0.9404293,1.0462298,1.2067189,1.2358952,0.9505717,1.2266812,1.0806042,1.0544776,1.1981007,1.1262965,1.253319,1.1075578,1.1521451,1.2129099,0.0,1.1521362,1.0698038,1.1332259,1.1653683,0.7011711,1.0708098,1.200208,1.0790038,1.1399952,1.1253192,0.9427643,1.1804383,0.95886683,0.93559086,1.2720082,1.0771751,0.96208656,0.99509686,1.1717589,0.926087,0.9607575,0.51976246,0.8958197,0.46178126,0.8980087,0.6916704,0.80004895,1.2205937,0.5722356,1.0257733,1.0440369,1.1040502,0.9130908,0.51136774,1.0529108,0.7949415,0.64546347,1.0454278,0.9753567,0.8636899,1.1073834,1.184841,1.1415641,1.1612039,1.0932035,1.0826197,1.160276,1.0547639,0.8832647,1.1557788,1.1317548,1.0702193,1.0672054,0.38047123,0.8613701,0.78958356,1.0394139,0.8580626,0.30817544,0.93381804,1.1422659,0.8849552,1.1412377,0.9941805,1.2342237,1.0823919,1.0353625,0.786389,1.0456331,0.9943464,1.1343546,1.1451333,1.1164474,0.93415856,1.133372,1.1206392,1.0229983,1.2425195,0.9660785,1.1055286,1.2235295,1.0931063,0.8773166,0.92277247,1.0503789,1.167328,1.254073,1.226131,0.52308124,0.7178339,1.1080694,1.1172265,1.0962226,1.210023,1.2880113,1.272093,1.1416377,0.583217,0.5564375,1.1477742,1.0639933,1.1055081,1.2945237,1.2108587,1.0269679,0.73061144,1.0749246,1.0285071
bucket,1.3697988,1.1519808,0.79900897,0.6597143,1.3496599,0.7610859,0.81332254,1.0243092,0.44432205,1.3573112,1.4107392,0.6937907,0.9702977,1.4982865,1.005126,1.4186139,1.1458596,0.9484719,0.21409225,0.22071075,0.722192,1.1521362,0.0,1.084563,0.16888094,0.63167906,1.3266814,1.2210324,0.6142971,0.52209616,1.2785465,1.1264697,1.2194012,1.0163865,1.226599,0.5163714,1.0827348,0.12953234,0.98504823,1.0567197,0.7315699,0.8849886,1.3933855,1.1119844,0.58062404,1.1765993,1.2616545,1.031682,0.97609925,0.88662803,0.9542477,0.5833392,1.337012,1.2200277,1.0910178,0.8975497,1.3530744,0.86978865,1.2430164,1.2094514,1.4308288,0.45245266,0.9782483,1.2664986,1.389332,0.4822294,1.2902503,0.61041087,0.7202717,0.30821002,0.87045664,1.0199167,1.2906265,1.404345,1.123499,1.1381893,1.2602086,0.72753465,0.39148927,1.2582917,1.2255781,0.70649266,0.8526751,1.2671555,1.4376941,1.3303182,1.2401476,0.601172,0.6771551,0.862852,1.0216335,0.4607467,0.66626537,0.5646548,0.93144625,1.0121886,1.2405279,0.5522289,1.0095215,1.106076,0.96986115,1.1048608,1.2137772,1.406329,1.264008,1.0533562,1.1121061,1.0314482,1.007855,1.4312981,0.73302734,0.73480004,0.89328897,1.2266167,0.62519944,0.56420374,1.2812326,1.3961314,0.23251086,0.7970035,1.1118178,1.1391869,0.359056,0.58088017,1.1016407,1.2228748,0.4265893,0.7079881,0.99205506,1.2308269
butterfly,0.74141085,1.0396619,1.0370417,1.0411888,1.1226631,1.1272286,1.0040815,0.84707594,0.99756026,0.9780431,1.0235914,1.0961545,1.1034256,1.0270102,0.7491559,0.9685125,1.0175749,0.928496,1.0538582,1.1092962,1.0093874,1.0698038,1.084563,0.0,1.095647,0.87190306,1.110732,0.93167233,1.0820684,0.96785223,1.0094644,1.0220375,0.9629662,1.0823481,0.8076979,1.0344617,1.0374631,1.0549301,0.87583095,0.9618821,1.074653,0.98605967,1.1381297,1.041385,1.0323159,1.0292913,1.1041119,1.1262174,0.8366692,0.7789483,1.1315813,0.8902043,0.7069736,0.88974994,1.1144834,1.1482807,0.98882437,1.0465202,1.1894445,0.9006997,1.0384173,1.1198548,0.8748294,1.0652041,1.0336506,1.001791,1.086102,0.9400311,1.089897,0.97266597,1.212712,1.0920326,0.992113,1.0866221,0.9215628,1.0937873,1.0855958,1.173383,0.9449628,1.1477696,1.0911676,1.0205919,1.0152959,0.848349,1.0452359,1.0936791,0.9641423,0.9992187,1.0289011,0.883392,0.9354395,1.1084268,0.8915894,0.85502994,0.9192536,1.0382187,1.1131399,0.9785533,0.99677587,1.0324227,0.85038793,1.1655076,0.9117803,1.0461748,0.86761016,1.1331421,0.96894556,1.0685301,0.99956715,1.0123824,1.0608628,1.146902,1.2126172,1.0181143,0.9318127,0.9278501,0.98183155,1.0437295,1.0092403,1.1472242,1.0606773,1.1722249,0.95414823,0.9669476,0.933775,0.9696063,0.967339,1.0490727,1.0033067,0.7701389
can,1.3603458,1.0565655,0.93462557,0.7060886,1.259433,0.9596288,0.943988,1.1241423,0.5242261,1.4030915,1.2777026,0.5531783,0.76099026,1.4531959,1.0981007,1.379591,1.0652902,1.0410177,0.3862933,0.27894938,0.6563983,1.1332259,0.16888094,1.095647,0.0,0.7676933,1.2745295,1.1166861,0.38026243,0.6261121,1.2118117,1.1087075,1.2977974,0.86199474,1.2273633,0.5922494,0.9188581,0.27327698,1.0447768,1.1862947,0.50038004,0.65989536,1.3551581,1.1034601,0.7435601,1.1476922,1.2400084,0.9982334,1.0376245,0.98440135,0.84795713,0.5898696,1.4367425,1.1913007,1.062078,0.8736297,1.3639755,1.0371984,1.1712959,1.2368157,1.403097,0.6090009,1.0398564,1.2200723,1.3554444,0.66020244,1.2041457,0.56696016,0.6052749,0.28258705,0.7626147,1.106243,1.3584666,1.4287293,1.1178751,1.155409,1.2922661,0.7568335,0.3589636,1.23149,1.1987815,0.8629488,0.6098223,1.2817395,1.3748908,1.1693339,1.1623026,0.6020152,0.6698593,0.8567113,1.0477473,0.34349597,0.6423105,0.7734679,1.0162036,1.0917689,1.1655695,0.5262842,1.0087653,0.92176735,1.0520971,1.1332967,1.316977,1.294447,1.2543163,0.89347136,1.227327,0.86399144,0.91715634,1.4342604,0.7682694,0.8425969,0.78583556,1.318724,0.73058534,0.6556828,1.3013775,1.2494526,0.37952733,0.7770585,1.1104122,1.2086792,0.34826612,0.82345533,1.1442313,1.2066443,0.40833437,0.7561079,0.7899757,1.1955866
car,1.1647208,1.2716957,0.87229794,0.78831935,1.3257487,0.873743,0.9116516,0.9549841,0.77344877,1.1529106,1.2093511,0.9959211,1.0679737,1.3222992,0.83487505,1.1812084,1.0933564,0.8149417,0.58335483,0.62940156,0.8719299,1.1653683,0.63167906,0.87190306,0.7676933,0.0,1.3193238,1.1048247,0.9260103,0.65519387,1.1760824,1.0612379,1.1210765,1.0130396,1.194749,0.7099626,1.0883833,0.63160264,0.7880873,0.8429612,1.0430057,1.02434,1.2652284,1.200393,0.7943362,1.1091466,1.0573057,1.1694701,0.98983276,0.7391089,1.2322537,0.685874,0.95405304,1.0345393,1.2651608,1.0432578,1.2510397,0.9878429,1.1749398,1.1220429,1.31333,0.66548645,0.8116516,1.0636057,1.3105869,0.6778865,1.2916554,0.615097,0.9350248,0.6770278,1.1708741,0.99427116,1.1542625,1.3075004,0.9683034,1.2180427,1.1597079,0.9145905,0.6936705,1.1940749,1.2281637,0.85475785,1.0865936,1.011465,1.2744322,1.3157163,1.1259034,0.72227037,0.8017638,0.92897433,0.90169096,0.81792974,0.7382549,0.5708284,0.74834406,1.0951685,1.2088497,0.5369252,1.0105293,1.14903,0.8285768,1.1446457,0.9712708,1.297985,1.1389395,1.283119,1.1086239,1.0679476,1.1319914,1.1822298,0.9158151,0.91897696,1.100155,1.1088246,0.6819854,0.6247414,1.2097934,1.1883855,0.61301714,1.0487313,1.2471018,1.184873,0.6438503,0.51450604,0.9613745,1.0649058,0.62393844,0.89187646,1.0276443,1.0166333
carrot,0.9908148,0.5384168,1.0325367,1.2029972,0.6767632,1.0395644,1.1357257,1.1062002,1.3240393,1.0371419,0.8579279,1.0008126,0.93176395,0.6602076,1.2182347,0.81982815,1.173783,1.2200729,1.3631451,1.4004096,1.2320794,0.7011711,1.3266814,1.110732,1.2745295,1.3193238,0.0,1.0613894,1.0855703,1.3536885,0.8131254,1.0405475,0.94023675,0.86448246,0.97005975,1.2603446,1.0658268,1.3325249,1.2133815,0.9951849,1.0895511,1.0280411,0.62666166,0.71169496,0.97864294,0.9037398,0.8903496,0.6102609,0.9767161,1.2767353,0.5560179,1.3970438,1.0268137,1.0625207,0.7677568,0.859105,0.62714905,0.81418556,0.71475035,1.0811529,0.6379601,1.130437,1.2522,1.0138004,0.65107983,1.2336901,0.82597256,1.3593913,1.2298504,1.4117285,0.8129563,1.0571015,1.1063364,0.5757013,1.1647179,0.6674981,0.82139266,0.9875841,1.2681081,0.80019236,0.5909818,0.96714205,0.97259444,1.033188,0.7219285,0.70397866,1.0278265,1.376871,1.31813,1.0696483,1.0461066,1.07616,1.2167114,1.3420582,1.2964529,0.75181335,0.72320414,1.3192697,0.94109845,0.9147446,1.1756659,0.9185429,1.2235594,0.6754087,1.0425593,0.7180761,1.0377938,1.1018248,1.0368084,0.8545937,0.8931742,0.9473207,0.8706748,1.1493025,1.2854439,1.257351,0.9909187,0.8953264,1.3951759,0.72942454,0.72050416,0.8363302,1.2693549,1.3259358,1.1600835,1.000348,1.3413763,1.0577782,1.0159749,1.0499902
