,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shovel,sink,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.140128,1.3610224,1.1265093,0.69732296,1.2657341,1.2136923,1.178833,1.1799388,0.68905133,0.5007218,1.2811086,0.9255413,0.6358683,0.8262391,0.5514974,0.26368243,1.3549306,1.1953151,0.5399631,0.9953408,1.2971046,1.2214141,1.3338182,0.6424562,1.3763115,0.67448795,0.9225585,1.2640554,0.91571134,0.7493745,1.3224345,1.0820479,1.1766241,1.0212148,0.7901355,1.3979062,0.94968194,1.512325,0.90812886,0.7372087,0.6635307,1.1634005,0.9960153,0.96911436,1.3415749,1.4075738,0.6985259,1.1834185,0.8425436,1.189908,1.0556111,1.2000356,0.981614,1.1558672,0.64875627,0.5680891,1.2715307,0.93698746,1.397618,0.7984783,0.6868817,0.74563706,1.3001662,0.76449966,0.7899167,0.51204884,1.3933642,0.7455635,1.0718491,1.1587678,1.2629212,1.2019393,0.9710785,0.9578378,0.81845963,1.2281945,1.4452479,1.411083,1.1370896,1.3612409,1.3806443,1.384608,0.98867184,0.7417025,0.7663586,0.82021314,0.45200217,1.019054,1.2998368,1.2849755,1.0581381,1.2960827,1.320987,0.28559947,1.1625221,0.7998978,0.7966992,1.2722609,0.7578824,1.2509706,1.3929423,1.0263867,0.6238637,1.2164152,0.9051837,0.7135583,1.1147205,1.4006939,0.8341063,1.3499937,0.7040983,1.3510287,1.084113,1.2737808,1.4508599,1.4611464,0.88598347,0.7312219,0.58435273,1.347281,1.4248474,1.3009641,1.0135503,1.2548094,1.2011464,0.69546896,0.99999696,1.3688176,1.0557201
ankle,1.140128,0.0,0.9397719,1.0289986,1.083438,0.6077727,1.007192,1.0466235,0.7705407,1.1608393,1.2372729,0.9129146,1.2594814,1.146483,1.1020674,1.2091,1.0287822,0.7222719,1.034434,1.1489908,1.0904235,0.9604185,0.9444408,0.88387424,1.2402911,0.95948994,1.1944315,1.2133915,0.7047037,1.1692171,1.2725072,0.8965413,1.0162958,0.7284491,1.1719323,1.1756716,0.88754565,1.0093305,0.810079,1.1658089,1.1637504,1.0485711,1.0765054,1.1302372,1.0722066,0.856963,0.8523426,1.1349947,1.0683519,1.2436393,1.0857594,0.8004131,0.6956125,0.5549175,0.8900312,1.0499159,1.1206148,0.9924614,0.6367351,0.92991114,1.2218547,1.1147734,1.1651134,0.8661793,1.0341624,0.9653683,1.1638836,0.87325597,1.3301542,1.0093753,0.9777831,0.68071115,1.0622513,1.0981164,1.0503647,0.81272256,1.1451621,0.79282534,0.8588031,1.0654504,0.90488344,0.9349092,0.8775298,1.2120376,1.0925568,1.165407,1.3169526,1.0334923,1.1177518,0.88643384,0.89625156,1.0955877,1.028747,0.95548064,1.1473446,0.73004526,1.1114392,1.0437536,0.80003375,1.248441,0.76659316,0.92775375,1.0577048,1.1807852,0.83464986,1.06876,1.2776816,0.36781967,0.84389615,1.2234755,0.7073307,1.162162,0.7920023,0.41669422,0.88536215,0.9034263,0.8954199,1.0334026,1.2431326,1.2391088,0.78855157,0.8944956,0.9097067,1.1724672,1.0219133,0.7157439,1.1567667,1.0714753,0.68435585,1.0785154
apple,1.3610224,0.9397719,0.0,0.6994744,1.309278,0.46321094,0.3835438,0.51005405,0.9735953,1.2434361,1.520132,0.953933,1.3462727,1.233857,1.292506,1.4068599,1.3213139,0.775301,0.75865865,1.347646,1.115782,0.96615756,0.8455983,1.0868092,1.3669318,0.36828828,1.2496111,1.2812093,0.8584332,1.3067257,1.1750256,0.58343273,1.0555458,0.7742392,1.3158321,1.1489588,0.7269756,1.349943,0.48218435,0.8216471,1.0955691,1.0252918,1.2600981,1.3522571,1.1054986,0.7398409,0.2832486,1.299403,0.90726155,1.0227964,0.63698006,0.8883531,0.9429101,1.2031903,1.1783549,1.0552297,1.4073554,0.6077657,1.1702298,0.4298091,1.1081467,1.3138056,1.1455561,0.508028,1.3140631,1.2718186,1.369296,0.80203485,1.3424875,1.1907573,1.2094504,0.92276096,0.8846326,0.7736018,1.017469,1.2026465,0.7489823,0.39503914,0.47758234,1.2067761,0.5247823,0.4880988,0.19353807,1.4219792,1.2316716,1.2545434,1.3161447,1.3808504,0.83213216,0.94858617,0.95404917,1.0848862,0.5558965,0.846315,1.2742269,0.9638908,1.1196543,1.0582143,0.34171748,1.1735171,0.9873893,0.5661149,1.4225988,1.2742572,0.79391,1.2940114,1.3391252,1.1428406,0.84623086,1.195214,0.55629504,1.1695246,0.56126595,1.1182696,0.68748826,0.78248817,0.43812168,0.95046365,1.3078703,1.5314429,0.66962785,0.41434515,0.5581166,1.0149742,1.2304984,0.5607046,1.2461499,1.387569,0.6643124,1.2764459
applesauce,1.1265093,1.0289986,0.6994744,0.0,1.0499021,0.8937511,0.9416884,0.54574174,1.1896418,1.1541327,1.1964527,1.3440689,1.0369163,1.1163166,0.9510971,1.2122389,1.1384605,1.0919005,1.0087565,1.1369607,1.1064575,1.1268597,1.1019219,0.9846129,1.2338648,1.0288274,0.99965876,0.9103356,0.97743034,0.9358967,1.1807089,0.83600855,1.0295905,0.75688624,1.0300902,0.83616126,1.2517794,0.9904222,0.898862,0.97792184,1.0257915,1.003103,0.8995718,1.1561289,0.8699991,0.9484425,1.0056851,1.118767,1.1631656,0.80708337,0.84763676,1.1002176,0.97924525,0.9377804,1.0669831,1.0461097,1.070442,1.1546402,0.8837059,0.97819614,0.97089297,1.0284009,0.82615066,1.1450181,0.978553,1.0847282,1.1450155,0.9870878,1.0809639,1.130651,0.90261644,1.1568929,1.1564575,0.61041707,1.0348351,0.8358258,1.0700015,0.7932842,1.0807503,1.1048024,1.0247614,0.883477,0.82562566,1.1544732,1.0337646,0.95341825,1.0326492,1.1040839,0.6987445,1.2055391,1.2144489,1.0440485,0.8062966,1.1794964,1.050374,0.9908983,1.0913192,1.0800613,0.9580851,1.0169224,1.0687625,1.107396,1.083726,0.9601035,0.80171895,1.1455262,1.0926019,0.93717104,1.0383829,1.0450556,1.1105642,0.93444806,0.8231111,0.9544125,0.7213022,1.1450032,1.1037462,1.0412779,1.0644903,1.0997363,0.84477496,0.99220616,0.8785397,0.99699855,1.1095651,1.042023,1.0754011,1.2253195,1.1194553,1.119884
arm,0.69732296,1.083438,1.309278,1.0499021,0.0,1.4096773,1.2542737,1.1838259,1.3725774,0.7640885,0.57901144,1.2222564,0.8187592,0.73862165,0.9779544,0.56631774,0.8401717,1.243232,1.2462744,0.8546367,0.6570179,1.1683826,1.352202,1.3154917,0.7389463,1.220366,0.9008573,0.7959795,1.4516428,0.8508707,0.7488042,1.2979292,0.7977434,1.3706015,0.87650335,0.6962348,1.305184,1.1288105,1.4520936,1.0474432,1.0153044,1.011396,0.9394872,0.82144785,0.8508434,1.266858,1.3855152,0.9414214,1.2139088,0.77623147,0.67829007,1.3754683,1.4341848,0.8922185,1.0748324,1.0441298,0.87496984,1.1646647,0.6393506,1.2885461,0.67936826,0.81565714,0.41281605,1.3638104,0.8286376,0.8656662,0.6366985,1.3398532,0.47064364,0.8761808,1.1797507,1.3845503,0.8455291,0.95146376,1.0036951,0.5988742,0.87695515,1.2709755,1.3373618,0.7331403,1.1498291,1.2345815,1.3739419,0.83102584,0.8682928,0.40383184,0.5501841,0.69632673,1.130621,1.183037,1.2035147,1.0511363,1.2112248,1.2590808,0.8666699,1.3050313,0.9477395,1.0247815,1.4340534,0.55682063,1.3397379,1.3552992,0.90423286,0.9127571,1.3719602,0.7445549,0.49139374,0.9238236,1.0166929,0.80423903,1.2346612,0.8717496,1.4973643,0.89620143,1.3406725,1.3225987,1.405411,1.0275807,0.6430418,0.67776805,1.3718626,1.0845882,1.0415395,0.759964,0.9267839,1.5687101,0.84443814,0.90436447,1.102316,0.99532855
ball,1.2657341,0.6077727,0.46321094,0.8937511,1.4096773,0.0,0.49940348,0.8018809,0.868988,1.081727,1.4090166,1.0180879,1.3762053,1.1289654,1.1392012,1.4234918,1.1808383,0.7833489,0.78861666,1.148039,1.3103191,0.9763442,0.80952317,0.981909,1.2715924,0.7540024,1.1130192,1.3919691,0.47950578,1.226036,1.1797421,0.69710445,1.2059929,0.49011648,1.2926086,1.2464101,0.8915537,1.1368762,0.6077367,0.92830735,0.9736741,0.98208123,1.1751599,1.2744664,1.0284278,0.79932404,0.5110139,1.1819912,1.0613793,1.1199989,1.0640324,0.71528745,0.56880504,0.9973359,1.0428766,1.0346823,1.1510704,0.84312177,1.0417057,0.731166,1.233135,1.1488354,1.2991308,0.71416175,1.1790675,1.144119,1.3083076,0.77464104,1.5005428,1.1857922,1.0831729,0.71585596,1.1770171,0.913466,0.8515089,1.1544867,1.14381,0.7046463,0.6593471,1.3680022,0.8053806,0.75098485,0.51464045,1.3963091,1.1275152,1.3887534,1.4655805,1.2146802,0.87894833,0.99303263,0.9881211,1.1161559,0.95957816,0.9094305,1.1903639,0.7123688,0.98268753,1.0226746,0.5229432,1.3736465,0.77949613,0.7886997,1.2195984,1.1616086,0.69399995,1.3022763,1.4258457,0.8583371,0.8802645,1.1500971,0.7011131,1.0652463,0.60696775,0.8901301,0.7021372,0.8246306,0.683635,1.1047943,1.3302755,1.3332161,0.61772615,0.7495403,0.8996545,1.2038875,1.2956316,0.36080074,1.0516913,1.3104472,0.7527646,1.2186241
balloon,1.2136923,1.007192,0.3835438,0.9416884,1.2542737,0.49940348,0.0,0.7933314,1.0210325,1.0674521,1.2871308,0.9231125,1.1962042,1.087628,1.2024486,1.2042913,1.1467903,0.84709847,0.6924902,1.1434072,1.1211594,0.97296417,0.78559375,1.0491867,1.2508441,0.5072065,1.2246184,1.1968877,0.84793824,1.194247,1.0074638,0.7586654,1.1148875,0.94620204,1.1979871,1.1656898,0.83667195,1.310005,0.6970252,0.79218245,1.0804642,0.99867964,1.2443603,1.2276852,1.0902277,0.84783256,0.4864192,1.1770253,0.883124,0.98278534,0.80091506,0.9447028,0.91736287,1.2512412,1.1518573,1.1070123,1.2428684,0.83618903,1.2522538,0.6304002,1.0705856,1.285005,1.0931735,0.71995723,1.2507803,1.111586,1.1764756,0.884806,1.1905532,1.0574158,1.2119225,0.94833803,0.98487765,0.8388879,0.91194063,1.1910158,0.87156326,0.75603163,0.6086589,1.1648343,0.7742888,0.7165824,0.4106276,1.2696096,1.1960149,1.1770115,1.1884732,1.1497833,0.9415799,0.98485607,0.9848809,1.0582249,0.836443,0.97235143,1.1601179,1.0171282,0.9618671,1.0449634,0.57301694,1.1148328,1.0890346,0.66350234,1.2617686,1.2053392,0.77144504,1.1939815,1.1517797,1.1900451,0.92522204,1.0139506,0.8794085,1.132031,0.6941861,1.1801249,0.77848965,0.8206374,0.5003027,1.1269245,1.1425569,1.2857555,0.8649917,0.6881913,0.7643082,0.95032233,1.1495903,0.7293946,1.0809168,1.240496,0.882909,1.1187285
banana,1.178833,1.0466235,0.51005405,0.54574174,1.1838259,0.8018809,0.7933314,0.0,1.0692075,1.1595428,1.287797,1.0467998,1.0795131,1.1513466,1.1249657,1.2680851,1.1478643,0.9096087,0.8841879,1.1856215,1.095796,1.0430914,0.9677867,1.0969318,1.2111208,0.7822956,1.1251602,1.1269691,0.97045934,1.1902804,1.104319,0.7609748,1.0351945,0.84689546,1.1515532,0.9020614,0.905456,1.1170002,0.7219323,0.81341803,1.0962448,1.0162171,1.17725,1.1068008,1.0987095,1.0799507,0.79176146,1.2152424,1.0543199,1.0595787,0.8111252,0.98860985,0.99627143,1.0056822,1.0719134,1.0106617,1.2209709,1.0016767,0.9817607,0.7469956,1.1653625,1.1845126,0.9054389,0.8443237,1.1501436,1.1436617,1.3199501,0.9010689,1.2319583,0.9637757,1.0420334,1.1071267,0.93678665,0.448946,1.0609348,0.9336337,0.9349196,0.78381586,0.9258914,1.1303017,0.88972837,0.95344085,0.6230674,1.1788325,1.1590129,1.1595167,1.2321124,1.1589286,0.73132694,0.960069,0.9826457,1.1246301,0.4778129,1.0666912,1.0286955,0.98342323,1.032613,1.1250011,0.81272745,1.0613055,1.0064644,1.0638893,1.250043,1.1061379,0.7711504,0.979445,1.2732697,0.99427336,0.95471334,1.0046376,0.93581814,1.0392808,0.68233526,0.91589224,0.64052963,0.94561094,0.9005235,0.7087567,1.2175744,1.2692518,0.72484934,0.8970886,0.77624154,0.84608227,1.1721742,0.6941402,1.1247467,1.1942973,1.0216299,1.1201771
basket,1.1799388,0.7705407,0.9735953,1.1896418,1.3725774,0.868988,1.0210325,1.0692075,0.0,1.1255691,1.2013543,0.8314153,0.890182,1.0745332,1.0524606,1.207783,1.0406134,0.7122848,0.81489015,0.9742375,0.9811558,0.88796794,0.64352053,0.7113132,1.1474239,0.909694,1.1880877,1.0343678,0.8496084,1.1397357,1.2197239,0.970519,0.96295094,0.892316,0.82379496,1.1450292,0.796219,0.7065318,0.76548064,1.164032,1.112576,1.0094242,0.96180624,1.1567857,1.0700519,0.7955519,0.8294359,1.0143832,0.96360767,1.3685901,1.2423877,0.73097193,0.71108156,0.958465,0.91184545,1.0555648,1.0882492,0.9483269,1.1031808,0.86264277,1.2828529,1.1241916,1.4023165,0.686124,1.028281,1.1020806,1.2401518,0.7286954,1.2681175,1.0849437,0.7563261,0.78163725,0.8795748,1.2205486,1.0509037,1.1997343,1.1485226,0.74581075,0.8650733,0.860571,0.9676452,0.9832666,0.8781432,1.0174826,1.1646956,1.3003162,1.2579186,1.1466244,1.1563344,0.8588162,0.8433746,0.90129554,0.9731587,0.77506393,1.0345763,0.75686264,1.0064977,0.96249896,0.73923993,1.2156307,0.6067475,0.88933897,0.87568045,1.1662474,0.909124,1.2307578,1.2633426,0.9495494,0.90185523,1.126657,0.79267156,1.2287071,0.8520398,0.93357825,0.95580107,0.73474467,0.80350953,0.97043645,1.2367754,1.1502842,0.86892116,0.95972687,0.9954623,1.1353883,0.77700883,0.62571406,1.0521241,1.0057244,0.89012796,1.0612639
bathtub,0.68905133,1.1608393,1.2434361,1.1541327,0.7640885,1.081727,1.0674521,1.1595428,1.1255691,0.0,0.495499,1.2427406,1.0238266,0.116117954,1.0235039,0.70713186,0.5449375,1.3257624,0.49781072,0.14008445,0.91937906,1.3132931,1.058667,1.2645506,0.79492605,1.3131794,1.0058484,1.0878685,1.1728538,0.922554,0.89316404,1.2723136,1.2528431,1.054367,1.0974046,0.8791899,1.3867209,0.9627882,1.2553898,0.7181488,1.0605272,0.88747,1.1668502,0.8806739,0.93226874,1.4198252,1.3045905,0.8891393,1.1883154,0.98842317,1.1801686,1.2568344,1.238162,1.0369422,1.2701192,1.0327184,0.66521466,1.331085,1.0510707,1.2081444,1.0198195,0.93698335,0.6650615,1.4376509,0.7957461,0.6974928,0.7415018,1.2364608,0.9215613,0.96772695,1.0648252,1.2997193,1.2223362,0.8897561,0.4106844,0.9792752,1.1878814,1.4638939,1.3280525,1.0136569,1.3871312,1.3844426,1.236823,0.92328703,0.9507989,0.85288286,1.0001293,0.47566533,0.9551187,1.3248366,1.334405,1.2455528,1.3025426,1.38855,0.7994749,1.3330302,0.14823574,1.097192,1.2873106,0.9315629,1.2828593,1.3304071,0.97177273,0.87158734,0.8467968,0.90575784,0.863603,1.122469,1.2658491,0.20695746,1.399189,0.9224885,1.2409651,1.1291498,0.9237894,1.3698955,1.3549824,0.9915931,0.82165015,0.35201317,1.1025952,1.4210942,1.3721056,0.8045644,1.2913836,1.1355147,0.06852281,1.0171641,1.4322505,1.050011
