,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bucket,butterfly,can,car,cat,chair,clock,coffee,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
table,0.86866325,1.4738187,0.56958413,1.2804737,1.3425548,1.5056535,1.3529134,0.38987255,0.4500379,1.1667898,0.52949476,0.57393783,0.624383,0.88111424,1.4646227,1.3607748,0.76787233,1.308049,1.4462311,1.4378772,1.2069513,0.95162743,0.83566916,1.1915169,0.6411129,0.7850059,0.9790622,1.443929,0.8343094,1.4035511,1.0407065,1.2151175,0.9453265,0.9058254,0.76776135,1.1863154,1.184315,0.9425525,0.8158859,1.3544061,1.4592069,1.1611893,0.8910817,1.1843982,0.46986556,1.487812,1.3347833,1.1183083,1.0619035,1.0422771,1.3842261,1.0831704,0.66341573,1.1430296,1.2670115,0.72677237,1.2638124,0.76957995,1.2784295,0.69280505,0.7238263,1.2178082,1.5785229,1.5407857,0.89386404,1.0062057,1.0274335,0.8817593,0.8887448,0.6377838,0.79509455,0.8384013,1.4127556,1.2636771,0.91864395,1.5323232,0.8581347,1.1823821,1.1864104,1.2218605,0.836655,0.7673031,0.7659059,0.757838,0.85987705,0.7485429,0.6582515,1.2171378,1.0896695,1.478365,0.97158253,0.59786624,1.5330777,1.463182,0.70439625,1.3709443,1.3112078,0.49970126,0.781415,0.0,1.2589096,1.4950687,0.8699117,1.5475314,0.80808115,0.60509294,1.0686101,0.737858,1.5527958,0.82137716
tape,1.1117986,0.5762859,1.421904,0.6334603,0.74350286,0.70140857,0.69286853,1.0963956,1.4259267,0.91633004,1.3662477,1.1551102,1.3572149,0.89152515,0.6844342,0.6040859,0.71189123,0.5473324,0.9180721,0.8433339,0.78938407,1.2653751,1.0354958,0.52054715,1.2251465,1.1968758,1.1591837,0.5743322,1.1478033,0.39196622,1.0266451,0.78450304,1.1637633,0.9156071,1.2452718,0.9225086,0.809364,1.0713171,1.1682829,1.0412196,0.92452466,0.8271942,1.1527692,0.88872457,1.119873,0.81046253,0.9203032,0.8168665,1.0534472,1.2233634,0.5295164,1.0038085,1.044913,1.2162155,0.7802853,1.4240828,0.93240184,1.1784104,0.669746,1.0688565,1.0668936,0.9187645,0.61781,0.8119807,0.9756988,0.9976362,0.9954411,1.0653534,1.2482674,1.3309977,1.4535935,0.93531644,0.80149066,0.79954135,0.8069422,0.8195381,1.1919359,0.9046281,0.5642409,0.8048655,1.2904149,0.79979104,1.3332057,1.3746855,1.2994971,0.9474804,1.458519,1.034379,1.3209045,0.9199035,0.9064594,1.0026348,0.61780405,0.67438143,1.0505834,0.7854897,0.92528796,1.1369419,1.3467656,1.2589096,0.0,0.84794044,1.1612525,0.919791,0.42129302,1.0040238,1.2094691,0.9666757,0.764374,1.1674534
toe,1.2153263,0.694582,1.1213133,0.8496357,0.7424091,0.48687148,0.8493329,1.3534364,1.4799545,0.814215,1.4244738,1.1258891,1.3941578,1.0988426,0.72324955,0.94395256,1.361567,1.0479585,0.72865945,0.8427781,1.0459769,1.0134677,1.3660212,1.1036191,1.2806846,1.3376745,0.9803526,0.600557,1.3488748,0.8204217,1.0667543,0.90009886,1.2946795,1.2318015,1.1845946,0.4946674,0.79337704,1.1708121,0.9635564,0.2011745,0.72155315,1.0763205,1.0404134,0.9406365,1.432401,0.3495592,0.84563005,0.9406749,0.7193095,0.506437,0.7533737,1.2522517,1.3700912,0.98286456,0.9912498,1.1064374,0.8031093,1.2781565,0.9027226,1.252636,1.2527416,0.8080162,0.21559644,0.8075192,0.8572321,0.881426,1.1547632,1.308866,1.2127258,1.1900644,1.059854,1.1918023,0.7517885,0.7419453,1.2006093,0.6952468,1.0713859,1.1111255,0.9259379,0.86625034,1.0079851,1.2742643,1.4310086,1.0889709,0.7537332,1.0989969,1.1561574,0.61309874,0.8913918,0.5482592,1.2858106,1.3983359,0.2940184,0.673915,1.2600329,0.75590175,0.6854476,1.3022093,1.0263604,1.4950687,0.84794044,0.0,1.0649332,0.8186939,1.2364213,1.4758136,1.0967413,1.2489258,0.41728264,1.1880943
toothbrush,1.0750599,1.3287024,0.72564733,1.2776308,1.3231959,1.234833,1.2659876,0.8919829,0.9682135,1.2115338,0.81417537,0.7280512,0.90677786,1.1084174,1.302491,1.2055662,0.9964756,1.1128706,1.1464679,1.2796615,1.0187038,1.1032102,0.981271,1.1350598,0.87438315,1.0675414,0.96866995,1.2229253,1.0462888,1.2811408,1.0504994,0.8120143,0.9450477,0.9710619,0.8508748,0.8524695,0.9961564,0.98331445,0.9678698,0.91923916,1.188077,1.1483576,0.8762538,1.1083888,0.72738343,1.2415273,1.0685983,0.9012904,0.9775911,0.643157,1.0102919,0.9988627,1.0376555,1.1280657,1.0042785,0.91393816,1.3211076,0.9095272,1.255398,0.8891169,0.7280748,1.2744042,1.2626157,1.2223938,0.9839222,0.829094,1.0818475,1.0130857,0.9431236,0.94442976,0.8787216,1.0573741,1.2028356,0.9275135,0.92753685,1.3738334,0.9914946,1.1532016,1.1797985,1.1433276,0.707571,1.0008128,0.9076383,0.80825865,0.8954054,0.878732,0.83081317,0.8089119,0.90503305,1.2107102,1.0293531,0.8988769,1.2770097,1.3482748,0.8330995,1.1833013,1.1063391,0.9229065,0.95710033,0.8699117,1.1612525,1.0649332,0.0,1.154892,0.9681335,0.7868961,0.926071,0.8667726,1.0949302,0.98803747
towel,1.1452135,0.81073254,1.4828125,1.001867,0.826041,0.61493635,0.5624904,1.4504585,1.2159933,0.9799021,1.0882214,1.3539386,1.0980878,0.98990583,0.6004318,0.6107809,1.0227123,0.58486736,0.6539118,0.33768284,0.7969851,1.0794117,0.74326944,0.88589334,1.0861138,0.89361995,1.0995896,0.5931337,0.8774419,0.67699325,1.0516709,0.9600736,0.8315656,0.93915576,1.3104782,1.0672227,1.0720735,1.0414917,1.385663,0.920348,0.5560104,1.0763935,1.1366773,0.97921747,1.4804089,0.6874,0.56544256,1.0115556,1.1836143,1.1828239,0.7471703,0.9170353,1.1683946,0.6715344,0.7918886,1.0922506,0.7681547,0.8925419,0.7294759,1.3172274,1.220062,0.7408999,0.67878556,0.08809477,1.0950881,1.2615973,1.0289748,0.85053664,1.11552,1.2963905,1.0620017,0.9578321,0.66218746,0.78982365,1.1470752,0.45873636,1.1992584,0.79647505,0.8590756,0.8785694,1.1805139,1.1449542,0.9413259,1.266473,1.3053766,1.0038642,1.197988,1.0236195,0.67795354,0.5307603,0.93767446,1.1626287,0.7785979,0.73617643,1.2841264,0.7689704,0.64558095,1.255851,1.0958121,1.5475314,0.919791,0.8186939,1.154892,0.0,1.1091192,1.1716133,0.9302644,1.0291324,0.63152814,1.08659
toy,1.027678,0.80011946,1.3157818,0.7860834,0.9456795,0.9452091,0.7902334,1.0580759,1.164689,0.99760944,1.142978,0.86541003,1.1195695,0.7110585,0.89448273,0.86003876,0.4540426,0.68149644,1.1527387,1.083637,0.88022786,1.3146231,0.892106,0.6982206,0.9721193,0.9544844,1.1342682,0.74062455,0.8968956,0.71437997,1.0127707,0.790241,1.1293572,0.83160686,1.1201915,1.1183339,0.8908553,1.1296314,1.137629,1.3509881,1.2139043,0.8127625,1.0357838,0.71514183,0.924204,1.1957588,1.0090756,0.66239953,1.1629671,1.2697985,0.6754305,0.8821588,0.94770724,1.3306553,0.9116818,1.376709,1.0997322,0.9863882,0.82408863,0.8036437,0.8352019,1.0316346,1.1198294,1.0549463,0.97915304,1.0914048,0.911649,0.949787,1.2573559,1.1691117,1.4199291,0.8096175,0.98243606,0.8447435,0.6546339,1.105098,1.1494491,0.85499257,0.6404757,0.8579875,1.1751859,0.54862785,1.2362144,1.2500894,1.3109279,0.7508808,1.3460379,1.2051873,1.3727723,1.2409806,0.91424704,0.8422864,1.0290312,0.9456386,0.8248888,1.0610294,1.2094336,0.83141565,1.3638885,0.80808115,0.42129302,1.2364213,0.9681335,1.1091192,0.0,0.7053797,1.1772141,0.76470053,1.121637,1.204793
tray,0.9278953,1.3481207,0.7913379,1.3020773,1.2968678,1.3849424,1.1818092,0.72073156,0.72917986,1.2567378,0.7106893,0.85075027,0.71451044,0.8254232,1.2735122,1.0026555,0.6146234,0.90637505,1.2851654,1.1526437,0.90364814,1.0707189,0.7040873,1.0470897,0.7138394,0.7276014,0.9648435,1.2918905,0.6884068,1.1166662,1.0568697,0.90002656,0.9275532,0.6282209,1.016772,1.2145407,1.0699583,1.048612,1.0442834,1.3026838,1.266856,1.1701081,0.8761597,1.0267055,0.52713645,1.4244733,1.0683881,0.8266187,1.2003688,1.0018209,1.237108,0.95000696,0.6574937,1.1056587,0.79949856,0.95139253,1.3035282,0.7605244,1.2132733,0.98780596,0.8500304,1.260007,1.4479265,1.1871853,0.9386269,1.100301,0.92903197,0.6308869,0.94062,0.83283854,0.93795353,0.8901506,1.2705445,1.2071874,0.99437934,1.2625105,1.0347282,1.0991545,1.0282642,1.1049404,0.87756944,0.73702717,0.8144223,0.89296263,1.0345467,0.85799813,0.8863152,1.0442204,0.9755583,1.3706045,0.55410844,0.73907125,1.4208966,1.3254023,0.96792173,1.1102328,1.1318944,0.8728313,0.9792514,0.60509294,1.0040238,1.4758136,0.7868961,1.1716133,0.7053797,0.0,0.91969645,0.71524405,1.3559155,1.1169664
truck,1.0130275,1.1915905,0.9864095,1.3063899,1.1554208,1.1226163,0.93483686,1.1559234,0.9888216,1.1489418,0.8264091,1.0456405,1.0525849,1.0688754,0.989199,0.94421035,1.0062971,0.94775456,0.840153,0.9274597,0.930546,0.9410358,0.75799453,1.1641544,0.9168235,0.8947292,0.8042749,1.1305954,0.6966797,1.1312217,0.8645676,0.94407576,0.7776499,0.9447822,1.0308902,1.1175601,1.0252341,1.0032004,1.0821439,1.0129523,0.8142858,1.0446584,1.0986167,1.0529987,1.0588385,1.0673603,0.9294578,0.9767107,1.0455494,0.9577542,1.3036081,0.97447425,1.0094595,0.95245373,0.8444794,0.94106656,1.0374292,0.7683079,1.0564169,1.2439945,1.1354003,1.0962244,1.1374075,0.9840709,1.1904172,0.9035292,0.98547775,0.8322376,0.8334063,0.96499866,1.0462848,1.0231732,1.0848098,1.1237937,1.1571127,1.0077,0.8375468,0.84982944,1.128948,1.133976,1.0949492,0.9994798,0.82857823,0.91669995,1.1534176,1.062491,1.0191869,0.80983055,0.93963563,0.9554265,0.92189467,0.99121773,1.1000884,1.0044664,1.1640587,0.8410075,0.82591105,0.9394557,1.1829114,1.0686101,1.2094691,1.0967413,0.926071,0.9302644,1.1772141,0.91969645,0.0,1.0423886,1.0070214,0.80517614
vacuum,0.8906899,1.0958562,0.9532448,1.2134398,0.9384306,1.1421111,0.9989805,0.80156827,1.038411,1.0025642,0.9020774,0.9479498,1.1037967,0.79650444,0.8052372,0.9067997,0.68173176,0.7708866,1.0007211,0.82775325,0.8481184,1.2205441,0.7047384,0.9173658,0.86282873,0.8411521,1.1932911,0.8590469,0.8493472,0.86295295,1.0073768,0.91932493,0.64877737,0.82817453,1.0589246,1.1893092,1.1564131,1.0678825,1.1275535,1.2851408,1.031642,1.0758587,1.0531526,0.9714783,0.78768194,1.1280357,1.0364432,1.0835017,1.2165633,1.1936283,1.1032747,0.9577927,1.0200737,1.3052963,0.8848665,1.2392683,0.90022796,0.693093,0.6439551,1.1797472,1.186506,1.0029773,1.2344942,0.96245915,1.0643667,1.0478241,1.0617406,0.71011806,1.1547816,1.1001905,1.1511726,0.8445045,0.86043423,0.7906669,1.1703537,1.0570554,1.1148086,0.78868735,0.8998916,1.1383078,0.9802144,0.7180987,0.668728,1.0671552,1.2016072,0.6804019,1.1009842,1.2409536,1.2183204,0.98995376,0.5867152,0.9418545,1.1670431,1.1588519,1.1436129,0.94255877,0.952887,0.71496594,1.1487503,0.737858,0.9666757,1.2489258,0.8667726,1.0291324,0.76470053,0.71524405,1.0423886,0.0,1.08256,0.926548
watch,1.1189228,0.6347466,1.4341822,0.851588,0.5982469,0.49894607,0.5820601,1.4543436,1.5539213,0.76848423,1.4526756,1.1939099,1.4210112,0.97019774,0.5141024,0.7102926,1.2003394,0.8210796,0.56141055,0.6361411,0.8040745,1.099536,1.192927,0.84472156,1.2858989,1.2739486,1.0502001,0.36171806,1.163381,0.6642105,1.0831629,0.85194135,1.2107491,0.975037,1.2754426,0.7902908,0.8879454,1.1685066,1.2326983,0.59796655,0.64973915,1.0059912,1.1076454,0.92023385,1.5001056,0.32495964,0.7200281,0.9732573,1.0392992,0.9420375,0.62858176,1.1503482,1.1828226,0.8905127,0.8585377,1.297375,0.62961113,1.095544,0.63201964,1.3873667,1.4212589,0.695305,0.3619218,0.60543525,0.80600214,1.1587561,1.0217007,1.1986154,1.1898583,1.3355844,1.2645378,1.1029657,0.4462666,0.48283684,1.28228,0.5341844,1.119658,0.94930696,0.68936044,0.98530304,1.118407,1.0943496,1.3739369,1.2912176,1.0285306,0.85394037,1.3969791,0.77107525,1.0388862,0.4667492,1.0701189,1.3069012,0.290151,0.6931463,1.4057487,0.55620176,0.65384007,1.289171,1.1727767,1.5527958,0.764374,0.41728264,1.0949302,0.63152814,1.121637,1.3559155,1.0070214,1.08256,0.0,1.1568098
