,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1200624,1.2922517,0.8685635,1.0539886,1.1452513,0.8658448,1.0837708,0.9748292,0.87266076,0.6865847,1.3660125,0.9392967,0.8065226,0.82442117,0.81963676,0.96874964,0.57988995,1.2897203,1.3418785,0.81904495,1.1485705,1.2765081,1.1263168,1.4220495,1.1654356,0.9832127,0.96412736,1.1304958,1.1513488,1.0206584,1.1603185,0.9088482,0.97960085,0.93509805,0.82765585,1.298661,0.85945135,1.2930967,0.6556927,0.75058573,1.1591839,1.1212825,0.92569834,1.0118796,0.96864593,1.2984035,0.9055991,1.1453413,1.1786935,0.99434185,0.46803945,0.9693114,0.9854188,1.240766,1.1692601,0.81457335,0.8302288,0.89017284,0.93324924,0.97325057,1.2455349,0.75100213,0.94127077,0.98271585,1.4011629,1.2487059,1.2491775,0.82583266,1.031982,0.96654713,0.9226153,0.9321946,1.0326425,1.3314106,1.192389,1.2626474,1.1779407,1.2874314,1.0940232,0.47788626,0.814523,0.97043943,0.52817774,0.78784096,1.320993,1.3060466,0.72260165,1.0615119,1.241322,0.7116599,1.0373528,1.3007367,0.7857291,1.0835766,1.029233,1.384027,1.1374197,0.57545435,1.1644498,0.95962816,0.9208508,0.98092866,1.1124442,1.2494632,0.8911506,1.120692,0.71837056,1.4317033,0.7681716,1.2919358,1.1738238,1.1369736,0.9795272,1.2211083,0.873515,0.8424772,0.65532064,1.3129201,1.3005995,1.2001288,0.9586362,1.157693,0.7921083,0.5937264,0.9550806,1.2338605,1.3796268,1.0240762
ankle,1.1200624,0.0,0.8953212,0.8852518,0.8897206,0.8695339,1.024699,0.90765154,1.2878639,1.1974818,1.2103446,0.8819733,1.2482017,1.1107309,0.95829976,1.155778,1.2836484,1.1101941,0.94204724,1.0152941,1.1126744,1.0198268,0.8442583,0.8611325,0.87660885,1.0602442,1.0563576,1.2401497,1.1141617,0.93223256,1.0759699,0.9808269,1.1794319,0.9742849,1.232125,1.1442931,0.855507,1.2421596,0.9951006,1.170187,0.9565139,1.147259,1.0223044,1.0147048,1.0774072,1.010054,0.48969322,0.9745883,0.9498742,0.40293175,1.0667317,0.98254627,1.0845195,1.101927,0.6992085,0.58877957,1.2473552,0.9253831,1.1463257,1.0697033,0.7355108,0.66097516,1.0563036,1.1163481,1.019275,0.95262444,0.9825509,0.9130219,1.0179789,1.1484942,0.93528754,0.66427064,1.1038843,0.9695325,0.85699356,0.95891315,0.73333484,0.7667984,0.939341,1.2412841,0.97879034,1.0733758,1.0290468,1.1882126,1.1401528,0.7814941,0.7587777,0.97559214,1.0942686,0.81119967,1.2180116,0.98526925,0.97087866,1.011708,0.8438971,0.9079848,0.9778857,1.1300288,0.9876474,1.1322074,0.8513814,1.1131892,0.943981,1.0011139,0.8815489,1.1712941,1.3005022,1.2426473,0.59835136,1.1990697,1.0042584,0.6140357,0.97220784,0.81610185,0.96270746,1.0809561,1.1920459,1.2014916,0.88739914,0.3216654,0.94481456,0.89437646,0.9766436,0.89318234,1.2065531,1.1325529,0.9008912,0.61621994,1.19308
apple,1.2922517,0.8953212,0.0,1.2934022,0.51663405,0.46001613,1.0827379,0.94822884,1.3589472,0.9852278,1.4037857,0.81303334,1.5252311,1.3772918,0.8936525,1.4225616,1.2053565,1.1584024,0.430192,0.33945334,1.0957386,0.96877235,0.6163364,0.8443235,0.64213085,1.0366282,1.0314502,1.2328475,1.1603451,0.75501084,1.2384152,0.9820567,1.3252394,0.73745817,1.4239956,1.1073442,0.36969203,1.4865842,0.39766467,1.2776237,1.1313891,1.2092731,1.1135635,1.1595287,1.191434,1.0345211,0.6565796,0.9901494,0.54611087,0.8272717,1.048989,1.0294627,1.1487914,1.037484,0.75450724,0.92618316,1.1484789,0.89699346,1.288527,1.0005808,1.1719133,0.6017436,1.1732246,1.4114032,1.4185832,0.8445691,1.0252568,0.72223353,1.2107041,0.8061342,1.0212426,1.1632937,1.0200846,0.7975232,0.3020423,1.0158195,0.63289195,0.8021449,0.29190087,1.317347,1.0645521,1.4416625,1.4051787,1.3247774,1.0727903,0.48629737,0.48309267,1.079423,1.10888,0.9382574,1.221919,0.9177039,0.4911778,1.2883177,0.61113954,1.1055964,0.595332,1.1786351,1.0226988,1.0724502,0.946003,1.3974459,1.1191906,1.2556916,0.89988935,1.2076223,1.2046828,1.3701224,0.35684788,1.3653721,0.4558003,0.870504,1.0601165,0.8718265,0.6888834,1.3555598,1.441485,1.2265298,0.41937006,0.5608019,0.66486114,1.2721044,1.0922687,0.77527255,1.2866157,1.2762151,0.703185,0.5446803,1.2365788
arm,0.8685635,0.8852518,1.2934022,0.0,1.1555576,1.2821479,0.7703542,1.2019682,0.8552761,1.0069633,0.5975527,1.0709195,0.74310446,0.5220587,1.2890515,0.7286073,0.8429853,0.9076159,1.3041426,1.3631995,1.0117038,0.92706865,1.2896721,1.2358105,1.420101,1.2014246,1.0506115,0.97713214,1.0312947,1.3033993,0.878814,1.038005,0.76906216,1.323596,0.793888,1.0467538,1.3821151,0.8298384,1.2921662,0.8597086,0.9413102,1.0298008,0.990164,0.83139,1.0395153,0.9949575,0.94851387,1.2414978,1.4077408,0.71353304,0.9512053,1.1834177,1.0516826,1.0759215,1.173067,0.7656352,1.0209336,1.0316026,0.8138467,1.0751975,0.48566186,1.3531543,1.0153956,0.642514,0.592463,1.1666749,1.1898617,1.2939177,0.74316216,0.9124857,1.0381087,0.49772984,1.1813262,1.1099473,1.2900167,1.0122817,1.2913237,1.2310141,1.2443485,0.8679966,1.0879041,0.5251813,0.5869637,0.72721434,1.0343357,1.3035659,1.2642527,1.0699713,0.9628253,1.1030816,0.9293934,1.2375343,1.44028,0.66858757,1.0930393,1.0173253,1.4021281,1.0810549,1.203452,0.93039924,1.1092011,0.5607089,0.95514923,0.6381682,1.3041058,0.83813995,0.93703943,0.7711933,1.3620994,0.8308818,1.3176137,0.7306842,0.9751206,1.2005088,1.3153174,0.8520452,0.64034057,0.7460755,1.4451389,1.0050716,1.0705309,0.5472229,0.9999466,1.252711,0.7571353,0.9430025,1.2288855,1.1526679,0.9342086
ball,1.0539886,0.8897206,0.51663405,1.1555576,0.0,0.2642082,0.8833714,0.94050354,1.2089064,1.0406995,1.1561149,1.0161783,1.3805504,1.1784999,0.8991213,1.1794596,1.1649667,0.91019773,0.82503486,0.84790206,0.9099696,1.0925087,0.7479651,0.9546459,0.8919873,1.1625322,1.1171361,1.2641143,1.1058737,0.69750684,1.1794925,0.90420735,1.2538781,0.8942293,1.228756,1.1425822,0.8431975,1.2669859,0.8385663,1.0252017,0.8813769,1.2021244,0.9989666,0.9361061,1.2292444,1.116445,0.9061223,1.0586816,0.670132,0.8842768,1.127737,0.84271884,1.1871643,0.93624204,1.0063431,0.75549126,1.1578667,0.73227173,1.1893191,0.9325427,1.1111721,0.6732065,1.0744476,1.2428913,1.2745427,1.1610175,1.0561308,0.735288,1.2043926,0.3825872,0.86284083,0.8800399,1.0733672,0.83931893,0.8656415,1.0927846,0.9267161,1.0365647,0.5887114,1.2596897,0.9281226,1.2593962,1.2719586,1.0476142,1.0008314,0.9043223,0.8557905,0.93274933,1.2508962,0.94106066,1.1305739,0.81589925,0.7604581,1.1244122,0.38965404,0.8853264,0.9455335,1.0859473,0.9122864,1.2374225,0.8992139,1.246763,1.0573721,1.1608174,0.969949,1.0799136,1.1192071,1.1269656,0.7779314,1.2632577,0.8474812,0.7612101,1.276016,0.8750649,0.8285719,1.1170698,1.2698878,1.0612235,0.71669596,0.788139,1.0302057,1.1926984,1.0784512,0.6264314,1.0949531,1.2488147,0.89406914,0.8986931,1.2312773
balloon,1.1452513,0.8695339,0.46001613,1.2821479,0.2642082,0.0,1.0839148,0.89000547,1.244356,1.0203937,1.3411851,0.90576947,1.542915,1.4110405,0.69487214,1.3218743,1.2587206,1.0501132,0.61898667,0.61274534,0.9643432,1.0140921,0.616663,0.8379233,0.627404,1.1247299,1.1556184,1.2010614,1.1545997,0.42777944,1.2972552,0.97908497,1.2637674,0.8278565,1.3982847,1.0809008,0.6106993,1.3944598,0.5932848,1.2109133,1.1077112,1.1754143,0.9159796,1.1204433,1.1393508,1.1198431,0.8635042,0.87353885,0.5513426,0.9072138,1.1583968,0.8667987,1.0857464,0.9861834,0.9229176,0.9149444,1.1799291,0.8060864,1.3522716,1.0045905,1.2791548,0.5252848,1.0207001,1.3912933,1.4682592,0.9695366,0.92180336,0.4403991,1.2008891,0.670332,0.82206625,1.1602496,1.0942256,0.80453193,0.6873025,0.9323793,0.7148031,0.8788259,0.54952776,1.3427367,0.98235875,1.4818585,1.4604712,1.220393,1.0890894,0.6764817,0.64182186,0.9431576,1.1287764,0.82565886,1.269564,0.7780849,0.4199698,1.2767444,0.5383243,1.0572987,0.67391765,1.1372097,0.82064664,1.2091148,0.88057256,1.3910509,1.0985136,1.2785486,0.87776464,1.1604646,1.1431469,1.3568032,0.56029385,1.2807685,0.69464606,0.9268397,1.1634343,0.74618196,0.6976577,1.2668164,1.4338828,1.2042649,0.49840808,0.7237531,0.9313278,1.2990465,0.97509944,0.7609029,1.2843393,1.2154552,0.7136551,0.66902936,1.251564
banana,0.8658448,1.024699,1.0827379,0.7703542,0.8833714,1.0839148,0.0,1.159025,1.1042734,0.9573978,0.9125011,1.1655326,1.0086789,0.6627781,1.2419798,0.9111842,1.0296732,0.93402153,1.2388566,1.3295882,1.1132109,0.90760106,1.2023462,0.8515985,1.3409373,1.1319829,0.8509923,1.0603474,1.1354784,1.2738116,0.987734,0.9779154,1.0247675,1.05048,0.95574075,0.85713893,1.2449085,1.0064185,1.3404684,0.6822473,0.61979055,1.2184001,1.1787306,0.8936136,1.1095166,0.87763923,1.000226,1.0526265,0.98220426,0.9236645,0.7754223,0.8448547,1.0502217,1.0435146,1.0561433,0.8602715,1.0460433,0.87626845,0.81237644,0.91852593,0.6428474,0.96588314,1.0758916,0.8673746,0.7769681,1.2094915,1.323109,1.3168385,0.7915355,0.7578114,1.0476184,0.5924762,1.126991,0.9661565,1.2562544,0.93860394,1.1843338,1.167104,0.99267775,1.0741706,0.9339328,0.6887802,0.7836347,0.839635,0.7176762,1.2304865,1.2077919,1.0439469,1.0801705,1.0705816,0.83938295,1.0392845,1.2772496,0.67542285,0.68586993,0.96804744,1.385356,1.1863916,1.0213975,1.0329489,0.92218614,0.85641015,1.0357182,0.90038097,1.0946782,0.9805802,1.059581,0.79545474,1.2469727,1.1135734,1.1989032,0.90349364,1.0750905,0.9400201,1.2784504,0.8790339,0.81150967,0.90974396,1.2737427,1.0184615,1.0907038,0.7409134,0.9267405,0.851847,0.70908725,1.1276987,1.3240302,1.287937,1.1703901
basket,1.0837708,0.90765154,0.94822884,1.2019682,0.94050354,0.89000547,1.159025,0.0,1.0366185,1.2221646,1.1447936,0.94025457,1.0064875,1.1632917,0.8871489,1.0472986,1.156881,0.809993,0.73826677,0.91395,0.47388095,1.1028781,0.40424353,1.1122789,0.56309134,0.91071045,1.1059014,1.3227184,0.6495852,0.73396677,0.99563384,1.2327005,0.8938717,0.9547371,0.9549066,0.9798793,0.92353225,0.7892978,0.8174034,1.1576159,0.99107593,0.96977115,0.68979394,1.1726167,1.1083186,1.3239801,1.1554636,0.97601044,0.74355555,1.0849957,0.9496292,1.0245875,1.1091671,0.86848813,1.1622596,0.8315335,1.1754923,0.8453547,1.283931,1.0034611,1.1712408,0.85859376,1.1127589,1.0622921,1.2547585,1.0167336,0.69604737,0.72544,1.1832914,1.1171198,0.6787234,0.9764133,0.9273466,0.8706504,1.1147017,0.88695,1.0098193,1.0222565,1.1350906,0.87075365,1.0503175,1.1521617,1.2874167,1.0850202,1.0908089,0.9135179,0.89089406,1.073781,1.109592,0.775015,0.9857925,0.716025,0.8589078,1.1339893,0.96371233,0.5626981,0.6969737,0.7063937,0.89046395,1.0305632,0.90948004,1.2910422,0.81292385,1.1699136,0.9478453,1.2290864,1.0015817,1.0650182,0.8359326,1.166031,1.0098536,0.91845226,1.0015764,0.7541747,0.9932566,0.79397774,1.2051003,1.104842,0.7871206,1.0553764,1.1809659,1.070472,0.9909584,0.74639225,0.9004598,1.1705331,0.8145026,0.8128536,1.1006353
bathtub,0.9748292,1.2878639,1.3589472,0.8552761,1.2089064,1.244356,1.1042734,1.0366185,0.0,1.0721184,0.61878884,1.2653345,0.50098056,0.8749598,1.1643519,0.70294243,0.60099983,0.9965523,1.1814485,1.153976,0.810738,1.0020278,1.1046668,1.3550755,1.1096997,0.8530938,1.2059168,0.8305564,0.7564631,1.1023844,0.59946465,1.0925208,0.7460176,1.2920552,0.50468206,0.978014,1.4383947,0.36940515,1.0701872,0.93277967,1.0382462,0.4794948,0.73894465,0.84665763,0.92555153,0.99417734,1.3971477,1.2217687,1.3276289,1.2226924,1.0877008,1.2463216,0.9424196,0.88174796,1.3368982,1.184835,0.8522856,1.2198721,0.7709674,1.081661,1.0371387,1.4406135,1.0508065,0.8172362,0.86677396,1.2130651,0.8419864,0.94213486,0.9088604,0.99844474,0.8018768,1.0530176,1.0959406,1.2494595,1.3384597,1.0196294,1.4620186,1.3006581,1.3584328,0.46564204,1.1865481,0.8134038,0.837669,0.8607832,1.101709,1.3992577,1.3727108,1.0999783,1.0473641,1.0825742,0.92275727,1.0146247,1.2266808,0.98373866,1.2674314,1.0034974,1.116557,0.57075274,1.1847103,1.0369015,1.3638378,0.7417163,1.0691019,1.0183568,1.2072122,0.46758974,0.49368405,0.6685904,1.5097792,0.73757523,1.2498274,1.1662185,1.0832114,1.2153461,1.1757121,0.7984214,0.7056963,0.806273,1.2485951,1.4189944,1.1948527,1.0834974,0.94865376,1.2536955,0.76082695,0.71163785,1.0298777,1.4069345,0.56137407
bear,0.87266076,1.1974818,0.9852278,1.0069633,1.0406995,1.0203937,0.9573978,1.2221646,1.0721184,0.0,1.0021805,1.0971481,1.0386187,1.0484254,1.1186137,1.0244005,0.92960566,1.1398052,1.1886221,1.0118048,1.2264787,0.95847285,1.2870301,0.98116124,1.2186296,1.07049,0.95305026,0.7216871,1.1838833,1.0924364,1.0798067,0.78017265,0.9038829,0.95681536,1.0534961,0.82514894,1.0815728,1.0497074,1.0841461,0.9186084,1.1004936,1.1348512,1.1173847,1.1345026,0.9392777,0.7302724,1.0332546,1.0500792,1.0598451,1.1536199,1.0668693,0.99461836,0.9054801,1.0158904,0.9682949,1.2582796,0.4467839,1.1626328,0.8789239,1.0409255,1.0239637,1.1106513,0.9260376,1.0167888,0.9960141,1.0532984,1.2258805,1.1663693,0.908051,0.9066476,1.2704638,1.180069,0.9157139,0.8848553,0.92195714,1.2081164,1.0393252,0.89126754,0.90383404,1.0328258,0.85785836,0.98650634,0.97341454,1.0279828,0.8986383,1.1145083,1.1598052,0.9807955,1.0083514,1.2260392,0.94702095,1.1803192,1.0600669,0.9732779,1.0312703,1.2247026,1.1557236,1.1916649,0.95356524,1.0417283,1.1336018,1.0067508,1.105397,1.043954,1.0298665,0.9500302,1.0560894,1.0262753,1.1459403,0.8369252,0.9869113,1.2176206,0.97495306,1.214084,0.9991486,1.1077327,0.97736466,1.0318432,1.0345372,1.077962,0.82661736,1.0716727,1.1038792,1.1679134,0.98890924,0.96844715,1.1774656,1.0577707,1.0897322
