,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bed,0.77735656,0.9281906,1.5052228,0.5849266,1.3597177,1.3027191,1.2580037,1.2406837,0.41858715,0.5956994,0.0,1.3144681,0.35212696,0.53420246,0.80602425,0.21142626,1.104211,0.8866033,1.4074032,1.4076943,0.7390684,1.3765074,1.4130807,0.84652793,1.2749097,0.9126454,1.4871919,0.75408816,1.0611839,1.0242194,1.4261609,0.49071193,0.80298686,1.4601054,0.34633815,0.89572716,1.5977261,0.44929516,1.5328751,0.7383949,1.0129944,0.6177422,1.0901278,0.5653795,1.1654868,0.9459465,0.8074653,0.6857103,1.3199053,1.2916822,1.3601913,1.399554,1.4974604,1.1716923,1.1396383,1.3595033,1.0855926,0.54317623,1.2271457,0.7419595,0.90367407,1.0860007,1.2951138,0.7655806,0.5989902,1.2982688,0.6058152,1.3163044,0.9449128,1.4225621,1.2283459,1.1553053,1.1062733,0.6780105,0.6953761,1.395444,1.4382164,1.3178236,1.4265382,1.4061465,0.9620181,0.7667456,0.92955685,0.4440341,0.6782282,0.7004893,1.5023398,1.4347539,1.229673,1.133962,0.69662917,1.3357005,1.0673412,0.88465744,1.3761177,1.0665172,1.3544914,1.427358,0.64715576,1.423229,0.9646018,0.6370912,1.2079892,0.4598415,0.7113567,0.637135,1.2927365,0.44117367,0.6994085,0.64949286,1.533703,0.69230324,1.4012926,1.0970056,1.0398285,1.5507574,1.581213,0.6990703,0.4911992,1.3542298,1.3589811,1.4500433,1.3923597,1.2869515,1.2025352,0.71162325,0.89631706,1.0788854,0.9644829,1.5211992,0.6060438
belt,1.3668871,1.0241919,0.6662595,1.3231893,1.0435331,1.0484517,1.1808517,0.99893755,1.3346109,1.219379,1.3144681,0.0,1.2469807,1.3135941,1.1972839,1.2005336,0.9527941,1.2437158,0.732566,0.8802702,1.2491426,0.8315654,0.8275262,1.1329994,0.50058156,0.91191995,0.54022324,0.8879023,0.96520156,1.2350075,0.4098767,1.042523,1.2884884,0.82795566,1.0486273,1.2762495,0.4714551,1.3405259,0.71734154,1.2473006,1.2728064,1.079234,0.76676315,1.2744317,0.9655905,1.3808556,1.0123167,1.2463481,0.7824353,0.6762956,0.83966255,0.49420512,0.70722413,1.050076,1.1473327,0.56414706,1.120233,1.1434555,1.020747,1.1826464,1.2433456,0.86273706,0.6754365,0.99111897,0.9588389,0.82509327,1.2201875,0.4935618,1.015062,0.6355927,1.0413778,1.0349592,1.0290825,1.3740939,1.1651976,0.7528558,0.6340478,0.7557139,0.5847974,0.79212433,1.3156427,0.85706913,1.1497421,1.1841683,0.85530734,1.383255,0.62550026,0.65602756,0.90164495,0.38214135,1.3488932,0.84206736,1.2543709,1.2810316,0.703352,1.0718619,0.470554,0.68100834,1.0453497,0.65674853,1.3350378,1.2607557,1.2200812,1.2500223,1.2543199,0.9688342,1.0595837,1.021761,1.3569186,1.2492902,0.4715848,0.99989635,0.8252877,0.9879068,1.2590467,0.42491347,0.550182,1.2867113,1.4110494,1.0083668,0.76135886,0.61028343,0.5747049,0.67383254,1.1472397,1.4107909,0.96979654,0.9872335,1.0652158,0.5564459,1.0555589
bench,0.8494049,0.9443419,1.5576596,0.6792389,1.4262855,1.2938774,1.2128688,1.0485764,0.4143591,0.67268556,0.35212696,1.2469807,0.0,0.76554346,0.85708016,0.51777977,0.94956553,0.90568316,1.2963066,1.1729853,0.67837787,1.2992142,1.2103788,0.9532065,1.0572231,0.8441209,1.3666543,0.8080029,0.807152,1.0529801,1.3925464,0.5178042,0.73457056,1.3659173,0.42840052,0.85804904,1.5029852,0.4114498,1.3463874,0.7119604,1.0681438,0.57526654,0.812101,0.7709074,1.2269642,1.0116378,0.9969932,0.8953187,1.3877233,1.335538,1.3023998,1.2642994,1.3118376,1.2183975,1.0014479,1.3490559,1.1161366,0.67197275,1.2503127,0.91190875,0.9822436,1.2588074,1.1802777,0.8159262,0.77385384,1.1309637,0.62579834,1.0857129,0.6997009,1.2092705,1.1414765,1.1327394,1.0201648,0.8357736,0.8241821,1.3010541,1.5176901,1.2129805,1.4525757,1.4667892,1.0903311,0.68133,1.0352345,0.74660206,0.92945594,0.80723745,1.3175411,1.2111524,1.1718588,1.204901,0.795638,1.2825742,0.9835049,0.79890376,1.4302591,0.9406346,1.1765087,1.4398394,0.60375935,1.4402761,1.0186776,0.80117553,1.0772811,0.72641087,0.7432958,0.8093492,1.1211582,0.57659453,0.72767377,0.62880284,1.4677688,0.72546446,1.2502491,1.1110638,1.0466981,1.340898,1.5438391,0.6844915,0.44276822,1.1752574,1.4220675,1.454132,1.3769634,1.2275698,1.1375184,0.64738035,0.9230849,0.9426674,0.8251791,1.4504093,0.62942666
bib,0.8109343,0.68569636,1.4309317,0.4756468,1.220773,1.2333248,0.9776962,1.2928407,0.7728033,0.80918336,0.53420246,1.3135941,0.76554346,0.0,0.5891177,0.5599647,1.0985016,0.95691514,1.4282537,1.4128476,0.9236541,1.2906857,1.4037924,0.7633052,1.379214,1.1630068,1.3977146,0.99641776,1.2739704,0.88369197,1.4926574,0.9013276,0.8373306,1.3932502,0.8898762,0.8565413,1.543956,0.7616538,1.5363293,0.85829866,0.8862887,0.9260068,1.2958348,0.24660432,0.89600027,0.8131209,0.97752774,0.55234575,1.0198693,1.2591835,1.3380533,1.3302271,1.5348766,1.1109425,1.1139332,1.1827183,0.8406164,0.80514634,1.0369378,0.46908802,0.5886501,0.9246336,1.1532921,0.9771355,0.7140274,1.300536,0.5393386,1.2887224,1.130613,1.5114616,1.1739515,1.1549497,1.159802,0.57623327,0.8981526,1.1692328,1.326457,1.2802567,1.01922,1.1660137,0.80293226,0.9801345,0.8731638,0.23072171,0.7098991,0.7573637,1.5408915,1.395038,1.2394459,1.2730908,0.6055519,1.3647014,1.0669866,0.9104271,1.1755563,1.1896738,1.4559234,1.3886744,0.9560418,1.362529,0.82452893,0.46697712,1.1748546,0.10702509,0.7470021,0.40294927,1.329323,0.773854,0.82533187,0.8166038,1.4421773,0.87821686,1.4112977,0.89526045,0.83559394,1.5241611,1.4349933,0.8668191,0.7478629,1.4298514,1.0493951,1.2484168,1.4501066,1.2710035,1.222962,0.80895096,1.0340145,1.1389313,1.1210524,1.370982,0.85247314
bird,0.77770364,0.74130774,1.305652,0.63700724,1.121983,1.1563488,0.9937063,1.1349505,0.92252475,0.66618526,0.80602425,1.1972839,0.85708016,0.5891177,0.0,0.69123447,1.0697627,1.0475017,1.2979409,1.2947294,1.1018649,1.1655915,1.3688434,0.65362096,1.2746701,1.1892586,1.2368344,0.79229724,1.210114,0.9906707,1.2790608,1.0542986,0.82159823,1.2367213,1.0201907,0.94772065,1.2412716,0.97089267,1.3242229,0.9128181,1.1054977,1.0607361,1.1308277,0.6826949,0.9669163,0.93097943,0.959675,0.9482131,0.9634612,1.0254296,1.2523694,1.129126,1.1817658,1.0673183,1.218963,1.119482,0.7782463,0.74868935,1.0448241,0.9091215,0.7234188,1.0833119,0.9822026,0.9671068,0.83729064,1.2918755,0.59926164,0.96950203,1.1781998,1.2944756,1.1142678,1.1175257,1.1245028,0.58867824,0.93261373,1.0247629,1.1719795,1.1344099,0.9976051,1.1581116,0.94423974,1.0192909,0.8040321,0.6139486,0.8018674,0.93904054,1.2211809,1.1509552,1.1952634,1.1200761,0.8642767,1.1804032,1.1631348,0.95577675,1.131675,1.1912172,1.2189361,1.1958644,1.0951939,1.2005172,0.91267085,0.71274364,1.0491204,0.659472,0.68731844,0.7343055,1.2526374,0.78022283,1.004313,0.9604281,1.1957777,0.73143095,1.2766861,0.92883587,0.91879356,1.2446686,1.2134812,1.0337287,1.0129263,1.290498,1.0134119,1.098685,1.2070311,1.055153,1.2534951,0.99134564,1.0535669,1.1791612,1.1488835,1.0739266,1.0330259
blanket,0.71197367,0.9436662,1.4307859,0.72319525,1.3157488,1.287472,1.1365542,1.1418015,0.6985624,0.67524266,0.21142626,1.2005336,0.51777977,0.5599647,0.69123447,0.0,1.0609312,0.8679889,1.3812866,1.345948,0.83570313,1.2744159,1.338105,0.7204649,1.2895019,1.0179486,1.353925,0.7733288,1.1081116,1.0204835,1.3667649,0.78102285,0.84592676,1.3447074,0.47138768,0.91940385,1.4572487,0.61757874,1.5104277,0.7870426,0.88312197,0.90404046,1.1093395,0.6360898,1.1436777,1.0409111,0.87813985,0.8627876,1.2322655,1.1342316,1.2861171,1.2419071,1.3602345,1.0703876,1.2611974,1.2618206,0.86706483,0.62616944,1.1704428,0.90092754,0.88799083,1.0245109,1.2423341,0.7753022,0.56433415,1.2413622,0.6077203,1.1650295,1.0538458,1.3990176,1.118475,1.1072057,1.1196117,0.5809791,0.8286419,1.2163382,1.3883822,1.0412099,1.2831702,1.3349893,1.04544,0.9852072,0.9434385,0.39860994,0.66329026,0.76137114,1.3904126,1.3900313,1.0910202,0.91809505,0.7418546,1.2569952,1.1496123,0.94433373,1.2823836,1.0531818,1.2716717,1.3952011,0.959904,1.3627954,1.0360825,0.58711827,1.114793,0.5628482,0.6936557,0.64996266,1.1802016,0.56695473,0.8968118,0.5944754,1.3728178,0.745465,1.3390223,1.0242971,1.0771563,1.3864373,1.4327335,0.6963606,0.75832105,1.3510773,1.2521904,1.359164,1.3673058,0.9561501,1.1168708,0.78718495,1.021112,1.1642498,1.1164291,1.4106954,0.86558664
boat,0.954497,1.0590345,1.0899746,1.126375,1.0458738,0.9751138,1.1389158,0.78659123,0.9429902,1.1185395,1.104211,0.9527941,0.94956553,1.0985016,1.0697627,1.0609312,0.0,0.81308305,0.8838388,0.7716214,0.74339825,1.0824461,0.7693348,1.0580335,0.8169104,0.7344502,0.98851466,1.1505566,0.9260418,1.0738391,1.0199517,1.0181016,1.0146103,0.9747057,0.8727797,1.1042153,1.1004057,0.841331,0.9639064,0.9666583,0.91204333,0.9777221,0.50543916,1.09118,1.1586627,1.11592,1.2180307,1.0851922,1.1512567,1.0402989,0.9168988,1.119325,0.9514855,0.943408,0.920291,1.1584085,1.1000158,1.1570375,0.9672121,1.1239855,1.1133159,1.1459278,1.0371474,1.0068505,1.0915017,0.72338176,1.0128254,1.0338768,0.7995402,0.9230284,0.8437735,0.8896601,0.7816186,1.1713423,1.0414376,1.1550436,1.1784351,0.994539,1.1919327,1.126649,1.2078489,0.7915461,1.0784959,1.10148,1.1631885,1.0002075,0.96800244,1.054458,0.8749572,0.99092054,1.0123569,0.9168613,0.9127947,0.9763092,1.1976292,0.7752969,0.72972155,1.1273451,0.8472104,1.0352824,1.1180305,1.097104,1.0015247,1.103455,0.9885401,1.0599871,0.93591475,1.0926007,0.98778355,0.9504966,1.131595,1.2039664,0.9000963,1.1621444,1.1238848,0.9730575,1.0631386,0.85095674,1.0650525,0.81806105,1.1685947,1.1369108,1.123006,0.9950649,0.9347069,0.9772617,1.0337669,0.8152546,0.88973343,1.0541133,1.0137184
book,0.59876543,1.1052233,1.2074326,0.96456915,1.1025493,1.0322013,0.9965953,0.8819251,0.91300964,1.0566444,0.8866033,1.2437158,0.90568316,0.95691514,1.0475017,0.8679889,0.81308305,0.0,1.0950307,1.0163318,0.34015673,1.1421635,0.9564453,0.85354865,1.2390912,0.9831242,1.2179438,1.2402202,1.0367905,0.90364015,1.1742063,1.0554559,1.0019449,1.1189978,0.96470106,0.8993612,1.1970888,0.7004992,1.2265592,0.94035447,0.7042021,1.0910459,0.96848804,1.0351192,1.1782156,0.94894195,0.9962202,0.90374255,1.2780771,1.1214367,0.932081,1.2955873,1.1192013,0.681266,1.0056707,1.306875,1.1080588,0.94407153,0.4891218,0.97130495,0.9825924,1.2059361,1.1591771,1.0011356,1.1508104,1.0345726,1.0396695,1.1640548,0.9443426,1.1629758,0.9664643,1.0172188,0.70233375,1.0101753,0.99616134,1.1046355,1.2980771,1.2074047,1.350635,1.2736349,1.0064256,1.0459744,1.0988338,1.0259279,1.2043743,0.14429712,1.0835346,1.0152422,1.1316166,1.3096712,0.43992364,1.001668,0.86448264,0.9360169,1.3234136,0.9200615,1.0822415,1.3185155,1.0095876,0.9132433,0.93281907,0.92768174,0.77162945,1.0021652,0.92978394,1.1442666,1.0182976,1.0964818,0.852614,0.6760546,1.346723,1.2358122,1.0288235,1.1123804,0.9971253,1.2659993,1.2920544,0.6926286,0.70638883,0.8937245,1.2907134,1.3231834,1.1187013,1.2091203,0.63854414,0.61486363,0.9490756,0.9564098,1.0396314,1.2915919,0.9548954
bottle,1.4009662,1.1890867,0.6556549,1.3336514,0.7902275,0.83890843,1.1820389,0.7687607,1.2867308,1.285908,1.4074032,0.732566,1.2963066,1.4282537,1.2979409,1.3812866,0.8838388,1.0950307,0.0,0.5997319,1.063683,1.0248628,0.4875734,1.3264284,0.48390585,0.9360089,0.87747216,1.1628362,0.62310284,1.1916113,0.5622661,1.1629096,1.2932656,0.8245781,1.0596334,1.3734446,0.57903826,1.2344985,0.22614014,1.0865058,0.9832679,1.1171396,0.8175353,1.3004053,1.2281796,1.3605285,1.1249589,1.2640487,1.0844811,0.9474374,0.7002028,0.90551805,0.45491844,1.1279955,0.59601414,0.9387699,1.0591187,1.2592961,0.944445,1.295051,1.3713747,0.95970726,0.83323294,1.1392705,1.1744987,0.45406425,1.3065109,0.8331162,0.78788394,0.5675,0.93877274,0.89773536,0.69129074,1.3480257,1.1304786,1.1427724,0.7205187,0.58339465,0.9376831,0.7834257,1.3886485,0.9587544,1.2703887,1.4190491,1.142177,1.2597765,0.44978982,0.66698,0.9446581,0.71890426,1.3082045,0.61568034,1.0957543,1.0447718,0.8389432,0.52732193,0.46829855,0.72233367,0.90480256,0.71209145,1.3274027,1.2610451,0.86640245,1.3938394,1.1949625,1.3145792,0.7426784,1.2447624,1.2593896,1.2296412,0.59593177,1.1524273,0.2154417,1.219583,1.3281257,0.54492915,0.77214044,1.02662,1.196824,0.5965474,0.9951599,0.9303536,0.51417196,0.62804407,0.8026865,1.2566093,1.0700792,0.89806634,0.6116204,0.49531096,1.1962383
bowl,1.2041135,1.2726246,0.6930616,1.3954976,0.65424097,0.6846553,1.0623353,0.7230226,1.0930704,1.1799886,1.4076943,0.8802702,1.1729853,1.4128476,1.2947294,1.345948,0.7716214,1.0163318,0.5997319,0.0,1.0511698,0.7214654,0.44450694,1.2720314,0.7739652,1.0465722,0.8278189,1.2437031,0.8202346,0.97521156,0.74253005,1.255209,1.0135169,0.64501727,1.1845685,1.06095,0.7850431,1.1742785,0.49788207,1.1269946,1.0367398,1.2195088,0.82649696,1.4549342,1.2064035,0.7906369,1.2044356,1.2487873,1.1536349,0.94313306,0.799481,0.91049296,0.66735333,0.9887002,0.7196629,1.0809383,1.1767298,1.2827015,0.95611113,1.3644061,1.3220305,1.0687864,1.0490562,1.0980989,1.3747631,0.77087647,1.3568554,0.8804655,0.99808395,0.6037822,0.8291993,0.7131974,0.8767457,1.318309,1.0590426,1.0118959,0.8722956,0.85539985,1.0736117,0.8945115,0.8429325,1.1855631,1.2569807,1.4375271,1.2458503,1.1646289,0.71670544,0.8953342,0.6710989,0.8906853,1.2305453,0.89361674,0.43689215,1.0890183,0.9462229,0.68384564,0.7566091,0.7630792,1.1836534,0.882133,0.7872666,1.2810104,0.91091675,1.4210763,1.2116688,1.3980097,0.72395295,1.3501096,0.82100075,1.1238763,0.7770261,1.2770017,0.6105373,1.1569694,0.7328216,0.67314017,0.7716417,1.1412668,1.0401136,0.24159801,1.1272838,0.9495946,0.75616,0.947947,0.77815676,0.81795186,1.1265098,0.9869275,1.1105402,0.7638773,1.2730302
box,0.7594413,1.0889896,1.3584453,0.8977396,1.2145424,1.0906731,1.1010703,0.7127919,0.704201,1.0604795,0.7390684,1.2491426,0.67837787,0.9236541,1.1018649,0.83570313,0.74339825,0.34015673,1.063683,1.0511698,0.0,1.2304217,0.7825456,0.9040829,1.0222534,0.93101007,1.3201791,1.2124454,1.0085083,1.0185959,1.2184925,0.8116752,0.8999643,1.2436993,0.7484543,0.89800555,1.3452982,0.3506233,1.1850562,0.9432825,0.77445734,0.8970637,0.7932627,0.93170494,1.1989654,1.0045332,0.9535477,0.887524,1.3519304,1.3139925,1.0905296,1.3320613,1.3061309,0.90518385,0.95138276,1.3118787,1.117274,0.9425374,0.716516,0.94119084,1.0015087,1.2016896,1.1977887,0.91043824,1.0396315,0.9925824,0.9701158,1.2458526,0.802486,1.2103279,1.0822226,1.1066717,0.6038979,0.9361278,0.9052665,1.2265309,1.3619465,1.2338725,1.4136436,1.3259804,1.0721374,0.7167576,1.1447389,0.9842215,1.1294422,0.38762617,1.2721744,1.1902313,1.135973,1.3361993,0.5453669,1.148939,0.9347456,0.9442273,1.3976705,0.8375557,0.8655014,1.3298175,0.7204549,1.1353444,1.0076464,0.9213107,0.9677468,0.9514822,0.82414085,1.0045406,1.08031,0.95262414,0.83235246,0.66395134,1.4248686,1.1654601,0.9737133,1.1073579,1.0566137,1.3238751,1.3965461,0.54280144,0.63122535,0.9890796,1.3459301,1.429589,1.2359772,1.2242465,0.67845654,0.5527239,0.9947692,0.95278335,0.8716258,1.3293846,0.8780176
bread,1.0494673,1.0996108,0.6477582,1.1951683,0.8156251,0.94536537,0.5488884,0.9673373,1.322572,1.1178391,1.3765074,0.8315654,1.2992142,1.2906857,1.1655915,1.2744159,1.0824461,1.1421635,1.0248628,0.7214654,1.2304217,0.0,0.9131509,1.0998441,0.976092,1.2287681,0.61443055,1.0565277,1.1105516,0.62711644,0.7848841,1.2541685,1.013865,0.30038863,1.3145033,0.42396617,0.6943761,1.3261461,0.8508637,1.1299502,1.0813627,1.2310067,1.0872157,1.2709877,1.1166756,0.79100525,1.1649356,1.2084105,0.8705647,0.65115154,0.7914208,0.6568408,0.89046663,0.9200517,1.2394407,0.8865371,1.0505966,1.1453669,0.8460916,1.260212,1.058578,1.0930245,1.014228,1.1826664,1.2631807,0.9657563,1.2334067,0.81825244,1.1569954,0.9521745,0.77230704,0.73667276,1.1063925,1.2397126,1.2498913,0.74700606,0.7973179,0.8310244,0.8382931,0.91672117,0.62342006,1.1804236,0.9805087,1.2955685,1.109967,1.2086143,0.8834833,0.85677063,0.65171957,0.8997393,1.2026906,0.9787768,0.7644429,1.1201907,0.73606294,1.1388552,0.9454823,0.81481814,1.3062904,0.7980341,0.7497277,1.2987525,1.1051135,1.321487,1.2482647,1.2119452,0.7616516,1.2944517,1.0686259,1.1673949,0.7556288,1.0994397,0.89629525,0.8408475,0.67311573,0.80909824,0.66981214,1.3591431,1.2203088,0.8701573,0.8714769,0.7766694,0.7938577,0.93309045,0.99620813,1.09308,1.0591979,1.0585835,1.3088923,0.8810427,1.2190343
bucket,1.1368443,1.1718421,0.732746,1.4223922,0.7928369,0.79285085,1.0171901,0.4357611,1.18841,1.3065798,1.4130807,0.8275262,1.2103788,1.4037924,1.3688434,1.338105,0.7693348,0.9564453,0.4875734,0.44450694,0.7825456,0.9131509,0.0,1.2201667,0.5433819,0.99423176,0.74056077,1.1988739,0.860857,1.2042443,0.7704344,1.240093,1.137907,0.7799269,1.0181205,1.2029402,0.715607,0.87115455,0.385301,1.0818511,0.7944827,1.1922565,0.73467284,1.3809774,1.1869099,1.1710994,1.1288147,1.2685037,1.0637805,0.9356704,0.6976262,0.8130938,0.76363206,0.7941338,0.8365914,0.89277446,0.9990041,1.3209698,0.85093784,1.321325,1.3231211,0.9725712,0.98860574,1.2239406,1.2878691,0.5252835,1.3630095,0.9790591,0.8194455,0.7019576,0.97524226,0.88304687,0.75357395,1.3009572,1.2080363,0.8925094,0.8452803,0.7211035,0.9716601,0.957318,1.2248206,0.99950945,1.1673346,1.4065139,1.2555547,1.155945,0.75548995,0.8836472,0.6121726,0.7784087,1.1996185,0.8298801,0.9047743,1.004256,0.8681109,0.7281046,0.5251034,0.85482633,1.0375694,0.76124,1.1681192,1.3237401,0.9027667,1.4315758,1.1615001,1.2869636,0.5702144,1.3415749,1.1729666,1.014986,0.7233937,1.213936,0.49434865,1.0574585,1.1462898,0.60335,0.7338743,0.8315767,1.2076458,0.5319053,0.98723197,0.91124064,0.77641034,0.74817455,0.47001374,0.9845574,1.2009661,0.94139344,0.8639583,0.7397877,1.3125019
butterfly,0.66473067,0.9912806,1.1763971,0.84693813,1.2067575,1.2070012,0.844309,1.1259785,0.92485034,0.92089784,0.84652793,1.1329994,0.9532065,0.7633052,0.65362096,0.7204649,1.0580335,0.85354865,1.3264284,1.2720314,0.9040829,1.0998441,1.2201667,0.0,1.2366445,1.1392654,1.1360776,0.9924643,1.2435986,0.9367752,1.1795936,1.0231285,0.8369727,1.2051468,1.0321239,0.867942,1.207881,0.9218649,1.3495225,1.0524579,1.0714273,1.0888727,1.0769976,0.84218097,0.91007245,0.86602104,1.0103384,0.93423927,1.028122,1.0363404,0.99656653,1.1038153,1.2245504,0.78263605,1.1680622,1.0518641,0.9892403,0.9539664,1.0190971,0.8761491,0.789331,1.0091894,1.0971042,0.92268324,0.88843036,1.1752977,0.8865006,0.9086356,1.1430497,1.2174177,1.1078582,0.9679914,1.0581453,0.7001508,0.8818361,0.92738277,1.1986797,1.1459774,1.0272021,1.1349367,0.9233639,1.0373195,0.96893555,0.7553524,0.8976549,0.8426771,1.237459,1.1590489,1.0440115,1.1209477,0.6985507,0.9033752,1.0938988,1.125324,1.2277708,1.184745,1.1445751,1.1858765,1.1168987,0.9743274,0.86669356,0.8159082,0.9410204,0.80031145,0.7098532,0.82929826,1.1131144,0.8197559,0.9511401,0.86232066,1.1816291,1.024942,1.2418942,1.044374,0.85707283,1.2107753,1.1004426,0.9106537,1.021541,1.252605,1.0840106,1.1246217,1.2303865,1.0774776,1.168747,0.9501153,1.0631343,1.147752,1.2355776,1.2727945,1.0182539
can,1.4463427,1.0597095,0.90380245,1.2702512,1.183267,1.126552,1.202806,0.8469591,1.1105139,1.2837085,1.2749097,0.50058156,1.0572231,1.379214,1.2746701,1.2895019,0.8169104,1.2390912,0.48390585,0.7739652,1.0222534,0.976092,0.5433819,1.2366445,0.0,0.7854421,0.7584822,0.97033846,0.582475,1.2242463,0.60691,0.7872524,1.2888371,0.97917,0.8170024,1.3246434,0.6640335,1.0692489,0.47435915,1.1632,1.233098,0.760177,0.6019334,1.2168303,1.1133782,1.4420359,1.1750615,1.3264054,0.95055544,1.0490695,0.91379666,0.62294865,0.68511313,1.2776805,0.8419436,0.7766951,1.093479,1.2074151,1.178957,1.2030447,1.3059707,0.9119326,0.801958,1.1427711,0.94752324,0.48224002,1.18659,0.6014959,0.59301686,0.5808328,0.99898964,1.015355,0.84970665,1.4020877,1.2487206,0.9778789,0.8120611,0.48458725,0.8090182,0.85146165,1.4418052,0.5221628,1.2230107,1.2811362,0.8336298,1.3934441,0.64812315,0.7039439,0.9901385,0.5403863,1.3173422,0.8482034,1.2301974,1.1302136,0.8427249,0.82128143,0.45719784,0.820954,0.54740375,0.8564727,1.3962674,1.2692004,1.1976829,1.3000517,1.3032868,1.003736,0.94226664,0.8936675,1.2916888,1.1618062,0.64727366,0.96982324,0.5928638,1.0887308,1.3344995,0.46524787,0.7951541,1.0747225,1.1817156,0.8851899,0.90029716,0.88768077,0.72316444,0.5278866,1.1343882,1.3270408,1.0551674,0.88525087,0.7236133,0.64695615,0.89833593
car,0.9752874,1.1403363,1.1561112,1.0939246,1.2144893,1.0971904,1.2037714,1.0443689,0.8628988,1.0551081,0.9126454,0.91191995,0.8441209,1.1630068,1.1892586,1.0179486,0.7344502,0.9831242,0.9360089,1.0465722,0.93101007,1.2287681,0.99423176,1.1392654,0.7854421,0.0,1.0689496,0.94488144,0.6406302,1.0921245,0.9462445,0.7932071,1.1499475,1.1570797,0.77875125,1.2201246,1.0559362,0.8590569,0.99244696,0.92645216,1.0440639,0.7347719,0.9714887,1.0608307,1.0925703,1.2663076,0.8605521,1.0275855,1.2489957,1.0830975,0.9202093,1.1192988,0.94799346,1.0677894,0.8642449,1.097505,1.1708432,0.92387116,1.2040849,1.0050523,1.2358149,1.0640192,1.0389955,0.9299726,0.8715707,0.93895996,1.0059531,1.0146878,0.89220935,0.91590446,1.1098913,1.0825583,0.9103536,1.1228166,0.89480174,1.1416025,1.130929,0.94780326,1.2163016,1.2208947,1.325525,0.8517394,1.0580046,1.0800221,1.0044839,1.0159581,0.9412533,0.93629247,1.0881939,0.97932637,0.9780289,0.8822863,1.0972259,0.8635224,1.1365181,0.81544375,0.90427274,1.1062429,0.6845641,1.0441556,1.2390289,0.96788025,1.0099573,1.0668834,1.0698102,1.1023374,1.0707412,0.8647574,1.012633,0.9887943,1.0701637,0.8987374,1.0134237,1.2517858,1.2893453,0.9412457,1.1375518,0.8563049,0.8300483,0.9782963,1.275295,1.1460558,0.99368596,0.9715799,1.0069076,1.0316981,0.6957683,0.50980705,0.77632296,1.1010784,0.5315329
carrot,1.2858994,1.0191292,0.47849214,1.3424873,0.8619636,0.86853814,0.82135946,0.878111,1.4481158,1.2390088,1.4871919,0.54022324,1.3666543,1.3977146,1.2368344,1.353925,0.98851466,1.2179438,0.87747216,0.8278189,1.3201791,0.61443055,0.74056077,1.1360776,0.7584822,1.0689496,0.0,1.0906963,1.0514672,1.1510322,0.7159302,1.3032978,1.2092296,0.6974991,1.2947875,1.066068,0.35305476,1.3941276,0.61063385,1.2908223,1.1510887,1.2820963,0.937767,1.3416815,0.8732276,1.1822258,1.1563116,1.2828724,0.57723624,0.66024417,0.76072323,0.40664375,0.69470495,0.90458107,1.217088,0.50334775,0.9719366,1.2785165,0.84490806,1.2856816,1.110331,0.9491554,0.7465868,1.1742722,1.1530315,0.8075701,1.3315965,0.61585915,1.0613923,0.8493398,0.74002516,0.9830692,1.038043,1.3325052,1.2802513,0.46496612,0.5546115,0.7717166,0.5076972,0.8367798,1.0759553,1.0760375,0.9971524,1.3182058,1.1135279,1.3472764,0.6271669,0.69365305,0.6375239,0.6176243,1.3227919,0.87074614,0.9675557,1.2762489,0.57742524,1.2169698,0.73273516,0.6879432,1.2724438,0.6000923,1.1534965,1.3640534,1.0237337,1.3862193,1.3032084,1.1671084,0.75182426,1.2697868,1.3180314,1.1480839,0.4796859,1.1572587,0.84241474,0.74978274,1.0760962,0.41597098,0.26498353,1.3128881,1.4022051,0.99955994,0.61899245,0.3567009,0.6460357,0.74384755,0.9324904,1.3193688,1.1424061,1.0398324,1.1584618,0.6349571,1.2768457
