,alligator,ankle,apple,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
alligator,0.0,1.0140054,1.1996554,1.0843796,1.0938962,1.0426731,0.96022844,0.85803294,1.0771546,0.5913835,1.2103574,1.0018609,0.66583073,1.2352486,0.5151687,0.97050154,0.7228019,1.3630713,1.3272294,0.7301929,1.0051954,1.1512197,1.1768708,1.3571374,1.3154659,0.8572489,0.8893547,1.2012589,1.0274892,0.83888435,0.9806153,0.8728846,1.1046934,1.0572504,0.7402514,0.93256336,1.1735487,0.64552295,1.4330473,0.8919325,1.1033566,0.9895673,1.0070727,0.9800787,1.1723533,0.9703374,1.1495743,0.908582,1.1074812,0.9363401,1.0283986,1.107937,1.2755704,0.5005004,0.89976025,1.3180537,1.0478026,0.9782294,0.99730283,0.93407893,0.786528,1.0250591,1.0056375,0.7162925,0.8397056,0.884601,0.87529266,1.0969667,0.9672219,1.2845576,1.0119857,1.0052692,0.604529,0.9901072,1.0314335,1.2745776,1.2809304,1.0681462,1.0924915,1.0142385,0.9328968,0.845147,1.063424,1.1458503,1.2814366,1.2238353,0.85795355,0.8711328,1.1534127,1.039528,1.060411,0.9656383,1.1080583,0.79450893,0.9704497,1.1115221,1.0210348,0.99543405,0.84141433,0.9974809,0.84166956,0.8849324,1.0975865,1.1762092,1.2865167,0.73533255,1.3267395,0.93776834,1.0709447,1.018666,1.1896132,0.8626543,0.85769975,0.72954744,1.324853,1.1913301,1.0981028,1.238769,1.2826637,0.71959436,0.94123596,0.98030823,1.0052426,1.2777932,1.2891377,0.8266349
ankle,1.0140054,0.0,0.9783496,0.9537049,1.0540699,0.9196342,1.1096121,1.0991716,1.1401956,1.1172025,1.1015173,0.99897623,1.0098389,1.2031202,1.2086011,1.0993679,1.1391075,1.1094767,1.1469221,1.0231302,0.8610574,1.1880087,1.2157276,1.084165,1.2488012,0.7374297,1.0134419,1.0830127,1.232531,1.1873066,0.98054236,1.0248733,1.0742335,1.0898422,0.9681672,0.94788015,1.0020204,1.1769508,1.1402489,1.1145198,1.1979274,1.0715675,0.72129935,0.72364926,0.9211985,1.1201408,0.7986914,0.5127971,0.5871433,0.8841911,1.2731692,0.6566653,1.1125138,1.069487,1.2929875,0.74143904,0.8894412,1.1021495,0.9366632,0.59014606,0.68876576,0.5403768,1.0880352,1.000991,0.94112897,0.9882992,0.74191505,0.9926155,0.8927349,1.114954,0.7991488,1.0787678,0.8855573,1.1086454,1.0118625,0.93238145,0.9513328,0.84049314,1.1165798,0.93438363,1.2102664,0.7595166,0.66495734,0.9837875,0.9487793,1.0960915,0.8267262,1.0314784,1.1466914,0.9963324,1.2330666,1.1364532,1.1601427,1.1697136,1.2748109,1.1945319,1.0174056,0.996605,1.1157391,1.0722588,0.72088695,0.7063578,0.8709856,1.2193232,1.1257571,1.0880101,0.9130838,1.1149306,1.0068096,1.1133891,0.75863624,1.1046535,0.8205435,1.0739288,1.1144296,0.5715118,0.53300345,1.2142313,1.0838009,1.3249556,1.1137154,1.1714268,0.9845362,1.2550886,0.8130835,1.0391858
apple,1.1996554,0.9783496,0.0,0.61110365,0.5745729,0.39560175,1.3857008,1.4337189,1.0596133,1.4965947,0.6589209,1.170217,1.2740148,0.49828,1.3988826,1.3031119,1.0969496,0.45829082,0.33293664,1.2971563,0.788291,0.8535685,0.6756774,0.71051335,0.7731869,1.0288092,1.2372212,1.0627154,1.1446538,1.1491961,1.1084329,0.8287958,0.9635508,0.7932635,1.461246,0.9642721,0.19753331,1.4826105,0.42250925,1.2692935,0.8013263,1.3864446,1.3428088,0.86254936,0.49281025,1.1494809,0.8180325,1.1125464,0.77973527,0.54537034,0.85561347,1.1469582,0.33062303,1.0635302,1.2534931,0.2909652,1.1306232,1.2244817,0.9906479,1.0695385,1.2275865,0.7805633,1.1851255,1.3545388,1.3622676,1.1952463,1.3827915,1.0959319,1.3741341,0.59489256,0.35213166,1.2677914,1.3474237,1.3259072,0.8027835,0.37952435,0.6209848,0.89245343,0.31591272,1.4270211,1.1954334,1.3584409,1.2380407,1.0062729,0.27380562,0.44676048,0.84900856,1.1270669,0.95685804,0.9281972,1.059483,0.9861511,1.1369005,1.0040089,1.151303,1.0422709,1.379425,1.2361474,1.3228338,0.9439404,1.3714985,1.284516,0.95099866,0.8351389,0.64810145,1.2057042,0.44418675,1.2579317,1.1561652,1.0370932,0.32695973,1.3244388,1.409657,1.4656267,0.5514373,0.5646064,0.74043304,0.35946298,0.7537108,1.0345756,1.3197796,1.1366913,1.3139143,0.9921294,0.20730913,1.3445666
ball,1.0843796,0.9537049,0.61110365,0.0,0.50070393,0.74075234,1.3554325,1.2163465,1.0345782,1.4270569,0.8305804,1.0796804,1.2519183,0.76598126,1.3018385,1.2900461,1.1904638,0.74978405,0.6596891,1.252617,0.7257043,0.8635343,0.78291,0.82759255,0.9352294,0.7538682,1.077054,1.117512,0.93358237,1.2858031,1.0699023,0.55970675,0.8979187,0.73638964,1.3913205,0.7320018,0.66321874,1.4931499,0.6652136,1.1647799,0.9111664,1.3105407,1.3072904,0.84639496,0.45987183,0.97964597,0.77449834,1.1484045,0.742013,0.64013314,0.94489384,1.0849062,0.76929784,0.9898199,1.035233,0.60915905,0.8868241,1.0102391,0.7546983,1.1365514,1.0635673,0.853673,1.0526301,1.17283,1.2679344,1.0992364,1.2979132,1.160499,1.2035782,0.4837168,0.6080851,1.2116786,1.1804643,1.2457647,0.6058748,0.5509394,0.7042467,0.7161208,0.6194905,1.4614346,1.087728,1.1998928,1.2400643,0.9047049,0.7663461,0.86296546,0.8579578,1.1209279,0.90278435,0.97791886,1.0238988,1.0050102,1.0834843,0.851438,0.98876464,1.1269064,1.4108244,1.0378042,1.1443545,0.86447096,1.3139644,1.21106,1.0024241,0.95854396,0.9686206,1.1162392,0.77335465,1.2161248,1.2687343,0.98635167,0.6320663,1.2788515,1.4243279,1.330999,0.84495676,0.5799885,0.8744527,0.9187064,0.84074247,0.97621715,1.3784199,1.0515797,1.1904265,0.9329506,0.6516069,1.3444104
balloon,1.0938962,1.0540699,0.5745729,0.50070393,0.0,0.75426316,1.213417,1.2706043,1.0972735,1.3356729,0.752515,1.2187653,1.2358313,0.81174135,1.2523644,1.2632285,1.0085871,0.5938043,0.6298311,1.1827655,0.8117218,0.6540295,0.7535255,0.84137267,0.85064244,0.91105956,1.1405717,1.0020432,1.0660199,1.1601425,1.0286547,0.675802,0.91344976,0.79009855,1.29584,0.94235605,0.5669777,1.2611957,0.66396,1.1366541,0.9395079,1.2638109,1.1827375,0.92114854,0.61754787,1.1210563,0.8909051,1.2074168,0.9029701,0.6972192,0.92591214,1.1354755,0.78260565,0.8114116,0.9769809,0.8094183,1.0524855,1.1936893,0.9252122,1.120266,1.1516176,0.92549944,1.1339209,1.1900867,1.1820853,0.85502243,1.287462,1.1852007,1.227035,0.7701492,0.6263552,1.1051476,1.2580639,1.1505094,0.75700945,0.6014232,0.8687245,0.9269657,0.56333745,1.325277,1.1702971,1.1630642,1.2142256,0.9646939,0.7819632,0.87384385,0.8932432,1.1006072,0.9777059,0.96899277,1.0006944,0.94222736,1.048561,0.9119795,0.9842579,1.0225904,1.297451,1.1281807,1.1712623,0.81924015,1.2759492,1.1903617,0.9937764,1.0121431,0.8320645,0.9928667,0.75780785,1.2645926,1.0940275,1.0750096,0.695284,1.1858429,1.3028855,1.2172614,0.83835226,0.8121486,0.9719521,0.6988711,0.9023834,0.7864131,1.2122457,1.1332036,1.1631906,0.94660366,0.7141866,1.2561684
banana,1.0426731,0.9196342,0.39560175,0.74075234,0.75426316,0.0,1.2551379,1.4323186,1.1113422,1.4547477,0.74396944,1.0653173,1.2128607,0.6196979,1.294106,1.3337897,0.96904385,0.65117735,0.4947422,1.1237301,0.71214783,0.8311224,0.81021154,0.7724448,0.77845454,1.0070732,1.1584697,0.9568323,1.2760402,1.1533132,1.1997762,0.90791875,0.89292586,0.86134136,1.3527701,0.7036085,0.34519064,1.3576555,0.60786945,1.2280998,0.7971046,1.3888054,1.1109002,0.86752236,0.587106,1.2366154,0.80927956,1.1260462,0.8475089,0.6217104,0.8112645,0.9869253,0.5817957,0.91683555,1.132039,0.5839709,0.7911844,1.254725,0.931249,1.1875196,1.2043765,0.928176,1.1187148,1.3053315,1.2666067,1.1176488,1.3232028,1.0856401,1.1409049,0.7477162,0.25637448,1.1999613,1.2688344,1.2568955,0.88749915,0.66734445,0.52012837,0.84036195,0.53799427,1.3590777,1.2597371,1.2953925,1.1470897,0.96858925,0.52873015,0.68031335,0.6642779,1.2540461,0.78533304,0.76282066,0.9697064,1.0711063,1.0756903,0.8703986,1.1071192,1.0527985,1.3792965,1.1884423,1.1767422,0.8608692,1.4126372,1.0741063,1.0356933,0.8488465,0.8970518,1.1825517,0.46937084,1.2936599,1.0944598,0.99196225,0.5449072,1.1945336,1.3917099,1.4780186,0.637199,0.6968925,0.78535295,0.7635863,0.6679232,0.8673693,1.1962333,1.1834905,1.2117888,0.90019464,0.49578315,1.3787156
basket,0.96022844,1.1096121,1.3857008,1.3554325,1.213417,1.2551379,0.0,0.6968873,1.0620494,0.5926802,1.2396258,0.925913,0.90845907,1.2965066,0.75905144,0.8889328,0.8959525,1.1062964,1.2626276,0.7390582,1.2269605,0.89347523,1.2281728,1.3243573,1.0968394,1.162022,0.9724051,0.918758,0.86869115,0.7851575,1.0296923,1.1690674,0.9990132,1.1686956,0.5400343,1.2311945,1.4228667,0.3219943,1.2466078,0.9042267,1.2683237,0.7692625,0.6580552,1.2297162,1.4020197,1.0794142,1.1306434,0.95753247,1.3152704,1.3551682,1.1350381,1.0543232,1.2857704,0.93658805,0.7668442,1.4362249,1.0250134,0.983504,1.0446105,1.0112476,0.9987557,1.2079253,1.0608475,0.87263787,0.723885,0.7350842,0.88834137,1.0060974,0.72444826,1.2809274,1.2663362,0.6293425,0.89085114,0.7045363,1.2135742,1.3814559,1.2771748,1.1770029,1.2959473,0.2844439,1.0703434,0.8648118,0.8025503,1.0431368,1.3549856,1.2359905,1.1238421,0.993929,1.1383944,1.0471306,1.0303116,0.89597815,1.0689101,1.0277728,0.9135396,0.94298095,0.48876196,1.0357796,0.95783925,1.1101834,0.79548293,0.9359549,1.0795964,1.2041731,0.9765316,0.882237,1.2965065,0.9031976,0.97821414,0.9953522,1.3695383,0.7221929,0.63496447,0.61122024,1.1571159,1.4493456,1.1705594,1.2197188,1.2052978,0.92420954,0.21474487,1.0728369,0.77306736,0.96393144,1.3962357,0.7963794
bathtub,0.85803294,1.0991716,1.4337189,1.2163465,1.2706043,1.4323186,0.6968873,0.0,1.0049726,0.45744848,1.2505655,0.7116357,0.7667916,1.3884847,0.71008325,0.6618711,0.969389,1.3086495,1.3764782,0.55047756,1.1627082,1.1285138,1.2442424,1.2690562,1.3010621,0.8907692,0.91188926,1.0963111,0.67494696,0.7878969,0.86893976,1.139396,1.2985135,1.1449676,0.53802514,1.0521435,1.5080243,0.59538007,1.3567616,0.9557369,1.3755599,0.653111,0.7001842,1.2515973,1.4257469,0.84108454,1.2518314,0.9769359,1.1570487,1.236763,1.3319467,1.1792809,1.3102726,0.9671189,0.7915708,1.3820606,1.1129608,0.7925219,0.90964097,0.9614301,0.81594896,1.2903291,1.0597802,0.6166877,0.8358817,0.8328141,0.7220446,0.7895136,0.8299603,1.1771326,1.3165,0.71769106,0.8382516,0.8811699,1.1226072,1.3318324,1.3344916,1.2564502,1.2814252,0.5839217,0.77731603,0.8289285,0.8419279,0.93285906,1.3460904,1.1634661,1.1065578,0.916209,1.1916393,1.1338718,1.2186892,0.41495085,1.161301,1.134929,0.97492385,1.1780944,0.5749819,0.8604453,1.062706,1.0718567,0.67208946,1.0066738,0.95245695,1.2534034,0.6473937,0.8840532,1.5362682,0.63649076,1.140627,1.1322372,1.4112065,0.9693134,0.6353798,0.22519612,1.3583596,1.3168678,1.0578893,1.1757524,1.2626028,1.1440995,0.57823163,0.87697345,0.92336315,1.09191,1.4780166,0.69643
bear,1.0771546,1.1401956,1.0596133,1.0345782,1.0972735,1.1113422,1.0620494,1.0049726,0.0,0.9626843,1.0430074,0.92774206,0.9824032,0.92418844,0.9672842,0.94038725,1.1471934,1.1330967,1.0749574,1.2106878,1.128014,1.1843219,0.94905186,1.0607703,1.0505129,1.1070709,1.0433413,1.1970613,0.966897,1.0471714,1.1503206,1.0814784,0.8832284,1.1110066,1.133288,1.101694,1.0002126,1.0424831,1.0728674,1.0261526,1.0608883,1.0691482,1.1334709,1.0165356,1.0950038,0.56656796,1.0054178,1.1106142,1.1491438,0.9748432,0.9981435,1.1741548,0.8519273,1.1432867,1.0832467,1.0026098,1.1741315,0.4204507,1.0489151,1.0318453,1.1712754,1.1342648,0.8035768,1.0214481,1.2552712,1.0800499,1.0792587,0.8545371,0.98123825,1.0431505,1.0772104,1.0802133,1.0298598,1.0373176,1.1006856,1.084595,1.0880026,1.0294787,1.1051973,1.1269734,0.3083284,1.1140094,1.1283,1.1478889,0.9555166,0.8795171,1.0787126,0.77629125,0.99266964,1.083013,1.0265642,1.1012158,0.892856,1.0826565,1.0720692,1.0011548,1.0942721,0.5162687,1.011766,0.93679476,1.1090028,1.1627618,1.1236924,0.87990093,1.0513071,0.9994894,1.151744,0.5879044,1.0894349,0.9133582,1.0618988,1.1108555,1.1533376,1.0932804,1.0733153,1.1273817,1.015929,0.9423557,1.0090069,1.1454003,1.1425859,0.377388,1.0930487,1.1517277,1.0912794,1.0428735
bed,0.5913835,1.1172025,1.4965947,1.4270569,1.3356729,1.4547477,0.5926802,0.45744848,0.9626843,0.0,1.4058983,0.7534411,0.6419766,1.4717165,0.24255717,0.7331069,0.8971493,1.4482188,1.4647784,0.68597114,1.3293014,1.2197641,1.3248081,1.4291798,1.3377374,1.1263013,0.7584208,0.9630131,0.85379523,0.61307156,0.73799145,1.1960151,1.2627084,1.3211708,0.17371362,1.3323296,1.5990744,0.22670871,1.5216582,0.697756,1.2624227,0.55225354,0.76963913,1.3551772,1.5267874,0.7550352,1.2508441,0.89203113,1.3403975,1.3810091,1.2674432,1.0966837,1.4184117,1.0194013,0.9338366,1.5498515,1.1321497,0.7319341,1.1393465,0.90444934,0.9230717,1.2435209,0.9507987,0.5391006,0.622663,0.9190903,0.5770261,0.86792356,0.9205488,1.4723306,1.4118309,0.8652768,0.65520227,0.8059221,1.3567798,1.4166044,1.4411765,1.1617348,1.4396791,0.47924185,0.7000164,0.68876195,0.78778803,1.218621,1.483162,1.322021,1.1949768,0.6908171,1.189845,1.2764721,1.1670029,0.95125043,1.0589219,1.2218473,1.0817723,1.1153526,0.50362384,0.80056626,0.943451,1.3006632,0.5690568,0.8910386,0.99278975,1.2632701,1.1273819,0.71404874,1.535588,0.6356219,1.0370665,1.0525048,1.4713196,0.6304216,0.501557,0.33990633,1.421133,1.4744177,1.1749215,1.1933875,1.3835645,0.9351911,0.66495156,0.83904004,0.87664264,1.2079241,1.5587766,0.51127195
