,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,sink,slide,slipper,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bed,0.7014444,1.2836373,1.382574,0.6558269,1.2582681,1.5180022,1.2989404,1.3205184,0.88551253,1.1252689,0.0,1.5054058,0.67399204,0.29551995,1.1228105,0.13879836,0.23828506,1.3574479,1.3520749,0.26230747,1.0370284,1.3803957,1.1249852,1.5158651,1.0466237,1.2664768,0.65417296,0.93267894,1.4225667,0.80677116,0.7821137,1.0677284,0.92135274,0.7440672,0.75158954,1.4963542,0.5188149,1.3537793,0.72997063,0.9516545,1.150093,1.2639033,0.9465898,1.0528145,1.1694994,0.9051214,1.349328,0.87972987,1.2988918,0.90357167,1.4179807,1.3644857,1.3712478,1.122991,0.64438665,1.3181962,1.3427817,0.7693255,0.61690503,0.6512549,1.2237489,0.6847607,1.3587517,0.8601391,0.7610222,0.69504094,1.2026434,1.1074114,1.4076171,0.4969349,1.0662374,0.8294225,1.3259306,1.4655347,1.2850194,1.5233104,1.3477769,1.2308322,0.7512311,1.1595544,0.68563426,0.80679244,0.26665848,1.5079284,1.2804152,0.9081919,1.3987081,1.0263368,1.180339,0.74839276,1.1034211,1.3149695,1.2215672,1.385351,0.6981269,1.2012371,1.2176685,1.2159463,0.4474048,0.8513176,0.6286391,0.80034053,1.3073815,0.5265449,1.5259483,1.3749667,1.3378683,0.6755023,0.6862602,0.37743598,1.3506564,1.3711551,1.3623434,0.8169185,1.1843586,1.08818,1.3372703,0.7579261,1.0195825,1.0925395,1.4927253,0.8989836
belt,1.3710272,0.7235142,0.5311537,1.4476712,0.92334783,0.43399334,0.98285896,0.6717652,1.2755308,0.83595103,1.5054058,0.0,1.4099938,1.504179,0.9996709,1.4877483,1.4779499,0.50158685,0.49548656,1.481927,0.9805433,0.79827344,1.0358034,0.42069232,1.1080323,0.6865067,1.2979603,1.0999948,0.39892805,1.2677393,1.2351146,0.9155853,1.0504799,1.3659047,1.3333097,0.21519434,1.4170616,0.5203221,1.3895912,1.1656294,1.0337334,0.8668986,1.2092919,1.1672815,1.0385345,1.1057891,0.5677418,1.14369,0.7595446,1.0817089,0.6250053,0.7424689,0.2801528,1.0412875,1.3695462,0.60059124,0.7785078,1.1396474,1.2944553,1.3813442,0.7441844,1.4055283,0.59210384,1.3045769,1.1808196,1.1598135,0.5649169,1.074219,0.6006789,1.3633809,1.1485406,1.3447411,0.9420238,0.38350272,0.9066418,0.38914537,0.70819056,0.68832207,1.2664875,1.0478194,1.2665635,1.2107866,1.4646112,0.28448188,0.42947823,1.3884722,0.31919467,1.2189662,0.85028344,1.3401184,1.1039641,0.3042379,0.91698897,0.5747976,1.0819248,0.8752315,0.9270332,0.846037,1.2946786,1.3695233,1.388802,1.2044926,0.5581162,1.362122,0.40274537,0.46321756,0.7773628,1.2572784,1.3838037,1.6433725,0.5995974,0.7037481,0.46181506,1.3680065,0.8880761,1.032559,0.79559934,1.2894921,1.0997602,1.0824677,0.3624673,1.0878344
bench,0.87403405,1.1182809,1.3842626,0.82357824,1.1909196,1.4256626,1.2434372,1.184217,0.2963915,1.1205345,0.67399204,1.4099938,0.0,0.7565948,1.2153076,0.56824875,0.82288134,1.2962625,1.2180108,0.7787351,1.067553,1.166525,1.0134457,1.2473594,1.051712,1.1792309,0.84877527,0.63211906,1.3482115,0.6616167,0.83410734,0.93908525,0.8425671,0.17889309,0.92133355,1.4055327,0.41919273,1.2681096,0.9039096,1.147137,0.738862,0.69033647,0.8389925,1.0200483,1.1799921,0.8270558,1.399159,0.9827927,1.188063,1.0528326,1.3647983,1.2955303,1.350915,1.219834,0.89516544,1.2604164,1.1859658,0.7176055,1.0051702,0.83789414,1.2544918,0.8249116,1.344282,0.8542049,0.87593603,0.74222577,1.115767,0.8770417,1.2029034,0.83854795,0.9521841,0.85672134,1.2541094,1.4352968,0.8517854,1.4500084,1.2989783,1.2725363,0.8551252,1.0751163,0.8183244,0.8026839,0.8521255,1.347674,1.2305607,0.94064724,1.3242812,1.0262794,0.8254905,0.92463225,0.94368935,1.2875519,1.246716,1.3702325,0.8274074,0.9913061,0.9813424,1.2907089,0.69187987,0.8773764,0.7481116,0.7727932,1.1239308,0.68373024,1.4065373,1.2992053,1.2928001,0.8801472,0.7736774,0.47228426,1.2604215,1.3158077,1.3142794,0.848031,0.78766114,1.3069777,0.93855685,0.73010665,1.1097206,0.8915334,1.4038438,0.7920057
bib,0.43521303,1.201326,1.4842985,0.73087573,1.3043842,1.4852746,1.1349126,1.3397967,0.9080628,1.1573741,0.29551995,1.504179,0.7565948,0.0,0.9514668,0.40492582,0.15716088,1.4528385,1.4982355,0.17543513,1.0018647,1.3366103,1.0866008,1.6013379,0.9325563,1.3185986,0.59240407,1.063538,1.4844167,0.8485875,0.8114784,1.091758,0.8033001,0.8752161,0.46124327,1.5269485,0.47308528,1.485687,0.6252247,0.6998136,1.1581295,1.2172555,0.95371735,0.924772,1.1082613,0.91920805,1.3945544,0.85205084,1.3405685,0.8292909,1.3110756,1.3890572,1.425759,0.9959296,0.5626955,1.325471,1.2614679,0.8355131,0.6415868,0.75248706,1.0906539,0.656693,1.3073044,0.8426108,0.81850064,0.7559221,1.2071842,1.2250154,1.484807,0.59599334,1.0274366,0.7285778,1.264922,1.4986882,1.270223,1.510001,1.3099529,1.3566555,0.7275094,1.0708164,0.6885619,0.7821815,0.23496854,1.5345681,1.2635484,0.85899967,1.3793708,0.9206427,1.2859161,0.6165144,1.105749,1.4373435,1.126901,1.47864,0.67502713,1.1224725,1.373912,1.1173677,0.59608805,0.74037004,0.67131364,0.71092725,1.3614252,0.7150963,1.4932843,1.3744296,1.2349223,0.8185389,0.7583661,0.4242772,1.2144449,1.3714068,1.4434917,0.78290254,1.2458836,0.96734476,1.3502893,0.8378728,0.95335096,1.1957195,1.5177629,1.0559269
bird,0.7604182,0.9891571,1.02254,1.1847233,0.9773702,0.8420762,0.63236094,1.1201708,1.2132705,1.1672926,1.1228105,0.9996709,1.2153076,0.9514668,0.0,1.2138716,0.9617491,1.0963743,1.1392031,0.95256,1.0217606,1.0762577,0.7609635,1.1070478,0.9730463,0.87298036,0.91472304,1.1837472,1.0097952,1.1599193,1.1459976,1.1366866,1.1611274,1.2371466,0.8638781,0.96287036,1.081553,1.1207156,0.8326247,0.7451297,1.1570606,1.0876389,1.070196,0.39997458,0.72012323,1.2387112,1.0724149,1.1297694,1.0641805,0.8542692,0.513874,1.0407673,0.97700804,0.5992322,1.2015339,1.0199033,1.0577748,1.1105177,1.0211413,1.2066448,0.98303795,1.1655552,0.88617426,1.0640217,1.0960273,1.1533391,1.0052418,1.0631641,1.0476276,1.1265165,1.0067879,1.2086372,0.9029899,0.9716636,1.2181497,0.97928464,0.9405123,1.0240194,1.1850181,0.61174464,1.2262081,1.1455932,0.87725693,1.0475802,1.0903972,0.8168923,0.98512316,0.7036446,1.228602,1.0722992,1.099958,1.0682613,0.6146033,1.018269,1.1804006,1.0299231,1.1742866,0.50509167,1.1519973,0.8447581,1.17096,1.1792104,1.0582063,1.192192,1.039125,0.84346724,0.71455634,1.081149,1.1553203,1.1784143,1.072167,0.9890003,0.98816305,1.1384652,1.2286626,0.72193295,1.1075493,1.1287942,0.9388578,1.0456531,1.0567645,1.2318429
blanket,0.66455424,1.2061516,1.4709272,0.5771809,1.2988389,1.5464739,1.366413,1.3385081,0.7298783,1.0440072,0.13879836,1.4877483,0.56824875,0.40492582,1.2138716,0.0,0.47151923,1.4067004,1.401089,0.49959952,0.979808,1.3704436,1.1429584,1.4785972,1.108828,1.2976959,0.65649986,0.83857226,1.452059,0.67975366,0.6816975,0.92245525,0.82789534,0.5837788,0.7143987,1.5550817,0.5227531,1.4160695,0.73974323,1.0362464,1.0359464,1.1757782,0.8846336,1.0930811,1.2396579,0.77643955,1.3467917,0.8001605,1.3066323,1.0101376,1.4339911,1.3554423,1.4198779,1.2124299,0.6692351,1.3368804,1.1700794,0.7696334,0.70533055,0.66794974,1.2264647,0.6513318,1.4009757,0.8499316,0.7145423,0.4793867,1.2463651,1.068383,1.4338431,0.52874976,0.98222506,0.6755338,1.3220415,1.540814,1.0212127,1.5257483,1.3279388,1.3259705,0.7427764,1.1215723,0.53314805,0.61326104,0.52009386,1.5320597,1.2474818,0.9131091,1.4327593,1.0156149,1.02095,0.72274226,1.0822356,1.387705,1.2659658,1.460963,0.63720644,1.2074285,1.1982325,1.2924298,0.45053953,0.903592,0.5094901,0.62383324,1.3462611,0.59469396,1.48959,1.457172,1.4156572,0.7921918,0.623629,0.40573955,1.3502102,1.3912871,1.4343975,0.8410983,0.9367343,1.2600224,1.2424562,0.78172183,1.0882301,1.0780535,1.5169972,0.804358
book,0.5846214,1.2034736,1.4205612,0.7550048,1.3131189,1.4281583,1.1716002,1.2205698,1.000694,1.1468475,0.23828506,1.4779499,0.82288134,0.15716088,0.9617491,0.47151923,0.0,1.3838623,1.4015427,0.038308322,1.0959065,1.2665968,1.0737535,1.509572,0.88282514,1.2561429,0.65378314,1.0579023,1.4125501,0.8973475,0.8975868,1.1503851,0.76716614,0.962093,0.61311865,1.4188459,0.52482176,1.4157324,0.7114,0.76941276,1.1694846,1.2141476,1.0153087,0.99185264,1.0743728,0.96281695,1.3476219,0.9204996,1.3043606,0.7554213,1.3173921,1.2912726,1.3495748,0.9799179,0.5793029,1.310996,1.3062649,0.8714609,0.4952904,0.79292107,1.1559427,0.6433869,1.3128402,0.91947865,0.9074565,0.88129926,1.1216564,1.1585575,1.4173975,0.6470345,1.1253927,0.8394251,1.273073,1.4415281,1.3629411,1.485298,1.342419,1.302108,0.7014395,1.1839763,0.8361991,0.9407153,0.107313514,1.429614,1.1502416,0.9092663,1.3254085,0.9460419,1.3442924,0.66315764,1.0404794,1.34426,1.1562853,1.4376563,0.60472345,1.0774795,1.2796711,1.1275337,0.7049643,0.6490222,0.785242,0.89563143,1.2939311,0.74385977,1.4618466,1.3331099,1.2018256,0.7596351,0.8332766,0.4094938,1.2173761,1.3252796,1.3580024,0.7314462,1.3600566,0.8766504,1.2584355,0.8329036,0.9220472,1.1169688,1.4699583,1.086695
bottle,1.4021225,1.0873168,0.19599807,1.3468208,0.5910877,0.6545229,0.96262234,0.59149766,1.303047,0.91446805,1.3574479,0.50158685,1.2962625,1.4528385,1.0963743,1.4067004,1.3838623,0.0,0.20500958,1.3854702,1.0377263,0.80446786,0.9762671,0.40008593,1.1226506,0.8128942,1.2308772,1.0766509,0.291749,1.2476971,1.3090782,1.0745814,1.2267076,1.3160079,1.4131848,0.38421983,1.3260872,0.07717943,1.2871231,1.1917391,1.0636783,1.03553,1.1624343,1.1487007,1.0384804,1.2055041,0.607859,1.1793947,0.89190924,1.1082996,0.8419826,0.62918526,0.55936235,1.096069,1.3064386,0.7860146,1.0228071,1.097432,1.2489924,1.3019007,1.0050235,1.3956828,0.721568,1.1973749,1.2703514,1.3764637,0.70694995,0.9533618,0.41698825,1.2846527,1.0609051,1.3274735,1.0406278,0.40617096,0.9627395,0.54689646,0.8934144,0.25064433,1.2173173,1.0618726,1.361819,1.3487594,1.3758818,0.5327587,0.6866367,1.2057812,0.49922496,1.200438,0.81640905,1.3173063,1.0445102,0.35888332,0.9513728,0.24936813,1.217922,0.92635345,0.6743599,0.9870645,1.2396975,1.3457415,1.4060888,1.2835149,0.4623192,1.2347926,0.64514726,0.6656267,0.9152394,1.1990688,1.3509207,1.4396517,0.85493195,0.8561259,0.47402608,1.2121342,0.85112476,0.95449513,1.0277135,1.1540767,1.0769821,0.95776135,0.49168938,1.0157274
bowl,1.5313021,1.1073151,0.34055185,1.3817629,0.5964154,0.62810266,0.9747504,0.56513894,1.144892,0.8365016,1.3520749,0.49548656,1.2180108,1.4982355,1.1392031,1.401089,1.4015427,0.20500958,0.0,1.375804,1.008536,0.49330473,0.95537096,0.38984483,1.1205845,0.7258291,1.3110647,0.93339753,0.32651967,1.3108524,1.3253415,0.8443889,1.2314639,1.2090062,1.4585333,0.39129043,1.2633036,0.1233505,1.354522,1.2750199,1.0794873,0.90238065,1.2145588,1.1937698,0.9136446,1.1921225,0.70007706,1.2961218,0.9227803,1.1613278,0.85708046,0.6636114,0.60365397,1.0830119,1.3682144,0.8481731,0.99914706,1.0457321,1.2064441,1.3476373,1.0226506,1.4439728,0.73292094,1.2189676,1.3363233,1.3930376,0.6876379,0.9075906,0.379606,1.3105059,1.0326815,1.3570195,0.9353677,0.49695778,0.84330016,0.63730425,0.84293866,0.35617828,1.2468907,1.039497,1.4347868,1.4051403,1.4169908,0.4626459,0.65206695,1.2616055,0.5106135,1.2054204,0.6619236,1.3271134,1.0538117,0.2437644,0.94881046,0.40221357,1.1967875,0.85957325,0.6279013,1.0017929,1.2936746,1.3424389,1.4492607,1.3477403,0.27637386,1.2199674,0.6972581,0.6982146,0.9529507,1.1544217,1.3960137,1.3820158,0.6768204,0.9306141,0.45024413,1.1431711,0.75018644,1.0048511,0.80153096,1.1726193,1.1022984,0.9122934,0.5907507,0.9466584
box,0.6012509,1.243119,1.4339432,0.78044647,1.2938247,1.4183455,1.1295985,1.2361047,0.94808453,1.1516577,0.26230747,1.481927,0.7787351,0.17543513,0.95256,0.49959952,0.038308322,1.3854702,1.375804,0.0,1.1097003,1.2424985,1.0760698,1.4856236,0.8792877,1.2655407,0.6355802,1.0309116,1.4017556,0.86504745,0.8983377,1.1404204,0.78905034,0.9292989,0.62885463,1.4320369,0.49837148,1.4062874,0.7256324,0.78682333,1.1103652,1.1503385,1.0092698,0.9532143,1.0569444,0.9657258,1.3489023,0.9573881,1.331485,0.740733,1.3028682,1.2757481,1.3647027,0.95665413,0.62591624,1.3548157,1.3291731,0.8534449,0.5836793,0.8041359,1.1747826,0.7092165,1.3208802,0.9284818,0.915138,0.90680873,1.1510124,1.1099241,1.3773599,0.66283786,1.1078979,0.89068234,1.2762908,1.4564917,1.3467959,1.5201931,1.3354557,1.308426,0.71391946,1.1457193,0.8683634,0.9472927,0.111744165,1.440493,1.216159,0.91192234,1.3383387,0.9395722,1.3154765,0.7365685,1.0051047,1.3318167,1.155779,1.4512388,0.6351435,1.0367452,1.2390914,1.1194749,0.7069539,0.6914557,0.79822516,0.9515258,1.2696995,0.7313378,1.4914885,1.2998408,1.179561,0.76842004,0.8347608,0.40293038,1.2265596,1.3617396,1.3683157,0.78017473,1.3337151,0.8728744,1.2553588,0.8075888,0.92605084,1.0719922,1.4928181,1.0264946
bread,0.84552515,0.92911285,0.9483631,0.84365165,0.7397649,0.98967403,0.7827301,0.96599114,1.0880101,1.0024023,1.0370284,0.9805433,1.067553,1.0018647,1.0217606,0.979808,1.0959065,1.0377263,1.008536,1.1097003,0.0,0.9654969,1.0963172,1.1700664,1.0512916,1.0035346,1.166585,1.1775035,1.162085,1.072165,1.1744723,1.0000325,0.9931168,1.1279054,0.66573364,1.0339649,1.1299586,1.048883,1.019277,0.9741326,1.1501673,1.0825243,1.136631,0.88200057,0.8832872,1.1327109,1.0111772,1.123545,0.7953687,1.1009374,0.85735893,1.1385332,1.0675124,0.8491678,1.0078342,1.0673711,0.8592221,1.2049499,1.046151,1.1060908,0.86190945,0.815383,0.94709843,1.034018,1.2178904,1.0675964,1.0315188,1.2159846,1.1335685,0.60616964,0.72075975,0.73207915,0.5467769,0.9364134,0.95644605,0.8707456,0.7137709,0.93615013,1.1206392,0.7429185,1.0183504,1.0680302,1.10517,1.0697719,1.0101554,0.7365442,1.1128814,0.94405675,1.0166515,0.78623945,1.1740745,0.9609264,1.0128622,0.89353687,1.088133,1.0883977,1.1599829,0.93448794,1.0172845,0.9871933,1.1532017,0.8742669,1.1028986,1.123067,0.93573844,0.93741107,0.9545393,1.127389,1.1756935,1.0305122,0.7591854,0.90720797,0.94581574,0.8456502,0.97534186,1.0361024,0.8768071,1.1836874,1.037617,1.2342739,0.9509998,1.1501174
bucket,1.4086522,0.9392127,0.8818891,1.1835186,0.7569734,0.6343321,0.8739847,0.695136,0.9694679,0.8742187,1.3803957,0.79827344,1.166525,1.3366103,1.0762577,1.3704436,1.2665968,0.80446786,0.49330473,1.2424985,0.9654969,0.0,0.89719534,0.54487425,0.9802721,0.8756608,1.2874861,0.8105638,0.75859475,1.2411624,1.2516978,0.60057664,1.0205318,1.0902531,1.2605654,0.76288694,1.1203917,0.6953848,1.2939283,1.136166,0.92914236,0.7631255,1.1138768,1.1276869,0.8652301,1.136273,0.8336425,1.2625521,0.81343013,1.1407065,0.8996338,0.7052695,0.9287142,0.9549047,1.1976738,0.9742,0.700833,1.2097912,1.0000663,1.3415087,1.0355108,1.1175869,0.81049645,1.213614,1.3390473,1.2292137,0.85465014,0.7649209,0.57469904,1.2924547,0.9716054,0.96333724,0.769433,0.8400467,0.60148597,0.7792882,0.8293075,0.9694412,1.1611575,0.9673496,1.2601293,1.1736578,1.337578,0.6916548,0.87997836,1.106242,0.7836609,1.1329691,0.66500735,1.1728688,0.96884906,0.8214692,0.97586465,0.9143709,1.0829701,0.79246306,0.65910494,1.0159901,1.3700817,1.0346444,1.3204567,1.1620264,0.62943864,1.3188531,0.7394271,0.91084313,0.852171,1.103844,1.3218169,1.2165074,0.5221385,0.80422264,0.7823854,0.78737783,0.6790941,0.96191293,0.6173532,1.247043,1.0378273,0.7727704,0.8106315,0.98894
butterfly,1.019362,1.165815,0.97714764,1.1766886,0.9869697,0.9274515,0.8347055,0.89364845,0.9963886,1.0363398,1.1249852,1.0358034,1.0134457,1.0866008,0.7609635,1.1429584,1.0737535,0.9762671,0.95537096,1.0760698,1.0963172,0.89719534,0.0,0.96782213,1.008952,0.9877869,1.0000491,0.99187857,0.8492056,1.1998917,1.1739368,1.0134807,1.1457555,1.0613612,1.0938389,0.98973954,0.93368274,1.013532,0.9950944,0.992254,1.0189438,1.0031368,1.0977143,0.9102221,0.81989044,1.1173925,0.923911,1.100994,1.1369351,0.9883164,0.6761553,0.73895997,1.06005,0.595663,1.2402034,0.97155815,1.023155,1.0130557,0.9786402,1.1594672,1.0157106,1.2025776,0.97976744,1.0228616,1.17596,1.2163068,1.036384,0.88203955,0.804204,1.1018473,1.075844,1.1347847,0.897641,1.018016,0.99028116,0.98410386,1.0095682,1.0122596,1.1160185,0.9351502,1.2467461,1.1809075,1.0234929,0.9569531,1.0970082,1.0686758,0.93586683,0.9504604,0.9990165,1.0912702,0.9689104,1.0457153,0.7754968,1.0027487,1.1493032,1.0172269,0.9178253,0.65959483,1.1891441,0.9770605,1.2360379,1.143912,0.9788038,1.1198531,1.0834545,0.96561354,0.79966813,0.91365695,1.1917942,1.1617285,1.033665,1.0091984,0.9433168,1.1087786,1.0422593,0.85743546,1.0242589,1.0595473,0.9580728,0.8542578,0.98590153,1.1034139
can,1.5254042,0.93003136,0.49434656,1.3830653,0.82487106,0.5097154,1.027944,0.5104257,1.1029085,0.88901323,1.5158651,0.42069232,1.2473594,1.6013379,1.1070478,1.4785972,1.509572,0.40008593,0.38984483,1.4856236,1.1700664,0.54487425,0.96782213,0.0,1.0921556,0.72161645,1.3796464,0.79553217,0.32301497,1.1529803,1.2837304,0.8482736,1.0168965,1.1438656,1.5213244,0.31099308,1.3302319,0.39335793,1.393594,1.298992,0.8125633,0.7961211,1.0911876,1.2152566,0.9606124,1.1558552,0.65843827,1.2342691,0.8310789,1.1325577,0.7288423,0.6287927,0.4685794,1.1776783,1.4117018,0.85817957,0.9420646,1.1818222,1.2199576,1.3758111,0.9599796,1.436012,0.80010587,1.2764013,1.2462308,1.1781142,0.59359384,0.73113036,0.35022128,1.4636263,1.0913962,1.361567,1.0335518,0.5476822,0.64634216,0.53526306,0.9136903,0.6010351,1.1862292,1.1374168,1.3317927,1.2058011,1.5135586,0.32485783,0.6282072,1.321938,0.45044416,1.2495161,0.6079135,1.3892308,1.0214368,0.47951454,1.0131103,0.52445227,1.1093,0.80707014,0.39351988,1.0469705,1.4161916,1.3095093,1.3458176,1.3357624,0.4548638,1.3403803,0.53543043,0.5800522,0.89359355,1.1741678,1.3326268,1.4683247,0.79248506,0.82260466,0.49131376,1.1790313,0.6022788,1.0721012,0.630005,1.2285086,1.1373622,0.7466305,0.5460709,0.88081396
car,0.96197945,0.92363447,1.1551645,1.0799519,1.1857592,1.0417495,0.97771496,1.0289522,1.0575811,1.062038,1.0466237,1.1080323,1.051712,0.9325563,0.9730463,1.108828,0.88282514,1.1226506,1.1205845,0.8792877,1.0512916,0.9802721,1.008952,1.0921556,0.0,1.0782886,1.0349631,0.87363267,1.0943413,1.0875425,1.0901471,1.0423416,1.0204046,1.0071834,0.9691543,1.1084721,1.033041,1.134477,0.9929681,0.7863255,1.0169317,1.0688262,0.92507803,1.0140762,1.0617764,1.082176,1.1852723,1.1998589,1.1341273,0.2335447,1.0337609,0.9148027,1.1061445,0.913057,0.97861683,1.175686,1.0004252,1.0657824,1.0082481,1.097308,1.0419521,1.0539056,1.0969495,1.099124,1.0431238,1.0632967,1.0585579,0.9243844,1.1190282,0.9965335,1.2039135,0.9839786,1.0782579,1.1605086,1.1150064,1.1085783,1.1172789,1.1571944,0.83169794,1.0849917,1.0084838,1.0140121,0.96149915,1.0534617,1.031161,0.9928165,1.0454088,0.98345345,0.9775838,0.9834203,0.8219132,1.1158681,0.9935875,1.1578906,0.9269169,0.8204316,0.96942437,1.0036613,1.0681616,0.9280776,1.0358803,0.9489049,0.99384606,1.0730963,1.0973206,1.1051955,0.9621713,0.9967815,1.0235726,0.9901017,0.9246463,1.1511512,1.161443,1.0387468,1.1509936,0.52341294,0.99888355,0.99093366,0.2286855,0.94842017,1.1291277,1.0500362
carrot,1.1713165,0.93190897,0.8053655,1.1574289,1.0958534,0.6901396,0.90407,0.86760163,1.1011474,0.9880766,1.2664768,0.6865067,1.1792309,1.3185986,0.87298036,1.2976959,1.2561429,0.8128942,0.7258291,1.2655407,1.0035346,0.8756608,0.9877869,0.72161645,1.0782886,0.0,1.2490621,1.045044,0.68175274,1.1644102,1.1462569,0.99451286,1.0395329,1.1790633,1.2229042,0.5235175,1.2198253,0.7438097,1.1820375,1.1013851,1.0442489,1.0705632,0.9511137,1.0610645,0.86070734,1.1829015,0.9277182,1.071728,0.84048104,1.0494466,0.606715,0.93241113,0.6120611,1.0214688,1.2642225,0.947694,0.93546146,1.151528,1.1008325,1.1505136,0.9261147,1.2686626,0.93127203,1.1494107,1.1648741,1.1919343,0.64803195,0.94843906,0.84072375,1.1752853,1.1069386,1.1850497,0.9083502,0.7567729,0.8878268,0.77710986,0.97252285,0.8398438,1.2021677,1.0091518,1.2245924,1.2115961,1.2581234,0.6246567,0.7159878,1.1157569,0.69499445,0.983195,0.9932273,1.1795123,1.111815,0.6925193,0.9649359,0.83329487,1.1051251,0.96612024,0.86448836,0.7972817,1.2446697,0.92814565,1.229053,1.2690606,0.6422408,1.2089208,0.7637547,0.66121477,0.77958363,1.1180456,1.2616351,1.2760265,0.84359354,0.9050229,0.62614536,1.0328088,0.9176349,1.0171974,0.73083866,1.1575209,1.0628804,0.94110256,0.8228734,1.0181078
cat,0.56625265,1.1776445,1.3023782,0.84296393,1.1987582,1.3676722,1.1305012,1.3219686,0.9134111,1.0388718,0.65417296,1.2979603,0.84877527,0.59240407,0.91472304,0.65649986,0.65378314,1.2308772,1.3110647,0.6355802,1.166585,1.2874861,1.0000491,1.3796464,1.0349631,1.2490621,0.0,1.117138,1.2555258,0.7572472,0.91187125,1.1068665,0.9526266,0.9197185,0.7457114,1.343892,0.82178605,1.2265925,0.4270085,0.8874375,1.0165942,1.0159968,1.0220765,0.83001864,1.1210434,0.849979,1.1922979,0.80440545,1.3063676,0.93689674,1.1509953,1.306729,1.2180495,0.9596007,0.77642775,1.117727,1.1978939,0.85827905,0.9026082,0.7441287,1.0556703,0.88732755,1.1439108,0.7572271,0.88066554,0.8379761,1.1514139,1.133798,1.3174855,0.7280425,1.1171281,0.9985985,1.2348437,1.3153112,1.1261193,1.3584747,1.145009,1.2194057,0.8172001,1.0539396,0.9453581,0.78671014,0.62608814,1.3830096,1.1923643,0.8157667,1.2832406,0.8555836,1.2405578,0.9180778,1.05873,1.2397,1.0199507,1.3050423,0.82973444,1.0501167,1.2573773,1.0420434,0.759054,0.95390457,0.8687557,0.7736846,1.2406448,0.8292225,1.3535154,1.2407318,1.216074,0.88968444,0.82192343,0.75111437,1.2351472,1.2933679,1.3446474,1.0717714,1.0887107,1.0370762,1.2843218,0.90150034,0.99930376,1.1042622,1.3115073,0.9535908
chair,1.2160277,1.0719407,1.1610718,1.153217,1.1403605,1.0721536,1.1680107,0.75490254,0.77656806,0.9277152,0.93267894,1.0999948,0.63211906,1.063538,1.1837472,0.83857226,1.0579023,1.0766509,0.93339753,1.0309116,1.1775035,0.8105638,0.99187857,0.79553217,0.87363267,1.045044,1.117138,0.0,1.0356127,0.91011643,1.0031213,0.7760234,0.98711693,0.34541595,1.205549,1.1141094,0.7912067,1.0367051,1.1224717,1.0106041,0.76216507,0.8350431,0.9502366,1.178184,1.101978,1.090014,1.1503806,1.2480251,1.1580292,1.0682759,1.1722555,0.8491459,1.0803692,1.1503003,1.1652316,1.2229664,0.94655263,0.9797639,1.051476,1.0768859,1.2270899,1.1908964,1.1135223,1.1446118,1.0115921,0.87841165,1.0948315,0.52896,0.8310066,1.1074297,1.1022799,0.94628906,1.168896,1.2465945,0.72971714,1.1313885,1.2226709,1.1399941,0.92636615,1.135365,0.9490769,0.8831115,1.1351597,0.99326444,1.0627104,1.1735697,0.99957556,1.1884902,0.4313125,1.1850278,0.8295183,1.0620364,1.0813942,1.1558561,0.8662503,0.8470073,0.4990965,1.1535511,0.9471213,1.0601182,0.892904,0.89850533,0.895744,0.93245065,1.0829322,1.1467369,1.1465492,0.84925437,0.90533626,0.76936907,1.0491859,1.1495036,1.1164832,1.0243492,0.69617236,1.0508828,0.7226491,0.96870375,0.9855843,0.59435725,1.166064,0.67878425
